gene	tumor	Delta	Pvalue
HSPB1	CHOL	0.00525194470949774	0.200364022139107
LPCAT3	CHOL	0.00411099092699254	0.25534494842194
MT1G	CHOL	0.119653602891088	0.0666235162219877
NCOA4	CHOL	0.00341362357290893	0.586118775974584
NFE2L2	CHOL	0.00574166104393586	0.306008992351053
RPL8	CHOL	0.00393945122511045	0.748410999967856
SAT1	CHOL	0.135846583009258	0.044079240556537
SLC1A5	CHOL	-0.0713603727431052	0.00932238735027044
SLC7A11	CHOL	-0.0285383792977391	0.0122442127994864
TFRC	CHOL	0.000534050560569953	0.791082770555559
TTC35	CHOL	0.00404034559104613	0.292780003763077
ACSL4	COAD	-0.00453845081478538	0.959886146167177
ALOX15	COAD	0.17844410317965	1.05734382410671e-06
ATP5G3	COAD	-0.00143474248807632	0.791188075839489
CARS	COAD	-0.000880353279014305	0.330695206056957
CDKN1A	COAD	-0.0706689251689189	7.00693162823373e-11
CISD1	COAD	0.00130096550079491	0.472519772101869
CS	COAD	0.00102992240659777	0.537964240766536
DPP4	COAD	0.00208199829093797	0.574897749219672
FANCD2	COAD	0.00116585984697933	0.201817247826433
FDFT1	COAD	-0.00212792216812401	0.207234128362109
GLS2	COAD	0.0312556916037361	0.887554367607827
GPX4	COAD	-6.68255564387904e-05	0.681136592183438
HSPA5	COAD	-0.000184564636327503	0.94023842817058
HSPB1	COAD	0.00375874735691574	0.0140128220550678
LPCAT3	COAD	0.000727615461049283	0.344075752369103
MT1G	COAD	0.000490481468600951	0.322273675467581
NCOA4	COAD	0.0384760964328299	0.739062262765207
NFE2L2	COAD	0.00213897621224165	0.0518375885629669
RPL8	COAD	0.00609062482114467	0.0140128220550678
SAT1	COAD	-0.00915340686605723	0.614989144449293
SLC1A5	COAD	-0.0289417908585056	0.000110982125877763
SLC7A11	COAD	-0.000239245011923697	0.985614277959332
TFRC	COAD	0.00157903827503975	0.14415400749292
TTC35	COAD	0.00502097418521463	0.00387976193391463
ACSL4	ESCA	-0.0875090873913043	0.440323097462871
ALOX15	ESCA	0.169794457971014	4.2884184439361e-05
ATP5G3	ESCA	0.00708554764492754	0.927556779042602
CARS	ESCA	0.00143170177536232	0.679875242978593
CDKN1A	ESCA	0.0159961941847826	0.405261897862043
CISD1	ESCA	0.00315540786231884	0.059296074133227
CS	ESCA	0.00831012791666667	0.321789911648153
DPP4	ESCA	0.0456394048913043	0.459900888351864
FANCD2	ESCA	0.00399603981884058	0.00168826799742156
FDFT1	ESCA	0.00369189253623189	0.542882833888485
GLS2	ESCA	0.0208839094202899	0.440323097462871
GPX4	ESCA	0.00187781746376811	0.15979807741413
HSPA5	ESCA	-0.00509937074275361	0.0592961708870519
HSPB1	ESCA	0.00306666032608695	0.0937033260340077
LPCAT3	ESCA	0.000434310253623185	0.817474112389928
MT1G	ESCA	0.09768384625	0.00749619423827025
NCOA4	ESCA	0.0213660840398551	0.124464409733596
NFE2L2	ESCA	0.0020443964673913	0.258197347457843
RPL8	ESCA	0.00408283989130435	0.210610785468282
SAT1	ESCA	-0.0507220022463768	0.147697132699558
SLC1A5	ESCA	-0.0457028422644928	0.00160940121768994
SLC7A11	ESCA	0.0281273381521739	0.0504735379551113
TFRC	ESCA	0.00802837431159421	0.0658614105238385
TTC35	ESCA	0.00405083768115942	0.0544434932793987
ACSL4	GBM	-0.0153015052631579	0.719548055924393
ALOX15	GBM	-0.0552159164473684	0.228259123030052
ATP5G3	GBM	0.0604901394736842	0.892101159439718
CARS	GBM	0.00526990328947368	0.295897313567153
CDKN1A	GBM	-0.025491975	0.148674102396683
CISD1	GBM	-0.0010037582236842	0.755657840126542
CS	GBM	0.00381811447368423	0.917384194576618
DPP4	GBM	-0.177648388157895	0.0318412342393832
FANCD2	GBM	-0.000190982565789474	1
FDFT1	GBM	-0.00126967401315789	0.780036765800224
GLS2	GBM	0.349989229605263	0.0331353285756752
GPX4	GBM	-0.00392855263157895	0.707644683840774
HSPA5	GBM	0.00205690164473685	0.866927338106833
HSPB1	GBM	-0.000934520394736842	0.707644683840774
LPCAT3	GBM	-0.000899355921052628	0.904730604511458
MT1G	GBM	0.0204994085526316	0.615183342920919
NCOA4	GBM	0.0304243013157895	0.438942637236867
NFE2L2	GBM	-0.00227466513157895	0.626449915686637
RPL8	GBM	-0.0101024809210526	0.108755022125491
SAT1	GBM	0.041787065131579	0.85438922457788
SLC1A5	GBM	-0.0758199605263158	0.135671434623809
SLC7A11	GBM	-0.0156350930921053	0.528462463771437
TFRC	GBM	-0.000837983223684211	0.955457937402978
TTC35	GBM	-0.00118261414473685	0.660766879396193
ACSL4	HNSC	0.00497777476190475	0.295409731997486
ALOX15	HNSC	0.132662026095238	2.69433195144977e-11
ATP5G3	HNSC	-0.0108703659047619	3.2171338366514e-08
CARS	HNSC	-0.000367335904761904	0.262978406735276
CDKN1A	HNSC	-0.0188200034761905	0.197521663130708
CISD1	HNSC	1.73759999999995e-05	0.971928717082743
CS	HNSC	-0.00993762338095237	0.00335496206526363
DPP4	HNSC	-0.0674041624761905	0.132291627207422
FANCD2	HNSC	-0.00104812290476191	0.388242833167345
FDFT1	HNSC	-0.00298780171428571	0.142425358792325
GLS2	HNSC	0.0125353050952381	0.858236406026904
GPX4	HNSC	-0.00352736761904762	0.00691989440091875
HSPA5	HNSC	-0.0139304368571429	3.54262635614635e-09
HSPB1	HNSC	0.000344912000000003	0.808189543358542
LPCAT3	HNSC	-0.00138728619047619	0.029658926293624
MT1G	HNSC	0.0859448605714286	0.000127525027586738
NCOA4	HNSC	0.0201824644761905	0.979033457706237
NFE2L2	HNSC	-0.00421287076190476	0.000230631859505819
RPL8	HNSC	-0.00400866104761906	0.00369721641057911
SAT1	HNSC	0.013276371047619	0.0431477678879565
SLC1A5	HNSC	-0.0482998899047619	2.40838926299801e-17
SLC7A11	HNSC	0.0207775851428571	0.000295557833928716
TFRC	HNSC	0.0148264805238095	0.000637461385258439
TTC35	HNSC	-0.00472056423809524	0.000221532510771664
ACSL4	KICH	0	1
ALOX15	KICH	0	1
ATP5G3	KICH	0	1
CARS	KICH	0	1
CDKN1A	KICH	0	1
CISD1	KICH	0	1
CS	KICH	0	1
DPP4	KICH	0	1
FANCD2	KICH	0	1
FDFT1	KICH	0	1
GLS2	KICH	0	1
GPX4	KICH	0	1
HSPA5	KICH	0	1
HSPB1	KICH	0	1
LPCAT3	KICH	0	1
MT1G	KICH	0	1
NCOA4	KICH	0	1
NFE2L2	KICH	0	1
RPL8	KICH	0	1
SAT1	KICH	0	1
SLC1A5	KICH	0	1
SLC7A11	KICH	0	1
TFRC	KICH	0	1
TTC35	KICH	0	1
ACSL4	KIRC	0.0197889195349308	0.0178908293640748
ALOX15	KIRC	0.0518950553978364	0.000192459005393027
ATP5G3	KIRC	0.01215157718532	2.09684093260044e-08
CARS	KIRC	0.00342889423718532	4.5925280051734e-09
CDKN1A	KIRC	-0.226991501261753	1.69622466925189e-65
CISD1	KIRC	0.00177740190273987	0.0313750377192613
CS	KIRC	0.0151871526771813	2.28722113618541e-11
DPP4	KIRC	-0.084336514669902	2.27736610401716e-08
FANCD2	KIRC	0.00250380530583359	2.76019483458247e-11
FDFT1	KIRC	0.00259723952279851	0.0300467927477361
GLS2	KIRC	0.111774611637853	6.51735437190473e-38
GPX4	KIRC	0.00204379427964816	0.00444778795540571
HSPA5	KIRC	-0.000866276632291982	0.35031976847072
HSPB1	KIRC	0.0040935193266606	1.0981269955683e-08
LPCAT3	KIRC	0.00147099696896168	0.00685549181219127
MT1G	KIRC	0.0119077713921747	0.755918013044365
NCOA4	KIRC	0.00876671633909615	8.80410560397746e-13
NFE2L2	KIRC	0.00423555477201496	1.43890294329042e-06
RPL8	KIRC	0.00267458082903649	0.0163585331657922
SAT1	KIRC	0.0307230742877363	0.161656695183056
SLC1A5	KIRC	-0.0682224755959964	1.14503380581227e-52
SLC7A11	KIRC	0.000832170914973202	0.0153769127243976
TFRC	KIRC	0.00129115643312102	0.0330469367543316
TTC35	KIRC	0.002154777487615	0.00154681240481916
ACSL4	KIRP	-0.0233598996580027	0.780711393715789
ALOX15	KIRP	0.0532082341826265	0.543095916184021
ATP5G3	KIRP	-0.0135253604907661	9.70412945055699e-11
CARS	KIRP	-0.000453306198700411	0.676577722470571
CDKN1A	KIRP	-0.298536894604993	4.22181258890173e-25
CISD1	KIRP	0.000577505463406298	0.311652087668388
CS	KIRP	-0.00300949896118331	0.100502327160755
DPP4	KIRP	0.181467992792408	1.54001512043421e-14
FANCD2	KIRP	-0.00175333475974692	0.00131874097487513
FDFT1	KIRP	-0.00139116682626539	0.193579029871627
GLS2	KIRP	-0.000921084973495218	0.00141267332534123
GPX4	KIRP	-0.00310188415697674	0.00173273255834582
HSPA5	KIRP	-0.0131951689380985	2.3804092196143e-10
HSPB1	KIRP	0.00106843459302326	0.315980495986051
LPCAT3	KIRP	-0.00243215069254446	0.000229633622819414
MT1G	KIRP	0.0246742693356703	0.219451324950718
NCOA4	KIRP	0.00251715491193571	0.373877884562826
NFE2L2	KIRP	-0.00246239137739398	0.0286407661914177
RPL8	KIRP	-0.00193516391073871	0.369056318685222
SAT1	KIRP	-0.00188246031976744	0.0728479680413456
SLC1A5	KIRP	-0.0178650916552668	2.23722309801414e-09
SLC7A11	KIRP	0.0392994503163475	0.000900228348482214
TFRC	KIRP	-0.00585593980848154	1.06745777346316e-10
TTC35	KIRP	0.000335216569767448	0.911762045313961
ACSL4	LIHC	-0.0393139120450928	0.000312764325033529
ALOX15	LIHC	0.0944947771352785	0.00344255502660665
ATP5G3	LIHC	-0.00763640176657825	9.33405611693678e-07
CARS	LIHC	6.85558249336853e-05	0.836228425144639
CDKN1A	LIHC	-0.0552309671352785	2.34901338790071e-12
CISD1	LIHC	0.00199150869496021	0.0713629977850054
CS	LIHC	-0.0181516204137931	1.15769617006631e-08
DPP4	LIHC	-0.0851418325198939	0.00427821531598093
FANCD2	LIHC	8.39160742705652e-06	0.5105589326399
FDFT1	LIHC	-0.00220529035543767	0.127235512057999
GLS2	LIHC	0.0251774593660477	0.775817479996591
GPX4	LIHC	-0.00270582788328912	0.00447964315454672
HSPA5	LIHC	-0.0167100199363395	8.13671560480476e-09
HSPB1	LIHC	-0.00202873999469497	0.11134608581716
LPCAT3	LIHC	-0.00105745516180372	0.0964529863136991
MT1G	LIHC	0.0177541465517241	0.404513035526503
NCOA4	LIHC	-0.00667572957559681	1.5661680459286e-05
NFE2L2	LIHC	-0.00024979787533156	0.531145487784399
RPL8	LIHC	0.0055344927586207	0.00111189289266024
SAT1	LIHC	-0.0104541107480106	0.839087063510849
SLC1A5	LIHC	-0.120117408116711	1.82535245905126e-08
SLC7A11	LIHC	0.105209240403183	7.13519207128032e-16
TFRC	LIHC	-0.00221668077718833	0.0292564811761107
TTC35	LIHC	-0.00129353463129973	0.279623901180656
ACSL4	LUAD	0.00781593428778021	0.608691077620094
ALOX15	LUAD	0.160420354446855	1.74278451292568e-12
ATP5G3	LUAD	-0.0123009957772957	0.00198651606023797
CARS	LUAD	-0.00119203978308026	0.395001634604449
CDKN1A	LUAD	0.0149749174258857	0.522542952641708
CISD1	LUAD	-0.000422620007230659	0.985696326390833
CS	LUAD	-0.0101772638069414	0.0909247004887785
DPP4	LUAD	-0.0177069415762834	0.318284419578627
FANCD2	LUAD	0.000370036160520601	0.827074252847878
FDFT1	LUAD	0.000673208861171365	0.672319354185301
GLS2	LUAD	0.0149117970498915	0.43762257939037
GPX4	LUAD	-0.00414827326825741	0.0203044269779135
HSPA5	LUAD	-0.00633527659436009	0.00863659912570023
HSPB1	LUAD	0.00149247169920463	0.380409591480427
LPCAT3	LUAD	-0.000728238228488796	0.611482265224194
MT1G	LUAD	0.121971537490962	3.46561551908413e-07
NCOA4	LUAD	0.00333014838394795	0.714467227148193
NFE2L2	LUAD	-0.00336376485900217	0.119137462871026
RPL8	LUAD	0.000714400007230664	0.567523469956165
SAT1	LUAD	0.0317365161460593	0.650180901585808
SLC1A5	LUAD	-0.0378098305856833	4.06412237721341e-10
SLC7A11	LUAD	-0.0328091702603037	1.02024879887533e-06
TFRC	LUAD	-0.00709196540853219	0.00242552691362504
TTC35	LUAD	-0.00765941758857556	0.00214299350704387
ACSL4	LUSC	-0.0290661957183061	0.182396792172959
ALOX15	LUSC	0.0901634843674618	1.0348654787789e-05
ATP5G3	LUSC	0.00377950293487	0.785382518086549
CARS	LUSC	0.00392294147681587	1.75214618861121e-07
CDKN1A	LUSC	0.0150939236799786	0.32560980180314
CISD1	LUSC	0.00828011687885286	2.46264784241518e-10
CS	LUSC	-0.0020786223566068	0.915383419054055
DPP4	LUSC	0.0575352989145002	0.00511323163536294
FANCD2	LUSC	0.00390779801360225	6.87774056328595e-10
FDFT1	LUSC	0.00438296107946931	0.000119651304985819
GLS2	LUSC	0.0202598560205039	0.0370777630284385
GPX4	LUSC	0.00055375449611364	0.802746054790812
HSPA5	LUSC	-0.00209118979161083	0.322158639123082
HSPB1	LUSC	0.0100264019833825	1.19972160620834e-07
LPCAT3	LUSC	0.00514950984320557	7.19049819390969e-10
MT1G	LUSC	0.157109288850174	7.19049819390969e-10
NCOA4	LUSC	0.0451318751541142	1.03451114480721e-12
NFE2L2	LUSC	0.0064037793989547	3.6957037106971e-09
RPL8	LUSC	0.0164075584226749	2.68304722446727e-14
SAT1	LUSC	0.00159267307692307	0.564421146157531
SLC1A5	LUSC	-0.0387729183395873	5.43305522493193e-17
SLC7A11	LUSC	0.0298194822835701	0.0299499434160726
TFRC	LUSC	0.00405568931921737	0.0617365075787213
TTC35	LUSC	0.00349128001876173	0.000297519046033652
ACSL4	PAAD	0.0118773933695652	0.464432048298321
ALOX15	PAAD	0.0795458673913044	0.02356778306039
ATP5G3	PAAD	0.00249253086956522	0.478674672385165
CARS	PAAD	0.00737524010869565	0.000405626466673646
CDKN1A	PAAD	-0.0525369622282609	0.0365631750510043
CISD1	PAAD	0.00471942695652174	0.0753515734373116
CS	PAAD	0.00635798554347826	0.658191876250852
DPP4	PAAD	0.0583036728260869	0.223469772881855
FANCD2	PAAD	0.00439593625	0.000396836149484933
FDFT1	PAAD	-0.00418652054347826	0.198181187160725
GLS2	PAAD	0.0278875388586956	0.0129965931720435
GPX4	PAAD	0.00464462728260869	0.00801175633332908
HSPA5	PAAD	-0.00243976913043478	0.329827862959568
HSPB1	PAAD	0.00916956608695652	0.00650901026842945
LPCAT3	PAAD	0.000682131195652178	0.722092336078656
MT1G	PAAD	-0.00696545652173913	0.176898814501264
NCOA4	PAAD	-0.00265324070652173	1
NFE2L2	PAAD	0.00761940179347826	0.00617537293042505
RPL8	PAAD	0.00450257130434782	0.134928871547531
SAT1	PAAD	0.0345893518478261	0.115046963336764
SLC1A5	PAAD	-0.0741888315217391	0.00545595608483242
SLC7A11	PAAD	0.0658674625	0.0165247187660711
TFRC	PAAD	0.00314318364130435	0.036047388076984
TTC35	PAAD	0.00455312467391305	0.0340461886392064
ACSL4	PRAD	0.00618718421774194	0.565838195069852
ALOX15	PRAD	0.256350949112903	1.50248750904991e-19
ATP5G3	PRAD	-0.0180106518629032	1.17641641351999e-11
CARS	PRAD	-0.00220512137096774	0.000916803929473863
CDKN1A	PRAD	0.0907471982459677	2.59895966223384e-08
CISD1	PRAD	-0.0033129486532258	0.00258698338035031
CS	PRAD	-0.00902481620967742	0.003820799382358
DPP4	PRAD	-0.189520676451613	3.84068175339951e-18
FANCD2	PRAD	-0.00267963694758065	1.48032632333911e-05
FDFT1	PRAD	-0.00360372926612903	0.000996995818282425
GLS2	PRAD	0.00307738574596775	0.439177313768115
GPX4	PRAD	-0.00553276835483871	2.04708752362927e-06
HSPA5	PRAD	-0.0157633851048387	7.47536383885229e-11
HSPB1	PRAD	0.000200326137096779	0.764514513297467
LPCAT3	PRAD	-0.00371556676612903	4.39276175230753e-07
MT1G	PRAD	0.0955575336169355	1.43077232129886e-06
NCOA4	PRAD	0.03165472225	0.948630966283353
NFE2L2	PRAD	-0.00512147733870968	2.27879442239803e-05
RPL8	PRAD	-0.00433479595967742	0.00284673358533674
SAT1	PRAD	-0.0029323462016129	0.000156547006870647
SLC1A5	PRAD	-0.0241227038145161	7.91721004861455e-13
SLC7A11	PRAD	0.0667443784274193	1.3588170154604e-09
TFRC	PRAD	-0.00360174303225807	2.73289900940992e-06
TTC35	PRAD	-0.00181773946774194	0.0501541636031743
ACSL4	READ	-0.0618006645896657	0.654194599801432
ALOX15	READ	0.137375733130699	0.080989995233904
ATP5G3	READ	-5.62846504559289e-05	0.962672647791662
CARS	READ	-0.00775841975683891	0.0182721787042789
CDKN1A	READ	-0.0906776454407295	0.000217992193944242
CISD1	READ	-0.0100255762917933	0.0121711943772797
CS	READ	-0.0211499304711246	0.0375938180373472
DPP4	READ	-0.0739373348024316	0.0659783829808564
FANCD2	READ	0.000751239817629177	0.846265446135875
FDFT1	READ	-0.0122992095744681	0.0456053713377811
GLS2	READ	0.001698319224924	0.166376165637555
GPX4	READ	-0.00612630927051672	0.035204444339665
HSPA5	READ	0.00766691709726443	0.104241899610276
HSPB1	READ	-0.0023619123100304	0.359697108422884
LPCAT3	READ	-0.00156659848024317	0.588133653777303
MT1G	READ	-0.0113416632218845	0.40331589306826
NCOA4	READ	-0.00172384072948328	0.0104483381834198
NFE2L2	READ	0.00305353746200607	0.395833836528898
RPL8	READ	0.00956525516717326	0.0121711943772797
SAT1	READ	-0.00968975425531912	0.773740549515956
SLC1A5	READ	-0.0582094439209727	0.000158457137328743
SLC7A11	READ	0.0124817427051672	0.395833836528898
TFRC	READ	-0.00117306778115501	0.306348617625463
TTC35	READ	-0.00517820258358662	0.095964235799349
ACSL4	STAD	-0.310816008905852	0.0860105274695078
ALOX15	STAD	0.0469268664122138	0.782312338298091
ATP5G3	STAD	-0.0100977597964377	0.310012834618548
CARS	STAD	-0.00184732073791349	0.702563433545178
CDKN1A	STAD	-0.0678683539440204	0.292593153309378
CISD1	STAD	0.000228076081424937	0.744439415392902
CS	STAD	-0.00992316246819339	0.480973370324932
DPP4	STAD	-0.0458349770992367	0.707174709626119
FANCD2	STAD	0.00423740197201018	0.389807512671199
FDFT1	STAD	0.00473908320610687	0.820708522919713
GLS2	STAD	-0.153889543002545	0.0638208092651398
GPX4	STAD	-0.00295439083969466	0.34053755238072
HSPA5	STAD	-0.0177668960559796	0.24433704526129
HSPB1	STAD	0.026430344783715	0.992568836807107
LPCAT3	STAD	-0.00439916386768448	0.195455953096338
MT1G	STAD	-0.139833981043257	0.0562218693476224
NCOA4	STAD	0.0188013757633588	0.161464796431706
NFE2L2	STAD	0.000210900826972012	0.820708531498861
RPL8	STAD	0.0140331007633588	0.148844169612825
SAT1	STAD	-0.284993953435114	0.0620626386558992
SLC1A5	STAD	0.0163872111959288	0.948017933339244
SLC7A11	STAD	0.0687717005089059	0.0918376623883063
TFRC	STAD	-0.0023097141221374	0.246861800395312
TTC35	STAD	0.00938910527989822	0.35974620775916
ACSL4	THCA	-0.00160079151174164	0.0303339650029218
ALOX15	THCA	-0.000184388943248542	0.0247840807831571
ATP5G3	THCA	-0.00535716900684932	0.0029952233360057
CARS	THCA	-0.000680736252446183	0.225202351602082
CDKN1A	THCA	-0.201985019324853	1.24671751445182e-22
CISD1	THCA	-0.000545965704500981	0.623996906327335
CS	THCA	-0.00208263851516634	0.377309741053133
DPP4	THCA	-0.250853582485323	3.01167085274025e-21
FANCD2	THCA	-0.000790596482387475	0.0414535367166393
FDFT1	THCA	-0.00626470035469667	0.0402257015087591
GLS2	THCA	-0.0135262678816047	1.49961688931851e-06
GPX4	THCA	-0.00328334584148728	0.0015079186846568
HSPA5	THCA	-0.00476254130381605	0.00493897028225107
HSPB1	THCA	-0.00277412986790607	0.00725992783755227
LPCAT3	THCA	-0.00172649664872798	0.0245641697997118
MT1G	THCA	0.0111715151663405	0.639274988303377
NCOA4	THCA	-0.00786016438356164	1.72874244414185e-10
NFE2L2	THCA	-0.0030670957925636	0.0208851940576008
RPL8	THCA	-0.00364739141389432	0.012603204579966
SAT1	THCA	-0.00960695990704502	0.203796712358101
SLC1A5	THCA	-0.0805455139432485	1.01850583215475e-07
SLC7A11	THCA	-0.00719752666340509	0.0287919372236611
TFRC	THCA	0.00849296470156555	0.808877277453688
TTC35	THCA	-0.00302320566291585	0.0510697501973728
ACSL4	UCEC	0.00119169007372305	0.000432997291378926
ALOX15	UCEC	0.186752437109005	4.21804813202743e-10
ATP5G3	UCEC	-0.00788080747235387	2.9715080444847e-05
CARS	UCEC	-0.00173218075302791	0.262890760205478
CDKN1A	UCEC	-0.0137751792417062	0.0169179443860482
CISD1	UCEC	-0.00425932998946814	0.00653499570741454
CS	UCEC	-0.0127181616798315	0.0482891440461834
DPP4	UCEC	-0.297742388309637	7.31743347925986e-18
FANCD2	UCEC	-0.00133318632306477	0.0287937670691412
FDFT1	UCEC	0.000968513054239076	0.00883013159710825
GLS2	UCEC	-0.0111852733438652	0.000126667570006232
GPX4	UCEC	-0.00468324236966824	0.0118983798405398
HSPA5	UCEC	-0.0114915429752501	4.65670054305752e-05
HSPB1	UCEC	-0.00464552045813586	0.00135707871591671
LPCAT3	UCEC	-0.00337736262243286	0.000876666457015801
MT1G	UCEC	0.0407226636045287	0.438652051912029
NCOA4	UCEC	-0.00554536862295946	0.01948101357559
NFE2L2	UCEC	-0.00567394169299631	0.00198373428169155
RPL8	UCEC	-0.00560449734070563	0.00227332062010135
SAT1	UCEC	0.145997645234334	1.55861137103913e-16
SLC1A5	UCEC	0.00283208127435494	0.196912354704782
SLC7A11	UCEC	0.00159141014481307	0.0796237290719157
TFRC	UCEC	-0.00593327241706161	8.12357558151336e-08
TTC35	UCEC	-0.0048747700368615	0.00450424106934832
