otu,phylum,class,order,value
OTU_114,phylum_5,class_20,order_45,536.337516180472
OTU_115,phylum_4,class_19,order_44,306.348391846986
OTU_116,phylum_5,class_19,order_55,368.194219997153
OTU_117,phylum_2,class_13,order_46,182.149689293932
OTU_118,phylum_3,class_11,order_52,497.990863187239
OTU_119,phylum_3,class_18,order_56,699.830207264284
OTU_120,phylum_3,class_22,order_72,800.775188852334
OTU_121,phylum_1,class_20,order_64,196.205190649955
OTU_122,phylum_5,class_29,order_61,679.2864580655
OTU_123,phylum_1,class_28,order_67,172.535772501724
OTU_124,phylum_5,class_24,order_52,176.548552530352
OTU_125,phylum_5,class_13,order_45,314.622257977957
OTU_126,phylum_1,class_17,order_50,762.93797856709
OTU_127,phylum_3,class_15,order_68,255.548221440753
OTU_128,phylum_4,class_11,order_34,584.66621805937
OTU_129,phylum_1,class_13,order_78,18.1213349832688
OTU_130,phylum_1,class_19,order_75,870.694009103579
OTU_131,phylum_2,class_7,order_49,292.311642759247
OTU_132,phylum_3,class_23,order_61,927.739597096574
OTU_133,phylum_3,class_8,order_36,339.223086389247
OTU_134,phylum_4,class_18,order_52,396.578914740821
OTU_135,phylum_3,class_29,order_61,617.473713000072
OTU_136,phylum_2,class_27,order_44,225.192600522423
OTU_137,phylum_4,class_16,order_61,497.323706136551
OTU_138,phylum_2,class_17,order_73,896.347144212807
OTU_139,phylum_1,class_19,order_38,568.080041100504
OTU_140,phylum_3,class_21,order_39,907.064797405386
OTU_141,phylum_4,class_8,order_69,164.278999751434
OTU_142,phylum_4,class_23,order_41,727.29163569212
OTU_143,phylum_3,class_30,order_68,119.042155240895
OTU_144,phylum_1,class_10,order_50,543.441192018101
OTU_145,phylum_5,class_7,order_40,266.883481139317
OTU_146,phylum_2,class_13,order_76,972.132592092967
OTU_147,phylum_1,class_16,order_45,62.526576021919
OTU_148,phylum_4,class_13,order_74,565.445164933801
OTU_149,phylum_4,class_16,order_64,928.24112519878
OTU_150,phylum_4,class_16,order_79,622.386423503747
OTU_151,phylum_4,class_29,order_58,34.3542951834388
OTU_152,phylum_4,class_8,order_70,249.496347563807
OTU_153,phylum_2,class_11,order_52,830.365927446634
OTU_154,phylum_3,class_9,order_69,577.694011855405
OTU_155,phylum_5,class_22,order_71,437.507626054576
OTU_156,phylum_5,class_23,order_70,462.15154809528
OTU_157,phylum_1,class_30,order_57,335.68981628865
OTU_158,phylum_3,class_28,order_47,191.751083019888
OTU_159,phylum_1,class_6,order_34,303.692558849929
OTU_160,phylum_5,class_29,order_40,802.375736038666
OTU_161,phylum_1,class_24,order_65,749.604362666374
OTU_162,phylum_3,class_26,order_36,38.247739741113
OTU_163,phylum_4,class_24,order_49,714.452827212401
OTU_164,phylum_5,class_19,order_75,580.162611288717
OTU_165,phylum_5,class_25,order_47,866.776926327962
OTU_166,phylum_2,class_17,order_40,42.6797173174564
OTU_167,phylum_2,class_15,order_77,218.767061282648
OTU_168,phylum_3,class_21,order_54,323.121209710371
OTU_169,phylum_4,class_15,order_73,852.441837981343
OTU_170,phylum_2,class_20,order_65,244.551876293961
OTU_171,phylum_4,class_30,order_67,108.374787136912
OTU_172,phylum_5,class_22,order_36,123.865261158673
OTU_173,phylum_5,class_24,order_63,148.540778355906
OTU_174,phylum_3,class_25,order_67,129.611994849285
OTU_175,phylum_1,class_27,order_57,734.983145050472
OTU_176,phylum_3,class_7,order_73,820.050487276865
OTU_177,phylum_3,class_12,order_47,421.558541483479
OTU_178,phylum_2,class_27,order_77,187.590289140353
OTU_179,phylum_4,class_13,order_64,861.886188874487
OTU_180,phylum_2,class_24,order_76,824.155546998838
OTU_181,phylum_1,class_21,order_63,869.122276599519
OTU_182,phylum_5,class_13,order_34,801.145598543575
OTU_183,phylum_5,class_23,order_71,678.384509106632
OTU_184,phylum_1,class_15,order_67,639.358167390339
OTU_185,phylum_5,class_15,order_31,387.602857909165
OTU_186,phylum_5,class_9,order_44,719.977578388993
OTU_187,phylum_2,class_18,order_60,684.422967439517
OTU_188,phylum_1,class_18,order_61,463.929060117109
OTU_189,phylum_2,class_15,order_49,71.4706687969156
OTU_190,phylum_5,class_23,order_65,665.533048701473
OTU_191,phylum_3,class_24,order_78,868.966973133152
OTU_192,phylum_2,class_27,order_64,13.4397808839567
OTU_193,phylum_4,class_23,order_38,49.6643826232757
OTU_194,phylum_1,class_16,order_79,681.502833314938
OTU_195,phylum_3,class_21,order_63,457.220612622565
OTU_196,phylum_2,class_14,order_70,272.086988219991
OTU_197,phylum_2,class_13,order_65,574.478518747725
OTU_198,phylum_1,class_28,order_78,948.828370421194
OTU_199,phylum_1,class_28,order_38,297.200522919185
OTU_200,phylum_4,class_7,order_45,672.610115814488
OTU_201,phylum_3,class_14,order_67,105.978723796783
OTU_202,phylum_1,class_20,order_73,405.428994038375
OTU_203,phylum_3,class_22,order_37,17.2655999534763
OTU_204,phylum_4,class_11,order_57,955.302216272568
OTU_205,phylum_2,class_27,order_55,31.1494473798666
OTU_206,phylum_4,class_25,order_54,260.933156676358
OTU_207,phylum_4,class_10,order_36,149.987981945043
OTU_208,phylum_1,class_12,order_35,352.562513048528
OTU_209,phylum_3,class_19,order_75,351.951057126513
OTU_210,phylum_5,class_20,order_40,237.931817363948
OTU_211,phylum_5,class_24,order_61,845.079235886456
OTU_212,phylum_4,class_21,order_38,486.396199940704
OTU_213,phylum_5,class_13,order_80,354.316396156326
OTU_214,phylum_4,class_29,order_36,751.722585592885
OTU_215,phylum_3,class_10,order_58,922.46895321575
OTU_216,phylum_1,class_10,order_44,768.883802960161
OTU_217,phylum_4,class_6,order_44,949.912967510521
OTU_218,phylum_1,class_20,order_51,990.329001378501
OTU_219,phylum_3,class_21,order_67,303.969001350692
OTU_220,phylum_4,class_16,order_63,939.699884799542
OTU_221,phylum_1,class_9,order_69,505.080430339323
OTU_222,phylum_3,class_24,order_56,159.958227422088
OTU_223,phylum_3,class_14,order_71,369.140282759443
OTU_224,phylum_3,class_21,order_68,492.043746480718
OTU_225,phylum_4,class_19,order_36,359.421535761096
OTU_226,phylum_4,class_8,order_64,567.448791569797
OTU_227,phylum_5,class_22,order_35,364.895859499229
OTU_228,phylum_4,class_19,order_67,939.640519557521
OTU_229,phylum_4,class_20,order_80,813.71056822245
OTU_230,phylum_1,class_14,order_38,210.42864041985
OTU_231,phylum_3,class_16,order_76,324.22458046698
OTU_232,phylum_4,class_30,order_44,37.3154151360504
OTU_233,phylum_3,class_15,order_32,257.403314834926
OTU_234,phylum_5,class_6,order_76,833.563051142031
OTU_235,phylum_4,class_28,order_60,36.4300943622366
OTU_236,phylum_3,class_14,order_50,849.008661930216
OTU_237,phylum_3,class_16,order_77,125.103224174585
OTU_238,phylum_2,class_10,order_80,413.276152270846
OTU_239,phylum_3,class_14,order_69,370.680703178514
OTU_240,phylum_1,class_16,order_64,926.858788720332
OTU_241,phylum_2,class_19,order_56,441.483539795037
OTU_242,phylum_5,class_22,order_74,221.642167029204
OTU_243,phylum_5,class_23,order_73,337.669191346271
OTU_244,phylum_5,class_15,order_39,454.644720935263
OTU_245,phylum_4,class_27,order_80,630.00994196278
OTU_246,phylum_4,class_26,order_58,570.515063876519
OTU_247,phylum_2,class_24,order_48,101.579349688487
OTU_248,phylum_5,class_30,order_58,997.598466191906
OTU_249,phylum_5,class_12,order_66,460.133904882474
OTU_250,phylum_1,class_14,order_33,44.2535841390491
OTU_251,phylum_2,class_8,order_40,330.163122920319
OTU_252,phylum_2,class_23,order_66,354.471372124972
OTU_253,phylum_3,class_20,order_49,33.8705522078089
OTU_254,phylum_5,class_15,order_74,235.212298387894
OTU_255,phylum_4,class_21,order_77,701.899207143812
OTU_256,phylum_1,class_18,order_75,632.699929390103
OTU_257,phylum_1,class_20,order_65,380.467125440948
OTU_258,phylum_3,class_10,order_44,716.897514892742
OTU_259,phylum_3,class_24,order_76,674.718945976114
OTU_260,phylum_4,class_11,order_42,417.31355394097
OTU_261,phylum_3,class_19,order_64,931.584612231003
OTU_262,phylum_5,class_8,order_45,34.2917096246965
OTU_263,phylum_4,class_24,order_77,658.406087961979
OTU_264,phylum_2,class_28,order_49,493.908631777624
OTU_265,phylum_3,class_17,order_36,474.872144086286
OTU_266,phylum_2,class_29,order_32,373.129731831839
OTU_267,phylum_2,class_18,order_31,656.160276994109
OTU_268,phylum_2,class_8,order_46,361.592903798912
OTU_269,phylum_1,class_19,order_49,364.746948053362
OTU_270,phylum_3,class_22,order_76,389.19296703604
OTU_271,phylum_5,class_29,order_63,358.429116952466
OTU_272,phylum_5,class_12,order_58,501.369248962728
OTU_273,phylum_3,class_6,order_61,214.232084975345
OTU_274,phylum_1,class_30,order_60,172.06662503886
OTU_275,phylum_1,class_28,order_43,124.116653107572
OTU_276,phylum_5,class_6,order_39,172.458823097637
OTU_277,phylum_2,class_24,order_48,907.260082807625
OTU_278,phylum_1,class_28,order_47,514.849652923876
OTU_279,phylum_3,class_22,order_72,714.104020740837
OTU_280,phylum_2,class_26,order_74,133.533772146562
OTU_281,phylum_2,class_18,order_63,485.273187461775
OTU_282,phylum_3,class_20,order_45,210.222620163346
OTU_283,phylum_3,class_18,order_37,431.174188105622
OTU_284,phylum_4,class_17,order_53,847.507159777218
OTU_285,phylum_1,class_25,order_78,388.71485990542
OTU_286,phylum_2,class_11,order_72,935.551699582255
OTU_287,phylum_2,class_18,order_76,699.464211581741
OTU_288,phylum_1,class_25,order_66,477.244181933114
OTU_289,phylum_4,class_26,order_54,470.738137566485
OTU_290,phylum_1,class_10,order_37,435.363751078257
OTU_291,phylum_1,class_21,order_56,229.18286740873
OTU_292,phylum_4,class_20,order_36,490.169641239103
OTU_293,phylum_1,class_20,order_39,306.312831362942
OTU_294,phylum_5,class_27,order_41,22.783315976616
OTU_295,phylum_5,class_20,order_58,688.835003707558
OTU_296,phylum_3,class_15,order_76,375.043674798682
OTU_297,phylum_4,class_25,order_55,875.499752990203
OTU_298,phylum_5,class_29,order_60,245.155203620205
OTU_299,phylum_1,class_12,order_42,437.304775408469
OTU_300,phylum_1,class_16,order_63,132.542158126365
OTU_301,phylum_2,class_13,order_55,929.188015776686
OTU_302,phylum_4,class_27,order_65,691.833052517148
OTU_303,phylum_5,class_21,order_53,436.726187418215
OTU_304,phylum_3,class_14,order_43,552.948920000345
OTU_305,phylum_1,class_14,order_79,528.896369060501
OTU_306,phylum_1,class_6,order_42,140.957662602188
OTU_307,phylum_2,class_26,order_53,25.3468925401103
OTU_308,phylum_5,class_25,order_72,140.107177770231
OTU_309,phylum_1,class_26,order_45,883.051769718528
OTU_310,phylum_2,class_13,order_58,367.294544449309
OTU_311,phylum_3,class_10,order_56,230.111742588226
OTU_312,phylum_2,class_23,order_31,850.96565526328
OTU_313,phylum_3,class_26,order_31,618.205364539754
OTU_314,phylum_5,class_17,order_34,296.221442199545
OTU_315,phylum_5,class_30,order_68,48.9839637756813
OTU_316,phylum_5,class_19,order_52,476.48947180924
OTU_317,phylum_4,class_7,order_35,98.3972783279605
OTU_318,phylum_3,class_16,order_57,576.652107396862
OTU_319,phylum_3,class_27,order_53,656.891157704638
OTU_320,phylum_4,class_26,order_41,527.630165413721
OTU_321,phylum_2,class_14,order_38,608.741853866959
OTU_322,phylum_5,class_28,order_63,711.530109623913
OTU_323,phylum_3,class_26,order_73,388.04602908087
OTU_324,phylum_3,class_12,order_52,718.150180416415
OTU_325,phylum_3,class_30,order_52,844.522391604958
OTU_326,phylum_4,class_13,order_72,104.39353550924
OTU_327,phylum_4,class_21,order_59,3.98169950931333
OTU_328,phylum_5,class_27,order_48,982.974944694666
OTU_329,phylum_5,class_19,order_56,199.464209786383
OTU_330,phylum_4,class_24,order_64,184.508738646284
OTU_331,phylum_4,class_26,order_50,515.113212762168
OTU_332,phylum_2,class_28,order_41,558.527425694512
OTU_333,phylum_3,class_13,order_66,842.65819154121
OTU_334,phylum_2,class_20,order_61,778.325652961619
OTU_335,phylum_2,class_24,order_38,90.0770291693043
OTU_336,phylum_1,class_10,order_73,2.29421237763017
OTU_337,phylum_2,class_12,order_60,125.703075559111
OTU_338,phylum_3,class_10,order_63,866.041494376026
OTU_339,phylum_2,class_16,order_39,490.10798630421
OTU_340,phylum_4,class_6,order_46,17.9468156811781
OTU_341,phylum_3,class_30,order_35,637.509593480267
OTU_342,phylum_5,class_29,order_53,322.550847541774
OTU_343,phylum_1,class_21,order_62,334.877410975052
OTU_344,phylum_4,class_20,order_53,107.568966434803
OTU_345,phylum_4,class_20,order_45,42.5589378792793
OTU_346,phylum_1,class_27,order_77,696.957366322633
OTU_347,phylum_3,class_18,order_33,485.518212278141
OTU_348,phylum_5,class_29,order_70,593.962733038934
OTU_349,phylum_1,class_22,order_76,138.985052186763
OTU_350,phylum_5,class_22,order_68,206.194471466821
OTU_351,phylum_1,class_10,order_62,66.8908820557408
OTU_352,phylum_1,class_15,order_45,793.93320602295
OTU_353,phylum_4,class_14,order_43,683.1397827568
OTU_354,phylum_4,class_15,order_49,838.508711451897
OTU_355,phylum_5,class_9,order_68,383.010879553622
OTU_356,phylum_1,class_23,order_42,128.192793013062
OTU_357,phylum_5,class_16,order_39,209.937749480829
OTU_358,phylum_2,class_8,order_80,41.3587764273398
OTU_359,phylum_5,class_26,order_38,979.299004677916
OTU_360,phylum_4,class_14,order_63,924.046835373389
OTU_361,phylum_4,class_30,order_36,201.74685192015
OTU_362,phylum_3,class_19,order_42,800.54593742406
OTU_363,phylum_3,class_9,order_75,832.738730307668
OTU_364,phylum_1,class_12,order_55,718.039458507672
OTU_365,phylum_5,class_28,order_78,214.292570408434
OTU_366,phylum_5,class_8,order_59,871.021391920978
OTU_367,phylum_1,class_8,order_75,632.86313280859
OTU_368,phylum_2,class_12,order_50,873.932674070587
OTU_369,phylum_4,class_25,order_50,412.105493292911
OTU_370,phylum_4,class_14,order_48,549.405121127144
OTU_371,phylum_4,class_16,order_67,85.358062409563
OTU_372,phylum_5,class_26,order_49,522.45803275425
OTU_373,phylum_2,class_24,order_70,402.073188160779
OTU_374,phylum_4,class_16,order_70,364.733618803089
OTU_375,phylum_1,class_28,order_43,916.47092852369
OTU_376,phylum_4,class_26,order_74,836.600910462905
OTU_377,phylum_3,class_24,order_65,70.7210655906238
OTU_378,phylum_5,class_27,order_49,737.140867970185
OTU_379,phylum_5,class_23,order_62,260.727148747537
OTU_380,phylum_2,class_13,order_60,461.389263191028
OTU_381,phylum_4,class_14,order_78,814.134571706178
OTU_382,phylum_2,class_24,order_51,510.484644677257
OTU_383,phylum_1,class_11,order_71,898.505493518431
OTU_384,phylum_4,class_11,order_63,672.123880553292
OTU_385,phylum_3,class_19,order_75,213.659472422907
OTU_386,phylum_5,class_29,order_80,926.573443538276
OTU_387,phylum_2,class_10,order_50,626.012098435313
OTU_388,phylum_1,class_15,order_79,1.837767313933
OTU_389,phylum_3,class_19,order_34,596.020421919413
OTU_390,phylum_2,class_15,order_36,774.572778892238
OTU_391,phylum_3,class_29,order_43,138.042473041918
OTU_392,phylum_4,class_24,order_34,964.910693764919
OTU_393,phylum_2,class_15,order_49,492.904595871223
OTU_394,phylum_3,class_24,order_50,658.929019947536
OTU_395,phylum_5,class_21,order_65,427.378222267609
OTU_396,phylum_3,class_9,order_48,968.02190024755
OTU_397,phylum_3,class_19,order_80,686.997675669147
OTU_398,phylum_5,class_7,order_58,130.47051616828
OTU_399,phylum_5,class_16,order_71,828.022310028784
OTU_400,phylum_5,class_10,order_71,431.479961888399
OTU_401,phylum_4,class_27,order_80,94.9305058487225
OTU_402,phylum_4,class_10,order_35,648.254054035991
OTU_403,phylum_4,class_19,order_53,586.110037350329
OTU_404,phylum_4,class_17,order_38,714.113324420759
OTU_405,phylum_1,class_8,order_38,163.615601016209
OTU_406,phylum_5,class_7,order_62,412.00880796439
OTU_407,phylum_4,class_16,order_33,527.975511760218
OTU_408,phylum_3,class_15,order_39,235.33880950138
OTU_409,phylum_1,class_15,order_60,883.758561901748
OTU_410,phylum_3,class_8,order_63,751.089186625788
OTU_411,phylum_3,class_19,order_37,227.628439484164
OTU_412,phylum_1,class_13,order_74,623.909036466852
OTU_413,phylum_5,class_13,order_48,394.749609931372
OTU_414,phylum_1,class_20,order_66,132.192331713391
OTU_415,phylum_4,class_29,order_64,26.8338336048182
OTU_416,phylum_5,class_23,order_39,733.955312759615
OTU_417,phylum_1,class_26,order_62,525.220354612451
OTU_418,phylum_4,class_6,order_31,230.790278556524
OTU_419,phylum_1,class_22,order_79,120.314081724267
OTU_420,phylum_5,class_10,order_80,146.870765600121
OTU_421,phylum_3,class_19,order_38,565.10754664964
OTU_422,phylum_4,class_24,order_74,902.864626576891
OTU_423,phylum_4,class_21,order_48,476.456416868838
OTU_424,phylum_4,class_26,order_52,793.294426603243
OTU_425,phylum_5,class_29,order_35,810.61237326148
OTU_426,phylum_1,class_22,order_54,149.468762220582
OTU_427,phylum_2,class_29,order_32,38.0566120247822
OTU_428,phylum_4,class_28,order_71,611.82265120931
OTU_429,phylum_3,class_11,order_44,203.517019666033
OTU_430,phylum_4,class_24,order_54,706.79236384714
OTU_431,phylum_5,class_27,order_62,866.046013518935
OTU_432,phylum_2,class_8,order_50,379.001339379931
OTU_433,phylum_3,class_18,order_72,916.243593933992
OTU_434,phylum_5,class_17,order_53,7.79358783061616
OTU_435,phylum_2,class_29,order_42,22.6722661049571
OTU_436,phylum_1,class_15,order_60,500.917493536137
OTU_437,phylum_2,class_24,order_33,257.706667972263
OTU_438,phylum_2,class_18,order_41,131.126241501654
OTU_439,phylum_2,class_24,order_55,155.612000518478
OTU_440,phylum_3,class_22,order_78,783.935017407639
OTU_441,phylum_3,class_17,order_49,897.896225178847
OTU_442,phylum_3,class_25,order_38,124.684081519954
OTU_443,phylum_2,class_12,order_69,781.918496246682
OTU_444,phylum_1,class_18,order_74,720.271683437284
OTU_445,phylum_5,class_28,order_64,163.751479774015
OTU_446,phylum_5,class_15,order_49,214.651271823561
OTU_447,phylum_4,class_22,order_56,459.531219526194
OTU_448,phylum_1,class_8,order_31,782.969026827719
OTU_449,phylum_3,class_14,order_36,164.398692725226
OTU_450,phylum_5,class_11,order_67,180.90913444059
OTU_451,phylum_5,class_30,order_53,753.048405919923
OTU_452,phylum_5,class_19,order_73,487.317139813211
OTU_453,phylum_5,class_14,order_51,836.554378340021
OTU_454,phylum_5,class_25,order_71,645.235899704043
OTU_455,phylum_5,class_26,order_72,460.648055137601
OTU_456,phylum_2,class_10,order_80,600.592914393172
OTU_457,phylum_2,class_12,order_66,168.580859552603
OTU_458,phylum_3,class_8,order_74,498.291671704501
OTU_459,phylum_2,class_6,order_49,157.484824378742
OTU_460,phylum_2,class_25,order_32,983.422358915675
OTU_461,phylum_3,class_17,order_54,685.116576909088
OTU_462,phylum_5,class_26,order_72,649.084343562834
OTU_463,phylum_5,class_8,order_67,436.858305767179
OTU_464,phylum_5,class_29,order_60,489.616255454486
OTU_465,phylum_5,class_30,order_58,309.123303061817
OTU_466,phylum_1,class_26,order_80,329.100941282231
OTU_467,phylum_5,class_12,order_70,929.146913184552
OTU_468,phylum_2,class_21,order_79,433.803823843598
OTU_469,phylum_5,class_17,order_32,674.326359246392
OTU_470,phylum_2,class_20,order_35,263.195858432213
OTU_471,phylum_5,class_20,order_71,480.213229284389
OTU_472,phylum_3,class_9,order_31,753.569132878212
OTU_473,phylum_3,class_9,order_74,297.68324548821
OTU_474,phylum_3,class_7,order_52,459.325513509335
OTU_475,phylum_2,class_16,order_45,460.896325623849
OTU_476,phylum_4,class_26,order_48,107.623092876282
OTU_477,phylum_2,class_29,order_80,839.184376697987
OTU_478,phylum_1,class_30,order_31,791.573326994199
OTU_479,phylum_3,class_23,order_42,28.6225131128449
OTU_480,phylum_5,class_8,order_71,958.068467638223
OTU_481,phylum_5,class_11,order_32,245.839716189308
OTU_482,phylum_3,class_30,order_31,329.282350364141
OTU_483,phylum_2,class_10,order_32,984.114650951233
OTU_484,phylum_5,class_28,order_70,534.571650331141
OTU_485,phylum_1,class_27,order_46,63.5328013715334
OTU_486,phylum_1,class_26,order_36,882.716721407603
OTU_487,phylum_1,class_30,order_78,538.700281748082
OTU_488,phylum_2,class_20,order_33,798.914876428433
OTU_489,phylum_4,class_19,order_56,167.074802436633
OTU_490,phylum_2,class_22,order_69,75.905323108891
OTU_491,phylum_4,class_22,order_58,229.575446230127
OTU_492,phylum_5,class_20,order_39,88.2373837588821
OTU_493,phylum_3,class_11,order_76,963.103169182083
OTU_494,phylum_1,class_21,order_79,213.952595908428
OTU_495,phylum_1,class_11,order_35,402.650597112719
OTU_496,phylum_1,class_17,order_45,235.989452805137
OTU_497,phylum_2,class_21,order_47,619.974946836941
OTU_498,phylum_5,class_24,order_42,754.466932757292
OTU_499,phylum_2,class_16,order_72,166.086562015116
OTU_500,phylum_5,class_12,order_55,476.832739661681
OTU_501,phylum_5,class_26,order_77,67.0271027323324
OTU_502,phylum_2,class_22,order_40,85.6321486944798
OTU_503,phylum_4,class_15,order_61,417.996749541257
OTU_504,phylum_1,class_27,order_55,8.59449467132799
OTU_505,phylum_5,class_6,order_70,331.786432826426
OTU_506,phylum_1,class_16,order_41,813.289013063302
OTU_507,phylum_3,class_21,order_76,112.791126697091
OTU_508,phylum_4,class_30,order_36,970.986329136649
OTU_509,phylum_1,class_9,order_60,373.521202324657
OTU_510,phylum_1,class_29,order_57,560.293668584898
OTU_511,phylum_1,class_15,order_31,812.172268630238
OTU_512,phylum_5,class_7,order_66,880.373241222464
OTU_513,phylum_4,class_16,order_40,354.856703896308
OTU_514,phylum_4,class_22,order_51,160.909822058165
OTU_515,phylum_4,class_6,order_80,87.1395432478748
OTU_516,phylum_3,class_26,order_76,296.337421284057
