Mouse gene name,Gene name
,
,C8orf90
,MROH5
,
,
,NBPF1
,RPL14P5
,
,DHRSX-IT1
,DHRSX
,RNU6-1004P
,ORAI1
,LINC00685
,MIR6089
,LINC00102
,Metazoa_SRP
,FABP5P13
,KRT18P53
,SHOX
,MIR3690
,RNA5SP498
,CD99P1
,CRLF2
,ASMT
,
,
,
,
,
,
,ASMTL-AS1
,
,
,
,
,
,
,
,MIR4740
,MIR3186
,
,LINC01971
,
,ACTG1
,LINC00106
,
,
,
,
,
,
,
,LINC02968
,BAHCC1
,
,
,
,LINC03048
,CD99P1
,LINC03112
,
,ZBED1
,
,PPP2R3B
,
,RPL21P63
,GCNT2P1
,
,C6orf52
,
,CD99
,Y_RNA
,PAK1IP1
,TMEM14C
,PLCXD1
,GCNT2
,P2RY8
,IL3RA
,GTPBP6
,SLC25A6
,ASMTL
,CSF2RA
,
,RNU5B-4P
,ECSCR
,SMIM33
,STING1
,CTBP2P1
,AKAP17A
,AMD1P2
,DPH3P2
,ELOCP24
,TRPC6P1
,
,DDX11L16
,WASH6P
,
,
,WASIR1
,
,IL9R
,VAMP7
,
,NCOA4P4
,TSPY24P
,ZNF92P1Y
,SERBP1P2
,TSPY12P
,DUX4L19
,
,OFD1P3Y
,RBMY2HP
,
,ELOCP35
,SLC9B1P1
,USP12PY
,KDM5DP1
,DUX4L17
,
,
,
,ZNF736P6Y
,TUSC2P1
,PUDPP1
,
,CDRT15P10
,
,RNF19BPY
,TUBB1P2
,
,ACTR3BP1
,RPS24P1
,RCC2P2
,ZNF736P8Y
,BPY2
,MTND1P12
,CTBP2P1
,MTND6P1
,PABPC1P5
,RCC2P1
,SHROOM2P1
,
,DUX4L18
,ZNF736P11Y
,BPY2DP
,CHEK2P1
,ZNF886P
,OFD1P16Y
,
,ASS1P6
,SNX18P1Y
,MED14P1
,ZNF885P
,ARSFP1
,
,ZNF736P7Y
,SURF6P1
,
,ANKRD20A6P
,
,RBMY2KP
,TTTY19
,TTTY4
,
,MXRA5Y
,DUX4L16
,MTCYBP1
,
,TTTY17A
,AGPAT5P1
,
,FAM41AY1
,
,TRIM60P3Y
,MTND1P1
,
,PRRC2CP1
,ZNF736P10Y
,
,
,MTND2P3
,
,
,
,ARSDP1
,CDY4P
,UBE2V1P3
,FAM8A4P
,
,TRIM60P8Y
,MED13P1
,CYCSP46
Gm22305,RNU6-303P
Gm24615,
,RN7SL702P
,RNA5SP520
,RNA5SP521
,
,RNU6-109P
,RNU6-184P
Hsfy2,HSFY2
,RNA5SP266
,GPM6BP2
,USP9YP2
,ELOCP14
,XKRYP2
,USP9YP10
,RNU1-41P
,OFD1P7Y
,MTCYBP2
,ZNF839P1
,CD24P4
,RNU6-255P
,
,GAPDHP19
,CLUHP1
,TAF9P1
,CDY5P
,ELOCP36
,ACTG1P2
,USP9YP23
,USP9YP27
,RNU1-128P
,TRAPPC2P3
,ELOCP6
,CDY6P
,USP9YP7
,USP9YP6
,CDY7P
,USP9YP34
,USP9YP32
,CDY8P
,ELOCP12
,TRAPPC2P8
,USP9YP15
,RNU1-95P
,USP9YP16
,ACTG1P11
,ELOCP26
,CDY9P
,TAF9P2
,CLUHP2
,
,RNA5SP522
,RNA5SP523
,TUBB1P1
,ELOCP13
,OFD1P4Y
,RNU1-48P
,USP9YP5
,XKRYP1
,ELOCP7
,USP9YP1
,GPM6BP1
,RAB9AP4
,TRAPPC2P7
,
,
Hsfy2,HSFY1
Tgif2lx1,TGIF2LY
Tgif2lx2,TGIF2LY
Cdyl,CDY2A
,ZNF736P3Y
,TRIM60P9Y
,RN7SKP282
,Y_RNA
,RNU6-941P
,RNU6-521P
,SRIP3
,
,GOT2P5
,ATP5PFP1
,
,TRIM60P10Y
,ZNF736P2Y
,TRIM60P11Y
,
,ZNF736P1Y
,
,ZNF736P5Y
,BPY2C
,TTTY4C
,DAZ4
,ITGA9
,RPL21P135
,NDUFAF4P3
,RNU7-73P
,
,
,ITGA9-AS1
Cdyl,CDY2B
,RNU6-1334P
Sry,SRY
,TOMM22P2
,
,RPS4Y1
,NAP1L1P2
,
,EEF1A1P41
,PSMA6P1
,SFPQP1
,DPPA2P1
,CASKP1
Tmsb4x,TMSB4Y
,VCY
,DAZ3
,DAZ1
,SNORA70
,
,
,AMELY
Tbl1x,TBL1Y
,DAZ2
,C1R
,AGKP1
,NLGN4Y-AS1
,CDY22P
,ELOCP17
,OFD1P18Y
,TRAPPC2P4
,RAB9AP3
,USP9YP20
,RNU1-40P
,USP9YP21
,XKRYP6
,ELOCP11
,CDY23P
,USP9YP26
,HSFY8P
,
,
,SNORA70
Gm22281,RNU6-1314P
,CYCSP48
,VCY1B
,IBTK
,PNPLA4P1
,C1RL
,
,TBL1YP1
,RPS4Y2
,HSFY4P
,
,GAPDHP17
,TMEM167AP1
,
,TOMM22P1
,NEFLP1
,
,PRORY
,
,TSPY14P
,RBMY1HP
,
,
,TTTY13
,ELOCP5
,CDY10P
,USP9YP3
,USP9YP8
,CDY11P
,HSFY6P
,USP9YP18
,CDY14P
,ELOCP16
,XKRYP3
,USP9YP25
,USP9YP29
,RNU1-97P
,RAB9AP1
,TRAPPC2P9
,OFD1P11Y
Gm26020,RNU2-57P
,VDAC1P6
,EIF4A1P2
,KRT18P10
,SNX3P1Y
,C1RL-AS1
,RPL26P37
Pcdh11x,PCDH11Y
,RBP5
,ELOCP9
,CDY15P
,XKRYP4
,USP9YP13
,USP9YP11
,RNU6-485P
,TTTY3B
,
,USP9YP12
,RNU1-86P
,RAB9AP5
,CLSTN3
,TRAPPC2P10
,OFD1P12Y
,ELOCP10
Cdyl,CDY1B
,CDY17P
,USP9YP35
,USP9YP31
,CDY18P
,
,RN7SL818P
,UBE2Q2P4Y
,LINC00265-2P
,CICP2
,
,RBMY2XP
,TTTY17B
,TRIM60P5Y
,ZNF736P12Y
,TTTY4B
,BPY2B
,
,ZNF736P4Y
,
,RBMY2YP
,
,CICP1
,LINC00265-3P
,UBE2Q2P5Y
,GOLGA2P3Y
,RN7SL725P
,
,CDY19P
,USP9YP36
,USP9YP33
,CDY20P
,ELOCP34
,OFD1P13Y
,TRAPPC2P5
,RAB9AP2
,USP9YP30
,RNU1-107P
,TTTY3
,USP9YP9
,USP9YP19
,XKRYP5
,CYCSP49
,SLC25A15P1
,PARP4P1
,CCNQP2
Cdyl,CDY1
Rbmyf9,RBMY1B
Rbmyf8,RBMY1B
Rbmyf4,RBMY1B
Rbmyf5,RBMY1B
Rbmyf7,RBMY1B
Rbmyf2,RBMY1B
Rbmyf6,RBMY1B
Rbmyf3,RBMY1B
Rbmy,RBMY1B
Rbmyf1,RBMY1B
,
,
Rbmyf9,RBMY1A1
Rbmyf8,RBMY1A1
Rbmyf4,RBMY1A1
Rbmyf5,RBMY1A1
Rbmyf7,RBMY1A1
Rbmyf2,RBMY1A1
Rbmyf6,RBMY1A1
Rbmyf3,RBMY1A1
Rbmy,RBMY1A1
Rbmyf1,RBMY1A1
,PEX5
,RFTN1P1
,
,
,TTTY11
,ARSLP1
,OFD1P6Y
,XKRY
,XKRYP7
,
,
,HSFY3P
,
,TAB3P1
,
,ANOS2P
,RBMY2EP
,GOLGA2P2Y
,GOLGA2P2Y
,
,TXLNGY
,GYG2P1
,CDY3P
,USP9YP22
,USP9YP4
,ELOCP4
,
,TTTY20
,TSPY4
,RNU6-130P
,
,
,FAM197Y7
,TPBG
,
,FAM197Y6
,
,TSPY8
,TSPY3
,RBMY2CP
,RBMY2DP
,ZNF736P9Y
,FAM197Y8
,PRKY
,XKRYP7
,BCORP1
,FAM197Y8
,FAM197Y5
,FAM197Y5
,TSPY1
,FAM197Y4
,FAM197Y4
,TSPY9
,FAM197Y3
,FAM197Y3
,
,FAM197Y2
,TSPY10
,RPL30P4
,CNOT10-AS1
,SUGT1P2
,RPL23AP43
,TRIM71
,CNOT10
,FAM197Y1
,TSPY25P
,TSPY16P
,
,TTTY22
,
,
,TSPY18P
,RBMY2OP
,RBMY2QP
,TSPY20P
,
,TSPY5P
,
,RNA5SP518
,RNA5SP519
,DUX4L31
,PCMTD1P1
,CDC27P2
,
,RNA5-8SP6
,DLGAP5P1
,TTTY23B
,TSPY2
,FAM197Y9
,FAM197Y9
,
,TSPY19P
,
,LINC00280
,
,TSPY17P
,
,
,
,
,
,
,TTTY23
,FAM224B
,
,
,TTTY2B
,TTTY1B
,TTTY7
,TTTY8B
,
,
,NAA50P1
,OR8J2
,OR5T2
,
,OR5T3
,OR5T1
,OR8H1
,
,
,
,OR8I1P
,OR8K3
,TTTY10
,FAM8A2P
,OR8K2P
,OR8K1
,RPL5P29
,OR8J1
,OR8U8
,OR8U9
,OR8L1P
,TTTY16
,TTTY12
,
,TTTY2
,TTTY7B
,ZFY-AS1
,
,
,
,
,
,
,
,TTTY17C
,SEPTIN14P23
,
,
,
,U6
,ABCD1P4
,
,TXLNGY
,PABPC1P9
,SLC9B1P4
,ACTR3BP6
,
,
,
,FAM41AY2
,
,LINC00278
,
,TTTY1
,
,TTTY11
,
,
,
,
,
,
,
,
,
,
,
,BCORP1
,H3-4
,RPL23AP15
,
,H2AC25
,LINC00279
,H2BC26
,MIR4666A
,H2BC27P
,
,RNF187
,RNA5S1
,TTTY18
,RNA5S2
,RNA5S3
,RNA5S16
,RNA5S17
,RNA5SP18
,DUSP5P1
,
,FTH1P2
,RHOU
,
,BTNL10P
,
,
,TTTY8
,
,PRKY
,STSP1
,
,RBMY2JP
,
,XGY1
,
,RBMY2WP
,
,USP9YP28
,TTTY14
,
,OFD1P1Y
,USP9YP14
,RNASEH2CP1
,XGY2
,PPP1R12BP2
,REREP1Y
,
,
,GPR143YP
,
,OFD1P15Y
,REREP2Y
,PPP1R12BP1
,
,ANKRD36P1
,
,
,OFD1P2Y
,OFD1P5Y
,RBMY2TP
,
,
,OFD1P10Y
,
,
,ELP5
,GOLGA6L11P
,
,DNM1P24
,CSPG4P2Y
,CSPG4P3Y
,
,
,SEPTIN14P22
,
,
,
,CSPG4P4Y
,CSPG4P1Y
,DNM1P48
,GOLGA6L16P
,
,
,
,TPTE2P4
,RBMY1A3P
,
,TSPY7P
,
,TSPY6P
,
,TSPY15P
,
,RBMY3AP
,
,CLDN7
,RBMY2NP
,
,TSPY13P
,
,TSPY11P
,
,RBMY2GP
,
,
Rbmyf9,RBMY1D
Rbmyf8,RBMY1D
Rbmyf4,RBMY1D
Rbmyf5,RBMY1D
Rbmyf7,RBMY1D
Rbmyf2,RBMY1D
Rbmyf6,RBMY1D
Rbmyf3,RBMY1D
Rbmy,RBMY1D
Rbmyf1,RBMY1D
,Y_RNA
,SLC2A4
,LEUTX
,
,
Rbmyf9,RBMY1E
Rbmyf8,RBMY1E
Rbmyf4,RBMY1E
Rbmyf5,RBMY1E
Rbmyf7,RBMY1E
Rbmyf2,RBMY1E
Rbmyf6,RBMY1E
Rbmyf3,RBMY1E
Rbmy,RBMY1E
Rbmyf1,RBMY1E
,DYRK1B
,
,YBX2
,
,RBMY2AP
,
,
,OFD1P8Y
,
,HSFY5P
,USP9YP17
,CDY12P
,ELOCP15
,
,EIF5A
,TTTY6B
Rbmyf9,RBMY1F
Rbmyf8,RBMY1F
Rbmyf4,RBMY1F
Rbmyf5,RBMY1F
Rbmyf7,RBMY1F
Rbmyf2,RBMY1F
Rbmyf6,RBMY1F
Rbmyf3,RBMY1F
Rbmy,RBMY1F
Rbmyf1,RBMY1F
,MIR6719
,FBL
,TSPY23P
,RBMY2UP
,RBMY1KP
,TTTY5
,TSPY22P
,RBMY2FP
,RBMY2FP
,TTTY25P
,TSPY21P
Rbmyf9,RBMY1J
Rbmyf8,RBMY1J
Rbmyf4,RBMY1J
Rbmyf5,RBMY1J
Rbmyf7,RBMY1J
Rbmyf2,RBMY1J
Rbmyf6,RBMY1J
Rbmyf3,RBMY1J
Rbmy,RBMY1J
Rbmyf1,RBMY1J
,PRR13P5
,PSMC4
,GPS2
,
,ZNF546
,TTTY6
,ELOCP8
,CDY13P
,USP9YP24
,
,HSFY7P
,OFD1P9Y
,
,
,RBMY2BP
,
,
,XKRY
,
,
,
,ZNF780B
,
,FAM224A
,
,ZNF780A
,
,
,
,
,NEURL4
,TTTY9B
,
,
,
,TTTY9A
,
,
Nlgn4l,NLGN4Y
,
,FCGBP
,
,
,
,BRD7P1
,
,RN7SKP205
,
,
,LINC00596
,DHRS4-AS1
Ddx3y,DDX3Y
,DHRS4L1
,DHRS4L1
,DHRS4L1
,CARMIL3
,
,ACAP1
,CPNE6
,KCTD11
,FRG2
,
,FRG1
,TMEM95
,MLLT10P2
,
,TUBB7P
,RNA5SP174
,RNA5SP175
,DUX4L9
,RARRES2P4
,
,
,
,
,
,
,
,
,
,
,
,RPL23AP84
,
,DUX4L8
,DUX4
Usp9y,USP9Y
,NRL
,PCK2
,PIMREGP3
,Y_RNA
,RPL22P14
,
,GJA10
,Y_RNA
,CASP8AP2
,DCAF11
,
,WDR82P1
Uty,UTY
,LINC01822
,
,FITM1
,PSME1
,NXNL2
,
,EMC9
,
,MIR4289
,
,
,
,PSME2
,
Kdm5d,KDM5D
,MIR7703
,RNF31
,OBP2B
,LCN1P1
,Y_RNA
,LCN1P2
,SURF6
,Y_RNA
,MED22
,
,RNA5SP383
,IRF9
,RPL21P81
,RPL7A
,REC8
,SNORD24
,SNORD36B
,SNORD36A
,
,SNORD36C
,SURF1
,SURF2
,IPO4
,SURF4
,STKLD1
,REXO4
,ZFY
,ADAMTS13
Eif1ad14,EIF1AY
Eif1ad18,EIF1AY
Eif1ad17,EIF1AY
Eif1ad8,EIF1AY
Eif1ad16,EIF1AY
Eif1a,EIF1AY
Eif1ad6,EIF1AY
Eif1ad13,EIF1AY
Eif1ad11,EIF1AY
Eif1ad7,EIF1AY
Eif1ad19,EIF1AY
Eif1ad3,EIF1AY
Eif1ad12,EIF1AY
Eif1ad2,EIF1AY
Eif1ad15,EIF1AY
Eif1ad4,EIF1AY
Eif1ad10,EIF1AY
,
,
,TM9SF1
,
,
,
,TSSK4
,RNU6-280P
,Y_RNA
,CHMP4A
,
,MDP1
,NEDD8-MDP1
,NEDD8
,CACFD1
,GMPR2
,SLC2A6
,ABO
,
,KAT6B
,TNK1
,PLSCR3
,TINF2
,TGM1
,TMEM256-PLSCR3
,TMEM256
,ISLR
,NLGN2
,RABGGTA
,STRA6
,
,SPEM1
,SPEM2
,SPEM3
,
,TMEM102
,
,FGF11
,
,
,CHRNB1
,ZBTB4
,SLC35G6
,
,
,POLR2A
,DHRS1
,NOP9
,
,
,DUSP29
,CIDEB
,
,LTB4R2
,LTB4R
,
,RPSAP28
,ALMS1-IT1
,ADCY4
,
,NAT8
,TPRKB
,
,
,DUSP11
,C2orf78
,NAT8B
,ALMS1P1
,ALMS1P1
,CCDC33
,LTN1
,
,
,CCDC33-AS1
,CYP11A1
,RPL23P2
,RWDD2B
,
,USP16
,CCT8
,
,
,
,RIPK3
,
,
,LINC02255
,MAP3K7CL
,SEMA7A
,RPL12P9
,Y_RNA
,U3
,
,GAPDHP14
,U6
,NFATC4
,MIR6881
,
,UBL7
,
,APOB
,
,
,TDRD15
,DPPA2P2
,RPS6KA1
,UBL7-DT
,
,
,PPIAP46
,
,
,
,MIR1976
,RN7SL679P
,Y_RNA
,RNU7-29P
,
,
,
,SEL1L2
,RNU6-278P
,RPS3P1
,
,
,TRIM51FP
,GRM5P1
,GRM5P1
,SLC25A26
,DHRS4
,DHRS4L2
,DHRS4L1
,RNU6-787P
,RN7SL482P
,MIR3649
,ADIPOR2
,
,
,RPS4XP14
,CACNA2D4
,INPP5D
,RN7SL32P
,ATG16L1
,EI24P3
,
,ZKSCAN7
,ZKSCAN7-AS1
,ZNF660
,MPRIPP1
,ZNF197
,ZNF197-AS1
,ZNF35
,
,SOCS5P3
,ZNF502
,ZNF501
,KIAA1143
,KIF15
,
,EP400P1
,
,LRTM2
,
,DDX51
,
,LINC00940
,DCP1B
,SCARNA5
,SCARNA6
,SAG
,NOC4L
,Metazoa_SRP
,Y_RNA
,CENATAC-DT
,CENATAC
,
,CACNA1C-IT1
,
,CACNA1C-AS4
,CACNA1C-IT3
,
,
,CACNA1C-AS3
,
,CACNA1C-AS2
,ITFG2-AS1
,
,LINC02361
,CACNA1C
,
,
,GALNT9-AS1
,
,
,
,
,
,
,
,
,
,GALNT9
,RPL23AP64
,
,
,RPS25
,
,Y_RNA
,TRAPPC4
,MIR564
,TMEM42
,TGM4
,
,HYOU1-AS1
,HYOU1
,LINC00411
,
,ZNF852
,LINC02985
,MLXIP
,
,TCERG1P2
,
,XYLT1
,KPNA7
,
,
,
,
,
,
,
,RTP1
,RTP4
,
,LINC02041
,
,MASP1
,
,MCPH1-DT
,
,LINC02783
,VPS11-DT
,
,VPS11
,PADI1
,PADI3
,
,
,CYCSP41
,
,
,OR4K11P
,
,
,
,
,CTBP2P10
,HBP1
,RBPMSLP
,MIR3972
,SREK1IP1P1
,PADI4
,MIR548XHG
,
,
,IGKV2OR2-1
,TMEM131
,FDPSP6
,
,
,NEK4P1
,
,
,PPIAP22
,SLC6A6P1
,CTBP2P9
,IGKV2OR2-2
,IGKV1OR2-3
,TRIM43CP
,
,
,GPAT2P2
,SLC37A4
,CHODL-AS1
,RN7SL313P
,FAHD2B
,TUBAP1
,
Tmprss15,TMPRSS15
,ANKRD36
,PADI6
,RCC2-AS1
,
,RCC2
,VN1R7P
,ZNF299P
,
,SNX19P1
,
,
,
,SLC25A15P4
,IGKV1OR2-9
,GPX1P2
,IGKV2OR2-10
,
,IGKV2OR2-7D
,
,IGKV3OR2-5
,IGKV1OR2-6
,IGKV2OR2-7
Ighv1-18,IGHV1OR21-1
Ighv1-78,IGHV1OR21-1
Ighv15-2,IGHV1OR21-1
Ighv1-22,IGHV1OR21-1
Ighv1-39,IGHV1OR21-1
Ighv1-76,IGHV1OR21-1
Ighv1-72,IGHV1OR21-1
Ighv1-64,IGHV1OR21-1
Ighv1-34,IGHV1OR21-1
Ighv1-67,IGHV1OR21-1
Ighv1-80,IGHV1OR21-1
Ighv1-77,IGHV1OR21-1
Ighv1-26,IGHV1OR21-1
Ighv1-53,IGHV1OR21-1
Ighv1-5,IGHV1OR21-1
Ighv1-9,IGHV1OR21-1
Ighv14-4,IGHV1OR21-1
Ighv1-62-1,IGHV1OR21-1
Ighv1-4,IGHV1OR21-1
Ighv1-63,IGHV1OR21-1
Ighv1-19,IGHV1OR21-1
Ighv1-82,IGHV1OR21-1
Ighv1-71,IGHV1OR21-1
Ighv1-49,IGHV1OR21-1
Ighv1-62-2,IGHV1OR21-1
Ighv1-55,IGHV1OR21-1
Ighv1-61,IGHV1OR21-1
Ighv1-24,IGHV1OR21-1
Ighv1-42,IGHV1OR21-1
Ighv1-52,IGHV1OR21-1
Ighv1-84,IGHV1OR21-1
Ighv1-31,IGHV1OR21-1
Ighv14-1,IGHV1OR21-1
Ighv1-11,IGHV1OR21-1
Ighv1-15,IGHV1OR21-1
Ighv1-69,IGHV1OR21-1
Ighv1-43,IGHV1OR21-1
Ighv1-56,IGHV1OR21-1
Ighv1-59,IGHV1OR21-1
Ighv1-37,IGHV1OR21-1
Ighv1-81,IGHV1OR21-1
Ighv1-20,IGHV1OR21-1
Ighv1-66,IGHV1OR21-1
Ighv1-75,IGHV1OR21-1
Ighv1-7,IGHV1OR21-1
Ighv1-62-3,IGHV1OR21-1
Ighv1-23,IGHV1OR21-1
Ighv1-36,IGHV1OR21-1
Ighv1-12,IGHV1OR21-1
Ighv14-3,IGHV1OR21-1
Ighv1-16,IGHV1OR21-1
Ighv1-47,IGHV1OR21-1
Ighv1-54,IGHV1OR21-1
Ighv1-85,IGHV1OR21-1
Ighv1-58,IGHV1OR21-1
Ighv1-74,IGHV1OR21-1
Ighv1-50,IGHV1OR21-1
Ighv14-2,IGHV1OR21-1
,IGKV2OR2-8
,IGKV1OR2-11
,HSPD1P7
,
,MSANTD2P1
,
,
,UBTFL6
,C1QBPP1
,COX5B
,
,
,RPL10P1
,LINC00317
,ACTR1B
,COG5
,
,
,
,
,C2orf92
,
,LINC01689
,
,
,
,
,
,KRT18P2
,
,
,
,
,KRTAP25-1
,
,RPSAP68
,
,
,EEF1A1P1
,
,
,
,RPL8P2
Cldn17,CLDN17
,BTF3L4P1
,
,
,RPL37P3
,THUMPD1P1
,
,PPIAP1
,LLPHP2
Krtap24-1,KRTAP24-1
,RNU4-8P
,
,NCSTNP1
,ANKRD36B
,
,RPS3AP1
,EIF4A1P1
,LINC00307
Ncam2,NCAM2
,HMGN1P36
,RNU7-96P
,ZAP70
,
,GPR22
,DUS4L
,PCP4
,
,
,DSCAM
,OR4K12P
,
,RPSAP64
,TPT1P1
,SLC16A1
,
,MIR4760
Cldn8,CLDN8
,DSCAM-AS1
,
,
,DSCAM-IT1
,
,LINC02943
,
,YRDCP3
,
,
,HUNK-AS1
,
,EIF3FP1
,LINC00308
Morc3,MORC3
,
,BCAP29
,
,AKR7A2P1
,
,NIPA2P3
,
,
,
,
,
,
,
,LINC01700
,FDX1P2
Chodl,CHODL
,KLLN
,
,
,CFL1P1
,ADAMTSL3
,RN7SL78P
,CFL1P1
,
,
,PTEN
,
,
,
,
,PSMA6P3
,TUBAP4
,
,SH3GL3
,
,MAPK6P2
,ZNF355P
,BNIP3P43
,
,IGKV5-2
,RNU6-401P
,
,RNU6-1339P
,
,RPL11P3
,IGKV7-3
,
,CSPG4P11
,
,PGBD4P5
,IGKV2-4
,RN7SL331P
,ANKRD30BP1
,UBE2Q2P8
,
,IGKV1-5
,RN7SL417P
,VN1R8P
,
,IGKV1-6
,GTF2IP2
,CSPG4P5
,
,IGKV3-7
,UBE2Q2P11
,UBE2Q2P12
,
,
,IGKV1-8
,
,
,
,IGKV1-9
,
,IGKV2-10
,IGKV3-11
,
,ZSCAN2
,SNRPGP13
,IGKV1-12
,Y_RNA
,5_8S_rRNA
,
,IGKV1-13
,MIR6724-2
,IGKV2-14
,Y_RNA
,IGKV3-15
,MIR6724-3
,
,RNA5-8SN3
,IGKV1-16
,MIR6724-4
,
,RNA5-8SN1
,Y_RNA
,IGKV1-17
,MIR6724-1
,
,MIR3648-1
,
,IGKV2-18
,RNA5-8SN2
,
Gm22942,SNORA70
,IGKV2-19
,
,MIR3118-1
,IGKV3-20
,EGLN1P1
,Y_RNA
,RNU6-286P
,WDR73
,RN7SL52P
Gm25578,RNU6-113P
,Y_RNA
,Y_RNA
Gm55389,RN7SKP147
Gm54881,RN7SKP147
,RNU6-772P
Gm25052,RNU2-55P
,IGKV6-21
Gm55339,RNU1-139P
,RNU4-45P
,MIR3156-3
,Y_RNA
,IGKV1-22
,RN7SKP236
,IGKV2-23
,RN7SL163P
,MIR6130
,IGKV2-24
,RNA5SP489
,MIR4759
,MIR548X
,IGKV3-25
,RNU6-614P
,IGKV2-26
Gm25147,U6
,
,SNORA62
,IGKV1-27
,SNORA80A
,
,IGKV2-28
,
,IGKV2-29
,UMODL1-AS1
