Gene	Entrezid	FDR
PABPC1	26986	0.004459156
KIF23	9493	0.004478674
H2AFZ	3015	0.00452547
LYAR	55646	0.004568678
CCNB2	9133	0.004676963
CENPE	1062	0.004767585
TNFRSF1A	7132	0.004767585
EIF4G1	1981	0.004772564
CEP55	55165	0.004772564
TACC3	10460	0.004832608
ANGPTL4	51129	0.00505869
TEAD4	7004	0.005118938
CYCS	54205	0.005275205
NCAPG	64151	0.005414548
GTSE1	51512	0.005771753
CAMSAP2	23271	0.005782945
MS4A1	931	0.005862512
MTHFD1	4522	0.005862512
PA2G4	5036	0.005862512
RIPK2	8767	0.005862512
FKBP9	11328	0.005862512
MAD2L1	4085	0.005939204
PFN1	5216	0.005939204
PTTG1	9232	0.006388208
FANCI	55215	0.006388208
CDC20	991	0.006554284
SEMA4B	10509	0.006554284
BIRC3	330	0.006559509
CD40LG	959	0.006559509
PYGB	5834	0.006580602
BUB1B	701	0.006744403
AURKA	6790	0.006804775
ZNF185	7739	0.006924006
ZC3H15	55854	0.0069846
S100A10	6281	0.007018285
FEN1	2237	0.007503949
KLRB1	3820	0.00762902
IL1R2	7850	0.00762902
NCAPD2	9918	0.00762902
PSMD12	5718	0.007691617
RAB10	10890	0.007691617
BIRC5	332	0.007857235
IARS2	55699	0.00802021
RAC1	5879	0.008184234
ITGA5	3678	0.008209689
TAX1BP3	30851	0.008261659
UQCRB	7381	0.008298907
DUT	1854	0.008449012
SMC2	10592	0.008449012
NUSAP1	51203	0.00857285
ERRFI1	54206	0.00857285
PGM2	55276	0.008586277
SNRPE	6635	0.008674691
HNRNPR	10236	0.008674691
CPSF2	53981	0.009282509
PLOD2	5352	0.009605655
SKA1	220134	0.009882868
ACTN1	87	0.009966026
LMNB2	84823	0.010073975
GRAMD1B	57476	0.01010396
RAB11A	8766	0.010406856
RHOC	389	0.01051817
MCM5	4174	0.01051817
KIF2C	11004	0.01051817
TLR10	81793	0.01051817
CTNNA1	1495	0.010681697
DRP2	1821	0.010681697
MCM4	4173	0.01087191
MAPK6	5597	0.01089323
TMPO	7112	0.011066166
LMNB1	4001	0.011306877
SMAD3	4088	0.011306877
RACGAP1	29127	0.011306877
NAA50	80218	0.011306877
RNPEP	6051	0.011499731
NMI	9111	0.011499731
CDCA4	55038	0.011499731
CD19	930	0.011578803
CDC6	990	0.011578803
CENPA	1058	0.011578803
PGD	5226	0.011578803
PDLIM7	9260	0.011578803
NCAPH	23397	0.011578803
ZWILCH	55055	0.011578803
SERPINB7	8710	0.011696849
MMP14	4323	0.011819673
MAP2K3	5606	0.011819673
ATP8A1	10396	0.011819673
ESPL1	9700	0.011983835
MELK	9833	0.012047507
TNFRSF6B	8771	0.01204914
C11orf24	53838	0.01204914
TMEM130	222865	0.01204914
COL4A1	1282	0.012164828
PLAUR	5329	0.012331435
BCL2L1	598	0.012925838
HNRNPA2B1	3181	0.012925838
HSPA1A	3303	0.012925838
TOMM40	10452	0.012925838
PLEKHG3	26030	0.012925838
ERCC6L	54821	0.012925838
ENO1	2023	0.012977141
TPM3	7170	0.013098096
SNRPA1	6627	0.013510592
PLSCR1	5359	0.013530346
TSPAN32	10077	0.013562469
IL2	3558	0.013644533
UBE2C	11065	0.013775277
RND3	390	0.013872246
PAK2	5062	0.013890802
C11orf21	29125	0.013950983
TNFRSF13B	23495	0.014111175
S100A11	6282	0.014331485
CLEC3B	7123	0.014331485
VIPR1	7433	0.014331485
FARSB	10056	0.014331485
ZWINT	11130	0.014331485
NUDT15	55270	0.014331485
C19orf48	84798	0.01453333
MCM10	55388	0.014933465
ANP32E	81611	0.014933465
EFHD2	79180	0.014971629
CCR2	729230	0.014971629
MAL	4118	0.01514394
KIAA1324	57535	0.01514394
COPS8	10920	0.015159317
PPP3CA	5530	0.015233555
HSPA5	3309	0.015340963
ARHGDIA	396	0.01544147
EGLN3	112399	0.01544147
VPS18	57617	0.015463088
DSCC1	79075	0.015614829
DNAJC10	54431	0.016289614
PYGL	5836	0.016411453
TOP2A	7153	0.01710411
TUBA4A	7277	0.01710411
CENPN	55839	0.01710411
PLK4	10733	0.017165425
CSNK1A1	1452	0.017224589
BLK	640	0.017291684
SIGLEC6	946	0.017291684
AURKB	9212	0.01732247
NCAPG2	54892	0.017551823
FBXO28	23219	0.017595079
FUBP3	8939	0.017641663
CISH	1154	0.017869865
PSMD14	10213	0.018244942
TM4SF1	4071	0.01839594
LY9	4063	0.018507227
EPHA2	1969	0.018594398
TTK	7272	0.018819425
HPGDS	27306	0.018819425
CDC45	8318	0.018935218
CCT5	22948	0.018935218
CHPF	79586	0.018935218
CCR6	1235	0.019157342
CD1C	911	0.019336832
SERPINE1	5054	0.019412237
TNNC2	7125	0.019412237
FUBP1	8880	0.019602702
PDLIM5	10611	0.019696707
SLC18A2	6571	0.020202123
YBX3	8531	0.020259747
CDK5R1	8851	0.020259747
ACTL6A	86	0.020336331
FDPS	2224	0.020336331
VCL	7414	0.020336331
PPP6R1	22870	0.020336331
TMEM106B	54664	0.020336331
MSMO1	6307	0.020372297
ATAD2	29028	0.020413347
SLC7A5	8140	0.020961116
WWP1	11059	0.020961116
WSB2	55884	0.020961116
CEBPB	1051	0.021001213
RTN4	57142	0.021055347
TUBB6	84617	0.021401309
MYBL2	4605	0.021582824
NLRP1	22861	0.021776027
HIST1H2BK	85236	0.021776027
HS3ST2	9956	0.022263942
S100P	6286	0.022475226
UAP1	6675	0.022475226
EFNA5	1946	0.022706436
HIST1H2BC	8347	0.023564606
LAMA3	3909	0.02383281
APOL2	23780	0.02383281
COL1A2	1278	0.023977861
POLE2	5427	0.024424503
MAGOHB	55110	0.024677993
MRPL12	6182	0.024829411
ADAM9	8754	0.024858928
HMGB1	3146	0.025026159
SAMD9	54809	0.025360304
ADA	100	0.025598425
FAM129C	199786	0.025598425
NUP88	4927	0.025662321
NCR3	259197	0.025662321
TAP2	6891	0.025683946
ZNF207	7756	0.025683946
VTA1	51534	0.025683946
AMPD1	270	0.025897351
CD1E	913	0.025897351
SNRPA	6626	0.025897351
TAF2	6873	0.026597023
FAM104A	84923	0.026597023
BACH1	571	0.026602328
FCER2	2208	0.026847705
MAP2K1	5604	0.026847705
TRAF3IP3	80342	0.026847705
RALGPS2	55103	0.026862957
TIMP1	7076	0.02701245
HLA-DOB	3112	0.027072943
NID1	4811	0.027072943
MRPS16	51021	0.027072943
FCRLA	84824	0.027079759
PAK1	5058	0.027132173
HSPA1B	3304	0.027351164
BSG	682	0.027415388
SCD	6319	0.027415388
DHRS7	51635	0.027415388
RMDN1	51115	0.027669448
OSBPL10	114884	0.027669448
DHFR	1719	0.028226413
TJP1	7082	0.028325301
MICAL3	57553	0.028347499
SLAMF1	6504	0.02850302
LILRA4	23547	0.02850302
UBE2L3	7332	0.028724699
CD1B	910	0.029172281
ADAR	103	0.029314891
FCRL2	79368	0.029655615
DCBLD2	131566	0.029655615
CD5	921	0.029850516
MRPL37	51253	0.029998734
BLVRB	645	0.03014453
SIAH2	6478	0.030586258
LINC00926	283663	0.031122546
NLN	57486	0.031440654
COL1A1	1277	0.031969128
COL4A3	1285	0.031969128
TGFBR1	7046	0.032133368
DSP	1832	0.032217766
PSMD4	5710	0.032217766
GGH	8836	0.032217766
PARP1	142	0.032816082
OAS3	4940	0.032816082
RUVBL1	8607	0.033644774
RTN3	10313	0.034619422
TIPIN	54962	0.035134198
PARPBP	55010	0.035134198
CTSG	1511	0.035316973
HPCAL1	3241	0.035470587
DUSP5	1847	0.035615107
RPS2	6187	0.035615107
NFE2L3	9603	0.035615107
SLC39A14	23516	0.03578486
FERMT2	10979	0.035891323
NUP107	57122	0.035891323
NUDT1	4521	0.036221036
CXorf21	80231	0.036221036
ATP13A4	84239	0.036221036
IMP4	92856	0.036221036
YME1L1	10730	0.037135697
PAX5	5079	0.037251137
PPIC	5480	0.038252431
KIR2DL3	3804	0.038395545
LPCAT4	254531	0.038395545
NOP16	51491	0.038404838
DNASE1L3	1776	0.038800311
UMPS	7372	0.038800311
CD79A	973	0.039139257
LDHB	3945	0.039588158
RGS13	6003	0.039759592
PHKA1	5255	0.040086734
RELB	5971	0.040086734
BRIP1	83990	0.040086734
CR2	1380	0.040192419
RAD54B	25788	0.040192419
DNASE2B	58511	0.040192419
CSNK2A1	1457	0.040847185
JUP	3728	0.040847185
PDHX	8050	0.040847185
SOD2	6648	0.041148028
KRR1	11103	0.041148028
PTGDS	5730	0.041249118
PITPNC1	26207	0.041652518
CYFIP1	23191	0.041943834
PTPN12	5782	0.04207023
CD79B	974	0.042194065
COL6A1	1291	0.042194065
GJB5	2709	0.042194065
DNAJB1	3337	0.042194065
CHMP2A	27243	0.042194065
PICALM	8301	0.042317724
BAK1	578	0.042490063
MXD1	4084	0.042490063
RASGRP2	10235	0.042490063
RAD51AP1	10635	0.042490063
CKAP2	26586	0.042490063
BCCIP	56647	0.042490063
AMFR	267	0.042523535
FBXO5	26271	0.042523535
AIMP2	7965	0.042548346
PDXK	8566	0.042975212
CD302	9936	0.043147371
MS4A2	2206	0.043243937
IGFBP3	3486	0.043243937
MAP4	4134	0.043243937
ZNF598	90850	0.043281703
EEF1E1	9521	0.043982581
MAFF	23764	0.043982581
ADH1B	125	0.043987156
DHX32	55760	0.043987156
G6PC	2538	0.044722086
IL11	3589	0.04477838
MARCKS	4082	0.044991361
MAPRE1	22919	0.044991361
ZIC2	7546	0.045315112
SDCBP	6386	0.045416073
SQLE	6713	0.045506829
GINS1	9837	0.045506829
KIF15	56992	0.045506829
EPHX1	2052	0.045730511
MET	4233	0.045730511
NME1	4830	0.045730511
RAD21	5885	0.045730511
TRA2B	6434	0.045730511
SPIB	6689	0.045730511
TPM2	7169	0.045730511
CAV1	857	0.045816793
ANKRD55	79722	0.046077
JAK1	3716	0.046111412
ACAP1	9744	0.046831828
CD1D	912	0.047110127
IL16	3603	0.047266518
SRM	6723	0.047439165
SELENBP1	8991	0.04899826
CCDC91	55297	0.049152201
APBB2	323	0.04923467
ADH1A	124	0.049533177
SNRPD1	6632	0.049557883
LSM4	25804	0.049748066
CD160	11126	0.049757515
P4HA2	8974	0.049893406
