Barcode	CellName	Sample	Tissue	Platform	raw.nUMI	raw.nGene	filter.nUMI	filter.nGene	ribo.per	raw.nCD	raw.nTF	raw.nCyt	raw.nLR	Global_Cluster	Sub_Cluster	Sub_ClusterID	Global_tSNE_1	Global_tSNE_2	Sub_tSNE_1	Sub_tSNE_2	integrated.Global_tSNE_1	integrated.Global_tSNE_2
TCD45n-120-20180104	N_T_P0104_00011	P0104	T	Smart-seq2	686124.5394	2557	134763.4429	2355	0.001779302	48	143	13	105	Epithelial cell	hE04_Goblet-REG4	hE04	-5.468795174	31.34191539	-5.808825474	-6.504598763	27.11732913	-15.85167414
TCD45n-12-20180104	N_T_P0104_00012	P0104	T	Smart-seq2	498081.813	2826	296423.5058	2465	0.005133611	56	159	18	120	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.862258731	31.87842107	-6.403301822	15.55803099	30.9357747	-21.36263688
TCD45n-122-20180104	N_T_P0104_00013	P0104	T	Smart-seq2	540097.2235	3672	362166.7413	3161	0.000918374	65	197	16	152	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.138357535	30.82651575	-7.672914821	18.52131095	30.84319579	-21.46471925
TCD45n-124-20180104	N_T_P0104_00014	P0104	T	Smart-seq2	777536.7149	4618	418794.8843	4093	0.005346958	72	230	23	177	Epithelial cell	hE05_Stemlike-LGR5	hE05	-7.431397143	32.87999493	2.909763305	-6.660898101	26.1192564	-20.32112242
TCD45n-125-20180104	N_T_P0104_00015	P0104	T	Smart-seq2	561500.3783	4618	417198.6726	4071	0.002701766	77	237	21	174	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.806073393	32.51697147	-5.49219161	19.87983125	31.21548643	-21.56901362
TCD45n-127-20180104	N_T_P0104_00016	P0104	T	Smart-seq2	290171.0272	3124	172610.5912	2656	0.005730855	52	201	13	138	Epithelial cell	hE03_Goblet-SPINK4	hE03	-3.539316582	26.94733549	-13.79731632	-5.807770513	28.39350749	-19.04330026
TCD45n-129-20180104	N_T_P0104_00017	P0104	T	Smart-seq2	544410.2024	1384	153454.5292	1237	0.001594239	30	68	12	80	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.13108585	31.05814923	0.081275882	16.44913016	30.83080131	-20.16098783
TCD45n-130-20180104	N_T_P0104_00018	P0104	T	Smart-seq2	517985.3714	4684	302589.6402	4150	0.005019644	68	248	16	171	Epithelial cell	hE03_Goblet-SPINK4	hE03	-2.624758882	35.44534848	-2.021504297	3.871590957	28.19498827	-20.45883216
TCD45n-132-20180104	N_T_P0104_00019	P0104	T	Smart-seq2	464716.4896	4055	274379.7372	3633	0.002086628	61	211	25	156	Epithelial cell	hE04_Goblet-REG4	hE04	-7.626627748	32.73947634	-4.550501966	-5.493125205	26.38633583	-20.29681034
TCD45n-136-20180104	N_T_P0104_00020	P0104	T	Smart-seq2	669543.3834	1916	359312.4955	1672	0.002483782	38	89	13	99	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.647100998	32.27335736	-1.225110127	17.58616776	30.93334962	-20.55944234
TCD45n-14-20180104	N_T_P0104_00021	P0104	T	Smart-seq2	473325.6124	2154	292845.4164	1889	0.000825898	36	108	13	93	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-0.87592038	30.65058209	-5.645339854	12.62519613	29.90626731	-20.7869628
TCD45n-145-20180104	N_T_P0104_00022	P0104	T	Smart-seq2	633389.7084	2346	313755.5793	2031	0.002000448	43	117	12	127	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-13.73655685	30.89426256	-1.833738422	15.89711813	30.35113962	-20.5531536
TCD45n-146-20180104	N_T_P0104_00023	P0104	T	Smart-seq2	602407.6946	2249	281536.8085	1972	0.005645767	43	113	12	101	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.687343603	32.36433124	-0.705855402	17.82046447	31.02697452	-20.5655346
TCD45n-151-20180104	N_T_P0104_00024	P0104	T	Smart-seq2	583521.207	3531	346021.4158	3071	0.000899225	55	203	18	158	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.899130968	31.93419156	-7.328978855	16.23608987	31.06223501	-21.48531507
TCD45n-153-20180104	N_T_P0104_00025	P0104	T	Smart-seq2	763274.1892	4705	545418.5389	4143	0.007225507	79	239	24	183	Epithelial cell	hE03_Goblet-SPINK4	hE03	2.45509006	33.18426333	-3.542501828	13.63916814	29.39078285	-20.88313895
TCD45n-155-20180104	N_T_P0104_00027	P0104	T	Smart-seq2	882510.3033	1898	668925.0844	1683	0.038527435	50	75	9	100	Epithelial cell	hE06_UnIdent	hE06	-9.622409799	40.55108391	20.98218883	5.644912013	26.0901036	-18.7098863
TCD45n-157-20180104	N_T_P0104_00028	P0104	T	Smart-seq2	754258.3696	3980	386161.448	3488	0.016407599	63	207	18	137	Epithelial cell	hE03_Goblet-SPINK4	hE03	-6.017978693	38.04565676	15.75579247	-2.008171337	28.22148656	-20.24160547
TCD45n-158-20180104	N_T_P0104_00029	P0104	T	Smart-seq2	730832.1854	1931	323805.7127	1762	0.002416556	41	89	10	82	Epithelial cell	hE06_UnIdent	hE06	-12.83355878	35.56286023	11.27860575	11.33012185	28.96365865	-17.90391076
TCD45n-159-20180104	N_T_P0104_00030	P0104	T	Smart-seq2	488877.4959	2039	270478.2445	1770	0.018849664	34	86	14	80	Epithelial cell	hE06_UnIdent	hE06	-11.82945087	37.54829503	13.00744854	8.21235643	26.76478463	-18.817842
TCD45n-16-20180104	N_T_P0104_00031	P0104	T	Smart-seq2	466516.6996	2535	294564.6416	2184	0.001881765	42	127	21	104	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-0.425891412	30.90234239	-4.443599212	11.74593136	29.87187125	-20.71995871
TCD45n-162-20180104	N_T_P0104_00032	P0104	T	Smart-seq2	619815.5086	1532	29777.57119	1337	0.003521064	29	65	7	70	Epithelial cell	hE06_UnIdent	hE06	-5.932836372	26.18918565	6.82353342	14.63102069	29.02942562	-17.90317402
TCD45n-168-20180104	N_T_P0104_00033	P0104	T	Smart-seq2	582062.8741	3507	309437.7455	3061	0.00167509	55	192	21	138	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.798622878	31.04885383	-5.126302509	15.19665016	30.35345043	-21.22173243
TCD45n-17-20180104	N_T_P0104_00034	P0104	T	Smart-seq2	489274.1514	3747	228675.4668	3331	0.00914126	57	216	27	139	Epithelial cell	hE03_Goblet-SPINK4	hE03	-2.844609091	35.60320519	0.522657778	5.505274232	28.05281843	-20.3843569
TCD45n-172-20180104	N_T_P0104_00035	P0104	T	Smart-seq2	531458.6594	3493	311985.3618	3016	0.003583104	61	187	19	144	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.79429948	31.3452166	-7.026613799	17.72160057	31.15214786	-21.52705777
TCD45n-173-20180104	N_T_P0104_00036	P0104	T	Smart-seq2	525454.6306	1550	122417.6461	1304	0.00789109	28	67	7	61	Epithelial cell	hE06_UnIdent	hE06	-13.8317236	34.12319646	8.19540205	14.37068665	29.23847948	-17.72246735
TCD45n-177-20180104	N_T_P0104_00037	P0104	T	Smart-seq2	763860.8191	3197	438102.3784	2788	0.002646708	60	155	12	127	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.188190306	31.45039539	-4.611439358	17.83446997	30.97807988	-20.84093225
TCD45n-179-20180104	N_T_P0104_00038	P0104	T	Smart-seq2	645661.4389	2700	490188.6269	2331	0.002426072	46	148	14	115	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.00877885	30.60540188	-2.843638662	17.33790224	30.24994396	-20.56172696
TCD45n-182-20180104	N_T_P0104_00040	P0104	T	Smart-seq2	621449.9908	2078	324201.1905	1775	0.000987968	37	113	6	80	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.21087653	31.02730879	-0.817974473	14.47992441	30.18880555	-20.0467383
TCD45n-183-20180104	N_T_P0104_00041	P0104	T	Smart-seq2	478763.6206	3971	345924.1417	3494	0.002565672	52	221	13	125	Epithelial cell	hE03_Goblet-SPINK4	hE03	-2.539460588	33.54049206	-2.552404387	4.039236899	28.20621922	-20.4504833
TCD45n-184-20180104	N_T_P0104_00042	P0104	T	Smart-seq2	579103.3273	1391	284191.2017	1216	0.00328933	29	70	7	53	Epithelial cell	hE06_UnIdent	hE06	-13.95561026	34.77507441	10.85709423	13.21170871	29.13133639	-17.75435581
TCD45n-185-20180104	N_T_P0104_00043	P0104	T	Smart-seq2	583413.6254	4496	337286.1389	3888	0.002379437	83	226	15	165	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.991493246	31.49360672	-6.531175743	17.72775124	31.05321208	-21.49299716
TCD45n-186-20180104	N_T_P0104_00044	P0104	T	Smart-seq2	894078.3244	3284	181225.5108	2877	0.000947111	49	178	12	124	Epithelial cell	hE04_Goblet-REG4	hE04	-4.844915625	26.50568535	-15.04339408	-2.241425926	28.44011284	-18.99251113
TCD45n-189-20180104	N_T_P0104_00045	P0104	T	Smart-seq2	775178.0067	2225	270841.6288	1959	0.012585545	36	124	15	86	Epithelial cell	hE06_UnIdent	hE06	-13.11542202	36.06310028	14.24539627	10.7920762	26.3807214	-18.73366183
TCD45n-190-20180104	N_T_P0104_00046	P0104	T	Smart-seq2	354333.033	1256	37231.9711	1061	0.001898293	26	45	7	54	Epithelial cell	hE06_UnIdent	hE06	-14.0491484	34.13531242	7.336686733	14.50734879	29.28180218	-17.6388469
TCD45n-19-20180104	N_T_P0104_00047	P0104	T	Smart-seq2	283386.9675	1129	184991.6264	951	0.017182553	20	55	10	44	Epithelial cell	hE06_UnIdent	hE06	-14.90045976	34.63960868	7.789500884	11.33561965	29.31685199	-17.64757152
TCD45n-192-20180104	N_T_P0104_00048	P0104	T	Smart-seq2	467856.674	2660	89907.09061	2349	0.003082672	32	144	11	101	Epithelial cell	hE04_Goblet-REG4	hE04	-4.826440803	26.54512552	-15.07283921	-2.232317514	28.38577302	-17.18938979
TCD45n-193-20180104	N_T_P0104_00049	P0104	T	Smart-seq2	483639.8993	7155	396071.9638	6490	0.023606907	101	391	34	309	Fibroblast	hF02_CAF-FAP	hF02	-25.61503021	32.74473484	-30.80957937	2.897972908	32.34570006	-11.14728046
TCD45n-196-20180104	N_T_P0104_00050	P0104	T	Smart-seq2	475415.9598	4418	339096.9228	3539	0.000708713	67	226	12	175	Epithelial cell	hE03_Goblet-SPINK4	hE03	-2.643060549	29.71475749	-6.315371644	12.28388307	29.46690194	-21.14221467
TCD45n-198-20180104	N_T_P0104_00051	P0104	T	Smart-seq2	508035.5129	1295	142227.7147	1158	0.001405637	25	67	6	55	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.43723218	30.65991624	2.443739275	15.97622496	30.47968768	-19.75458309
TCD45n-200-20180104	N_T_P0104_00052	P0104	T	Smart-seq2	649439.8233	3852	492737.5099	3294	0.002587329	64	208	13	154	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.327266756	31.29044837	-5.939999836	17.75672695	30.81767105	-21.34668766
TCD45n-20-20180104	N_T_P0104_00053	P0104	T	Smart-seq2	442240.1776	3020	308495.2483	2622	0.00461233	49	152	15	121	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-0.180968054	31.00509768	-4.780852578	13.88451302	30.03394067	-20.7998405
TCD45n-203-20180104	N_T_P0104_00054	P0104	T	Smart-seq2	610613.0174	3099	333290.2	2637	0.003404902	59	168	10	129	Epithelial cell	hE03_Goblet-SPINK4	hE03	-2.291986822	29.71200981	-5.857084937	11.78463859	29.61359901	-20.77204475
TCD45n-214-20180104	N_T_P0104_00055	P0104	T	Smart-seq2	373678.4409	4103	271031.1685	3598	0.002153432	68	222	16	150	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.909913697	32.56986148	0.113836645	7.716229261	-13.90790028	-19.33834119
TCD45n-215-20180104	N_T_P0104_00056	P0104	T	Smart-seq2	398401.72	3151	256241.9305	2721	0.004791218	45	160	12	117	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.766233351	31.0643484	-7.617566099	19.70508942	31.19291677	-21.42964806
TCD45n-216-20180104	N_T_P0104_00057	P0104	T	Smart-seq2	410247.1274	3385	278599.2876	2888	0.002155975	67	196	12	141	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.410789582	30.49769422	-6.04588008	18.03496569	30.54056324	-21.31326649
TCD45n-220-20180104	N_T_P0104_00058	P0104	T	Smart-seq2	530654.0305	1702	419726.2889	1503	0.063097807	27	64	11	59	Epithelial cell	hE06_UnIdent	hE06	-11.71605476	39.22540958	20.3803397	5.918764038	25.83271906	-18.82689413
TCD45n-221-20180104	N_T_P0104_00059	P0104	T	Smart-seq2	614425.5722	1935	235648.0222	1765	0.005888326	35	86	10	81	Epithelial cell	hE06_UnIdent	hE06	-13.29587899	36.15796625	14.22796996	10.7910527	26.07201359	-18.59206055
TCD45n-222-20180104	N_T_P0104_00060	P0104	T	Smart-seq2	526406.1745	4977	320079.1409	4298	0.005506742	74	255	22	181	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.724989363	32.43865021	0.390428088	7.349668412	29.28063625	-20.89247953
TCD45n-223-20180104	N_T_P0104_00061	P0104	T	Smart-seq2	396450.7495	3219	237055.74	2781	0.004791537	55	158	7	118	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.969318395	31.16376239	-5.049648429	16.74599423	30.31024848	-21.1740285
TCD45n-224-20180104	N_T_P0104_00062	P0104	T	Smart-seq2	508726.2394	2429	411083.3843	2250	0.035904859	40	89	17	90	Epithelial cell	hE06_UnIdent	hE06	-0.047260298	50.5221417	21.23515318	4.170602704	25.52263563	-19.33744305
TCD45n-225-20180104	N_T_P0104_00063	P0104	T	Smart-seq2	421726.9185	2803	282289.2491	2431	0.002645933	47	146	8	107	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.152137159	31.43530617	-5.943314804	17.28016946	31.04119047	-21.17423215
TCD45n-226-20180104	N_T_P0104_00064	P0104	T	Smart-seq2	400426.0946	3690	338393.7073	3310	0.007303523	58	209	21	186	Fibroblast	hF02_CAF-FAP	hF02	-28.90467914	33.97194408	-30.99780454	3.786616644	32.27375396	-11.14548852
TCD45n-227-20180104	N_T_P0104_00065	P0104	T	Smart-seq2	561974.7309	1404	302377.9597	1210	0.000905506	22	69	2	53	Epithelial cell	hE06_UnIdent	hE06	-13.74890286	34.59584828	8.10274302	14.75474631	29.36415325	-17.83292649
TCD45n-228-20180104	N_T_P0104_00066	P0104	T	Smart-seq2	443143.1357	3809	313333.3279	3291	0.001990053	70	205	25	172	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.927124448	31.40562046	-5.386230279	16.24719621	30.17567597	-21.23465733
TCD45n-229-20180104	N_T_P0104_00067	P0104	T	Smart-seq2	665862.2066	1478	158222.2995	1326	0.001812876	36	74	7	63	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.4422338	30.19885169	0.411030821	17.42366039	30.74080414	-20.0197386
TCD45n-230-20180104	N_T_P0104_00068	P0104	T	Smart-seq2	744594.8244	1902	457886.2427	1699	0.004609615	48	93	12	77	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.34755846	30.07813535	-1.138726416	18.7007991	30.92401975	-20.4048323
TCD45n-231-20180104	N_T_P0104_00069	P0104	T	Smart-seq2	579463.4943	1509	329578.2016	1335	0.004911357	29	62	5	63	Epithelial cell	hE06_UnIdent	hE06	-13.73920379	35.11519109	11.9518343	11.53681268	29.02080082	-17.88152081
TCD45n-23-20180104	N_T_P0104_00070	P0104	T	Smart-seq2	456964.8776	3700	283841.3405	3246	0.004937991	84	192	19	161	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.400171035	32.29452821	-4.22985887	14.09549704	30.05559441	-20.60418832
TCD45n-232-20180104	N_T_P0104_00071	P0104	T	Smart-seq2	410659.6092	1795	227966.3675	1631	0.004189468	34	77	11	91	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.40624825	29.69371459	-1.959221088	18.72149092	31.09115976	-20.80758467
TCD45n-233-20180104	N_T_P0104_00072	P0104	T	Smart-seq2	432864.1627	5449	237522.9116	4826	0.011024793	89	299	31	262	Fibroblast	hF02_CAF-FAP	hF02	-28.91079693	34.78899621	-28.54866703	2.593707795	32.34495516	-11.15450971
TCD45n-234-20180104	N_T_P0104_00073	P0104	T	Smart-seq2	510100.1623	5490	408239.2848	4837	0.003402431	88	274	31	192	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	3.02152991	32.70579998	-5.414190572	20.79496112	31.18252691	-21.54531686
TCD45n-235-20180104	N_T_P0104_00074	P0104	T	Smart-seq2	476365.1673	4258	305070.7776	3779	0.002254781	67	240	22	156	Epithelial cell	hE05_Stemlike-LGR5	hE05	-3.500987606	32.45845662	-1.898683099	-2.485245481	25.33674682	-21.32846497
TCD45n-236-20180104	N_T_P0104_00075	P0104	T	Smart-seq2	403143.0158	4698	287198.1186	4145	0.006519505	70	249	18	159	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.866303861	32.62411239	-5.340362044	20.92427823	31.06503901	-21.58527209
TCD45n-237-20180104	N_T_P0104_00076	P0104	T	Smart-seq2	737295.1788	2143	226189.7415	1906	0.002630763	40	104	15	92	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.37938367	30.00741829	-0.19346596	18.28328189	31.10344102	-20.90752991
TCD45n-238-20180104	N_T_P0104_00077	P0104	T	Smart-seq2	549767.3022	4537	392551.4979	3821	0.029551918	86	229	18	174	Epithelial cell	hE03_Goblet-SPINK4	hE03	-3.089500784	36.50241469	0.285917823	-12.85126298	28.16624931	-20.4129465
TCD45n-239-20180104	N_T_P0104_00078	P0104	T	Smart-seq2	509971.8626	4410	416888.4613	3688	0.002879488	68	226	17	167	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.516080424	30.61225418	-7.008046994	18.41050621	31.13973382	-21.53884976
TCD45n-240-20180104	N_T_P0104_00079	P0104	T	Smart-seq2	400598.3907	4205	250177.5391	3658	0.006926957	60	233	25	161	Epithelial cell	hE03_Goblet-SPINK4	hE03	-1.903082396	35.19605052	-0.008603474	3.024824657	29.00347242	-20.93364402
TCD45n-241-20180104	N_T_P0104_00080	P0104	T	Smart-seq2	625001.9114	10450	557965.5077	9325	0.037854678	119	557	43	338	Malignant cell	hC03_P0411	hC03	4.774703958	49.67728694	23.19082984	-5.12907032	23.56229591	-23.40537512
TCD45n-24-20180104	N_T_P0104_00081	P0104	T	Smart-seq2	485273.0773	1369	335804.2911	1200	0.00259957	32	82	12	67	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.03834419	31.69934387	0.369414819	15.53567072	30.44881905	-19.68575445
TCD45n-242-20180104	N_T_P0104_00082	P0104	T	Smart-seq2	382455.5393	1118	21951.39111	957	0.002269144	19	47	5	50	Epithelial cell	hE06_UnIdent	hE06	-14.01187858	34.07388382	7.360048741	14.22950006	29.33868318	-18.03404002
TCD45n-243-20180104	N_T_P0104_00083	P0104	T	Smart-seq2	254628.3014	5598	231508.8948	4653	0.002459277	79	294	26	201	Epithelial cell	hE03_Goblet-SPINK4	hE03	-3.170301054	27.38413308	-5.816199357	4.529327492	27.88293281	-20.51265626
TCD45n-244-20180104	N_T_P0104_00084	P0104	T	Smart-seq2	805609.9626	4858	702629.8538	4414	0.03000917	68	274	15	199	Fibroblast	hF01_Myofib-ACTA2	hF01	-27.06518463	32.98650233	-32.83765856	4.291597677	32.24856311	-11.12720255
TCD45n-245-20180104	N_T_P0104_00085	P0104	T	Smart-seq2	617146.825	2526	423767.9588	2163	0.005280356	53	127	16	127	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.21191366	30.58459352	-2.175103334	17.10641404	30.4829142	-19.85341484
TCD45n-246-20180104	N_T_P0104_00086	P0104	T	Smart-seq2	562327.5004	1444	140808.3609	1281	0.001867239	22	86	6	51	Epithelial cell	hE06_UnIdent	hE06	-7.597503131	28.86842071	-8.497701962	-4.365367634	28.80422577	-17.05005776
TCD45n-247-20180104	N_T_P0104_00087	P0104	T	Smart-seq2	448262.1429	3595	244921.0882	3080	0.002833058	57	197	24	148	Epithelial cell	hE03_Goblet-SPINK4	hE03	-0.746399856	30.01666979	-8.472558161	11.51874337	29.7784753	-21.31677874
TCD45n-248-20180104	N_T_P0104_00088	P0104	T	Smart-seq2	392538.1465	3461	308891.5159	2972	0.001931081	71	193	22	150	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	1.226807945	31.37971118	-6.517276266	16.98424393	31.16160343	-21.5290846
TCD45n-249-20180104	N_T_P0104_00089	P0104	T	Smart-seq2	573790.8551	2817	330518.895	2434	0.00387041	47	141	16	116	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.518007922	31.57652496	-2.907528095	15.53894963	30.36573701	-19.82084103
TCD45n-250-20180104	N_T_P0104_00090	P0104	T	Smart-seq2	592943.1762	6107	446541.2291	5357	0.004831249	120	305	26	295	Epithelial cell	hE01_Endothelium-ACKR1	hE01	-35.24580106	35.52077472	7.239670392	33.95439146	-15.43097786	-29.31582329
TCD45n-251-20180104	N_T_P0104_00091	P0104	T	Smart-seq2	431502.7203	4067	281970.5401	3366	0.001787889	61	219	11	140	Epithelial cell	hE03_Goblet-SPINK4	hE03	-2.408625402	28.81562901	-9.255193108	18.21717924	29.84757281	-21.19464444
TCD45n-25-20180104	N_T_P0104_00092	P0104	T	Smart-seq2	474864.8623	2117	306340.513	1872	0.004080868	40	113	20	93	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	0.571737988	32.21143367	-1.241748001	16.94570456	31.16479194	-21.15330135
TCD45n-27-20180104	N_T_P0104_00093	P0104	T	Smart-seq2	410734.5614	1420	191246.9171	1235	0.01053229	35	67	10	59	Epithelial cell	hE06_UnIdent	hE06	-14.06945991	31.9940985	0.849996884	14.01938487	29.89058458	-18.85667395
TCD45n-28-20180104	N_T_P0104_00094	P0104	T	Smart-seq2	516129.6534	1426	222206.2382	1240	0.002247408	34	76	17	72	Epithelial cell	hE06_UnIdent	hE06	-13.87691561	32.35187424	4.247527514	14.6155989	30.01149577	-18.88433934
TCD45n-289-20180104	N_T_P0104_00095	P0104	T	Smart-seq2	411973.7126	1903	286379.2875	1728	0.006350717	37	87	13	88	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-13.89848873	30.95655209	-0.105628305	19.5982113	29.57291878	-19.55477774
TCD45n-290-20180104	N_T_P0104_00096	P0104	T	Smart-seq2	480195.3875	1304	327156.3365	1142	0.008370815	23	58	16	65	Epithelial cell	hE06_UnIdent	hE06	-13.53468597	35.52648577	12.8818448	11.23593058	28.9421836	-17.77942999
TCD45n-291-20180104	N_T_P0104_00097	P0104	T	Smart-seq2	469867.5367	3435	352968.5226	2921	0.004534644	73	197	19	156	Epithelial cell	hE03_Goblet-SPINK4	hE03	-1.195326039	29.45420063	-8.848337654	11.46056918	29.58002086	-21.24196563
TCD45n-29-20180104	N_T_P0104_00098	P0104	T	Smart-seq2	526751.4761	1255	367728.9603	1105	0.002224304	26	57	8	66	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.04349946	32.23513507	1.627300027	15.76632218	30.17274466	-19.14320483
TCD45n-292-20180104	N_T_P0104_00099	P0104	T	Smart-seq2	467671.8702	2065	101615.5373	1756	0.011005822	40	100	11	93	Epithelial cell	hE06_UnIdent	hE06	-5.706036948	26.80819197	4.534604699	15.89150456	29.87987054	-18.95923727
TCD45n-293-20180104	N_T_P0104_00100	P0104	T	Smart-seq2	456929.5339	1798	300420.3354	1632	0.008772521	37	88	16	91	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.39790911	29.66913488	-0.178125542	19.58419079	30.83582876	-20.44502766
TCD45n-294-20180104	N_T_P0104_00101	P0104	T	Smart-seq2	616889.0288	7974	530078.2783	7389	0.017490934	115	429	40	325	Fibroblast	hF02_CAF-FAP	hF02	-25.53116006	32.7436214	-31.42202651	2.171308555	32.35239201	-11.12915731
TCD45n-295-20180104	N_T_P0104_00102	P0104	T	Smart-seq2	496484.8434	2175	207521.3206	1978	0.00299576	50	105	16	113	Epithelial cell	hE06_UnIdent	hE06	-13.70922349	32.6108148	3.957583897	15.41341414	30.02969477	-18.91889479
TCD45n-296-20180104	N_T_P0104_00103	P0104	T	Smart-seq2	475286.9029	4688	368754.7109	4120	0.005094201	82	250	27	208	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.861029343	32.58205721	-5.52951375	20.40572738	31.23221041	-21.49202077
