uid	pubdate	authors	title	fulljournalname	elocationid
40973067	2025 Jan-Dec	Yang M, Qiu D, Huang M, Yu S, Xuan F	Adverse Events of Immune Checkpoint Inhibitors in Cancer Patients with Comorbid Diabetes: A Real-World Pharmacovigilance Analysis of the FDA Adverse Event Reporting System Database (2011-2025).	Cancer control : journal of the Moffitt Cancer Center	doi: 10.1177/10732748251381428
40973032	2025 Sep 17	Rimel BJ, Pujade-Lauraine E, Moore K, Pfisterer J, Han S, Cibula D, Reyners A, Redondo A, Papadimitriou C, Eitan R, Pignata S, Glasspool R, Mirza MR, Bodnar L, Duska L, Provencher D, Phaëton R, Bains M, Coskuncay E, Hardy-Bessard AC	Phase 3 Clinical Trials Evaluating Poly(ADP-Ribose) Polymerase Inhibition Plus Immunotherapy for First-Line Treatment of Advanced Ovarian Cancer.	The oncologist	pii: oyaf270. doi: 10.1093/oncolo/oyaf270
40972832	2025 Sep 17	Li Q, Deng MS, Wang RT, Luo H, Luo YY, Zhang DD, Chen KJ, Cao XF, Yang GM, Zhao TM, Xu B, Xu CX, Wang JM	Corrigendum to "PD-L1 upregulation promotes drug-induced pulmonary fibrosis by inhibiting vimentin degradation" [Pharmacol. Res. (2023) 106636 / PMID: 36586643].	Pharmacological research	doi: 10.1016/j.phrs.2025.107956
40972824	2025 Sep 17	Miao Z, Xu A, Shen G, Tang S, Luo J, Yang J, Chen Z, Pu J, Yang T	Fluorinated albumin nanocages dually target CAFs and tumor cells to potentiate bladder cancer chemoimmunotherapy.	Journal of controlled release : official journal of the Controlled Release Society	doi: 10.1016/j.jconrel.2025.114246
40972397	2025 Sep 18	Lo YL, Lin HC, Lee Y, Chuang HY, Chou TF	TME-responsive nanoparticles co-targeting VCP, NETs, and dual immune checkpoints for immune revitalization in EGFR/PD-L1/CTLA-4-driven colorectal cancer.	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	doi: 10.1016/j.biopha.2025.118565
40972100	2025	Demirkol Ş, Zor DS, Uzunoğlu MS, Uzunoğlu AS, Dülger O, Hakan MT, Horozoğlu C, Turna A, Farooqi AA, Yaylım İ	Possible Associations between PD1/PDL1 Gene Variants, Gene Expression, and Protein Expression and Clinical Outcome of Non-Small-Cell Lung Cancer.	Critical reviews in eukaryotic gene expression	doi: 10.1615/CritRevEukaryotGeneExpr.2025059626
40972018	2025 Sep 16	Wittling MC, Bennett FJ, Warren EAK, Oppat KM, Wyatt MM, Hammons JN, Liu Y, Maithel SK, Paulos CM, Lesinski GB	Development of a murine tumor-infiltrating lymphocyte therapy model for cholangiocarcinoma.	Journal of immunology (Baltimore, Md. : 1950)	pii: vkaf242. doi: 10.1093/jimmun/vkaf242
40971540	2025 Sep	Peng H, Yang P, Wang X, Zhao X, Li J, Gong Z, Zhang D, Wang Z	Unraveling the role of PREX2 mutations as a biomarker for immunotherapy response in colorectal cancer.	Cancer biomarkers : section A of Disease markers	doi: 10.1177/18758592251380454
40970928	2025 Sep 19	Wang X, Zhang Y, Li A, Zhou C, Xu S, Gu Z, Wang W, Nan P, Tao R	STYK1 as a targetable vulnerability enhances the efficacy of anti-PD-L1 therapy in pancreatic cancer.	Journal of gastroenterology	doi: 10.1007/s00535-025-02291-3
40970869	2025 Sep 19	Bekheet F, Ashland M, Reyes R, Dorigo O, Karam A, Chen CT	Durable response to an anti-CD25 antibody-drug conjugate and anti-PD-1 antibody in ovarian carcinoma: a case report.	Immunotherapy	doi: 10.1080/1750743X.2025.2561398
40970797	2025 Sep	Callow BW, Luker GD	(68)Ga-NK224 PET/CT Enables Noninvasive Assessment of PD-L1 Expression and Tumor Heterogeneity.	Radiology. Imaging cancer	doi: 10.1148/rycan.259019
40970674	2025 Sep 19	Bai X, Wang H, Guo Q	Mechanisms of T cell-mediated immune evasion in cervical cancer: a comprehensive bibliometric analysis and future research directions.	Immunological medicine	doi: 10.1080/25785826.2025.2560214
40970356	2025 Nov	Lin YX, Liu H, Liao WC, Wang YC, Zhang BC, Wan SW, Chen CC, Chang CP	Senescence‑associated IL‑33 secretion undermines sorafenib efficacy in hepatocellular carcinoma via immune evasion.	Oncology reports	pii: 154. doi: 10.3892/or.2025.8987
40970322	2025 Nov	Ko D, Lee Y, Yoon J, Choi EK, Jang D, Kim S	Cooperation between ZEB2 and SP1 upregulates PD‑L1 and CCL2 to promote the immunosuppressive activity of tumor cells.	International journal of oncology	pii: 95. doi: 10.3892/ijo.2025.5801
40969813	2025	Huang J, Wang B, Wu B	The efficacy of low-dose anlotinib as a first-line treatment for frail patients with lung adenocarcinoma and its bridging significance for subsequent treatment: case report.	Frontiers in medicine	doi: 10.3389/fmed.2025.1659090
40969680	2025 Oct	Oresti S, Salomone F, Nuccio A, Ogliari FR, Riva ST, Mollica L, Bulotta A, Viganò MG, Venanzi FM, Passaretti F, Papotto L, Di Lello A, Ferrara M, Foggetti G, Damiano G, Servetto A, Califano R, Di Maio M, Ricciuti B, Cortellini A, Reck M, Cinquini M, Torri V, Viscardi G, Ferrara R	Impact of platinum-based chemotherapy and CTLA-4 inhibition on acquired resistance to first-line anti-PD-1/PD-L1 agents in non-small cell lung cancer: a systematic review and reconstructed individual patient data analysis.	EClinicalMedicine	doi: 10.1016/j.eclinm.2025.103482
40968606	2025 Sep 19	Jun HR, Lee JY, Lee C, Chun SM	Tumor-Type-Specific TMB Cutoffs for Improved ICI Outcome Prediction: Large-Scale Analysis with Real-World Targeted NGS Data.	Cancer research and treatment	doi: 10.4143/crt.2025.860
40968169	2025 Sep 18	Lesniak J, Schick M, Kunzke T, Pollastri F, Vigueras-Guillén JP, Hessel H, Haneder S, Sontakke P, DaCosta K, Alleze R, Zimmermann J, Kapil A, Brieu N, Shumilov A, Sade H, Barrett JC, Schmidt G, Stewart R	Enhanced patient selection with quantitative continuous scoring of PD-L1 expression for IO treatment in metastatic NSCLC.	NPJ precision oncology	doi: 10.1038/s41698-025-01107-0
40966845	2025 Sep 17	Zhou X, Zhang J, Lou Y, Li W, Xu Z, Zhang H, Li T	Immune and HPV landscape in oral multiple primary cancers compared to single primary cancer.	Oral oncology	doi: 10.1016/j.oraloncology.2025.107646
40966304	2025 Sep 18	Ma X, Liu Y, Chen Y, Wang J, Zhang F, Liang W, Zhang P, Zhou Y, Miao B, Fei S, Yamamoto M, Tsukamoto T, Nomura S, Li L, Wang J	BFAR promotes neutrophil infiltration and immunosuppressive reprogramming through the PRP19-YBX1 axis to induce immune evasion in gastric cancer.	Cancer immunology research	doi: 10.1158/2326-6066.CIR-24-1011
40965679	2025 Sep 18	Walter J, Nestle U, Weykamp F	[Neoadjuvant PD-1 and PD-L1 block with chemotherapy in borderline resectable and unresectable stage III NSCLC: paradigm shift or evidence-poor hype?].	Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al]	doi: 10.1007/s00066-025-02457-1
40965079	2025 Sep 18	Wang J, Meng L, Meng F, Zhang T, Cheng G, Chen X, Liu Y	Natural Killer Cell-Mimicking Hypoxia-Responsive Nanomedicines for Tumor-Specific Suppression and Immune Regulation.	Small (Weinheim an der Bergstrasse, Germany)	doi: 10.1002/smll.202505680
40964496	2025	Dai X, Feng X, Li J, Peng F	SMARCA2 Deficiency While Preserving SMARCA4 in Lung Adenocarcinoma Combined with Abnormal β-Catenin Expression.	Cancer management and research	doi: 10.2147/CMAR.S533790
40963868	2025	Hua Y, Liu Y, Liu Y, Tian X, Zhang X, You J, Yin F	Bibliometric analysis of immunotherapy for esophageal cancer: 2004-2024.	Frontiers in oncology	doi: 10.3389/fonc.2025.1565132
40963634	2025	Peng H, Li B, Cui J, Sun G, Wang Q, Zhu Y, Wang S, Tu H, Wu X, Ye Z	Soluble immune checkpoint factors reveal high-risk osteosarcoma subtypes and enable early metastasis prediction.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1651051
40963630	2025	Wang T, Sun J, Wang L, Lin Y, Wu Z, Jia Q, Zhang S, An J, Ma X, Wu Q, Su Z, Wang H	Correction: Therapeutic potential of isochlorogenic acid A from Taraxacum officinale in improving immune response and enhancing the efficacy of PD-1/PD-L1 blockade in triple-negative breast cancer.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1672972
40963620	2025	Wen H, Zheng S, Zhu X, Wang L, Chen D	Characteristics of the tumor microenvironment and potential immunotherapy strategies in renal cell carcinoma.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1643533
40963614	2025	Saddozai UAK, Lu Z, Dong S, Khawar MB, Fan Z, Cai L, Guo X, Akbar MU, Khattak S, Sun H, Wang Y	Prognostic value of metal-based ferroptosis and cuproptosis genes and score in lower grade gliomas.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1608077
40963599	2025	Sun P, Song D, Ma N, Hou S, Liu L, Gao J, Tian Y	Efficacy and safety of PD-1/PD-L1 and CTLA-4 immune checkpoint inhibitors in the treatment of diffuse pleural mesothelioma: a systematic review and meta-analysis.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1578746
40963363	2025 Sep	Kuo YC, Cheng WC, Chen HY, Chien CR, Tu CY, Chen HJ	Real-World Evidence That Non-Smokers With High PD-L1 Non-Squamous NSCLC Have Poorer Outcomes With Immune Checkpoint Inhibitors.	Thoracic cancer	doi: 10.1111/1759-7714.70167
40963291	2025 Sep 17	ey C	Characterizing pulmonary adverse events associated with the immune checkpoint inhibitor avelumab: a FAERS-based pharmacovigilance study from 2013 to 2024.	Journal of chemotherapy (Florence, Italy)	doi: 10.1080/1120009X.2025.2561969
40963050	2025 Sep 17	Ji L, Chen X, Lyu H, Song G, Xiao M, Li Q, Wang J, Fan Y, Luo Y, Li Q, Chen S, Ma F, Xu B, Zhang P	Pathological complete response and survival outcomes in single hormone receptor-positive/HER2-negative breast cancer after neoadjuvant chemotherapy and its intrinsic biological features and immune landscape.	Breast cancer research and treatment	doi: 10.1007/s10549-025-07822-3
40962941	2025 Sep 17	Idris F, Ooi JSG, Ting DHR, Tan ETX, Wan C, Benke PI, Marzinek JK, Copping JM, Li QH, Ng LY, Lim SY, Walsh I, Allison JR, Bond PJ, Torta F, Nguyen-Khuong T, Chan KR, Alonso S	Glycans on non-structural protein 1 prevent premature T-cell mediated dengue virus clearance.	EMBO molecular medicine	doi: 10.1038/s44321-025-00311-6
40962725	2025 Sept 25	Zhao JY, Yuan GM, Li PY, Wang XM, Liu ZX, Xu Y, Guo YM, Li Y	[Effects of acupuncture on the efferocytosis pathway of Mer receptor tyrosine kinase in mice with adjuvant arthritis].	Zhen ci yan jiu = Acupuncture research	doi: 10.13702/j.1000-0607.20240585
40962068	2025 Sep 15	Majchrzak A, Niedźwiedzka-Rystwej P, Bębnowska D, Aksak-Wąs B, Karasińska-Cieślak M, Cembrowska-Lech D, Skonieczna-Żydecka K, Mielczak K, Urbańska A, Hrynkiewicz R, Lewandowski F, Parczewski M	Immune checkpoint molecules as predictive markers of COVID-19 severity: A comprehensive univariable and multivariable analysis.	Immunology letters	doi: 10.1016/j.imlet.2025.107089
40962058	2025 Sep 15	Zhou J, Nie H, Liu C, Ding L, Zheng T, Du L, Yu Y, Hong Y, Yang C, Zhao Q, Zhang M, Wang H, Wang F	USP52 inhibits cell ferroptosis via Hippo/YAP pathway and blocks immunotherapy in colorectal cancer.	The Journal of biological chemistry	doi: 10.1016/j.jbc.2025.110725
40961974	2025 Sep	Tanaka T, Tamiya M, Miyazaki A, Komura K, Futamura S, Kawamura T, Kunimasa K, Inoue T, Nishino K	Efficacy of Atezolizumab, Bevacizumab, Carboplatin, and Paclitaxel Therapy in Patients With Genetic Alterations in Non-Small Cell Lung Cancer.	Thoracic cancer	doi: 10.1111/1759-7714.70162
40961907	2025 Sep 16	Ding Y, Zhang H, Wang X, Tan J, Wang M, Chen Y, Safia IH, Zhu G, Zhang X, Liu Y	Targeting lysosomal protease CTSL promotes anti-tumor immunity and sensitizes HNSCC to PD-1 blockade by stabilizing PDK1 and activating Akt-PD-L1 axis.	Neoplasia (New York, N.Y.)	doi: 10.1016/j.neo.2025.101228
40961811	2025 Sep 12	Shiraishi Y, Shimose T, Tachihara M, Tsuchiya-Kawano Y, Morinaga R, Inoue H, Toi Y, Yamada T, Yamaguchi M, Kashiwabara K, Tobino K, Ishii H, Sakata Y, Inaba M, Nakashima K, Chibana K, Fukui T, Izumi M, Saito R, Ishii H, Omori S, Ogusu S, Furuyama K, Miura S, Harada T, Okamoto I	Atezolizumab with carboplatin plus nab-paclitaxel combination therapy for TTF-1 negative advanced nonsquamous non-small cell lung cancer: A multicenter, single-arm phase 2 trial (F1NE TUNE, LOGiK 2102).	European journal of cancer (Oxford, England : 1990)	doi: 10.1016/j.ejca.2025.115779
40961752	2025 Sep 16	Yan H, Wang Y, Zhu M, Sun D, Li H, Chen L	Overcoming resistance to PD-1 inhibitors: the synergistic anti-tumor effect with inflammatory factors.	International immunopharmacology	doi: 10.1016/j.intimp.2025.115555
40961372	2025 Jul 18	Goodin DA, Daunke T, Beckinger S, Krüger S, Röcken C, Sebens S, Frieboes HB	Synergistic Effect of Anti-PD-L1 Treatment and CD8+ T-Cell Activating Nanotherapy in Pancreatic Ductal Adenocarcinoma Evaluated via 3D Mathematical Modeling.	Journal of immunotherapy (Hagerstown, Md. : 1997)	doi: 10.1097/CJI.0000000000000572
40961324	2025 Sep 17	Raush E, Totrov M, Hoop CL, Knowlan KM, Bianchi R, Tarasova NI	Novel GPU Engines for Virtual Screening of Giga-Sized Libraries Identify Inhibitors of Challenging Targets.	Journal of chemical information and modeling	doi: 10.1021/acs.jcim.5c01335
40960909	2025 Sep 30	Sun L, Hu J, Wang J, Zhu X, Yan Y, Wan S, Yu H, Jiang G, Zhang L, Hu H, Zhang J, Zhang P	Expression and Clinical Implications of LAG-3 in Small Cell Lung Cancer.	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	doi: 10.1096/fj.202502183R
40960558	2025 Sep 17	Ibe OE, Ulasov I, Samoylova S, Reshetov I	Microsatellite instability and PD-L1 expression in sarcomas: current evidence and clinical perspectives.	Medical oncology (Northwood, London, England)	doi: 10.1007/s12032-025-03039-y
40959419	2025	Lackovic LN, Tomic MS, Novakovic M, Turic M, Kajkut A, Macinkovic T, Stanetic M, Glamocak R	Pembrolizumab in the treatment of non-small cell lung cancer-experiences from clinical practice.	Frontiers in medicine	doi: 10.3389/fmed.2025.1635626
40959269	2025	Li JP, Liu YJ, Zhang Y, Ye QW, Xu G, Chong JC, Yin Y, Li Y, Wang SS, Zhou JY, Qian J, Liu SL, Zou X, Chen YG	Comprehensive analytical approach identifies a subtype of CTCF+ tumor-associated neutrophils associated with CRC development and as a biomarker for immunotherapy.	International journal of biological sciences	doi: 10.7150/ijbs.111529
40959247	2025 Sep 11	rgbo RB	Targeting Diacylglycerol Kinase Alpha (DGKα) with New Inhibitors for Enhanced Cancer Immunotherapy.	ACS medicinal chemistry letters	doi: 10.1021/acsmedchemlett.5c00473
40959235	2025 Sep 11	Deng W, Yang Y, Zhou T, Zhu X, Xu B, Zhao X, Huang K, Jin Y, Wang L, Qin M	Discovery of Pyrazole-Containing 4‑Arylindolines as Potent Small-Molecule Inhibitors of the Programmed Cell Death-1/Programmed Cell Death-Ligand 1 Interaction.	ACS medicinal chemistry letters	doi: 10.1021/acsmedchemlett.5c00423
40959109	2025	Xun J, Liu Z, Liu B, Jiang X, Yang H, Liu J, Wang B, Gao R, Zhang A, Wu X, Xi Q, Yu X, Zhang Q	KDM6B enhances anti-PD-L1 immunotherapy efficacy by increasing CD8(+) T-cell infiltration in colorectal cancer.	Journal of Cancer	doi: 10.7150/jca.118571
40959084	2025	Chen R, Wang Z, Chen X, Huang Y, Zhang F, Gao T	Personalised immunotherapy strategies informed by single cell profiling in thyroid cancer: a mini review.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1651088
40959065	2025	Tang H, Fu B, Yang Q, Yao J, Zeng K, Feng X, Yang Y, Yi S	Case Report: Split liver transplantation for graft liver failure due to antibody-mediated rejection after immune checkpoint inhibitor therapy.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1556851
40959056	2025	Yuan H, Li Y, Zhao K, Zhao YN, Yao QJ, Geng X, Wang LF, Song HY, Hu HT	Efficacy and safety of DEB-TACE combined with transarterial TQB2450 infusion and oral Anlotinib as first-line treatment in advanced hepatocellular carcinoma: a single-arm phase II study.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1667785
40958881	2025	Cao Y, Shi F, Wei X, Han S, Fang Y	Cost-effectiveness analysis of the combination of low-dose nivolumab with triple metronomic chemotherapy for advanced head and neck squamous cell carcinoma in China.	Frontiers in oncology	doi: 10.3389/fonc.2025.1542792
40958361	2025 Sep 15	Conforti F, Pala L, Catania C, Zucali PA, Sala I, Perrino M, De Vincenzo F, Cordua N, Canzian J, Tinterri B, Governini E, Bendoni M, Santoro A, Giaccone G, De Pas TM	Avelumab combined with axitinib for patients with advanced thymoma B3 and thymic carcinoma.	Cancer	doi: 10.1002/cncr.70092
40958347	2025 Sep 12	Zhang S, Liu J, Liu J, Lu K	A retrospective analysis of immunotherapy in non-small cell lung cancer patients with targetable genetic mutations.	Medicine	doi: 10.1097/MD.0000000000044144
40958322	2025 Sep 12	Cai M, Liu Y, Tao H, Tang L, Zhao L, Lan W, Liu X, Sheng Z, Peng Y, Sun W, Wu X, Shu Y	Mendelian randomization study: Metabolites as mediators of inflammatory factors in ulcerative colitis.	Medicine	doi: 10.1097/MD.0000000000044206
40958203	2025 Jan-Dec	Huo J, Qi J, Ren Q	Sennoside A Modulates the Ferroptosis and Immune Evasion of Oral Squamous Cell Carcinoma Cells Through Inhibiting the NF-κB Pathway.	Integrative cancer therapies	doi: 10.1177/15347354251375464
40958168	2025 Sep 16	Cai B, Feng X, Luo S, Nurbahati A, Cui H, Peng T, Wang W, Li H, Liu Q, Lu X, Zheng S	5-FU Resistance Facilitates Immune Evasion in Esophageal Squamous Cell Carcinoma Through ADAM10-Mediated PD-L1 Shedding and Tumour Microenvironment Remodelling.	Immunology	doi: 10.1111/imm.70038
40958118	2025 Sep 16	Topi G, Sjölander A, Satapathy SR	Integrating COX-2, stromal PD-L1, and T-cell infiltration enhances prognostic stratification in colorectal cancer.	BMC cancer	doi: 10.1186/s12885-025-14927-x
40957723	2025 Sep 16	Rahimi N, Potluri S, Chitalia V	IGPR-1 Is Phosphorylated on the Immunoreceptor Tyrosine-Based Motif, Stimulates the AKT Pathway and Supports Melanoma Growth.	Biochemistry	doi: 10.1021/acs.biochem.5c00393
40957419	2025 Sep 15	Mattavelli G, Helal M, Cetkovic A, Krämer MJ, Herbert SL, Mielert K, Schlaiß T, Frank A, Riemer E, John M, Del Pilar J, Vasquez M, Kindl L, Swietlik JJ, Gansen BO, Krafft M, Stanojkovska E, Fischer H, Albert US, Bauer J, Delgobo M, Aintablian A, Alattar H, Lutz MB, Meissner F, Oskarsson T, Rasche L, Ramos G, Rosenwald A, Wöckel A, Riedel A	A TLR4-dependent fibroblast-monocyte axis in tumor-draining lymph nodes contributes to metastasis in triple-negative breast cancer.	Immunity	pii: S1074-7613(25)00378-4. doi: 10.1016/j.immuni.2025.08.015
40956795	2025	Read OJ, Bré J, Zhang Y, Mullen P, Elshani M, Harrison DJ	A phosphoramidate modification of FUDR, NUC-3373, causes DNA damage and DAMPs release from colorectal cancer cells, potentiating lymphocyte-induced cell death.	PloS one	doi: 10.1371/journal.pone.0331567
40956534	2025 Sep 16	Arima J, Chida K, Wu R, Taniguchi K, McKenery A, Morreale BG, Monell AM, Abrams SI, Ebos JML, Hakamada K, Ishikawa T, Hagihara S, Kimura K, Iwamoto M, Lee SW, Takabe K	ESR1 Expression Negatively Correlates with Immune Cell Infiltration and Response to Immune Checkpoint Inhibitors in Estrogen Receptor-Positive/HER2-Negative Breast Cancer.	Annals of surgical oncology	doi: 10.1245/s10434-025-18260-2
40956367	2025 Sep 16	Tang B, Zhang X, Sun Y, Luo J, Weng Q, Zhang C, Wang Z, Fang S, Xiao Y, Zheng L, Tu J, Qiu R, Yang Y, Zhao Z, Chen W, Chen M, Ji J	Tumor-Targeted FABP5/STING Cascade Promote Radiofrequency Ablation Induced Ferroptosis and Intratumoral Immune Rewiring in Hepatocellular Carcinoma.	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	doi: 10.1002/advs.202507864
40956358	2025 Sep 16	Unver N, Uluturk S, Tavukcuoglu E, Duymaz Yilmaz E, Kaymaz Y, Esendagli G	The impact of aspirin on PD-L1 expression and alteration of M2 polarization in non-small cell lung cancer.	Inflammation research : official journal of the European Histamine Research Society ... [et al.]	doi: 10.1007/s00011-025-02091-8
40956279	2025 Sep 16	Turashvili G, Karnezis AN, Hulkower KI, Hebert C, Harik L, Crothers B, Giannico G, Deeb KK, Hanley K, Ganesan R, Mills A, Buza N	Reporting Results of Biomarker Testing of Specimens From Patients With Carcinoma of Gynecologic Origin: The Updated College of American Pathologists Protocol.	Archives of pathology & laboratory medicine	doi: 10.5858/arpa.2025-0157-CP
40954256	2025 Sep 15	Che S, He L, Chen Q, Mo Y, Li F, Huang J, Ruan Z	TUG1 targeting enhances anticancer immunity thereby facilitating lenvatinib efficacy in hepatocellular carcinoma.	Genes and immunity	doi: 10.1038/s41435-025-00358-y
40954246	2025 Sep 15	Fujii T, Sakurai M, Shimizu H, Izumi A, Kimura K, Shono K, Tanoue S, Okada Y, Kako S, Matsui S, Sakaida E, Jinguji A, Ouchi F, Najima Y, Kobayashi T, Tachibana T, Tanaka M, Iwata S, Onizuka M, Yano S, Hatano K, Hagihara M, Aotsuka N, Fujisawa S, Takahashi S, Kobayashi N, Kikuchi T, Tanaka K, Kataoka K, Kanda Y	Impact of prior solid tumors and their treatment modality on outcomes after allogeneic hematopoietic stem cell transplantation.	Bone marrow transplantation	doi: 10.1038/s41409-025-02718-8
40954075	2025 Sep 15	Cao S, Sun Z, Hu W, Xue D, Yang Z, Duan P, Peng H, Fu YX, Liang Y	Dual targeting OX40 and IL-2 receptor enhances antitumor activity through tumor-infiltrating Treg depletion and CD8(+) T-cell proliferation.	Journal for immunotherapy of cancer	doi: 10.1136/jitc-2025-011638
40953759	2025 Sep 13	Alibrahim MN, Gloghini A, Carbone A	Predictors of first line treatment failure in classic Hodgkin lymphoma: A comprehensive review.	Critical reviews in oncology/hematology	doi: 10.1016/j.critrevonc.2025.104943
40952277	2025 Sep 1	Al-Omari MM, Okour A, Al-Qaoud KM, Al-Omari T, Marashdeh RH, Bataineh NM	Effect of Alpha1 Antitrypsin on PD-1/PD-L1 and EGFR in Colitis-Associated Colorectal Cancer BALB/c Mouse Model.	Asian Pacific journal of cancer prevention : APJCP	doi: 10.31557/APJCP.2025.26.9.3229
40951848	2025 Jul-Sep	Hariprasad M, Rao M, Elhence PA, Bharti JN, Singh P, Yadav G, Nalwa A, Ramalingam H, Goel AD	Expression of Programmed Cell Death Ligand 1 and Mismatch Repair Status in Ovarian Carcinomas.	Journal of mid-life health	doi: 10.4103/jmh.jmh_102_25
