Gene	Description	Class
		SURVIVAL_DN
LSM8	"""LSM8 homolog, U6 small nuclear RNA ..."	SURVIVAL_DN
LXN	latexin [Source:HGNC Symbol;Acc:HGNC...	SURVIVAL_DN
LYAR	Ly1 antibody reactive [Source:HGNC S...	SURVIVAL_DN
MAPRE1	microtubule associated protein RP/EB...	SURVIVAL_DN
MARCKS	myristoylated alanine rich protein k...	SURVIVAL_DN
MCM2	minichromosome maintenance complex c...	SURVIVAL_DN
MCM6	minichromosome maintenance complex c...	SURVIVAL_DN
MCM7	minichromosome maintenance complex c...	SURVIVAL_DN
IGF1R	insulin like growth factor 1 recepto...	SURVIVAL_DN
DYNC2I2	dynein 2 intermediate chain 2 [Sourc...	SURVIVAL_DN
RMI2	RecQ mediated genome instability 2 [...	SURVIVAL_DN
ZADH2	zinc binding alcohol dehydrogenase d...	SURVIVAL_DN
DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC ...	SURVIVAL_DN
MMD	monocyte to macrophage differentiati...	SURVIVAL_DN
MRPL42	mitochondrial ribosomal protein L42 ...	SURVIVAL_DN
MSH6	mutS homolog 6 [Source:HGNC Symbol;A...	SURVIVAL_DN
MTHFD2	"""methylenetetrahydrofolate dehydroge..."	SURVIVAL_DN
MYH2	myosin heavy chain 2 [Source:HGNC Sy...	SURVIVAL_DN
NLRP2	NLR family pyrin domain containing 2...	SURVIVAL_DN
NAP1L1	nucleosome assembly protein 1 like 1...	SURVIVAL_DN
NCBP2	nuclear cap binding protein subunit ...	SURVIVAL_DN
NFE2L3	"""nuclear factor, erythroid 2 like 3 ..."	SURVIVAL_DN
NOP56	NOP56 ribonucleoprotein [Source:HGNC...	SURVIVAL_DN
PNP	purine nucleoside phosphorylase [Sou...	SURVIVAL_DN
NPM1	nucleophosmin 1 [Source:HGNC Symbol;...	SURVIVAL_DN
NSF	"""N-ethylmaleimide sensitive factor, ..."	SURVIVAL_DN
NTS	neurotensin [Source:HGNC Symbol;Acc:...	SURVIVAL_DN
ODC1	ornithine decarboxylase 1 [Source:HG...	SURVIVAL_DN
OLIG2	oligodendrocyte transcription factor...	SURVIVAL_DN
OPLAH	"""5-oxoprolinase, ATP-hydrolysing [So..."	SURVIVAL_DN
PBX1	PBX homeobox 1 [Source:HGNC Symbol;A...	SURVIVAL_DN
PCNA	proliferating cell nuclear antigen [...	SURVIVAL_DN
PDCD5	programmed cell death 5 [Source:HGNC...	SURVIVAL_DN
PELI1	pellino E3 ubiquitin protein ligase ...	SURVIVAL_DN
PFDN4	prefoldin subunit 4 [Source:HGNC Sym...	SURVIVAL_DN
PLP2	proteolipid protein 2 [Source:HGNC S...	SURVIVAL_DN
ATAD2	ATPase family AAA domain containing ...	SURVIVAL_DN
PTMA	prothymosin alpha [Source:HGNC Symbo...	SURVIVAL_DN
RAB32	"""RAB32, member RAS oncogene family [..."	SURVIVAL_DN
RALA	RAS like proto-oncogene A [Source:HG...	SURVIVAL_DN
RAN	"""RAN, member RAS oncogene family [So..."	SURVIVAL_DN
RBX1	ring-box 1 [Source:HGNC Symbol;Acc:H...	SURVIVAL_DN
RGS2	regulator of G protein signaling 2 [...	SURVIVAL_DN
PTBP3	polypyrimidine tract binding protein...	SURVIVAL_DN
RPE	ribulose-5-phosphate-3-epimerase [So...	SURVIVAL_DN
RPL12	ribosomal protein L12 [Source:HGNC S...	SURVIVAL_DN
RPL17	ribosomal protein L17 [Source:HGNC S...	SURVIVAL_DN
RPL27	ribosomal protein L27 [Source:HGNC S...	SURVIVAL_DN
RPL31	ribosomal protein L31 [Source:HGNC S...	SURVIVAL_DN
RPL35	ribosomal protein L35 [Source:HGNC S...	SURVIVAL_DN
RPL36A	ribosomal protein L36a [Source:HGNC ...	SURVIVAL_DN
RPL38	ribosomal protein L38 [Source:HGNC S...	SURVIVAL_DN
RPL9	ribosomal protein L9 [Source:HGNC Sy...	SURVIVAL_DN
RPS11P1	ribosomal protein S11 pseudogene 1 [...	SURVIVAL_DN
RPS18	ribosomal protein S18 [Source:HGNC S...	SURVIVAL_DN
RPS3	ribosomal protein S3 [Source:HGNC Sy...	SURVIVAL_DN
RPS3A	ribosomal protein S3A [Source:HGNC S...	SURVIVAL_DN
RPS5	ribosomal protein S5 [Source:HGNC Sy...	SURVIVAL_DN
RPS6	ribosomal protein S6 [Source:HGNC Sy...	SURVIVAL_DN
RPS7	ribosomal protein S7 [Source:HGNC Sy...	SURVIVAL_DN
RPS9	ribosomal protein S9 [Source:HGNC Sy...	SURVIVAL_DN
RWDD1	RWD domain containing 1 [Source:HGNC...	SURVIVAL_DN
S100A6	S100 calcium binding protein A6 [Sou...	SURVIVAL_DN
SERPINH1	serpin family H member 1 [Source:HGN...	SURVIVAL_DN
SET	SET nuclear proto-oncogene [Source:H...	SURVIVAL_DN
SLBP	stem-loop binding protein [Source:HG...	SURVIVAL_DN
SLC34A1	solute carrier family 34 member 1 [S...	SURVIVAL_DN
SMC2	structural maintenance of chromosome...	SURVIVAL_DN
SUMO2	small ubiquitin like modifier 2 [Sou...	SURVIVAL_DN
SNRPB2	small nuclear ribonucleoprotein poly...	SURVIVAL_DN
SNRPG	small nuclear ribonucleoprotein poly...	SURVIVAL_DN
RBM17	RNA binding motif protein 17 [Source...	SURVIVAL_DN
DYNLT1	dynein light chain Tctex-type 1 [Sou...	SURVIVAL_DN
RCC2	regulator of chromosome condensation...	SURVIVAL_DN
VCP	valosin containing protein [Source:H...	SURVIVAL_DN
TES	testin LIM domain protein [Source:HG...	SURVIVAL_DN
MFSD10	major facilitator superfamily domain...	SURVIVAL_DN
TMSB4X	thymosin beta 4 X-linked [Source:HGN...	SURVIVAL_DN
TOPBP1	DNA topoisomerase II binding protein...	SURVIVAL_DN
TSPAN3	tetraspanin 3 [Source:HGNC Symbol;Ac...	SURVIVAL_DN
PHLDA2	pleckstrin homology like domain fami...	SURVIVAL_DN
TTK	TTK protein kinase [Source:HGNC Symb...	SURVIVAL_DN
UBA2	ubiquitin like modifier activating e...	SURVIVAL_DN
UBE2D1	ubiquitin conjugating enzyme E2 D1 [...	SURVIVAL_DN
USP1	ubiquitin specific peptidase 1 [Sour...	SURVIVAL_DN
VCL	vinculin [Source:HGNC Symbol;Acc:HGN...	SURVIVAL_DN
YWHAB	tyrosine 3-monooxygenase/tryptophan ...	SURVIVAL_DN
YWHAH	tyrosine 3-monooxygenase/tryptophan ...	SURVIVAL_DN
YWHAQ	tyrosine 3-monooxygenase/tryptophan ...	SURVIVAL_DN
ZNF138	zinc finger protein 138 [Source:HGNC...	SURVIVAL_DN
ABCA6	ATP binding cassette subfamily A m...	SURVIVAL_UP
ABCC2	ATP binding cassette subfamily C m...	SURVIVAL_UP
ABCG5	ATP binding cassette subfamily G m...	SURVIVAL_UP
ABCG8	ATP binding cassette subfamily G m...	SURVIVAL_UP
ABHD6	"""abhydrolase domain containing 6, ..."	SURVIVAL_UP
ACADS	acyl-CoA dehydrogenase short chain...	SURVIVAL_UP
A1CF	APOBEC1 complementation factor [So...	SURVIVAL_UP
ACOX2	acyl-CoA oxidase 2 [Source:HGNC Sy...	SURVIVAL_UP
AGL	"""amylo-alpha-1, 6-glucosidase, 4-a..."	SURVIVAL_UP
ALAS1	5'-aminolevulinate synthase 1 [Sou...	SURVIVAL_UP
ALDH4A1	aldehyde dehydrogenase 4 family me...	SURVIVAL_UP
PARD3B	par-3 family cell polarity regulat...	SURVIVAL_UP
ZBED1	zinc finger BED-type containing 1 ...	SURVIVAL_UP
AMACR	alpha-methylacyl-CoA racemase [Sou...	SURVIVAL_UP
AMFR	autocrine motility factor receptor...	SURVIVAL_UP
AMT	aminomethyltransferase [Source:HGN...	SURVIVAL_UP
ANXA9	annexin A9 [Source:HGNC Symbol;Acc...	SURVIVAL_UP
AOX1	aldehyde oxidase 1 [Source:HGNC Sy...	SURVIVAL_UP
APCS	"""amyloid P component, serum [Sourc..."	SURVIVAL_UP
APOA5	apolipoprotein A5 [Source:HGNC Sym...	SURVIVAL_UP
APOC3	apolipoprotein C3 [Source:HGNC Sym...	SURVIVAL_UP
AQP9	aquaporin 9 [Source:HGNC Symbol;Ac...	SURVIVAL_UP
AR	androgen receptor [Source:HGNC Sym...	SURVIVAL_UP
ASGR1	asialoglycoprotein receptor 1 [Sou...	SURVIVAL_UP
BAAT	bile acid-CoA:amino acid N-acyltra...	SURVIVAL_UP
BDH1	3-hydroxybutyrate dehydrogenase 1 ...	SURVIVAL_UP
C1QTNF4	C1q and TNF related 4 [Source:HGNC...	SURVIVAL_UP
C2	complement C2 [Source:HGNC Symbol;...	SURVIVAL_UP
MIR1-1HG	MIR1-1 host gene [Source:HGNC Symb...	SURVIVAL_UP
C4BPB	complement component 4 binding pro...	SURVIVAL_UP
COQ8A	coenzyme Q8A [Source:HGNC Symbol;A...	SURVIVAL_UP
CABIN1	calcineurin binding protein 1 [Sou...	SURVIVAL_UP
CCL16	C-C motif chemokine ligand 16 [Sou...	SURVIVAL_UP
CDO1	cysteine dioxygenase type 1 [Sourc...	SURVIVAL_UP
CES1	carboxylesterase 1 [Source:HGNC Sy...	SURVIVAL_UP
CES2	carboxylesterase 2 [Source:HGNC Sy...	SURVIVAL_UP
CES3	carboxylesterase 3 [Source:HGNC Sy...	SURVIVAL_UP
CGREF1	cell growth regulator with EF-hand...	SURVIVAL_UP
CPB2	carboxypeptidase B2 [Source:HGNC S...	SURVIVAL_UP
CPN2	carboxypeptidase N subunit 2 [Sour...	SURVIVAL_UP
CPT2	carnitine palmitoyltransferase 2 [...	SURVIVAL_UP
CRAT	carnitine O-acetyltransferase [Sou...	SURVIVAL_UP
CRYL1	crystallin lambda 1 [Source:HGNC S...	SURVIVAL_UP
CUX2	cut like homeobox 2 [Source:HGNC S...	SURVIVAL_UP
CYP2D6	cytochrome P450 family 2 subfamily...	SURVIVAL_UP
CYP2J2	cytochrome P450 family 2 subfamily...	SURVIVAL_UP
CYP3A4	cytochrome P450 family 3 subfamily...	SURVIVAL_UP
CYP4F11	cytochrome P450 family 4 subfamily...	SURVIVAL_UP
DCXR	dicarbonyl and L-xylulose reductas...	SURVIVAL_UP
MOGAT1	monoacylglycerol O-acyltransferase...	SURVIVAL_UP
DIO1	iodothyronine deiodinase 1 [Source...	SURVIVAL_UP
