Gene	FDR	IQR	Group A median	Group B median
BCHE	3.28E-07	2.76	-3.12	-2.1
BCO2	3.28E-07	2.23	-4.47	-2.8
BGN	1.28E-03	2.05	-1.44	-0.86
BHLHE40	6.47E-03	1.51	-0.94	-1.01
BHLHE41	2.18E-03	1.57	1.11	0.54
BHMT	1.09E-05	2.5	-2.74	-1.19
BICC1	6.82E-03	3.51	2.93	1.51
BIRC3	1.43E-02	1.91	0.91	0.58
BIRC5	3.54E-07	2.01	3.31	1.54
BLVRA	2.33E-03	1.55	1.37	0.56
BUB1	6.12E-07	2.41	2.95	0.89
BUB1B	3.28E-07	2.33	3.33	1.18
C11orf96	1.33E-04	1.95	-2.55	-1.87
C12orf75	2.87E-05	2.06	2.67	2.01
C15orf48	1.17E-02	2.82	2.31	0.98
C1S	2.18E-03	2.19	-1.74	-0.72
C1orf106	3.35E-03	2.37	2.07	0.2
C1orf112	1.31E-05	1.6	1.56	0.71
C1orf162	3.31E-02	1.5	-0.76	-0.92
C1orf168	1.95E-05	1.62	-1.76	-0.91
C3P1	3.76E-07	2.68	-3.28	-1.14
C5orf27	9.18E-06	3.94	-5.07	-2.21
C6	3.28E-07	2.01	-2.47	-1.03
C7	4.71E-04	3.61	-3.05	-0.97
C8A	3.28E-07	1.66	-2.57	-1.21
C8B	7.10E-07	1.62	-1.96	-1.07
C8orf4	6.12E-07	1.84	-2.8	-1.58
C9	3.46E-07	4.83	-3.63	-2.39
CA12	1.43E-04	2.72	2.09	0.72
CA2	7.64E-06	2.03	-2.09	-1.48
CACHD1	4.01E-03	1.62	1.13	0.54
CALCRL	3.08E-03	1.57	0.47	1.24
CAPG	9.01E-06	1.55	1.78	0.83
CARD16	5.69E-04	1.51	1.19	1.46
CASP1	1.97E-02	1.54	0.78	0.91
CAV1	1.38E-03	1.54	1.1	1.19
CBX5	1.71E-03	1.52	1.4	0.73
CCDC71L	1.76E-04	1.58	-1.55	-1.03
CCDC80	4.44E-02	2.44	0.3	1.02
CCL2	2.43E-02	1.92	-1.17	-0.61
CCL20	3.55E-04	3.04	4.55	2.72
CCNA2	7.58E-07	1.82	2.47	0.94
CCNB1	3.40E-07	2.15	3.08	1.24
CCNB2	3.28E-07	2.03	3.27	1.56
CCNE2	5.07E-06	1.57	2.5	1.11
CD109	5.29E-07	2.85	3.23	1.64
CD14	4.83E-06	1.78	-2.05	-0.85
CD163	1.44E-03	1.61	-1.36	-0.98
CD1D	1.15E-04	2.02	-2.19	-1.44
CD24	1.89E-04	3.42	4.59	2.54
CD52	7.25E-03	1.86	1.04	1.17
CD55	1.73E-02	1.69	-1.37	-0.68
CD5L	4.42E-06	1.57	-2.46	-1.77
CDA	1.40E-03	2.03	-1.89	-1.07
CDC20	3.62E-07	2.31	3.51	1.39
CDC6	1.78E-06	2.04	2.62	0.74
CDCA3	3.28E-07	1.56	2.46	1.16
CDCA7	2.75E-02	2.26	1.32	0.21
CDCA7L	2.98E-04	1.79	1.94	0.45
CDH1	7.25E-03	1.77	-1.22	-1.3
CDH11	6.03E-05	2.65	1.14	1.53
CDH19	1.11E-05	1.55	-2.43	-2.27
CDHR5	1.36E-04	2.1	-2.17	-0.79
CDK1	3.28E-07	2.37	3.65	1.43
CDK6	2.69E-02	1.88	0.82	0.87
CDKN3	3.58E-07	2.21	3.94	1.88
CDO1	3.74E-06	1.52	-2.7	-1.75
CEBPD	6.77E-06	1.95	-2.29	-1.78
CEMIP	1.50E-02	1.55	0.19	0.79
CENPA	4.06E-07	2.37	2.91	0.86
CENPF	3.28E-07	1.86	3.36	1.69
CENPK	3.28E-07	1.93	2.98	1.17
CENPU	3.28E-07	1.62	3.74	2.37
CENPW	3.54E-07	1.55	3.19	1.75
CEP55	4.39E-07	1.87	2.27	0.53
CFHR3	1.11E-05	3.36	-3.94	-1.38
CFHR4	7.13E-06	3.31	-3.51	-1.15
CFI	3.55E-04	1.77	-2.09	-0.85
CHML	1.11E-05	2.03	2.86	1.16
CIDEB	5.49E-07	1.59	-2.11	-1.09
CITED2	1.25E-04	1.62	-1.53	-1.83
CLDN15	4.66E-03	1.54	0.58	0.86
CLEC3B	6.31E-03	1.59	-1.53	-0.2
CLGN	2.57E-03	3.55	3.11	0.97
CLIP4	5.38E-03	1.83	0.98	0.97
CLRN3	6.77E-06	4.15	-4.23	-3.37
CNDP1	3.28E-07	2.67	-6.07	-4.42
CNGA1	2.17E-05	1.53	-1.79	-1.37
CNKSR2	3.50E-03	1.76	1.2	0.67
CNTN3	4.23E-04	3.2	-3.22	-2.98
COBLL1	5.73E-05	1.58	-1.64	-0.96
COCH	1.28E-03	3.91	2.88	0.88
COL15A1	3.99E-07	2.23	3.84	4.7
COL1A1	2.30E-06	2.63	2.87	3.22
COL1A2	9.94E-07	2.48	2.79	3.59
COL3A1	9.84E-03	2.47	0.8	1.74
COL5A1	2.28E-02	2.11	0.52	1.22
COL5A2	2.00E-03	1.91	1.35	0.9
COL5A3	8.67E-04	1.57	0.6	1.16
COL8A1	5.59E-03	2.02	0.38	1.05
COLCA2	6.69E-07	1.66	2.13	0.63
COLEC11	8.80E-04	2.05	-1.86	-0.91
COX7B2	2.27E-03	4.34	3.47	0.31
CPE	8.36E-03	1.93	1.5	0.64
CPED1	5.07E-07	1.86	-2.65	-1.16
CPN1	4.89E-05	1.62	-1.38	-1.11
CPS1	7.93E-06	1.96	-1.5	-0.81
CR936796	3.32E-05	2.28	1.22	0.81
CRISPLD2	3.53E-02	1.81	-1.04	-0.63
CRNDE	7.26E-06	2.53	3.84	3.14
CRP	3.26E-03	5.34	-2.08	-2.11
CSAD	3.74E-06	1.9	-2.62	-0.89
CTH	6.77E-06	2.27	-2.95	-1.45
CTHRC1	4.93E-07	3.69	3.17	1.91
CTNNA1	3.80E-02	1.97	1.06	0.75
CTSC	1.01E-03	2.53	2.72	1.52
CUX2	1.04E-02	2.1	-1.66	-0.58
CXCL10	3.95E-06	2.2	2.59	2.46
CXCL11	9.22E-05	2.88	1.18	1.52
CXCL12	1.70E-06	2.71	-3.12	-2.36
CXCL2	3.78E-07	2.42	-3.27	-2.3
CXCL9	1.59E-03	2.27	1.56	1.52
CYFIP2	7.54E-03	1.6	-1.03	-0.94
CYP1A1	2.46E-02	2.93	-1.94	0.43
CYP1A2	5.76E-07	2.54	-6.12	-4.02
CYP2A6	3.63E-05	4.59	-4.4	-1.46
CYP2A7	1.35E-05	2.84	-3.82	-1.68
CYP2B6	3.28E-07	2.62	-3.79	-2.02
CYP2B7P	5.97E-04	2.73	-2.6	-1.74
CYP2C18	7.39E-06	1.87	-1.75	-1.26
CYP2C8	3.28E-07	2.61	-2.97	-0.9
CYP2C9	9.53E-05	3.79	-3.55	-0.89
CYP2D6	1.60E-02	2.25	-1.49	-0.55
CYP2E1	2.08E-04	5.79	-4.26	-1.14
CYP39A1	5.07E-07	3.73	-4.39	-2.33
CYP3A4	4.33E-05	4.18	-4.71	-1.08
CYP3A43	3.68E-06	2.1	-2.97	-1.36
CYP3A5	2.00E-03	2.12	-1.44	-0.92
CYP3A7-CYP3AP1	1.54E-03	2.94	-2.06	-0.69
CYP4A11	3.28E-07	2.7	-3.09	-1.88
CYP4F2	1.13E-05	1.55	-2.02	-0.9
CYP4V2	4.49E-05	1.77	-1.92	-0.64
CYP4X1	3.67E-04	1.81	-1.83	-1.5
CYP8B1	4.36E-04	3.95	-3.9	-0.35
CYR61	5.96E-06	1.9	-2.43	-1.41
DAK	6.56E-04	1.51	-1.71	-0.54
DCAF4L2	4.68E-02	1.83	0.36	0.12
DCDC2	5.26E-04	2.92	2.05	1.67
DCN	6.56E-05	3.91	-3.95	-1.68
DCXR	2.03E-03	1.99	-1.88	-0.24
DENND1B	4.09E-02	1.66	1.36	0.79
DEPDC1	9.45E-07	2.09	2.57	0.99
DEPDC1B	1.02E-06	2.21	2.62	0.47
DFNA5	2.08E-03	1.8	1.59	0.74
DHRS1	9.37E-05	1.67	-1.82	-0.63
DKK1	2.30E-02	3.4	1.37	0.25
DKK3	1.48E-03	1.93	0.72	1.34
DLGAP5	3.28E-07	2.29	3.6	1.61
DMGDH	9.11E-07	1.95	-2.72	-1.02
DNAJC12	2.22E-06	3.46	-3.21	-1.97
DNAJC6	1.62E-06	2.37	2.9	2.4
DNALI1	5.61E-04	1.68	-1.15	-0.63
DNASE1L3	8.49E-07	2.32	-3.86	-1.93
DSE	3.31E-03	1.74	-1.29	-0.85
DTL	6.54E-07	1.89	2.81	1.19
DTNA	4.93E-07	2	2.91	2.92
DUSP1	1.43E-05	1.59	-1.93	-1.25
DUSP5	1.02E-04	1.67	-0.9	-1.25
E2F7	1.76E-06	1.54	1.73	0.45
E2F8	6.73E-07	1.96	2.57	0.9
ECM2	5.18E-04	1.78	-2.22	-0.52
ECT2	3.28E-07	1.8	3.58	1.94
EDIL3	1.31E-06	2.22	2.31	2.47
EFEMP1	3.20E-02	2.66	0.3	1.13
EFHD1	1.76E-03	1.73	-1.98	-1.23
EGR1	6.79E-05	2.24	-3.05	-1.94
EHF	1.69E-02	3.24	2.94	0.62
EIF3H	4.94E-04	1.67	0.92	0.89
EIF4A2	1.42E-02	1.67	-0.31	-1.21
EIF5A2	3.85E-03	2.42	2.13	0.47
ELOVL2	4.47E-03	1.69	1.16	1.19
ELOVL7	1.67E-02	3.97	3.7	0.11
EMCN	1.12E-03	1.66	0.56	1.62
ENAH	3.28E-07	1.72	3.14	2.51
ENO3	1.09E-04	2.2	-2.03	-2.41
ENPEP	5.38E-03	2.33	-1.69	-0.34
ENPP2	5.59E-03	2.6	2.16	1.4
EPCAM	4.88E-02	3.03	-0.71	-0.99
EPHX2	1.78E-06	1.53	-2.22	-1.2
EPPK1	5.59E-03	3.45	2.58	0.89
EPS8L3	7.77E-04	2.02	1.23	0.31
ERAP2	4.09E-02	2.77	0.28	0.95
ERICH5	2.79E-03	3.03	3.04	1.88
ESR1	1.31E-06	2.78	-4.53	-1.91
ETV1	2.57E-02	2.11	1.35	0.85
EVI2A	4.49E-02	1.55	0.65	0.29
EXPH5	6.06E-04	3.03	-3.21	-0.36
EZH2	5.02E-07	1.59	2.76	1.27
F13A1	6.67E-05	2.03	1.14	1.24
F5	3.84E-02	1.92	-1.37	-0.07
F9	3.28E-07	2.12	-2.2	-0.93
FABP4	4.30E-02	2.66	0.46	2.63
FABP5	3.49E-04	1.56	2.55	1.62
FADS1	2.25E-02	1.77	1.5	0.4
FAM110C	2.54E-04	2.16	-1.33	-0.92
FAM129A	5.10E-04	1.54	1.01	0.78
FAM133A	8.80E-04	3.18	1.05	0.53
FAM134B	2.69E-06	3.61	-4.73	-2.01
FAM13A	3.21E-05	1.82	-2.55	-1.64
FAM149A	7.04E-05	1.53	-1.89	-0.82
FAM169A	2.98E-04	1.94	1.12	1.81
FAM217B	3.31E-03	1.52	1.56	0.61
FAM46C	1.64E-03	1.79	-1	-1.1
FAM72A	3.28E-07	2.35	3.87	1.75
FAM83D	3.86E-07	1.82	3.43	2.38
FBN1	1.89E-03	1.78	0.8	1.32
FBP1	3.28E-07	1.81	-2.78	-1.91
FCGR2B	9.07E-05	1.76	-2.32	-2.11
FERMT1	2.02E-03	2.02	1.19	1.02
FETUB	7.07E-03	3.97	-2.57	0.09
FGB	2.39E-05	1.66	-1.39	-0.59
FGF13	8.50E-05	2.96	2.11	0.97
FGL2	1.61E-02	1.56	-0.66	-0.78
FHL1	1.16E-03	1.61	-1.14	-0.61
FHL2	3.65E-03	2.01	-1.76	-0.85
FLJ22763	2.98E-06	2.56	-3.93	-2.09
FLRT3	4.23E-03	1.82	-1.15	-1.08
FLVCR1	4.09E-07	1.67	2.73	1.7
FMO1	1.98E-02	1.63	0.48	0.39
FMO3	5.98E-03	2.02	-1.88	-0.16
FOLH1	1.92E-06	2.39	-2.48	-1.34
FOLH1B	1.57E-06	2.59	-3.15	-1.99
FOS	5.79E-07	2.38	-3.78	-3.06
FOXM1	9.45E-07	1.69	2.45	0.86
FOXP2	2.15E-04	2.16	-1.82	-1.76
FST	1.78E-03	1.81	-2.01	-1.24
FTCD	3.28E-07	1.5	-2.27	-1.47
FXYD1	1.40E-06	2.8	-2.26	-1.6
FZD6	3.75E-03	2.34	1.67	1.02
G0S2	9.24E-03	1.89	-1.41	-0.56
G6PC	3.32E-05	2.37	-2.81	-2.06
G6PD	8.05E-07	1.96	2.31	0.5
GABARAPL1	1.52E-06	1.57	-2.3	-0.99
GABBR1	3.70E-07	1.74	4.58	3.69
GABRE	4.71E-04	1.79	1.49	1.2
GADD45B	5.38E-07	1.66	-2.55	-1.59
GADD45G	3.02E-06	1.66	-2.44	-1.17
GAGE12B	6.31E-03	1.62	0.54	0.16
GART	2.75E-02	1.69	-0.7	-1.25
GAS2L3	1.17E-06	1.63	2.41	1.23
GAS5	4.26E-02	1.72	1.29	0.01
GBA3	6.73E-07	3.28	-3.58	-1.61
GBP2	4.72E-03	1.62	1.1	0.94
GBP3	1.28E-02	1.9	0.59	1.24
GCGR	7.17E-05	1.57	-1.63	-0.72
GDA	6.90E-03	1.92	-1.13	-0.56
GDAP1	6.06E-04	2.14	2.16	0.41
GHR	1.25E-06	1.97	-2.41	-1.37
GINS1	3.28E-07	2.07	4.07	2.04
GIPC2	4.63E-04	1.78	-1.24	-0.67
GJB2	1.68E-04	1.56	-1.74	-0.98
GLS	1.09E-04	1.85	1.83	0.82
GLS2	7.64E-06	3.66	-3.97	-3.18
GLUD1	1.81E-03	1.57	-0.96	-0.72
GLUD2	2.25E-02	2	1.07	0.4
GLUL	7.16E-03	2.31	0.5	1.53
GLYAT	8.37E-05	3.75	-3.73	-0.46
GLYATL1	5.86E-07	2.42	-2.95	-0.94
GNAL	3.77E-05	2.08	0.76	1.28
GNMT	1.54E-06	3.23	-4.56	-2.7
GOLM1	2.08E-03	2.21	2.11	1.61
GPC3	1.44E-06	5.03	6.3	3.14
GPD1	4.41E-03	2.15	-2.13	-0.58
GPNMB	6.31E-03	1.55	0.77	0.43
GPR128	3.34E-07	1.61	-3.1	-2.46
GPR158	1.76E-05	1.97	2.12	2.04
GPR160	9.44E-04	1.81	1.57	0.5
GPR34	2.84E-02	2.06	1.28	0.98
GPR98	1.61E-03	1.7	-1.23	-0.87
GPRC5B	4.41E-05	1.66	1.16	1.47
GPSM2	2.31E-05	1.59	2.03	0.61
GPT2	1.31E-06	1.66	-2.1	-1.15
GPX2	4.17E-04	2.55	2.4	2.58
GPX7	1.50E-02	2.02	1.52	0.33
GRAMD1C	2.68E-05	1.77	-2.33	-1.69
GREB1	1.24E-03	2.5	0.69	1.24
GREM2	1.40E-06	2.59	-3.84	-1.85
GRHPR	8.41E-04	1.51	-1.33	-0.13
GSPT2	4.09E-06	3.14	-2.87	-2.16
GTSE1	1.25E-06	1.94	2.71	0.94
GXYLT2	1.47E-02	1.52	0.89	0.24
GYS2	3.28E-07	2.85	-3.83	-1.58
H19	1.61E-03	3.32	-2.27	-3.62
H2BFS	3.13E-03	1.52	1.06	0.83
HABP2	4.98E-03	1.98	-0.78	-0.54
HAL	4.24E-06	3.19	-1.73	-2.09
HAMP	3.58E-07	3.13	-6.49	-5.82
HAO2	1.88E-06	3.59	-3.83	-2.26
HBA1	1.50E-05	1.7	-2.32	-1.5
HBB	2.26E-05	1.94	-2.45	-1.88
HELLS	3.28E-07	1.88	2.89	1.17
HEPACAM	1.98E-04	2.64	-3.38	-1.02
HGD	3.04E-02	1.63	-1.06	-0.69
HGF	3.68E-06	2.57	-3.31	-2.33
HGFAC	3.28E-07	3.05	-4.54	-1.84
HIBADH	3.10E-02	1.58	-1.08	-0.35
HIPK3	1.86E-03	1.58	-0.9	-1.31
HIST1H1C	1.75E-02	1.93	0.99	0.69
HIST1H2AC	1.04E-04	1.74	1.23	1.47
HIST1H2AE	1.19E-03	1.59	0.88	0.93
HIST1H2AG	9.07E-04	2.46	0.91	1.32
HIST1H2BG	1.24E-05	1.87	1.85	0.63
HIST1H3A	2.42E-04	1.65	1.08	0.98
HIST2H2AA3	3.54E-03	1.58	0.85	0.73
HKDC1	3.15E-05	2.13	3.28	2.27
HLA-DMA	1.71E-03	1.83	1.49	1.27
HLA-DQB1	2.10E-02	2.01	0.92	0.67
HLF	3.75E-03	2.03	-1.86	-0.36
HMMR	3.28E-07	1.9	3.78	2.4
HOGA1	7.64E-06	1.91	-1.81	-1.22
HOXA10	7.54E-03	2.58	1.35	0.17
HOXA13	1.08E-05	2.82	1.55	1.04
HOXA3	5.21E-03	2.2	1.01	0.35
HPD	1.09E-03	3.48	-3.28	-0.2
HPGD	1.36E-04	4.55	-1.79	-2.55
HPR	1.71E-04	2.46	-2.57	-0.51
HPX	8.83E-07	1.58	-2.06	-0.81
HRCT1	4.57E-06	1.5	1.22	1.38
HRG	6.67E-05	2.18	-1.84	-0.38
HS3ST3B1	3.44E-06	2.17	-2.36	-1.26
HSD11B1	2.68E-03	3.95	-3.69	-0.33
HSD17B2	3.38E-05	1.65	-1.42	-1.11
HSP90AB1	8.89E-03	1.83	1.12	0.78
HSPD1	5.52E-03	2.09	-0.9	-1.48
ID1	4.23E-04	2.39	-1.78	-1.26
IFI27	8.93E-04	3.68	2.15	3.26
IFI44	6.73E-03	1.9	0.42	0.99
IFIT2	4.78E-03	1.52	0.55	1
IFITM1	1.23E-02	1.92	-1.38	-0.38
IGF1	1.73E-06	2.83	-3.61	-1.93
IGF2	2.14E-03	5.46	-5.09	-3.01
IGF2BP2	8.93E-04	2.56	2.92	0.62
IGF2BP3	7.95E-05	4.61	4.81	0.35
IGFBP3	3.81E-06	1.74	-1.74	-1.9
IGFBP7	3.31E-02	1.6	0.28	1.21
IGH	5.26E-04	3.44	-2.64	-1.85
IGHM	1.40E-03	2.5	-1.88	-1.9
IGJ	3.17E-03	3.41	-1.79	-1.42
IL15	3.20E-02	1.54	0.57	0.45
IL1RAP	3.28E-07	1.61	-3.99	-4.44
IL33	6.99E-04	1.66	-1.39	-0.53
IL6ST	1.26E-03	1.67	-1.4	-1.34
INMT	3.67E-04	1.52	-1.87	-0.85
INSIG1	4.78E-02	1.75	-1.36	-0.36
IP6K3	2.86E-02	1.84	-1.29	-1.55
IPW	2.43E-02	2.09	1.69	0.17
ISX	1.95E-04	2.34	1.21	0.47
ITGA2	7.39E-06	2.35	1.48	1.17
ITGA9	1.06E-04	1.53	-1.75	-1.16
ITGBL1	3.78E-03	2.35	0.4	0.86
ITIH4	3.58E-07	1.56	-1.97	-0.83
ITM2A	3.18E-04	1.96	1.59	1.82
IYD	1.62E-06	1.61	-2.22	-0.93
JMJD1C	5.44E-05	1.55	-1.49	-1.54
KCND3	6.81E-07	2.71	-3.89	-1.97
KCNJ8	8.78E-03	1.75	-1.5	-0.25
KDELR3	3.79E-04	1.64	2.25	1.57
KDM4C	2.34E-04	1.56	-1.58	-1.02
KIAA0101	3.28E-07	1.88	3.83	2.12
KIAA1462	2.56E-06	1.51	0.9	1.1
KIF11	3.98E-07	1.99	2.69	0.9
KIF14	9.75E-07	1.92	2.57	1.01
KIF15	1.33E-05	1.66	1.95	0.49
KIF20A	3.28E-07	1.99	3.24	1.41
KIF23	5.76E-07	1.8	2.1	0.4
KIF2C	6.60E-07	2.02	2.88	0.94
KIF4A	3.28E-07	2.12	3.47	1.51
KITLG	7.93E-06	1.55	1.62	1
KLF4	9.22E-05	2.07	-1.36	-1.71
KLF9	1.09E-03	1.51	-1.52	-0.45
KLHL29	9.22E-05	1.83	1.81	0.93
KLKB1	7.06E-07	1.6	-1.97	-1.28
KMO	1.19E-06	2.21	-2.23	-1.44
KNG1	1.75E-02	1.94	-1.31	-0.22
KRT222	1.90E-02	1.93	1.12	0.37
KRT23	5.11E-03	4.41	1.75	1.54
KYNU	1.54E-03	1.59	-0.91	-1.17
LAMA3	1.04E-05	1.78	0.91	1.69
LAMB1	1.04E-02	2.18	1.95	0.76
LAMP3	9.22E-07	1.83	2.04	1.26
LAPTM4B	1.48E-03	2.37	2.71	1.14
LCAT	3.28E-07	2.4	-4.41	-2.69
LCN2	2.68E-03	3.14	1.65	1.76
LECT2	3.67E-04	2.91	-2.92	-0.41
LEF1	1.84E-06	2.38	1.75	1.55
LEPR	2.42E-04	2.34	-1.42	-0.81
LGALS3	2.62E-04	2.26	2.11	1.23
LGALS3BP	2.46E-02	2.14	1.28	0.6
LGALS4	3.07E-04	2.63	3.4	2.6
LGALS8	1.10E-02	1.75	1.05	0.89
LIFR	4.02E-07	1.92	-3.22	-2.23
LIMA1	2.05E-04	1.6	1.51	0.95
LIMCH1	2.08E-02	1.67	-0.78	-0.89
LIMK2	9.24E-03	1.6	1.31	0.71
LIN28B	1.97E-02	1.92	0.72	0.1
LINC00844	2.73E-06	5.34	-6.62	-1.81
LINC01018	1.86E-04	3.11	-3	-1.09
LINC01093	3.28E-07	2.12	-6.32	-4.81
LINC01146	3.28E-04	1.82	-0.68	-0.47
LINC01279	2.54E-02	1.55	0.19	0.52
LINC01314	1.07E-02	1.63	-1.15	-0.61
LINC01419	4.53E-03	4.58	2.57	0.14
LIPC	2.78E-06	1.74	-2.21	-1.03
LIPG	2.46E-04	1.76	-1.47	-1.11
LMNB1	1.89E-03	1.69	1.7	0.2
LOC100129518	1.89E-04	2.42	-2.14	-2.24
LOC100505985	1.71E-02	2.76	-1.09	-2.17
LOC100507472	3.83E-05	1.53	-1.58	-0.85
LOC100996506	1.23E-02	1.5	-1.13	-0.58
LOC101927331	1.45E-04	2.13	-1.87	-2.07
LOC101928198	1.22E-06	2.45	-3.23	-0.99
LOC101928505	2.18E-03	1.97	-1.63	-0.75
LOC101928916	9.45E-07	3.23	-3.3	-2.17
LOC101929036	8.50E-05	1.54	-1.62	-1
LOC101930288	3.35E-02	2.68	2.04	0.18
LOC102724156	4.26E-02	1.66	0.98	0.19
LOC102724356	3.49E-04	1.8	1.68	1.29
LOC149703	7.53E-04	2.41	-2.61	-0.61
LOC286052	3.36E-05	1.6	1.61	0.67
LOC344887	8.84E-06	3.06	1.89	1.56
LOC727916	3.27E-05	1.62	0.98	1.24
LOC728061	2.96E-03	1.86	-1.17	-1.11
LOX	6.31E-03	1.62	0.35	0.6
LOXL4	3.35E-02	1.88	0.94	0.57
LPA	3.28E-07	2.01	-4.41	-2.9
LPPR1	7.56E-05	2.13	1.91	1.64
LRG1	1.22E-05	1.75	-1.87	-1.15
LRP12	6.35E-04	1.73	1.36	0.27
LRRC1	2.10E-05	2.3	2.97	1.27
