DATA	GSM3443357	GSM3443358	GSM3443359	GSM3443360	GSM3443361	GSM3443362	GSM3443363	GSM3443364	GSM3443365	GSM3443366	GSM3443367	GSM3443368
CACYBP	11.39604	11.3122	11.377009999999999	11.272784999999999	11.27834	11.23375	11.45791	11.315705	11.30278	11.25975	11.263845	11.1998
MC3R	3.39475	3.371379	3.809801	3.392775	3.502323	3.398559	3.645987	3.519181	3.518738	3.716712	3.626603	3.546996
PEX16	7.443406	7.367345	7.523533	7.477988	7.55584	7.728946	7.132935	7.239929	7.193251	7.255251	6.953995	7.321559
PEX19	8.2917665	8.2848345	8.200925999999999	8.267325	8.272187500000001	8.3806565	7.8095665	7.8606695	7.9415185	7.905492000000001	7.806752	7.906301
PEX10	6.122308	6.076861	6.1190169999999995	6.249504	6.2012365	6.2854165	6.36908	6.367509500000001	6.185166000000001	6.4036705000000005	6.3305205	6.464964500000001
PEX12	7.836197	7.901048	7.886014	8.015852	7.951793	8.020193	7.891365	7.677885	7.73307	7.756259	7.848141	7.920478
PEX13	7.326978	7.311123	7.189797	7.129659	7.199637	7.426372	7.274539	7.161338	7.220168	7.189121	7.040099	7.351508
PEX14	7.2616534999999995	7.33561	7.349648500000001	7.3675065	7.186363	7.250745500000001	7.394646	7.3804680000000005	7.336085000000001	7.311284000000001	7.341324	7.353661
MC5R	4.093548	3.91573	4.030933	4.085169	4.214381	3.93593	4.124973	4.016703	4.067188	4.195666	4.186843	3.858274
PPIP5K1	6.997453	7.055416	7.042	6.988459	7.02018	7.138427	7.020821	7.189565	7.045953	7.14013	7.243361	7.071721
PPIP5K2	9.770397	9.674291	9.652672	9.83243	9.53715	9.774349	9.718775	9.625751	9.643078	9.605827	9.499778	9.398024
DHDDS	8.160414	8.281999	8.252944	8.096822	8.206019	8.145508	8.153186	8.203559	8.141007	8.117019	8.168047	8.193913
AK055981	5.316148	5.464576	5.099376	5.419679	5.296003	5.564127	5.660512	6.075572	5.944415	5.771663	5.684906	5.891825
MCAM	4.74068	4.651091	4.61638	4.794768	4.784115	4.572536	4.686405	4.366084	4.81124	4.641101	4.977168	4.580345
MCAT	8.393229	8.331036	8.470973	8.299446	8.293205	8.482088	8.501292	8.420499	8.3775	8.307509	8.214993	8.339582
MCF2	4.067057	3.649796	4.128012	3.950896	3.762543	3.891343	3.796259	3.950497	3.921297	3.850651	3.803462	3.780975
DIO1	3.060452	3.200992	3.311968	2.94645	3.308213	3.043349	3.131368	3.564704	3.062784	3.519577	3.513807	3.393116
DIO2	4.6246935	4.5372725	4.627503	4.4462775	4.692765	4.312933	4.44219	4.363315500000001	4.497191	4.460231	4.5275555	4.512135
DIO3	6.385906	6.316397	6.504211	6.426764	6.595378	6.244223	6.270148	6.219571	6.345712	6.34295	6.426764	6.278211
MCL1	7.688054	7.737719	7.762058	7.681799	7.621598	7.308495	8.027584	8.024837	7.922481	7.874906	7.925569	7.892087
MCM7	9.735085999999999	9.69461	9.6271245	9.6510635	9.571596	9.623952	9.408627500000001	9.427904999999999	9.3804745	9.351673000000002	9.3148695	9.405594
MCM9	6.792854999999999	6.845555	6.7459355	6.770735500000001	6.6796325	6.9176915	6.896582	6.859268999999999	6.954693499999999	6.9516325	6.805441999999999	6.9893215
DIS3	8.21095	8.1549475	8.09572	8.101075999999999	7.955068	8.2259085	6.838134999999999	6.8736715	7.099171	6.8159995	6.567781500000001	7.052326
MCM3	10.4297	10.37703	10.39342	10.22789	10.24331	10.36932	10.37727	10.29557	10.24006	10.25439	10.09344	10.24881
MCM4	8.817072499999998	8.764391	8.662606499999999	8.5242225	8.487484	8.5836605	8.540253499999999	8.4924955	8.486245	8.271434	8.208586	8.384826499999999
MCM5	8.977306	8.9994365	8.915839	8.906621000000001	8.811923	8.7467595	8.782869999999999	8.84152	8.829819	8.8404285	8.796606	8.821361
MCM6	10.12347	10.09496	10.06436	9.97427	10.02079	10.07555	9.998168	9.995683	9.999234	9.89914	9.927492	9.87874
MCM2	10.34244	10.37736	10.14909	10.07477	10.07351	10.2167	10.05198	10.05304	10.07393	10.02611	9.923613	9.989843
IL21R	4.340107	4.441033	4.3855355	4.5366975	4.595746	4.2774125	4.281241	4.475577	4.2383445	4.362188	4.5005335	4.462758
MAB21L2	3.2145349999999997	3.1137455000000003	3.122326	3.1151495000000002	3.1580105	3.0137595	3.219482	3.218359	3.138465	3.155769	3.3690205	3.1319964999999996
IL1RN	4.459664	4.579004	4.454578	4.24126	4.664661	4.417758	4.399114	4.409821	4.353986	4.156367	4.596144	4.233053
IL1R1	6.814226	6.795542	6.789961999999999	6.7692125	6.738101	6.7305535	7.475590499999999	7.35499	7.50732	7.280636	7.371961000000001	7.287776000000001
IL1R2	6.5529695	6.502782	6.5943155	6.695462	6.710678	6.5745155	6.70108	6.6864735	6.7397975	6.7965155	6.737196	6.8759665000000005
IL23A	6.186872	5.987936	6.233541	6.140706	6.137953	5.875208	5.622781	5.976046	5.824904	5.989461	6.038903	6.039824
SH2D2A	5.656814	5.490675	5.741301	5.707153	5.826056	5.519661	5.506755	5.531909	5.534298	5.441942	5.99878	5.354061
SMARCE1P2 /// SMARCE1P2	4.075303	3.92708	3.912725	4.075303	4.410498	3.92996	4.109451	4.406937	4.186028	3.961908	4.17445	4.190898
SH2D1A	4.500809	4.692178999999999	4.7148005	4.4963394999999995	4.677395	4.3649965	4.378677	4.39211	4.5832999999999995	4.414444	4.730793500000001	4.3726725
ACSM2A /// ACSM2B	5.299044	5.680759	5.844992	5.647264	5.875078	5.431846	6.002691	6.211573	6.394384	6.179967	6.259499	6.315596
SIPA1L3	8.188032	8.1586485	8.1133235	8.144269999999999	8.0373585	8.0479895	8.1231385	7.860894	8.014179	7.928349	7.9427515	7.8789145000000005
SIPA1L1	6.653188	6.6655975000000005	6.6152855	6.593486	6.448779	6.490449	6.340333	6.3749315	6.537647	6.367039	6.473519	6.46732
BCL2L2-PABPN1 /// PABPN1	8.600726	8.515389	8.473015	8.494063	8.517758	8.648445	8.672199	8.440696	8.527699	8.457941	8.495809	8.587457
SIPA1	7.117307	7.086913	7.031548	7.00955	6.833549	6.694006	6.827668	6.937599	6.773337	6.786963	6.784595	6.569099
DDI2 /// RSC1A1	3.912126	4.013946	4.073909	4.192348	3.672302	4.08565	3.759451	3.884008	4.051198	3.979759	4.120165	4.113241
SPECC1L	8.806394	8.858661	8.812643	8.886185	8.832703	8.791642	8.846713	8.944091	8.897189	8.972586	9.011888	9.05058
LOC101060747 /// PDPK1	7.9125119999999995	7.942712	7.821477	7.8597745	7.9712365	7.9140815	7.980181	8.035309999999999	8.1257775	8.013483	8.0263125	8.015005500000001
CAMSAP1	6.681326	6.697283	6.601431	6.521961	6.547697	6.750838	6.676927	6.833426	6.789178	6.7507	6.577374	6.846839
CAMSAP2	7.716888	7.730819	7.273878	7.583027	7.364389	7.842329	8.556396	8.493254	8.380116	8.38914	8.160789	8.360024
NPC1L1	4.43269	4.724411	4.652867	4.565885	4.777267	4.096464	4.467813	4.619421	4.759624	4.815115	4.579903	4.389157
AMELX	3.302578	3.49984	3.387405	3.245226	3.548352	3.117486	3.473727	3.206805	3.324309	3.315597	3.28456	3.281279
AMELY	4.092611	3.959438	3.903983	3.815624	4.117035	4.086649	4.345296	4.025451	4.071924	3.905832	4.046739	4.281317
HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4	5.083596	5.265794	5.253448	5.299685	5.097134	5.107807	5.005866	5.087409	4.839455	4.965877	4.988444	5.286517
RGPD3 /// RGPD4 /// RGPD5 /// RGPD6 /// RGPD8	7.778655	7.953059	7.628926	7.704742	7.682052	7.933935	7.305551	7.512853	7.408418	7.480675	7.35188	7.461019
ITGB6 /// LOC100505984	5.1394755	5.2245905	5.145225	4.9804115	5.1706970000000005	5.1581645	5.559273	5.742576	5.490758	5.345093	5.3204325	5.372982
MDC1	7.790082	7.7183705	7.6959745	7.686636	7.4942095	7.659515	7.405832	7.44797	7.346301	7.419114	7.3565915	7.417538499999999
AR	4.323846	4.2993570000000005	4.471812	4.461048	4.574088	4.451118	4.723406499999999	4.5982745000000005	4.724608999999999	4.5137015	4.6870065	4.897420500000001
C2	4.02415	4.115848	4.153154	4.049017	4.377757	3.915587	4.048251	3.939367	3.957383	4.243277	4.182615	4.196151
DYNC2LI1	7.1961735000000004	7.237354	7.1001069999999995	7.327229	7.2286155	7.3984305	8.1715305	8.0591475	8.117169	8.150381	8.051947	8.1719805
C3	9.700069	9.683604	9.629929	9.964737	9.869675	9.810867	10.16209	10.2008	10.31921	10.39614	10.26535	10.3777
C5	3.433292	3.735432	3.820085	3.849425	4.051309	3.618298	3.625009	3.782323	3.911056	3.861307	3.922725	3.702562
C6	3.71408	3.663547	4.099375	3.96494	3.729289	3.846106	3.388512	3.673363	3.541987	3.773923	3.918761	3.379309
C7	2.856791	2.64609	2.833127	2.906757	2.99041	2.897467	2.963779	2.669467	2.86764	2.881281	2.882607	3.054051
C9	2.530644	2.509498	2.613259	2.655362	2.588264	2.495347	2.553552	2.459789	2.788616	2.520514	2.742757	2.905105
CP	8.61849	8.772762	8.673593	8.886855	8.79278	8.82873	8.580979	8.5023	8.349164	8.669574	8.525715	8.630357
CS	11.79039	11.81845	11.81274	11.77618	11.83934	11.77885	11.66923	11.64813	11.71563	11.64235	11.66264	11.72733
ECSIT	8.128055	8.054796	7.986427	8.098017	8.078722	8.040028	7.652337	7.636599	7.771543	7.702181	7.815985	7.816048
SIRT4	3.83739	3.870222	3.8179265	3.7153705	3.9692045	3.9103295	4.014849	4.219944	4.091918	4.110719	4.1223860000000005	4.262156
SIRT5	6.657013	6.6423005	6.6121005	6.675195	6.594729	6.574056499999999	6.444228	6.553523500000001	6.4943575	6.419653	6.540705	6.5375735
SIRT6	7.729282	7.705732	7.799582	7.769506	7.812651	7.653183	7.769132	7.686172	7.812333	7.78397	7.869465	7.514611
SIRT7	7.958073	7.877559	7.953428	7.805907	7.872482	7.969567	7.731073	7.814443	7.748898	7.773544	7.593067	7.670887
F2	5.158195	5.143697	5.072383	5.196533	5.237392	5.245415	5.105423	5.168895	5.19189	5.169013	5.284964	5.32205
F3	9.12223	9.130023	9.048639	9.050419	8.98124	9.063015	7.681662	7.58466	7.543586	7.309908	7.547724	7.459974
SIRT1	8.7777	8.776365	8.725965	8.661146	8.573383	8.864042	8.449302	8.354113	8.411385	8.379421	8.406994	8.303433
SIRT2	7.755982	7.74705	7.850418	7.890321	7.965658	7.772806	7.849991	7.85218	7.972842	7.896947	7.91818	7.888399
SIRT3	6.415255	6.547739	6.551871	6.431101	6.321943	6.407939	6.423115	6.411747	6.437313	6.539834	6.358061	6.438807
F5	4.064713	4.3458525	4.4110655	4.4421895	4.414981	4.066227	4.069507	4.215605	4.3238389999999995	4.1602505	4.326726	4.1551255000000005
F7	5.378997	5.566008	5.51185	5.324992	5.375034	5.612039	5.389754	5.309494	5.375034	5.26523	5.683018	5.252502
F8	5.521868	5.71654	5.71712	5.849294	5.756808	5.833455	6.124867	6.315231	6.220611	6.351023	6.474113	6.386573
F9	2.93863	2.745333	2.828022	2.95054	2.811129	2.865035	2.814516	2.684136	3.023077	2.69984	2.869225	2.916463
MDFI	5.426088	5.378398	5.489134	5.461454	5.655062	5.40545	5.149731	5.464964	5.235832	5.411061	5.280792	5.449221
FH	11.32478	11.26576	11.30439	11.30643	11.34925	11.19671	11.24693	11.27013	11.2299	11.24199	11.26279	11.36629
GC	2.791733	2.681397	2.666425	2.807104	2.593976	2.560837	2.672805	2.573981	2.774352	2.693036	2.510079	2.725969
GK	5.494711000000001	5.662363	5.4365495	5.428665499999999	5.4855575000000005	5.6115010000000005	5.4541945	5.4068315	5.3754805	5.3676595	5.368492	5.4504535
MDH1	12.24263	12.24717	12.34122	12.26189	12.30272	12.22533	12.36817	12.39762	12.32135	12.3841	12.40719	12.48148
MDH2	10.274343	10.363154000000002	10.241657499999999	10.3082905	10.169007	10.2909415	10.300727	10.4198985	10.315324	10.353278	10.239806	10.328342500000002
HP	5.006987	5.079238	5.065861	4.878893	5.603405	5.157076	5.155077	5.03633	5.174127	5.168235	5.168355	5.264038
HR	5.601554999999999	5.7001384999999996	5.792196	5.820741	5.9552485	5.6327045	5.778021	5.638445000000001	5.694996	5.6553155	5.804130000000001	5.704753999999999
HPGDS	3.729591	3.468024	3.821501	3.572553	3.660203	3.544275	3.497148	3.487666	3.699479	3.491468	3.762873	3.360974
IK	9.891293	9.827298	9.930725	9.984171	10.01077	9.92155	10.08001	9.902196	9.92014	10.02851	9.967004	10.07722
MDN1	8.208769	8.17191	7.984052	8.035151	8.035893	8.26655	7.972294	8.030689	7.993847	8.000719	8.014534	8.070076
KL	7.194768	7.206276	7.23884	7.041107	6.889144	7.156468	8.287779	7.793276	8.005644	7.717652	7.970666	7.767082
MDM2	4.389018	4.454451	4.567084	4.682695	4.477505	4.422359	4.515172	4.612154	4.374851	4.421771	4.536456	4.47754
MDM4	3.299074	3.415792	3.182161	3.344846	3.226314	3.486767	3.221287	3.371378	2.997348	2.830795	2.999358	3.150837
MDM1	6.3972935	6.4178815	6.375537	6.3031685	6.089679	6.7250145	6.1246375	6.1711884999999995	6.202425	6.184025	6.122035	6.2260235
SH2D4A	8.192834	8.22481	8.212522	8.285298	8.251719	8.21102	7.669426	7.781356	7.747271	7.856321	7.838371	7.904646
MB	4.406429	4.558944	4.570086	4.434795	4.574853	4.439065	4.559967	4.640393	4.565074	4.539326	4.757853	4.383481
SH2D3A	4.721793	4.7333945	4.789522	4.8711975	4.761906	4.696892	4.712145	4.6608175	4.7296045	4.727209	4.801735	4.8486715
SH2D3C	3.534016	3.467462	3.464626	3.708568	3.507995	3.453126	3.18441	3.444815	3.440303	3.613863	3.674904	3.283823
RNFT2	7.556246	7.6182225	7.5918915	7.519759	7.476338999999999	7.5056840000000005	8.0426055	8.1132925	8.0800175	8.136092999999999	8.1614135	8.1823655
RNFT1	2.947145	2.968719	2.833149	2.691167	2.87551	3.049187	2.867458	2.914805	2.839983	2.882407	3.05145	2.803082
PC	5.874386	5.865401	5.790395	5.78127	6.071414	5.715081	5.666986	5.821508	5.682136	5.680619	5.635372	5.772167
TXNDC15	10.40487	10.34549	10.34799	10.3736	10.42407	10.48891	10.46927	10.53666	10.46264	10.44493	10.35032	10.50897
MST1R	5.291828	5.358019	5.547091	5.20841	5.219389	5.100136	5.20047	5.23984	5.473398	5.136158	5.459169	5.268924
MST1L	3.0937415	3.052953	3.1413035000000002	3.0387325	3.0271015	3.010073	3.031155	3.1577915	3.0400869999999998	3.1051095	3.233308	3.0478924999999997
OSGEP	8.660577	8.606826	8.906923	8.670445	8.663501	8.568787	8.256085	8.271964	8.279033	8.29178	8.344946	8.49556
SI	2.631421	2.690629	2.561521	2.350984	2.649134	2.441947	2.395055	2.548071	2.577557	2.646368	2.63061	2.610743
TF	4.1205735	4.246411	4.194253	4.259561	4.2815765	4.0660325	4.1425075	4.1850505	4.0928785	4.2149435	4.44111	4.1279485000000005
TG	4.73015	4.575704	4.863492	4.768006	4.753749	4.568892	4.686958	4.607316	4.92536	4.782964	4.736307	4.757863
TH	3.355111	3.481339	3.410807	3.268704	3.495793	3.184328	3.283723	3.280781	3.295188	3.600837	3.660186	3.225858
HYAL1	7.892606	8.035576	7.971204	7.954612	7.875135	7.773447	7.734944	7.831474	7.756719	7.764912	7.752264	7.839588
HYAL2	7.714121	7.789207	7.710055	7.553908	7.671442	7.583505	7.927125	7.880841	7.986676	7.758203	7.716393	7.64549
HYAL3	6.344892	6.328944	6.346697	6.159744	6.227295	6.279192	5.827639	5.897602	5.820464	5.717205	6.008654	5.774414
HYAL4	4.135683	3.964844	4.364865	4.16166	4.306782	4.116677	4.154003	4.149322	4.26013	4.141806	4.23731	4.195494
ALS2CL	5.678609	5.676528	5.951277	5.636548	5.79547	5.64804	5.457574	5.565582	5.677968	5.531366	5.714154	5.509435
RPL21 /// RPL21P28 /// SNORA27 /// SNORD102	9.453753	9.321962500000001	9.4438265	9.424447	9.5216105	9.23166	9.43217	9.414307	9.370946	9.3836605	9.458925	9.337529
XK	3.258837	3.35586	3.235247	3.012149	3.370639	3.491245	3.550024	3.571002	3.423106	3.834776	3.404926	3.456756
GLB1L	6.437711	6.586825	6.706859	6.55488	6.707965	6.549603	6.8826	6.746188	6.771973	6.796111	6.885709	6.911916
THEMIS2	4.0421625	3.9753784999999997	4.266637	4.1266505	4.3021645	3.8096225	3.9934505	3.822314	3.964252	4.235419	4.189204999999999	3.942931
JUP /// KRT17	4.5302039999999995	4.6442499999999995	4.663908	4.432673	4.629874	4.401577	4.585212	4.497743	4.7426865	4.474977	4.6163065	4.4465205
PTMAP1 /// PTMAP1	4.191446	3.826952	4.107805	3.936776	4.020809	4.034065	3.875093	3.740087	3.904449	3.901159	4.032832	3.858655
MEA1	10.98692	10.99396	11.1774	11.10405	11.0665	10.87493	11.00985	11.00449	10.99916	11.15646	11.24008	11.20644
AK096803 /// RP11-395B7.2	5.462217	5.646164	5.603912	5.792036	5.742653	5.636285	5.691072	5.636311	5.597645	5.424407	5.619463	5.744823
LOC101930052 /// LOC102724562 /// MST1 /// MST1L /// MST1P2	5.635688	5.595035	5.593317	5.612917	5.662271	5.491807	5.961672	5.849454	5.795934	5.796631	5.805837	5.77391
ABCA12	5.378048	5.524757	5.111103	5.530442	5.003991	5.70629	6.309207	6.327707	6.437685	6.183559	6.18063	6.322285
ADNP2	9.2620895	9.326532	9.142155500000001	9.2816215	9.186518499999998	9.2809765	9.4247865	9.339464	9.34955	9.3212785	9.330052	9.322208499999999
MED1	8.008530499999999	8.0918515	8.1559165	8.0398095	7.876837	8.118209	8.540784	8.598376	8.531819500000001	8.5929085	8.5008205	8.587701
MECR	7.668105	7.699931	7.78611	7.725336	7.802233	7.900891	7.619605	7.763646	7.634795	7.735414	7.628522	7.789187
MED8	9.191837	9.081105	9.305674	9.23874	9.269507	9.367727	9.184181	9.190812	9.113665	9.200481	9.239458	9.308719
MED9	6.734696	6.653874	6.645024	6.691211	6.678849	6.753251	6.649868	6.754427	6.813241	6.688904	6.768392	6.698077
MED4	8.663251	8.640697	8.574128	8.814349	8.500728	8.928848	8.536244	8.400877	8.345839	8.307899	8.242216	8.309256
DKK1	3.360725	3.054316	3.346718	3.218475	3.557128	3.389536	3.338495	3.485992	3.301768	3.360117	3.44828	3.360689
MED6	7.843951	7.704648	7.809209	7.611667	7.602553	8.096071	7.776592	7.834053	7.565235	7.755429	7.52058	7.897788
DKK2	2.363324	2.361718	2.469297	2.410901	2.315535	2.445435	2.301955	2.344154	2.301219	2.358608	2.275633	2.490014
DKK3	8.591264	8.3589555	8.404678	8.398754	8.454675	8.201107	6.8890205	6.8964195	6.795396	6.9555895	6.992419	6.9163595
MED7	9.8464825	9.7516435	9.922462	9.757339	9.779854	9.866590500000001	9.690356000000001	9.6559095	9.632327	9.616838000000001	9.679124999999999	9.693704499999999
DKK4	4.031162	3.672386	4.026615	4.119486	3.892354	3.829223	4.240511	4.084124	3.919951	3.834547	4.052573	3.996747
OSER1	8.467940500000001	8.505888500000001	8.509595999999998	8.490034000000001	8.510292	8.534329	8.690927	8.691537	8.576025	8.637839	8.6178495	8.686669
MEG3	4.1652404999999995	4.142621500000001	4.431764	4.197317	4.4315525000000004	4.1763085	4.137622	4.284838	4.195247	4.408109	4.4037615	4.342635
MEFV	6.303753	6.488802	6.428068	6.539077	6.414993	5.903069	6.208034	6.354187	6.340951	6.454957	6.560973	6.393349
KRT34 /// LOC100653049	4.790324	4.65305	4.799413	4.877272	4.872489	4.869715	4.46062	4.50516	4.493253	4.297555	4.634403	4.364011
GCFC2	7.9083965	7.909378500000001	7.814278	7.827147	7.780692500000001	8.1546325	7.729988	7.8076	7.812377	7.814689	7.6479035	7.9236
CCL3 /// CCL3L1 /// CCL3L3	4.50807	4.472551	4.43952	4.356893	4.25704	4.457713	4.314402	4.261021	4.622088	4.263805	4.240044	4.40736
MSRB2	8.290135	8.316195	8.521491	8.443264	8.407435	8.517614	8.993117999999999	9.002264499999999	8.8924015	9.0354715	9.073208000000001	9.1554845
MSRB1	10.84399	10.87826	10.9778	10.85712	10.93587	10.81764	10.41539	10.57034	10.55756	10.44241	10.51373	10.56713
MEN1	7.737886	7.608879	7.520833	7.518847	7.455236	7.583341	7.424808	7.566646	7.584918	7.373005	7.403804	7.551547
RNF43	4.714704	4.443573	4.614431	4.820861	4.627907	4.200013	4.738902	4.542171	4.691264	4.621646	4.695143	4.626049
RNF44	9.231645	9.293379	9.196101	9.266865	9.354916	9.369029	9.166195	9.195992	9.131871	9.332447	9.283623	9.308077
RNF40	6.938129	6.8384279999999995	6.9016649999999995	6.672853	6.8373045	6.692848	6.633233	6.7836490000000005	6.8515060000000005	6.6547355	6.7532084999999995	6.652936
RNF41	7.236708	7.3044215	7.1403175	7.451754	7.2957145	7.540528500000001	7.022304	7.178659	7.0171565000000005	7.285684	7.2903009999999995	7.381477500000001
MELK	10.32818	10.35103	10.37583	10.23269	10.22736	10.22875	10.00928	10.0896	10.08519	10.03133	10.0945	10.18349
OARD1	8.574123	8.646099	8.661259	8.633325	8.57819	8.700089	8.822984	8.9175	8.754515	8.972992	8.930654	9.024416
RNF10	9.3848855	9.412578	9.4343155	9.435533	9.3332175	9.3146535	9.464075999999999	9.483685	9.4481065	9.4662235	9.456973999999999	9.464085
RNF11	11.35047	11.14551	11.19495	11.39948	11.22218	11.18948	11.53149	11.23023	11.41434	11.32329	11.39889	11.21219
RNF13	10.35961	10.389895	10.356605	10.42934	10.506495000000001	10.48774	10.1997795	10.178598000000001	10.1325425	10.210664999999999	10.117855	10.1969605
RNF14	9.882787	9.839527499999999	9.7381455	9.770512	9.749959	10.0080265	9.8714945	9.7412225	9.7559975	9.7031585	9.6773345	9.753947
BBC3 /// MIR3190 /// MIR3191	7.091483	7.179996	7.382121	7.378551	7.521799	7.322884	7.080385	7.15016	7.027935	7.249023	7.337862	7.384213
RNF17	3.4891734999999997	3.5600265	3.536417	3.4385895	3.5851565	3.3487405	3.4332715	3.5117965	3.5356009999999998	3.6494809999999998	3.464375	3.3640220000000003
MEPE	5.360092	5.307605	5.507413	5.481776	5.525026	5.019749	5.410751	5.250468	5.201234	5.421453	5.568918	4.974935
IL3RA	5.881181	5.624869	5.772082	5.753601	6.020544	5.760316	5.66946	5.674145	5.737192	5.802097	5.717028	5.610197
SSX2IP	7.8067910000000005	7.8471785	7.6765565	7.739166000000001	7.7225785	7.823012	7.5389105	7.641756	7.570575	7.48759	7.4983935	7.637817
SMARCD1	6.863341	6.872268999999999	6.920777	7.0042089999999995	7.020609	6.8148625	7.013475	7.1082765	6.930239499999999	6.798775	7.045031	6.9691849999999995
RNF32	4.398168	4.023064	4.385961	4.325494	4.264544	4.531576	4.328569	4.611693	4.349999	4.552125	4.395106	4.361319
SMARCD2	8.011457	8.170237	8.124595	7.960625	8.045345	8.028198	8.059014	8.072636	8.052165	8.050434	8.067527	8.093391
