ENSG00000238009	RP11-34P13.7
ENSG00000116670	MAD2L2
ENSG00000162490	DRAXIN
ENSG00000177674	AGTRAP
ENSG00000215910	C1orf167
ENSG00000177000	MTHFR
ENSG00000011021	CLCN6
ENSG00000242349	NPPA-AS1
ENSG00000175206	NPPA
ENSG00000116685	KIAA2013
ENSG00000083444	PLOD1
ENSG00000116688	MFN2
ENSG00000116691	MIIP
ENSG00000120949	TNFRSF8
ENSG00000028137	TNFRSF1B
ENSG00000048707	VPS13D
ENSG00000162496	DHRS3
ENSG00000272482	RP11-474O21.5
ENSG00000157330	C1orf158
ENSG00000179172	HNRNPCL1
ENSG00000275774	HNRNPCL2
ENSG00000162493	PDPN
ENSG00000116731	PRDM2
ENSG00000189337	KAZN
ENSG00000175147	TMEM51-AS1
ENSG00000171729	TMEM51
ENSG00000142621	FHAD1
ENSG00000233485	RP3-467K16.2
ENSG00000228140	RP3-467K16.4
ENSG00000142634	EFHD2
ENSG00000162438	CTRC
ENSG00000142615	CELA2A
ENSG00000132906	CASP9
ENSG00000116138	DNAJC16
ENSG00000272510	RP4-680D5.8
ENSG00000116771	AGMAT
ENSG00000237301	RP4-680D5.2
ENSG00000197312	DDI2
ENSG00000116786	PLEKHM2
ENSG00000162461	SLC25A34
ENSG00000224459	RP11-169K16.4
ENSG00000162460	TMEM82
ENSG00000162458	FBLIM1
ENSG00000233954	UQCRHL
ENSG00000179743	FLJ37453
ENSG00000065526	SPEN
ENSG00000116809	ZBTB17
ENSG00000183888	C1orf64
ENSG00000173641	HSPB7
ENSG00000185519	FAM131C
ENSG00000142627	EPHA2
ENSG00000227959	RP11-276H7.2
ENSG00000224621	RP11-276H7.3
ENSG00000142632	ARHGEF19
ENSG00000132881	RSG1
ENSG00000037637	FBXO42
ENSG00000055070	SZRD1
ENSG00000187144	SPATA21
ENSG00000157191	NECAP2
ENSG00000226029	RP4-798A10.2
ENSG00000261135	RP4-798A10.7
ENSG00000219481	NBPF1
ENSG00000271732	RP5-1182A14.5
ENSG00000058453	CROCC
ENSG00000238142	RP11-108M9.4
ENSG00000272426	RP11-108M9.6
ENSG00000117122	MFAP2
ENSG00000159363	ATP13A2
ENSG00000117118	SDHB
ENSG00000117115	PADI2
ENSG00000159339	PADI4
ENSG00000179051	RCC2
ENSG00000074964	ARHGEF10L
ENSG00000117154	IGSF21
ENSG00000179023	KLHDC7A
ENSG00000159423	ALDH4A1
ENSG00000169991	IFFO2
ENSG00000127481	UBR4
ENSG00000230424	RP1-43E13.2
ENSG00000127463	EMC1
ENSG00000053372	MRTO4
ENSG00000162482	AKR7A3
ENSG00000053371	AKR7A2
ENSG00000040487	PQLC2
ENSG00000077549	CAPZB
ENSG00000173436	MINOS1
ENSG00000158747	NBL1
ENSG00000162542	TMCO4
ENSG00000178828	RNF186
ENSG00000169914	OTUD3
ENSG00000188257	PLA2G2A
ENSG00000127472	PLA2G5
ENSG00000117215	PLA2G2D
ENSG00000227066	RP3-340N1.2
ENSG00000225986	UBXN10-AS1
ENSG00000162543	UBXN10
ENSG00000162545	CAMK2N1
ENSG00000090432	MUL1
ENSG00000158825	CDA
ENSG00000158828	PINK1
ENSG00000117242	PINK1-AS
ENSG00000244038	DDOST
ENSG00000117245	KIF17
ENSG00000127483	HP1BP3
ENSG00000075151	EIF4G3
ENSG00000117298	ECE1
ENSG00000142794	NBPF3
ENSG00000162551	ALPL
ENSG00000076864	RAP1GAP
ENSG00000090686	USP48
ENSG00000187942	LDLRAD2
ENSG00000142798	HSPG2
ENSG00000228397	RP1-224A6.3
ENSG00000218510	LINC00339
ENSG00000070831	CDC42
ENSG00000162552	WNT4
ENSG00000184677	ZBTB40
ENSG00000173372	C1QA
ENSG00000159189	C1QC
ENSG00000173369	C1QB
ENSG00000133216	EPHB2
ENSG00000004487	KDM1A
ENSG00000169641	LUZP1
ENSG00000261326	LINC01355
ENSG00000125944	HNRNPR
ENSG00000125945	ZNF436
ENSG00000249087	ZNF436-AS1
ENSG00000204219	TCEA3
ENSG00000088280	ASAP3
ENSG00000007968	E2F2
ENSG00000117318	ID3
ENSG00000197880	MDS2
ENSG00000142676	RPL11
ENSG00000011007	TCEB3
ENSG00000236810	TCEB3-AS1
ENSG00000057757	PITHD1
ENSG00000011009	LYPLA2
ENSG00000117308	GALE
ENSG00000117305	HMGCL
ENSG00000179163	FUCA1
ENSG00000188822	CNR2
ENSG00000189266	PNRC2
ENSG00000188529	SRSF10
ENSG00000142661	MYOM3
ENSG00000142677	IL22RA1
ENSG00000185436	IFNLR1
ENSG00000001460	STPG1
ENSG00000001461	NIPAL3
ENSG00000117602	RCAN3
ENSG00000264443	RP4-594I10.3
ENSG00000184454	NCMAP
ENSG00000133226	SRRM1
ENSG00000169504	CLIC4
ENSG00000020633	RUNX3
ENSG00000231953	RP4-706G24.1
ENSG00000117614	SYF2
ENSG00000117616	RSRP1
ENSG00000272432	RP3-465N24.6
ENSG00000187010	RHD
ENSG00000183726	TMEM50A
ENSG00000188672	RHCE
ENSG00000204178	TMEM57
ENSG00000157978	LDLRAP1
ENSG00000225643	RP11-70P17.1
ENSG00000117643	MAN1C1
ENSG00000233478	RP1-187B23.1
ENSG00000162430	SEPN1
ENSG00000228172	RP1-317E23.3
ENSG00000117640	MTFR1L
ENSG00000127423	AUNIP
ENSG00000236528	RP1-125I3.2
ENSG00000182749	PAQR7
ENSG00000117632	STMN1
ENSG00000158006	PAFAH2
ENSG00000158014	SLC30A2
ENSG00000175087	PDIK1L
ENSG00000197245	FAM110D
ENSG00000236782	RP11-96L14.7
ENSG00000142684	ZNF593
ENSG00000142675	CNKSR1
ENSG00000130695	CEP85
ENSG00000142669	SH3BGRL3
ENSG00000158062	UBXN11
ENSG00000169442	CD52
ENSG00000176092	AIM1L
ENSG00000176083	ZNF683
ENSG00000131914	LIN28A
ENSG00000117682	DHDDS
ENSG00000198830	HMGN2
ENSG00000117676	RPS6KA1
ENSG00000117713	ARID1A
ENSG00000060642	PIGV
ENSG00000204160	ZDHHC18
ENSG00000175793	SFN
ENSG00000142751	GPN2
ENSG00000198746	GPATCH3
ENSG00000090273	NUDC
ENSG00000131910	NR0B2
ENSG00000175707	KDF1
ENSG00000253368	TRNP1
ENSG00000158246	FAM46B
ENSG00000090020	SLC9A1
ENSG00000142784	WDTC1
ENSG00000186501	TMEM222
ENSG00000142765	SYTL1
ENSG00000142733	MAP3K6
ENSG00000142748	FCN3
ENSG00000181773	GPR3
ENSG00000158195	WASF2
ENSG00000237429	RP1-159A19.4
ENSG00000126705	AHDC1
ENSG00000000938	FGR
ENSG00000233975	RP11-288L9.1
ENSG00000126709	IFI6
ENSG00000009780	FAM76A
ENSG00000117758	STX12
ENSG00000117751	PPP1R8
ENSG00000130775	THEMIS2
ENSG00000117748	RPA2
ENSG00000130768	SMPDL3B
ENSG00000158156	XKR8
ENSG00000158161	EYA3
ENSG00000169403	PTAFR
ENSG00000126698	DNAJC8
ENSG00000130770	ATPIF1
ENSG00000270605	RP5-1092A3.4
ENSG00000130766	SESN2
ENSG00000130772	MED18
ENSG00000204138	PHACTR4
ENSG00000180198	RCC1
ENSG00000180098	TRNAU1AP
ENSG00000197989	SNHG12
ENSG00000120656	TAF12
ENSG00000188060	RAB42
ENSG00000229388	RP11-442N24__B.1
ENSG00000270103	RNU11
ENSG00000162419	GMEB1
ENSG00000198492	YTHDF2
ENSG00000116329	OPRD1
ENSG00000233427	RP1-212P9.3
ENSG00000159023	EPB41
ENSG00000253304	TMEM200B
ENSG00000116350	SRSF4
ENSG00000116353	MECR
ENSG00000060656	PTPRU
ENSG00000162510	MATN1
ENSG00000186056	MATN1-AS1
ENSG00000162511	LAPTM5
ENSG00000235143	RP1-65J11.5
ENSG00000162512	SDC3
ENSG00000134644	PUM1
ENSG00000060688	SNRNP40
ENSG00000121766	ZCCHC17
ENSG00000121769	FABP3
ENSG00000168528	SERINC2
ENSG00000142910	TINAGL1
ENSG00000162517	PEF1
ENSG00000264078	RP11-73M7.9
ENSG00000084636	COL16A1
ENSG00000121753	ADGRB2
ENSG00000134668	SPOCD1
ENSG00000203620	RP11-84A19.2
ENSG00000269967	RP11-84A19.4
ENSG00000184007	PTP4A2
ENSG00000228634	RP4-534N18.2
ENSG00000121774	KHDRBS1
ENSG00000203325	RP11-277A4.4
ENSG00000121775	TMEM39B
ENSG00000025800	KPNA6
ENSG00000084652	TXLNA
ENSG00000160050	CCDC28B
ENSG00000160051	IQCC
ENSG00000160055	TMEM234
ENSG00000084623	EIF3I
ENSG00000183615	FAM167B
ENSG00000182866	LCK
ENSG00000116478	HDAC1
ENSG00000175130	MARCKSL1
ENSG00000225828	FAM229A
ENSG00000160058	BSDC1
ENSG00000273274	ZBTB8B
ENSG00000160062	ZBTB8A
ENSG00000176261	ZBTB8OS
ENSG00000162521	RBBP4
ENSG00000162520	SYNC
ENSG00000224409	RP11-114B7.6
ENSG00000162522	KIAA1522
ENSG00000134684	YARS
ENSG00000116497	S100PBP
ENSG00000160097	FNDC5
ENSG00000121905	HPCA
ENSG00000121900	TMEM54
ENSG00000116514	RNF19B
ENSG00000004455	AK2
ENSG00000142920	AZIN2
ENSG00000116525	TRIM62
ENSG00000160094	ZNF362
ENSG00000225313	RP11-415J8.3
ENSG00000134686	PHC2
ENSG00000121903	ZSCAN20
ENSG00000121904	CSMD2
ENSG00000163866	SMIM12
ENSG00000188910	GJB3
ENSG00000187513	GJA4
ENSG00000116544	DLGAP3
ENSG00000271741	RP11-244H3.4
ENSG00000163867	ZMYM6
ENSG00000197056	ZMYM1
ENSG00000116560	SFPQ
ENSG00000146463	ZMYM4
ENSG00000142687	KIAA0319L
ENSG00000020129	NCDN
ENSG00000239636	RP4-728D4.2
ENSG00000126067	PSMB2
ENSG00000142686	C1orf216
ENSG00000092853	CLSPN
ENSG00000134698	AGO4
ENSG00000092847	AGO1
ENSG00000271914	RP4-789D17.5
ENSG00000126070	AGO3
ENSG00000116863	ADPRHL2
ENSG00000171812	COL8A2
ENSG00000054116	TRAPPC3
ENSG00000116871	MAP7D1
ENSG00000054118	THRAP3
ENSG00000214193	SH3D21
ENSG00000142694	EVA1B
ENSG00000116883	RP11-268J15.5
ENSG00000196182	STK40
ENSG00000181817	LSM10
ENSG00000116885	OSCP1
ENSG00000116898	MRPS15
ENSG00000119535	CSF3R
ENSG00000233621	LINC01137
ENSG00000163874	ZC3H12A
ENSG00000163875	MEAF6
ENSG00000163877	SNIP1
ENSG00000163879	DNALI1
ENSG00000134697	GNL2
ENSG00000116922	C1orf109
ENSG00000134690	CDCA8
ENSG00000183317	EPHA10
ENSG00000185090	MANEAL
ENSG00000196449	YRDC
ENSG00000197982	C1orf122
ENSG00000188786	MTF1
ENSG00000204084	INPP5B
ENSG00000230955	RP11-109P14.10
ENSG00000183431	SF3A3
ENSG00000183386	FHL3
ENSG00000183520	UTP11L
ENSG00000185668	POU3F1
ENSG00000116954	RRAGC
ENSG00000228436	RP5-864K19.4
ENSG00000214114	MYCBP
ENSG00000158315	RHBDL2
ENSG00000174574	AKIRIN1
ENSG00000168653	NDUFS5
ENSG00000127603	MACF1
ENSG00000182109	RP11-69E11.4
ENSG00000090621	PABPC4
ENSG00000163909	HEYL
ENSG00000116983	HPCAL4
ENSG00000084072	PPIE
ENSG00000116985	BMP8B
ENSG00000198754	OXCT2
ENSG00000043514	TRIT1
ENSG00000116990	MYCL
ENSG00000168389	MFSD2A
ENSG00000131236	CAP1
ENSG00000131238	PPT1
ENSG00000117000	RLF
ENSG00000259943	RP1-39G22.7
ENSG00000084073	ZMPSTE24
ENSG00000049089	COL9A2
ENSG00000084070	SMAP2
ENSG00000187801	ZFP69B
ENSG00000187815	ZFP69
ENSG00000238287	RP11-656D10.3
ENSG00000164002	EXO5
ENSG00000117010	ZNF684
ENSG00000117016	RIMS3
ENSG00000272145	NFYC-AS1
ENSG00000066136	NFYC
ENSG00000117013	KCNQ4
ENSG00000179862	CITED4
ENSG00000171793	CTPS1
ENSG00000281207	SLFNL1-AS1
ENSG00000010803	SCMH1
ENSG00000204060	FOXO6
ENSG00000127129	EDN2
ENSG00000127124	HIVEP3
ENSG00000044012	GUCA2B
ENSG00000198815	FOXJ3
ENSG00000177181	RIMKLA
ENSG00000066185	ZMYND12
ENSG00000127125	PPCS
ENSG00000186409	CCDC30
ENSG00000171960	PPIH
ENSG00000065978	YBX1
ENSG00000164007	CLDN19
ENSG00000117385	P3H1
ENSG00000164008	C1orf50
ENSG00000177868	SVBP
ENSG00000164010	ERMAP
ENSG00000228192	RP11-342M1.3
ENSG00000164011	ZNF691
ENSG00000117394	SLC2A1
ENSG00000227533	SLC2A1-AS1
ENSG00000186973	FAM183A
ENSG00000117395	EBNA1BP2
ENSG00000179178	TMEM125
ENSG00000253313	C1orf210
ENSG00000066056	TIE1
ENSG00000234694	RP1-92O14.3
ENSG00000117399	CDC20
ENSG00000066322	ELOVL1
ENSG00000159479	MED8
ENSG00000198198	SZT2
ENSG00000178922	HYI
ENSG00000142949	PTPRF
ENSG00000066135	KDM4A
ENSG00000236200	KDM4A-AS1
ENSG00000126091	ST3GAL3
ENSG00000117407	ARTN
ENSG00000237950	RP11-7O11.3
ENSG00000117408	IPO13
ENSG00000132768	DPH2
ENSG00000117410	ATP6V0B
ENSG00000117411	B4GALT2
ENSG00000159214	CCDC24
ENSG00000196517	SLC6A9
ENSG00000230615	RP5-1198O20.4
ENSG00000171872	KLF17
ENSG00000178028	DMAP1
ENSG00000117419	ERI3
ENSG00000187147	RNF220
ENSG00000126106	TMEM53
ENSG00000198520	C1orf228
ENSG00000142945	KIF2C
ENSG00000142937	RPS8
ENSG00000142959	BEST4
ENSG00000173846	PLK3
ENSG00000188396	TCTEX1D4
ENSG00000222009	BTBD19
ENSG00000117425	PTCH2
ENSG00000070785	EIF2B3
ENSG00000126107	HECTD3
ENSG00000126088	UROD
ENSG00000162415	ZSWIM5
ENSG00000186603	HPDL
ENSG00000132781	MUTYH
ENSG00000132773	TOE1
ENSG00000070759	TESK2
ENSG00000280670	CCDC163P
ENSG00000132763	MMACHC
ENSG00000117450	PRDX1
ENSG00000117448	AKR1A1
ENSG00000132780	NASP
ENSG00000159588	CCDC17
ENSG00000159592	GPBP1L1
ENSG00000159596	TMEM69
ENSG00000197429	IPP
ENSG00000086015	MAST2
ENSG00000117461	PIK3R3
ENSG00000226957	RP4-533D7.4
ENSG00000227857	RP4-533D7.5
ENSG00000117472	TSPAN1
ENSG00000085998	POMGNT1
ENSG00000171357	LURAP1
ENSG00000085999	RAD54L
ENSG00000132128	LRRC41
ENSG00000173660	UQCRH
ENSG00000117481	NSUN4
ENSG00000117480	FAAH
ENSG00000197587	DMBX1
ENSG00000079277	MKNK1
ENSG00000142961	MOB3C
ENSG00000123472	ATPAF1
ENSG00000159658	EFCAB14
ENSG00000142973	CYP4B1
ENSG00000187048	CYP4A11
ENSG00000186377	CYP4X1
ENSG00000225506	CYP4A22-AS1
ENSG00000162365	CYP4A22
ENSG00000224805	LINC00853
ENSG00000162366	PDZK1IP1
ENSG00000162367	TAL1
ENSG00000226252	RP1-18D14.7
ENSG00000123473	STIL
ENSG00000162368	CMPK1
ENSG00000225762	LINC01389
ENSG00000237424	FOXD2-AS1
ENSG00000186564	FOXD2
ENSG00000269113	TRABD2B
ENSG00000117834	SLC5A9
ENSG00000132122	SPATA6
ENSG00000186094	AGBL4
ENSG00000162373	BEND5
ENSG00000237337	RP11-567C20.2
ENSG00000185104	FAF1
ENSG00000123080	CDKN2C
ENSG00000203356	LINC01562
ENSG00000123091	RNF11
ENSG00000236434	RP11-296A18.6
ENSG00000085831	TTC39A
ENSG00000261664	TTC39A-AS1
ENSG00000085832	EPS15
ENSG00000117859	OSBPL9
ENSG00000078618	NRDC
ENSG00000266993	RP4-657D16.3
ENSG00000272175	RP4-657D16.6
ENSG00000169213	RAB3B
ENSG00000117862	TXNDC12
ENSG00000198841	KTI12
ENSG00000134717	BTF3L4
ENSG00000157077	ZFYVE9
ENSG00000154222	CC2D1B
ENSG00000085840	ORC1
ENSG00000134748	PRPF38A
ENSG00000134744	ZCCHC11
ENSG00000116157	GPX7
ENSG00000182183	FAM159A
ENSG00000162377	COA7
ENSG00000162378	ZYG11B
ENSG00000203995	ZYG11A
ENSG00000121310	ECHDC2
ENSG00000116171	SCP2
ENSG00000174348	PODN
ENSG00000162383	SLC1A7
ENSG00000235563	RP11-334A14.8
ENSG00000157184	CPT2
ENSG00000236723	RP5-1024G6.2
ENSG00000162384	C1orf123
ENSG00000259818	RP5-1024G6.7
ENSG00000162385	MAGOH
ENSG00000226754	RP5-1024G6.5
ENSG00000157193	LRP8
ENSG00000230138	RP11-117D22.2
ENSG00000058804	NDC1
ENSG00000058799	YIPF1
ENSG00000211452	DIO1
ENSG00000081870	HSPB11
ENSG00000116212	LRRC42
ENSG00000203985	LDLRAD1
ENSG00000116209	TMEM59
ENSG00000116205	TCEANC2
ENSG00000215883	CYB5RL
ENSG00000116221	MRPL37
ENSG00000157216	SSBP3
ENSG00000162390	ACOT11
ENSG00000184313	MROH7
ENSG00000243725	TTC4
ENSG00000162396	PARS2
ENSG00000006555	TTC22
ENSG00000116133	DHCR24
ENSG00000233203	RP11-67L3.4
ENSG00000143001	TMEM61
ENSG00000162399	BSND
ENSG00000169174	PCSK9
ENSG00000162402	USP24
ENSG00000260971	RP11-504A18.1
ENSG00000223956	RP4-710M16.2
ENSG00000162407	PLPP3
ENSG00000162409	PRKAA2
ENSG00000187889	C1orf168
ENSG00000157131	C8A
ENSG00000021852	C8B
ENSG00000173406	DAB1
ENSG00000162600	OMA1
ENSG00000184292	TACSTD2
ENSG00000162601	MYSM1
ENSG00000177606	JUN
ENSG00000234807	LINC01135
ENSG00000232453	RP4-794H19.1
ENSG00000237352	LINC01358
ENSG00000172456	FGGY
ENSG00000134709	HOOK1
ENSG00000134716	CYP2J2
ENSG00000162599	NFIA
ENSG00000162604	TM2D1
ENSG00000271200	RP11-430G17.3
ENSG00000132849	INADL
ENSG00000240563	L1TD1
ENSG00000132854	KANK4
ENSG00000162607	USP1
ENSG00000116641	DOCK7
ENSG00000132855	ANGPTL3
ENSG00000125703	ATG4C
ENSG00000203605	RP11-335E6.2
ENSG00000088035	ALG6
ENSG00000142856	ITGB3BP
ENSG00000203965	EFCAB7
ENSG00000079739	PGM1
ENSG00000185483	ROR1
ENSG00000223949	ROR1-AS1
ENSG00000158966	CACHD1
ENSG00000162437	RAVER2
ENSG00000162434	JAK1
ENSG00000162433	AK4
ENSG00000116675	DNAJC6
ENSG00000213625	LEPROT
ENSG00000116678	LEPR
ENSG00000184588	PDE4B
ENSG00000118473	SGIP1
ENSG00000152760	TCTEX1D1
ENSG00000152763	WDR78
ENSG00000198160	MIER1
ENSG00000116704	SLC35D1
ENSG00000162594	IL23R
ENSG00000081985	IL12RB2
ENSG00000142864	SERBP1
ENSG00000235200	RP11-393N21.2
ENSG00000116717	GADD45A
ENSG00000172380	GNG12
ENSG00000232284	GNG12-AS1
ENSG00000162595	DIRAS3
ENSG00000116729	WLS
ENSG00000024526	DEPDC1
ENSG00000033122	LRRC7
ENSG00000066557	LRRC40
ENSG00000116754	SRSF11
ENSG00000118454	ANKRD13C
ENSG00000197568	HHLA3
ENSG00000116761	CTH
ENSG00000271992	RP11-42O15.3
ENSG00000050628	PTGER3
ENSG00000132485	ZRANB2
ENSG00000172260	NEGR1
ENSG00000225087	RP4-660H19.1
ENSG00000233973	LINC01360
ENSG00000162620	LRRIQ3
ENSG00000254685	FPGT
ENSG00000259030	FPGT-TNNI3K
ENSG00000272864	RP11-17E13.2
ENSG00000116791	CRYZ
ENSG00000162623	TYW3
ENSG00000137968	SLC44A5
ENSG00000117054	ACADM
ENSG00000137955	RABGGTB
ENSG00000184005	ST6GALNAC3
ENSG00000272855	RP5-1102E8.3
ENSG00000142892	PIGK
ENSG00000154027	AK5
ENSG00000036549	ZZZ3
ENSG00000077254	USP33
ENSG00000180488	FAM73A
ENSG00000235927	NEXN-AS1
ENSG00000162614	NEXN
ENSG00000162613	FUBP1
ENSG00000162616	DNAJB4
ENSG00000137960	GIPC2
ENSG00000273338	RP11-386I14.4
ENSG00000122420	PTGFR
ENSG00000137959	IFI44L
ENSG00000137965	IFI44
ENSG00000162618	ADGRL4
ENSG00000234184	RP5-887A10.1
ENSG00000117114	ADGRL2
ENSG00000233008	RP11-475O6.1
ENSG00000137941	TTLL7
ENSG00000271576	RP11-486G15.2
ENSG00000142875	PRKACB
ENSG00000203943	SAMD13
ENSG00000137976	DNASE2B
ENSG00000117133	RPF1
ENSG00000174021	GNG5
ENSG00000117151	CTBS
ENSG00000117155	SSX2IP
ENSG00000171517	LPAR3
ENSG00000153898	MCOLN2
ENSG00000162643	WDR63
ENSG00000055732	MCOLN3
ENSG00000097096	SYDE2
ENSG00000162642	C1orf52
ENSG00000142867	BCL10
ENSG00000223653	RP11-131L23.1
ENSG00000153904	DDAH1
ENSG00000282057	RP4-621F18.2
ENSG00000142871	CYR61
ENSG00000117174	ZNHIT6
ENSG00000171502	COL24A1
ENSG00000122417	ODF2L
ENSG00000261737	RP4-612B15.3
ENSG00000097033	SH3GLB1
ENSG00000183291	SEP15
ENSG00000153936	HS2ST1
ENSG00000143013	LMO4
ENSG00000065243	PKN2
ENSG00000137947	GTF2B
ENSG00000137944	CCBL2
ENSG00000213516	RBMXL1
ENSG00000117226	GBP3
ENSG00000117228	GBP1
ENSG00000162645	GBP2
ENSG00000213512	GBP7
ENSG00000162654	GBP4
ENSG00000154451	GBP5
ENSG00000197147	LRRC8B
ENSG00000231999	FLJ27354
ENSG00000171488	LRRC8C
ENSG00000171492	LRRC8D
ENSG00000162664	ZNF326
ENSG00000233593	RP4-665J23.1
ENSG00000122482	ZNF644
ENSG00000097046	CDC7
ENSG00000069702	TGFBR3
ENSG00000137948	BRDT
ENSG00000172031	EPHX4
ENSG00000230667	SETSIP
ENSG00000189195	BTBD8
ENSG00000069712	KIAA1107
ENSG00000174842	GLMN
ENSG00000122484	RPAP2
ENSG00000162676	GFI1
ENSG00000067208	EVI5
ENSG00000122406	RPL5
ENSG00000154511	FAM69A
ENSG00000143033	MTF2
ENSG00000117500	TMED5
ENSG00000122483	CCDC18
ENSG00000117505	DR1
ENSG00000137942	FNBP1L
ENSG00000137936	BCAR3
ENSG00000224093	RP5-1033H22.2
