0	small GTPase mediated signal transduction	regulation of developmental growth	axon development	axonogenesis	synapse organization	positive regulation of developmental growth	muscle system process	regulation of chemotaxis	peptidyl-tyrosine phosphorylation	peptidyl-tyrosine modification	cell junction assembly	cell junction organization	cell-cell adhesion via plasma-membrane adhesion molecules	adherens junction organization	cell-cell adhesion mediated by cadherin	developmental growth involved in morphogenesis	positive regulation of neuron differentiation	leukocyte migration	leukocyte chemotaxis	response to wounding	cell chemotaxis	regulation of ERK1 and ERK2 cascade	positive regulation of ERK1 and ERK2 cascade	ERK1 and ERK2 cascade	regulation of actin filament-based process	protein autophosphorylation	regulation of phosphatidylinositol 3-kinase signaling	positive regulation of phosphatidylinositol 3-kinase signaling	regulation of MAP kinase activity	camera-type eye morphogenesis
cell junction assembly	-0.0921409214092141	-0.109028960817717	0.114285714285714	0.0494037478705281	0.0622533976326173	-0.0513874614594039	0.00372612948299953	0.0596061734965407	0.12220566318927	0.12220566318927	1	0.95668374476013	0.307004470938897	0.794701986754967	0.397668393782383	0.029806259314456	-0.00813008130081301	-0.0829063809967396	-0.0513874614594039	-0.100832967996493	0.029806259314456	0.0903586399627387	0.12220566318927	0.0903586399627387	0.105769230769231	0.00372612948299953	0.113230035756853	0.134078212290503	-0.0730769230769231	0.0939828080229226
cell junction organization	-0.102766798418972	-0.0432073120066473	0.0970873786407767	0.0340673036975488	0.0469684030742955	-0.060485870104115	-0.00904159132007233	0.0471311475409836	0.106628242074928	0.106628242074928	0.95668374476013	1	0.37463976945245	0.753577106518283	0.371235402581438	0.0172910662824208	-0.0210803689064559	-0.00904159132007233	0.0317302925136341	-0.0324508966695132	0.106628242074928	0.0750452079566004	0.106628242074928	0.0750452079566004	0.0903586399627387	-0.00904159132007233	0.100170745589072	0.120567375886525	-0.0829063809967396	0.0812294182217344
cell-cell adhesion via plasma-membrane adhesion molecules	-0.0808926080892608	-0.0157273918741809	0.290076335877863	0.228047182175623	0.0783783783783784	-0.0416	-0.161383285302594	-0.0299003322259136	-0.0524691358024691	-0.0524691358024691	0.307004470938897	0.37463976945245	1	0.411053540587219	0.427104722792608	0.138888888888889	0.178521617852162	0.0172910662824208	-0.0416	-0.0891891891891892	-0.0524691358024691	-0.0720461095100865	-0.0524691358024691	-0.0720461095100865	-0.0625931445603577	-0.161383285302594	-0.105065666041276	-0.0941176470588235	-0.0625931445603577	-0.00359712230215827
adherens junction organization	-0.0428134556574924	-0.0568181818181818	0.106995884773663	0.03125	0.0412371134020619	-0.0072202166064982	-0.0349761526232114	0.00378071833648393	0.0898100172711572	0.0898100172711572	0.794701986754967	0.753577106518283	0.411053540587219	1	0.53960396039604	0.0898100172711572	0.0519877675840979	-0.133545310015898	-0.11913357400722	-0.141384388807069	-0.0172711571675302	0.0635930047694754	0.0898100172711572	0.0635930047694754	0.178807947019868	-0.0349761526232114	0.180616740088106	0.205128205128205	-0.129139072847682	0.15866388308977
cell-cell adhesion mediated by cadherin	-0.087719298245614	0.00852878464818763	0.0980091883614089	0.107675906183369	0.0145008365867262	0.0551523947750363	-0.0860479409956976	-0.0772200772200772	-0.082135523613963	-0.082135523613963	0.397668393782383	0.371235402581438	0.427104722792608	0.53960396039604	1	0.0451745379876797	0.0210526315789474	-0.0860479409956976	-0.0798258345428157	-0.0892359174567764	-0.082135523613963	-0.0860479409956976	-0.082135523613963	-0.0860479409956976	-0.0841968911917098	-0.0860479409956976	-0.0669216061185468	-0.0623052959501558	-0.0841968911917098	-0.070859167404783
developmental growth involved in morphogenesis	0.0920502092050209	0.228047182175623	0.447837150127226	0.471821756225426	-0.00540540540540541	0.1568	-0.161383285302594	0.0730897009966777	-0.148148148148148	-0.148148148148148	0.029806259314456	0.0172910662824208	0.138888888888889	0.0898100172711572	0.0451745379876797	1	0.351464435146443	-0.0720461095100865	-0.1408	-0.0891891891891892	-0.148148148148148	-0.161383285302594	-0.148148148148148	-0.161383285302594	0.029806259314456	-0.0720461095100865	-0.105065666041276	-0.0941176470588235	0.029806259314456	-0.115107913669065
positive regulation of neuron differentiation	0.125641025641026	0.0948905109489051	0.37485172004745	0.321167883211679	0.0324594257178527	0.198275862068966	-0.102766798418972	0.0355555555555556	0.0920502092050209	0.0920502092050209	-0.00813008130081301	-0.0210803689064559	0.178521617852162	0.0519877675840979	0.0210526315789474	0.351464435146443	1	-0.102766798418972	-0.0689655172413793	0.0324594257178527	-0.0808926080892608	0.0606060606060606	0.00557880055788006	0.0606060606060606	-0.00813008130081301	-0.0210803689064559	-0.0130718954248366	0.00338409475465313	0.159891598915989	0.265402843601896
leukocyte migration	-0.102766798418972	-0.0432073120066473	-0.0533980582524272	-0.0432073120066473	-0.111870196413322	-0.060485870104115	0.159132007233273	0.42827868852459	0.285302593659942	0.285302593659942	-0.0829063809967396	-0.00904159132007233	0.0172910662824208	-0.133545310015898	-0.0860479409956976	-0.0720461095100865	-0.102766798418972	1	0.861675756073376	0.205807002561913	0.821325648414986	0.327305605786618	0.285302593659942	0.327305605786618	-0.0829063809967396	0.243218806509946	-0.00569151963574274	0.0106382978723404	0.263623660922217	-0.0208562019758507
leukocyte chemotaxis	-0.0689655172413793	-0.084304932735426	-0.091264667535854	-0.084304932735426	-0.0768874478925428	-0.134146341463415	0.216162617749132	0.517022504327755	0.3552	0.3552	-0.0513874614594039	0.0317302925136341	-0.0416	-0.11913357400722	-0.0798258345428157	-0.1408	-0.0689655172413793	0.861675756073376	1	0.267716535433071	0.9504	0.400594942984631	0.3552	0.400594942984631	-0.0513874614594039	0.308378780366881	0.0210526315789474	0.0372670807453416	0.330935251798561	0.00628535512256443
response to wounding	-0.199750312109863	0.00554455445544554	0.0649651972157773	0.0792079207920792	0.0941558441558442	-0.0768874478925428	-0.111870196413322	0.113441372735939	0.245945945945946	0.245945945945946	-0.100832967996493	-0.0324508966695132	-0.0891891891891892	-0.141384388807069	-0.0892359174567764	-0.0891891891891892	0.0324594257178527	0.205807002561913	0.267716535433071	1	0.245945945945946	0.205807002561913	0.162162162162162	0.205807002561913	0.0622533976326173	0.126387702818104	0.0772845953002611	0.0970873786407767	0.143796580447172	-0.129554655870445
cell chemotaxis	-0.0808926080892608	-0.0969855832241153	-0.104325699745547	-0.0969855832241153	-0.0891891891891892	-0.1408	0.195965417867435	0.588039867109635	0.425925925925926	0.425925925925926	0.029806259314456	0.106628242074928	-0.0524691358024691	-0.0172711571675302	-0.082135523613963	-0.148148148148148	-0.0808926080892608	0.821325648414986	0.9504	0.245945945945946	1	0.463976945244957	0.425925925925926	0.463976945244957	-0.0625931445603577	0.37463976945245	0.127579737335835	0.149019607843137	0.307004470938897	0.107913669064748
regulation of ERK1 and ERK2 cascade	-0.102766798418972	0.0340673036975488	0.0218446601941748	-0.0432073120066473	0.205807002561913	0.123946455131383	0.0750452079566004	0.332991803278689	0.821325648414986	0.821325648414986	0.0903586399627387	0.0750452079566004	-0.0720461095100865	0.0635930047694754	-0.0860479409956976	-0.161383285302594	0.0606060606060606	0.327305605786618	0.400594942984631	0.205807002561913	0.463976945244957	1	0.910662824207493	1	-0.0829063809967396	0.663652802893309	0.417757541263517	0.450354609929078	0.436888681881695	0.0812294182217344
positive regulation of ERK1 and ERK2 cascade	-0.0808926080892608	0.0655307994757536	0.0534351145038168	-0.0157273918741809	0.245945945945946	0.1568	0.106628242074928	0.27906976744186	0.808641975308642	0.808641975308642	0.12220566318927	0.106628242074928	-0.0524691358024691	0.0898100172711572	-0.082135523613963	-0.148148148148148	0.00557880055788006	0.285302593659942	0.3552	0.162162162162162	0.425925925925926	0.910662824207493	1	0.910662824207493	-0.0625931445603577	0.642651296829971	0.476547842401501	0.513725490196078	0.399403874813711	0.107913669064748
ERK1 and ERK2 cascade	-0.102766798418972	0.0340673036975488	0.0218446601941748	-0.0432073120066473	0.205807002561913	0.123946455131383	0.0750452079566004	0.332991803278689	0.821325648414986	0.821325648414986	0.0903586399627387	0.0750452079566004	-0.0720461095100865	0.0635930047694754	-0.0860479409956976	-0.161383285302594	0.0606060606060606	0.327305605786618	0.400594942984631	0.205807002561913	0.463976945244957	1	0.910662824207493	1	-0.0829063809967396	0.663652802893309	0.417757541263517	0.450354609929078	0.436888681881695	0.0812294182217344
regulation of actin filament-based process	-0.00813008130081301	-0.109028960817717	-0.0397515527950311	-0.109028960817717	-0.0192897851819377	-0.0513874614594039	0.0903586399627387	-0.138371474188398	-0.0625931445603577	-0.0625931445603577	0.105769230769231	0.0903586399627387	-0.0625931445603577	0.178807947019868	-0.0841968911917098	0.029806259314456	-0.00813008130081301	-0.0829063809967396	-0.0513874614594039	0.0622533976326173	-0.0625931445603577	-0.0829063809967396	-0.0625931445603577	-0.0829063809967396	1	-0.169538891476479	0.00238379022646007	0.0186219739292365	-0.0730769230769231	-0.11919770773639
protein autophosphorylation	-0.184453227931489	0.0340673036975488	-0.0533980582524272	-0.0432073120066473	0.126387702818104	0.123946455131383	-0.00904159132007233	0.237704918032787	0.642651296829971	0.642651296829971	0.00372612948299953	-0.00904159132007233	-0.161383285302594	-0.0349761526232114	-0.0860479409956976	-0.0720461095100865	-0.0210803689064559	0.243218806509946	0.308378780366881	0.126387702818104	0.37463976945245	0.663652802893309	0.642651296829971	0.663652802893309	-0.169538891476479	1	0.417757541263517	0.450354609929078	0.523521192361435	0.0812294182217344
regulation of phosphatidylinositol 3-kinase signaling	-0.0130718954248366	-0.0260782347041123	-0.0318379160636758	-0.0260782347041123	0.0772845953002611	0.0210526315789474	-0.00569151963574274	0.0319222761970854	0.476547842401501	0.476547842401501	0.113230035756853	0.100170745589072	-0.105065666041276	0.180616740088106	-0.0669216061185468	-0.105065666041276	-0.0130718954248366	-0.00569151963574274	0.0210526315789474	0.0772845953002611	0.127579737335835	0.417757541263517	0.476547842401501	0.417757541263517	0.00238379022646007	0.417757541263517	1	0.917333333333333	0.224076281287247	0.202650038971161
positive regulation of phosphatidylinositol 3-kinase signaling	0.00338409475465313	-0.00930232558139535	-0.0148809523809524	-0.00930232558139535	0.0970873786407767	0.0372670807453416	0.0106382978723404	0.0482456140350877	0.513725490196078	0.513725490196078	0.134078212290503	0.120567375886525	-0.0941176470588235	0.205128205128205	-0.0623052959501558	-0.0941176470588235	0.00338409475465313	0.0106382978723404	0.0372670807453416	0.0970873786407767	0.149019607843137	0.450354609929078	0.513725490196078	0.450354609929078	0.0186219739292365	0.450354609929078	0.917333333333333	1	0.249534450651769	0.228855721393035
regulation of MAP kinase activity	-0.0921409214092141	-0.109028960817717	0.114285714285714	0.128620102214651	0.0622533976326173	-0.0513874614594039	0.0903586399627387	0.257583821181479	0.491803278688525	0.491803278688525	-0.0730769230769231	-0.0829063809967396	-0.0625931445603577	-0.129139072847682	-0.0841968911917098	0.029806259314456	0.159891598915989	0.263623660922217	0.330935251798561	0.143796580447172	0.307004470938897	0.436888681881695	0.399403874813711	0.436888681881695	-0.0730769230769231	0.523521192361435	0.224076281287247	0.249534450651769	1	-0.0126074498567335
camera-type eye morphogenesis	0.0695102685624013	-0.0418899171943497	-0.047887323943662	-0.0418899171943497	-0.129554655870445	0.00628535512256443	-0.0208562019758507	0.0171730515191546	0.107913669064748	0.107913669064748	0.0939828080229226	0.0812294182217344	-0.00359712230215827	0.15866388308977	-0.070859167404783	-0.115107913669065	0.265402843601896	-0.0208562019758507	0.00628535512256443	-0.129554655870445	0.107913669064748	0.0812294182217344	0.107913669064748	0.0812294182217344	-0.11919770773639	0.0812294182217344	0.202650038971161	0.228855721393035	-0.0126074498567335	1
