GO ID	GO Term	Interactions	P-value	FDR corrected p-value	FDR pval 1 vs. 4+5
GO:0006261	DNA-dependent DNA replication	organ + species + age + organ:species + organ:age + species:age + organ:species:age	4.60558233828473E-08	1.72051397351637E-06	0.000000592
GO:0009056	catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	7.69244520182376E-08	2.51446802534614E-06	4.82958598250353E-05
GO:0032101	regulation of response to external stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	7.42566962341555E-08	2.51446802534614E-06	0.0006537283
GO:0010639	negative regulation of organelle organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	8.66848451834531E-08	2.66683376652623E-06	1.87692221296869E-06
GO:0030261	chromosome condensation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.07582957938139E-07	3.12588261120261E-06	1.30053373399602E-07
GO:2000117	negative regulation of cysteine-type endopeptidase activity	organ + species + age + organ:age + species:age	1.15117025810439E-07	3.16874760520315E-06	0.000000592
GO:0046148	pigment biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.24769165818108E-07	3.26271368614352E-06	0.0013768782
GO:0051188	cofactor biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.44667695290561E-07	3.60291450652208E-06	0.0001041251
GO:0071417	cellular response to organonitrogen compound	organ + species + age + organ:age + species:age	2.06714886337235E-07	4.9141766161079E-06	6.40669590178299E-06
GO:0048596	embryonic camera-type eye morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.80492136165609E-07	6.37814727020059E-06	4.46682972067346E-06
GO:0001568	blood vessel development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.84538821627032E-07	0.000008108	0.0025344055
GO:0003013	circulatory system process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.87570561618997E-07	0.000008108	0.0001795445
GO:0031076	embryonic camera-type eye development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	4.2106663772588E-07	8.46991736656289E-06	3.42884411056752E-06
GO:0048514	blood vessel morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	9.30610204920565E-07	1.80262643397576E-05	0.0016682068
GO:0050953	sensory perception of light stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.8233031393086E-06	3.40566979235141E-05	0.0010985247
GO:0006779	porphyrin-containing compound biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.15990429857239E-06	3.89527568328746E-05	0.0044480903
GO:0051346	negative regulation of hydrolase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.31516223003156E-06	0.000040361	4.47886463762435E-05
GO:0033014	tetrapyrrole biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.41016068208432E-06	4.06617431203257E-05	0.0033944406
GO:0001708	cell fate specification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.59092758390587E-06	4.23454726994616E-05	0.0010410094
GO:0048017	inositol lipid-mediated signaling	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.70864170111389E-06	4.29278669600777E-05	1.48588611379527E-05
GO:0007601	visual perception	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.38327463011503E-06	5.20427244573577E-05	0.0013387679
GO:0048732	gland development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.86955481185974E-06	5.78222047600755E-05	1.2538141444376E-05
GO:0061515	myeloid cell development	organ + species + age + organ:age + species:age	4.37046165335501E-06	6.34930956862408E-05	0.000069338
GO:0007059	chromosome segregation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	4.72779023597542E-06	0.000066828	2.75571347961374E-06
GO:0006954	inflammatory response	organ + species + age + organ:age + species:age	6.3833989225822E-06	8.78557272765918E-05	0.0001777094
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	species + age + species:age	7.07375118973752E-06	9.48608172367365E-05	0.000072081
GO:0032774	RNA biosynthetic process	species + age + species:age	7.68761017643058E-06	0.0001005155	0.0069611766
GO:0006281	DNA repair	organ + species + age + organ:species + organ:age + species:age + organ:species:age	9.53451441381009E-06	0.0001187274	7.73093594085928E-05
GO:0048568	embryonic organ development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	9.47532104398234E-06	0.0001187274	0.0005907811
GO:0050776	regulation of immune response	species + age + species:age	9.90951333966801E-06	0.0001205273	0.0005930924
GO:0051129	negative regulation of cellular component organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.01638956306389E-05	0.0001208118	8.23952732532516E-05
GO:0006892	post-Golgi vesicle-mediated transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.41201780580822E-05	0.0001641078	0.0014517956
GO:0019439	aromatic compound catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.47564373671223E-05	0.0001677743	0.0431464064
GO:0009408	response to heat	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.53198200785423E-05	0.0001704737	
GO:0080134	regulation of response to stress	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.61562280676915E-05	0.0001760356	0.00021718
GO:0007126	meiotic nuclear division	organ + species + age + organ:age + species:age	1.7962855948294E-05	0.000182145	0.000019786
GO:0009190	cyclic nucleotide biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.73254956185092E-05	0.000182145	0.0005712633
GO:0052652	cyclic purine nucleotide metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.00001811	0.000182145	0.0005506265
GO:2001020	regulation of response to DNA damage stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.80318744539771E-05	0.000182145	0.0123329488
GO:0002682	regulation of immune system process	species + age + species:age	1.8919505780847E-05	0.0001866963	
GO:0050778	positive regulation of immune response	species + age + species:age	2.05118544595033E-05	0.0001986611	0.0008320724
GO:0010631	epithelial cell migration	organ + species + age + organ:age + species:age	2.18904808875603E-05	0.0002044415	0.875437362
GO:0060322	head development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000021565	0.0002044415	8.89891380103629E-05
GO:0009410	response to xenobiotic stimulus	species + age + species:age	2.50038400028706E-05	0.0002294212	0.0002904314
GO:0031347	regulation of defense response	organ + species + age + organ:age + species:age	2.58101916880076E-05	0.0002327367	0.0002755901
GO:0071391	cellular response to estrogen stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000026275	0.0002329119	0.0001144638
GO:0045786	negative regulation of cell cycle	species + age + species:age	2.69585597810069E-05	0.0002349888	0.0002025226
GO:0044723	single-organism carbohydrate metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.04755294397813E-05	0.0002612902	0.1026442312
GO:0006909	phagocytosis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.14084526988683E-05	0.0002649455	0.0032280556
GO:0034765	regulation of ion transmembrane transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.36421865320528E-05	0.0002792835	0.000957347
GO:0048545	response to steroid hormone	species + age + species:age	4.09240517186155E-05	0.0003344262	0.0033958905
GO:0097191	extrinsic apoptotic signaling pathway	organ + species + age + organ:age + species:age	5.73590958087911E-05	0.0004615201	0.0017527864
GO:0010638	positive regulation of organelle organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	6.63346343553727E-05	0.0005218248	4.07050810445797E-05
GO:0048821	erythrocyte development	organ + species + age + organ:age + species:age	6.70995700407038E-05	0.0005218248	0.0013504541
GO:0071383	cellular response to steroid hormone stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	6.78472041719474E-05	0.0005218248	0.0003409087
GO:0061448	connective tissue development	organ + species + age + organ:age + species:age	6.91196674350612E-05	0.000523907	0.0005918772
GO:0001525	angiogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	8.46559062335467E-05	0.0006099338	0.0505233438
GO:0006096	glycolytic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000084928	0.0006099338	0.3772635691
GO:0035107	appendage morphogenesis	organ + species + age + organ:age + species:age	8.23190543171039E-05	0.0006099338	0.0002307572
GO:0043542	endothelial cell migration	organ + species + age + organ:age + species:age	8.51341578661837E-05	0.0006099338	
GO:0048592	eye morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	9.37607676872293E-05	0.0006626606	0.0293449027
GO:0051186	cofactor metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0001078751	0.0007522488	0.0803487279
GO:0070646	protein modification by small protein removal	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0001123625	0.0007732311	
GO:0007229	integrin-mediated signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0001348639	0.0009160239	0.0164789066
GO:0000226	microtubule cytoskeleton organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0001391438	0.0009329771	0.0026922574
GO:0048585	negative regulation of response to stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000151491	0.001002909	0.1725656902
GO:0009617	response to bacterium	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0001660248	0.0010819683	0.0039184836
GO:0072330	monocarboxylic acid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0001675706	0.0010819683	0.739354338
GO:0051494	negative regulation of cytoskeleton organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0002037633	0.0012996123	
GO:0042472	inner ear morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000209449	0.0013197808	0.0025119938
GO:0006811	ion transport	organ + species + age + organ:age + species:age	0.0002195914	0.0013511327	0.0109883928
GO:0009266	response to temperature stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0002173343	0.0013511327	0.1220316403
GO:0009892	negative regulation of metabolic process	organ + species + age + organ:age + species:age	0.0002265012	0.0013664133	0.0106856099
GO:0044267	cellular protein metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0002273001	0.0013664133	0.0435352799
GO:2001242	regulation of intrinsic apoptotic signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0002459557	0.0014617596	0.0032267148
GO:0030003	cellular cation homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000249894	0.001468478	0.0022503143
GO:0051234	establishment of localization	species + age + species:age	0.0002530007	0.0014702152	0.1197950144
GO:0097190	apoptotic signaling pathway	organ + species + age + organ:age + species:age	0.0002786429	0.0016014313	0.0012439387
GO:0046700	heterocycle catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0002930356	0.0016534033	0.0733518979
GO:0048634	regulation of muscle organ development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0002940086	0.0016534033	0.0389005113
GO:0048593	camera-type eye morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0003233932	0.0017803647	0.0221295202
GO:0060026	convergent extension	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0003222006	0.0017803647	0.000647803
GO:0030225	macrophage differentiation	organ + species + age + organ:age + species:age	0.0003498673	0.0019060481	0.0021124163
GO:0002757	immune response-activating signal transduction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0003780217	0.0020381994	0.0087244035
GO:0007224	smoothened signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0003947076	0.0021064498	0.0011681418
GO:0016567	protein ubiquitination	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0004439513	0.0023453184	0.2144835723
GO:0006873	cellular ion homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0005027248	0.0026292505	0.0025539237
GO:0006810	transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0005127823	0.0026552985	0.1809873192
GO:0001755	neural crest cell migration	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000531975	0.0027276755	0.0577776025
GO:0008286	insulin receptor signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0005752917	0.0029211412	0.016968666
GO:0014033	neural crest cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0005853855	0.0029438134	
GO:0001944	vasculature development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000597926	0.0029501445	0.0485550166
GO:1901797	negative regulation of signal transduction by p53 class mediator	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0005951724	0.0029501445	0.046949153
GO:0006402	mRNA catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0006198046	0.0030295121	0.0196048788
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0006326384	0.0030636103	0.0534636211
GO:0051173	positive regulation of nitrogen compound metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0006926171	0.0033232912	0.0072587557
GO:0007420	brain development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0007247426	0.0034458214	
GO:0055114	oxidation-reduction process	organ + species + age + organ:age + species:age	0.0007381572	0.0034779837	0.0104608646
GO:0033043	regulation of organelle organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0007604088	0.0035508376	0.0005738355
GO:0006082	organic acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0007857138	0.0036365338	0.0016748334
GO:0009100	glycoprotein metabolic process	organ + species + age + organ:age + species:age	0.0008399531	0.0038534691	0.0002525987
GO:0008154	actin polymerization or depolymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.000868769	0.0039510105	0.000658978
GO:0030163	protein catabolic process	organ + species + age + organ:age + species:age	0.0008807969	0.0039711792	
GO:0009112	nucleobase metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0009542808	0.0042657168	0.0049387985
GO:0046112	nucleobase biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0009923526	0.0043983086	0.0103674139
GO:0009968	negative regulation of signal transduction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0010184724	0.0044364511	0.196381203
GO:0032446	protein modification by small protein conjugation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0010217764	0.0044364511	0.3348957527
GO:0035162	embryonic hemopoiesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0010264065	0.0044364511	0.002099518
GO:0048709	oligodendrocyte differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0010713641	0.0045928149	0.1799742474
GO:0048013	ephrin receptor signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.001090878	0.0046384486	0.090289054
GO:0006875	cellular metal ion homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0011429328	0.0048205957	0.0072257762
GO:0006949	syncytium formation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0012810237	0.0053358261	0.0064155954
GO:0052646	alditol phosphate metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0012854954	0.0053358261	0.0085339557
GO:0048869	cellular developmental process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0013116383	0.0054014712	0.0777580909
GO:0014032	neural crest cell development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0013995038	0.0056742198	0.134127836
GO:0051403	stress-activated MAPK cascade	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0014104179	0.0056742198	0.3783550851
GO:0071396	cellular response to lipid	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0014090631	0.0056742198	0.0030852462
GO:0010557	positive regulation of macromolecule biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.00144871	0.0057837813	0.0233776404
GO:0022402	cell cycle process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0014599869	0.0057846451	0.0024658566
GO:0019752	carboxylic acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.001496784	0.00588585	0.0032040178
GO:1902275	regulation of chromatin organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0015088955	0.0058891967	0.3411083087
GO:0015749	monosaccharide transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0015697935	0.0060814964	0.0049387985
GO:0008299	isoprenoid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0016060438	0.0061311013	0.010179611
GO:0048511	rhythmic process	organ + species + age + organ:age + species:age	0.0015997976	0.0061311013	0.0161798539
GO:0008015	blood circulation	species + age + species:age	0.0016370167	0.0062040562	0.0056923728
GO:0050768	negative regulation of neurogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0017100636	0.0064342682	0.0027219948
GO:0023057	negative regulation of signaling	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0017720519	0.0066198796	0.1261701038
GO:2000026	regulation of multicellular organismal development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0018235052	0.0067637817	0.0448977929
GO:0002244	hematopoietic progenitor cell differentiation	species + age + species:age	0.0018596251	0.0067925835	0.0106370115
GO:0009187	cyclic nucleotide metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0019019061	0.0067925835	0.1977697884
GO:0032787	monocarboxylic acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0019106562	0.0067925835	0.2474981445
GO:0032956	regulation of actin cytoskeleton organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0018573672	0.0067925835	0.0010577944
GO:0033865	nucleoside bisphosphate metabolic process	organ + species + age + organ:age + species:age	0.0019221843	0.0067925835	0.0157790597
GO:0033875	ribonucleoside bisphosphate metabolic process	organ + species + age + organ:age + species:age	0.0019221843	0.0067925835	0.0157790597
GO:0034032	purine nucleoside bisphosphate metabolic process	organ + species + age + organ:age + species:age	0.0019221843	0.0067925835	0.0157790597
GO:0010648	negative regulation of cell communication	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0020215714	0.0070958514	0.1034007239
GO:0032868	response to insulin	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0020389008	0.0071089675	0.0225752277
GO:0043069	negative regulation of programmed cell death	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0020656758	0.0071546254	0.1630523785
GO:0000956	nuclear-transcribed mRNA catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0020989999	0.0071643656	0.0418978457
GO:0045088	regulation of innate immune response	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0020827863	0.0071643656	0.0202406125
GO:0050654	chondroitin sulfate proteoglycan metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0021095838	0.0071643656	0.0067402422
GO:0009267	cellular response to starvation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0021309248	0.0071901528	0.016953141
GO:0005975	carbohydrate metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0021704571	0.0072302488	
GO:0043436	oxoacid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0021604424	0.0072302488	0.0035354871
GO:0006942	regulation of striated muscle contraction	species + age + species:age	0.002209062	0.007312275	
GO:0008360	regulation of cell shape	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0022312633	0.0073393126	0.0051626122
GO:0051171	regulation of nitrogen compound metabolic process	species + age + species:age	0.0023793806	0.0077776004	0.0856186433
GO:0006497	protein lipidation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0024629583	0.0080007899	0.0289110331
GO:0002253	activation of immune response	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0025208197	0.0081382019	0.0317347545
GO:0001756	somitogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0025510849	0.0081394629	0.008138523
GO:0017144	drug metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0025523363	0.0081394629	0.0264714927
GO:0051179	localization	species + age + species:age	0.0026428939	0.0083771727	0.0234664058
GO:0006633	fatty acid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0027094479	0.0085363932	0.142323009
GO:0000209	protein polyubiquitination	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0027675144	0.0086671258	0.0123329488
GO:0055085	transmembrane transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0028035954	0.0087278594	0.0120182278
GO:0090150	establishment of protein localization to membrane	organ + species + age + organ:age + species:age	0.0028238452	0.008738882	0.124566058
GO:0000768	syncytium formation by plasma membrane fusion	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0030019326	0.0091038223	0.0186458448
GO:0008285	negative regulation of cell proliferation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0029961664	0.0091038223	0.0258988787
GO:0030258	lipid modification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.003022493	0.0091038223	0.1376212049
GO:0048863	stem cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0029737278	0.0091038223	0.0601673773
GO:0051216	cartilage development	organ + species + age + organ:age + species:age	0.0030288051	0.0091038223	
GO:0008277	regulation of G-protein coupled receptor protein signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0031234406	0.0092291494	
GO:0031056	regulation of histone modification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0031178581	0.0092291494	0.4424847878
GO:0031109	microtubule polymerization or depolymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0030983024	0.0092291494	
GO:0042176	regulation of protein catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0031941693	0.0093851153	0.0894817112
GO:0021782	glial cell development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0033024911	0.0096296853	0.0106856099
GO:0043244	regulation of protein complex disassembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.003314232	0.0096296853	0.0011911703
GO:0042594	response to starvation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0034487254	0.0098684643	0.0286770613
GO:0046683	response to organophosphorus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0034530191	0.0098684643	0.1002662117
GO:1901653	cellular response to peptide	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0034514914	0.0098684643	0.0301370788
GO:0014074	response to purine-containing compound	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.003572417	0.0101542071	0.1032649257
GO:0060216	definitive hemopoiesis	organ + species + age + organ:age + species:age	0.0036321467	0.010268177	0.0211020357
GO:0044281	small molecule metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0036531928	0.0102721496	0.1890665972
GO:0000819	sister chromatid segregation	species + age + species:age	0.0036928263	0.0103280649	0.0174745063
GO:0010605	negative regulation of macromolecule metabolic process	organ + species + age + organ:age + species:age	0.0037717802	0.0104927715	0.0802532186
GO:0045893	positive regulation of transcription, DNA-templated	species + age + species:age	0.0038528599	0.0106616177	0.1365817841
GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.00393386	0.0107967419	0.0325910057
GO:0045454	cell redox homeostasis	species + age + species:age	0.0039429784	0.0107967419	0.0061232587
GO:0045595	regulation of cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0040362134	0.010937511	0.0451969946
GO:0070302	regulation of stress-activated protein kinase signaling cascade	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0040252872	0.010937511	0.8796795943
GO:0043066	negative regulation of apoptotic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0041216544	0.0111114704	0.0867122139
GO:0006790	sulfur compound metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0042219792	0.0113235646	0.8714747092
GO:0009890	negative regulation of biosynthetic process	organ + species + age + organ:age + species:age	0.0043215692	0.0114729985	0.0160745756
GO:0035113	embryonic appendage morphogenesis	organ + age + organ:age	0.0043009828	0.0114729985	0.0195502748
GO:0006928	movement of cell or subcellular component	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0045959519	0.0121398124	0.0188402306
GO:0031102	neuron projection regeneration	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.004712472	0.0123850394	0.523197021
GO:0000070	mitotic sister chromatid segregation	species + age + species:age	0.0047584101	0.0124432424	0.0327142685
GO:0030223	neutrophil differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0049413007	0.0128572152	0.3394368296
GO:0051254	positive regulation of RNA metabolic process	species + age + species:age	0.0051147706	0.0132426983	0.0497216915
GO:0006366	transcription from RNA polymerase II promoter	organ + species + age + organ:age + species:age	0.0054512061	0.0140442402	0.0301969348
GO:0006636	unsaturated fatty acid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0056042486	0.0142976684	0.4802604844
GO:0021536	diencephalon development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0055783954	0.0142976684	0.0040677804
GO:0000041	transition metal ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0056566791	0.0143613747	0.0484198247
GO:0009953	dorsal/ventral pattern formation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.005698595	0.0143978994	0.0182570555
GO:0002573	myeloid leukocyte differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0058031071	0.0145914663	0.0296255404
GO:0006401	RNA catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0058724774	0.014625265	0.0656999862
GO:0060548	negative regulation of cell death	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.005847961	0.014625265	0.1750750598
GO:0031669	cellular response to nutrient levels	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0059349605	0.0146414355	0.0420127311
GO:0044710	single-organism metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0059207439	0.0146414355	0.0756956214
