	C1	C2	C4	C3	C5
TNFRSF18	0.178430377912243	-0.0283628288809636	-0.0475239955831139	-0.037606254494496	-0.0432738437919785
TIGIT	0.201710206891554	0.0758360810174281	-0.11492397859509	-0.00827909206571645	-0.159854154672808
PDCD1	0.0535979564476974	0.0975540004037413	-0.0500934341289391	-0.00846809138347501	-0.0212531184033775
CTLA4	0.100211964201602	0.13917300316264	-0.0734094963051049	-0.0211079969760109	-0.0445691805795433
IL2RA	0.393872966411826	0.10715967969854	-0.17450947082307	-0.0536297088488559	-0.256476683937824
TNFRSF4	0.178430377912243	-0.0283628288809636	-0.0475239955831139	-0.037606254494496	-0.0432738437919785
CD27	0.260752201166709	-0.0409461005315928	-0.120997196976132	-0.0115520070805598	-0.0505661101516024
LAG3	0.260752201166709	-0.0539331135186057	-0.120997196976132	-0.00799328821934986	-0.0505661101516024
TNFRSF9	0.156418710822856	-0.00242244801830295	-0.0427673490189416	-0.0388877620636882	-0.0303204759163308
ICOS	0.100211964201602	0.13917300316264	-0.0734094963051049	-0.0211079969760109	-0.0445691805795433
BTLA	0.209998550672126	0.051157391830967	-0.113628641807526	-0.00698375527815168	-0.158558817885243
KIR2DL3	0.0732363491430849	0.0252843011910369	-0.0500297290410261	0.0110956428742647	-0.123344847438112
KIR2DL1	0.0732363491430849	0.0252843011910369	-0.0500297290410261	0.0110956428742647	-0.123344847438112
TNFRSF14	0.178430377912243	-0.0283628288809636	-0.0475239955831139	-0.037606254494496	-0.0432738437919785
EDNRB	0.101760933367151	0.041820873427091	-0.0436592202497239	-0.0191857356222226	-0.0639992323930148
CD40	0.0283796514366462	0.0673406903976852	-0.167969081797333	0.139670495823576	-0.27801765496066
ADORA2A	0.070935541142795	0.154851625058879	-0.0850887624224921	0.003120793612745	-0.0808386106313567
TLR4	0.00903112431609843	0.115924231209205	-0.0283699991505988	-0.00627385540169269	-0.0567549414699674
HAVCR2	-0.0935541142795029	-0.0825651032904919	0.0211713242164274	0.0509099625689156	0.00978698906160044
ITGB2	0.223205550925758	0.160268487988695	-0.113203941221439	-0.0503429646156399	-0.0922567645365573
ICAM1	0.130747490851118	-0.054067693964067	-0.0527902828505903	-0.00600188077369865	0.0012473613509883
SELP	0.0622305155983912	-0.0656416122737367	0.0302174467000764	-0.00555934578577622	-0.357608904241029
HLA-DRB5	NA	NA	NA	NA	NA
HLA-DQA1	NA	NA	NA	NA	NA
HLA-DQB1	NA	NA	NA	NA	NA
MICA	0.314621906590819	0.10583069779961	-0.154654718423511	-0.038412958899563	-0.170744578775667
MICB	0.314621906590819	0.10583069779961	-0.154654718423511	-0.038412958899563	-0.170744578775667
HLA-DQA2	NA	NA	NA	NA	NA
HLA-DQB2	NA	NA	NA	NA	NA
HLA-B	NA	NA	NA	NA	NA
HLA-A	NA	NA	NA	NA	NA
HLA-C	NA	NA	NA	NA	NA
HLA-DRA	NA	NA	NA	NA	NA
HLA-DRB1	NA	NA	NA	NA	NA
HLA-DPB1	NA	NA	NA	NA	NA
HLA-DPA1	NA	NA	NA	NA	NA
IDO1	0.0931464908148846	-0.114645716977323	-0.0376284719272912	0.0336188298637361	-0.176213778545385
GZMA	-0.0862984166092974	-0.0423423726532535	0.0149282256009513	0.0438063540648682	-0.0130013433122242
PRF1	0.0525471937389036	0.131468272659983	-0.0620062855686741	0.00215274832666458	-0.115284974093264
ARG1	0.207679626073408	0.0977895161832986	-0.103881763356833	-0.0315260081500194	-0.111926693532911
HMGB1	-0.0129805427732889	0.076929547136801	-0.0482035165208528	0.0280318256412148	-0.00676453655728268
ENTPD1	0.00697489039457952	0.0469349303546195	-0.0166694980039072	0.00478490955691184	-0.0699481865284974
