	C1	C2	C4	C3	C5
PDCD1	-0.102913248895851	-0.451075240548925	-0.162180492105677	-0.164976316620756	-0.145909645909646
CTLA4	-0.595518137165366	-0.482990693517009	-0.484130262205308	-0.358673076520129	-0.493894993894994
IL2RA	-0.527160001108325	-0.522047176829042	-0.349896337948886	-0.325581797834206	-0.13003663003663
TNFRSF4	-0.342148812901142	-0.17875662993071	-0.30689819390872	-0.266865623289177	-0.0903540903540904
CD27	-0.684602717804379	-0.848656926361239	-0.637458711727473	-0.629041201539564	-0.431623931623932
LAG3	-0.563473197036884	-0.606042681296814	-0.528139633148431	-0.624539627618765	-0.00732600732600733
TNFRSF9	-0.201301972457547	-0.264524948735475	-0.0401516601858526	-0.0517659135611374	-0.22039072039072
ICOS	-0.409020023067519	-0.328145334342158	-0.384773166238396	-0.330018913277599	-0.368131868131868
BTLA	-0.529572239533008	-0.0439297544560702	-0.0785370372894556	-0.0569935849468617	-0.243589743589744
KIR2DL3	0.32335299442841	-0.0172107969055259	0.165842888348618	0.209390619606003	0.0779286500199197
KIR2DL1	0.0624132355914106	0.0649221047879832	0.085614997277253	0.15553319091643	-0.331849125547228
TNFRSF14	NA	NA	NA	NA	NA
EDNRB	0.10373434617737	0.0918298269502124	0.0638266630897754	-0.0583811311024766	-0.0976800976800977
CD40	-0.603269969467153	-0.677348966822651	-0.321155679008055	-0.409747272649928	0.0958485958485958
ADORA2A	-0.433885103046956	-0.250778836696	-0.203924973354118	-0.225537571274854	-0.318681318681319
TLR4	0.0942315663332937	0.223081018203844	-0.0145719821014247	0.00245324681347714	0.00122100122100122
HAVCR2	-0.103438334562842	-0.117974906509899	0.00290035252789778	-0.108282415551334	-0.0982905982905983
ITGB2	-0.623382939106355	-0.455044955044955	-0.428328592006773	-0.264173326985709	-0.585470085470085
ICAM1	-0.444691820389928	-0.431945001290968	-0.148541682673758	-0.255493995857909	0.231720350738189
SELP	-0.16265717267398	-0.0609653504390347	-0.0166020777896634	-0.020237147480578	0.0824175824175824
HLA-DRB5	0.0275124783904688	0.174772595825227	0.148097971716496	0.238613342635785	-0.242979242979243
HLA-DQA1	-0.375922863208061	-0.439260997308223	-0.189172427679746	-0.200589704070388	-0.370573870573871
HLA-DQB1	-0.335412979578194	-0.555444555444555	-0.364883136194157	-0.328089851787208	-0.488400488400488
MICA	-0.254906004402935	-0.244603938355163	-0.130351051589384	-0.251702644982519	-0.0323565323565324
MICB	0.13153979845817	-0.237105000262895	-0.427161672768643	-0.415005524670703	-0.409035409035409
HLA-DQA2	-0.0580575527758626	-0.0713234134286766	-0.00530505512606573	0.0136049445680432	-0.117826617826618
HLA-DQB2	-0.0694335720082812	-0.155581260844419	0.0262867681225768	0.0226346754672244	0.0274725274725275
HLA-B	-0.434308074600435	-0.440953783059046	-0.193354512529911	-0.206602250814515	0.102274463105788
HLA-A	-0.223451111798433	-0.4555868840921	-0.245156259261119	-0.257111017185435	0.121489621489621
HLA-C	-0.217938905453087	-0.403491245596509	-0.277704601280429	-0.319106057387893	-0.338827838827839
HLA-DRA	-0.125275216839328	-0.12566463579216	0.128657632561277	0.0703681008472097	-0.0564799273867786
HLA-DRB1	-0.232284514778027	-0.35149292479941	-0.223159312978105	-0.285661206219985	-0.0378510378510378
HLA-DPB1	0.0610063138283767	-0.0531577183204493	0.0681322067319872	-0.0316696403799081	0.33587787825315
HLA-DPA1	-0.722773567309681	-0.588148693411851	-0.393235064821086	-0.393632918491787	-0.326007326007326
IDO1	-0.0614126615268354	-0.115016562384983	-0.229289442250324	-0.345642939660383	0.148351648351648
GZMA	-0.549374875600963	-0.400546821599453	-0.194175711679943	-0.00781079825822947	-0.514041514041514
PRF1	-0.669819131680574	-0.599535987288747	-0.480437291364453	-0.288831992592707	-0.509157509157509
ARG1	0.075213577470669	0.114173992125123	0.10690672444881	0.0381472611188027	-0.0102049422645133
HMGB1	-0.17076041038875	0.128297819299742	0.00607837702972825	0.0752242859987833	-0.0454961853270176
ENTPD1	0.0348994445390618	0.0426026947128492	-0.107960134377965	-0.0288383636798317	0.298534798534798
