"","id","level3","level2","level1"
"56","ko00290"," Valine, leucine and isoleucine biosynthesis","Amino acid metabolism","Metabolism"
"57","ko00300"," Lysine biosynthesis","Amino acid metabolism","Metabolism"
"58","ko00310"," Lysine degradation","Amino acid metabolism","Metabolism"
"59","ko00220"," Arginine biosynthesis","Amino acid metabolism","Metabolism"
"60","ko00330"," Arginine and proline metabolism","Amino acid metabolism","Metabolism"
"61","ko00340"," Histidine metabolism","Amino acid metabolism","Metabolism"
"62","ko00350"," Tyrosine metabolism","Amino acid metabolism","Metabolism"
"63","ko00360"," Phenylalanine metabolism","Amino acid metabolism","Metabolism"
"64","ko00380"," Tryptophan metabolism","Amino acid metabolism","Metabolism"
"65","ko00400"," Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism","Metabolism"
"66","ko00410"," beta-Alanine metabolism","Metabolism of other amino acids","Metabolism"
"67","ko00430"," Taurine and hypotaurine metabolism","Metabolism of other amino acids","Metabolism"
"68","ko00440"," Phosphonate and phosphinate metabolism","Metabolism of other amino acids","Metabolism"
"69","ko00450"," Selenocompound metabolism","Metabolism of other amino acids","Metabolism"
"70","ko00460"," Cyanoamino acid metabolism","Metabolism of other amino acids","Metabolism"
"71","ko00471"," D-Glutamine and D-glutamate metabolism","Metabolism of other amino acids","Metabolism"
"72","ko00472"," D-Arginine and D-ornithine metabolism","Metabolism of other amino acids","Metabolism"
"73","ko00473"," D-Alanine metabolism","Metabolism of other amino acids","Metabolism"
"74","ko00480"," Glutathione metabolism","Metabolism of other amino acids","Metabolism"
"75","ko00510"," N-Glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"76","ko00513"," Various types of N-glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"77","ko00512"," Mucin type O-glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"78","ko00515"," Mannose type O-glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"79","ko00514"," Other types of O-glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"80","ko00532"," Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Glycan biosynthesis and metabolism","Metabolism"
"81","ko00534"," Glycosaminoglycan biosynthesis - heparan sulfate / heparin","Glycan biosynthesis and metabolism","Metabolism"
"82","ko00533"," Glycosaminoglycan biosynthesis - keratan sulfate","Glycan biosynthesis and metabolism","Metabolism"
"83","ko00531"," Glycosaminoglycan degradation","Glycan biosynthesis and metabolism","Metabolism"
"84","ko00563"," Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"85","ko00601"," Glycosphingolipid biosynthesis - lacto and neolacto series","Glycan biosynthesis and metabolism","Metabolism"
"86","ko00603"," Glycosphingolipid biosynthesis - globo and isoglobo series","Glycan biosynthesis and metabolism","Metabolism"
"87","ko00604"," Glycosphingolipid biosynthesis - ganglio series","Glycan biosynthesis and metabolism","Metabolism"
"88","ko00540"," Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"89","ko00541"," O-Antigen nucleotide sugar biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"90","ko00550"," Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"91","ko00511"," Other glycan degradation","Glycan biosynthesis and metabolism","Metabolism"
"92","ko00571"," Lipoarabinomannan (LAM) biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"93","ko00572"," Arabinogalactan biosynthesis - Mycobacterium","Glycan biosynthesis and metabolism","Metabolism"
"94","ko00730"," Thiamine metabolism","Metabolism of cofactors and vitamins","Metabolism"
"95","ko00740"," Riboflavin metabolism","Metabolism of cofactors and vitamins","Metabolism"
"96","ko00750"," Vitamin B6 metabolism","Metabolism of cofactors and vitamins","Metabolism"
"97","ko00760"," Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins","Metabolism"
"98","ko00770"," Pantothenate and CoA biosynthesis","Metabolism of cofactors and vitamins","Metabolism"
"99","ko00780"," Biotin metabolism","Metabolism of cofactors and vitamins","Metabolism"
"100","ko00785"," Lipoic acid metabolism","Metabolism of cofactors and vitamins","Metabolism"
"101","ko00790"," Folate biosynthesis","Metabolism of cofactors and vitamins","Metabolism"
"102","ko00670"," One carbon pool by folate","Metabolism of cofactors and vitamins","Metabolism"
"103","ko00830"," Retinol metabolism","Metabolism of cofactors and vitamins","Metabolism"
"104","ko00860"," Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins","Metabolism"
"105","ko00130"," Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins","Metabolism"
"106","ko00900"," Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"107","ko00902"," Monoterpenoid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"108","ko00909"," Sesquiterpenoid and triterpenoid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"109","ko00904"," Diterpenoid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"110","ko00906"," Carotenoid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"111","ko00905"," Brassinosteroid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"112","ko00981"," Insect hormone biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"113","ko00908"," Zeatin biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"114","ko00903"," Limonene and pinene degradation","Metabolism of terpenoids and polyketides","Metabolism"
"115","ko00281"," Geraniol degradation","Metabolism of terpenoids and polyketides","Metabolism"
"116","ko01052"," Type I polyketide structures","Metabolism of terpenoids and polyketides","Metabolism"
"117","ko00522"," Biosynthesis of 12-, 14- and 16-membered macrolides","Metabolism of terpenoids and polyketides","Metabolism"
"118","ko01051"," Biosynthesis of ansamycins","Metabolism of terpenoids and polyketides","Metabolism"
"119","ko01059"," Biosynthesis of enediyne antibiotics","Metabolism of terpenoids and polyketides","Metabolism"
"120","ko01056"," Biosynthesis of type II polyketide backbone","Metabolism of terpenoids and polyketides","Metabolism"
"121","ko01057"," Biosynthesis of type II polyketide products","Metabolism of terpenoids and polyketides","Metabolism"
"122","ko00253"," Tetracycline biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"123","ko00523"," Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"124","ko01054"," Nonribosomal peptide structures","Metabolism of terpenoids and polyketides","Metabolism"
"125","ko01053"," Biosynthesis of siderophore group nonribosomal peptides","Metabolism of terpenoids and polyketides","Metabolism"
"126","ko01055"," Biosynthesis of vancomycin group antibiotics","Metabolism of terpenoids and polyketides","Metabolism"
"127","ko00940"," Phenylpropanoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"128","ko00945"," Stilbenoid, diarylheptanoid and gingerol biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"129","ko00941"," Flavonoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"130","ko00944"," Flavone and flavonol biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"131","ko00942"," Anthocyanin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"132","ko00943"," Isoflavonoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"133","ko00901"," Indole alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"134","ko00403"," Indole diterpene alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"135","ko00950"," Isoquinoline alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"136","ko00960"," Tropane, piperidine and pyridine alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"137","ko01058"," Acridone alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"138","ko00232"," Caffeine metabolism","Biosynthesis of other secondary metabolites","Metabolism"
"139","ko00965"," Betalain biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"140","ko00966"," Glucosinolate biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"141","ko00402"," Benzoxazinoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"142","ko00311"," Penicillin and cephalosporin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"143","ko00332"," Carbapenem biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"144","ko00261"," Monobactam biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"145","ko00331"," Clavulanic acid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"146","ko00521"," Streptomycin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"147","ko00524"," Neomycin, kanamycin and gentamicin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"148","ko00525"," Acarbose and validamycin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"149","ko00401"," Novobiocin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"150","ko00404"," Staurosporine biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"151","ko00405"," Phenazine biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"152","ko00333"," Prodigiosin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"153","ko00254"," Aflatoxin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"154","ko00999"," Biosynthesis of various secondary metabolites - part 1","Biosynthesis of other secondary metabolites","Metabolism"
"155","ko00998"," Biosynthesis of various secondary metabolites - part 2","Biosynthesis of other secondary metabolites","Metabolism"
"156","ko00997"," Biosynthesis of various secondary metabolites - part 3","Biosynthesis of other secondary metabolites","Metabolism"
"157","ko00362"," Benzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"158","ko00627"," Aminobenzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"159","ko00364"," Fluorobenzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"160","ko00625"," Chloroalkane and chloroalkene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"161","ko00361"," Chlorocyclohexane and chlorobenzene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"162","ko00623"," Toluene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"163","ko00622"," Xylene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"164","ko00633"," Nitrotoluene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"165","ko00642"," Ethylbenzene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"166","ko00643"," Styrene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"167","ko00791"," Atrazine degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"168","ko00930"," Caprolactam degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"169","ko00363"," Bisphenol degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"170","ko00621"," Dioxin degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"171","ko00626"," Naphthalene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"172","ko00624"," Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"173","ko00365"," Furfural degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"174","ko00984"," Steroid degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"175","ko00980"," Metabolism of xenobiotics by cytochrome P450","Xenobiotics biodegradation and metabolism","Metabolism"
"176","ko00982"," Drug metabolism - cytochrome P450","Xenobiotics biodegradation and metabolism","Metabolism"
"177","ko00983"," Drug metabolism - other enzymes","Xenobiotics biodegradation and metabolism","Metabolism"
"178","ko01010"," Overview of biosynthetic pathways","Chemical structure transformation maps","Metabolism"
"179","ko01060"," Biosynthesis of plant secondary metabolites","Chemical structure transformation maps","Metabolism"
"180","ko01061"," Biosynthesis of phenylpropanoids","Chemical structure transformation maps","Metabolism"
"181","ko01062"," Biosynthesis of terpenoids and steroids","Chemical structure transformation maps","Metabolism"
"182","ko01063"," Biosynthesis of alkaloids derived from shikimate pathway","Chemical structure transformation maps","Metabolism"
"183","ko01064"," Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","Chemical structure transformation maps","Metabolism"
"184","ko01065"," Biosynthesis of alkaloids derived from histidine and purine","Chemical structure transformation maps","Metabolism"
"185","ko01066"," Biosynthesis of alkaloids derived from terpenoid and polyketide","Chemical structure transformation maps","Metabolism"
"186","ko01070"," Biosynthesis of plant hormones","Chemical structure transformation maps","Metabolism"
"187","ko03020"," RNA polymerase","Transcription","Genetic Information Processing"
"188","ko03022"," Basal transcription factors","Transcription","Genetic Information Processing"
"189","ko03040"," Spliceosome","Transcription","Genetic Information Processing"
"190","ko03010"," Ribosome","Translation","Genetic Information Processing"
"191","ko00970"," Aminoacyl-tRNA biosynthesis","Translation","Genetic Information Processing"
"192","ko03013"," RNA transport","Translation","Genetic Information Processing"
"193","ko03015"," mRNA surveillance pathway","Translation","Genetic Information Processing"
"194","ko03008"," Ribosome biogenesis in eukaryotes","Translation","Genetic Information Processing"
"195","ko03060"," Protein export","Folding, sorting and degradation","Genetic Information Processing"
"196","ko04141"," Protein processing in endoplasmic reticulum","Folding, sorting and degradation","Genetic Information Processing"
"197","ko04130"," SNARE interactions in vesicular transport","Folding, sorting and degradation","Genetic Information Processing"
"198","ko04120"," Ubiquitin mediated proteolysis","Folding, sorting and degradation","Genetic Information Processing"
"199","ko04122"," Sulfur relay system","Folding, sorting and degradation","Genetic Information Processing"
"200","ko03050"," Proteasome","Folding, sorting and degradation","Genetic Information Processing"
"201","ko03018"," RNA degradation","Folding, sorting and degradation","Genetic Information Processing"
"202","ko03030"," DNA replication","Replication and repair","Genetic Information Processing"
"203","ko03410"," Base excision repair","Replication and repair","Genetic Information Processing"
"204","ko03420"," Nucleotide excision repair","Replication and repair","Genetic Information Processing"
"205","ko03430"," Mismatch repair","Replication and repair","Genetic Information Processing"
"206","ko03440"," Homologous recombination","Replication and repair","Genetic Information Processing"
"207","ko03450"," Non-homologous end-joining","Replication and repair","Genetic Information Processing"
"208","ko03460"," Fanconi anemia pathway","Replication and repair","Genetic Information Processing"
"209","ko02010"," ABC transporters","Membrane transport","Environmental Information Processing"
"210","ko02060"," Phosphotransferase system (PTS)","Membrane transport","Environmental Information Processing"
"211","ko03070"," Bacterial secretion system","Membrane transport","Environmental Information Processing"
"212","ko02020"," Two-component system","Signal transduction","Environmental Information Processing"
"213","ko04010"," MAPK signaling pathway","Signal transduction","Environmental Information Processing"
"214","ko04013"," MAPK signaling pathway - fly","Signal transduction","Environmental Information Processing"
"215","ko04016"," MAPK signaling pathway - plant","Signal transduction","Environmental Information Processing"
"216","ko04011"," MAPK signaling pathway - yeast","Signal transduction","Environmental Information Processing"
"217","ko04012"," ErbB signaling pathway","Signal transduction","Environmental Information Processing"
"218","ko04014"," Ras signaling pathway","Signal transduction","Environmental Information Processing"
"219","ko04015"," Rap1 signaling pathway","Signal transduction","Environmental Information Processing"
"220","ko04310"," Wnt signaling pathway","Signal transduction","Environmental Information Processing"
"221","ko04330"," Notch signaling pathway","Signal transduction","Environmental Information Processing"
"222","ko04340"," Hedgehog signaling pathway","Signal transduction","Environmental Information Processing"
"223","ko04341"," Hedgehog signaling pathway - fly","Signal transduction","Environmental Information Processing"
"224","ko04350"," TGF-beta signaling pathway","Signal transduction","Environmental Information Processing"
"225","ko04390"," Hippo signaling pathway","Signal transduction","Environmental Information Processing"
"226","ko04391"," Hippo signaling pathway - fly","Signal transduction","Environmental Information Processing"
"227","ko04392"," Hippo signaling pathway - multiple species","Signal transduction","Environmental Information Processing"
"228","ko04370"," VEGF signaling pathway","Signal transduction","Environmental Information Processing"
"229","ko04371"," Apelin signaling pathway","Signal transduction","Environmental Information Processing"
"230","ko04630"," JAK-STAT signaling pathway","Signal transduction","Environmental Information Processing"
"231","ko04064"," NF-kappa B signaling pathway","Signal transduction","Environmental Information Processing"
"232","ko04668"," TNF signaling pathway","Signal transduction","Environmental Information Processing"
"233","ko04066"," HIF-1 signaling pathway","Signal transduction","Environmental Information Processing"
"234","ko04068"," FoxO signaling pathway","Signal transduction","Environmental Information Processing"
"235","ko04020"," Calcium signaling pathway","Signal transduction","Environmental Information Processing"
"236","ko04070"," Phosphatidylinositol signaling system","Signal transduction","Environmental Information Processing"
"237","ko04072"," Phospholipase D signaling pathway","Signal transduction","Environmental Information Processing"
"238","ko04071"," Sphingolipid signaling pathway","Signal transduction","Environmental Information Processing"
"239","ko04024"," cAMP signaling pathway","Signal transduction","Environmental Information Processing"
"240","ko04022"," cGMP-PKG signaling pathway","Signal transduction","Environmental Information Processing"
"241","ko04151"," PI3K-Akt signaling pathway","Signal transduction","Environmental Information Processing"
"242","ko04152"," AMPK signaling pathway","Signal transduction","Environmental Information Processing"
"243","ko04150"," mTOR signaling pathway","Signal transduction","Environmental Information Processing"
"244","ko04075"," Plant hormone signal transduction","Signal transduction","Environmental Information Processing"
"245","ko04080"," Neuroactive ligand-receptor interaction","Signaling molecules and interaction","Environmental Information Processing"
"246","ko04060"," Cytokine-cytokine receptor interaction","Signaling molecules and interaction","Environmental Information Processing"
"247","ko04061"," Viral protein interaction with cytokine and cytokine receptor","Signaling molecules and interaction","Environmental Information Processing"
"248","ko04512"," ECM-receptor interaction","Signaling molecules and interaction","Environmental Information Processing"
"249","ko04514"," Cell adhesion molecules","Signaling molecules and interaction","Environmental Information Processing"
"250","ko04144"," Endocytosis","Transport and catabolism","Cellular Processes"
"251","ko04145"," Phagosome","Transport and catabolism","Cellular Processes"
"252","ko04142"," Lysosome","Transport and catabolism","Cellular Processes"
"253","ko04146"," Peroxisome","Transport and catabolism","Cellular Processes"
"254","ko04140"," Autophagy - animal","Transport and catabolism","Cellular Processes"
"255","ko04138"," Autophagy - yeast","Transport and catabolism","Cellular Processes"
"256","ko04136"," Autophagy - other","Transport and catabolism","Cellular Processes"
"257","ko04137"," Mitophagy - animal","Transport and catabolism","Cellular Processes"
"258","ko04139"," Mitophagy - yeast","Transport and catabolism","Cellular Processes"
"259","ko04110"," Cell cycle","Cell growth and death","Cellular Processes"
"260","ko04111"," Cell cycle - yeast","Cell growth and death","Cellular Processes"
"261","ko04112"," Cell cycle - Caulobacter","Cell growth and death","Cellular Processes"
"262","ko04113"," Meiosis - yeast","Cell growth and death","Cellular Processes"
"263","ko04114"," Oocyte meiosis","Cell growth and death","Cellular Processes"
"264","ko04210"," Apoptosis","Cell growth and death","Cellular Processes"
"265","ko04214"," Apoptosis - fly","Cell growth and death","Cellular Processes"
"266","ko04215"," Apoptosis - multiple species","Cell growth and death","Cellular Processes"
"267","ko04216"," Ferroptosis","Cell growth and death","Cellular Processes"
"268","ko04217"," Necroptosis","Cell growth and death","Cellular Processes"
"269","ko04115"," p53 signaling pathway","Cell growth and death","Cellular Processes"
"270","ko04218"," Cellular senescence","Cell growth and death","Cellular Processes"
"271","ko04510"," Focal adhesion","Cellular community - eukaryotes","Cellular Processes"
"272","ko04520"," Adherens junction","Cellular community - eukaryotes","Cellular Processes"
"273","ko04530"," Tight junction","Cellular community - eukaryotes","Cellular Processes"
"274","ko04540"," Gap junction","Cellular community - eukaryotes","Cellular Processes"
"275","ko04550"," Signaling pathways regulating pluripotency of stem cells","Cellular community - eukaryotes","Cellular Processes"
"276","ko02024"," Quorum sensing","Cellular community - prokaryotes","Cellular Processes"
"277","ko05111"," Biofilm formation - Vibrio cholerae","Cellular community - prokaryotes","Cellular Processes"
"278","ko02025"," Biofilm formation - Pseudomonas aeruginosa","Cellular community - prokaryotes","Cellular Processes"
"279","ko02026"," Biofilm formation - Escherichia coli","Cellular community - prokaryotes","Cellular Processes"
"280","ko02030"," Bacterial chemotaxis","Cell motility","Cellular Processes"
"281","ko02040"," Flagellar assembly","Cell motility","Cellular Processes"
"282","ko04810"," Regulation of actin cytoskeleton","Cell motility","Cellular Processes"
"283","ko04640"," Hematopoietic cell lineage","Immune system","Organismal Systems"
"284","ko04610"," Complement and coagulation cascades","Immune system","Organismal Systems"
"285","ko04611"," Platelet activation","Immune system","Organismal Systems"
"286","ko04620"," Toll-like receptor signaling pathway","Immune system","Organismal Systems"
"287","ko04624"," Toll and Imd signaling pathway","Immune system","Organismal Systems"
"288","ko04621"," NOD-like receptor signaling pathway","Immune system","Organismal Systems"
"289","ko04622"," RIG-I-like receptor signaling pathway","Immune system","Organismal Systems"
"290","ko04623"," Cytosolic DNA-sensing pathway","Immune system","Organismal Systems"
"291","ko04625"," C-type lectin receptor signaling pathway","Immune system","Organismal Systems"
"292","ko04650"," Natural killer cell mediated cytotoxicity","Immune system","Organismal Systems"
"293","ko04612"," Antigen processing and presentation","Immune system","Organismal Systems"
"294","ko04660"," T cell receptor signaling pathway","Immune system","Organismal Systems"
"295","ko04658"," Th1 and Th2 cell differentiation","Immune system","Organismal Systems"
"296","ko04659"," Th17 cell differentiation","Immune system","Organismal Systems"
"297","ko04657"," IL-17 signaling pathway","Immune system","Organismal Systems"
"298","ko04662"," B cell receptor signaling pathway","Immune system","Organismal Systems"
"299","ko04664"," Fc epsilon RI signaling pathway","Immune system","Organismal Systems"
"300","ko04666"," Fc gamma R-mediated phagocytosis","Immune system","Organismal Systems"
"301","ko04670"," Leukocyte transendothelial migration","Immune system","Organismal Systems"
"302","ko04672"," Intestinal immune network for IgA production","Immune system","Organismal Systems"
"303","ko04062"," Chemokine signaling pathway","Immune system","Organismal Systems"
"304","ko04911"," Insulin secretion","Endocrine system","Organismal Systems"
"305","ko04910"," Insulin signaling pathway","Endocrine system","Organismal Systems"
"306","ko04922"," Glucagon signaling pathway","Endocrine system","Organismal Systems"
"307","ko04923"," Regulation of lipolysis in adipocytes","Endocrine system","Organismal Systems"
"308","ko04920"," Adipocytokine signaling pathway","Endocrine system","Organismal Systems"
"309","ko03320"," PPAR signaling pathway","Endocrine system","Organismal Systems"
"310","ko04929"," GnRH secretion","Endocrine system","Organismal Systems"
"311","ko04912"," GnRH signaling pathway","Endocrine system","Organismal Systems"
"312","ko04913"," Ovarian steroidogenesis","Endocrine system","Organismal Systems"
"313","ko04915"," Estrogen signaling pathway","Endocrine system","Organismal Systems"
"314","ko04914"," Progesterone-mediated oocyte maturation","Endocrine system","Organismal Systems"
"315","ko04917"," Prolactin signaling pathway","Endocrine system","Organismal Systems"
"316","ko04921"," Oxytocin signaling pathway","Endocrine system","Organismal Systems"
"317","ko04926"," Relaxin signaling pathway","Endocrine system","Organismal Systems"
"318","ko04935"," Growth hormone synthesis, secretion and action","Endocrine system","Organismal Systems"
"319","ko04918"," Thyroid hormone synthesis","Endocrine system","Organismal Systems"
"320","ko04919"," Thyroid hormone signaling pathway","Endocrine system","Organismal Systems"
"321","ko04928"," Parathyroid hormone synthesis, secretion and action","Endocrine system","Organismal Systems"
"322","ko04916"," Melanogenesis","Endocrine system","Organismal Systems"
"323","ko04924"," Renin secretion","Endocrine system","Organismal Systems"
"324","ko04614"," Renin-angiotensin system","Endocrine system","Organismal Systems"
"325","ko04925"," Aldosterone synthesis and secretion","Endocrine system","Organismal Systems"
"326","ko04927"," Cortisol synthesis and secretion","Endocrine system","Organismal Systems"
"327","ko04260"," Cardiac muscle contraction","Circulatory system","Organismal Systems"
"328","ko04261"," Adrenergic signaling in cardiomyocytes","Circulatory system","Organismal Systems"
"329","ko04270"," Vascular smooth muscle contraction","Circulatory system","Organismal Systems"
"330","ko04970"," Salivary secretion","Digestive system","Organismal Systems"
"331","ko04971"," Gastric acid secretion","Digestive system","Organismal Systems"
