Type,Shape,Chr,Start,End,color
miRNA,triangle,X,39837561,39837613,ff7f00
rRNA,box,3,127963608,127963724,33a02c
rRNA,box,17,41718154,41718260,33a02c
miRNA,triangle,2,219906502,219906565,ff7f00
miRNA,triangle,8,124821985,124822051,ff7f00
miRNA,triangle,9,123111546,123111643,ff7f00
miRNA,triangle,14,101030052,101030129,ff7f00
miRNA,triangle,17,59151136,59151221,ff7f00
miRNA,triangle,19,44758657,44758721,ff7f00
miRNA,triangle,19,53707453,53707539,ff7f00
miRNA,triangle,7,44110849,44110912,ff7f00
miRNA,triangle,19,51692786,51692864,ff7f00
tRNA,circle,6,26771080,26771152,6a3d9a
tRNA,circle,16,70779039,70779109,6a3d9a
rRNA,box,5,16033229,16033356,33a02c
rRNA,box,8,119891132,119891229,33a02c
miRNA,triangle,1,171101739,171101798,ff7f00
miRNA,triangle,3,67225464,67225527,ff7f00
miRNA,triangle,17,38914979,38915042,ff7f00
miRNA,triangle,20,62332487,62332557,ff7f00
miRNA,triangle,X,38023895,38023986,ff7f00
rRNA,box,1,63186336,63186450,33a02c
miRNA,triangle,2,212426263,212426360,ff7f00
miRNA,triangle,5,90016621,90016720,ff7f00
miRNA,triangle,8,27433370,27433434,ff7f00
miRNA,triangle,10,51299573,51299655,ff7f00
miRNA,triangle,11,69083176,69083258,ff7f00
miRNA,triangle,12,113159113,113159177,ff7f00
miRNA,triangle,15,21951242,21951323,ff7f00
miRNA,triangle,16,87834592,87834660,ff7f00
miRNA,triangle,19,18282077,18282161,ff7f00
rRNA,box,6,136630243,136630355,33a02c
rRNA,box,12,118829681,118829805,33a02c
rRNA,box,X,28982852,28982970,33a02c
miRNA,triangle,3,159282646,159282734,ff7f00
miRNA,triangle,8,27433370,27433434,ff7f00
miRNA,triangle,21,13644775,13644850,ff7f00
miRNA,triangle,21,23079284,23079392,ff7f00
rRNA,box,6,4427963,4428081,33a02c
rRNA,box,13,60613608,60613734,33a02c
rRNA,box,19,12070164,12070271,33a02c
miRNA,triangle,1,6429834,6429896,ff7f00
miRNA,triangle,3,114316475,114316569,ff7f00
miRNA,triangle,14,100277357,100277417,ff7f00
miRNA,triangle,15,21406385,21406459,ff7f00
rRNA,box,5,151875566,151875692,33a02c
rRNA,box,9,72299720,72299838,33a02c
miRNA,triangle,5,72878591,72878663,ff7f00
miRNA,triangle,6,6169334,6169409,ff7f00
miRNA,triangle,13,39664034,39664135,ff7f00
miRNA,triangle,19,45436654,45436704,ff7f00
miRNA,triangle,20,50614636,50614785,ff7f00
miRNA,triangle,22,41252992,41253050,ff7f00
tRNA,circle,1,16889677,16889750,6a3d9a
tRNA,circle,17,19860862,19860932,6a3d9a
rRNA,box,16,35747032,35747140,33a02c
miRNA,triangle,4,47652669,47652743,ff7f00
miRNA,triangle,9,91636264,91636345,ff7f00
miRNA,triangle,9,94176347,94176433,ff7f00
miRNA,triangle,10,96064315,96064399,ff7f00
miRNA,triangle,17,75498548,75498628,ff7f00
tRNA,circle,11,9275243,9275316,6a3d9a
rRNA,box,1,163509484,163509595,33a02c
rRNA,box,1,231281414,231281524,33a02c
rRNA,box,8,72357728,72357815,33a02c
rRNA,box,11,71845196,71845245,33a02c
miRNA,triangle,2,113721290,113721368,ff7f00
miRNA,triangle,4,159128805,159128891,ff7f00
miRNA,triangle,11,43559656,43559753,ff7f00
miRNA,triangle,11,101519820,101519905,ff7f00
miRNA,triangle,11,111512938,111513021,ff7f00
miRNA,triangle,15,31065032,31065141,ff7f00
miRNA,triangle,19,15179283,15179350,ff7f00
miRNA,triangle,22,29333158,29333267,ff7f00
tRNA,circle,3,125694333,125694404,6a3d9a
tRNA,circle,6,28537590,28537683,6a3d9a
miRNA,triangle,13,50048973,50049061,ff7f00
miRNA,triangle,13,52810050,52810140,ff7f00
miRNA,triangle,19,813584,813653,ff7f00
miRNA,triangle,19,53756741,53756830,ff7f00
miRNA,triangle,X,114715233,114715344,ff7f00
tRNA,circle,1,145129239,145129312,6a3d9a
tRNA,circle,6,27541775,27541856,6a3d9a
rRNA,box,9,99145840,99145966,33a02c
miRNA,triangle,1,43838622,43838683,ff7f00
miRNA,triangle,5,1708785,1708868,ff7f00
miRNA,triangle,7,44110849,44110912,ff7f00
miRNA,triangle,8,112643493,112643583,ff7f00
miRNA,triangle,10,104048089,104048186,ff7f00
miRNA,triangle,12,47364186,47364269,ff7f00
miRNA,triangle,19,53695213,53695293,ff7f00
miRNA,triangle,20,58817615,58817694,ff7f00
miRNA,triangle,22,36286847,36286907,ff7f00
tRNA,circle,3,45688999,45689071,6a3d9a
tRNA,circle,6,27293892,27293965,6a3d9a
tRNA,circle,14,58239895,58239967,6a3d9a
rRNA,box,6,134257035,134257143,33a02c
rRNA,box,Y,10090410,10090528,33a02c
miRNA,triangle,6,158609707,158609790,ff7f00
miRNA,triangle,8,143837756,143837816,ff7f00
miRNA,triangle,15,21406385,21406459,ff7f00
miRNA,triangle,17,64501214,64501313,ff7f00
miRNA,triangle,19,10230413,10230485,ff7f00
rRNA,box,6,114220681,114220786,33a02c
rRNA,box,9,81885496,81885598,33a02c
rRNA,box,16,35754923,35755033,33a02c
miRNA,triangle,4,109488698,109488795,ff7f00
miRNA,triangle,7,44073378,44073433,ff7f00
miRNA,triangle,8,128150116,128150188,ff7f00
miRNA,triangle,9,123485529,123485622,ff7f00
miRNA,triangle,9,129869605,129869671,ff7f00
miRNA,triangle,10,68759318,68759414,ff7f00
miRNA,triangle,10,75552458,75552553,ff7f00
tRNA,circle,1,161441533,161441615,6a3d9a
tRNA,circle,6,28838444,28838515,6a3d9a
rRNA,box,20,35195306,35195423,33a02c
miRNA,triangle,2,33418516,33418564,ff7f00
miRNA,triangle,2,213758067,213758159,ff7f00
miRNA,triangle,3,168551854,168551949,ff7f00
miRNA,triangle,6,41598723,41598788,ff7f00
miRNA,triangle,7,36919357,36919432,ff7f00
miRNA,triangle,8,142176339,142176418,ff7f00
miRNA,triangle,9,128392621,128392708,ff7f00
miRNA,triangle,12,50234142,50234212,ff7f00
miRNA,triangle,12,69584723,69584822,ff7f00
miRNA,triangle,16,18402178,18402271,ff7f00
miRNA,triangle,19,58550285,58550376,ff7f00
rRNA,box,20,32050588,32050705,33a02c
rRNA,box,X,131938846,131938956,33a02c
miRNA,triangle,1,32086949,32087007,ff7f00
miRNA,triangle,1,177029363,177029445,ff7f00
miRNA,triangle,7,71307674,71307768,ff7f00
rRNA,box,2,69181897,69182003,33a02c
rRNA,box,16,84262815,84262928,33a02c
miRNA,triangle,3,39138206,39138266,ff7f00
miRNA,triangle,7,4788565,4788639,ff7f00
miRNA,triangle,8,93029751,93029839,ff7f00
miRNA,triangle,8,134800520,134800607,ff7f00
miRNA,triangle,14,50299855,50299946,ff7f00
miRNA,triangle,19,49009906,49009972,ff7f00
tRNA,circle,6,26319102,26319173,6a3d9a
rRNA,box,6,125979812,125979934,33a02c
miRNA,triangle,3,55852492,55852594,ff7f00
miRNA,triangle,4,163093574,163093628,ff7f00
miRNA,triangle,8,130008334,130008453,ff7f00
miRNA,triangle,12,62603686,62603769,ff7f00
miRNA,triangle,15,35372256,35372364,ff7f00
miRNA,triangle,21,35720715,35720808,ff7f00
tRNA,circle,5,181187701,181187782,6a3d9a
miRNA,triangle,2,27996367,27996449,ff7f00
miRNA,triangle,3,48549961,48550021,ff7f00
miRNA,triangle,3,125790404,125790552,ff7f00
miRNA,triangle,4,114656759,114656854,ff7f00
miRNA,triangle,16,15643294,15643372,ff7f00
miRNA,triangle,17,28360654,28360734,ff7f00
miRNA,triangle,X,140926172,140926219,ff7f00
rRNA,box,1,144701050,144701159,33a02c
rRNA,box,1,178560913,178561029,33a02c
rRNA,box,7,114613787,114613906,33a02c
miRNA,triangle,2,140586626,140586685,ff7f00
miRNA,triangle,3,184241405,184241489,ff7f00
miRNA,triangle,4,350157,350252,ff7f00
miRNA,triangle,10,23393405,23393467,ff7f00
miRNA,triangle,11,56743873,56743981,ff7f00
miRNA,triangle,13,102045934,102046004,ff7f00
miRNA,triangle,14,64785626,64785686,ff7f00
miRNA,triangle,20,45425510,45425573,ff7f00
miRNA,triangle,2,66358249,66358328,ff7f00
miRNA,triangle,11,18387787,18387860,ff7f00
miRNA,triangle,11,90869121,90869202,ff7f00
miRNA,triangle,13,39664034,39664135,ff7f00
miRNA,triangle,19,51206929,51207009,ff7f00
miRNA,triangle,19,58550285,58550376,ff7f00
miRNA,triangle,20,47166967,47167058,ff7f00
rRNA,box,10,22997255,22997358,33a02c
rRNA,box,17,4056756,4056876,33a02c
rRNA,box,19,31655356,31655461,33a02c
miRNA,triangle,19,53674197,53674320,ff7f00
miRNA,triangle,20,63919561,63919632,ff7f00
rRNA,box,18,48475487,48475600,33a02c
rRNA,box,20,23380896,23381012,33a02c
miRNA,triangle,2,176600980,176601052,ff7f00
miRNA,triangle,5,160485352,160485450,ff7f00
miRNA,triangle,9,70809975,70810084,ff7f00
miRNA,triangle,14,101059755,101059838,ff7f00
miRNA,triangle,16,76868936,76869019,ff7f00
miRNA,triangle,18,35591737,35591806,ff7f00
miRNA,triangle,19,53679003,53679085,ff7f00
rRNA,box,9,62802320,62802438,33a02c
rRNA,box,9,99145840,99145966,33a02c
miRNA,triangle,11,11783135,11783222,ff7f00
miRNA,triangle,17,82236668,82236728,ff7f00
miRNA,triangle,19,2234062,2234149,ff7f00
miRNA,triangle,19,53694393,53694475,ff7f00
miRNA,triangle,22,21652981,21653058,ff7f00
tRNA,circle,6,28807833,28807905,6a3d9a
rRNA,box,11,97657464,97657582,33a02c
rRNA,box,18,24170505,24170623,33a02c
miRNA,triangle,4,114656759,114656854,ff7f00
miRNA,triangle,11,71473503,71473568,ff7f00
miRNA,triangle,11,72615063,72615130,ff7f00
miRNA,triangle,13,102045934,102046004,ff7f00
miRNA,triangle,16,15154850,15155002,ff7f00
miRNA,triangle,X,134170041,134170111,ff7f00
rRNA,box,6,127317883,127317973,33a02c
rRNA,box,10,19633683,19633812,33a02c
rRNA,box,16,35750061,35750175,33a02c
miRNA,triangle,2,188995630,188995692,ff7f00
miRNA,triangle,5,93620696,93620788,ff7f00
miRNA,triangle,6,5148233,5148322,ff7f00
miRNA,triangle,7,71307672,71307770,ff7f00
miRNA,triangle,14,101040219,101040299,ff7f00
miRNA,triangle,15,98784426,98784502,ff7f00
miRNA,triangle,18,13611114,13611200,ff7f00
miRNA,triangle,19,1816159,1816238,ff7f00
miRNA,triangle,19,53700015,53700101,ff7f00
miRNA,triangle,22,20086058,20086142,ff7f00
miRNA,triangle,X,114651544,114651623,ff7f00
rRNA,box,1,9437669,9437778,33a02c
rRNA,box,15,25738508,25738620,33a02c
miRNA,triangle,1,22633258,22633366,ff7f00
miRNA,triangle,1,71067631,71067716,ff7f00
miRNA,triangle,6,120015179,120015257,ff7f00
miRNA,triangle,11,67045643,67045708,ff7f00
miRNA,triangle,19,46018932,46019049,ff7f00
miRNA,triangle,22,41252992,41253050,ff7f00
miRNA,triangle,X,145994275,145994351,ff7f00
tRNA,circle,16,3191501,3191573,6a3d9a
rRNA,box,5,136969200,136969306,33a02c
rRNA,box,7,120981426,120981553,33a02c
rRNA,box,12,89726936,89727042,33a02c
miRNA,triangle,1,154975693,154975783,ff7f00
miRNA,triangle,6,32749912,32749979,ff7f00
miRNA,triangle,10,119377972,119378043,ff7f00
miRNA,triangle,14,27633205,27633278,ff7f00
miRNA,triangle,14,100875033,100875104,ff7f00
miRNA,triangle,19,53725442,53725526,ff7f00
tRNA,circle,6,26575570,26575659,6a3d9a
rRNA,box,3,126564565,126564678,33a02c
rRNA,box,8,12333644,12333693,33a02c
miRNA,triangle,1,40757284,40757372,ff7f00
miRNA,triangle,2,79866495,79866583,ff7f00
miRNA,triangle,10,71790747,71790800,ff7f00
miRNA,triangle,12,48132797,48132867,ff7f00
miRNA,triangle,19,7617439,7617505,ff7f00
miRNA,triangle,21,8208473,8208652,ff7f00
miRNA,triangle,22,20086058,20086142,ff7f00
rRNA,box,2,241584968,241585075,33a02c
rRNA,box,11,27521605,27521726,33a02c
rRNA,box,16,35735625,35735733,33a02c
miRNA,triangle,1,22719517,22719598,ff7f00
miRNA,triangle,4,28819582,28819668,ff7f00
miRNA,triangle,8,134804876,134804945,ff7f00
miRNA,triangle,11,118910708,118910787,ff7f00
miRNA,triangle,15,20832795,20832869,ff7f00
miRNA,triangle,19,12940484,12940540,ff7f00
rRNA,box,2,28683976,28684083,33a02c
rRNA,box,8,26136880,26136998,33a02c
rRNA,box,18,9844717,9844846,33a02c
miRNA,triangle,1,16858949,16859021,ff7f00
miRNA,triangle,2,232550474,232550573,ff7f00
miRNA,triangle,3,35744476,35744559,ff7f00
miRNA,triangle,3,175369540,175369621,ff7f00
miRNA,triangle,7,4788565,4788639,ff7f00
miRNA,triangle,7,30289794,30289890,ff7f00
miRNA,triangle,7,64679064,64679176,ff7f00
miRNA,triangle,11,74720268,74720337,ff7f00
miRNA,triangle,14,23388596,23388666,ff7f00
miRNA,triangle,16,11306440,11306527,ff7f00
miRNA,triangle,16,88716278,88716337,ff7f00
rRNA,box,10,25813811,25813917,33a02c
rRNA,box,11,124636459,124636592,33a02c
miRNA,triangle,6,36622436,36622512,ff7f00
miRNA,triangle,10,12130760,12130816,ff7f00
miRNA,triangle,2,206783234,206783308,ff7f00
miRNA,triangle,8,22244962,22245043,ff7f00
miRNA,triangle,14,67441855,67441930,ff7f00
miRNA,triangle,19,12920320,12920404,ff7f00
tRNA,circle,6,28802800,28802870,6a3d9a
rRNA,box,6,67467231,67467308,33a02c
miRNA,triangle,3,170423103,170423162,ff7f00
miRNA,triangle,4,10078611,10078692,ff7f00
miRNA,triangle,5,143679860,143679971,ff7f00
miRNA,triangle,6,6169304,6169435,ff7f00
miRNA,triangle,8,100023982,100024084,ff7f00
miRNA,triangle,20,1392900,1392961,ff7f00
miRNA,triangle,21,39447010,39447069,ff7f00
rRNA,box,21,32563075,32563210,33a02c
miRNA,triangle,2,11767444,11767525,ff7f00
miRNA,triangle,3,176515103,176515151,ff7f00
miRNA,triangle,12,48654444,48654530,ff7f00
miRNA,triangle,19,8389290,8389380,ff7f00
miRNA,triangle,22,37847678,37847774,ff7f00
miRNA,triangle,X,74287286,74287357,ff7f00
rRNA,box,8,93441277,93441384,33a02c
miRNA,triangle,3,124732439,124732516,ff7f00
miRNA,triangle,12,119713634,119713724,ff7f00
miRNA,triangle,15,79209788,79209871,ff7f00
miRNA,triangle,17,59841266,59841337,ff7f00
miRNA,triangle,17,81451104,81451188,ff7f00
miRNA,triangle,18,39622123,39622175,ff7f00
miRNA,triangle,20,34990400,34990472,ff7f00
rRNA,box,Y,10200155,10200306,33a02c
miRNA,triangle,2,188978093,188978161,ff7f00
miRNA,triangle,7,5495819,5495917,ff7f00
miRNA,triangle,8,1801125,1801192,ff7f00
miRNA,triangle,16,56245520,56245623,ff7f00
miRNA,triangle,17,66787072,66787168,ff7f00
rRNA,box,1,9437669,9437778,33a02c
miRNA,triangle,1,148334479,148334554,ff7f00
miRNA,triangle,2,231362708,231362793,ff7f00
miRNA,triangle,6,41598723,41598788,ff7f00
rRNA,box,5,16033229,16033356,33a02c
rRNA,box,7,22298594,22298706,33a02c
rRNA,box,12,104125236,104125356,33a02c
rRNA,box,17,66267743,66267848,33a02c
miRNA,triangle,2,55982967,55983076,ff7f00
miRNA,triangle,2,177313806,177313882,ff7f00
miRNA,triangle,5,87114879,87114954,ff7f00
miRNA,triangle,10,114174105,114174179,ff7f00
miRNA,triangle,19,10780254,10780335,ff7f00
miRNA,triangle,X,106639814,106639896,ff7f00
rRNA,box,11,75934936,75935039,33a02c
miRNA,triangle,1,1312502,1312566,ff7f00
miRNA,triangle,2,231713314,231713398,ff7f00
miRNA,triangle,6,119069047,119069143,ff7f00
miRNA,triangle,6,157529132,157529200,ff7f00
miRNA,triangle,11,43559656,43559753,ff7f00
miRNA,triangle,15,51242190,51242264,ff7f00
miRNA,triangle,20,38516563,38516632,ff7f00
miRNA,triangle,21,16539089,16539169,ff7f00
miRNA,triangle,X,50003503,50003588,ff7f00
tRNA,circle,1,161463034,161463105,6a3d9a
rRNA,box,1,34112949,34113063,33a02c
rRNA,box,2,11517397,11517503,33a02c
miRNA,triangle,1,170151378,170151462,ff7f00
miRNA,triangle,3,49020618,49020709,ff7f00
miRNA,triangle,7,151238421,151238538,ff7f00
miRNA,triangle,8,10666978,10667070,ff7f00
miRNA,triangle,19,3961414,3961512,ff7f00
tRNA,circle,10,22229509,22229582,6a3d9a
rRNA,box,5,151477459,151477577,33a02c
rRNA,box,7,140386781,140386907,33a02c
miRNA,triangle,2,53849122,53849205,ff7f00
miRNA,triangle,6,134979338,134979432,ff7f00
miRNA,triangle,9,35732922,35732995,ff7f00
miRNA,triangle,11,88176502,88176593,ff7f00
miRNA,triangle,14,47760995,47761104,ff7f00
miRNA,triangle,17,37614931,37615039,ff7f00
tRNA,circle,5,181191687,181191758,6a3d9a
rRNA,box,7,130602795,130602913,33a02c
rRNA,box,X,142411053,142411171,33a02c
miRNA,triangle,1,54054079,54054154,ff7f00
miRNA,triangle,6,33290245,33290325,ff7f00
miRNA,triangle,6,33899135,33899200,ff7f00
miRNA,triangle,X,47587429,47587505,ff7f00
tRNA,circle,1,16532398,16532471,6a3d9a
rRNA,box,6,153159220,153159345,33a02c
miRNA,triangle,1,171101728,171101806,ff7f00
miRNA,triangle,1,224398227,224398311,ff7f00
miRNA,triangle,7,136903167,136903294,ff7f00
miRNA,triangle,8,91205485,91205559,ff7f00
miRNA,triangle,11,111512938,111513021,ff7f00
miRNA,triangle,19,55245186,55245250,ff7f00
miRNA,triangle,X,50003148,50003238,ff7f00
tRNA,circle,1,161447228,161447299,6a3d9a
tRNA,circle,6,27503744,27503815,6a3d9a
tRNA,circle,6,28941601,28941672,6a3d9a
tRNA,circle,19,4724635,4724707,6a3d9a
rRNA,box,1,87453240,87453373,33a02c
rRNA,box,10,25813811,25813917,33a02c
miRNA,triangle,5,1708785,1708868,ff7f00
miRNA,triangle,16,1734985,1735066,ff7f00
miRNA,triangle,19,53787890,53787956,ff7f00
rRNA,box,6,3088686,3088809,33a02c
rRNA,box,7,128697439,128697556,33a02c
miRNA,triangle,3,32506283,32506389,ff7f00
miRNA,triangle,3,44861888,44861981,ff7f00
miRNA,triangle,6,119069047,119069143,ff7f00
miRNA,triangle,7,100868036,100868107,ff7f00
miRNA,triangle,7,100868036,100868107,ff7f00
miRNA,triangle,9,95086014,95086094,ff7f00
miRNA,triangle,15,41691585,41691678,ff7f00
miRNA,triangle,17,12081899,12081996,ff7f00
miRNA,triangle,19,51692786,51692864,ff7f00
tRNA,circle,5,181222395,181222467,6a3d9a
tRNA,circle,6,28812072,28812143,6a3d9a
rRNA,box,6,117060682,117060799,33a02c
rRNA,box,16,35751828,35751935,33a02c
miRNA,triangle,9,136670602,136670686,ff7f00
miRNA,triangle,20,63919868,63919939,ff7f00
miRNA,triangle,22,41900944,41901012,ff7f00
miRNA,triangle,22,48274364,48274415,ff7f00
miRNA,triangle,X,134546614,134546711,ff7f00
rRNA,box,3,63545440,63545535,33a02c
miRNA,triangle,2,239351724,239351804,ff7f00
miRNA,triangle,3,20137565,20137641,ff7f00
miRNA,triangle,11,64368602,64368703,ff7f00
miRNA,triangle,12,24212421,24212495,ff7f00
miRNA,triangle,19,15449548,15449608,ff7f00
miRNA,triangle,X,114823454,114823564,ff7f00
tRNA,circle,17,75033906,75033978,6a3d9a
tRNA,circle,X,51563260,51563331,6a3d9a
rRNA,box,20,23380896,23381012,33a02c
rRNA,box,Y,17559774,17559889,33a02c
miRNA,triangle,2,177212726,177212799,ff7f00
miRNA,triangle,9,120244979,120245050,ff7f00
miRNA,triangle,19,40369846,40369907,ff7f00
miRNA,triangle,19,58334688,58334751,ff7f00
miRNA,triangle,20,50614636,50614785,ff7f00
tRNA,circle,19,1383563,1383636,6a3d9a
rRNA,box,3,50419781,50419899,33a02c
rRNA,box,5,7047227,7047336,33a02c
rRNA,box,7,24132705,24132837,33a02c
rRNA,box,7,74487428,74487540,33a02c
miRNA,triangle,4,98997387,98997460,ff7f00
miRNA,triangle,6,44435641,44435722,ff7f00
miRNA,triangle,11,64891355,64891439,ff7f00
miRNA,triangle,12,95309923,95309984,ff7f00
miRNA,triangle,14,101560287,101560422,ff7f00
miRNA,triangle,X,151959628,151959712,ff7f00
rRNA,box,12,111339527,111339621,33a02c
miRNA,triangle,2,132256966,132257080,ff7f00
miRNA,triangle,7,130876747,130876810,ff7f00
miRNA,triangle,18,24321686,24321735,ff7f00
miRNA,triangle,18,44970082,44970166,ff7f00
miRNA,triangle,19,54645309,54645383,ff7f00
miRNA,triangle,22,37847678,37847774,ff7f00
miRNA,triangle,X,70022857,70022923,ff7f00
rRNA,box,1,41466937,41467028,33a02c
miRNA,triangle,2,109313571,109313625,ff7f00
miRNA,triangle,5,59703606,59703703,ff7f00
miRNA,triangle,5,129097688,129097766,ff7f00
miRNA,triangle,6,170330761,170330844,ff7f00
miRNA,triangle,13,91351314,91351391,ff7f00
miRNA,triangle,19,15179283,15179350,ff7f00
miRNA,triangle,21,8432530,8432621,ff7f00
rRNA,box,9,32293558,32293692,33a02c
miRNA,triangle,3,197674496,197674576,ff7f00
miRNA,triangle,4,152489327,152489416,ff7f00
miRNA,triangle,14,73758747,73758819,ff7f00
miRNA,triangle,17,38914979,38915042,ff7f00
miRNA,triangle,19,55230885,55230952,ff7f00
miRNA,triangle,X,147284641,147284728,ff7f00
rRNA,box,12,89726936,89727042,33a02c
miRNA,triangle,7,57405025,57405090,ff7f00
miRNA,triangle,8,27610601,27610751,ff7f00
miRNA,triangle,9,18573306,18573379,ff7f00
miRNA,triangle,13,99643059,99643149,ff7f00
miRNA,triangle,17,28861655,28861730,ff7f00
