gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KLRG1	301954	416	11	270972	69480	0	3	0	0	50	38	13088295	1.153946e-02	1
TNRC6C	620383	217	26	2351705	694993	0	11	0	0	3	1	2799079	1.158014e-02	1
CSNK2A1	671817	229	40	563560	142820	0	7	0	0	50	47	12418585	1.164073e-02	1
PICALM	366028	313	11	942033	252444	0	7	0	0	28	17	7948705	1.170926e-02	1
NCOA1	343965	403	33	2016850	561437	0	18	1	0	28	14	5920082	1.173562e-02	1
ZFP57	484408	755	34	741892	197825	0	6	0	0	24	8	3418030	1.174267e-02	1
ARRDC3	51436	334	5	580544	156523	0	5	0	0	50	22	10550538	1.178579e-02	1
FUS	1250318	351	26	747296	200527	0	5	0	0	50	46	11935313	1.181901e-02	1
THRAP3	742773	170	31	1314137	369595	0	10	0	0	12	6	3159796	1.195916e-02	1
CROT	222199	876	3	918487	234302	0	8	1	0	50	44	11806582	1.205477e-02	1
MICAL2	319572	254	10	1577582	436759	0	13	0	0	13	3	3498897	1.215506e-02	1
GNB1	1492510	229	26	482500	132977	0	7	0	0	50	44	10221087	1.249314e-02	1
NBPF1	675669	259	40	1637026	400475	0	18	1	0	50	57	15562169	1.309884e-02	1
ZNF626	222609	1011	-67	770649	187017	0	9	1	0	50	39	8486596	1.326229e-02	1
SLC23A3	773232	177	36	845533	255146	0	9	0	0	12	4	2371970	1.331514e-02	1
ARHGAP31	265987	585	23	1950844	584597	0	16	2	0	50	45	13138282	1.344922e-02	1
BAP1	1078407	229	62	1012285	292781	0	12	1	0	42	37	9388099	1.348319e-02	1
MS4A2	336373	691	4	366121	102869	0	8	0	0	30	42	8398974	1.358792e-02	1
ADAM29	49942	889	-36	1130594	295483	0	10	0	0	8	4	2753338	1.363653e-02	1
CPA2	424934	212	30	596177	158839	0	7	1	0	50	51	13106823	1.372785e-02	1
SCAND1	1257811	144	50	227547	87429	0	2	0	0	50	36	12067132	1.396968e-02	1
FOSL2	465927	197	30	434443	140504	0	4	1	0	50	54	11835918	1.425060e-02	1
GYPA	131210	1033	-8	217511	58672	0	2	0	0	50	32	10941749	1.493561e-02	1
ATM	415837	582	16	4361221	1092380	0	34	2	0	3	3	1555773	1.500667e-02	1
GPC5	12353	1007	-9	790721	220792	0	11	3	0	50	61	12470888	1.551395e-02	1
DUSP6	236331	448	-23	516661	151505	0	4	1	0	50	73	16559014	1.596549e-02	1
MEA1	1200368	259	40	257848	73340	0	4	0	0	50	62	12310119	1.621492e-02	1
GABRA4	104768	839	15	766596	215967	0	11	2	0	50	49	10325886	1.650612e-02	1
HEXIM1	806811	207	32	486553	138767	0	7	1	0	50	47	12061728	1.651914e-02	1
PLA2G2E	437659	348	22	202071	54426	0	4	0	0	50	26	10138869	1.694280e-02	1
ZWILCH	530195	219	49	858271	211721	0	6	0	0	50	30	10683515	1.697017e-02	1
LYG2	473611	633	32	303396	78165	0	4	0	0	50	44	14171797	1.730789e-02	1
LTBP1	213347	605	2	2452837	646550	0	11	1	0	15	8	4034472	1.736351e-02	1
NF2	734742	149	38	879501	217125	0	7	1	0	27	16	5213702	1.747738e-02	1
SERF2	784327	286	37	91482	18528	0	2	0	0	50	51	12936597	1.783646e-02	1
EEF1A1	716887	139	38	638444	181999	0	6	1	0	50	42	11437373	1.797786e-02	1
ARIH2	1818938	241	37	725680	164822	0	8	1	0	50	51	12286187	1.803102e-02	1
SEPT1	2312884	165	47	522837	141855	0	7	0	0	50	47	10319710	1.815979e-02	1
SMAD3	444194	194	45	634584	169068	0	8	2	0	50	31	9271527	1.844694e-02	1
OR4N2	275024	858	-57	408967	125450	0	5	0	0	50	42	9880249	1.850967e-02	1
PBLD	490115	250	17	447374	125836	0	5	0	0	50	45	11493150	1.881263e-02	1
HES1	420702	294	33	374613	120432	0	9	2	0	3	4	958245	1.897424e-02	1
TGOLN2	975949	211	18	593861	173893	0	8	0	0	9	3	1437850	1.905787e-02	1
HFM1	263616	615	-10	2075908	506432	0	11	0	0	17	10	6083939	1.906473e-02	1
TCHP	927742	323	37	718732	174665	0	10	0	0	50	67	14235294	1.949346e-02	1
FAM175B	290823	200	36	592703	149575	0	5	2	0	50	36	9015223	1.976849e-02	1
KRT19	1445853	325	-22	539821	168296	0	6	1	0	50	45	10354064	1.995575e-02	1
PHLDA3	842013	209	26	167910	56742	0	3	1	0	34	24	6343138	1.999256e-02	1
EPS8	259826	496	11	1169387	306484	0	5	2	0	50	43	10784454	2.013038e-02	1
EXOC3	787542	399	37	1040656	282938	0	6	2	0	50	36	12500996	2.047373e-02	1
KIAA1429	534075	405	36	2536213	697502	0	11	3	0	41	30	9649421	2.081965e-02	1
RBM26	161846	521	30	1376283	375192	0	11	0	0	16	10	4478372	2.086710e-02	1
HNRNPA2B1	915230	445	43	512415	127959	0	7	1	0	50	38	12547123	2.107196e-02	1
NPS	470657	703	-30	127766	35512	0	3	0	0	50	40	10113393	2.127596e-02	1
GPR50	215822	NaN	-7	824496	252444	0	9	1	0	35	42	11634619	2.196553e-02	1
RB1CC1	97322	559	-1	2261574	559893	0	16	2	0	48	25	12039919	2.215263e-02	1
MYH9	1223952	226	49	2771287	727610	0	20	9	0	19	28	5491622	2.299306e-02	1
MYO16	108921	641	-19	2587358	720469	0	17	3	0	12	9	5052933	2.302020e-02	1
SNX29	477277	758	18	611424	163857	0	7	1	0	50	26	9604066	2.307151e-02	1
SYTL3	606618	188	51	763122	210177	0	10	0	0	50	38	10611526	2.328183e-02	1
DOPEY1	151511	697	7	3444471	924663	0	13	0	0	5	0	2286278	2.355734e-02	1
HIST1H4L	228884	634	40	135486	46899	0	3	0	0	50	39	8025905	2.361657e-02	1
RNF7	406166	406	29	175437	27213	0	3	0	0	50	42	12408163	2.385285e-02	1
ARL8B	263029	325	22	270972	67743	0	2	0	0	50	39	11859657	2.391920e-02	1
STK32B	66595	613	12	598300	149189	0	6	0	0	50	44	11736137	2.404067e-02	1
FOXE1	468629	276	38	476324	173314	0	5	1	0	50	44	10664794	2.425868e-02	1
SH2D1B	363646	391	1	190105	47864	0	3	0	0	50	47	10620211	2.439066e-02	1
FERD3L	103347	812	-15	224652	67743	0	5	0	0	50	46	12685697	2.476118e-02	1
CX3CL1	749108	159	39	525732	171384	0	8	1	0	50	40	9960923	2.511310e-02	1
HIST1H2BI	390169	544	57	169261	52496	0	4	1	0	50	39	7515420	2.573477e-02	1
BCLAF1	286851	153	21	1282871	342382	0	12	1	0	50	43	14002536	2.620610e-02	1
DALRD3	1799657	241	41	734365	238355	0	10	3	0	50	55	12297960	2.643127e-02	1
C4orf51	221010	1168	26	289307	74884	0	4	0	0	50	35	11150575	2.708186e-02	1
RTP3	289420	565	32	325784	83569	0	2	0	0	50	44	13152178	2.712584e-02	1
SLC24A1	501873	240	44	659481	174279	0	5	0	0	45	30	10208542	2.796353e-02	1
YTHDF2	818065	208	30	796511	222529	0	10	1	0	21	30	6502942	2.802473e-02	1
SLC46A2	514712	498	10	622425	211335	0	6	1	0	50	37	10613070	2.804065e-02	1
ITCH	996942	155	37	1240990	311309	0	9	2	0	46	65	12873100	2.813618e-02	1
U2AF1	687433	279	59	378087	99009	0	5	0	0	50	44	10302340	2.816994e-02	1
UFC1	728669	234	37	241057	62339	0	3	0	0	50	35	12213426	2.853706e-02	1
IFT88	399247	434	27	1216672	292202	0	8	1	0	36	29	9107091	2.870183e-02	1
TIFAB	625030	509	47	210370	73340	0	3	0	0	50	36	13086365	2.882176e-02	1
ERBB3	2693176	215	38	1922859	547155	0	28	5	0	15	16	3352989	2.899433e-02	1
ARPP19	469724	386	15	159032	41881	0	2	0	0	50	33	10765347	2.934235e-02	1
AFF4	686574	200	66	1632201	435987	0	10	0	0	8	0	1526244	2.973943e-02	1
EIF4A3	674340	219	22	584983	156137	0	7	2	0	37	49	9866546	2.983498e-02	1
DDAH1	309815	308	0	395264	113098	0	5	0	0	50	47	14347813	2.988235e-02	1
DCAF4L2	26672	994	-27	525539	163471	0	7	0	0	49	93	13730792	3.001709e-02	1
GAPT	125347	446	5	215388	59058	0	3	0	0	50	32	8969482	3.023776e-02	1
OR2V2	978482	478	29	423828	124485	0	6	1	0	50	48	11682869	3.029323e-02	1
NHLRC1	487819	397	-1	515889	173121	0	8	0	0	50	41	10595507	3.039102e-02	1
PAGE5	140886	NaN	18	187210	49601	0	3	0	0	50	35	9336761	3.048499e-02	1
CARS2	532346	216	42	789370	225617	0	6	0	0	17	4	2515176	3.058646e-02	1
PLEKHA8	659459	466	26	638444	156523	0	5	0	0	50	42	12415883	3.074397e-02	1
FNIP1	346839	637	27	1642430	424021	0	11	1	0	24	17	7384759	3.085577e-02	1
MINA	158573	723	-2	653112	177174	0	6	0	0	50	28	10518500	3.177391e-02	1
BEND6	428244	271	23	401826	98430	0	3	1	0	50	45	11886098	3.182902e-02	1
GNG4	565883	457	16	108273	28371	0	4	0	0	50	61	11763157	3.193132e-02	1
HIST1H2AH	227588	622	29	166173	59058	0	3	0	0	50	40	9329234	3.196428e-02	1
POLDIP3	914105	189	69	578807	173893	0	6	0	0	50	44	11061216	3.215159e-02	1
MAGED2	257482	NaN	20	837234	244917	0	6	1	0	25	17	5178962	3.218223e-02	1
OCIAD2	256817	372	61	231793	52496	0	2	0	0	50	51	11363068	3.253674e-02	1
ARID4A	290710	552	36	1806480	431934	0	13	0	0	37	11	6785687	3.285446e-02	1
MUC4	920866	365	49	1638763	458954	0	19	4	0	50	59	13245011	3.305397e-02	1
HIST1H2AG	227588	622	29	170033	59830	0	7	1	0	14	15	1940036	3.322518e-02	1
RAD21	482614	426	18	907486	220406	0	9	3	0	50	52	9652316	3.326511e-02	1
SIRPD	422390	424	46	270779	81253	0	3	0	0	50	31	11313274	3.365278e-02	1
CEACAM8	495357	380	5	476903	143785	0	8	0	0	50	51	13041203	3.388758e-02	1
CRTAM	651341	416	7	560472	144750	0	5	0	0	50	39	10367574	3.403174e-02	1
CCDC88A	621554	341	27	2676331	649445	0	20	3	0	50	38	11301115	3.405205e-02	1
MBD1	229269	262	51	927172	273674	0	8	0	0	50	40	10498428	3.442766e-02	1
ARHGAP15	57425	639	11	688045	168875	0	8	0	0	50	41	11910416	3.474322e-02	1
NPFFR2	17885	811	3	725487	193386	0	5	1	0	50	32	11841129	3.477289e-02	1
OR8B4	149616	857	0	412634	124678	0	5	0	0	50	28	12486135	3.482311e-02	1
MAP4K3	363056	435	10	1313751	318450	0	9	4	0	31	28	6993741	3.494976e-02	1
TMCO4	668417	220	29	864640	268463	0	11	1	0	48	52	9626068	3.500034e-02	1
ACP5	1152381	272	31	437917	136451	0	7	0	0	50	30	10622527	3.500488e-02	1
RUNX1	164915	429	45	671447	208633	0	8	0	0	50	48	11955771	3.534828e-02	1
CRTC3	1079582	204	41	849200	260164	0	8	0	0	21	8	4031577	3.553015e-02	1
ITPR2	359658	548	22	3841665	981405	0	27	9	0	35	46	9040892	3.559244e-02	1
PRRX1	61224	921	-7	364577	106150	0	4	0	0	50	43	12849554	3.561251e-02	1
FNBP4	979103	158	19	1404268	401054	0	12	0	0	7	1	1830026	3.568626e-02	1
ZFYVE16	318922	590	33	2150406	563946	0	11	0	0	17	10	5335292	3.587023e-02	1
PTGER2	405022	533	18	467253	158646	0	7	2	0	48	56	10904693	3.598073e-02	1
CAPN3	592239	284	38	1214549	297799	0	7	0	0	3	0	1435534	3.605530e-02	1
TPTE	30271	1268	-81	803845	203615	0	10	4	0	25	19	3470719	3.610502e-02	1
PTPN3	352374	431	12	1303715	341803	0	7	3	0	50	47	12325752	3.626187e-02	1
CACNG3	360425	348	8	432513	123327	0	3	0	0	50	32	11340680	3.641752e-02	1
DCLK2	88181	409	-4	1060535	307642	0	6	2	0	50	30	11470376	3.663808e-02	1
H2AFV	1200579	164	55	190105	55970	0	2	0	0	50	39	13343827	3.697050e-02	1
HSPB2	437513	221	22	240671	80674	0	4	0	0	50	32	10116481	3.697638e-02	1
MMD2	1539893	542	5	381754	102869	0	4	1	0	50	68	14242242	3.708763e-02	1
MED13	369807	275	3	3012923	833374	0	24	3	0	39	43	11509362	3.731163e-02	1
HIST1H4A	408919	685	43	135293	46513	0	2	0	0	50	39	9152060	3.741376e-02	1
TFPI2	228127	480	-12	334276	86078	0	5	0	0	50	53	11424635	3.800392e-02	1
MCM4	898350	459	35	1199302	338522	0	9	1	0	50	25	10348467	3.807826e-02	1
HUS1B	138359	674	23	363998	121783	0	5	0	0	50	30	10977647	3.812237e-02	1
MYPN	407663	251	19	1814393	523609	0	13	1	0	11	7	3240663	3.819527e-02	1
CLIC5	62331	701	13	603125	159997	0	7	0	0	50	37	11164471	3.825372e-02	1
VPS54	352987	407	20	1394618	355120	0	6	3	0	50	35	12744369	3.869219e-02	1
RAB42	816470	183	25	141469	42653	0	2	1	0	9	1	1070571	3.928039e-02	1
CEP170	180288	1024	0	2205990	608529	0	12	1	0	8	4	2631555	3.931689e-02	1
ZNF664	903375	539	36	372683	82411	0	4	0	0	50	26	10158748	3.941930e-02	1
SPHK2	1597109	242	31	837234	312081	0	8	2	0	50	49	11266375	3.983001e-02	1
ZNF133	575071	471	-1	898608	246654	0	6	0	0	9	4	2012218	4.011974e-02	1
HAUS3	836839	332	29	848814	207282	0	10	0	0	50	39	10409648	4.023637e-02	1
PDCL	433740	487	10	426916	104606	0	3	0	0	50	36	10472759	4.051557e-02	1
TNNI1	857879	209	26	267884	74884	0	5	0	0	50	35	9098792	4.062141e-02	1
GJD4	153189	598	-2	478833	167910	0	5	1	0	50	33	11471148	4.123279e-02	1
TEX9	208204	604	13	577456	132398	0	6	1	0	50	44	10339975	4.141916e-02	1
ALDOA	NaN	NaN	NaN	502765	149768	0	7	2	0	30	44	8639452	4.145745e-02	1
ATAD5	605762	209	25	2599517	656200	0	13	1	0	7	6	3936428	4.181467e-02	1
TLR3	355117	414	-13	1244850	336399	0	9	2	0	50	39	11398966	4.243034e-02	1
C1orf127	702484	307	33	1095468	363612	0	5	0	0	6	2	2679805	4.248545e-02	1
SHISA5	1480689	223	45	328486	101711	0	5	0	0	50	52	12256079	4.257078e-02	1
ITPRIPL1	904852	213	43	766403	223687	0	7	1	0	50	49	13071504	4.301799e-02	1
NT5C1A	974845	388	36	504695	147838	0	6	1	0	50	46	9084896	4.326292e-02	1
SHOC2	313830	252	16	806740	222143	0	4	1	0	50	23	11369630	4.352957e-02	1
C11orf71	157610	477	-8	194544	66006	0	2	0	0	50	42	12638991	4.389067e-02	1
UTY	0	0	0	2019938	535189	0	7	1	0	50	20	11478868	4.392082e-02	1
NFKBIA	416091	125	31	438110	125836	0	6	0	0	50	35	10698762	4.425688e-02	1
TNIP3	214178	900	4	485202	106536	0	5	1	0	50	48	10477198	4.426766e-02	1
ZNF662	301212	447	21	680325	176595	0	12	0	0	50	54	13334756	4.454761e-02	1
LTBR	2686552	198	48	600809	177367	0	4	1	0	50	66	14570535	4.470111e-02	1
UGP2	312741	380	10	710819	194158	0	6	0	0	50	34	12703453	4.506991e-02	1
B4GALNT3	496097	246	32	1391144	388123	0	11	2	0	50	43	10421035	4.517718e-02	1
PYDC2	101042	886	13	132784	36284	0	2	0	0	50	54	11595054	4.573256e-02	1
ANXA7	847821	249	45	685150	193772	0	5	1	0	50	50	13224939	4.578904e-02	1
CGA	209764	625	-3	166366	43811	0	2	0	0	50	32	11234723	4.588501e-02	1
RGS21	123814	860	-26	223687	51338	0	4	0	0	50	57	11577877	4.600525e-02	1
APC	247811	399	28	3891459	1083309	0	25	3	0	50	38	13237484	4.603373e-02	1
MAS1L	404210	854	21	505660	151505	0	3	1	0	50	28	9008275	4.624234e-02	1
B3GALT4	1456953	262	30	488097	170226	0	4	1	0	50	51	11355155	4.636952e-02	1
MRPL35	773440	425	39	262094	76621	0	4	0	0	50	31	10486269	4.643084e-02	1
HNF4G	47353	914	7	637286	159418	0	5	1	0	50	31	13847364	4.685231e-02	1
GSTM5	927739	201	22	321345	76428	0	4	1	0	50	39	7796042	4.718973e-02	1
HNRNPK	460176	343	2	677816	183736	0	9	1	0	50	42	10185768	4.728099e-02	1
FTH1	2389859	185	53	261901	64655	0	7	0	0	50	58	10552854	4.729685e-02	1
CHCHD3	595524	677	11	328679	83569	0	2	0	0	50	43	11757560	4.735636e-02	1
H2AFX	1390854	195	58	182964	68322	0	2	0	0	50	32	9322093	4.738703e-02	1
AMMECR1	157872	NaN	34	451813	141083	0	4	0	0	20	24	5895957	4.787788e-02	1
MIER1	331801	635	-9	895906	205931	0	12	0	0	22	16	4144096	4.799569e-02	1
DDX3X	627364	NaN	54	947244	241443	0	9	1	0	50	51	11423863	4.846571e-02	1
RIPK4	302894	182	30	1047411	333504	0	10	0	0	29	22	6187966	4.849465e-02	1
SAMD3	84835	891	27	754437	182964	0	7	0	0	50	34	11755823	4.850631e-02	1
TRERF1	746644	342	44	1638570	477675	0	13	1	0	18	15	5221615	4.852074e-02	1
UBD	403531	798	18	226389	64269	0	2	0	0	50	18	9383274	4.900910e-02	1
RBM17	576205	399	45	570508	153242	0	8	1	0	27	36	7545721	4.902829e-02	1
CD86	557964	715	39	471499	115607	0	5	0	0	31	13	6512206	4.931587e-02	1
ING3	105792	514	7	607757	153628	0	8	1	0	50	47	11664727	4.952200e-02	1
SUMO1	371912	192	41	154014	33582	0	2	0	0	50	47	10777120	4.954858e-02	1
ATP8B4	278209	408	-21	1701102	433671	0	14	4	0	29	33	7291154	4.957377e-02	1
YME1L1	389022	551	30	1096240	292202	0	10	2	0	23	32	7096417	4.971433e-02	1
NIPA2	352778	529	-8	492729	145908	0	3	0	0	50	34	12289275	5.023092e-02	1
DUSP14	541310	201	29	266533	81446	0	4	0	0	50	70	14622259	5.028753e-02	1
VPS26B	270368	601	18	471692	125257	0	4	0	0	50	38	12933123	5.037314e-02	1
OR5K1	416592	885	-4	418617	119274	0	3	1	0	50	49	10936538	5.068583e-02	1
C10orf67	77657	278	-3	266533	66971	0	3	0	0	50	32	11491606	5.082863e-02	1
PRUNE	1617972	165	35	619916	184894	0	9	1	0	18	18	4058983	5.087958e-02	1
RTN3	1291649	168	46	1450009	405686	0	12	1	0	50	44	12289468	5.089725e-02	1
OR4D10	430021	507	-1	410897	131047	0	6	0	0	50	57	11515538	5.106126e-02	1
SNRPA	1127178	201	27	393334	109817	0	5	1	0	50	52	10654179	5.117211e-02	1
NOP14	680459	336	49	1216672	316520	0	9	1	0	50	39	9517409	5.127846e-02	1
PIH1D1	2173457	290	44	410897	114256	0	5	1	0	50	42	10761680	5.157872e-02	1
PRRC1	210691	763	12	597721	195509	0	5	1	0	50	43	11461112	5.169518e-02	1
HSPA1L	2509866	183	32	860008	257462	0	7	0	0	4	0	1247166	5.206935e-02	1
DNAJB4	373296	256	1	466095	125643	0	3	0	0	50	51	13827485	5.213426e-02	1
HSPA4L	222085	352	31	1207215	293553	0	8	1	0	50	42	10346344	5.223827e-02	1
C4orf22	46363	1141	-4	330995	88201	0	3	0	0	50	39	11466323	5.232504e-02	1
SLC26A8	876298	407	33	1356211	374420	0	9	0	0	12	3	2292261	5.240848e-02	1
ECM1	1532790	163	43	748261	212300	0	9	1	0	50	60	12631657	5.292540e-02	1
TMEM105	2765068	191	24	171963	58479	0	2	0	0	50	51	12708664	5.302427e-02	1
PGRMC1	613514	NaN	19	266340	78744	0	4	0	0	50	37	9744763	5.308948e-02	1
