Agent names	Target genes
acalabrutinib	BTK
acalisib	PIK3CB
acalisib	PIK3CD
acamprosate	GABRA1
acamprosate	GABRA2
acamprosate	GABRA3
acamprosate	GABRA4
acamprosate	GABRA5
acamprosate	GABRA6
acamprosate	GABRB1
acamprosate	GABRB2
acamprosate	GABRB3
acamprosate	GABRD
acamprosate	GABRE
acamprosate	GABRG1
acamprosate	GABRG2
acamprosate	GABRG3
acamprosate	GABRP
acamprosate	GABRQ
acamprosate	GRIN1
acamprosate	GRIN2A
acamprosate	GRIN2B
acamprosate	GRIN2C
acamprosate	GRIN2D
acamprosate	GRIN3A
acamprosate	GRIN3B
acamprosate	GRM5
acarbose	AMY2A
acarbose	GAA
acarbose	MGAM
acarbose	SI
ACDPP	GRM5
acebutolol	ADRB1
acebutolol	ADRB2
acecainide	SCN5A
aceclidine	CHRM1
aceclidine	CHRM2
aceclidine	CHRM3
aceclidine	CHRM4
aceclidine	CHRM5
aceclofenac	PTGS2
acefylline	ADORA1
acemetacin	PTGS1
acemetacin	PTGS2
aceneuramic-acid	AZGP1
aceneuramic-acid	CES1
aceneuramic-acid	MBL2
aceneuramic-acid	REG1A
aceneuramic-acid	SELE
aceneuramic-acid	SELP
aceneuramic-acid	SIGLEC1
acenocoumarol	VKORC1
acepromazine	ADRA1A
acepromazine	ADRA1B
acepromazine	DRD1
acepromazine	DRD2
acepromazine	HTR1A
acepromazine	HTR2A
acetazolamide	AQP1
acetazolamide	CA1
acetazolamide	CA12
acetazolamide	CA14
acetazolamide	CA2
acetazolamide	CA3
acetazolamide	CA4
acetazolamide	CA7
acetohexamide	ABCC8
acetohexamide	KCNJ1
acetohexamide	KCNJ10
acetohexamide	KCNJ11
acetohydroxamic-acid	MMP12
acetophenazine	DRD1
acetophenazine	DRD2
acetyl-11-keto-beta-boswellic-acid	HSD11B1
acetyl-11-keto-beta-boswellic-acid	HSD11B2
acetylcholine	ACHE
acetylcholine	CHRM1
acetylcholine	CHRM2
acetylcholine	CHRM3
acetylcholine	CHRM4
acetylcholine	CHRM5
acetylcholine	CHRNA2
acetylcysteine	ACY1
acetylcysteine	CHUK
acetylcysteine	GRIN1
acetylcysteine	GRIN2A
acetylcysteine	GRIN2B
acetylcysteine	GRIN2D
acetylcysteine	GRIN3A
acetylcysteine	GSS
acetylcysteine	IKBKB
acetylcysteine	RELA
acetylcysteine	SLC7A11
acetyl-farnesyl-cysteine	PPARG
acexamic-acid	GAST
acifran	HCAR2
acifran	HCAR3
acipimox	HCAR2
acitretin	RARA
acitretin	RARB
acitretin	RARG
acitretin	RBP1
acitretin	RXRA
acitretin	RXRB
acitretin	RXRG
acitretin	STAT3
acivicin	CTPS1
aclarubicin	TOP1
aclarubicin	TOP2A
aclidinium	CHRM1
aclidinium	CHRM2
aclidinium	CHRM3
aclidinium	CHRM4
aclidinium	CHRM5
acriflavine	HIF1A
acriflavinium	HIF1A
acrivastine	HRH1
ACT-132577	EDNRA
ACT-132577	EDNRB
ACT-462206	HCRTR1
ACT-462206	HCRTR2
ACTB-1003	KDR
ACTB-1003	TEK
ACY-1215	HDAC1
ACY-1215	HDAC2
ACY-1215	HDAC3
ACY-1215	HDAC6
ACY-1215	HDAC8
acyclovir	PNP
AD-5467	AKR1B1
adapalene	RARA
adapalene	RARB
adapalene	RARG
adapalene	RXRA
adapalene	RXRB
adapalene	RXRG
adaprev	IGF2R
adaprev	M6PR
adaptavir	CCR5
adarotene	RARB
adarotene	RARG
adatanserin	HTR1A
adatanserin	HTR2A
ademetionine	AMD1
ademetionine	CBS
ademetionine	COMT
ademetionine	GNMT
ademetionine	MAT1A
ademetionine	MAT2A
adenine	ACACB
adenine	ACP1
adenine	APRT
adenine	MTAP
adenine	PECR
adenine	SRPK2
adenosine	ADORA1
adenosine	ADORA2A
adenosine	ADORA2B
adenosine	ADORA3
adenosine	PI4K2A
adenosine	PI4K2B
adenosine	TRPM4
adenosine-phosphate	ACSL1
adenosine-phosphate	ACSS1
adenosine-phosphate	ACSS2
adenosine-phosphate	ADCY1
adenosine-phosphate	ADK
adenosine-phosphate	CREB1
adenosine-phosphate	FBP1
adenosine-phosphate	HINT1
adenosine-phosphate	PDE4B
adenosine-phosphate	PDE4D
adenosine-phosphate	PIM1
adenosine-phosphate	PRKAA1
adenosine-phosphate	PRKAB1
adenosine-phosphate	PRKAB2
adenosine-phosphate	PYGL
adenosine-phosphate	TRPM4
adenosine-triphosphate	ABCA1
adenosine-triphosphate	ABCB1
adenosine-triphosphate	ABCB11
adenosine-triphosphate	ABCC2
adenosine-triphosphate	ABCC8
adenosine-triphosphate	ABCC9
adenosine-triphosphate	ABCG1
adenosine-triphosphate	ABL1
adenosine-triphosphate	ABL2
adenosine-triphosphate	ACSL1
adenosine-triphosphate	ACSS1
adenosine-triphosphate	ACSS2
adenosine-triphosphate	ACVR1
adenosine-triphosphate	ACVR1B
adenosine-triphosphate	ACVRL1
adenosine-triphosphate	ADCY1
adenosine-triphosphate	ADRBK1
adenosine-triphosphate	ADRBK2
adenosine-triphosphate	AFG3L2
adenosine-triphosphate	AKT1
adenosine-triphosphate	ALK
adenosine-triphosphate	AMHR2
adenosine-triphosphate	APAF1
adenosine-triphosphate	ARAF
adenosine-triphosphate	ASNA1
adenosine-triphosphate	ASNS
adenosine-triphosphate	ASS1
adenosine-triphosphate	CDK15
adenosine-triphosphate	GPR17
adenosine-triphosphate	ITPR1
adenosine-triphosphate	NAE1
adenosine-triphosphate	NT5C2
adenosine-triphosphate	P2RY1
adenosine-triphosphate	P2RY11
adenosine-triphosphate	P2RY13
adenosine-triphosphate	P2RY2
adenosine-triphosphate	P2RY4
adenosine-triphosphate	PRKAA1
adenosine-triphosphate	RYR1
adenosine-triphosphate	RYR2
adenosine-triphosphate	RYR3
adenosine-triphosphate	SLC25A4
adenosine-triphosphate	TNK2
adenosine-triphosphate	TRPM4
adenosine-triphosphate	TRPM7
adiphenine	CHRNA1
adipic-acid	SLC22A6
adiporon	ADIPOR1
adiporon	ADIPOR2
ADL5859	OPRD1
adoprazine	DRD2
adoprazine	HTR1A
adrenalone	ADRA1A
adrenosterone	HSD11B1
adrenosterone	HSD11B2
ADX-10059	GRM5
ADX-47273	GRM5
AEE788	EGFR
AEE788	ERBB2
AEE788	ERBB4
AEE788	FGFR2
AEE788	FGFR3
AEE788	KDR
AF38469	SORT1
afalanine	DRD2
afatinib	EGFR
afatinib	ERBB2
afatinib	ERBB4
afimoxifene	ESR1
afimoxifene	ESR2
afimoxifene	ESRRG
afimoxifene	PLD1
afimoxifene	PRKCD
afimoxifene	PRKCE
afimoxifene	PRKCQ
afimoxifene	PRKCZ
AG-1024	IGF1R
AG-14361	PARP1
AG-490	EGFR
AG-490	JAK2
AG-490	JAK3
AG-555	CDK2
AGI-5198	IDH1
AGI-6780	IDH2
AGM-1470	METAP2
agmatine	ADRA2C
agmatine	ASIC3
agmatine	CACNA1B
agmatine	CHRNA1
agmatine	GRIN1
agmatine	KCNJ1
agmatine	NISCH
AGN-192403	NISCH
AGN-194310	RXRA
AGN-194310	RXRB
AGN-194310	RXRG
AGN-195183	RARA
agomelatine	HTR2A
agomelatine	HTR2B
agomelatine	HTR2C
agomelatine	MTNR1A
agomelatine	MTNR1B
AH11110	ADRA1B
AH6809	PTGDR
AH6809	PTGER1
AH6809	PTGER2
AH6809	PTGER3
AH-7614	FFAR4
AI-10-49	CBFB
AIM-100	TNK2
AJ76-(+)	DRD2
AJ76-(+)	DRD3
AJ76-(+)	DRD4
ajmaline	SCN5A
AK-7	SIRT2
AKBA	ALOX5
AL-8697	MAPK14
alacepril	ACE
alanine	AARS
alanine	AARS2
alanine	ABAT
alanine	AGXT
alanine	AGXT2
alanine	GPRC6A
alanine	GPT
alanine	GPT2
alanine	KYNU
alanine	NFS1
alanine	PHYKPL
alanine	SLC1A4
alanine	SLC36A1
alanine	SLC7A8
alantolactone	STAT3
alaproclate	SLC6A4
alarelin	GNRH1
albendazole	TUBA1A
albendazole	TUBB
albendazole	TUBB4B
albuterol	ADRB1
albuterol	ADRB2
alcaftadine	HRH1
alclofenac	PTGS1
alclometasone-dipropionate	CYP3A4
alclometasone-dipropionate	NR3C1
alclometasone-dipropionate	SERPINA6
alcuronium	CHRM1
alcuronium	CHRM2
alcuronium	CHRM3
alcuronium	CHRM4
alcuronium	CHRNA7
alda-1	ALDH2
aldoxorubicin	TOP2A
alectinib	ALK
alectinib	MET
alendronate	ATP6V1A
alendronate	FDPS
alendronate	PTPN4
alendronate	PTPRE
alendronate	PTPRS
alexidine	PTPMT1
alfacalcidol	CYP27B1
alfacalcidol	VDR
alfaxalone	GABBR1
alfuzosin	ADRA1A
alfuzosin	ADRA1B
alfuzosin	ADRA1D
alfuzosin	KCNH2
alimemazine	HRH1
alisertib	AURKA
aliskiren-hemifumarate	REN
alizapride	DRD2
allicin	TRPA1
allicin	TRPV1
allopregnanolone	GABRA1
allopregnanolone	GABRA2
allopregnanolone	GABRA3
allopregnanolone	GABRA4
allopregnanolone	GABRA5
allopregnanolone	GABRA6
allopregnanolone	GABRB2
allopregnanolone	GABRG2
allopurinol	XDH
allylestrenol	ESR1
allylestrenol	PGR
allylestrenol	SLC6A9
allylisothiocyanate	TRPA1
almitrine	ATP1A1
almorexant	HCRTR1
almorexant	HCRTR2
almotriptan	HTR1B
almotriptan	HTR1D
aloe-emodin	CASP8
alogliptin	DPP4
alosetron	HTR3A
aloxistatin	CTSG
alpelisib	PIK3CA
alpelisib	PIK3CB
alpelisib	PIK3CD
alpelisib	PIK3CG
alpha-Asarone	HMGCR
alpha-linolenic-acid	ELOVL4
alpha-linolenic-acid	FADS1
alpha-linolenic-acid	FADS2
alpha-linolenic-acid	FFAR1
alpha-linolenic-acid	FFAR4
alpha-linolenic-acid	PTGS2
alpha-linolenic-acid	SLC8A1
alpha-linolenic-acid	TRPV1
alpha-methylhistamine-dihydrobromide-(R)-(-)	HRH3
alpha-methylhistamine-dihydrobromide-(S)-(+)	HRH3
alpha-methylserotonin	HTR1D
alpha-methylserotonin	HTR1E
alpha-methylserotonin	HTR1F
alpha-methylserotonin	HTR2A
alpha-methylserotonin	HTR2B
alpha-methylserotonin	HTR2C
alpha-methylserotonin	HTR4
alpidem	GABRA1
alprenolol	ADRB1
alprenolol	ADRB2
alprenolol	HTR1A
alprostadil	CATSPER1
alprostadil	CATSPER2
alprostadil	CATSPER3
alprostadil	CATSPER4
alprostadil	PTGDR
alprostadil	PTGER1
alprostadil	PTGER2
alprostadil	PTGER4
alprostadil	PTGIR
alrestatin	AKR1B1
altanserin	HTR2A
altinicline	CHRNA4
altinicline	CHRNB2
altiratinib	KDR
altiratinib	MET
altiratinib	TEK
altrenogest	PGR
alverine	HTR1A
alvespimycin	HSP90AA1
alvimopan	OPRD1
alvimopan	OPRK1
alvimopan	OPRM1
alvocidib	CDK1
alvocidib	CDK2
alvocidib	CDK4
alvocidib	CDK5
alvocidib	CDK6
alvocidib	CDK7
alvocidib	CDK8
alvocidib	CDK9
alvocidib	EGFR
alvocidib	PYGM
ALX-5407	SLC6A9
AM-1241	CNR1
AM-1241	CNR2
AM-24	ALOX5
AM-251	CNR1
AM-251	GPR18
AM-251	GPR55
AM-281	CNR1
AM-281	CNR2
AM-281	GPR55
AM-404	CNR1
AM-404	CNR2
AM-404	FAAH
AM-404	TRPV1
AM-580	RARA
AM-630	CNR1
AM-630	CNR2
AM679	ALOX5AP
AM679	CNR1
AM679	CNR2
AM-92016	GRIN1
amantadine	DRD2
amantadine	GRIN2A
amantadine	GRIN2B
amantadine	GRIN2C
amantadine	GRIN2D
amantadine	GRIN3A
ambenonium	ACHE
ambrisentan	EDNRA
ambrisentan	EDNRB
ambroxol	CYP3A4
amcinonide	ANXA1
amcinonide	NR3C1
AMD11070	CXCR4
AMD-3465	CXCR4
amezinium	ADRB2
amfenac	PTGS1
amfenac	PTGS2
amfepramone	SLC6A2
amfepramone	SLC6A3
amflutizole	XDH
AMG-208	MET
AMG-232	MDM2
AMG319	PIK3CD
AMG-319	PIK3CD
AMG-337	MET
AMG458	MET
AMG-487-(+/-)	CXCR3
AMG-517	TRPV1
AMG-548	MAPK11
AMG-548	MAPK12
AMG-548	MAPK13
AMG-548	MAPK14
AMG-837	FFAR1
AMG900	AURKA
AMG900	AURKB
AMG900	AURKC
AMG-925	CDK4
AMG-925	CDK6
AMG-925	FLT3
AMG-9810	TRPV1
AMG-PERK-44	EIF2AK4
AMI-1	PRMT1
amibegron	ADRB3
amiflamine	MAOA
amiflamine	SLC6A2
amifostine	ALPPL2
amifostine	ENPP1
amiloride	AOC1
amiloride	ASIC1
amiloride	ASIC2
amiloride	ASIC3
amiloride	PKD2
amiloride	PKD2L1
amiloride	PLAU
amiloride	SCNN1A
amiloride	SCNN1B
amiloride	SCNN1D
amiloride	SCNN1G
amiloride	SLC9A1
amiloride	TRPC7
amiloride	TRPV2
amineptine	SLC6A2
amineptine	SLC6A4
aminocaproic-acid	LPA
aminocaproic-acid	PLAT
aminocaproic-acid	PLG
aminoglutethimide	CYP11A1
aminoglutethimide	CYP19A1
aminoguanidine	NOS2
aminomethyltransferase	NOS2
aminopentamide	CHRM1
aminophylline	ADORA1
aminophylline	ADORA2A
aminophylline	ADORA2B
aminophylline	ADORA3
aminophylline	HDAC2
aminophylline	PDE3A
aminophylline	PDE3B
aminophylline	PDE4A
aminophylline	PDE4B
aminophylline	PDE4C
aminophylline	PDE4D
aminopterin	DHFR
aminopterin	SLC46A1
aminopurvalanol-a	CDK1
aminopurvalanol-a	CDK2
aminopurvalanol-a	CDK5
aminopurvalanol-a	CDK6
aminosalicylate	ALOX5
aminosalicylate	CHUK
aminosalicylate	PLA2G2E
aminosalicylate	PTGS1
aminosalicylate	PTGS2
aminothiadiazole	ADORA3
aminothiadiazole	IMPDH1
aminothiazole	NOS2
amiodarone	ADRB1
amiodarone	CACNA1H
amiodarone	CACNA2D2
amiodarone	KCNA7
amiodarone	KCNH2
amisulpride	DRD2
amisulpride	DRD3
amisulpride	HTR2A
amisulpride	HTR7
amitifadine	SLC6A2
amitifadine	SLC6A3
amitifadine	SLC6A4
amitraz	ADRA1A
amitraz	ADRA2A
amitriptyline	ADRA1A
amitriptyline	ADRA1B
amitriptyline	ADRA1D
amitriptyline	ADRA2A
amitriptyline	ADRB1
amitriptyline	ADRB2
amitriptyline	ADRB3
amitriptyline	CHRM1
amitriptyline	CHRM2
amitriptyline	CHRM3
amitriptyline	CHRM4
amitriptyline	CHRM5
amitriptyline	HRH1
amitriptyline	HRH2
amitriptyline	HRH4
amitriptyline	HTR1A
amitriptyline	HTR1B
amitriptyline	HTR1D
amitriptyline	HTR2A
amitriptyline	HTR2C
amitriptyline	HTR6
amitriptyline	HTR7
amitriptyline	KCNA1
amitriptyline	KCND2
amitriptyline	KCND3
amitriptyline	KCNQ2
amitriptyline	KCNQ3
amitriptyline	NTRK1
