target	r	p	drug
GJB1	-0.0299277605779154	0.908332230183937	1-octanol | carbenoxolone | flufenamic-acid
FOLH1	0.424148606811146	0.0808061413810852	2-(3-mercaptopropyl)pentanedioic acid | L-glutamic-acid | L-Quisqualic-acid | PMPA
BCL2L1	-0.304437564499484	0.218759819456238	2,3-DCPE | ABT-737 | navitoclax | TW-37
TXN	0.533539731682147	0.0243927635262133	2,4-dinitrochlorobenzene | C11-Acetate | PX-12
APP	0.614035087719298	0.00792629233163519	2,4-dinitrophenol | beta-amyloid-synthesis-inhibitor | curcumin | EUK-134 | MRK-560 | Ro-90-7501 | salidroside | SEN-1269 | TC-E-5006 | tramiprosate
HBB	0.289989680082559	0.242278060261314	2,5-furandimethanol | disodium sebacate | efaproxiral
CA14	0.164086687306502	0.513905239687731	2-aminobenzenesulfonamide | acetazolamide | brinzolamide | carzenide | chlorthalidone | coumarin | curcumin | dorzolamide | ellagic-acid | ethoxzolamide | ferulic-acid | gallic-acid | indisulam | mafenide | methazolamide | phenol | resorcinol | spermine | trientine | zonisamide
CA2	0.0691434468524252	0.785935689084821	2-aminobenzenesulfonamide | acetazolamide | bendroflumethiazide | benzthiazide | brinzolamide | butylated-hydroxytoluene | C11-Acetate | carzenide | chlorothiazide | coumarin | curcumin | cyclothiazide | diazoxide | diclofenamide | ditiocarb-sodium-trihydrate | dorzolamide | ellagic-acid | ethoxzolamide | ferulic-acid | furosemide | gallic-acid | guaiacol | hydrochlorothiazide | hydroflumethiazide | indisulam | irosustat | mafenide | methazolamide | methyclothiazide | para-toluenesulfonamide | phenol | quinethazone | resorcinol | saccharin | sparfosate | tioxolone | topiramate | trichlormethiazide | U-104 | urea | zonisamide
MAOA	-0.162022703818369	0.519298576820994	2-BFI | amiflamine | bifemelane | BU-224 | BW-616U | caroxazone | clorgiline | diclofensine | eprobemide | flavin-adenine-dinucleotide | harmane | hymecromone | indatraline | iproniazid | isocarboxazid | linezolid | minaprine | moclobemide | mofegiline | nandrolone | nialamide | nomifensine | pargyline | phenelzine | phentermine | piperine | pirlindole | PNU-22394 | procaine | psoralen | selegiline | tetrindole | toloxatone | tranylcypromine | zimelidine | zonisamide
MAOB	0.287925696594427	0.245767487807464	2-BFI | bifemelane | BU-224 | caroxazone | diclofensine | flavin-adenine-dinucleotide | harmane | hymecromone | indatraline | iproniazid | isocarboxazid | lazabemide | linezolid | milacemide | moclobemide | mofegiline | nandrolone | nialamide | nomifensine | pargyline | phenelzine | phentermine | piperine | PNU-22394 | procaine | psoralen | rasagiline | safinamide | selegiline | toloxatone | tranylcypromine | zimelidine | zonisamide
SLC2A1	0.397316821465428	0.103596036482681	2-deoxyglucose | STF-31
SLC2A2	-0.256965944272446	0.302029906582223	2-deoxyglucose | streptozotocin
SLC2A3	0.205366357069143	0.412031436481371	2-deoxyglucose
NQO2	0.356037151702786	0.147396020606921	2-iodomelatonin | caricotamide | coenzyme-i | flavin-adenine-dinucleotide | melatonin | menadione | primaquine | resveratrol | tretazicar
COMT	-0.343653250773994	0.162772538741214	2-methoxyestradiol | ademetionine | entacapone | nialamide | nitecapone | opicapone | OR-486 | tolcapone | U-0521
ABAT	-0.192982456140351	0.441356388027162	2-oxopropanoate | 3-methyl-GABA | alanine | C11-Acetate | L-glutamic-acid | MC-1 | phenelzine | valproic-acid | vanillin | vigabatrin
AGXT2	0.155830753353973	0.535640052005242	2-oxopropanoate | alanine | AZD4282 | MC-1
PC	-0.0567595459236326	0.824196630248086	2-oxopropanoate | biotin
PDHB	0.170278637770898	0.497889796316028	2-oxopropanoate | coenzyme-i
PKLR	0.318885448916409	0.196815078983733	2-oxopropanoate | fosfructose
PKM	-0.331269349845201	0.179236912912538	2-oxopropanoate | TEPP-46
SLC16A1	0.0835913312693498	0.741905326338799	2-oxopropanoate | AR-C155858 | AZD3965 | CHC | UK-5099
SLC16A2	-0.0897832817337461	0.723264949800378	2-oxopropanoate
SLC16A7	0.432404540763674	0.0746160754362021	2-oxopropanoate | AR-C155858
PARP1	0.259029927760578	0.298049947052794	3-amino-benzamide | 4-HQN | AG-14361 | BYK-204165 | DR-2313 | E7449 | EB-47 | iniparib | inosine | nicotinamide | niraparib | NU-1025 | olaparib | PJ-34 | rucaparib | S-111 | veliparib
HK2	0.0939112487100103	0.710921782778592	3-bromopyruvate
AHCY	0.0629514963880289	0.805011739019859	3-deazaadenosine | nadide
B2M	0.0485036119711042	0.849927794799856	3-indolebutyric-acid
AKT1	0.372549019607843	0.128534791936702	4,5,6,7-tetrabromobenzotriazole | A-674563 | adenosine-triphosphate | API-1 | arsenic-trioxide | AT13148 | AZD5363 | bisindolylmaleimide-ix | BMS-536924 | BMS-754807 | CaMKII-IN-1 | canertinib | enzastaurin | GDC-0068 | GSK2110183 | GSK690693 | hexamethylenebisacetamide | KN-62 | LY294002 | MK-2206 | PD-98059 | perifosine | SB-202190 | SB-203580 | SB-747651A | TIC10 | triciribine | U-0126 | uprosertib
CSNK2A1	-0.0299277605779154	0.908332230183937	4,5,6,7-tetrabromobenzotriazole | CX-4945 | ellagic-acid | emodin | resveratrol | TTP-22
MAP2K1	0.180598555211558	0.47175848589854	4,5,6,7-tetrabromobenzotriazole | arctigenin | AS-703026 | BI-847325 | bosutinib | MEK162 | nobiletin | PD-0325901 | PD-184352 | PD-198306 | PD-318088 | PD-98059 | refametinib | reversine | Ro-4987655 | Ro-5126766 | selumetinib | TAK-733 | trametinib | U-0126
MAPK1	-0.0546955624355005	0.830613987737703	4,5,6,7-tetrabromobenzotriazole | arsenic-trioxide | bisindolylmaleimide-ix | BMS-536924 | CHIR-99021 | FR-180204 | GDC-0994 | isoprenaline | KN-62 | LY294002 | olomoucine | PD-98059 | purvalanol-b | ravoxertinib | SB-202190 | SB-203580 | TIC10 | U-0126 | VX-11e
MAPK14	-0.242518059855521	0.330803679453263	4,5,6,7-tetrabromobenzotriazole | 8-hydroxy-DPAT | AL-8697 | AMG-548 | bisindolylmaleimide-ix | CMPD-1 | doramapimod | EO-1428 | GW-788388 | JX-401 | KN-62 | losmapimod | LY2228820 | LY294002 | ML-3403 | PD-98059 | pexmetinib | PH-797804 | QX-314 | RWJ-67657 | SB-202190 | SB-203580 | SB-239063 | SB-242235 | SD-169 | semapimod | skepinone-l | SKF-86002 | SX-011 | TA-01 | TAK-715 | talmapimod | tie2-kinase-inhibitor | tyrphostin-AG-1478 | U-0126 | VX-702 | VX-745 | ZM-336372
PRKCA	0.283797729618163	0.252844060934109	4,5,6,7-tetrabromobenzotriazole | 8-hydroxy-DPAT | bisindolylmaleimide-ix | C-1 | ellagic-acid | enzastaurin | go-6983 | ingenol-mebutate | KN-62 | LY294002 | myricitrin | PD-98059 | SB-202190 | SB-203580 | SC-10 | SC-9 | sotrastaurin | tamoxifen | U-0126 | vitamin-E
ROCK1	0.0939112487100103	0.710921782778592	4,5,6,7-tetrabromobenzotriazole | AS-1892802 | AT13148 | bisindolylmaleimide-ix | fasudil | GSK269962 | GSK429286A | hydroxyfasudil | KN-62 | LX7101 | LY294002 | OXA-06 | PD-98059 | ripasudil | RKI-1447 | SAR407899 | SB-202190 | SB-203580 | SB-747651A | SB-772077B | U-0126 | Y-27632 | Y-39983
RPS6KB1	-0.12280701754386	0.626636233574355	4,5,6,7-tetrabromobenzotriazole | bisindolylmaleimide-ix | KN-62 | LY2584702 | LY294002 | PD-98059 | PF-4708671 | PHA-767491 | SB-202190 | SB-203580 | SB-415286 | SB-747651A | U-0126
EIF4E	0.162022703818369	0.519298576820995	4E1RCat | 4EGI-1
EIF4G1	0.3890608875129	0.111476224789762	4E1RCat
SIGMAR1	-0.281733746130031	0.2564312774108	4-IBP | 4-PPBP | amitriptyline | API-001 | BD-1047 | BD-1063 | cutamesine | dehydroepiandrosterone | dextromethorphan | dimemorfan | ditolylguanidine | igmesine | L-693403 | naltrexone | NE-100 | NNC-711 | nortriptyline | noscapine | PRE-084 | remoxipride | rimcazole | SK&F-10047-(+)
MIF	-0.302373581011352	0.222022688948552	4-iodo-6-phenylpyrimidine | caffeic-acid | chicago-sky-blue-6b | citric-acid | CPSI-1306-(+/-) | ISO-1 | YZ9
DPP4	-0.151702786377709	0.54666660993969	4-iodo-L-phenylalanine | alogliptin | anagliptin | atorvastatin | DBPR108 | linagliptin | NVP-DPP728 | omarigliptin | PK-44 | saxagliptin | sitagliptin | talabostat | teneligliptin | trelagliptin | UAMC-00039 | vildagliptin
FASN	0.238390092879257	0.339317439034284	4-methylgenistein | cerulenin | epicatechin-gallate-(-) | epigallocatechin-gallate-(-) | fisetin | GSK2194069 | morin | orlistat | PA-824 | pyrazinamide
HDAC1	0.0918472652218782	0.717084757605608	4SC-202 | ACY-1215 | AR-42 | belinostat | dacinostat | entinostat | givinostat | JNJ-26481585 | mocetinostat | nexturastat-a | NSC-3852 | panobinostat | parthenolide-(-) | PCI-24781 | PCI-34051 | phenylbutyrate | pivanex | pyroxamide | resminostat | RG2833 | romidepsin | SB-939 | SBHA | scriptaid | sodium-butyrate | tacedinaline | TC-H-106 | trichostatin-a | UF-010 | valproic-acid | vorinostat
ALAD	-0.168214654282766	0.503200634072406	5-aminolevulinic-acid
P2RX4	-0.601651186790506	0.00958309493364592	5-BDBD
DPYD	-0.27141382868937	0.274857725846631	5-fluorouracil | eniluracil | flavin-adenine-dinucleotide | gimeracil | NADPH | riboflavin-5-phosphate-sodium | uracil
MARK3	-0.420020639834881	0.084041952640125	7-hydroxystaurosporine
PDPK1	0.308565531475748	0.21233038916785	7-hydroxystaurosporine | 8-hydroxy-DPAT | AR-12 | BX-795 | BX-912 | celecoxib | dexfosfoserine | GF109203X | GSK2334470 | PHT-427
PRKG1	0.176470588235294	0.482125637546876	8-bromo-cGMP | GDC-0068 | GSK690693
PRKCB	-0.21155830753354	0.397782906588435	8-hydroxy-DPAT | CGP-53353 | ellagic-acid | enzastaurin | go-6983 | ingenol-mebutate | sotrastaurin | tamoxifen | vitamin-E
PRKCD	-0.673890608875129	0.00283229461380566	8-hydroxy-DPAT | afimoxifene | enzastaurin | go-6983 | ingenol-mebutate | sotrastaurin | tamoxifen
PRKCE	-0.318885448916409	0.196815078983733	8-hydroxy-DPAT | afimoxifene | bryostatin-1 | ingenol-mebutate | sotrastaurin | tamoxifen | Y-27632
ANO1	0.547987616099071	0.020289797305034	9-anthracenecarboxylic-acid | eact | flufenamic-acid | fluoxetine | mibefradil | niflumic-acid | NPPB | tannic-acid
GSK3A	0.409700722394221	0.0925547758378966	A-1070722 | AZD1080 | CHIR-98014 | CHIR-99021 | GSK-3-inhibitor-IX | indirubin | SB-216763 | SB-415286
RBP4	-0.2218782249742	0.374660368339884	A-1120
PNKP	0.232198142414861	0.352330434879144	A12B4C3
ICAM1	-0.223942208462332	0.370130594838583	A205804 | BIRT-377 | BMS-688521 | hyaluronic-acid | polydatin | RWJ-50271
EHMT2	-0.320949432404541	0.19380705206288	A-366 | BIX-01294 | BRD4770 | UNC0224 | UNC0321 | UNC0631 | UNC0638 | UNC0642 | UNC0646 | UNC0737
PIK3CA	0.541795665634675	0.0219747871743939	A66 | alpelisib | AS-604850 | AZD6482 | AZD8835 | BGT226 | buparlisib | caffeine | CH5132799 | copanlisib | ETP-45658 | GDC-0349 | GDC-0941 | GDC-0980 | GSK2126458 | idelalisib | IPI-145 | LY294002 | MLN0128 | MLN1117 | NVP-BEZ235 | PF-04691502 | PF-05212384 | PI-103 | PIK-293 | PIK-75 | PP-121 | SB-2343 | taselisib | TG100-115 | voxtalisib | wortmannin | XL-147
PRKACA	0.209494324045408	0.402501399987892	A-674563 | AT7867 | bucladesine | CCT128930 | CW-008 | dexfosfoserine | ellagic-acid | fasudil | H-89 | hydroxyfasudil | Y-27632
DGAT1	0.42827657378741	0.0776647150730813	A922500 | A-922500 | AZD3988 | AZD7687 | hesperetin | LCQ908 | PF-04620110
MMP9	-0.209494324045408	0.402501399987893	abametapir | apratastat | beta-elemene | captopril | cipemastat | CP-471474 | CTS-1027 | curcumin | glucosamine | ilomastat | marimastat | minocycline | salvianolic-acid-B | UK-356618
SPHK2	0.849329205366357	0	ABC-294640 | K145
CDK4	-0.213622291021672	0.393095591747222	abemaciclib | alvocidib | AMG-925 | arcyriaflavin-a | AT-7519 | NSC-625987 | ON123300 | P276-00 | palbociclib | PHA-793887 | PHA-848125 | purvalanol-a | purvalanol-b | R547 | RGB-286638 | ribociclib | ryuvidine | SU9516
CDK6	0.529411764705882	0.0256784893216006	abemaciclib | alvocidib | AMG-925 | aminopurvalanol-a | apigenin | AT-7519 | chrysin | fisetin | palbociclib | RGB-286638 | ribociclib
ADK	0.473684210526316	0.0488744819670028	ABT-702 | adenosine-phosphate | ribavirin
PARP2	-0.25077399380805	0.314165901931827	AC-55541 | E7449 | olaparib | rucaparib | talazoparib | UPF-1069 | veliparib
PDGFRB	-0.61609907120743	0.00767422794252735	AC-710 | anlotinib | BMS-536924 | cediranib | CP-673451 | crenolanib | dasatinib | dovitinib | flumatinib | GTP-14564 | imatinib | KG-5 | KI-20227 | linifanib | lucitanib | masitinib | MK-2461 | nintedanib | ON123300 | orantinib | pazopanib | PD-166285 | PD-173074 | quizartinib | regorafenib | semaxanib | sorafenib | SU-16f | SU-4312 | sunitinib | tandutinib | tivozanib | toceranib | vatalanib
BTK	0.292053663570691	0.23882115173451	acalabrutinib | AVL-292 | CNX-774 | GDC-0834 | ibrutinib | LFM-A13 | olmutinib | ONO-4059 | PCI-29732 | terreic-acid-(-)
PIK3CB	-0.0732714138286894	0.773283851267199	acalisib | alpelisib | AZD6482 | AZD8186 | BGT226 | caffeine | CH5132799 | copanlisib | ETP-45658 | GDC-0941 | GDC-0980 | GSK2126458 | GSK2636771 | idelalisib | IPI-145 | LY294002 | PI-103 | PIK-293 | PIK-294 | PIK-75 | PP-121 | SB-2343 | TG100-115 | TGX-221 | ZSTK-474
PIK3CD	-0.463364293085655	0.0545448000069743	acalisib | alpelisib | AMG319 | AMG-319 | AZD6482 | AZD8186 | AZD8835 | caffeine | CH5132799 | copanlisib | ETP-45658 | GDC-0941 | GDC-0980 | GSK2126458 | idelalisib | IPI-145 | LY294002 | MLN0128 | NVP-BEZ235 | PI-103 | PIK-293 | PIK-294 | PIK-75 | PP-121 | SB-2343 | TG100-115 | TGX-221 | wortmannin | XL-147 | ZSTK-474
GAA	0.021671826625387	0.934456992645077	acarbose | castanospermine | miglitol
AZGP1	0.589267285861713	0.0115089821614374	aceneuramic-acid
CES1	0.230134158926729	0.35673246563579	aceneuramic-acid | apoptosis-activator-II | avasimibe | benzoin | cholic-acid | CI-976 | cyclandelate | homatropine | oseltamivir-phosphate | probucol
MBL2	-0.0588235294117647	0.817790211810118	aceneuramic-acid
SIGLEC1	0.292053663570691	0.23882115173451	aceneuramic-acid
VKORC1	-0.42827657378741	0.0776647150730813	acenocoumarol | dicoumarol | menadione | menadione-bisulfite | phenindione | phenprocoumon | warfarin
CA1	0.0505675954592363	0.843479961758193	acetazolamide | amlodipine | bendroflumethiazide | benzthiazide | brinzolamide | carzenide | chlorothiazide | chlorthalidone | coumarin | curcumin | cyclothiazide | diazoxide | diclofenamide | ditiocarb-sodium-trihydrate | dorzolamide | ellagic-acid | ethoxzolamide | ferulic-acid | gallic-acid | hydrochlorothiazide | hydroflumethiazide | indisulam | levosulpiride | methazolamide | methocarbamol | methyclothiazide | phenol | quinethazone | saccharin | topiramate | trichlormethiazide | U-104 | zonisamide
CA3	-0.195046439628483	0.436393176540218	acetazolamide | ellagic-acid | ethoxzolamide | zonisamide
HSD11B1	0.232198142414861	0.352330434879144	acetyl-11-keto-beta-boswellic-acid | adrenosterone | ammonium-glycyrrhizinate | carbenoxolone | chenodeoxycholic-acid | coenzyme-i | corosolic-acid | corticosterone | enoxolone | PF-915275 | prednisone | pyrrolidine-dithiocarbamate | ursolic-acid
ACY1	-0.209494324045408	0.402501399987893	acetylcysteine | L-Aspartic-Acid
CHUK	-0.238390092879257	0.339317439034284	acetylcysteine | aminosalicylate | arctigenin | BMS-345541 | mesalazine | sulfasalazine
GSS	-0.374613003095975	0.126305597300531	acetylcysteine | AZD4282 | glutathione | L-cysteine
IKBKB	-0.341589267285862	0.165440309293558	acetylcysteine | arsenic-trioxide | aspirin | auranofin | AZD3264 | BMS-345541 | hypoestoxide | IKK-16 | IKK-2-inhibitor | IKK-2-inhibitor-V | mesalazine | parthenolide-(alternate-stereo) | PF-573228 | sulfasalazine | TPCA-1
RELA	-0.374613003095975	0.126305597300531	acetylcysteine | BAY-11-7082 | bortezomib | caffeic-acid-phenethyl-ester | NFKB-activation-inhibitor-II | parthenolide-(alternate-stereo) | pyrrolidine-dithiocarbamate | triptolide
RBP1	-0.269349845201238	0.278641213072874	acitretin | retinol
RXRA	0.110423116615067	0.662278717000652	acitretin | adapalene | AGN-194310 | bexarotene | BMS-649 | etodolac | etretinate | GW-9662 | PA-452 | peretinoin | retinol
RXRB	-0.087719298245614	0.729462010344478	acitretin | adapalene | AGN-194310 | bexarotene | etretinate | retinol | T-0901317 | tazarotene | tretinoin
STAT3	0.374613003095975	0.126305597300531	acitretin | alantolactone | APcK-110 | atiprimod | bardoxolone-methyl | cryptotanshinone | meisoindigo | napabucasin | niclosamide | ochromycinone | STAT3-inhibitor-VI | WP1066
CTPS1	0.162022703818369	0.519298576820995	acivicin | glutamine-(l) | hexylene-glycol
TOP2A	-0.475748194014448	0.0477972839161443	aclarubicin | aldoxorubicin | amonafide | amrubicin | amsacrine | ciprofloxacin | daunorubicin | dexrazoxane | doxorubicin | enoxacin | epirubicin | etoposide | etoposide-phosphate | garenoxacin | genistein | idarubicin | levofloxacin | lomefloxacin | merbarone | mitoxantrone | moxifloxacin | nemorubicin | norfloxacin | ofloxacin | pefloxacin | pirarubicin | pixantrone | podophyllotoxin | pyrazoloacridine | sparfloxacin | teniposide | trovafloxacin | valrubicin | voreloxin
HDAC2	0.112487100103199	0.656285911861525	ACY-1215 | aminophylline | belinostat | CUDC-907 | dacinostat | entinostat | givinostat | JNJ-26481585 | lovastatin | MC1568 | mocetinostat | oxtriphylline | panobinostat | PCI-24781 | pivanex | romidepsin | scriptaid | sodium-butyrate | TC-H-106 | trichostatin-a | UF-010 | valproic-acid | vorinostat
HDAC3	-0.04437564499484	0.862851181614753	ACY-1215 | belinostat | chidamide | dacinostat | entinostat | givinostat | JNJ-26481585 | mocetinostat | panobinostat | PCI-24781 | pivanex | resminostat | RG2833 | RGFP966 | romidepsin | SB-939 | SBHA | scriptaid | sodium-butyrate | TC-H-106 | trichostatin-a | UF-010 | vorinostat
HDAC6	0.226006191950464	0.365632627951848	ACY-1215 | belinostat | bufexamac | dacinostat | droxinostat | givinostat | JNJ-26481585 | nexturastat-a | panobinostat | PCI-24781 | PCI-34051 | resminostat | romidepsin | scriptaid | TCS-HDAC6-20b | trichostatin-a | tubastatin-a | vorinostat
PNP	-0.174406604747162	0.48735209558571	acyclovir | azaguanine-8 | cladribine | didanosine | forodesine | guanosine | hypoxanthine | inosine
AKR1B1	0.642930856553148	0.0049457913182515	AD-5467 | alrestatin | apigenin | chrysin | citric-acid | coenzyme-i | EBPC | epalrestat | fidarestat | hyperin | kaempferol | ranirestat | sorbinil | sulindac | tolrestat
IGF2R	-0.2218782249742	0.374660368339884	adaprev
M6PR	-0.143446852425181	0.569028408495842	adaprev
GNMT	0.432404540763674	0.0746160754362021	ademetionine | AZD4282 | citric-acid
MAT1A	-0.209494324045408	0.402501399987893	ademetionine
MAT2A	0.0567595459236326	0.824196630248086	ademetionine
ACACB	0.0732714138286894	0.773283851267198	adenine | biotin | CP-640186 | KD-023 | metformin
ACP1	0.00928792569659443	0.973759651081858	adenine
APRT	0.289989680082559	0.242278060261314	adenine | citric-acid
MTAP	0.0154798761609907	0.95409530924273	adenine
PECR	-0.145510835913313	0.563399997880221	adenine
SRPK2	-0.0278637770897833	0.914855800550612	adenine | purvalanol-b | SRPIN340 | URMC-099
PI4K2A	-0.325077399380805	0.187885299199641	adenosine
PI4K2B	0.00309597523219814	0.993438878586491	adenosine | PI4KIII-beta-inhibitor-1
ACSL1	-0.128998968008256	0.609108913813732	adenosine-phosphate | adenosine-triphosphate
ACSS1	0.00103199174406605	1	adenosine-phosphate | adenosine-triphosphate
ACSS2	-0.190918472652219	0.446349533246184	adenosine-phosphate | adenosine-triphosphate
FBP1	-0.186790505675955	0.45642497770131	adenosine-phosphate | CS-917 | MDL-29951
HINT1	0.0196078431372549	0.940999520326318	adenosine-phosphate
PRKAA1	-0.236326109391125	0.343622852543176	adenosine-phosphate | adenosine-triphosphate | aspirin | dorsomorphin | phenformin | ZLN-024
PRKAB1	0.0856553147574819	0.735675587394805	adenosine-phosphate | aspirin | metformin | ZLN-024
PRKAB2	-0.252837977296182	0.310087909621327	adenosine-phosphate | aspirin
PYGL	0.0113519091847265	0.967202665762875	adenosine-phosphate | CP-316819 | CP-91149 | dexfosfoserine | MC-1 | tagatose | uric-acid
ABCA1	-0.323013415892673	0.190830491289927	adenosine-triphosphate | glyburide | probucol
ABCB1	-0.296181630546956	0.232004708019058	adenosine-triphosphate | dofequidar | DPPE | elacridar | erythromycin-estolate | erythromycin-ethylsuccinate | Ko143 | roxithromycin | tariquidar | valspodar | zosuquidar
ABCB11	-0.481940144478844	0.0446757031307603	adenosine-triphosphate | cyclosporine | glyburide | probucol
ABCC2	-0.217750257997936	0.383814956786127	adenosine-triphosphate | MK-571 | sulfinpyrazone
ABCC9	-0.186790505675955	0.45642497770131	adenosine-triphosphate | glyburide | minoxidil | pinacidil
ABL1	-0.108359133126935	0.668291744820372	adenosine-triphosphate | bafetinib | bosutinib | dasatinib | flumatinib | GNF-2 | GNF-5 | GZD824 | imatinib | KW-2449 | LDN-212854 | metatinib | nilotinib | ponatinib | PP-121 | PP-2 | PPY-A | rebastinib | regorafenib | saracatinib
AFG3L2	0.673890608875129	0.00283229461380564	adenosine-triphosphate
APAF1	0.12280701754386	0.626636233574355	adenosine-triphosphate
ARAF	-0.27141382868937	0.274857725846631	adenosine-triphosphate
ASNS	0.26109391124871	0.294102709245796	adenosine-triphosphate | L-asparagine | L-Aspartic-Acid | L-glutamic-acid
ASS1	-0.0546955624355005	0.830613987737703	adenosine-triphosphate | L-Arginine | L-Aspartic-Acid | L-Citrulline
ITPR1	-0.34984520123839	0.15495006143369	adenosine-triphosphate | caffeine
NAE1	-0.0773993808049536	0.760687928044681	adenosine-triphosphate | pevonedistat
NT5C2	-0.102167182662539	0.686448935621915	adenosine-triphosphate | ribavirin
SLC25A4	-0.0257997936016512	0.921384723341731	adenosine-triphosphate | clodronic-acid
ADIPOR2	0.131062951496388	0.603312003143627	adiporon | taxifolin
EGFR	0.0154798761609907	0.95409530924273	AEE788 | afatinib | AG-490 | alvocidib | AP26113 | AST-1306 | AV-412 | AZ5104 | AZD3759 | AZD8931 | BIBU-1361 | BIBX-1382 | BMS-599626 | BMS-690514 | brigatinib | canertinib | CGP-52411 | CGP-53353 | chrysophanic-acid | CNX-2006 | CUDC-101 | dacomitinib | dovitinib | EGF816 | erbstatin-analog | erlotinib | gefitinib | GW-583340 | HKI-357 | icotinib | lapatinib | lidocaine | mubritinib | neratinib | olmutinib | orantinib | OSI-420 | osimertinib | PD-153035 | PD-158780 | PD-166285 | PD-168393 | pelitinib | PKI-166 | poziotinib | PP-121 | rociletinib | tyrphostin-AG-1478 | tyrphostin-AG-18 | tyrphostin-AG-494 | tyrphostin-AG-835 | tyrphostin-AG-99 | vandetanib | vatalanib | WHI-P154 | WZ-3146 | WZ-4002 | WZ8040 | XL-647 | ZM-306416
ERBB2	-0.162022703818369	0.519298576820994	AEE788 | afatinib | ARRY-334543 | AST-1306 | AV-412 | AZD8931 | BIBX-1382 | BMS-536924 | BMS-599626 | BMS-690514 | canertinib | CP-724714 | CUDC-101 | dacomitinib | FERb-033 | GW-583340 | lapatinib | mubritinib | neratinib | PD-168393 | poziotinib | TAK-285 | tucatinib | tyrphostin-AG-825 | tyrphostin-AG-879 | vandetanib | WAY-200070 | WZ-4002 | XL-647
PLD1	-0.170278637770898	0.497889796316029	afimoxifene | choline | FIPI | halopemide | VU0155069
PRKCZ	0.114551083591331	0.650313647303203	afimoxifene | arachidonic-acid | GF109203X | go-6983 | tamoxifen
