cancer,gene,direction,omics
Cancer 5,Gene24,high,Mutation
Cancer 2,Gene25,low,mRNA
Cancer10,Gene29,low,Protein
Cancer 8,Gene 4,low,Protein
Cancer 2,Gene15,high,Mutation
Cancer 6,Gene 9,high,CNV
Cancer 6,Gene 1,low,mRNA
Cancer 7,Gene26,low,mRNA
Cancer 9,Gene 2,low,Mutation
Cancer 4,Gene 2,low,Mutation
Cancer10,Gene 2,low,CNV
Cancer 3,Gene 8,high,mRNA
Cancer 9,Gene10,high,Mutation
Cancer 6,Gene26,low,Methylation
Cancer 5,Gene13,low,CNV
Cancer10,Gene21,low,mRNA
Cancer 4,Gene12,high,Mutation
Cancer 9,Gene18,high,mRNA
Cancer 9,Gene25,low,Mutation
Cancer 4,Gene13,high,Protein
Cancer 8,Gene26,low,Protein
Cancer 8,Gene 8,low,mRNA
Cancer 7,Gene24,high,Methylation
Cancer 9,Gene24,low,Protein
Cancer 1,Gene17,low,Protein
Cancer 9,Gene16,low,mRNA
Cancer 9,Gene 6,high,Mutation
Cancer 3,Gene 9,high,Mutation
Cancer 3,Gene15,high,mRNA
Cancer 1,Gene 1,high,Mutation
Cancer 5,Gene 4,high,CNV
Cancer 5,Gene30,low,mRNA
Cancer10,Gene17,high,Mutation
Cancer 1,Gene21,high,Methylation
Cancer 3,Gene 6,high,CNV
Cancer 4,Gene 5,high,CNV
Cancer 6,Gene 2,low,CNV
Cancer 4,Gene 7,high,mRNA
Cancer 7,Gene 9,high,CNV
Cancer 1,Gene12,low,CNV
Cancer 9,Gene 9,low,Methylation
Cancer 9,Gene27,low,Mutation
Cancer 7,Gene22,high,Methylation
Cancer 6,Gene 6,low,Methylation
Cancer10,Gene22,low,mRNA
Cancer 1,Gene23,high,mRNA
Cancer 2,Gene28,high,Mutation
Cancer 8,Gene 1,high,Protein
Cancer 6,Gene14,low,Mutation
Cancer 2,Gene17,high,mRNA
Cancer 6,Gene21,high,Mutation
Cancer 7,Gene 2,high,mRNA
Cancer 4,Gene19,high,Mutation
Cancer 8,Gene23,high,CNV
Cancer 6,Gene16,low,mRNA
Cancer 5,Gene18,low,mRNA
Cancer 7,Gene30,low,Mutation
Cancer 8,Gene21,high,mRNA
Cancer 3,Gene18,high,Methylation
Cancer 2,Gene22,low,Mutation
Cancer 3,Gene 4,low,Protein
Cancer 6,Gene19,low,Mutation
Cancer 7,Gene23,high,Protein
Cancer 9,Gene 7,high,Protein
Cancer 7,Gene10,low,Mutation
Cancer 6,Gene 3,high,Mutation
Cancer 7,Gene12,high,Methylation
Cancer 7,Gene27,low,Methylation
Cancer 2,Gene16,high,Methylation
Cancer 9,Gene13,low,Protein
Cancer 2,Gene18,low,CNV
Cancer 1,Gene29,low,CNV
Cancer 9,Gene12,low,Mutation
Cancer 3,Gene20,low,Protein
Cancer 3,Gene24,high,mRNA
