source,target,color,type,alpha,size
Meth3,Drug2,#1F78B4,2,0.7,3
Meth6,Drug8,#CAB2D6,4,0.8,1
Meth1,Drug5,#6A3D9A,2,0.6,3
Meth4,Drug5,#6A3D9A,2,0.8,2
Meth9,Drug5,#FFFF99,1,0.8,3
Meth1,Drug6,#6A3D9A,5,0.6,1
Meth1,Drug8,#FDBF6F,3,0.8,2
Meth1,Drug8,#A6CEE3,3,1,3
Meth1,Drug8,#1F78B4,4,1,1
Meth8,Drug4,#FF7F00,4,0.5,2
Meth9,Drug2,#E31A1C,2,1,3
Meth5,Drug5,#E31A1C,4,0.6,3
Meth7,Drug6,#FB9A99,1,0.9,1
Meth3,Drug2,#FDBF6F,2,0.7,2
Meth4,Drug2,#FF7F00,1,0.8,3
Meth5,Drug2,#A6CEE3,4,0.6,2
Meth7,Drug3,#FDBF6F,5,0.5,1
Meth5,Drug6,#FF7F00,5,0.8,1
Meth4,Drug5,#1F78B4,1,0.5,1
Meth8,Drug1,#CAB2D6,5,0.8,1
Meth8,Drug3,#33A02C,3,0.9,3
Meth2,Drug1,#6A3D9A,5,0.6,2
Meth1,Drug5,#E31A1C,2,0.7,3
Meth2,Drug3,#E31A1C,1,0.6,1
Meth6,Drug5,#FB9A99,1,0.7,3
Meth8,Drug1,#33A02C,2,0.9,2
Meth2,Drug5,#33A02C,1,1,1
Meth2,Drug1,#CAB2D6,4,0.7,2
Meth4,Drug5,#FF7F00,2,0.7,2
Meth5,Drug1,#33A02C,1,0.7,3
Meth4,Drug5,#1F78B4,3,1,1
Meth5,Drug4,#FDBF6F,2,1,1
Meth9,Drug7,#A6CEE3,5,1,3
Meth3,Drug7,#FF7F00,1,0.9,2
Meth3,Drug4,#FFFF99,3,0.6,1
Meth6,Drug6,#FDBF6F,5,0.5,3
Meth2,Drug6,#33A02C,5,0.8,2
Meth8,Drug8,#FDBF6F,3,0.7,3
Meth6,Drug7,#FB9A99,4,0.6,2
Meth8,Drug5,#6A3D9A,2,1,3
Meth7,Drug6,#FF7F00,5,0.8,3
Meth5,Drug3,#FF7F00,3,0.8,2
Meth9,Drug4,#FB9A99,4,1,1
Meth3,Drug3,#CAB2D6,2,1,1
Meth5,Drug3,#1F78B4,1,0.5,2
Meth4,Drug3,#6A3D9A,1,0.9,3
Meth3,Drug5,#FF7F00,2,0.7,2
Meth1,Drug1,#FF7F00,1,0.7,3
Meth2,Drug4,#33A02C,2,0.9,2
Meth6,Drug3,#CAB2D6,1,0.6,2
Meth8,Drug5,#B15928,3,1,1
Meth1,Drug2,#E31A1C,4,0.5,1
Meth7,Drug5,#B2DF8A,4,0.6,2
Meth1,Drug6,#6A3D9A,1,0.6,3
Meth6,Drug3,#FF7F00,4,0.9,2
Meth2,Drug4,#33A02C,1,0.8,3
Meth7,Drug6,#B2DF8A,4,0.6,1
Meth9,Drug4,#B2DF8A,1,0.9,1
Meth5,Drug1,#FF7F00,1,0.5,3
Meth8,Drug8,#E31A1C,4,0.6,1
Meth4,Drug7,#A6CEE3,2,0.9,1
Meth4,Drug2,#B2DF8A,3,0.6,1
Meth1,Drug4,#FFFF99,5,0.8,1
Meth1,Drug1,#FFFF99,4,0.8,3
Meth3,Drug3,#B15928,5,0.5,1
Meth6,Drug3,#FB9A99,1,1,2
Meth6,Drug3,#E31A1C,3,0.5,1
Meth8,Drug6,#E31A1C,3,0.5,3
Meth6,Drug5,#FDBF6F,2,0.6,1
Meth1,Drug8,#CAB2D6,1,0.8,1
Meth7,Drug3,#33A02C,2,0.7,2
Meth9,Drug7,#FFFF99,3,0.6,2
Meth6,Drug4,#E31A1C,1,0.9,2
Meth6,Drug4,#33A02C,1,0.5,3
Meth4,Drug8,#B15928,4,1,3
Meth8,Drug3,#E31A1C,5,0.8,3
Meth4,Drug2,#B15928,5,0.8,1
Meth7,Drug2,#A6CEE3,1,0.7,2
Meth9,Drug5,#B2DF8A,2,0.7,1
Meth8,Drug8,#FFFF99,3,1,2
Meth3,Drug1,#A6CEE3,5,1,1
Meth1,Drug7,#1F78B4,4,0.8,3
Meth2,Drug5,#B2DF8A,1,0.8,3
Meth8,Drug1,#33A02C,5,0.5,3
Meth8,Drug6,#CAB2D6,1,0.5,1
Meth9,Drug4,#E31A1C,4,0.9,2
Meth3,Drug5,#CAB2D6,5,0.7,1
Meth5,Drug6,#CAB2D6,4,0.8,1
Meth8,Drug2,#B2DF8A,1,0.7,1
Mir6,Drug5,#33A02C,3,0.9,3
Mir2,Drug7,#A6CEE3,4,0.6,1
Mir5,Drug1,#A6CEE3,2,0.8,3
Mir4,Drug1,#6A3D9A,1,0.6,1
Mir3,Drug5,#FFFF99,4,0.7,3
Mir2,Drug2,#A6CEE3,5,0.8,2
Mir2,Drug7,#6A3D9A,1,0.9,3
Mir3,Drug3,#6A3D9A,4,0.7,1
Mir5,Drug8,#6A3D9A,4,0.5,3
Mir6,Drug2,#CAB2D6,2,0.5,3
Mir3,Drug4,#A6CEE3,5,0.5,2
Mir6,Drug8,#6A3D9A,3,0.8,3
Mir5,Drug7,#FB9A99,1,0.9,3
Mir3,Drug5,#33A02C,5,0.9,1
Mir5,Drug7,#B2DF8A,3,0.6,3
Mir6,Drug6,#A6CEE3,2,0.6,2
Mir1,Drug8,#FB9A99,4,0.7,2
Mir1,Drug8,#33A02C,4,0.8,3
Mir4,Drug5,#CAB2D6,3,0.7,1
Mir4,Drug6,#FB9A99,2,0.7,3
Drug1,Tar1,#FFFF99,4,1,1
Drug2,Tar2,#FF7F00,4,0.8,2
Drug3,Tar3,#1F78B4,5,0.7,1
Drug4,Tar4,#FFFF99,3,0.9,3
Drug5,Tar5,#6A3D9A,2,0.5,1
Drug6,Tar6,#FF7F00,2,1,1
Drug7,Tar7,#E31A1C,2,0.5,2
Drug8,Tar8,#B2DF8A,3,0.8,1
Tar1,Path3,#E31A1C,2,1,2
Tar7,Path5,#FF7F00,2,0.6,1
Tar6,Path3,#B2DF8A,1,1,2
Tar3,Path3,#A6CEE3,1,1,1
Tar8,Path5,#6A3D9A,4,0.8,2
Tar4,Path1,#B2DF8A,3,0.6,2
Tar3,Path4,#FF7F00,3,0.6,1
Tar4,Path6,#33A02C,2,1,3
Tar5,Path1,#A6CEE3,5,0.7,2
Tar3,Path5,#1F78B4,4,0.5,1
Tar2,Path1,#FF7F00,5,0.5,3
Tar5,Path4,#33A02C,1,1,1
Tar1,Path3,#FF7F00,2,0.9,2
Tar8,Path4,#FDBF6F,1,0.7,3
Tar3,Path6,#6A3D9A,3,1,2
