,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007157,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,3/48,46/23239,0.00011794079946067,0.00436882833746866,0.0029425767211464,12561/13052/16401,3
GO:0048638,GO:0048638,regulation of developmental growth,6/48,392/23239,0.000149539084742975,0.00542390721953166,0.00365321360534374,11990/12561/13052/13869/14255/16337,6
GO:0001954,GO:0001954,positive regulation of cell-matrix adhesion,3/48,52/23239,0.000170218962419515,0.00604798395045664,0.00407355368711793,14260/16542/17926,3
GO:0050673,GO:0050673,epithelial cell proliferation,6/48,412/23239,0.000195772896043364,0.00673593895790023,0.00453691828598256,13052/13869/14254/13617/16401/16542,6
GO:0072577,GO:0072577,endothelial cell apoptotic process,3/48,55/23239,0.000201191195098534,0.00673593895790023,0.00453691828598256,15257/16401/16542,3
GO:0045216,GO:0045216,cell-cell junction organization,4/48,142/23239,0.000211011274102577,0.00673593895790023,0.00453691828598256,12552/12561/12565/13052,4
GO:0014824,GO:0014824,artery smooth muscle contraction,2/48,11/23239,0.000227052644350294,0.00673593895790023,0.00453691828598256,12291/13617,2
GO:0031077,GO:0031077,post-embryonic camera-type eye development,2/48,11/23239,0.000227052644350294,0.00673593895790023,0.00453691828598256,14254/16542,2
GO:0048563,GO:0048563,post-embryonic animal organ morphogenesis,2/48,11/23239,0.000227052644350294,0.00673593895790023,0.00453691828598256,14254/16542,2
GO:0051901,GO:0051901,positive regulation of mitochondrial depolarization,2/48,11/23239,0.000227052644350294,0.00673593895790023,0.00453691828598256,16542/17926,2
GO:0086016,GO:0086016,AV node cell action potential,2/48,11/23239,0.000227052644350294,0.00673593895790023,0.00453691828598256,12291/13052,2
GO:0086027,GO:0086027,AV node cell to bundle of His cell signaling,2/48,11/23239,0.000227052644350294,0.00673593895790023,0.00453691828598256,12291/13052,2
GO:0060485,GO:0060485,mesenchyme development,5/48,269/23239,0.000228271337458997,0.00673593895790023,0.00453691828598256,13837/13869/13617/16401/17999,5
GO:0042391,GO:0042391,regulation of membrane potential,6/48,427/23239,0.000237347439019477,0.00688703152221516,0.0046386850362754,12291/13052/14397/14658/16542/17926,6
GO:0071229,GO:0071229,cellular response to acid chemical,5/48,277/23239,0.000261343686475733,0.00745900587138117,0.00502393212655681,12334/12826/13837/16542/17096,5
GO:0014820,GO:0014820,tonic smooth muscle contraction,2/48,13/23239,0.00032115365298481,0.00873638296635241,0.00588429554975458,12291/13617,2
GO:0086067,GO:0086067,AV node cell to bundle of His cell communication,2/48,13/23239,0.00032115365298481,0.00873638296635241,0.00588429554975458,12291/13052,2
GO:1904181,GO:1904181,positive regulation of membrane depolarization,2/48,13/23239,0.00032115365298481,0.00873638296635241,0.00588429554975458,16542/17926,2
GO:0001771,GO:0001771,immunological synapse formation,2/48,14/23239,0.000374185509582714,0.00987056018459856,0.00664820825638187,17698/17974,2
GO:0030949,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,2/48,14/23239,0.000374185509582714,0.00987056018459856,0.00664820825638187,14254/16542,2
GO:0046651,GO:0046651,lymphocyte proliferation,5/48,302/23239,0.000388552426977552,0.0100965638114615,0.0068004305365749,14255/16331/17096/17698/17974,5
GO:0032943,GO:0032943,mononuclear cell proliferation,5/48,304/23239,0.000400444048538715,0.0102525454192045,0.00690549024879456,14255/16331/17096/17698/17974,5
GO:0048871,GO:0048871,multicellular organismal homeostasis,6/48,473/23239,0.000409703633725897,0.0103375945843013,0.00696277418719526,13052/13869/14255/16001/16331/16542,6
GO:0043129,GO:0043129,surfactant homeostasis,2/48,15/23239,0.000431183623873215,0.0107241527023324,0.00722313619540994,13869/16542,2
GO:0001821,GO:0001821,histamine secretion,2/48,16/23239,0.000492132071277926,0.0118921025129391,0.00800979606361389,13617/17096,2
GO:0030238,GO:0030238,male sex determination,2/48,16/23239,0.000492132071277926,0.0118921025129391,0.00800979606361389,16001/16337,2
GO:0070661,GO:0070661,leukocyte proliferation,5/48,319/23239,0.000498634970387453,0.0118921025129391,0.00800979606361389,14255/16331/17096/17698/17974,5
GO:0043491,GO:0043491,protein kinase B signaling,4/48,181/23239,0.000530054407771366,0.012275481888994,0.00826801706480806,16001/16337/16542/17926,4
GO:0043200,GO:0043200,response to amino acid,4/48,183/23239,0.00055240811495048,0.012275481888994,0.00826801706480806,12334/12826/14658/16001,4
GO:0048754,GO:0048754,branching morphogenesis of an epithelial tube,4/48,183/23239,0.00055240811495048,0.012275481888994,0.00826801706480806,12826/14254/13617/16542,4
GO:0009886,GO:0009886,post-embryonic animal morphogenesis,2/48,17/23239,0.000557014973710812,0.012275481888994,0.00826801706480806,14254/16542,2
GO:0032438,GO:0032438,melanosome organization,2/48,17/23239,0.000557014973710812,0.012275481888994,0.00826801706480806,16553/17101,2
GO:0048875,GO:0048875,chemical homeostasis within a tissue,2/48,17/23239,0.000557014973710812,0.012275481888994,0.00826801706480806,13869/16542,2
GO:0002685,GO:0002685,regulation of leukocyte migration,4/48,188/23239,0.000611218354040128,0.0129707919709605,0.00873633559397201,13617/16401/17096/17698,4
GO:0030889,GO:0030889,negative regulation of B cell proliferation,2/48,18/23239,0.000625816499460472,0.0129707919709605,0.00873633559397201,16331/17096,2
GO:0048753,GO:0048753,pigment granule organization,2/48,18/23239,0.000625816499460472,0.0129707919709605,0.00873633559397201,16553/17101,2
GO:0051608,GO:0051608,histamine transport,2/48,18/23239,0.000625816499460472,0.0129707919709605,0.00873633559397201,13617/17096,2
GO:0097242,GO:0097242,amyloid-beta clearance,2/48,18/23239,0.000625816499460472,0.0129707919709605,0.00873633559397201,16001/16337,2
GO:0051899,GO:0051899,membrane depolarization,3/48,82/23239,0.000653119030117966,0.013377414487475,0.00901021175915064,12291/16542/17926,3
GO:0010827,GO:0010827,regulation of glucose transmembrane transport,3/48,83/23239,0.000676631775527657,0.0136978595487634,0.00922604403840648,13869/13617/16337,3
GO:0050679,GO:0050679,positive regulation of epithelial cell proliferation,4/48,195/23239,0.000700848461133607,0.0140250249521105,0.00944640273082683,13052/13869/16401/16542,4
GO:1904035,GO:1904035,regulation of epithelial cell apoptotic process,3/48,85/23239,0.000725263373856976,0.0143486765214204,0.00966439471862046,16001/16401/16542,3
GO:0097529,GO:0097529,myeloid leukocyte migration,4/48,198/23239,0.000741972011725613,0.0145143064316213,0.00977595293982653,13052/14254/13617/17096,4
