,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0043434,GO:0043434,response to peptide hormone,8/97,304/23239,4.12388324934532e-05,0.00218868094608257,0.00161909828263678,16001/16337/18750/19090/19267/20430/20913/21814,8
GO:0045927,GO:0045927,positive regulation of growth,8/97,305/23239,4.22057950818158e-05,0.00218868094608257,0.00161909828263678,12561/13869/14255/16337/19090/20403/20430/21814,8
GO:0002244,GO:0002244,hematopoietic progenitor cell differentiation,6/97,152/23239,4.29336134412786e-05,0.00218868094608257,0.00161909828263678,14254/14255/16542/18024/19090/20375,6
GO:0045785,GO:0045785,positive regulation of cell adhesion,9/97,399/23239,4.47160903356757e-05,0.00223104748589701,0.00165043934766391,14260/16401/16542/17926/17974/18073/18750/19273/22288,9
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,8/97,309/23239,4.62653044291128e-05,0.00226025289346395,0.00167204433550829,13837/13869/14254/16001/16337/16542/17096/18750,8
GO:0018212,GO:0018212,peptidyl-tyrosine modification,8/97,312/23239,4.95195079097187e-05,0.00236505872949439,0.00174957548477466,13837/13869/14254/16001/16337/16542/17096/18750,8
GO:0071375,GO:0071375,cellular response to peptide hormone stimulus,7/97,230/23239,5.12333573341347e-05,0.00236505872949439,0.00174957548477466,16001/16337/18750/19090/19267/20430/20913,7
GO:0007596,GO:0007596,blood coagulation,6/97,157/23239,5.14362452896434e-05,0.00236505872949439,0.00174957548477466,17096/17101/18024/18750/19128/21788,6
GO:0033002,GO:0033002,muscle cell proliferation,7/97,231/23239,5.2656121757019e-05,0.00237458856769634,0.00175662527642849,13052/13869/13617/16001/18750/19090/21814,7
GO:0007599,GO:0007599,hemostasis,6/97,159/23239,5.51929706908872e-05,0.00244202860887038,0.00180651471099468,17096/17101/18024/18750/19128/21788,6
GO:0050673,GO:0050673,epithelial cell proliferation,9/97,412/23239,5.72475724617463e-05,0.00248602884116287,0.00183906431612004,13052/13869/14254/13617/16401/16542/18750/20913/21814,9
GO:0050817,GO:0050817,coagulation,6/97,161/23239,5.91660765276593e-05,0.0025226263537702,0.00186613768646091,17096/17101/18024/18750/19128/21788,6
GO:0031589,GO:0031589,cell-substrate adhesion,8/97,322/23239,6.17792078570601e-05,0.00256937438937901,0.00190072000614818,13837/14260/16401/16542/226519/17926/18073/22288,8
GO:1903034,GO:1903034,regulation of response to wounding,6/97,163/23239,6.33646358578653e-05,0.00256937438937901,0.00190072000614818,16001/17096/18024/18750/19128/21788,6
GO:0006470,GO:0006470,protein dephosphorylation,7/97,238/23239,6.35495584579883e-05,0.00256937438937901,0.00190072000614818,13853/14050/19249/545622/19267/19273/19279,7
GO:0001954,GO:0001954,positive regulation of cell-matrix adhesion,4/97,52/23239,6.6216220999869e-05,0.00263181420753717,0.00194691047649927,14260/16542/17926/22288,4
GO:0050900,GO:0050900,leukocyte migration,8/97,326/23239,6.73438257851537e-05,0.00263202119110309,0.00194706359463041,13052/14254/13617/16401/17096/17101/17698/18750,8
GO:0007043,GO:0007043,cell-cell junction assembly,5/97,104/23239,7.57530531714511e-05,0.0028651759626944,0.00211954213287863,12552/12561/12565/18750/23836,5
GO:0045446,GO:0045446,endothelial cell differentiation,5/97,104/23239,7.57530531714511e-05,0.0028651759626944,0.00211954213287863,16542/17698/18669/21417/21873,5
GO:0072577,GO:0072577,endothelial cell apoptotic process,4/97,55/23239,8.26232939367788e-05,0.00307542260764676,0.00227507415886067,15257/16401/16542/18024,4
GO:0051893,GO:0051893,regulation of focal adhesion assembly,4/97,56/23239,8.86954815661014e-05,0.00319986006573089,0.0023671279938613,13837/14260/16542/17926,4
GO:0090109,GO:0090109,regulation of cell-substrate junction assembly,4/97,56/23239,8.86954815661014e-05,0.00319986006573089,0.0023671279938613,13837/14260/16542/17926,4
GO:1904019,GO:1904019,epithelial cell apoptotic process,5/97,108/23239,9.06229058801783e-05,0.00321985930740936,0.00238192262983308,15257/16001/16401/16542/18024,5
GO:0007156,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5/97,109/23239,9.46683610393745e-05,0.00331339263637811,0.0024511148309959,12552/12561/12565/23836/23965,5
GO:0002320,GO:0002320,lymphoid progenitor cell differentiation,3/97,22/23239,0.000102483807271084,0.00350644338364308,0.00259392602232917,14255/19090/20375,3
GO:0001952,GO:0001952,regulation of cell-matrix adhesion,5/97,111/23239,0.000103174666725532,0.00350644338364308,0.00259392602232917,13837/14260/16542/17926/22288,5
GO:0045666,GO:0045666,positive regulation of neuron differentiation,9/97,447/23239,0.000106552108186672,0.0035552145871532,0.00263000500039433,12561/13837/16001/17096/18024/20403/20430/21417/23965,9
GO:0008286,GO:0008286,insulin receptor signaling pathway,5/97,112/23239,0.000107641891551334,0.0035552145871532,0.00263000500039433,16001/16337/18750/19267/20913,5
GO:0010976,GO:0010976,positive regulation of neuron projection development,8/97,350/23239,0.000110217591696109,0.00358972572954689,0.00265553495782438,12561/13837/16001/17096/18024/20403/20430/23965,8
GO:0009615,GO:0009615,response to virus,7/97,262/23239,0.000115755982639141,0.00370411910888089,0.00274015858666175,13052/14255/16201/17101/19775/19777/24014,7
GO:1901652,GO:1901652,response to peptide,8/97,353/23239,0.000116889046506263,0.00370411910888089,0.00274015858666175,16001/16337/18750/19090/19267/20430/20913/21814,8
GO:0090287,GO:0090287,regulation of cellular response to growth factor stimulus,7/97,265/23239,0.000124209927757239,0.00387189661972903,0.00286427365248051,14254/16542/17999/20430/21417/21814/23893,7
GO:0003158,GO:0003158,endothelium development,5/97,116/23239,0.000127013969091624,0.00387189661972903,0.00286427365248051,16542/17698/18669/21417/21873,5
GO:1901653,GO:1901653,cellular response to peptide,7/97,266/23239,0.000127136903931401,0.00387189661972903,0.00286427365248051,16001/16337/18750/19090/19267/20430/20913,7
GO:0046324,GO:0046324,regulation of glucose import,4/97,62/23239,0.000132158418541663,0.00392293027190126,0.00290202629922266,13869/16337/18024/18750,4
GO:1903391,GO:1903391,regulation of adherens junction organization,4/97,62/23239,0.000132158418541663,0.00392293027190126,0.00290202629922266,13837/14260/16542/17926,4
GO:0008015,GO:0008015,blood circulation,9/97,466/23239,0.000145728029148713,0.00427165285442165,0.00315999726364578,12290/12291/13052/13617/16542/18750/20112/21814/26399,9
GO:0051894,GO:0051894,positive regulation of focal adhesion assembly,3/97,25/23239,0.000151675972346533,0.00433756286771486,0.00320875484502035,14260/16542/17926,3
GO:1901532,GO:1901532,regulation of hematopoietic progenitor cell differentiation,3/97,25/23239,0.000151675972346533,0.00433756286771486,0.00320875484502035,14254/16542/18024,3
GO:0003013,GO:0003013,circulatory system process,9/97,475/23239,0.000168117988962113,0.00473212483874942,0.00350063594849469,12290/12291/13052/13617/16542/18750/20112/21814/26399,9
GO:0050679,GO:0050679,positive regulation of epithelial cell proliferation,6/97,195/23239,0.000169508949447741,0.00473212483874942,0.00350063594849469,13052/13869/16401/16542/18750/20913,6
GO:0010811,GO:0010811,positive regulation of cell-substrate adhesion,5/97,124/23239,0.000173678521394705,0.00479148391377158,0.00354454740877368,14260/16542/17926/18073/22288,5
GO:0034109,GO:0034109,homotypic cell-cell adhesion,4/97,67/23239,0.000178714671956221,0.00487309192717835,0.00360491774031643,13052/17096/18750/19273,4
GO:0061564,GO:0061564,axon development,9/97,483/23239,0.000190365910691663,0.00513112713301092,0.00379580182480171,12552/12561/13837/16001/16401/18750/20430/20564/23964,9
GO:0060249,GO:0060249,anatomical structure homeostasis,8/97,386/23239,0.000215052805446844,0.00570447878029319,0.0042199443518901,13052/13869/14255/16331/16542/18750/19090/22427,8
GO:0061041,GO:0061041,regulation of wound healing,5/97,130/23239,0.000216502606160381,0.00570447878029319,0.0042199443518901,17096/18024/18750/19128/21788,5
GO:0010810,GO:0010810,regulation of cell-substrate adhesion,6/97,205/23239,0.00022216267363277,0.00576406808237219,0.00426402612490152,13837/14260/16542/17926/18073/22288,6
GO:0046323,GO:0046323,glucose import,4/97,71/23239,0.000223680253942801,0.00576406808237219,0.00426402612490152,13869/16337/18024/18750,4
GO:0060047,GO:0060047,heart contraction,6/97,206/23239,0.000228065164728979,0.00581318273140714,0.00430035917017572,12290/12291/13052/18750/20112/26399,6
GO:0060326,GO:0060326,cell chemotaxis,7/97,295/23239,0.000239753918779269,0.00600507658074517,0.00444231453487511,13052/14254/13617/16542/17096/17101/18750,7
GO:0048593,GO:0048593,camera-type eye morphogenesis,5/97,133/23239,0.000240715223279337,0.00600507658074517,0.00444231453487511,14254/15257/16542/21417/23965,5
GO:0007045,GO:0007045,cell-substrate adherens junction assembly,4/97,73/23239,0.00024897654844422,0.00608177089689267,0.00449904991048328,13837/14260/16542/17926,4
GO:0048041,GO:0048041,focal adhesion assembly,4/97,73/23239,0.00024897654844422,0.00608177089689267,0.00449904991048328,13837/14260/16542/17926,4
GO:0030595,GO:0030595,leukocyte chemotaxis,6/97,210/23239,0.000252922684433831,0.00611447108244674,0.00452324019475804,13052/14254/13617/17096/17101/18750,6
GO:0030947,GO:0030947,regulation of vascular endothelial growth factor receptor signaling pathway,3/97,30/23239,0.000263720306838331,0.00624670827814027,0.0046210639624622,14254/16542/17999,3
GO:0099560,GO:0099560,synaptic membrane adhesion,3/97,30/23239,0.000263720306838331,0.00624670827814027,0.0046210639624622,12565/13602/13837,3
GO:0003015,GO:0003015,heart process,6/97,214/23239,0.000279865237458305,0.00656283981839725,0.0048549253824346,12290/12291/13052/18750/20112/26399,6
GO:0001933,GO:0001933,negative regulation of protein phosphorylation,8/97,402/23239,0.000282693206205818,0.00656352048071924,0.00485542890909003,16001/16337/17096/17974/18750/19090/19279/20660,8
GO:0001667,GO:0001667,ameboidal-type cell migration,8/97,403/23239,0.00028744048194735,0.00660831304084838,0.00488856464653491,13869/14673/16401/16542/18024/18750/19279/21814,8
GO:1903393,GO:1903393,positive regulation of adherens junction organization,3/97,31/23239,0.000291094256775757,0.00662734011785582,0.004902640114118,14260/16542/17926,3
GO:0050869,GO:0050869,negative regulation of B cell activation,3/97,32/23239,0.000320237545422453,0.00715197184776812,0.00529074160256845,14255/16331/17096,3
GO:1901890,GO:1901890,positive regulation of cell junction assembly,3/97,32/23239,0.000320237545422453,0.00715197184776812,0.00529074160256845,14260/16542/17926,3
GO:0071322,GO:0071322,cellular response to carbohydrate stimulus,5/97,145/23239,0.000358729959329193,0.00793605428893357,0.00587077430957806,12290/16001/18750/20112/20913,5
GO:0071900,GO:0071900,regulation of protein serine/threonine kinase activity,8/97,418/23239,0.000366848144006909,0.00803980278220749,0.00594752327912824,14254/16001/16337/17096/18750/20660/26399/26401,8
GO:1901888,GO:1901888,regulation of cell junction assembly,4/97,81/23239,0.000371007841138384,0.00805567951360659,0.00595926824752493,13837/14260/16542/17926,4
GO:0051899,GO:0051899,membrane depolarization,4/97,82/23239,0.000388794818860555,0.00836443899291744,0.00618767611281694,12291/16542/17926/545622,4
GO:0001894,GO:0001894,tissue homeostasis,6/97,228/23239,0.000392373254027808,0.00836468436995645,0.00618785763289787,13052/13869/14255/16331/16542/18750,6
GO:1904035,GO:1904035,regulation of epithelial cell apoptotic process,4/97,85/23239,0.000445810162587663,0.00941824172313576,0.0069672370596915,16001/16401/16542/18024,4
GO:0046326,GO:0046326,positive regulation of glucose import,3/97,36/23239,0.000455446741543205,0.00945152751255589,0.00699186055019284,13869/16337/18024,3
GO:0097028,GO:0097028,dendritic cell differentiation,3/97,36/23239,0.000455446741543205,0.00945152751255589,0.00699186055019284,14255/17096/20375,3
GO:1903707,GO:1903707,negative regulation of hemopoiesis,5/97,154/23239,0.000472625353560327,0.00972198643946461,0.0071919352046853,14255/16331/17096/18024/21873,5
GO:0050878,GO:0050878,regulation of body fluid levels,7/97,337/23239,0.000533116116788689,0.0108709329901694,0.00804187972968202,13869/17096/17101/18024/18750/19128/21788,7
GO:0043010,GO:0043010,camera-type eye development,7/97,338/23239,0.000542559088231663,0.0109681126026142,0.00811376930495263,12826/14254/15257/16542/21417/23965/26401,7
GO:0042326,GO:0042326,negative regulation of phosphorylation,8/97,445/23239,0.00055453331361024,0.0111143642770599,0.00822196042131962,16001/16337/17096/17974/18750/19090/19279/20660,8
GO:0030838,GO:0030838,positive regulation of actin filament polymerization,4/97,91/23239,0.000577339157259228,0.0114190523916705,0.00844735645448234,14260/17974/20430/26401,4
GO:0007409,GO:0007409,axonogenesis,8/97,448/23239,0.000579474300472833,0.0114190523916705,0.00844735645448234,12552/12561/16001/16401/18750/20430/20564/23964,8
GO:0007041,GO:0007041,lysosomal transport,4/97,92/23239,0.000601666456974366,0.0117575653467074,0.00869777474643645,16553/17101/17999/20660,4
GO:0031346,GO:0031346,positive regulation of cell projection organization,8/97,454/23239,0.000632084763315107,0.0122499071898672,0.00906198947319093,12561/13837/16001/17096/18024/20403/20430/23965,8
