"","gene_id","eff_length"
"307","ENSG00000011600.10",907
"308","ENSG00000011638.9",2558
"309","ENSG00000011677.11",4193
"310","ENSG00000012048.18",8802
"311","ENSG00000012061.14",5576
"312","ENSG00000012124.13",6159
"313","ENSG00000012171.16",5768
"314","ENSG00000012174.10",8927
"315","ENSG00000012211.11",3194
"316","ENSG00000012223.11",4247
"317","ENSG00000012232.7",13220
"318","ENSG00000012504.12",3460
"319","ENSG00000012660.12",3813
"320","ENSG00000012779.9",3730
"321","ENSG00000012817.14",9463
"322","ENSG00000012822.14",8898
"323","ENSG00000012963.12",3694
"324","ENSG00000012983.10",7620
"325","ENSG00000013016.13",4636
"326","ENSG00000013275.6",2387
"327","ENSG00000013288.7",8898
"328","ENSG00000013293.5",10459
"329","ENSG00000013297.9",6032
"330","ENSG00000013306.14",3526
"331","ENSG00000013364.17",6141
"332","ENSG00000013374.14",5411
"333","ENSG00000013375.14",7335
"334","ENSG00000013392.7",3744
"335","ENSG00000013441.14",5170
"336","ENSG00000013503.8",4858
"337","ENSG00000013523.8",6414
"338","ENSG00000013561.16",4987
"339","ENSG00000013563.12",4130
"340","ENSG00000013573.15",8374
"341","ENSG00000013583.7",3442
"342","ENSG00000013588.5",8440
"343","ENSG00000013619.12",5958
"344","ENSG00000013725.13",5958
"345","ENSG00000013810.17",6528
"346","ENSG00000014123.9",4539
"347","ENSG00000014138.7",5726
"348","ENSG00000014164.6",3731
"349","ENSG00000014216.14",7553
"350","ENSG00000014257.14",4193
"351","ENSG00000014641.16",4990
"352","ENSG00000014824.12",7225
"353","ENSG00000014914.18",4591
"354","ENSG00000014919.11",4177
"355","ENSG00000015133.17",12426
"356","ENSG00000015153.13",10839
"357","ENSG00000015171.17",5300
"358","ENSG00000015285.9",2381
"359","ENSG00000015413.8",2737
"360","ENSG00000015475.17",4446
"361","ENSG00000015479.16",11772
"362","ENSG00000015520.13",5252
"363","ENSG00000015532.8",5472
"364","ENSG00000015568.11",14175
"365","ENSG00000015592.15",3294
"366","ENSG00000015676.16",10113
"367","ENSG00000016082.13",2882
"368","ENSG00000016391.9",7758
"369","ENSG00000016402.11",4730
"370","ENSG00000016490.14",3340
"371","ENSG00000016602.9",3447
"372","ENSG00000016864.15",3916
"373","ENSG00000017260.18",8533
"374","ENSG00000017427.14",8087
"375","ENSG00000017483.13",4014
"376","ENSG00000017797.10",4979
"377","ENSG00000018189.11",8070
"378","ENSG00000018236.13",7492
"379","ENSG00000018280.15",8676
"380","ENSG00000018408.13",8413
"381","ENSG00000018510.11",8197
"382","ENSG00000018607.6",1774
"383","ENSG00000018610.12",2580
"384","ENSG00000018625.13",6298
"385","ENSG00000018699.10",3185
"386","ENSG00000018869.15",3350
"387","ENSG00000019102.10",1432
"388","ENSG00000019144.15",21722
"389","ENSG00000019169.10",2079
"390","ENSG00000019186.8",3972
"391","ENSG00000019485.11",13954
"392","ENSG00000019505.6",5424
"393","ENSG00000019549.7",2282
"394","ENSG00000019582.13",3184
"395","ENSG00000019991.14",8897
"396","ENSG00000019995.6",5993
"397","ENSG00000020129.14",4917
"398","ENSG00000020181.16",7061
"399","ENSG00000020219.9",1674
"400","ENSG00000020256.18",6997
"401","ENSG00000020426.9",3865
"402","ENSG00000020577.12",12170
"403","ENSG00000020633.17",4523
"404","ENSG00000020922.11",7689
"405","ENSG00000021300.12",4933
"406","ENSG00000021355.11",3094
"407","ENSG00000021461.15",2637
"408","ENSG00000021488.11",2597
"409","ENSG00000021574.10",5213
"410","ENSG00000021645.16",15206
"411","ENSG00000021762.18",7466
"412","ENSG00000021776.9",13528
"413","ENSG00000021826.13",10444
"414","ENSG00000021852.11",2729
"415","ENSG00000022267.15",5997
"416","ENSG00000022277.11",4063
"417","ENSG00000022355.13",5494
"418","ENSG00000022556.14",6313
"419","ENSG00000022567.8",8608
"420","ENSG00000022840.14",5911
"421","ENSG00000022976.14",5590
"422","ENSG00000023041.10",3748
"423","ENSG00000023171.13",9770
"424","ENSG00000023191.15",7374
"425","ENSG00000023228.12",12268
"426","ENSG00000023287.11",7615
"427","ENSG00000023318.7",4854
"428","ENSG00000023330.13",2536
"429","ENSG00000023445.12",7518
"430","ENSG00000023516.8",9920
"431","ENSG00000023572.7",1299
"432","ENSG00000023608.4",2656
"433","ENSG00000023697.11",2844
"434","ENSG00000023734.9",2211
"435","ENSG00000023839.9",6232
"436","ENSG00000023892.10",2545
"437","ENSG00000023902.12",6565
"438","ENSG00000023909.8",5420
"439","ENSG00000024048.9",8840
"440","ENSG00000024422.10",3923
"441","ENSG00000024526.15",5904
"442","ENSG00000024862.15",1507
"443","ENSG00000025039.13",5072
"444","ENSG00000025156.11",2702
"445","ENSG00000025293.14",8384
"446","ENSG00000025423.10",2272
"447","ENSG00000025434.17",4533
"448","ENSG00000025708.11",3349
"449","ENSG00000025770.17",3159
"450","ENSG00000025772.7",2062
"451","ENSG00000025796.12",8587
"452","ENSG00000025800.12",7480
"453","ENSG00000026025.12",4965
"454","ENSG00000026036.19",8752
"455","ENSG00000026103.18",3688
"456","ENSG00000026297.14",7643
"457","ENSG00000026508.15",10057
"458","ENSG00000026559.12",5437
"459","ENSG00000026652.12",8769
"460","ENSG00000026751.15",4833
"461","ENSG00000026950.15",5547
"462","ENSG00000027001.8",3407
"463","ENSG00000027075.12",8809
"464","ENSG00000027644.4",5101
"465","ENSG00000027697.11",2571
"466","ENSG00000027847.12",4927
"467","ENSG00000027869.10",2512
"468","ENSG00000028116.15",3509
"469","ENSG00000028137.15",3766
"470","ENSG00000028203.16",8757
"471","ENSG00000028277.19",8903
"472","ENSG00000028310.16",9572
"473","ENSG00000028528.13",9780
"474","ENSG00000028839.8",5039
"475","ENSG00000029153.13",6983
"476","ENSG00000029363.14",9297
"477","ENSG00000029364.10",7136
"478","ENSG00000029534.18",10799
"479","ENSG00000029559.6",1546
"480","ENSG00000029639.9",2736
"481","ENSG00000029725.15",6531
"482","ENSG00000029993.13",3967
"483","ENSG00000030066.12",8576
"484","ENSG00000030110.11",2212
"485","ENSG00000030304.11",4182
"486","ENSG00000030419.15",12240
"487","ENSG00000030582.15",3520
"488","ENSG00000031003.9",6808
"489","ENSG00000031081.9",9384
"490","ENSG00000031691.6",1733
"491","ENSG00000031698.11",3836
"492","ENSG00000031823.13",7445
"493","ENSG00000032219.17",7568
"494","ENSG00000032389.11",5775
"495","ENSG00000032444.14",7055
"496","ENSG00000032742.16",6111
"497","ENSG00000033011.10",4496
"498","ENSG00000033030.12",8690
"499","ENSG00000033050.6",4448
"500","ENSG00000033100.13",4205
"501","ENSG00000033122.17",14652
"502","ENSG00000033170.15",6700
"503","ENSG00000033178.11",11432
"504","ENSG00000033327.11",6771
"505","ENSG00000033627.13",10955
"506","ENSG00000033800.12",10776
"507","ENSG00000033867.15",9616
"508","ENSG00000034053.13",6869
"509","ENSG00000034152.17",3783
"510","ENSG00000034239.9",5805
"511","ENSG00000034510.5",496
"512","ENSG00000034533.10",3427
"513","ENSG00000034677.10",6049
"514","ENSG00000034693.13",2222
"515","ENSG00000034713.6",3034
"516","ENSG00000034971.13",2095
"517","ENSG00000035115.20",11165
"518","ENSG00000035141.6",3086
"519","ENSG00000035403.15",9992
"520","ENSG00000035499.11",3806
"521","ENSG00000035664.10",13612
"522","ENSG00000035681.6",6165
"523","ENSG00000035687.9",3666
"524","ENSG00000035720.6",1655
"525","ENSG00000035862.11",5633
"526","ENSG00000035928.13",6713
"527","ENSG00000036054.11",5168
"528","ENSG00000036257.11",11505
"529","ENSG00000036448.8",7062
"530","ENSG00000036473.6",1585
"531","ENSG00000036530.7",9352
"532","ENSG00000036549.11",9008
"533","ENSG00000036565.13",3910
"534","ENSG00000036672.14",4538
"535","ENSG00000036828.12",5398
"536","ENSG00000037042.8",2772
"537","ENSG00000037241.6",1164
"538","ENSG00000037280.14",8852
"539","ENSG00000037474.13",5506
"540","ENSG00000037637.9",8984
"541","ENSG00000037749.10",4792
"542","ENSG00000037757.12",3456
"543","ENSG00000037897.15",2621
"544","ENSG00000037965.5",1889
"545","ENSG00000038002.7",2675
"546","ENSG00000038210.12",3540
"547","ENSG00000038219.11",15860
"548","ENSG00000038274.15",5153
"549","ENSG00000038295.6",7522
"550","ENSG00000038358.13",6173
"551","ENSG00000038382.16",17500
"552","ENSG00000038427.14",14831
"553","ENSG00000038532.13",12387
"554","ENSG00000038945.13",7812
"555","ENSG00000039068.17",6177
"556","ENSG00000039123.14",6578
"557","ENSG00000039139.9",16475
"558","ENSG00000039319.15",11461
"559","ENSG00000039523.16",6729
"560","ENSG00000039537.12",4739
"561","ENSG00000039560.12",7687
"562","ENSG00000039600.9",3471
"563","ENSG00000039650.8",4025
"564","ENSG00000039987.5",2646
"565","ENSG00000040199.17",12493
"566","ENSG00000040275.15",4777
"567","ENSG00000040341.16",8998
"568","ENSG00000040487.11",2686
"569","ENSG00000040531.13",3398
"570","ENSG00000040608.12",3339
"571","ENSG00000040633.11",2783
"572","ENSG00000040731.9",3660
"573","ENSG00000040933.14",13187
"574","ENSG00000041353.8",7432
"575","ENSG00000041357.14",6996
"576","ENSG00000041515.14",9209
"577","ENSG00000041802.9",4818
"578","ENSG00000041880.13",2928
"579","ENSG00000041982.13",9636
"580","ENSG00000041988.14",4072
"581","ENSG00000042062.10",6009
"582","ENSG00000042088.12",6227
"583","ENSG00000042286.13",5135
"584","ENSG00000042304.9",2087
"585","ENSG00000042317.15",6872
"586","ENSG00000042429.9",10773
"587","ENSG00000042445.12",4005
"588","ENSG00000042493.14",2607
"589","ENSG00000042753.10",1704
"590","ENSG00000042781.11",20506
"591","ENSG00000042813.6",2643
"592","ENSG00000042832.10",11132
"593","ENSG00000042980.11",9351
"594","ENSG00000043039.6",3660
"595","ENSG00000043093.12",8412
"596","ENSG00000043143.19",9877
"597","ENSG00000043355.9",3310
"598","ENSG00000043462.10",7244
"599","ENSG00000043514.14",2663
"600","ENSG00000043591.5",2853
"601","ENSG00000044012.3",597
"602","ENSG00000044090.7",5628
"603","ENSG00000044115.19",8830
"604","ENSG00000044446.10",9029
"605","ENSG00000044459.13",11064
"606","ENSG00000044524.9",6674
"607","ENSG00000044574.7",3908
"608","ENSG00000046604.11",6190
"609","ENSG00000046647.12",2424
"610","ENSG00000046651.13",5172
"611","ENSG00000046653.13",5675
"612","ENSG00000046774.9",1991
"613","ENSG00000046889.17",12058
"614","ENSG00000047056.13",5656
"615","ENSG00000047188.14",10816
"616","ENSG00000047230.13",5510
"617","ENSG00000047249.15",5090
"618","ENSG00000047315.13",5901
"619","ENSG00000047346.11",9832
"620","ENSG00000047365.10",12428
"621","ENSG00000047410.12",12350
"622","ENSG00000047457.12",7296
"623","ENSG00000047578.11",9784
"624","ENSG00000047579.18",3052
"625","ENSG00000047597.5",5206
"626","ENSG00000047617.13",6255
"627","ENSG00000047621.10",4939
"628","ENSG00000047634.13",5497
"629","ENSG00000047644.16",7114
"630","ENSG00000047648.20",7885
"631","ENSG00000047662.4",6622
"632","ENSG00000047849.20",14896
"633","ENSG00000047932.12",5011
"634","ENSG00000047936.9",7856
"635","ENSG00000048028.10",5719
"636","ENSG00000048052.20",16827
"637","ENSG00000048140.16",5215
"638","ENSG00000048162.18",2862
"639","ENSG00000048342.14",7564
"640","ENSG00000048392.10",5548
"641","ENSG00000048405.8",5793
"642","ENSG00000048462.9",1118
"643","ENSG00000048471.12",11298
"644","ENSG00000048540.13",10268
"645","ENSG00000048544.5",2110
"646","ENSG00000048545.12",2341
"647","ENSG00000048649.12",15740
"648","ENSG00000048707.12",20023
"649","ENSG00000048740.16",9837
"650","ENSG00000048828.15",7204
"651","ENSG00000048991.15",7898
"652","ENSG00000049089.12",4151
"653","ENSG00000049130.12",6040
"654","ENSG00000049167.12",4847
"655","ENSG00000049192.13",8567
"656","ENSG00000049239.11",9321
"657","ENSG00000049245.11",2760
"658","ENSG00000049246.13",8099
"659","ENSG00000049247.12",1791
"660","ENSG00000049249.7",6331
"661","ENSG00000049283.16",4642
"662","ENSG00000049323.14",7329
"663","ENSG00000049449.7",7225
"664","ENSG00000049540.15",6542
"665","ENSG00000049541.9",2211
"666","ENSG00000049618.20",16334
"667","ENSG00000049656.12",6557
"668","ENSG00000049759.15",16120
"669","ENSG00000049768.13",2647
"670","ENSG00000049769.11",4173
"671","ENSG00000049860.12",5067
"672","ENSG00000049883.13",12115
"673","ENSG00000050030.12",11757
"674","ENSG00000050130.16",4350
"675","ENSG00000050165.16",5059
"676","ENSG00000050327.13",5818
"677","ENSG00000050344.8",4249
"678","ENSG00000050393.10",6057
"679","ENSG00000050405.12",6317
"680","ENSG00000050426.14",6032
"681","ENSG00000050438.15",17980
"682","ENSG00000050555.16",7594
"683","ENSG00000050628.19",9653
"684","ENSG00000050730.14",3768
"685","ENSG00000050748.16",8955
"686","ENSG00000050767.14",3586
"687","ENSG00000050820.15",9178
"688","ENSG00000051009.9",4736
"689","ENSG00000051108.13",5155
"690","ENSG00000051128.17",3422
"691","ENSG00000051180.15",3046
"692","ENSG00000051341.12",9400
"693","ENSG00000051382.7",7850
"694","ENSG00000051523.9",3357
"695","ENSG00000051596.8",3453
"696","ENSG00000051620.9",10356
"697","ENSG00000051825.13",10304
"698","ENSG00000052126.13",12558
"699","ENSG00000052344.14",3010
"700","ENSG00000052723.10",5894
"701","ENSG00000052749.12",8529
"702","ENSG00000052795.11",10868
"703","ENSG00000052802.11",2892
"704","ENSG00000052841.13",11284
"705","ENSG00000052850.5",5750
"706","ENSG00000053108.15",6734
"707","ENSG00000053254.14",11033
"708","ENSG00000053328.8",1774
"709","ENSG00000053371.11",1781
"710","ENSG00000053372.4",2822
"711","ENSG00000053438.8",1297
"712","ENSG00000053501.11",2431
"713","ENSG00000053524.10",20568
"714","ENSG00000053702.13",2803
"715","ENSG00000053747.14",13522
"716","ENSG00000053770.10",13034
"717","ENSG00000053900.9",7494
"718","ENSG00000053918.14",3971
"719","ENSG00000054116.10",3527
"720","ENSG00000054118.12",4736
"721","ENSG00000054148.16",1612
"722","ENSG00000054179.10",2633
"723","ENSG00000054219.10",8798
"724","ENSG00000054267.19",11073
"725","ENSG00000054277.11",3442
"726","ENSG00000054282.14",5322
"727","ENSG00000054356.12",8261
"728","ENSG00000054392.11",6641
"729","ENSG00000054523.15",17693
"730","ENSG00000054598.6",3926
"731","ENSG00000054611.12",5315
"732","ENSG00000054654.14",31374
"733","ENSG00000054690.12",10817
"734","ENSG00000054793.12",8317
"735","ENSG00000054796.11",1867
"736","ENSG00000054803.3",3024
"737","ENSG00000054938.14",3135
"738","ENSG00000054965.9",7823
"739","ENSG00000054967.11",6322
"740","ENSG00000054983.15",6825
"741","ENSG00000055044.9",3299
"742","ENSG00000055070.15",4747
"743","ENSG00000055118.13",5877
"744","ENSG00000055130.14",3548
"745","ENSG00000055147.16",6543
"746","ENSG00000055163.17",10582
"747","ENSG00000055208.16",5528
"748","ENSG00000055211.11",2248
"749","ENSG00000055332.15",10753
"750","ENSG00000055483.18",9235
"751","ENSG00000055609.16",20114
"752","ENSG00000055732.11",6623
"753","ENSG00000055813.5",3982
"754","ENSG00000055917.14",6978
"755","ENSG00000055950.15",3573
"756","ENSG00000055955.14",5462
"757","ENSG00000055957.9",4544
"758","ENSG00000056050.6",1436
"759","ENSG00000056097.14",6792
"760","ENSG00000056277.14",4634
"761","ENSG00000056291.16",2359
"762","ENSG00000056487.14",5753
"763","ENSG00000056558.9",6449
"764","ENSG00000056586.14",11545
"765","ENSG00000056736.8",3038
"766","ENSG00000056972.17",6553
"767","ENSG00000056998.17",3646
"768","ENSG00000057019.14",11274
"769","ENSG00000057149.13",2182
"770","ENSG00000057252.11",7005
"771","ENSG00000057294.12",7043
"772","ENSG00000057468.6",3266
"773","ENSG00000057593.12",3795
"774","ENSG00000057608.15",4033
"775","ENSG00000057657.13",6369
"776","ENSG00000057663.11",3953
"777","ENSG00000057704.9",6515
"778","ENSG00000057757.8",2186
"779","ENSG00000057935.12",10580
"780","ENSG00000058056.7",8440
"781","ENSG00000058063.14",9196
"782","ENSG00000058085.13",6543
"783","ENSG00000058091.15",6841
"784","ENSG00000058262.8",4697
"785","ENSG00000058272.14",12490
"786","ENSG00000058335.14",9929
"787","ENSG00000058404.18",8159
"788","ENSG00000058453.15",8871
"789","ENSG00000058600.14",9488
"790","ENSG00000058668.13",9721
"791","ENSG00000058673.14",9700
"792","ENSG00000058729.9",5502
"793","ENSG00000058799.12",2075
"794","ENSG00000058804.11",5135
"795","ENSG00000058866.13",10978
"796","ENSG00000059122.15",8419
"797","ENSG00000059145.17",7494
"798","ENSG00000059377.14",6271
"799","ENSG00000059378.11",6285
"800","ENSG00000059573.7",3766
"801","ENSG00000059588.8",7743
"802","ENSG00000059691.10",11757
"803","ENSG00000059728.9",6351
"804","ENSG00000059758.6",6547
"805","ENSG00000059769.18",2586
"806","ENSG00000059804.14",6159
"807","ENSG00000059915.15",6338
"808","ENSG00000060069.15",7415
"809","ENSG00000060138.11",8610
"810","ENSG00000060140.7",3424
"811","ENSG00000060237.15",14370
"812","ENSG00000060303.5",408
"813","ENSG00000060339.12",6059
"814","ENSG00000060491.15",4702
"815","ENSG00000060558.3",2613
"816","ENSG00000060566.12",2678
"817","ENSG00000060642.9",3382
"818","ENSG00000060656.18",6682
"819","ENSG00000060688.11",3881
"820","ENSG00000060709.12",8731
"821","ENSG00000060718.17",8265
"822","ENSG00000060749.13",10537
