	TCGA-OL-A5RW-01	TCGA-A8-A07R-01	TCGA-C8-A134-01	TCGA-B6-A1KF-01	TCGA-BH-A18T-01	TCGA-D8-A142-01	TCGA-AR-A1AQ-01	TCGA-AR-A1AI-01	TCGA-AR-A251-01	TCGA-E2-A14Y-01	TCGA-AC-A8OQ-01	TCGA-B6-A0I6-01	TCGA-B6-A0RT-01	TCGA-B6-A0RU-01	TCGA-B6-A0IQ-01	TCGA-B6-A0IJ-01	TCGA-B6-A0RE-01	TCGA-PL-A8LV-01	TCGA-C8-A12K-01	TCGA-E9-A244-01	TCGA-PL-A8LZ-01	TCGA-AC-A62X-01	TCGA-E9-A243-01	TCGA-B6-A0WX-01	TCGA-E9-A3QA-01	TCGA-B6-A0I1-01	TCGA-B6-A0I2-01	TCGA-E2-A1AZ-01	TCGA-GM-A3XL-01	TCGA-AO-A129-01	TCGA-AO-A128-01	TCGA-E2-A574-01	TCGA-E2-A1B6-01	TCGA-OL-A66I-01	TCGA-A2-A0D2-01	TCGA-A2-A0YM-01	TCGA-A2-A3XU-01	TCGA-A7-A26F-01	TCGA-A7-A13D-01	TCGA-A7-A26I-01	TCGA-A7-A13E-01	TCGA-A7-A0CE-01	TCGA-AQ-A54N-01	TCGA-E2-A1LG-01	TCGA-A2-A04T-01	TCGA-GM-A2DF-01	TCGA-A2-A3XY-01	TCGA-A2-A3XT-01	TCGA-A2-A0D0-01	TCGA-BH-A0E6-01	TCGA-E2-A1LI-01	TCGA-OL-A6VO-01	TCGA-A2-A3XX-01	TCGA-A2-A04P-01	TCGA-A2-A3XS-01	TCGA-A2-A0ST-01	TCGA-S3-AA0Z-01	TCGA-E2-A573-01	TCGA-A7-A4SD-01	TCGA-OL-A5D7-01	TCGA-A2-A04Q-01	TCGA-E2-A1LK-01	TCGA-A7-A5ZV-01	TCGA-A1-A0SO-01	TCGA-AN-A0AR-01	TCGA-AN-A04D-01	TCGA-AN-A0AL-01	TCGA-A2-A0T2-01	TCGA-A2-A0T0-01	TCGA-A1-A0SP-01	TCGA-A2-A0CM-01	TCGA-AQ-A04J-01	TCGA-A1-A0SK-01	TCGA-AO-A0J6-01	TCGA-BH-A0B9-01	TCGA-AO-A124-01	TCGA-AO-A1KR-01	TCGA-AN-A0FX-01	TCGA-AN-A0G0-01	TCGA-A8-A08R-01	TCGA-C8-A131-01	TCGA-BH-A0E0-01	TCGA-BH-A0RX-01	TCGA-AN-A0FL-01	TCGA-AN-A0FJ-01	TCGA-A8-A07O-01	TCGA-AR-A5QQ-01	TCGA-D8-A143-01	TCGA-LL-A8F5-01	TCGA-E2-A158-01	TCGA-S3-AA10-01	TCGA-E2-A1LS-01	TCGA-D8-A27F-01	TCGA-D8-A1XQ-01	TCGA-D8-A1JL-01	TCGA-D8-A1JK-01	TCGA-A7-A4SE-01	TCGA-EW-A1OW-01	TCGA-A2-A4RX-01	TCGA-E2-A14X-01	TCGA-E2-A1II-01	TCGA-A8-A07C-01	TCGA-A7-A0DA-01	TCGA-A2-A3Y0-01	TCGA-E2-A14R-01	TCGA-BH-A0B3-01	TCGA-E2-A1LL-01	TCGA-AO-A12F-01	TCGA-A2-A0SX-01	TCGA-B6-A402-01	TCGA-AR-A0TS-01	TCGA-AR-A256-01	TCGA-BH-A18G-01	TCGA-BH-A0BG-01	TCGA-BH-A0BL-01	TCGA-BH-A0DL-01	TCGA-BH-A18V-01	TCGA-BH-A1FC-01	TCGA-C8-A1HJ-01	TCGA-AN-A0AT-01	TCGA-AN-A0XU-01	TCGA-E9-A5FL-01	TCGA-C8-A27B-01	TCGA-AC-A2QJ-01	TCGA-HN-A2NL-01	TCGA-EW-A1P8-01	TCGA-A7-A6VY-01	TCGA-A7-A6VW-01	TCGA-A7-A6VV-01	TCGA-A2-A25F-01	TCGA-E9-A1N8-01	TCGA-C8-A12V-01	TCGA-D8-A27H-01	TCGA-D8-A27M-01	TCGA-AC-A6IW-01	TCGA-S3-AA15-01	TCGA-D8-A1XK-01	TCGA-AR-A1AR-01	TCGA-EW-A3U0-01	TCGA-D8-A147-01	TCGA-EW-A1PH-01	TCGA-EW-A1PB-01	TCGA-AR-A2LR-01	TCGA-BH-A0WA-01	TCGA-A7-A26G-01	TCGA-E2-A150-01	TCGA-BH-A1F0-01	TCGA-A2-A4S1-01	TCGA-EW-A1P4-01	TCGA-AC-A2QH-01	TCGA-AR-A1AY-01	TCGA-AC-A2BK-01	TCGA-E2-A14N-01	TCGA-AO-A0J4-01	TCGA-AR-A1AJ-01	TCGA-AR-A1AH-01	TCGA-AR-A0U4-01	TCGA-BH-A1F6-01	TCGA-AR-A24Q-01	TCGA-E2-A1LH-01	TCGA-GI-A2C9-01	TCGA-AR-A0TP-01	TCGA-BH-A0BW-01	TCGA-BH-A0AV-01	TCGA-E2-A159-01	TCGA-BH-A5IZ-01	TCGA-A8-A07U-01	TCGA-A2-A04U-01	TCGA-AO-A0JL-01	TCGA-LL-A6FR-01	TCGA-LL-A5YP-01	TCGA-OL-A5S0-01	TCGA-A2-A1G1-01	TCGA-LL-A73Y-01	TCGA-E9-A1ND-01	TCGA-E9-A1N9-01	TCGA-E9-A22G-01	TCGA-BH-A18Q-01	TCGA-A7-A13E-11	TCGA-A7-A0CE-11	TCGA-E2-A158-11	TCGA-E2-A1LS-11	TCGA-BH-A0B3-11	TCGA-BH-A0DL-11	TCGA-BH-A1FC-11	TCGA-BH-A1F0-11	TCGA-BH-A1F6-11	TCGA-E2-A1LH-11	TCGA-GI-A2C9-11	TCGA-BH-A0BW-11	TCGA-E9-A1ND-11	TCGA-E9-A1N9-11	TCGA-BH-A18Q-11
hsa-miR-135b-5p	151.29863	423.21027	40.651604	363.484	42.76859	40.049774	117.50927	7.043581	9.902155	283.1205	33.31892	57.472565	137.92682	43.109554	32.303947	217.91328	137.32184	147.12231	336.8978	154.79045	39.849422	21.795319	40.57547	147.43456	128.29593	21.243082	265.21704	20.213467	21.646143	60.156025	2.944629	205.17934	49.603863	43.688087	162.88443	112.810555	20.346212	56.71811	164.57138	5.556203	238.18365	279.9242	84.29242	76.04354	306.4956	47.964687	24.256868	84.53698	445.82184	193.16747	106.64522	67.68481	59.229507	118.89919	99.30459	95.70532	103.92895	77.449425	23.428326	63.16521	249.19244	197.08475	156.27502	27.184624	255.88892	18.64352	688.45483	10.180053	75.62288	162.48285	165.61111	144.07448	261.51398	109.782295	58.152958	88.46035	10.842989	218.03905	169.23398	561.61743	7.6835246	28.559254	98.46174	345.69077	40.593567	163.01602	46.958294	16.874022	8.018126	13.037422	35.14859	12.77557	127.496925	54.252018	166.95807	5.003346	36.59882	75.48341	68.730804	134.49771	71.23281	14.315147	355.89676	19.422436	67.11043	57.26317	172.24574	116.15881	300.24814	626.5096	92.83782	2.565059	26.158472	105.32859	11.444373	73.18947	69.86908	76.67564	1926.7877	23.339117	73.350914	13.363459	396.3338	6.8320627	9.289394	35.766872	21.666477	126.814896	20.258844	2.103652	106.21546	13.080941	303.60205	114.7473	5.2560253	10.815266	28.142105	2.543307	127.822815	85.95532	76.149666	3.909475	103.289764	275.55237	59.722885	216.65271	100.73172	4.252209	242.75084	50.611816	104.67741	40.070316	50.620827	364.7253	52.017292	23.3612	252.0537	126.408936	44.91765	246.10188	170.30922	404.24603	575.066	77.69764	76.12628	72.78544	130.72267	82.76166	146.72063	278.9136	28.410345	41.69696	312.35788	105.82759	15.250599	15.373674	148.23227	24.704233	2.187496	4.099344	0	0	9.954663	5.188127	1.396932	5.9294558	0	3.861067	4.396872	14.211226	2.7644358	3.7225661	3.624604
hsa-miR-136-3p	7.344596	2.039568	3.957236	1.735008	3.801652	5.006224	5.732159	3.521791	9.1404505	5.744474	9.961327	8.707964	4.985306	29.67281	9.789073	6.148025	2.802486	6.201877	5.547718	6.859253	7.1159687	0.814778	3.688679	14.061675	21.454893	13.338682	2.517883	9.8571825	21.646143	3.759752	15.827383	8.920842	16.415667	8.774174	20.81301	4.820964	7.847824	11.482808	3.428571	11.906152	8.598689	6.7181797	0	2.3184	3.807399	6.540639	10.873769	20.331676	2.268814	6.456852	4.9360757	6.517797	9.185324	1.651378	29.746979	8.916646	5.8669558	4.7594624	7.028497	2.4933631	8.151156	4.005789	2.5341902	4.797287	0.87037	3.290033	3.623447	2.545013	7.282202	4.289976	3.8514209	6.5760136	0	3.4668093	5.1311455	1.19541	6.5057936	7.843131	8.27775	2.899917	6.545225	2.28474	6.441422	0.712764	3.221712	11.199574	7.780074	5.599106	8.5192585	0.724301	2.929049	4.897303	2.447586	1.3709899	5.952664	2.2742481	10.108244	5.342609	5.603055	2.5794082	0.41175	8.180085	16.687157	4.600051	3.569704	1.568854	6.624835	2.5362182	12.243127	8.613373	11.291087	4.104095	1.743898	2.181361	11.107773	1.7565479	9.6371155	0	11.395491	7.6708994	3.964915	33.854095	0.405664	23.271713	2.858274	4.967621	12.511628	14.447265	11.064446	6.310954	2.401857	7.848564	3.13753	2.53119	6.7577457	16.369047	0.792735	8.138581	26.346457	2.113656	1.692215	3.0407028	10.410307	4.6546	7.64453	4.595663	14.493774	0	6.224381	191.96907	4.687048	1.102853	17.696709	4.2657943	22.055332	1.5574139	6.439328	7.1216316	4.178386	5.518413	13.160258	2.830855	3.010817	7.0634236	3.8708282	7.465172	1.233233	7.48796	0.97166	15.0563965	11.161206	14.081265	4.8116755	12.173632	2.033412	3.4714751	2.641763	5.293764	9.062482	14.347702	2.2874632	7.92695	12.166809	12.84679	11.524685	7.16476	6.645206	15.873276	48.20856	13.323027	12.834882	11.699494	10.87381
hsa-miR-136-5p	31.89652	38.751785	23.743416	35.567646	14.256197	50.777393	37.259037	25.532978	49.89163	13.130226	37.09735	36.57345	55.66925	120.37082	18.59924	17.077845	29.893188	25.841154	23.19955	37.03996	30.740988	8.351479	58.0967	83.94395	44.4268	21.243084	16.785889	33.68911	40.973057	26.31826	39.384407	17.84168	53.52935	17.18276	77.82256	19.283857	18.602247	22.791634	29.142849	24.606047	43.853313	24.633327	0	13.910401	18.085146	8.175798	23.838644	54.217804	21.55373	37.126896	37.54016	23.062973	33.257206	9.908267	56.53406	44.58323	17.04211	15.360082	28.44868	19.115788	23.289015	22.432411	2.252614	12.792767	20.01852	8.773422	26.571943	26.086388	33.61017	21.449884	41.59535	18.532402	3.528675	18.489649	31.642054	14.344921	89.996796	29.8039	23.913502	23.199345	31.018675	25.132145	38.18843	2.138293	25.773695	11.1995735	24.729517	16.183722	15.033984	7.9673133	17.84057	22.144325	12.01542	21.54412	37.416748	25.016727	45.661385	24.499674	26.521128	33.90079	16.058262	18.405191	112.20674	13.289038	31.056421	37.652496	52.998684	21.811478	48.389507	22.66677	64.6101	24.111555	40.109657	29.292568	56.54867	15.223409	29.714436	12.0094385	46.53159	20.23812	26.76317	111.807594	6.490624	21.136694	3.21556	28.812199	15.868405	24.399826	16.518751	11.570082	22.684206	28.778069	5.536816	15.187142	10.136619	62.260853	12.683765	42.218903	55.582523	37.341248	10.999397	26.497557	10.5729685	29.789444	48.733875	39.39141	52.177578	1.962558	55.327827	154.80101	22.91446	2.205706	89.71822	27.016693	147.31297	15.574133	26.677216	55.7861	29.770998	28.947468	20.64354	7.3602233	59.011997	34.532284	32.2569	19.596077	38.230217	37.833904	8.744936	28.631836	32.97629	32.537296	30.072971	20.473831	25.417665	46.61695	12.328225	24.704233	23.124954	12.298032	8.006117	3.170779	19.356287	22.975988	18.858576	23.470766	9.967809	15.015257	23.868734	45.742382	34.55545	15.953859	20.19422
hsa-miR-137	0.839384	0	0	0	0	0	0	0	0	0	1.030482	0.870796	0	0	0	5.464911	0	0	0.504338	0	0.284639	0	0	0.426111	1.9504452	0.494025	0	0	0	2.819814	0	45.16176	0	3.290316	0.904913	0	2.325281	44.191418	6.857142	1.190615	0	0	2.634138	0	0.95185	0	0	0.356696	13.612882	0	1.298968	0	0.316735	0	0.147995	0	0.419068	1.730713	16.065138	0.831121	1.164451	0	0.281577	0	0	1.096678	0	0	0	1.072494	0.770284	0	1.5683	0	0	0	0	12.54901	0	0	5.6915	0	0.460102	0.712764	21.263296	0	6.390774	0.1534	1.002266	0	0.266277	0	0.667523	0	0	3.638797	0.34856	0.305292	0.373537	0	0	0	1.72626	0	0	0	19.874508	0	0.583006	0	0	0	0	0	0.336599	2.9275799	0.803093	0	0.949624	0.163211	0.991229	7.1271777	4.462304	7.686071	6.4311185	0	0	8.347307	1.402536	0	3.469349	0	2.583848	12.234086	25.904692	2.046131	0.792735	0	0.849885	1.409104	0	0.434386	0.162661	0	0.477783	0.656523	0.724689	0.327093	0.691598	33.214005	0	0.367618	0.823103	1.421932	0	0	0.919904	1.186938	0	0.387257	4.128708	0	6.623796	0	0.860184	0.933147	0	0	0	0	0.845546	0.273422	0.400973	2.213387	18.809069	0	0	0	0	0	0	0	0	0.247054	0	0	0.553767	0	0	0	0.19746	0	0
hsa-miR-138-1-3p	0.209846	0	0.719497	23.422598	0	0	0	2.641343	0	0.41032	0	0	0	0	5.873444	6.831139	2.802486	0.344549	1.008676	0	0.284639	0	0	0.426111	0.216716	0	0	0	0	0	0	1.115105	0	1.279568	0	0.964193	11.917065	0.173982	0	0	0	2.239394	1.5804839	0	0	0.545053	0.209111	0	4.537627	0	1.0391741	0	0	0	0.147995	1.188886	0	1.081696	2.008142	0	0	0	0	0	0.87037	0	1.207816	0	0	0.536247	1.540569	0.597819	0.78415	0	11.972669	0	0	0	0	0.966639	0	0	0	0	23.196323	14.932766	1.11144	0	0	0	0.798831	0	0.89003104	0.587567	1.4173009	0	0	0.68690705	0	0	0.41175	0	0	0	0	0	0	0	1.166012	0	0	3.0780709	0	0	0	0	3.212372	5.542818	4.748121	3.7538462	0.991229	0.445449	0	0	0.357284	2.980573	0.305162	0	0.155837	1.051826	0	2.616188	0.369121	0	3.003442	0.292304	0	0	0	0	0	0	0.325322	0	0.477783	0	0	0.327093	0	0	1.041566	0	2.88086	0.710966	0	0	1.839808	0	0	0.193629	1.290221	0.566171	0	0	0	0	0	0	0	0	0.169109	0	0.400973	0.138337	0	0.495925	0.293529	0	0	0	0	0	0	0	0	0	0.553767	1.287022	0.157031	0	0	0	0.2589
hsa-miR-138-2-3p	0	0	0	0	0	0	0	0.880448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316735	0	0	0	0	0	0	0	0	0.801158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.026024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.656523	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-5p	5.8756766	3.059352	2.158492	51.182716	0	1.43035	2.86608	8.804479	0.761704	0.82064	0.686988	0.870796	3.3235369	1.119728	30.346127	40.986824	5.6049724	4.8236823	11.095437	0.914568	0.569278	0	0	1.704445	5.2011843	0.494025	1.678588	0.62387097	2.31923	0.939938	0.368079	18.399233	2.1411731	8.22579	0.904913	9.64193	74.69966	0	0.857143	0	0	14.556058	33.716972	1.85472	4.759249	2.180213	2.09111	0.713392	9.075256	2.6903548	12.989674	1.002738	1.26694	0	0.88797	5.94443	0.838136	0.865356	18.74266	12.466817	2.328902	3.204632	1.689461	0	1.74074	0	1.207816	0	0.560169	5.898717	0	2.9890957	8.6256485	0	43.614716	0	4.337195	0	0.91975	1.933278	1.4228749	1.14237	1.840408	0	82.475815	62.21985	13.615127	0.69030005	1.002266	0	6.124374	0	4.450155	2.546124	2.26768	0.9097	1.04568	3.7398274	0.373537	0.368487	1.23525	0	0.57542	1.022234	0.35697	0	1.89281	0	14.57515	0	3.136415	12.312284	0	0.623246	2.692792	5.855158	29.714436	22.17127	42.733086	26.440117	0	18.263391	0.405664	0.213502	0	7.948193	1.2206471	2.5684009	0.623349	1.051826	0	11.118799	0.184561	1.265595	14.641784	7.015305	0.396368	0.508661	1.0198619	1.409104	3.384429	0	3.578542	0.93092	0.477783	0	1.449378	9.485697	0	5.1402626	2.083132	0	11.523436	4.9767613	2.0806909	0	17.478178	1.780408	0	1.258584	13.676348	2.830855	1.204326	0	1.290276	1.39972	2.466466	0.788206	0	0	3.2130742	0.546844	3.608757	0.138337	0	0.495925	4.402938	2.646882	0.312499	0.7686269	0.381244	0.198174	0	0.741162	0.698466	0.247061	0	1.2870209	0.471093	1.776404	0	0	1.553402
hsa-miR-139-3p	0.629537	2.039568	6.8352256	1.735007	2.851239	3.575873	0.95536	2.641343	4.189373	2.872237	20.266146	0.870796	7.4779587	12.876879	2.9367208	0.683114	2.802486	5.16823	1.5130141	6.630609	23.05574	3.4628081	6.455189	0.426111	5.4179025	7.904405	2.517883	10.106732	10.436533	3.759752	4.785022	2.787763	16.772528	4.569883	2.71474	0.964193	2.615941	7.4812245	5.142856	3.968718	1.719738	2.239394	0	5.564161	0.95185	18.53181	26.138865	11.414274	3.4032211	0.538071	5.19587	8.021904	8.551855	2.477067	7.843732	16.049961	7.8226075	3.4614263	0.33469	1.662242	2.328901	3.2046309	6.476264	1.599096	1.74074	1.096678	4.831263	1.908759	0	4.8262243	1.540568	1.793458	8.625648	2.311206	5.986335	3.58623	4.337195	3.1372519	0	0	4.268625	2.28474	5.9813213	0.712764	2.577369	0	2.500737	5.2923074	4.009062	0.724301	6.124375	5.323155	8.455294	1.762701	5.102283	0.45485	4.531282	5.1899633	3.361833	7.3697376	2.058751	2.045022	1.726258	3.066702	3.212732	3.137708	6.624835	5.5796814	7.579079	4.98669	11.91837	5.130118	0.871949	1.558115	8.414981	0	5.6216497	2.771409	4.7481217	5.38595	3.964915	6.236281	1.622656	17.507162	5.0019813	3.974097	0.915485	4.8157554	2.6492343	131.4782	5.070587	11.772847	8.674347	14.3434105	8.634898	16.953657	1.585471	9.155906	9.688697	2.818207	1.692214	1.737545	13.338206	1.86184	4.777831	3.282617	23.914722	6.214767	0.691598	3.5586429	4.687048	1.8380879	29.631704	1.421932	14.148704	2.5956888	3.679616	2.373877	3.133789	9.197357	2.3223991	3.9631968	3.61298	3.1392992	0.860184	1.866293	9.865862	3.546927	1.943319	1.480957	8.793677	8.339392	3.207783	5.810143	0	4.95925	0.880587	3.529176	115.93729	35.35684	49.561665	161.7098	73.5539	49.163677	115.24685	69.42404	51.500347	23.166399	178.70146	36.860363	210.29459	68.601585	32.103634
hsa-miR-139-5p	7.97413	7.138487	33.09688	19.952583	31.363632	22.885586	22.928637	22.891636	50.65333	20.51598	125.03181	13.932742	52.34571	77.82114	9.789074	10.929821	10.275784	27.563898	19.164848	26.979723	61.48197	16.295568	27.665094	7.243893	42.04292	54.342777	12.5894165	43.29675	32.082676	11.279256	36.80786	24.53231	37.470543	18.827917	48.86533	12.534508	26.159414	25.401363	30.857136	17.462355	24.9362	52.625748	4.214621	33.84865	19.036995	26.162558	71.30682	49.58076	24.95695	43.045673	27.148417	20.55613	32.307003	43.761505	41.734566	83.22202	41.348076	32.883556	9.03664	29.089241	45.413578	26.438198	58.567944	21.587791	23.500002	55.930557	25.364126	26.086388	10.08305	22.522377	22.338245	55.597202	58.027084	18.489649	9.407097	10.758691	33.613262	46.274475	18.395	22.232706	20.773977	14.850813	43.709652	9.265937	58.635155	23.643543	33.065308	24.08383	22.550976	13.037422	18.639404	60.258118	15.353034	11.947196	25.227959	15.464889	36.59882	25.949812	47.06566	62.27428	9.058508	30.675318	10.645255	25.044724	8.567287	29.023798	65.301956	29.927376	36.729385	19.493423	104.75618	10.260236	10.463388	16.827646	51.499683	17.565472	32.926807	15.704649	37.035347	14.688953	16.850885	90.42606	7.707617	22.417706	8.217543	30.79925	3.356779	15.731467	12.934496	516.44635	14.144267	34.66449	13.4729185	19.405792	33.413303	88.860565	13.476502	61.54804	38.754787	13.386486	9.307182	14.334743	20.332632	22.342083	19.589108	51.865345	171.75119	63.12894	18.673143	7.3149886	29.68464	10.660912	93.42218	17.77414	144.4	18.688961	38.635967	23.738766	20.369633	49.181644	11.095903	11.323419	18.667063	25.114388	21.074509	29.860691	124.55649	10.246681	17.489876	6.6643066	57.835342	59.606144	20.449617	24.485598	15.250598	52.07213	4.696467	49.408463	459.0616	107.60777	407.93066	294.08987	231.72243	252.24178	343.6451	228.5311	290.174	148.00757	628.59576	225.60321	791.0235	253.13454	240.00056
hsa-miR-140-3p	342.8876	248.82726	741.0822	326.1813	296.52884	585.72784	521.62646	530.0295	329.43716	266.7076	2132.7546	1742.464	1116.7087	2140.921	410.1623	380.49445	170.95166	625.70056	651.1003	1669.7701	1638.3807	212.65712	662.118	510.90762	1534.5665	640.2566	346.6286	1033.2573	1107.0458	491.5876	538.499	1676.56	1990.5778	2147.1143	1002.6441	580.4439	381.3461	629.11884	347.14282	471.48358	521.08044	548.65125	200.72131	535.0871	1628.6151	1302.6771	1680.8333	1373.9932	426.53693	712.40607	826.9225	700.91376	1218.7979	477.2481	765.87354	1075.942	1085.9456	968.9832	531.1536	590.09595	896.6271	400.57874	14712.097	2612.9224	254.14821	552.7255	1914.3875	241.77618	545.045	774.87714	759.50024	1159.1716	94.49004	209.16418	341.22107	358.62302	459.7427	1272.9401	1331.7983	1050.737	531.01685	324.4331	809.77875	1183.1892	1248.0908	528.8688	1112.8281	1279.2042	5125.085	851.7783	1275.734	404.55975	1977.649	333.93393	524.6847	438.92996	813.5394	1007.8447	2399.6016	732.9203	448.396	550.1108	475.29626	792.742	475.8415	354.56094	510.11234	557.968	561.435	2376.8376	2075.677	662.29816	372.32224	1608.5986	561.4477	372.9735	546.1032	412.01605	772.0448	3142.1316	1432.3251	941.2328	1427.9371	1270.7634	1019.68994	334.8177	426.31088	419.9338	768.90106	6320.419	233.78075	1099.4531	5843.7407	1395.1079	992.2623	1263.0479	292.51932	548.3372	1264.1196	1946.6769	307.98306	317.53632	7409.0483	1361.9362	794.07556	381.44012	1012.3901	15283.745	529.764	1205.1941	334.34274	5974.521	891.009	1759.6392	916.7527	293.83194	1541.7593	505.0422	3277.4207	2208.1409	2398.0056	3934.3218	1609.5828	341.39868	392.67398	627.5411	573.4531	336.95822	553.84607	1006.0635	1272.8846	1498.9032	306.7443	8093.251	345.6802	430.95874	312.60855	579.66736	1671.5593	1104.2606	3539.8472	1833.107	1346.0912	1397.8293	1898.4299	1179.7148	2016.2664	886.7585	4105.265	1477.5233	2675.9744	940.2142	1837.6744
hsa-miR-140-5p	18.8861	54.04854	58.639046	25.157604	35.165287	38.61943	58.276955	36.978798	62.8406	19.285019	109.23109	144.1168	54.007473	166.2797	31.325037	47.13485	15.880755	50.648663	56.48586	116.37864	72.29824	13.240148	65.47406	34.088905	52.228577	32.11164	44.482605	30.3202	59.913433	30.078014	32.39092	49.06462	481.40732	59.774075	161.07458	50.138027	17.14895	30.27286	32.57142	38.496555	52.452	38.069687	8.429242	84.85346	400.7287	59.410805	45.79529	57.784767	32.897797	46.2741	154.44722	18.550652	35.791092	55.32115	33.29886	80.24981	48.05317	41.320786	24.76709	16.622423	117.60953	34.449776	482.3408	259.85303	26.111115	98.70099	328.52585	26.086388	44.25339	48.262238	58.541607	115.97695	7.057349	34.668095	29.076479	14.344921	74.81662	76.86268	106.691	181.72821	49.23148	39.982952	54.291992	174.6273	135.95624	78.39701	36.12177	34.898544	190.9316	83.29465	60.977478	81.12489	67.64235	48.76806	54.70782	35.02342	25.793453	27.628918	58.27177	68.90704	55.17455	26.585274	76.24304	31.178123	50.33282	17.257393	33.124176	46.66642	43.142452	111.973854	172.5027	80.54285	47.957195	98.78451	46.11409	34.545425	44.9732	59.123383	151.93991	120.28621	97.1404	45.435757	177.68088	33.733307	27.153622	24.838104	13.427113	19.584072	22.752243	35.76207	25.619804	86.98825	282.00848	64.12349	37.543034	63.722378	29.33121	71.21261	50.653183	205.02463	9.307182	33.882122	145.90697	107.98674	75.48973	34.795742	104.35516	369.61505	74.692566	23.921991	16.144278	177.92691	153.50867	312.82483	81.14697	29.071716	118.66762	43.619984	267.41672	76.289635	105.02402	267.23267	193.89658	32.17781	64.08371	23.795238	71.52748	39.01621	36.92307	35.049316	42.10819	40.46656	71.774155	253.84787	37.109787	66.949875	41.387623	66.17205	84.99985	29.720242	70.53006	21.006416	39.26561	58.057602	58.671124	91.41244	43.19384	47.619823	59.67184	63.062313	46.995415	37.225666	48.155453
hsa-miR-141-3p	2243.879	10311.035	409.7537	673.18274	4305.3706	228.85587	2254.649	1545.1858	928.5176	1392.2139	395.36163	1833.0266	430.398	643.2841	2522.6448	1926.3807	884.6514	658.77716	1708.1934	1627.4716	454.5681	2527.442	1753.9667	539.0309	1464.7838	1468.2429	7621.633	1668.2346	2100.0625	2165.6172	322.43683	2829.0217	972.093	1066.7935	3806.0662	2982.2478	1739.6011	1170.7244	1146.8568	932.2515	3850.4927	3305.3447	3518.6821	2006.8073	17165.658	541.2379	535.533	2482.9614	2746.3992	797.4211	1359.6288	1010.7599	603.38086	3917.0679	1324.8502	914.2533	2064.7493	1786.7454	3451.3276	4100.7515	3930.0215	798.7539	2252.8948	2329.8826	8064.8545	16045.49	2553.321	1672.7098	483.4263	4750.612	2135.228	3044.6946	4114.826	3392.8506	3895.3936	2215.0947	2704.2415	1232.9402	1791.6733	4728.8003	649.68463	3813.2314	541.99963	3485.4177	1909.1863	6550.5073	559.3316	1515.057	1078.9388	3018.8875	1665.5638	3049.316	332.64902	516.4714	1519.063	635.87964	726.3994	764.83246	439.65305	795.5632	4018.2722	5523.602	815.9445	2166.6245	1160.5111	724.0259	1176.3816	3231.6492	1276.2004	1369.5265	880.7045	902.3876	2668.1643	1538.4833	826.0147	2573.3416	1262.462	3309.9856	5207.74	2241.372	3164.9927	1558.6245	1688.3738	54.229492	2591.3838	3128.6074	1074.474	2413.0146	1051.4344	28.399292	2974.032	481.37863	553.12787	420.59952	2237.9402	375.61127	1111.0187	1231.4696	432.76184	2002.3363	363.82617	1170.6704	348.09467	1742.6823	751.075	2099.5615	448.58228	6.5418596	2507.0425	3.954048	1009.7987	2186.2224	1554.0182	1410.5553	397.4121	5255.7515	4655.635	664.6856	1788.8715	889.6263	4324.305	1987.8259	1030.3015	1117.5902	1239.095	2428.047	2539.226	2278.3093	1629.4734	802.18506	1064.5422	1009.75006	3979.6558	1053.7107	2115.257	2590.7122	6332.0127	2128.0938	47.81241	218.03384	33.93068	5.548865	174.20657	127.726746	80.67279	134.89511	71.98973	259.1205	286.896	194.51617	81.94578	169.64267	164.14278
