	Group	CD86	FOS	IFI44L	MS4A4A	RPL35	UCHL3	XK	ZNF91
TRAIN22	1	0.745242276	-1.911791924	0.574455646	1.247631887	1.881351385	1.488451851	1.415642346	1.651729979
TRAIN23	1	0.37519559	0.098843852	-0.681820729	1.146109886	0.260838552	-0.488527715	3.015643693	0.357239939
TRAIN24	1	0.494615602	-0.392103094	-0.108553638	1.356760487	1.25134587	0.425961889	0.15924296	1.007668304
TRAIN25	1	-0.002746747	-0.882084918	1.305032854	-0.1300933	-0.210688826	0.28281007	1.894042752	-0.279127332
TRAIN26	1	-1.51559854	-0.406080944	-0.87652488	-0.768316895	1.569265524	-2.465657572	-3.343306715	-0.088795724
TRAIN27	1	0.30971453	0.93994842	2.301132106	0.72497518	-0.134846296	-0.414620565	-2.316196831	-0.518098419
TRAIN28	1	-1.202451334	-0.440021368	3.377889035	-0.615867268	-0.415265549	-0.542003742	2.72397924	0.067332904
TRAIN29	1	-0.690048984	-1.187614076	-0.268155131	-0.107118431	0.979296354	0.166307672	-0.875811276	0.783131472
TRAIN30	1	-0.721493896	-2.31650051	-0.198062632	-0.557813021	0.858181124	-0.190173034	-0.416989821	1.662716381
TRAIN31	1	-0.341619171	-2.46447673	-1.715585623	0.366132789	0.413972793	-0.373244815	-1.48662976	-0.125576232
TRAIN32	1	-1.080618661	-0.79403604	-2.140029469	0.439920938	1.154045488	-0.671218647	-0.327651297	0.290184675
TRAIN33	1	-0.574880952	-1.158774196	1.191199323	-0.62718985	1.127597637	-0.209084707	0.356927454	0.310836355
TRAIN34	1	-0.584407386	-2.641776984	0.494469066	-0.404083056	0.212347471	-0.105667826	0.443674306	1.160182009
TRAIN35	1	-0.24995652	-1.37007998	1.435454792	-0.677197174	0.169614601	-0.098091275	0.869532635	0.135155269
TRAIN36	1	-0.470840148	-2.530627295	1.162599322	-0.201032667	0.811538279	-0.227370145	0.660276137	1.004025064
TRAIN37	1	-0.145022084	-0.867150584	-0.332941742	-0.048184683	-0.093229538	0.014915202	-0.722681252	0.917728559
TRAIN38	1	-0.608282783	-2.177412474	-0.932539158	-0.206373795	-0.005421948	0.055617477	1.406555471	1.290022465
TRAIN39	1	-0.328706208	-0.286041376	0.44624206	-0.338088513	0.424019702	-0.085617997	0.124416446	0.15775811
TRAIN40	1	-0.545850748	-1.085117369	-1.074240187	0.005546407	0.505679106	-0.309437012	1.867760825	-0.606887608
TRAIN41	1	-0.79800829	-0.454464298	-0.172418324	0.04291827	1.203001217	0.001513578	1.543936283	0.432784951
TRAIN42	1	-0.029324182	-1.606490596	3.140232355	0.254382148	-0.465395769	0.257828676	0.715074465	0.615939694
TRAIN43	1	-0.517643144	-0.434221297	1.23127508	0.409954748	0.510725455	-0.061931468	1.006959539	1.166851156
TRAIN44	1	-0.722122976	-3.001580007	-0.14885304	-0.539230573	0.38094133	-0.423383924	-0.644172765	0.849145633
TRAIN45	1	-0.250949816	-2.22610978	-0.284438157	-0.162763637	0.029092757	-0.00170636	0.854989287	1.167896604
TRAIN46	1	0.240555059	0.062960339	1.528739084	0.557902367	-0.17205302	0.176163713	-0.496184092	-0.648025884
TRAIN47	1	-0.483335094	0.797541445	-0.086188386	-0.731113179	0.700808219	-0.000981208	-1.081424045	0.294703197
TRAIN48	1	0.062772683	-0.767030862	1.085136284	-0.050917312	1.044578003	0.241704285	-0.574995238	-0.092234246
TRAIN49	1	-0.439840079	-0.845342961	0.187080825	-0.64749448	1.107360794	0.183430351	1.323389909	0.666989625
TRAIN50	1	0.3081708	0.73686924	0.534156361	0	-0.046291967	0.336175471	-0.083324074	-0.117307495
TRAIN51	1	-0.024242405	-0.231835732	-0.178144783	-0.395219242	-0.170224179	0.148484454	0.239375544	0.214246002
TRAIN52	1	-0.512445393	0.128765284	1.144656545	0.736967111	0.006630279	-0.08334558	0.494272825	-0.170714073
TRAIN53	1	0.085442503	-0.837513721	-0.072939661	0.179373064	-0.063341564	-0.020791147	0.671540512	-0.260596483
TRAIN54	1	-1.130543504	0.8363689	0.662777027	-0.40684291	1.030808682	-0.735532629	0.631733681	1.097614672
TRAIN55	1	-2.244610661	0.318189957	1.549280716	0.514776757	-0.17205302	-2.62049491	1.902852919	0.227893633
TRAIN56	1	0.467042386	1.018531619	-1.277762243	-0.056140686	-0.086959077	-0.319190354	-0.822509678	-0.071538135
TRAIN57	1	-0.345474064	0.611645382	-0.488753743	0.010327122	0.344524851	-0.484258109	-0.629050908	-1.04916689
TRAIN58	1	-2.337289796	0.955835946	0.12191754	0.067958637	0.638556084	-2.026224482	-2.032323742	0.035393314
TRAIN59	1	0.167399613	1.00469647	1.560781977	0.673773364	0.193725503	0	0.717891384	-0.547551947
TRAIN60	1	-0.547071821	-0.607134936	0.415025738	0.07805342	0.144021837	0.165977996	1.350263986	0.38648248
TRAIN61	1	-0.720835003	-0.885676018	2.387194529	-0.32644059	1.118610882	-0.198571047	0.650497828	-0.116818237
TRAIN62	1	-0.447162937	-0.30908223	0.076126379	-0.331054252	0.855717165	0.017841831	-0.13817227	0.318670133
TRAIN63	1	0.168202748	-0.670156947	0.170578701	1.308218463	0.169614601	0.308697867	-0.360213203	-0.752296568
TRAIN64	1	0.441348041	0.087277293	-0.553810364	0.25922381	-1.025673691	0.370894455	1.349090892	-0.082046607
TRAIN65	1	0.488548933	-0.244051948	-0.462643255	1.123371094	-0.468658246	0.352541697	0.583951601	-0.34249636
TRAIN66	1	0.663869256	0.024952105	1.595052924	0.122764149	-0.983583905	0.347462103	1.764058486	-0.286626381
TRAIN67	1	0.029913219	0.965191884	0.489209012	0.703974059	-1.117735074	0.265324337	1.306829892	0.042273079
TRAIN68	1	-0.374559051	-0.566878435	1.851387041	-0.758667312	-1.667989539	-0.202578601	3.721904782	-0.362005341
TRAIN69	1	0.083848607	0.479151593	0.548952474	0.186943605	0.674675399	0.079771681	-0.479543974	0.458534666
TRAIN70	1	0.300318407	0.447819611	-0.558967026	0.312261293	-0.652377965	0.026456644	-1.65049225	-0.038708453
TRAIN71	1	0.36764732	0.254296652	0.484577617	0.475278793	-1.006513464	0.303942899	-0.19549319	-0.117307495
TRAIN72	1	0.064904513	0.118866064	1.565969573	0.421839151	0.09307778	0.02905895	0.345369983	0.398004589
TRAIN73	1	1.148685019	0.913862246	1.215101276	0.35641891	0.229415297	0.124600184	-1.967057302	-1.346747956
TRAIN74	1	-0.911277179	1.225420769	2.810085608	-0.538142537	-0.646970502	-0.627891723	-0.108632949	0.227619342
TRAIN75	1	0.399264252	-0.023248902	-0.251878129	1.23848506	-0.712495057	0.258990063	2.11420856	-0.37733085
TRAIN76	1	-1.121109108	1.453596191	-3.107193926	0.274118309	-0.780087168	-2.797449505	-2.465972712	0.093982901
TRAIN77	1	-0.406267463	0.300197867	-0.612827098	-0.350790252	0.86923471	-0.552655099	-3.099922172	0.123222061
TRAIN78	1	-0.976596536	1.227450068	-2.491921252	0.381103979	0.733269545	-2.508592458	-2.761323981	0.296129423
TRAIN79	1	-0.812276219	0.411587108	2.815316654	-0.811502396	0.93521384	-1.380600427	-3.586096902	-0.332610066
TRAIN80	1	-1.147029968	1.553534383	-0.319233552	-0.572904087	-0.60836429	-2.120128505	-4.29880732	-0.332610066
TRAIN81	1	-0.208332648	-0.315325297	-0.214410277	-0.30125909	0.526566107	0.103259045	-0.645765121	-0.037731158
TRAIN82	1	-0.316866136	-1.162306086	-0.20455737	0.208729117	0.164822703	-0.179667297	-0.976512562	0.919348612
TRAIN83	1	-0.585848217	-0.629861311	0.446956884	-0.499874582	0.746583861	-0.302577164	-1.404621516	1.171573653
TRAIN84	1	-0.937425809	-2.8967921	1.549989941	-0.343736081	0.842141797	0.302722163	-0.434672711	1.587843993
TRAIN85	1	-0.885522181	-1.212499322	-0.926473216	0.973579852	1.68017298	0.074112896	-1.035587214	0.52837776
TRAIN86	1	0.43938847	-0.409842012	-0.246494683	-0.396188306	-1.156922383	0.485712383	1.016997303	0.551310958
TRAIN87	1	0.372592256	0.049484817	0.647980758	-0.289668688	-0.101358016	0.180642582	1.37149813	-0.343435824
TRAIN88	1	0.37082335	0.183761564	1.40440339	-0.450279479	-0.69898332	-0.26540869	1.019925448	-1.145340348
TRAIN89	1	-0.127529063	-0.029180212	-0.693864471	1.102111469	-0.097221332	-0.127044615	2.525704668	-0.329941586
TRAIN90	1	0.280853089	0.327907976	0.286588064	0.684666614	0.079476189	0.211988597	-0.588096929	0.153838023
TRAIN91	1	-0.003366096	0.193657763	0.964091937	0.513768367	-0.212914823	0.045512213	1.090701328	-0.318969034
TRAIN92	1	0.909180119	-0.281108586	0.928434291	0.755500683	0.100077335	0.283473587	0.809634019	-0.587635979
TRAIN93	1	-0.823832642	-1.43219626	0.182927915	-0.61926955	-0.424856351	0.337779498	3.822642002	0.580141977
TRAIN94	0	-1.584434577	0.61766728	1.935556972	-0.895544193	-1.15136045	-1.573596154	-1.377911541	-0.733622598
TRAIN95	0	0.487089569	0.385155273	-1.030475536	0.249131933	0.202475806	0.251434332	0.282433713	-0.550896503
TRAIN96	0	0.599467949	0.615987323	-0.709638964	0.688070977	0.63428599	1.056574029	0.343719576	-0.367971075
TRAIN97	0	0.495699235	0.095883529	0.202981099	0.877490419	0.565515985	1.116848065	-2.058993273	-0.350458316
TRAIN98	0	0.433837142	0.578761883	-0.250832694	1.054224328	0.012492211	0.741078085	-1.995217885	-0.424252571
TRAIN99	0	0.100891346	0.514513139	-1.895044644	0.515505283	0.1994148	0.682140895	-1.159158298	0.072327148
TRAIN100	0	-0.267226975	0.53658417	0.869641704	-0.473742019	-1.305444051	-1.088448668	0.585853517	-0.12774728
TRAIN101	0	0.409836197	0.981004715	-0.428547599	0.594203551	0.588503754	0.774582059	-0.446625804	-0.793391031
TRAIN102	0	0.181623957	0.474147379	-0.793566132	1.276528631	0.593629824	0.737671387	1.547632587	-0.333312071
TRAIN103	0	0.601666891	0.253691461	-0.20344981	0.355618828	-0.00817753	0.774143803	-1.63042246	-0.514399417
TRAIN104	0	0.493039649	1.194503212	-0.201364345	1.175699498	0.197974187	1.108974907	-0.720746999	-0.875838326
TRAIN105	0	0.545704723	0.98701296	-0.005039752	0.867253911	0.703608059	1.346433636	-1.168648002	0.025019276
TRAIN106	0	0.500547204	0.401514451	-0.651419487	0.357778436	0.336308883	0.55751163	-2.65179435	-0.842296317
TRAIN107	0	0	1.375162156	-0.652926158	-0.661558663	-1.096785778	-0.815596053	-1.928136886	-0.743853761
TRAIN108	0	-0.97799231	0.785737348	-0.956588491	-1.129657914	-1.133248971	-1.403259078	-1.737815611	-0.461297132
TRAIN109	0	-0.55008413	0.965433916	0.832805514	-0.642811918	-1.518029607	-1.545455024	0.41573423	-0.500239481
TRAIN110	0	-0.465654497	1.211817566	1.05065383	-1.156381681	-0.872594174	-0.868747597	-1.797357878	-0.226405703
TRAIN111	0	-0.296704159	-0.006875823	1.359833266	-0.813554607	-1.164119943	-1.127462308	-1.102001355	-0.898745914
TRAIN112	0	-0.095368911	-0.206849469	-0.415107937	-0.141716129	-0.266800672	0.072667722	-1.612129142	-0.023327513
TRAIN113	0	-0.20726421	0.611365042	1.27259082	-0.85476017	-0.487628192	0.251761092	-1.537946858	-0.264933773
TRAIN114	0	-0.977420797	-1.138685451	-0.324704692	-0.015902083	-0.479768853	-0.255354403	-1.798264754	0.317360636
TRAIN115	0	-1.69763921	-0.538266526	-0.126491244	-1.090827448	-0.531324681	-0.917996784	-1.767874593	0.225747734
TRAIN116	0	-0.865631089	0.105574479	-0.203098722	-0.519277021	-0.667791591	-0.442872892	-1.337393046	0.013033622
TRAIN117	0	-0.357610648	0.138162039	-0.213974436	-0.368829608	-0.572355518	0.001249612	-1.207335206	-0.046066083
TRAIN118	0	-0.783350243	0.135626504	0.147450959	-0.67694803	-0.360732492	-0.221943158	-1.331344108	-0.299257494
TRAIN119	0	-0.594993509	0.360093919	0.76435131	0.079602744	0.079442955	-0.195744927	-1.267251984	-0.106737481
TRAIN120	0	-0.461267171	0.10825041	0.775732592	-0.599489216	-0.441299461	-0.308010287	-1.986248165	-0.640740217
TRAIN121	0	-2.268547301	0.013810444	0.886238152	-1.233003706	-0.163616628	-0.706502255	-1.983352144	-0.785688724
TRAIN122	0	-1.238475949	-0.167813275	-0.240445494	-0.912041675	-0.110583595	-0.350855634	-0.33679884	0.504454588
TRAIN123	0	0.026886232	-0.214969659	-1.471955094	-0.00302387	-0.338091552	-0.449818757	-2.481253092	-0.587184152
TRAIN124	0	-0.542903909	-0.056498144	1.503722312	-0.114147709	-0.0831658	0.167129059	-2.006133417	-0.032302056
TRAIN125	0	-0.747503253	-0.092281221	-0.266664772	-0.098579817	-0.371930459	-0.70405928	-0.925543218	-0.229365373
TRAIN126	0	0.132419644	0.021435048	-0.016905535	0.034225034	0.122444196	0.291775988	-1.37325129	0.239073598
TRAIN127	0	-0.167633085	0.680216868	-0.535382781	-0.472490768	-0.53884435	-0.167947115	-2.40694597	-0.066300599
TRAIN128	0	-0.435414415	-0.537928135	-0.815998672	-1.230277063	-0.998315746	-0.230181714	-0.947013182	-0.844063668
TRAIN129	0	-1.491162977	0.723696547	-0.13129012	-0.688147946	-0.87635202	-0.99212281	-2.278561569	-0.506579532
TRAIN130	0	-1.134106684	0.69371052	-0.399168525	-0.878562254	-0.813820961	-0.496224246	-0.672290498	-0.97281207
TRAIN131	0	-1.295284169	-0.758162059	-1.508499379	-1.161388258	-1.644393926	-1.304254005	-1.127009065	0.064154528
TRAIN132	0	-0.856415592	0.176975039	-0.551356298	-0.253392059	-0.691928828	-0.878445535	0.765328384	-0.125894501
TRAIN133	0	-0.997044974	0.559256385	-0.478467347	-0.981871081	-0.788972565	-1.306820619	-1.655082483	-0.816381292
TRAIN134	0	-0.943415058	0.431704473	-0.70627654	-0.992057256	-0.69057174	-1.097297692	-0.313765829	-0.643145982
TRAIN135	0	-0.885554883	0.366679349	2.087336478	-0.280617585	-0.893550289	-1.36883885	-2.558974155	-1.19168619
TRAIN136	0	-0.659249889	0.902710333	-0.350498652	-0.694904387	-1.170549009	-1.220638682	-1.82754995	-1.299799574
TRAIN137	0	-1.401886694	1.024451995	3.373405208	-1.036276518	-1.083319104	-1.433677596	-2.184663234	-1.877800533
TRAIN138	0	-1.691096497	0.376995483	-0.553362517	-1.084854317	-1.312225514	-1.672068034	-2.013308986	-0.755376449
TRAIN139	0	-0.544425746	0.394449033	0.407207187	-0.825441886	-1.18203812	-1.187823554	-2.937635814	-1.07245705
TRAIN140	0	-1.349831411	0.097059498	-1.724923279	-1.324691077	-1.501156689	-1.424689478	-1.128427672	-0.845558201
TRAIN141	0	-1.22470286	0.816674951	-0.708134299	-1.072219905	-0.994629493	-1.345721659	-1.634511141	-0.475123622
TRAIN142	0	-1.361672177	0.549993824	0.160425179	-1.158145701	-2.232701196	-1.612769862	1.414966574	-0.832192838
TRAIN143	0	-1.008563686	1.188949755	-0.386547401	-0.828306944	-1.046844774	-1.354124699	-0.976266395	-0.929963911
TRAIN144	0	-1.310395631	-0.355951626	1.591688	-1.126979246	-0.769396607	-1.383063964	-1.292469132	-0.633702963
TRAIN145	0	-0.465588502	-0.7061206	-0.486978731	0.196717016	0.256398185	-0.030694523	2.391120512	0.121450138
TRAIN146	0	-0.392825409	-0.691915366	-0.519162499	-0.271605588	-0.137562285	-0.414103631	3.074452411	0.671036611
TRAIN147	0	-1.395090562	0.276996061	1.453067285	-0.182813161	-0.420123794	-1.070326716	-1.328226269	-0.583317841
