lncRNA.A	partner	cv
AP000253.1	LINC01267	0.455511983566142
AP000253.1	TMEM254-AS1	0.492874886375307
AP001063.1	PAN3-AS1	0.684625536163653
AP001063.1	FENDRR	0.805718094893041
AP001063.1	PCAT19	0.979771113594899
AQP4-AS1	EPB41L4A-AS2	0.6711729560918
AQP4-AS1	LINC00844	0.686933046353177
AQP4-AS1	FENDRR	0.805718094893041
ARHGAP22-IT1	FAM66D	0.314298260179093
ARHGAP5-AS1	PAN3-AS1	0.684625536163653
ARHGAP5-AS1	FENDRR	0.805718094893041
ARHGAP5-AS1	TBX5-AS1	0.839331598112737
ARHGEF7-AS2	XIST	0.558997998709521
ARHGEF7-AS2	ZNF503-AS1	0.652881454805456
ARHGEF7-AS2	DNM3OS	0.654026712082709
ARHGEF7-IT1	FENDRR	0.805718094893041
ARHGEF7-IT1	TBX5-AS1	0.839331598112737
ARHGEF7-IT1	PCAT19	0.979771113594899
ARNTL2-AS1	XIST	0.558997998709521
ARNTL2-AS1	RBMS3-AS3	0.644423241271493
ARNTL2-AS1	DNM3OS	0.654026712082709
ARRDC3-AS1	FENDRR	0.805718094893041
ARRDC3-AS1	LINC00472	0.889776111332617
ARRDC3-AS1	LINC00702	0.930650678314964
ASMTL-AS1	FENDRR	0.805718094893041
ASMTL-AS1	LINC00702	0.930650678314964
ASMTL-AS1	PCAT19	0.979771113594899
ATP11A-AS1	EPB41L4A-AS2	0.6711729560918
ATP11A-AS1	PAN3-AS1	0.684625536163653
ATP11A-AS1	FENDRR	0.805718094893041
BCAR4	FENDRR	0.805718094893041
BCAR4	TBX5-AS1	0.839331598112737
BCAR4	PCAT19	0.979771113594899
BCDIN3D-AS1	PAN3-AS1	0.684625536163653
BCDIN3D-AS1	FENDRR	0.805718094893041
BCDIN3D-AS1	LINC00472	0.889776111332617
BDNF-AS	XIST	0.558997998709521
BDNF-AS	USP46-AS1	0.588694265937102
BDNF-AS	LINC00092	0.612707081454859
BLACAT1	LINC00598	0.253985612442124
BLACAT1	LINC00382	0.279795647566645
BLACAT1	ELFN2	0.290509018333953
BOLA3-AS1	FENDRR	0.805718094893041
BOLA3-AS1	LINC00968	0.987944287610186
BVES-AS1	FENDRR	0.805718094893041
BVES-AS1	PCAT19	0.979771113594899
BVES-AS1	LINC00968	0.987944287610186
C1QTNF1-AS1	FENDRR	0.805718094893041
C1QTNF1-AS1	LINC00472	0.889776111332617
C1QTNF1-AS1	PCAT19	0.979771113594899
CACNA1G-AS1	FENDRR	0.805718094893041
CACNA1G-AS1	PCAT19	0.979771113594899
CACNA1G-AS1	LINC00968	0.987944287610186
CADM2-AS1	XIST	0.558997998709521
CADM2-AS1	ZNF503-AS1	0.652881454805456
CADM2-AS1	SNHG8	0.667416805200302
CADM3-AS1	FENDRR	0.805718094893041
CADM3-AS1	LINC00968	0.987944287610186
CAHM	FENDRR	0.805718094893041
CAHM	LINC00472	0.889776111332617
CAHM	PCAT19	0.979771113594899
CARS-AS1	LINC01268	0.79065953620752
CARS-AS1	FENDRR	0.805718094893041
CARS-AS1	TBX5-AS1	0.839331598112737
CASC15	PLCG1-AS1	0.435796118108961
CASC15	RAMP2-AS1	0.454756234202324
CASC15	MAN1B1-AS1	0.523570483126957
CASC16	FENDRR	0.805718094893041
CASC16	TBX5-AS1	0.839331598112737
CASC16	LINC00702	0.930650678314964
CASC17	LINC01268	0.79065953620752
CASC17	FENDRR	0.805718094893041
CASC17	TBX5-AS1	0.839331598112737
CASC18	FENDRR	0.805718094893041
CASC18	TBX5-AS1	0.839331598112737
CASC18	PCAT19	0.979771113594899
CCDC13-AS1	PAN3-AS1	0.684625536163653
CCDC13-AS1	FENDRR	0.805718094893041
CCDC13-AS1	LINC00702	0.930650678314964
CCNT2-AS1	FENDRR	0.805718094893041
CCNT2-AS1	LINC00702	0.930650678314964
CCNT2-AS1	PCAT19	0.979771113594899
CD81-AS1	PAN3-AS1	0.684625536163653
CD81-AS1	LINC01268	0.79065953620752
CD81-AS1	FENDRR	0.805718094893041
CECR3	FENDRR	0.805718094893041
CECR3	TBX5-AS1	0.839331598112737
CECR3	PCAT19	0.979771113594899
CELF2-AS1	FENDRR	0.805718094893041
CELF2-AS1	LINC00472	0.889776111332617
CELF2-AS1	LINC00702	0.930650678314964
CELSR3-AS1	FENDRR	0.805718094893041
CELSR3-AS1	TBX5-AS1	0.839331598112737
CELSR3-AS1	LINC00472	0.889776111332617
CHL1-AS1	FENDRR	0.805718094893041
CHL1-AS1	TBX5-AS1	0.839331598112737
CHL1-AS1	PCAT19	0.979771113594899
CIRBP-AS1	EPB41L4A-AS2	0.6711729560918
CIRBP-AS1	FENDRR	0.805718094893041
CIRBP-AS1	TBX5-AS1	0.839331598112737
CLRN1-AS1	FENDRR	0.805718094893041
CLRN1-AS1	LINC00472	0.889776111332617
CLRN1-AS1	LINC00702	0.930650678314964
CLSTN2-AS1	FENDRR	0.805718094893041
CLSTN2-AS1	TBX5-AS1	0.839331598112737
CLSTN2-AS1	LINC00472	0.889776111332617
CLYBL-AS2	SPATA13	0.657371172092655
CLYBL-AS2	EPB41L4A-AS2	0.6711729560918
CLYBL-AS2	PAN3-AS1	0.684625536163653
CPEB2-AS1	EPB41L4A-AS2	0.6711729560918
CPEB2-AS1	FENDRR	0.805718094893041
CPEB2-AS1	TBX5-AS1	0.839331598112737
CTBP1-AS	PAN3-AS1	0.684625536163653
CTBP1-AS	FENDRR	0.805718094893041
CTBP1-AS	LINC00472	0.889776111332617
CYP51A1-AS1	PAN3-AS1	0.684625536163653
CYP51A1-AS1	LINC01268	0.79065953620752
CYP51A1-AS1	FENDRR	0.805718094893041
DACT3-AS1	PAN3-AS1	0.684625536163653
DACT3-AS1	FENDRR	0.805718094893041
DACT3-AS1	PCAT19	0.979771113594899
DBET	FENDRR	0.805718094893041
DBET	TBX5-AS1	0.839331598112737
DBET	PCAT19	0.979771113594899
DBH-AS1	FENDRR	0.805718094893041
DBH-AS1	LINC00702	0.930650678314964
DBH-AS1	PCAT19	0.979771113594899
DDC-AS1	PAN3-AS1	0.684625536163653
DDC-AS1	FENDRR	0.805718094893041
DDC-AS1	PCAT19	0.979771113594899
DDX11-AS1	FAM222A-AS1	0.367570969915973
DDX11-AS1	AC006538.1	0.403603830426529
DDX11-AS1	PTOV1-AS1	0.422802721032921
DGCR11	EPB41L4A-AS2	0.6711729560918
DGCR11	FENDRR	0.805718094893041
DGCR11	TBX5-AS1	0.839331598112737
DIAPH3-AS1	EPB41L4A-AS2	0.6711729560918
DIAPH3-AS1	FENDRR	0.805718094893041
DIAPH3-AS1	TBX5-AS1	0.839331598112737
DIO2-AS1	LINC01268	0.79065953620752
DIO2-AS1	FENDRR	0.805718094893041
DIO2-AS1	PCAT19	0.979771113594899
DIO3OS	FENDRR	0.805718094893041
DIO3OS	LINC00472	0.889776111332617
DIO3OS	LINC00968	0.987944287610186
DKFZP434A062	EPB41L4A-AS2	0.6711729560918
DKFZP434A062	FENDRR	0.805718094893041
DKFZP434A062	TBX5-AS1	0.839331598112737
DLGAP1-AS1	FENDRR	0.805718094893041
DLGAP1-AS1	PCAT19	0.979771113594899
DLGAP1-AS1	LINC00968	0.987944287610186
DLGAP1-AS2	FENDRR	0.805718094893041
DNAJC27-AS1	LINC01268	0.79065953620752
DNAJC27-AS1	FENDRR	0.805718094893041
DNAJC27-AS1	PCAT19	0.979771113594899
DNAJC9-AS1	LINC01268	0.79065953620752
DNAJC9-AS1	FENDRR	0.805718094893041
DNAJC9-AS1	TBX5-AS1	0.839331598112737
DNM3OS	LINC00968	0.987944287610186
DOCK9-AS2	EPB41L4A-AS2	0.6711729560918
DOCK9-AS2	FENDRR	0.805718094893041
DOCK9-AS2	TBX5-AS1	0.839331598112737
DPH6-AS1	LINC00092	0.612707081454859
DPH6-AS1	HOXB-AS3	0.63684388911992
DPH6-AS1	SPATA13	0.657371172092655
DPP10-AS1	TIPARP-AS1	0.332807839705859
DPP10-AS1	AC007365.3	0.335346692878989
DPP10-AS1	LINC01213	0.356765596422814
DPP10-AS3	FENDRR	0.805718094893041
DPP10-AS3	LINC00702	0.930650678314964
DPP10-AS3	PCAT19	0.979771113594899
EGFLAM-AS4	PAN3-AS1	0.684625536163653
EGFLAM-AS4	BANCR	0.790939906926282
EGFLAM-AS4	FENDRR	0.805718094893041
EIF3J-AS1	LINC01268	0.79065953620752
EIF3J-AS1	FENDRR	0.805718094893041
EIF3J-AS1	TBX5-AS1	0.839331598112737
ELFN1-AS1	FENDRR	0.805718094893041
ELFN1-AS1	TBX5-AS1	0.839331598112737
ELFN1-AS1	PCAT19	0.979771113594899
ELOVL2-AS1	HOXB-AS3	0.63684388911992
ELOVL2-AS1	RARA-AS1	0.664502161350773
ELOVL2-AS1	EPB41L4A-AS1	0.669664899781081
ENTPD1-AS1	LINC01268	0.79065953620752
ENTPD1-AS1	FENDRR	0.805718094893041
ENTPD1-AS1	TBX5-AS1	0.839331598112737
ENTPD3-AS1	FENDRR	0.805718094893041
ENTPD3-AS1	TBX5-AS1	0.839331598112737
ENTPD3-AS1	LINC00968	0.987944287610186
EP300-AS1	FENDRR	0.805718094893041
EPB41L4A-AS1	FENDRR	0.805718094893041
EPB41L4A-AS1	PCAT19	0.979771113594899
EPB41L4A-AS1	LINC00968	0.987944287610186
EPHA1-AS1	PAN3-AS1	0.684625536163653
EPHA1-AS1	LINC01268	0.79065953620752
EPHA1-AS1	FENDRR	0.805718094893041
EPHA5-AS1	EPB41L4A-AS2	0.6711729560918
EPHA5-AS1	FENDRR	0.805718094893041
EPHA5-AS1	TBX5-AS1	0.839331598112737
ERICH3-AS1	FENDRR	0.805718094893041
ERICH3-AS1	PCAT19	0.979771113594899
ERICH3-AS1	LINC00968	0.987944287610186
ERVH48-1	FENDRR	0.805718094893041
ERVH48-1	LINC00702	0.930650678314964
ERVH48-1	PCAT19	0.979771113594899
ERVMER61-1	TMCC1-AS1	0.571190878002436
ESRG	FENDRR	0.805718094893041
ESRG	TBX5-AS1	0.839331598112737
ESRG	LINC00472	0.889776111332617
EXTL3-AS1	PAN3-AS1	0.684625536163653
EXTL3-AS1	LINC01268	0.79065953620752
EXTL3-AS1	FENDRR	0.805718094893041
FAM13A-AS1	FENDRR	0.805718094893041
FAM13A-AS1	LINC00702	0.930650678314964
FAM13A-AS1	PCAT19	0.979771113594899
FAM170B-AS1	HOXB-AS3	0.63684388911992
FAM170B-AS1	PAN3-AS1	0.684625536163653
FAM170B-AS1	LINC01268	0.79065953620752
FAM212B-AS1	EPB41L4A-AS2	0.6711729560918
FAM212B-AS1	FENDRR	0.805718094893041
FAM212B-AS1	LINC00968	0.987944287610186
FAM223A	FENDRR	0.805718094893041
FAM223A	LINC00968	0.987944287610186
FAM223B	FENDRR	0.805718094893041
FAM66B	FENDRR	0.805718094893041
FAM66B	LINC00702	0.930650678314964
FAM66B	PCAT19	0.979771113594899
FAM66C	HOXB-AS3	0.63684388911992
FAM66C	EPB41L4A-AS1	0.669664899781081
FAM66C	EPB41L4A-AS2	0.6711729560918
FAM87A	FENDRR	0.805718094893041
FAM87A	PCAT19	0.979771113594899
FAM87A	LINC00968	0.987944287610186
FGD5-AS1	LINC01268	0.79065953620752
FGD5-AS1	FENDRR	0.805718094893041
FGD5-AS1	TBX5-AS1	0.839331598112737
FGF10-AS1	FENDRR	0.805718094893041
FGF10-AS1	LINC00472	0.889776111332617
FGF10-AS1	PCAT19	0.979771113594899
FGF13-AS1	EPB41L4A-AS2	0.6711729560918
FGF13-AS1	LINC01268	0.79065953620752
FGF13-AS1	FENDRR	0.805718094893041
FGF14-AS2	FENDRR	0.805718094893041
FGF14-AS2	LINC00968	0.987944287610186
FGF14-IT1	EPB41L4A-AS2	0.6711729560918
FGF14-IT1	FENDRR	0.805718094893041
FGF14-IT1	TBX5-AS1	0.839331598112737
FLG-AS1	SH3RF3-AS1	0.563925981516853
FLG-AS1	EPB41L4A-AS2	0.6711729560918
FLG-AS1	PAN3-AS1	0.684625536163653
FLJ12825	FENDRR	0.805718094893041
FLJ12825	LINC00968	0.987944287610186
FLJ13224	PAN3-AS1	0.684625536163653
FLJ13224	FENDRR	0.805718094893041
FLJ13224	TBX5-AS1	0.839331598112737
FLJ16779	PAN3-AS1	0.684625536163653
FLJ16779	FENDRR	0.805718094893041
FLJ16779	TBX5-AS1	0.839331598112737
FLJ20021	LINC01268	0.79065953620752
FLJ20021	FENDRR	0.805718094893041
FLJ20021	A2M-AS1	0.832726352571367
FLJ27354	FENDRR	0.805718094893041
FLJ27354	PCAT19	0.979771113594899
FLJ27354	LINC00968	0.987944287610186
FLJ37453	PAN3-AS1	0.684625536163653
FLJ37453	LINC01268	0.79065953620752
FLJ37453	FENDRR	0.805718094893041
FOXN3-AS2	LINC01268	0.79065953620752
FOXN3-AS2	FENDRR	0.805718094893041
FOXN3-AS2	PCAT19	0.979771113594899
FTX	FENDRR	0.805718094893041
FTX	LINC00968	0.987944287610186
GABPB1-AS1	FENDRR	0.805718094893041
GABPB1-AS1	TBX5-AS1	0.839331598112737
GABPB1-AS1	SFTA1P	0.885862997813533
GAS5-AS1	FENDRR	0.805718094893041
GAS5-AS1	TBX5-AS1	0.839331598112737
GAS5-AS1	LINC00472	0.889776111332617
GAS6-AS1	FENDRR	0.805718094893041
GAS6-AS1	PCAT19	0.979771113594899
GAS6-AS1	LINC00968	0.987944287610186
GATA6-AS1	FENDRR	0.805718094893041
GATA6-AS1	LINC00968	0.987944287610186
GLIDR	FENDRR	0.805718094893041
GLIDR	LINC00968	0.987944287610186
GLIS3-AS1	EPB41L4A-AS2	0.6711729560918
GLIS3-AS1	BANCR	0.790939906926282
GLIS3-AS1	FENDRR	0.805718094893041
GNA14-AS1	FENDRR	0.805718094893041
GNA14-AS1	LINC00702	0.930650678314964
GNA14-AS1	PCAT19	0.979771113594899
GRIK1-AS1	FENDRR	0.805718094893041
GRIK1-AS1	LINC00472	0.889776111332617
GRIK1-AS1	PCAT19	0.979771113594899
GRTP1-AS1	NDUFV2-AS1	0.422640550026011
GRTP1-AS1	LINC00982	0.457650007523013
GRTP1-AS1	FLJ37453	0.489501670286062
GS1-24F4.2	LINC01122	0.499934445653717
GS1-24F4.2	FAM215A	0.517061118434007
GTF3C2-AS1	PAN3-AS1	0.684625536163653
GTF3C2-AS1	LINC01268	0.79065953620752
GTF3C2-AS1	FENDRR	0.805718094893041
H1FX-AS1	FENDRR	0.805718094893041
H1FX-AS1	LINC00472	0.889776111332617
H1FX-AS1	LINC00702	0.930650678314964
HCG22	FENDRR	0.805718094893041
HCG22	LINC00472	0.889776111332617
HCG22	PCAT19	0.979771113594899
HCG9	PAN3-AS1	0.684625536163653
HCG9	LINC01268	0.79065953620752
HCG9	FENDRR	0.805718094893041
HCP5B	PAN3-AS1	0.684625536163653
HCP5B	FENDRR	0.805718094893041
HCP5B	LINC00472	0.889776111332617
HECW1-IT1	LINC01122	0.499934445653717
HECW1-IT1	NPHP3-AS1	0.517862661973244
HECW1-IT1	MCF2L-AS1	0.545808371611767
HHIP-AS1	FENDRR	0.805718094893041
HHIP-AS1	LINC00968	0.987944287610186
HMGN3-AS1	LINC01268	0.79065953620752
HMGN3-AS1	FENDRR	0.805718094893041
HMGN3-AS1	TBX5-AS1	0.839331598112737
HOTAIR	LINC00598	0.253985612442124
HOTAIR	LINC00382	0.279795647566645
HOTAIR	ELFN2	0.290509018333953
HOTTIP	KCNQ1-AS1	0.364002118263498
HOTTIP	LINC00092	0.612707081454859
HOTTIP	HOXB-AS3	0.63684388911992
HOXA-AS2	FENDRR	0.805718094893041
HOXA-AS2	PCAT19	0.979771113594899
HOXA-AS2	LINC00968	0.987944287610186
HOXA10-AS	RARA-AS1	0.664502161350773
HOXA10-AS	PAN3-AS1	0.684625536163653
HOXA10-AS	FENDRR	0.805718094893041
HOXB-AS1	PAN3-AS1	0.684625536163653
HOXB-AS1	LINC01268	0.79065953620752
HOXB-AS1	FENDRR	0.805718094893041
HOXB-AS3	FENDRR	0.805718094893041
HOXB-AS3	TBX5-AS1	0.839331598112737
HOXB-AS3	LINC00968	0.987944287610186
IDI2-AS1	FENDRR	0.805718094893041
IDI2-AS1	PCAT19	0.979771113594899
IDI2-AS1	LINC00968	0.987944287610186
IGF2-AS	FENDRR	0.805718094893041
IGF2-AS	TBX5-AS1	0.839331598112737
IGF2-AS	LINC00472	0.889776111332617
ILF3-AS1	FENDRR	0.805718094893041
ILF3-AS1	PCAT19	0.979771113594899
ILF3-AS1	LINC00968	0.987944287610186
INE1	PAN3-AS1	0.684625536163653
INE1	LINC01268	0.79065953620752
INE1	FENDRR	0.805718094893041
INHBA-AS1	LINC01007	0.499576716350906
INHBA-AS1	ADAMTS9-AS2	0.521100755506359
INHBA-AS1	TRAF3IP2-AS1	0.541078519736997
INTS6-AS1	PAN3-AS1	0.684625536163653
INTS6-AS1	LINC01268	0.79065953620752
INTS6-AS1	FENDRR	0.805718094893041
IQCF5-AS1	FENDRR	0.805718094893041
IQCF5-AS1	LINC00472	0.889776111332617
IQCF5-AS1	LINC00702	0.930650678314964
IQCH-AS1	FENDRR	0.805718094893041
IQCH-AS1	LINC00622	0.873106940471778
IQCH-AS1	LINC00968	0.987944287610186
IQCJ-SCHIP1-AS1	FENDRR	0.805718094893041
IQCJ-SCHIP1-AS1	LINC00472	0.889776111332617
IQCJ-SCHIP1-AS1	LINC00702	0.930650678314964
ISM1-AS1	EPB41L4A-AS2	0.6711729560918
ISM1-AS1	FENDRR	0.805718094893041
ISM1-AS1	TBX5-AS1	0.839331598112737
ISPD-AS1	MAN1B1-AS1	0.523570483126957
ISPD-AS1	RASSF8-AS1	0.552950232283952
ISPD-AS1	SH3RF3-AS1	0.563925981516853
ITPK1-AS1	LINC01268	0.79065953620752
ITPK1-AS1	FENDRR	0.805718094893041
ITPK1-AS1	A2M-AS1	0.832726352571367
ITPKB-IT1	EPB41L4A-AS2	0.6711729560918
ITPKB-IT1	FENDRR	0.805718094893041
ITPKB-IT1	TBX5-AS1	0.839331598112737
ITPR1-AS1	FENDRR	0.805718094893041
ITPR1-AS1	LINC00968	0.987944287610186
JAZF1-AS1	KIF9-AS1	0.387777738629403
JAZF1-AS1	ADAMTS9-AS2	0.521100755506359
JAZF1-AS1	FAM223A	0.572177556086241
KCNJ2-AS1	DNM3OS	0.654026712082709
KCNJ2-AS1	SPATA13	0.657371172092655
KCNJ2-AS1	RARA-AS1	0.664502161350773
KCNQ1-AS1	FENDRR	0.805718094893041
KCNQ1-AS1	TBX5-AS1	0.839331598112737
KCNQ1-AS1	PCAT19	0.979771113594899
KCNQ1DN	FENDRR	0.805718094893041
KCNQ1DN	LINC00472	0.889776111332617
KCNQ1DN	PCAT19	0.979771113594899
KIAA0087	LINC00271	0.480246591827217
KIAA0087	LINC00163	0.496969843688261
KIAA0087	FGD5-AS1	0.519482734834828
KIF9-AS1	FENDRR	0.805718094893041
KIF9-AS1	PCAT19	0.979771113594899
KIF9-AS1	LINC00968	0.987944287610186
KIRREL3-AS3	FENDRR	0.805718094893041
KIRREL3-AS3	LINC00472	0.889776111332617
KIRREL3-AS3	PCAT19	0.979771113594899
KRBOX1-AS1	FENDRR	0.805718094893041
KRBOX1-AS1	LINC00472	0.889776111332617
KRBOX1-AS1	PCAT19	0.979771113594899
LAMA5-AS1	PAN3-AS1	0.684625536163653
LAMA5-AS1	FENDRR	0.805718094893041
LAMA5-AS1	PCAT19	0.979771113594899
LDLRAD4-AS1	SPATA13	0.657371172092655
LDLRAD4-AS1	FENDRR	0.805718094893041
LDLRAD4-AS1	PCAT19	0.979771113594899
LIFR-AS1	XIST	0.558997998709521
LIFR-AS1	ZNF582-AS1	0.585549542383366
LIFR-AS1	LINC00092	0.612707081454859
LIMD1-AS1	FENDRR	0.805718094893041
LIMD1-AS1	LINC00702	0.930650678314964
LIMD1-AS1	PCAT19	0.979771113594899
LINC-PINT	FENDRR	0.805718094893041
LINC-PINT	LINC00702	0.930650678314964
LINC-PINT	PCAT19	0.979771113594899
LINC00028	FENDRR	0.805718094893041
LINC00028	TBX5-AS1	0.839331598112737
LINC00028	LINC00472	0.889776111332617
LINC00052	FENDRR	0.805718094893041
LINC00052	LINC00472	0.889776111332617
LINC00052	LINC00702	0.930650678314964
LINC00092	FENDRR	0.805718094893041
LINC00092	PCAT19	0.979771113594899
LINC00092	LINC00968	0.987944287610186
LINC00102	XIST	0.558997998709521
LINC00102	ZNF503-AS1	0.652881454805456
LINC00102	DNM3OS	0.654026712082709
LINC00158	FENDRR	0.805718094893041
LINC00158	PCAT19	0.979771113594899
LINC00158	LINC00968	0.987944287610186
LINC00163	FENDRR	0.805718094893041
LINC00163	LINC00968	0.987944287610186
LINC00189	FENDRR	0.805718094893041
LINC00189	PCAT19	0.979771113594899
LINC00189	LINC00968	0.987944287610186
LINC00208	FENDRR	0.805718094893041
LINC00208	PCAT19	0.979771113594899
LINC00208	LINC00968	0.987944287610186
LINC00210	SNHG7	0.48903464129802
LINC00210	LINC-PINT	0.502711524261431
LINC00210	ADAMTS9-AS2	0.521100755506359
LINC00261	FENDRR	0.805718094893041
LINC00261	TBX5-AS1	0.839331598112737
LINC00261	LINC00622	0.873106940471778
LINC00269	LINC01268	0.79065953620752
LINC00269	FENDRR	0.805718094893041
LINC00269	TBX5-AS1	0.839331598112737
LINC00271	FENDRR	0.805718094893041
LINC00271	LINC00472	0.889776111332617
LINC00271	PCAT19	0.979771113594899
LINC00276	LINC00588	0.46555294536149
LINC00276	LINC01122	0.499934445653717
LINC00280	FENDRR	0.805718094893041
LINC00280	TBX5-AS1	0.839331598112737
LINC00280	LINC00472	0.889776111332617
LINC00284	FENDRR	0.805718094893041
LINC00284	PCAT19	0.979771113594899
LINC00284	LINC00968	0.987944287610186
LINC00293	FENDRR	0.805718094893041
LINC00293	PCAT19	0.979771113594899
LINC00293	LINC00968	0.987944287610186
LINC00294	FENDRR	0.805718094893041
LINC00294	LINC00702	0.930650678314964
LINC00294	PCAT19	0.979771113594899
LINC00304	EPB41L4A-AS2	0.6711729560918
LINC00304	FENDRR	0.805718094893041
LINC00304	LINC00702	0.930650678314964
LINC00305	IGF2-AS	0.390253663410374
LINC00305	FLJ27354	0.455829637366546
LINC00305	LINC01007	0.499576716350906
LINC00308	PAN3-AS1	0.684625536163653
LINC00308	LINC01268	0.79065953620752
LINC00308	FENDRR	0.805718094893041
LINC00309	FLJ27354	0.455829637366546
LINC00309	STX18-AS1	0.481235464559526
LINC00309	LINC00877	0.483231082943871
LINC00310	FENDRR	0.805718094893041
LINC00310	TBX5-AS1	0.839331598112737
LINC00310	LINC00702	0.930650678314964
LINC00311	FENDRR	0.805718094893041
LINC00311	PCAT19	0.979771113594899
LINC00311	LINC00968	0.987944287610186
LINC00315	FENDRR	0.805718094893041
LINC00315	TBX5-AS1	0.839331598112737
LINC00315	LINC00702	0.930650678314964
LINC00324	FENDRR	0.805718094893041
LINC00324	PCAT19	0.979771113594899
LINC00324	LINC00968	0.987944287610186
LINC00327	FENDRR	0.805718094893041
LINC00327	LINC00702	0.930650678314964
LINC00327	PCAT19	0.979771113594899
LINC00334	FENDRR	0.805718094893041
LINC00334	TBX5-AS1	0.839331598112737
LINC00334	LINC00472	0.889776111332617
LINC00347	FENDRR	0.805718094893041
LINC00347	LINC00702	0.930650678314964
LINC00347	PCAT19	0.979771113594899
LINC00354	FENDRR	0.805718094893041
LINC00354	LINC00472	0.889776111332617
LINC00354	LINC00702	0.930650678314964
LINC00410	FENDRR	0.805718094893041
LINC00410	PCAT19	0.979771113594899
LINC00410	LINC00968	0.987944287610186
LINC00421	PAN3-AS1	0.684625536163653
LINC00421	FENDRR	0.805718094893041
LINC00421	LINC00472	0.889776111332617
LINC00423	FENDRR	0.805718094893041
LINC00423	LINC00702	0.930650678314964
LINC00423	PCAT19	0.979771113594899
LINC00427	PAN3-AS1	0.684625536163653
