,TCGA-S9-A7J2-01,TCGA-E1-A7YI-01,gsym
ENSG00000104833.10,6.9974,6.9937,TUBB4A
ENSG00000166368.2,-9.9658,-9.9658,OR2D2
ENSG00000206072.12,-9.9658,-9.9658,SERPINB11
ENSG00000006695.10,3.2796,2.826,COX10
ENSG00000258630.1,-9.9658,-9.9658,RP11-725G5.2
ENSG00000187513.8,1.7617,2.7336,GJA4
ENSG00000225269.2,-9.9658,-9.9658,LINC00705
ENSG00000214062.5,-4.2934,-3.3076,RPL7P17
ENSG00000095587.8,-2.1779,0.2029,TLL2
ENSG00000167700.8,5.0553,3.5875,MFSD3
ENSG00000274219.1,-9.9658,-9.9658,CTC-360J11.7
ENSG00000254102.1,-9.9658,-6.5064,RP11-21C4.1
ENSG00000265096.1,-9.9658,-9.9658,C1QTNF1-AS1
ENSG00000064601.16,6.5212,6.2056,CTSA
ENSG00000227766.1,1.0573,1.674,HCG4P5
ENSG00000008517.16,3.8551,4.0619,IL32
ENSG00000264085.1,-9.9658,-9.9658,MIR5004
ENSG00000261475.2,-9.9658,-9.9658,CTD-2014E2.6
ENSG00000229637.3,-9.9658,-9.9658,PRAC2
ENSG00000266644.1,-3.816,-0.3383,RP11-927P21.2
ENSG00000227896.2,0.3115,-0.5756,RP11-77P6.2
ENSG00000214541.3,-9.9658,-9.9658,RPS4XP3
ENSG00000070081.15,5.5925,3.8561,NUCB2
ENSG00000166634.6,-9.9658,-9.9658,SERPINB12
ENSG00000275479.1,2.3732,2.5948,RP11-334C17.6
ENSG00000112309.10,4.7312,1.4281,B3GAT2
ENSG00000199812.1,-9.9658,-9.9658,RNU6-428P
ENSG00000261789.1,-5.5735,-9.9658,RP11-709D24.5
ENSG00000254092.1,-3.1714,-2.1779,RP11-369E15.3
ENSG00000158480.10,3.8954,3.3364,SPATA2
ENSG00000197421.9,-9.9658,-5.0116,GGT3P
ENSG00000280171.1,-9.9658,-4.6082,CTD-2542C24.14
ENSG00000260900.1,-9.9658,-9.9658,RP11-19N8.3
ENSG00000266579.1,-9.9658,-9.9658,RP1-71H19.2
ENSG00000278732.1,-9.9658,-9.9658,Metazoa_SRP
ENSG00000196167.9,-0.6193,-3.1714,COLCA1
ENSG00000264438.2,-9.9658,-9.9658,RN7SL560P
ENSG00000200288.1,-9.9658,-9.9658,SNORA18
ENSG00000207000.1,-9.9658,-9.9658,RNU6-820P
ENSG00000254131.1,-1.5951,-3.1714,RP11-1007J8.1
ENSG00000118972.1,-9.9658,-9.9658,FGF23
ENSG00000264104.1,-9.9658,-9.9658,RP11-638L3.4
ENSG00000179833.4,3.5073,4.5211,SERTAD2
ENSG00000165312.6,3.9166,2.3704,OTUD1
ENSG00000159618.15,-3.816,-5.0116,ADGRG5
ENSG00000064225.12,3.0944,4.1506,ST3GAL6
ENSG00000221372.1,-9.9658,-9.9658,AC010739.1
ENSG00000250571.6,4.3841,3.3076,GLI4
ENSG00000057294.13,0.6699,-3.3076,PKP2
ENSG00000226530.1,0.8327,0.6145,RP11-348F1.2
ENSG00000252628.2,-9.9658,-9.9658,RNU6-453P
ENSG00000134709.10,-5.5735,-2.1779,HOOK1
ENSG00000166007.11,-9.9658,-1.9942,TRIM51HP
ENSG00000171861.10,3.8116,4.1587,RNMTL1
ENSG00000278923.1,-9.9658,-9.9658,AP005242.1
ENSG00000167768.4,-9.9658,-3.816,KRT1
ENSG00000273637.1,-9.9658,-9.9658,RP5-864K19.7
ENSG00000280159.1,-3.1714,-4.035,CTD-2591A1.1
ENSG00000232216.1,-9.9658,-9.9658,IGHV3-43
ENSG00000264172.1,-9.9658,-9.9658,PDLIM1P3
ENSG00000199903.1,-9.9658,-9.9658,RNU6-1273P
ENSG00000200058.1,-9.9658,-9.9658,RNA5SP218
ENSG00000177981.10,4.8575,4.9824,ASB8
ENSG00000275358.1,-9.9658,-4.035,RP5-1025A1.3
ENSG00000218358.2,-9.9658,-3.1714,RAET1K
ENSG00000264091.1,-9.9658,-9.9658,AP002495.1
ENSG00000275367.1,4.4496,1.8643,RP11-266K4.14
ENSG00000238921.2,-9.9658,-9.9658,AL360178.1
ENSG00000274815.1,-9.9658,-9.9658,AC007682.3
ENSG00000269349.1,-0.6416,0.9716,CTD-3099C6.5
ENSG00000200291.1,-9.9658,-9.9658,Y_RNA
ENSG00000233614.6,-3.3076,-1.5951,DDX11L10
ENSG00000022567.9,2.1509,1.683,SLC45A4
ENSG00000278933.1,-9.9658,-9.9658,RP11-789C7.1
ENSG00000202175.1,-9.9658,-9.9658,RNA5SP128
ENSG00000120662.15,2.9338,3.9223,MTRF1
ENSG00000215274.5,-3.816,-9.9658,GAGE10
ENSG00000235523.1,-9.9658,-9.9658,RP11-63P12.7
ENSG00000249848.1,-3.816,-9.9658,RP11-212F11.1
ENSG00000277826.1,-9.9658,-9.9658,uc_338
ENSG00000230225.1,-9.9658,-9.9658,MTND5P14
ENSG00000239877.2,-4.035,-9.9658,IGSF11-AS1
ENSG00000201398.1,-9.9658,-9.9658,U8
ENSG00000281474.1,-9.9658,-9.9658,AC055736.4
ENSG00000272905.1,1.2576,1.0983,RP11-265E18.1
ENSG00000235571.1,-9.9658,-9.9658,SNX18P14
ENSG00000259952.1,0.099,0.0854,AC009133.15
ENSG00000260812.1,-9.9658,-9.9658,RARRES2P7
ENSG00000225630.1,7.6878,6.954,MTND2P28
ENSG00000230231.1,-9.9658,-9.9658,FMO7P
ENSG00000164283.12,-1.2828,-3.3076,ESM1
ENSG00000227489.1,-9.9658,-9.9658,AC006458.3
ENSG00000254555.1,-9.9658,-9.9658,RP11-379J13.1
ENSG00000013392.7,3.1162,2.6918,RWDD2A
ENSG00000226688.6,2.753,1.8363,ENTPD1-AS1
ENSG00000258279.2,-9.9658,-9.9658,LINC00592
ENSG00000250929.2,-9.9658,-9.9658,LINC01181
ENSG00000204581.2,-0.6416,-1.9379,AC096670.3
ENSG00000225620.1,-9.9658,-9.9658,RP11-569A11.2
ENSG00000271771.1,-4.035,-9.9658,RP11-1250I15.3
ENSG00000277919.1,-9.9658,-9.9658,MIR8067
ENSG00000184178.15,4.208,5.6904,SCFD2
ENSG00000206260.3,-9.9658,-9.9658,PRR23A
ENSG00000237786.1,-0.7834,-9.9658,GFOD1-AS1
ENSG00000272911.1,-1.3183,-2.3147,RP11-74E22.6
ENSG00000164112.12,-1.7322,-0.1345,TMEM155
ENSG00000230039.1,-9.9658,-9.9658,RP11-314A15.2
ENSG00000130204.12,4.6955,6.5038,TOMM40
ENSG00000271580.1,-1.4699,-2.4659,RP11-536L3.4
ENSG00000252650.1,-9.9658,-9.9658,RNA5SP75
ENSG00000258529.5,-9.9658,-3.458,RP11-108O10.8
ENSG00000189099.11,-1.8314,-9.9658,PRSS48
ENSG00000232879.2,-9.9658,-9.9658,RP11-544M22.3
ENSG00000265897.2,-9.9658,-9.9658,AC018696.1
ENSG00000111863.12,-9.9658,-1.3921,ADTRP
ENSG00000109618.11,1.8996,2.9893,SEPSECS
ENSG00000279345.1,-1.9942,-3.458,RP3-522J7.7
ENSG00000214866.7,-9.9658,-9.9658,DCDC2C
ENSG00000254978.2,-0.4521,-9.9658,ALG1L9P
ENSG00000153015.15,4.4647,4.8968,CWC27
ENSG00000260549.1,1.7185,1.3283,MT1L
ENSG00000202290.1,-9.9658,-9.9658,RNA5SP37
ENSG00000254578.1,-9.9658,-9.9658,CTD-2517M22.16
ENSG00000240710.1,-3.1714,-2.6349,RP11-430C7.4
ENSG00000268889.1,-9.9658,-3.816,CTD-2616J11.14
ENSG00000250210.4,-9.9658,-9.9658,FO082796.1
ENSG00000225215.1,-5.0116,-9.9658,SMARCE1P1
ENSG00000257246.1,-2.0529,-9.9658,PHBP19
ENSG00000278616.1,1.2576,1.1117,BEND3P3
ENSG00000280267.3,-9.9658,-9.9658,PRAMEF26
ENSG00000250885.1,-9.9658,-9.9658,CTD-2004A9.1
ENSG00000273797.1,-9.9658,-3.6259,RP11-1046B16.3
ENSG00000036448.9,3.2435,3.1701,MYOM2
ENSG00000264583.1,-9.9658,-9.9658,MIR4487
ENSG00000164114.18,2.8877,2.7657,MAP9
ENSG00000267552.6,-2.9324,-3.0469,CTD-2528L19.4
ENSG00000224695.1,-9.9658,-9.9658,MTND6P7
ENSG00000106038.12,-9.9658,-9.9658,EVX1
ENSG00000255189.1,-9.9658,-4.035,GLYATL1P1
ENSG00000238698.1,-9.9658,-9.9658,RNU7-147P
ENSG00000149089.12,3.623,4.3924,APIP
ENSG00000114861.18,3.6646,2.6783,FOXP1
ENSG00000238478.1,-9.9658,-9.9658,RNU6-498P
ENSG00000224570.1,-5.5735,-9.9658,RP11-430H12.2
ENSG00000179632.9,6.2778,6.1075,MAF1
ENSG00000113971.18,3.5111,3.29,NPHP3
ENSG00000205030.1,-9.9658,-9.9658,OR5L2
ENSG00000243073.3,-9.9658,-9.9658,PRAMEF4
ENSG00000138193.14,1.7954,3.0568,PLCE1
ENSG00000240809.1,-3.458,-3.458,RP11-550F7.1
ENSG00000152942.18,4.1891,4.6095,RAD17
ENSG00000276692.1,-9.9658,-9.9658,RP11-104G3.7
ENSG00000280004.1,-9.9658,-9.9658,AC005086.2
ENSG00000224560.3,-9.9658,-9.9658,RP11-270L13.1
ENSG00000158411.10,5.018,4.7629,MITD1
ENSG00000172667.10,5.0964,3.4116,ZMAT3
ENSG00000227233.1,-5.0116,-9.9658,CICP17
ENSG00000118363.11,8.0594,8.131,SPCS2
ENSG00000273311.1,0.1648,-0.4325,DGCR11
ENSG00000136169.16,1.7995,1.9859,SETDB2
ENSG00000135903.18,-9.9658,0.4761,PAX3
ENSG00000121644.18,3.6405,4.9426,DESI2
ENSG00000279700.1,-0.3201,-1.2828,RP13-554M15.2
ENSG00000205362.10,-2.0529,-1.4699,MT1A
ENSG00000138495.6,5.5264,6.1603,COX17
ENSG00000204528.3,-9.9658,-9.9658,PSORS1C3
ENSG00000251286.2,-9.9658,-9.9658,RP11-588F10.1
ENSG00000169992.9,7.0771,7.1365,NLGN2
ENSG00000239344.1,-9.9658,-3.3076,RP11-771F20.1
ENSG00000101323.4,-9.9658,-9.9658,HAO1
ENSG00000272456.1,-9.9658,-9.9658,CTD-2342N23.3
ENSG00000262662.1,-2.1779,-3.816,CTD-2561B21.3
ENSG00000219395.2,-1.2828,-2.4659,HSPA8P15
ENSG00000127564.16,3.2251,5.7038,PKMYT1
ENSG00000255349.1,-9.9658,-9.9658,OR4A7P
ENSG00000277998.1,5.7645,5.9255,RP11-452N17.1
ENSG00000275248.1,-2.8262,-3.816,RP11-40E6.2
ENSG00000226086.5,-2.3147,-2.5479,EIF3LP3
ENSG00000235023.1,0.4233,-0.1993,AP001626.2
ENSG00000176973.7,5.6545,5.8573,FAM89B
ENSG00000211682.2,-9.9658,-9.9658,IGLJ6
ENSG00000231630.1,-9.9658,-9.9658,RP11-740P5.3
ENSG00000270997.1,-9.9658,-9.9658,RP11-703P11.1
ENSG00000249514.1,-9.9658,-2.4659,CTD-2266L18.1
ENSG00000279115.1,-1.2142,-4.035,AC006386.1
ENSG00000159479.16,3.4371,4.9069,MED8
ENSG00000112511.17,7.0531,7.4135,PHF1
ENSG00000211950.2,-9.9658,-9.9658,IGHV1-24
ENSG00000202534.1,-9.9658,-9.9658,RNU6-1329P
ENSG00000226663.2,-9.9658,-9.9658,MTND4P10
ENSG00000154511.11,3.3966,4.6364,FAM69A
ENSG00000253946.1,-9.9658,-9.9658,CTC-425K20.1
ENSG00000144504.15,3.335,3.652,ANKMY1
ENSG00000142507.9,7.253,7.6714,PSMB6
ENSG00000157884.10,-3.816,-4.035,CIB4
ENSG00000259677.1,-4.2934,-4.2934,RP11-493E3.1
ENSG00000164116.16,4.7501,0.5568,GUCY1A3
ENSG00000273305.1,0.3231,0.8883,RP11-440D17.4
ENSG00000138669.9,0.605,-5.5735,PRKG2
ENSG00000250927.1,-9.9658,-9.9658,MESTP3
ENSG00000174013.7,3.7529,3.2143,FBXO45
ENSG00000235110.5,-9.9658,-9.9658,RP11-8J23.1
ENSG00000277670.1,-9.9658,-9.9658,RP11-339A11.3
ENSG00000196704.11,6.4874,5.7496,AMZ2
ENSG00000251332.1,-9.9658,-9.9658,RP11-177C12.4
ENSG00000259235.1,-2.4659,-9.9658,RP11-605F22.2
ENSG00000258507.1,-0.6643,-2.8262,RP13-582L3.4
ENSG00000178821.12,-2.6349,-9.9658,TMEM52
ENSG00000244019.1,-9.9658,-9.9658,RPS2P24
ENSG00000222054.1,-9.9658,-9.9658,RNA5SP177
ENSG00000196126.10,2.4623,4.7777,HLA-DRB1
ENSG00000227987.1,-1.1488,-9.9658,AC092675.4
ENSG00000232301.1,-9.9658,-9.9658,RP11-132A1.3
ENSG00000278896.1,-4.6082,-9.9658,RP11-474P2.7
ENSG00000227851.1,-9.9658,-9.9658,RP11-381K7.1
ENSG00000225715.1,-4.2934,-9.9658,RP11-325E14.5
ENSG00000271919.1,-2.8262,-3.816,RP11-269G24.8
ENSG00000176928.5,-0.4131,-1.4699,GCNT4
ENSG00000034239.10,-1.9379,-4.6082,EFCAB1
ENSG00000243514.2,-9.9658,-9.9658,RPL32P33
ENSG00000233714.1,-9.9658,-9.9658,AC012506.2
ENSG00000280746.1,-9.9658,-9.9658,AC024896.1
ENSG00000129455.15,-9.9658,-9.9658,KLK8
ENSG00000240250.3,-9.9658,-9.9658,RN7SL541P
ENSG00000276215.1,-9.9658,-9.9658,AC004053.2
ENSG00000216902.3,-9.9658,-9.9658,RP1-161C16.1
ENSG00000265875.1,-9.9658,-9.9658,AC011357.1
ENSG00000254672.1,-9.9658,-9.9658,RP5-916O11.3
ENSG00000143033.17,2.3193,4.0918,MTF2
ENSG00000270757.1,3.3563,2.6828,HSPE1-MOB4
ENSG00000256150.1,-9.9658,-9.9658,RP11-885B4.1
ENSG00000257941.1,-0.6193,-2.8262,RP11-290L1.4
ENSG00000259956.1,4.0739,5.2289,RBM15B
ENSG00000106410.14,-9.9658,-9.9658,NOBOX
ENSG00000227958.1,-9.9658,-9.9658,RP11-399H11.3
ENSG00000267083.1,-5.5735,-9.9658,KRT18P61
ENSG00000234041.1,-9.9658,-9.9658,RP11-345I18.1
ENSG00000259847.1,-9.9658,-9.9658,RP11-95H3.1
ENSG00000265243.1,-9.9658,-9.9658,IGLJCOR18
ENSG00000226668.5,-1.7809,-9.9658,RP11-526D8.7
ENSG00000234900.1,-9.9658,-9.9658,RP1-278O22.2
ENSG00000268140.1,-5.0116,-3.816,PCGF7P
ENSG00000278987.1,-6.5064,-1.8836,LA16c-431H6.7
ENSG00000250006.2,-9.9658,-9.9658,CTB-179I1.1
ENSG00000236313.1,-9.9658,-9.9658,VN1R53P
ENSG00000250349.3,-9.9658,-9.9658,RP5-972B16.2
ENSG00000225352.1,-9.9658,-9.9658,RPL31P53
ENSG00000273085.1,-9.9658,-9.9658,OR52E1
ENSG00000260729.1,1.3846,-1.0862,RP11-106M3.2
ENSG00000245667.2,-2.2447,-2.8262,RP5-940J5.8
ENSG00000203818.7,-2.114,-3.458,HIST2H3PS2
ENSG00000202050.1,-9.9658,-9.9658,RNU6-391P
ENSG00000259799.1,-2.2447,-0.7834,RP11-554A11.9
ENSG00000264326.1,-9.9658,-9.9658,MIR4657
ENSG00000196296.13,-0.7346,1.614,ATP2A1
ENSG00000230481.2,-9.9658,-9.9658,IGKV1OR22-5
ENSG00000185933.6,-4.6082,-3.6259,CALHM1
ENSG00000280956.1,-9.9658,-9.9658,AL049564.1
ENSG00000221923.8,3.0637,4.2548,ZNF880
ENSG00000109805.9,0.1388,4.5002,NCAPG
ENSG00000235653.1,-9.9658,-9.9658,AC007253.1
ENSG00000211978.2,-9.9658,-9.9658,IGHV5-78
ENSG00000240489.1,0.2154,0.8961,SETP14
ENSG00000212039.1,-9.9658,-9.9658,AL592205.1
ENSG00000196748.9,-9.9658,-9.9658,CLPSL2
ENSG00000226753.1,-9.9658,-9.9658,RP11-212D3.2
ENSG00000163975.11,3.1458,1.7446,MFI2
ENSG00000239893.1,-9.9658,-9.9658,ZNF736P9Y
ENSG00000270720.1,1.0363,0.1903,RP11-84C13.2
ENSG00000127329.14,2.578,3.1062,PTPRB
ENSG00000262358.1,-9.9658,-1.4699,CTD-3195I5.4
ENSG00000250594.2,-9.9658,-9.9658,RP11-433B3.1
ENSG00000271148.1,-0.5756,-3.816,RP11-401N18.1
ENSG00000263570.1,-9.9658,-9.9658,AC074264.1
ENSG00000143183.16,6.6388,7.2349,TMCO1
ENSG00000229941.5,-9.9658,-9.9658,AC012499.1
ENSG00000248315.1,-9.9658,-9.9658,RP11-3N2.11
ENSG00000108774.14,7.5415,7.862,RAB5C
ENSG00000125522.3,-9.9658,-5.5735,NPBWR2
ENSG00000183696.13,3.3478,4.4135,UPP1
ENSG00000273826.1,-9.9658,-9.9658,MIR6861
ENSG00000228318.3,-9.9658,-9.9658,AP001610.5
ENSG00000275261.1,-9.9658,-9.9658,AL136221.1
ENSG00000212025.3,-9.9658,-9.9658,AC011748.1
ENSG00000279859.2,-9.9658,-3.816,RP11-539L10.4
ENSG00000269680.1,-2.1779,-4.2934,CTD-3128G10.6
ENSG00000235944.7,2.6805,2.7095,ZNF815P
ENSG00000092067.5,-4.6082,-9.9658,CEBPE
ENSG00000269113.3,-3.6259,-4.6082,TRABD2B
ENSG00000231302.1,-9.9658,-9.9658,RPL36P2
ENSG00000268442.1,0.2881,0.7916,CTD-2027I19.2
ENSG00000244031.3,-9.9658,-9.9658,RPS3AP17
ENSG00000268957.1,-9.9658,-9.9658,SIGLEC26P
ENSG00000231392.1,-9.9658,-9.9658,LL22NC03-24A12.8
ENSG00000227879.2,-3.3076,-9.9658,PSPC1P1
ENSG00000272512.1,4.6713,1.2875,RP11-54O7.17
ENSG00000129451.11,-1.1172,-4.6082,KLK10
ENSG00000254312.1,-9.9658,-9.9658,MRPL57P7
ENSG00000117139.16,4.6095,5.1934,KDM5B
ENSG00000001460.17,-1.3183,0.537,STPG1
ENSG00000227583.1,-4.2934,-4.2934,RP11-119F7.3
ENSG00000241057.1,-0.4521,-1.0862,AC004985.12
ENSG00000268434.5,-0.0574,0.8164,AC011530.4
ENSG00000265806.1,-9.9658,-9.9658,MIR4292
ENSG00000221190.1,-9.9658,-9.9658,MIR1184-2
ENSG00000080031.9,-1.3548,1.0079,PTPRH
ENSG00000274793.1,-9.9658,-9.9658,AL353783.1
ENSG00000218476.2,-9.9658,-9.9658,RP11-108N13.1
ENSG00000168300.13,4.4602,4.4588,PCMTD1
ENSG00000234206.5,-2.6349,-2.6349,RP1-67A8.3
ENSG00000279419.1,-3.816,0.2642,RP5-907C10.3
ENSG00000196772.3,-9.9658,-9.9658,OR14A16
ENSG00000255531.1,-9.9658,-9.9658,NDUFS5P6
ENSG00000250420.8,-6.5064,-9.9658,AACSP1
ENSG00000145451.12,0.5859,-3.816,GLRA3
ENSG00000268947.1,-1.4699,-1.7322,AD000684.2
ENSG00000231982.1,0.8805,-1.5951,RP11-573D15.1
ENSG00000126391.13,3.8391,5.4506,FRMD8
ENSG00000258509.1,-9.9658,-9.9658,RP11-857B24.3
ENSG00000130589.16,3.1442,4.041,HELZ2
ENSG00000236764.4,-9.9658,-9.9658,COX7A2P2
ENSG00000106125.14,-0.013,-0.1993,FAM188B
ENSG00000076984.17,4.3292,4.8309,MAP2K7
ENSG00000226646.1,-9.9658,-9.9658,RPL7P37
ENSG00000234595.1,-9.9658,-9.9658,AC013733.3
ENSG00000271824.1,2.9413,-3.6259,AC009014.3
ENSG00000133624.13,3.5136,3.6195,ZNF767P
ENSG00000253801.2,-9.9658,-9.9658,CTD-2060F24.1
ENSG00000260590.1,-9.9658,-9.9658,RP11-244B22.7
ENSG00000233508.2,-1.7322,-3.1714,RP1-269M15.3
ENSG00000155974.11,1.6234,-0.1828,GRIP1
ENSG00000243664.1,-9.9658,-9.9658,RPS29P12
ENSG00000235976.2,-9.9658,-9.9658,RP1-197J16.1
ENSG00000267717.1,-9.9658,-9.9658,SRSF10P1
ENSG00000232002.1,-9.9658,-9.9658,AC093642.6
ENSG00000221539.1,-9.9658,-9.9658,SNORD99
ENSG00000279064.1,0.0718,-2.3884,CH507-39O4.2
ENSG00000254920.1,-9.9658,-4.6082,RP11-56P9.6
ENSG00000231378.1,-9.9658,-9.9658,NDUFAF4P4
ENSG00000257323.1,-9.9658,-9.9658,RP11-361A23.1
ENSG00000257364.1,-4.035,-9.9658,VENTXP3
ENSG00000117394.19,6.299,7.2156,SLC2A1
ENSG00000260286.3,-9.9658,-1.3548,C6orf229
ENSG00000226235.1,-5.5735,-5.5735,LEMD1-AS1
ENSG00000282520.1,-9.9658,-9.9658,IGHD3OR15-3A
ENSG00000261654.1,-4.2934,-2.4659,RP11-96K19.4
ENSG00000125084.11,-5.0116,-5.0116,WNT1
ENSG00000264799.1,-9.9658,-9.9658,AC245036.1
ENSG00000251615.3,2.6533,1.674,RP11-774O3.3
ENSG00000125743.10,6.8966,8.4759,SNRPD2
ENSG00000254227.1,-9.9658,-9.9658,RP11-622O11.4
ENSG00000259443.1,-4.2934,-9.9658,RP11-403B2.5
ENSG00000241537.1,-9.9658,-9.9658,RP11-624D20.1
ENSG00000249226.1,-9.9658,-9.9658,SUCLG2P4
ENSG00000030304.12,-6.5064,-6.5064,MUSK
ENSG00000088179.8,3.3105,2.376,PTPN4
ENSG00000172288.7,-9.9658,-9.9658,CDY1
ENSG00000270369.1,-9.9658,-9.9658,RP11-144G6.13
ENSG00000258678.1,-9.9658,-9.9658,RP11-1078H9.1
ENSG00000267182.1,-9.9658,-9.9658,SNRPCP20
ENSG00000238211.1,-9.9658,-9.9658,POLR2LP
ENSG00000248122.1,-9.9658,-9.9658,APOOP4
ENSG00000212497.1,-9.9658,-9.9658,RNA5SP465
ENSG00000280799.1,-9.9658,-9.9658,DUX4L5
ENSG00000261840.2,2.3164,2.4252,RP11-146F11.1
ENSG00000234769.7,-0.1504,-1.3183,WASH4P
ENSG00000252705.1,-9.9658,-9.9658,RNU6-175P
ENSG00000162441.11,4.2343,5.55,LZIC
ENSG00000261399.1,-0.6193,-9.9658,LA16c-329F2.1
ENSG00000258467.1,-9.9658,-9.9658,PHKBP2
ENSG00000241815.1,-9.9658,-9.9658,RP11-124D9.1
ENSG00000206344.6,0.6145,0.3573,HCG27
ENSG00000274491.1,-9.9658,-9.9658,GNAS-AS1_4
ENSG00000240877.3,-0.2671,-2.2447,RN7SL521P
ENSG00000278126.1,3.4687,3.29,RP11-454E5.4
ENSG00000278981.1,-9.9658,-9.9658,RP11-9N12.2
ENSG00000214929.3,-9.9658,-9.9658,SPATA31D1
ENSG00000009724.16,0.8961,0.9716,MASP2
ENSG00000251301.6,-4.2934,-3.6259,RP11-81H14.2
ENSG00000237424.1,0.8726,3.7302,FOXD2-AS1
ENSG00000228045.1,-9.9658,-9.9658,DNAJA1P6
ENSG00000177519.3,5.4456,4.0109,RPRM
ENSG00000164871.17,-9.9658,-9.9658,SPAG11B
ENSG00000105048.16,3.9232,5.3013,TNNT1
ENSG00000228360.1,-9.9658,-9.9658,RP11-365F18.1
ENSG00000228166.1,-9.9658,-9.9658,MTND1P11
ENSG00000275591.4,-4.035,-1.2828,XKR5
ENSG00000260414.1,-9.9658,-9.9658,RP11-1437A8.2
ENSG00000198888.2,12.9213,11.682,MT-ND1
ENSG00000134072.10,5.0153,5.6577,CAMK1
ENSG00000280483.1,-9.9658,-9.9658,AC022098.1
ENSG00000242524.1,-4.6082,-9.9658,OR2U2P
ENSG00000236878.1,-1.1488,-1.5522,AC012363.7
ENSG00000206047.2,-1.5105,-2.114,DEFA1
ENSG00000231496.1,-9.9658,-9.9658,RP1-251M9.2
ENSG00000049239.12,2.6962,3.3221,H6PD
ENSG00000178075.19,1.8484,0.8246,GRAMD1C
ENSG00000256632.3,-9.9658,-1.0262,RP13-672B3.2
ENSG00000103175.10,1.4441,0.0854,WFDC1
ENSG00000108443.13,3.7443,4.2781,RPS6KB1
ENSG00000231252.1,1.9111,1.5465,RP11-436K8.1
ENSG00000272734.1,-1.7809,-3.1714,ADIRF-AS1
ENSG00000252148.1,-9.9658,-9.9658,RNU6-1206P
ENSG00000233006.6,4.2661,0.4865,AC034220.3
ENSG00000228316.1,-9.9658,-9.9658,RP11-522L3.5
ENSG00000229406.1,-9.9658,-9.9658,OFD1P4Y
ENSG00000221523.1,-9.9658,-9.9658,AC079080.1
ENSG00000152049.6,0.24,2.0604,KCNE4
ENSG00000230707.1,-1.9379,-2.9324,RP11-364B14.3
ENSG00000266563.1,-9.9658,-9.9658,EIF1P5
ENSG00000072694.18,-2.114,-1.9379,FCGR2B
ENSG00000123364.4,-9.9658,-9.9658,HOXC13
