ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022407	GO:0022407	regulation of cell-cell adhesion	77/461	388/17653	8.7761670408396e-46	3.65806598929541e-43	2.6345297614463e-43	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/FERMT3/HLA-DPA1/LILRB2/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/TIGIT/IL10/VAV1/CD28/FXYD5/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/GPNMB/NOD2/SYK/SPINT2/SPN/IL18/LAX1/IL2RA/TRPV4/CEBPB/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/PRKCD/LAG3/ZAP70/CD300A	77
GO:0030098	GO:0030098	lymphocyte differentiation	71/461	330/17653	1.09100484367518e-44	4.16854767354226e-42	3.00217736369215e-42	CCR7/SLAMF6/CD2/LCK/CD3E/IKZF3/CD3D/CD27/LY9/IL12RB1/CD8A/CTLA4/CD74/CMTM7/IL7R/ZNF683/SPI1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/HLA-DOA/FOXP3/EOMES/CD4/RHOH/FCER1G/IKZF1/LGALS9/MAFB/IL10/VAV1/CD28/CD40LG/CD86/PTGER4/CD1D/TNFSF8/IRF4/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/IL27/BTK/NFAM1/IL15/BATF/GPR18/VNN1/DOCK2/CD79A/THEMIS/IL18R1/SYK/FLT3/SPN/IL18/IL2RA/CR1/CARD11/TGFB1/IL4R/NLRP3/FCRL3/PLCG2/LYL1/ZAP70/CLEC4D	71
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	64/461	257/17653	1.77115922155159e-44	6.2467423313954e-42	4.49888783644318e-42	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/ZAP70	64
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	68/461	315/17653	6.89604068908584e-43	2.25845332567561e-40	1.62653230388438e-40	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/IGLL5/HLA-DQB1/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/BTK/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/TNFSF13/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/CD40/CD55/CARD11/TGFB1/IL4R/NLRP3/FCRL3/ZAP70	68
GO:0030217	GO:0030217	T cell differentiation	57/461	225/17653	4.47197084898605e-40	1.36693242284007e-37	9.84461231808369e-38	CCR7/SLAMF6/CD2/LCK/CD3E/CD3D/CD27/LY9/IL12RB1/CD8A/CTLA4/CD74/IL7R/ZNF683/LILRB2/RIPK3/CD80/PTPN22/HLA-DOA/FOXP3/EOMES/CD4/RHOH/FCER1G/LGALS9/MAFB/VAV1/CD28/CD86/PTGER4/CD1D/TNFSF8/IRF4/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/IL27/IL15/BATF/GPR18/VNN1/DOCK2/THEMIS/IL18R1/SYK/SPN/IL18/IL2RA/CR1/CARD11/TGFB1/IL4R/NLRP3/ZAP70/CLEC4D	57
GO:0046651	GO:0046651	lymphocyte proliferation	60/461	260/17653	1.25639345038788e-39	3.60035248126777e-37	2.59296464070183e-37	CD3E/IKZF3/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL27/BTK/IL15/HAVCR2/SLC11A1/DOCK2/CD79A/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/SYK/FLT3/SPN/IL18/IL2RA/CD40/CEBPB/CD55/CARD11/TGFB1/FCRL3/PRKCD/ZAP70/CD300A	60
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	54/461	201/17653	1.86776538349579e-39	5.03747310784013e-37	3.62797523716799e-37	CD3E/IKZF3/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/CD74/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL27/BTK/IL15/HAVCR2/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/SYK/SPN/IL18/IL2RA/CD40/CEBPB/CD55/CARD11/TGFB1/FCRL3/ZAP70/CD300A	54
GO:0032943	GO:0032943	mononuclear cell proliferation	60/461	262/17653	2.02128107370438e-39	5.148652068297e-37	3.70804603988927e-37	CD3E/IKZF3/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL27/BTK/IL15/HAVCR2/SLC11A1/DOCK2/CD79A/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/SYK/FLT3/SPN/IL18/IL2RA/CD40/CEBPB/CD55/CARD11/TGFB1/FCRL3/PRKCD/ZAP70/CD300A	60
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	54/461	202/17653	2.49095715732725e-39	6.01107292965551e-37	4.32915933658482e-37	CD3E/IKZF3/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/CD74/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL27/BTK/IL15/HAVCR2/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/SYK/SPN/IL18/IL2RA/CD40/CEBPB/CD55/CARD11/TGFB1/FCRL3/ZAP70/CD300A	54
GO:0070663	GO:0070663	regulation of leukocyte proliferation	54/461	212/17653	4.03017842294865e-38	9.23918403460978e-36	6.65403669094206e-36	CD3E/IKZF3/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/CD74/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL27/BTK/IL15/HAVCR2/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/SYK/SPN/IL18/IL2RA/CD40/CEBPB/CD55/CARD11/TGFB1/FCRL3/ZAP70/CD300A	54
GO:0070661	GO:0070661	leukocyte proliferation	60/461	278/17653	7.75727893127422e-38	1.69367256666154e-35	1.21977864698783e-35	CD3E/IKZF3/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL27/BTK/IL15/HAVCR2/SLC11A1/DOCK2/CD79A/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/SYK/FLT3/SPN/IL18/IL2RA/CD40/CEBPB/CD55/CARD11/TGFB1/FCRL3/PRKCD/ZAP70/CD300A	60
GO:0001819	GO:0001819	positive regulation of cytokine production	70/461	411/17653	5.14491363388689e-37	1.07224677324415e-34	7.72229381315941e-35	CCR7/SLAMF6/CD2/CD3E/CD6/LY9/IL12RB1/LTB/EBI3/HLA-DPB1/TLR8/CD74/CRTAM/C3AR1/HLA-DPA1/LILRB2/CD80/GPSM3/PTPN22/FGR/FOXP3/CCR2/CD4/TLR5/FCER1G/LGALS9/TIGIT/IL10/CD28/CD40LG/CD86/PTGER4/C5AR1/ALOX15B/IRF4/TLR2/SASH3/IL27/NFAM1/IL15/HAVCR2/SLC11A1/CSF1R/PYCARD/IL18R1/NOD2/SYK/SPN/IL18/CYBB/TRPV4/CYBA/GBP5/TNFRSF8/TLR1/CD40/CEBPB/CARD11/TGFB1/PTAFR/IL4R/TLR7/IRF5/CD14/NLRP3/IRF8/CCL3/PLCG2/HPSE/RNF135	70
GO:0042119	GO:0042119	neutrophil activation	76/461	498/17653	8.91881631904282e-37	1.77794664447006e-34	1.28047262209782e-34	CCL5/STXBP2/LAIR1/TBC1D10C/C3AR1/CD68/LILRB2/PTPN6/CFD/FGR/LYZ/LILRB3/CTSS/FGL2/ARHGAP9/ADA2/DOK3/CD53/FCER1G/ITGB2/TYROBP/TRPM2/ALOX5/TNFRSF1B/C5AR1/FCGR2A/TLR2/PTPRC/OSCAR/CD33/LRG1/NCKAP1L/CTSC/NFAM1/SLC11A1/ITGAL/GRN/VNN1/DOCK2/ARHGAP45/CLEC12A/MNDA/SERPINA1/PYCARD/CTSD/SYK/HK3/CREG1/RAP2B/IL18/CYBB/SIGLEC14/CYBA/RHOG/VAMP8/FPR1/SIGLEC9/FCAR/CR1/CD55/PTAFR/OSTF1/RNASET2/CD14/PLEKHO2/GAA/IL18RAP/CTSZ/MAN2B1/PRKCD/FUCA1/HPSE/ITGAM/PLAUR/CLEC4D/CD300A	76
GO:0043312	GO:0043312	neutrophil degranulation	73/461	485/17653	6.7209221028175e-35	1.28397616005909e-32	9.24716343707829e-33	STXBP2/LAIR1/TBC1D10C/C3AR1/CD68/LILRB2/PTPN6/CFD/FGR/LYZ/LILRB3/CTSS/FGL2/ARHGAP9/ADA2/DOK3/CD53/FCER1G/ITGB2/TYROBP/TRPM2/ALOX5/TNFRSF1B/C5AR1/FCGR2A/TLR2/PTPRC/OSCAR/CD33/LRG1/NCKAP1L/CTSC/NFAM1/SLC11A1/ITGAL/GRN/VNN1/DOCK2/ARHGAP45/CLEC12A/MNDA/SERPINA1/PYCARD/CTSD/SYK/HK3/CREG1/RAP2B/CYBB/SIGLEC14/CYBA/RHOG/VAMP8/FPR1/SIGLEC9/FCAR/CR1/CD55/PTAFR/OSTF1/RNASET2/CD14/PLEKHO2/GAA/CTSZ/MAN2B1/PRKCD/FUCA1/HPSE/ITGAM/PLAUR/CLEC4D/CD300A	73
GO:0002283	GO:0002283	neutrophil activation involved in immune response	73/461	488/17653	1.02260214648971e-34	1.87545233666213e-32	1.3506959720161e-32	STXBP2/LAIR1/TBC1D10C/C3AR1/CD68/LILRB2/PTPN6/CFD/FGR/LYZ/LILRB3/CTSS/FGL2/ARHGAP9/ADA2/DOK3/CD53/FCER1G/ITGB2/TYROBP/TRPM2/ALOX5/TNFRSF1B/C5AR1/FCGR2A/TLR2/PTPRC/OSCAR/CD33/LRG1/NCKAP1L/CTSC/NFAM1/SLC11A1/ITGAL/GRN/VNN1/DOCK2/ARHGAP45/CLEC12A/MNDA/SERPINA1/PYCARD/CTSD/SYK/HK3/CREG1/RAP2B/CYBB/SIGLEC14/CYBA/RHOG/VAMP8/FPR1/SIGLEC9/FCAR/CR1/CD55/PTAFR/OSTF1/RNASET2/CD14/PLEKHO2/GAA/CTSZ/MAN2B1/PRKCD/FUCA1/HPSE/ITGAM/PLAUR/CLEC4D/CD300A	73
GO:0042129	GO:0042129	regulation of T cell proliferation	44/461	149/17653	3.1402354370842e-34	5.53768441501194e-32	3.98822614013487e-32	CD3E/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DMB/SASH3/PTPRC/NCKAP1L/IL27/IL15/HAVCR2/LILRB1/IGF1/PYCARD/CORO1A/GPNMB/SYK/SPN/IL18/IL2RA/CEBPB/CD55/CARD11/TGFB1/ZAP70	44
GO:0002446	GO:0002446	neutrophil mediated immunity	73/461	500/17653	5.30760087597909e-34	9.01309259865337e-32	6.49120621752296e-32	STXBP2/LAIR1/TBC1D10C/C3AR1/CD68/LILRB2/PTPN6/CFD/FGR/LYZ/LILRB3/CTSS/FGL2/ARHGAP9/ADA2/DOK3/CD53/FCER1G/ITGB2/TYROBP/TRPM2/ALOX5/TNFRSF1B/C5AR1/FCGR2A/TLR2/PTPRC/OSCAR/CD33/LRG1/NCKAP1L/CTSC/NFAM1/SLC11A1/ITGAL/GRN/VNN1/DOCK2/ARHGAP45/CLEC12A/MNDA/SERPINA1/PYCARD/CTSD/SYK/HK3/CREG1/RAP2B/CYBB/SIGLEC14/CYBA/RHOG/VAMP8/FPR1/SIGLEC9/FCAR/CR1/CD55/PTAFR/OSTF1/RNASET2/CD14/PLEKHO2/GAA/CTSZ/MAN2B1/PRKCD/FUCA1/HPSE/ITGAM/PLAUR/CLEC4D/CD300A	73
GO:0045785	GO:0045785	positive regulation of cell adhesion	65/461	392/17653	1.21456881943509e-33	1.98885644182497e-31	1.43236931825861e-31	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/SKAP1/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/ZAP70	65
GO:0042098	GO:0042098	T cell proliferation	46/461	174/17653	2.36224805864652e-33	3.73479563754976e-31	2.68979025770386e-31	CD3E/CCL5/CD6/IL12RB1/EBI3/CTLA4/HLA-DPB1/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/FOXP3/CCR2/CD4/RAC2/LGALS9/IL10/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DMB/SASH3/PTPRC/NCKAP1L/IL27/IL15/HAVCR2/SLC11A1/DOCK2/LILRB1/IGF1/PYCARD/CORO1A/GPNMB/SYK/SPN/IL18/IL2RA/CEBPB/CD55/CARD11/TGFB1/ZAP70	46
GO:0002697	GO:0002697	regulation of immune effector process	65/461	405/17653	9.11385897956491e-33	1.39290144737684e-30	1.00316405680334e-30	CD96/SLAMF6/SH2D1A/IL12RB1/C1QB/C1QC/C1QA/CD74/STXBP2/CRTAM/C3AR1/IL7R/WAS/ZNF683/RIPK3/CD80/PTPN6/FGR/FOXP3/CCR2/ARRB2/FCER1G/ITGB2/RAC2/LGALS9/IL10/VAV1/CD28/CD40LG/CD84/CD86/MZB1/C5AR1/IRF4/HLA-DMB/SASH3/PTPRC/ADGRE2/IL27/BTK/IL15/HAVCR2/TNFSF13/C5AR2/LILRB1/PYCARD/NOD2/SYK/IL18/IL2RA/C2/VAMP8/CD40/CR1/CD55/TGFB1/PTAFR/IL4R/NLRP3/C4BPB/IL18RAP/FCRL3/LAG3/ITGAM/CD300A	65
