,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
HALLMARK_NOTCH_SIGNALING,0.19829095108128,-0.0625515637891133,0.168371706906807,0.299561442539906,-0.278441479765204,-0.192644023502656
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.413279547808622,0.284483869629559,-0.216226668576146,-0.230686320383372,-0.354850413175717,-0.343028163890596
HALLMARK_P53_PATHWAY,-0.437932825427235,0.225705416483074,0.0273485923339249,0.142310779683862,0.240606948795919,0.129578859962262
HALLMARK_PANCREAS_BETA_CELLS,-0.290987717642536,0.246065982224759,-0.0447482581771938,0.193552143574347,0.00206604467413504,-0.201094013328832
HALLMARK_PEROXISOME,0.136005636862976,0.117305601647557,-0.0776513060190365,0.251053677813521,-0.323338024670976,-0.018422217247272
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.221868328157511,-0.0642211966262526,0.350681690763558,-0.135464515391724,-0.0181774881771671,0.0384781448415521
HALLMARK_PROTEIN_SECRETION,-0.203893190000744,0.155230666544223,0.161840607567291,0.162243168720217,-0.319892049584558,0.165543257186454
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,-0.0225860705881231,0.0762548747679331,0.187976099465113,0.0673994280366089,0.121021616907384,-0.101457424362571
HALLMARK_SPERMATOGENESIS,0.133377254819368,-0.0651091707016172,-0.0291814959813819,-0.053278268536896,0.00147232548854981,-0.0326832597864921
HALLMARK_TGF_BETA_SIGNALING,-0.286646415350428,0.246886425051552,0.236916225139465,-0.13174701225838,-0.152172806560293,0.361327478452307
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.211464916956454,-0.149847785089881,0.0639382385001145,-0.187794594884824,0.208104548174452,0.402026457881738
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.228681916827513,-0.00613373378972604,0.061981726116254,-0.10359575115354,-0.205491857299135,-0.269161026091837
HALLMARK_UV_RESPONSE_DN,-0.0340750355838652,0.155798083389363,-0.0128787515602687,-0.0770899395003104,-0.254395853222949,0.0983007435399687
HALLMARK_UV_RESPONSE_UP,-0.0847503035489642,-0.210850274541321,0.0902598960988214,-0.0985029673840085,0.0921647128287997,0.0337474628955372
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.225981227154164,0.18354164281456,-0.46229272599129,-0.273867483488139,0.202474508183117,-0.193152110297337
HALLMARK_XENOBIOTIC_METABOLISM,0.159705678100012,0.0480049350570446,-0.116741759012425,-0.0886488512783983,-0.0329177163607575,-0.117024784275204
