SYMBOL	TCGA-DD-A1EE-11	TCGA-EP-A26S-11	TCGA-DD-A114-11	TCGA-BD-A3EP-11	TCGA-ES-A2HT-11	TCGA-DD-A1EA-01	TCGA-EP-A2KB-01	TCGA-DD-AAW3-01	TCGA-BC-4073-01	TCGA-RC-A6M6-01
ARF5	122.0187417	93.161371	117.8840111	121.106345	143.3584256	124.6891049	141.1066104	288.2390049	111.6505837	304.0753993
SARM1	0.704163205	0.292582429	0.501505365	0.621242503	0.443875927	3.837726501	0.588688816	0.576232381	0.958745757	0.945238445
POLDIP2	249.9650556	270.7555288	279.8302316	228.8743539	299.4837642	504.2226772	290.9096067	482.5718818	281.437442	393.7433443
PLXND1	17.32942472	10.01350835	12.61817985	13.41441079	11.20811529	28.21132254	19.13772936	23.27367838	26.65250028	45.93048213
AK2	49.19515516	48.29450319	75.35310443	53.89167999	75.40723552	56.0872723	31.54159967	89.31133427	80.54516408	33.31658115
CD38	2.697630337	0.58886032	4.447992538	1.415219501	3.192482811	5.086427737	0.314046837	0.361331851	6.535083204	0.393519277
FKBP4	51.21265978	50.0988456	41.16002933	43.59805609	42.76270753	60.68909993	44.79943853	83.50618142	118.1276539	139.248097
KDM1A	12.86157569	8.930435755	16.13826336	13.50491399	16.30050067	31.43869557	24.4860404	29.35359688	30.2151884	26.70518395
RBM6	9.40071606	5.081879547	13.38566719	8.949927167	11.26556648	22.83555218	14.52668955	18.68752622	17.40028727	19.99424861
CAMKK1	0.495566753	0.320996114	0.921215019	0.516623035	0.583574685	0.555510294	0.296567637	0.515622639	1.831958062	0.576056402
RECQL	5.971047091	3.849026422	7.965071818	5.314848152	6.542411587	23.37041085	5.568724184	7.331016169	30.37818046	15.79555709
HSPB6	23.276824	16.26788127	17.87221333	20.13303885	22.64351113	1.905075954	1.875253542	4.119062922	4.780403798	1.451911228
ARHGAP33	1.233234278	0.14793669	1.549415943	0.428920757	1.541725006	4.080629231	3.320715567	1.262866059	3.799073592	4.065249743
NDUFAB1	73.33970623	89.54769626	95.03499795	77.55423438	97.65389147	104.8601432	48.40721958	139.3976707	85.48751945	161.8956003
PDK4	207.2622796	214.1992073	158.9332854	53.61974546	53.50398514	316.3456401	82.00345781	48.78219861	24.22213224	486.3173284
SLC22A16	0	0.024895924	0.04376184	0.019248555	0	0	0.075137553	0	0.122142054	0.01684016
ZMYND10	0.193201485	0.024262503	0.255890508	0.056276458	0.152404024	0.490976422	0.488172309	0.561674831	0.401741181	0.278998893
ABCB5	0	0.005253774	0	0	0	0	0.010570826	0	0.167541241	0.007107541
ARX	0	0	0.099082932	0	0.038626105	0.032590312	0	0	0.020741003	0.045754175
SLC25A13	89.85032284	77.84091661	110.0677306	132.1646285	109.2471816	175.6864126	55.8902753	222.7780193	81.64647334	463.1684768
ST7	14.80561479	17.13233364	14.47213947	17.18919126	14.51633429	23.36987359	10.06553629	24.68179323	13.49272718	44.63720842
CDC27	11.64824959	8.19597226	16.38617965	15.42874392	16.57213874	45.65616142	19.10048559	20.12851967	42.60544936	17.14282346
SLC4A1	0.036624965	0.01839765	0.129356919	0.014224344	0.021011666	0.212740088	0.101796438	0	0.056413018	0.012444582
CALCR	0.095812067	0.036096625	0.056400299	0.037211334	0	0.02318895	0	0	0.236125188	12.48500352
HCCS	22.39047999	19.09959281	22.9922644	25.7014461	27.92678985	65.18933309	15.38007244	29.99124701	33.33820941	36.8843705
DVL2	4.668984721	3.454390831	4.58070581	5.004235843	4.111319318	19.42921089	22.17722318	22.53858841	10.02361906	12.90064191
PRSS22	0.93289324	0.570488994	1.026676836	3.497132708	1.768483362	0	0	0.141501114	0.149939989	9.151141673
UPF1	24.5760348	15.90224802	23.78442925	26.82862761	21.84959299	40.59805466	46.44089185	49.47313877	38.21833748	72.06028242
SKAP2	10.05013911	4.995576786	13.79383757	5.953658397	9.146703695	38.39183609	5.849975724	19.47849139	28.99347285	13.65951106
SLC25A5	321.3069814	550.3120339	459.8535053	370.4554265	525.3383608	889.5576899	624.6682078	486.9043592	700.9007264	631.1886039
HOXA11	0	0	0	0	0	0	0	0	0	0
POLR2J	42.87148075	53.65912112	38.19128582	48.95204543	51.11718898	70.76422205	76.69453582	118.7364219	51.2427382	274.88021
DHX33	6.776607058	4.712679195	8.055820349	5.865715357	6.933583223	8.619560276	13.69824635	11.31245823	11.62140459	7.843350217
MEOX1	0.143063309	0.125762581	0.126322503	0.083344041	0.533488297	1.004123521	0.054222833	0.207956631	2.159516186	0.194442567
THSD7A	0.646694196	0.253650713	4.589020241	0.371582188	0.259196752	0.934810259	2.274220094	0.412069612	3.220254748	1.204035201
LIG3	3.379902501	1.825805445	2.324874125	2.817461672	2.51086726	16.11376621	3.435006751	7.791115532	6.995236115	8.78516283
RPAP3	6.819189303	4.51002772	8.737932462	6.946002735	8.619127167	14.47489526	9.93816896	13.45361529	15.19823328	12.31277923
ACSM3	21.68566872	15.78652519	18.51418421	36.00605692	9.37337354	14.3674194	12.42880177	8.852141105	1.944648049	3.070185859
CIAPIN1	15.64430303	14.10931948	20.33474299	17.12398995	26.41878092	28.55431427	18.93501301	39.5292308	50.31841891	62.43821509
SPPL2B	9.288019119	3.901648638	11.53438726	6.507844803	9.6365144	20.9544461	22.25392525	15.47488997	14.95042939	14.82913986
FAM214B	2.991103545	2.314468239	6.046949869	3.602381114	4.480640256	9.242813815	6.305782426	7.747103208	9.195711054	3.736807503
COPZ2	27.66978484	27.69337265	30.02036194	29.0496682	24.30627488	13.21634864	12.74059838	34.73127393	14.08295079	36.82501656
PRKAR2B	2.35430752	1.869679248	2.982933203	2.298967578	2.096740922	0.716322677	0.056654782	0.365036609	1.713001293	9.218544381
MSL3	4.426566183	3.174398886	6.430958181	5.394875836	5.968280297	12.55308977	6.274053118	5.944825726	8.090000262	5.084489035
CREBBP	12.8829492	7.491368949	11.85767822	11.53415776	7.383548683	33.2296426	9.345109277	13.95764937	22.50970935	10.07352798
MPO	0.3020417	0.055172078	0.226289006	0.17062758	0.094516743	0.079747366	0.138760833	0	0.253762588	0.074639255
PON1	668.393558	702.259109	853.6398205	529.6684674	746.6908687	105.9093073	102.0177777	1001.800125	309.9878588	466.8575383
GCFC2	8.273385162	6.380734101	8.269909331	7.004371453	9.60464787	13.65212637	16.92975092	21.13723707	12.27950894	12.07536817
WDR54	2.471231071	2.159629969	1.952889946	1.604003661	2.583005987	2.720128729	4.379485959	1.25972274	28.82442505	19.6233257
CROT	17.73410359	13.36243571	18.26873549	19.77147516	13.37571054	23.58774058	44.09234017	24.76070562	13.04681178	35.73174082
ABCB4	68.77004464	27.30886811	141.2568377	40.05065216	166.4996047	43.23775028	9.989113508	140.3966163	48.80184833	9.165927634
KMT2E	7.937972185	4.761757259	10.38247474	9.228447111	7.333320651	22.04927852	8.319668517	24.48566463	30.32626273	12.44914954
RHBDD2	83.05493195	70.59030048	144.3607714	73.41719982	125.0373389	83.28545653	64.9220724	134.0813198	134.2822349	355.1447679
SOX8	0.109226189	0.032920253	0.141452511	0.33936871	0.20052108	0	0.011039501	0.025403366	0.080755134	0.02969066
IBTK	21.56816747	18.45667943	30.63298003	41.47348661	21.30834203	57.35331415	24.59816563	19.67251606	86.4811378	16.30152742
ZNF195	2.832128517	2.095640205	4.132929767	3.372263295	4.699232066	7.814915883	4.550757402	6.961545825	17.16706944	4.713601672
MYCBP2	6.940299873	4.13291458	7.459601929	5.310744649	4.897794983	15.54226557	2.33205224	4.377822911	14.54148168	4.683396771
FBXL3	17.36218292	10.74045016	13.8336786	11.58538262	8.682234336	19.77297754	9.451035208	14.16487693	17.09852938	10.73968456
ITGAL	13.65805313	7.79259141	26.07459826	9.528332351	11.49163632	31.817712	21.07674139	2.087534979	34.98697049	12.56520494
PDK2	21.72710375	17.14308497	19.81895818	27.62011777	14.39025028	60.12657454	47.40060939	30.5656864	12.9837243	15.72537851
ITGA3	3.121252572	1.017140203	3.732828669	2.025493165	5.649633366	2.103707623	1.058206364	1.458747238	14.17338009	18.79459395
ZFX	5.978145011	3.14827921	7.183186939	6.649118153	6.330714778	11.606017	15.30561315	9.705193513	16.13887377	4.317377514
LAMP2	118.3857874	110.8042726	240.820654	115.228586	334.1003064	364.8098411	35.97370325	206.6349357	312.3750044	103.1804502
ITGA2B	0.087207795	0.096374717	0.112937764	0.054191393	0.020012372	0.084425993	0.0264423	0.060847263	0.010746014	0.746721982
ASB4	0.60971221	0.707598373	0.334157995	0.310288386	0.603087288	2.910608552	0.201870646	4.327475878	0.388606682	9.529844486
GDE1	23.61256505	20.02195458	27.02497742	19.58440262	24.27549248	35.89152743	12.03233643	19.65695924	40.21317959	34.700045
CRLF1	0.09624065	0.354523561	0.358799718	0.47345196	1.288304754	0.434796659	0.35665856	1.268383855	1.245202424	39.54646435
OSBPL7	1.04596541	0.310808862	1.639011408	0.377622565	1.572009602	1.055386569	1.369838835	0.599599847	1.706392517	2.082357994
TMEM98	7.746194144	3.862981477	13.87729529	10.22149504	13.70671954	1.481750227	31.27861251	0.737995465	17.88268756	8.536668764
YBX2	0.37737672	0.568697722	0.987310568	0.732824767	1.094528989	0.162372866	0.476768761	12.77521984	3.113018901	13.62051654
KRT33A	0	0	0	0	0	0	0	0	0	0
MAP3K14	5.856733644	7.105644161	7.917789567	45.86525197	9.538971456	51.18937786	2.859374203	6.849150423	22.08885668	5.464136828
ABCC8	0.128557516	0	0.050450725	0.011095324	0.049168787	0.069142621	0	0	0.149611852	0.097070675
CACNG3	0.03135301	0	0.018456121	0	0.017987156	0	0	0	0.038634149	0
TMEM132A	0.99867378	0.26755157	1.089527967	0.899842832	1.161152464	2.101216768	1.366001258	0.789708941	3.101103768	21.60875732
AP2B1	33.56156416	19.69854432	36.31234443	27.93267048	33.17871959	140.1189767	62.25674586	49.57896034	73.30790768	57.18320236
TAC1	0	0.051519266	0.060373414	0.039832683	0.764911452	0	0.051829523	0	0.031594876	0.139395135
ZNF263	6.649709266	3.361326079	7.886219571	6.76782812	7.821794644	17.26138712	9.165459708	13.64994386	12.34250073	9.625229027
CX3CL1	13.35031382	15.41207053	14.44102186	25.36551664	26.4306759	21.90108177	25.39170172	16.10815447	5.802599888	11.57974465
SPATA20	31.98244328	24.55857844	23.42918316	16.95157197	27.90226224	38.61939133	15.96065736	27.84631633	12.02634649	63.60012062
CACNA1G	0	0	0.011740139	0.015491628	0.017162737	0	0	0	0.055295101	0.115203065
TNFRSF12A	20.01326403	11.15849305	35.37359328	189.3531956	160.7118951	46.66199025	39.55467647	203.7301598	130.7934855	133.0843367
DLX6	0	0.014100953	0	0	0	0	0	0	0	0.0572292
MAP3K9	0.680056046	0.981636257	0.52455557	0.795393016	0.596431223	2.535076851	0.474022958	0.936261517	3.231544107	4.286788661
RALA	15.77091463	12.40735732	21.36635701	17.09277499	22.14195898	29.41042223	20.71891191	39.96633658	47.08614093	41.88228561
BAIAP2L1	21.18778631	14.07938419	32.35672715	41.42652195	45.33381254	25.25897246	39.59645928	60.77578042	103.0032464	124.5954271
KDM7A	8.798844813	3.88867198	5.717381483	12.74402561	5.100890541	6.331478518	2.023494929	9.241028121	17.49049443	4.67468901
ETV1	2.335877477	1.234062142	2.240345877	1.493758762	0.722030201	2.787718881	0.417223348	1.475255065	5.63261461	2.647927711
AGK	5.013186784	3.65480676	9.532120094	5.708941609	8.483937569	12.0114937	5.844045899	15.04723612	10.46878622	7.064844354
ALDH3B1	4.339718371	2.268029534	5.24681958	3.677351398	7.980412162	6.959708809	3.344998879	1.682188993	16.90685391	5.431571602
TTC22	2.222578872	1.510029248	3.200239613	2.595814726	4.834329776	10.65005103	0.436343809	4.648543347	4.97503195	7.801891583
PHTF2	2.36278254	1.485013334	3.948474324	2.226723474	2.107164386	4.574826392	2.422020105	3.59405629	12.30140609	7.784845838
CCL26	0.137136111	0.06888695	0.161451848	0.31956419	0.157349403	0.132761667	0	0.318945382	10.13900153	0.83874013
FARP2	4.883560283	2.21693337	5.468717892	4.090752734	3.718884853	6.613691976	3.425200397	3.421454333	3.902796884	3.693037769
USH1C	1.263531407	0.386772692	1.104055412	1.073468072	2.616383028	8.753715235	0.029930915	0.114791721	28.47538441	4.977520557
GGCT	21.64311808	22.71828634	30.72670299	26.98306373	38.22368745	23.47645258	30.2079466	86.64389964	45.68148195	70.40877053
DBF4	1.30978002	0.753442561	2.163800008	2.362948129	2.084579174	2.945032101	2.797052642	6.583789859	9.371331109	10.58052566
TBXA2R	8.492815266	4.823369035	8.039758679	7.727740223	9.187785443	2.516910229	0.945958383	3.910135635	1.110583077	1.507643475
IFRD1	3.361290486	1.630014803	4.771571515	3.615099237	5.30300475	4.843558311	5.781874306	14.29709195	13.54078163	39.21840884
LGALS14	0	0	0	0	0	0	0	0	0.165851137	0.548795674
COX10	7.722250249	6.868888916	13.47552865	10.24217334	20.11993878	17.67036024	15.17788038	10.93222501	9.816484108	8.110230417
GTF2IRD1	1.430368887	1.279847018	2.622462027	2.43041894	2.795167581	7.168925708	8.990292585	9.772156665	11.9797967	11.26951099
PAF1	51.78389062	45.44416321	54.87771326	55.55745617	56.23135696	80.16913781	80.45092007	86.04436312	71.88094789	59.35808471
VPS41	11.29399636	7.7243632	13.64722404	9.871683709	11.66281601	30.42221432	8.235000963	20.14773195	17.39601472	14.59944694
ARHGAP44	0.615479749	0.335372045	0.620217946	0.575314247	0.981496783	1.080603583	0.405924401	0.279012774	0.662004735	0.326101407
ELAC2	24.53640586	20.08986656	30.85409711	24.11983544	31.74212359	20.68110823	38.5633216	41.50396797	19.91191239	33.00613156
SCIN	0.024989614	0.066948893	0.107875338	0.019410851	0.038230639	0.064513284	0.029466531	0.048433158	1.088018467	0.147178619
ARSD	30.94598254	25.20260912	23.12938971	58.6335285	20.59012064	173.8866613	18.84005372	30.50919009	29.27402326	13.98250189
PNPLA4	14.74358654	17.9357114	12.98521417	24.54350803	10.1371244	39.66012699	11.97227337	26.4373373	6.86482004	13.36540482
MYH13	0	0	0	0	0.008748518	0	0	0	0.028186073	0.010362971
ADIPOR2	49.54556428	52.5725795	131.4667134	131.2553461	75.870279	65.40989807	62.19514542	84.96752728	210.6969498	51.26553695
CDKL3	0.22169665	0.270455078	0.447438685	0.172204365	0.145356465	0.766517312	0.832256338	0.515612718	0.370746283	0.430451446
UPP2	2.881296001	0.164471379	141.3537414	1.32249358	62.21266542	8.590043526	2.829397673	0.152299925	0.020172853	1.179272468
PRSS21	0.098442394	0.098900227	0.144871638	0.076465792	0.084714295	0.428860006	0.04974791	0	0.424563172	111.7871026
MARK4	8.450529503	7.468717334	8.752297927	8.447491818	10.4208111	26.6514069	20.28844447	23.99327384	24.85165373	13.95222375
PROM1	3.034519224	0.700007799	2.238607847	2.083944828	1.247767643	0.025216502	0.006581527	0.015144972	0.465397537	3.186174505
CCDC124	44.09305969	45.23565317	52.87256258	45.6208041	62.60449323	103.2721017	91.42877722	102.142835	83.4756415	355.0525076
CEACAM21	2.216439197	0.93624605	3.469366698	1.095585312	1.38716352	2.584638948	0.254563318	0.292892091	4.53125096	0.616181615
PAFAH1B1	21.22921663	15.72666945	26.14347845	23.47641406	24.74104936	31.62383889	28.30148328	29.02316637	27.58323246	19.7213499
NOS2	0.208659685	0.104815058	1.828782408	0.360172922	0.319220341	4.7583104	0.80842141	0.700977183	0.285685468	0.488417052
DNAH9	0.02280756	0.002864204	0.023495142	0.008857963	0.022898138	0	0.005762906	0	0.031617204	0
KIAA0100	17.90636758	22.38173183	11.57746992	22.23956835	12.97939189	57.22233425	14.82911403	20.46938621	29.34434909	44.94117253
SLC13A2	0.57022436	0.618103427	2.172993741	4.056266105	3.047535043	0.087163426	8.038235257	0.139600397	1.294351766	0.42829652
GAS7	1.744642883	0.996760064	2.606983778	1.414730708	1.561840827	2.72837056	0.532869076	0.590806847	6.868738528	1.068346394
TRAPPC6A	49.08355678	73.91562352	51.06723698	81.81368452	50.54356274	125.2743644	127.1684287	81.81615656	51.2117381	62.90321238
MATK	2.267895465	1.010031407	3.537086005	1.925050771	1.93151047	1.991841789	0.697101452	0.598147751	2.203965763	1.31875001
CEACAM7	0	0	0	0.28389621	0.733881417	0	0	0	0.135110137	0.074512462
CD79B	9.169790636	3.577418541	5.452648077	5.821087056	6.462370242	6.714293655	2.469876114	2.327534593	7.112249597	2.688717692
SCN4A	0.223056116	0.064869171	0.131303207	0.045594826	0.047145674	0.852398481	0.154250493	1.283284306	0.802870735	0.183493826
ST7L	1.515953389	2.14059976	1.538818648	1.539129775	2.458441351	3.281869719	1.019439623	4.011570835	2.07392645	1.768364168
TKTL1	0.106102021	0.519652954	0.046843153	0.185434782	0.030435254	0.07703814	0.013404677	0.061691901	2.467758897	1.009449917
PAX6	0.189942141	0.213856186	0.223620968	0.203501843	0.180363164	0.640421014	0.403808856	0.464609046	0.165450964	0.089019759
RPUSD1	8.881110828	6.340534994	9.529623931	7.387330029	12.15596591	24.03326588	15.84961413	26.26640196	15.94143481	27.58664449
RHBDF1	3.034185283	1.454868833	4.210068867	3.428107399	7.290618402	2.384252567	5.386557734	7.354631274	8.642979541	10.45696118
LUC7L	4.593215925	1.708811288	5.33381905	4.955970073	6.475376339	7.421282603	9.094604276	7.474249538	9.822732317	6.53044538
CACNA2D2	0.168459196	0.338485323	0.396657721	0.4282423	0.175717619	0.281693294	0.170261869	0.2315154	0.547258034	0.312216879
BAIAP3	7.073108399	5.926945304	4.469636546	6.118134239	5.37729936	10.85837499	1.528473378	19.67445674	4.940192476	13.40298054
TSR3	55.53604267	60.21561813	60.70641459	53.78636387	73.23988098	105.4930828	85.84870394	111.5913684	68.43323024	132.5417835
PIGQ	15.82860964	9.317599315	18.95878123	13.58688246	16.64955518	17.17946408	11.63878758	21.93075691	15.27534285	12.26044031
TEAD3	10.33022999	4.598373529	8.382350994	12.71507374	11.36051325	29.78673189	25.49154944	78.80401141	20.62135106	25.55315091
SELE	1.435906302	6.046125718	2.324448849	3.214832015	0.763204662	3.536585494	0.053355583	1.006782228	0.429331984	0.014349946
DNAJC11	12.51416246	9.261832132	13.52212434	11.3035485	11.2443685	31.77185456	7.79675909	19.24822518	25.27808866	22.41905963
FMO3	465.4705306	361.1681719	565.5473163	391.2003369	474.3643759	1307.885749	159.1012798	656.0193507	32.50409301	5.034808962
MYLIP	4.213646031	3.126827038	5.674822209	3.471340208	5.475686594	6.211565157	3.629604577	3.860574635	20.65073588	3.839639672
NOX1	0.612530449	0.384611994	0.540854116	0.356840361	0.395333376	1.0747973	0.677124333	0.66778007	0.259455272	0.182112109
E2F2	0.106452	0.044561285	0.960841164	0.096468525	0.437677586	1.803485867	0.690376464	0.598322132	4.394310521	1.700022906
PSMB1	126.6445902	154.4609697	157.4367357	139.507617	191.0075284	260.9143386	253.0501105	121.6206885	258.8319455	193.125533
SYN1	4.525619852	0.212177817	0.781449084	6.022890389	1.990526337	0.058416788	0.274442896	0.210509916	0.70637045	0.471571699
JARID2	4.683967641	2.829919426	4.728056319	4.926087746	3.859939121	17.3123421	10.89979607	10.29480398	18.71349528	11.86816897
CDKL5	1.021287912	0.537892488	1.122215239	1.139456153	0.965864997	7.885713707	1.623395293	1.943401379	1.716085318	0.500546344
CAMK1G	0.144720619	0.199916313	0.149083527	0.393444501	0.207564795	0.350260601	0.2194039	0.126219417	0.624152286	0.245868847
CDK11A	1.688807426	0.858676345	2.412573495	2.671577476	2.410347843	4.406354363	2.362570691	3.305063889	2.372848436	6.214158598
NADK	50.02557893	32.54212098	42.43229945	50.21257998	39.9979075	53.91563324	26.97576859	66.03663928	34.93392673	70.37767541
TFAP2B	0	0	0	0	0	0	0.007956915	0	0	0
DLEC1	0.255456712	0.204149261	0.198222904	0.117252744	0.466311316	0.314755653	0.979949705	0.121526683	0.150236704	0.189382116
CYTH3	3.467314662	2.394865254	2.973265885	2.809795285	3.308943076	9.908756624	1.794329519	5.912406088	6.285552497	4.871149538
ADAM22	0.119048398	0.055814297	0.112125589	0.055482987	0.040978691	2.620037732	0.176472749	0.046146291	0.435195523	0.587884325
SYPL1	50.17630643	45.57061588	89.26241625	46.56517663	131.1673409	136.1328821	51.18605036	167.3503223	181.3445459	141.8326037
CYB561	9.772803852	4.78114279	13.32681826	9.683235462	12.75849297	60.00817368	3.347641611	2.095147419	48.58427208	35.07391203
SPAG9	11.21707584	10.68382869	11.71483438	15.89199867	10.11712073	34.95179775	11.98739792	10.88890679	13.13890463	16.73599216
CELSR3	0.139577732	0.049079407	0.188975356	0.108417943	0.180169773	0.918852752	0.486696145	0.503167205	2.958262413	0.588086098
AASS	20.64581008	21.71641968	13.295354	15.03754506	6.073460752	62.98327999	1.428060845	29.67352234	2.533646156	22.58595896
PLEKHG6	1.840907422	1.940800878	6.07384886	5.472599268	8.005686458	0.66006857	7.419457048	7.84942554	2.184407418	12.89634048
SS18L2	20.83709941	25.83107072	25.75833319	23.23754853	29.2877915	26.72846457	37.79531518	45.08701157	30.53624111	40.25551484
MPND	31.09141331	45.28747107	28.76049175	44.37372584	23.31289984	96.06268792	89.66381001	66.04706651	29.17053583	35.06471345
MGST1	266.8093255	330.248353	407.8717468	320.9517172	328.1446086	313.6040781	80.99271376	333.7832442	232.0941916	194.6243863
CRY1	8.320006105	4.515619864	6.079800743	7.354016694	4.784143011	10.40618573	6.2922802	10.18671981	11.54842022	5.550030227
PGLYRP1	0.403408725	1.215854668	0.395781267	0.835601179	0	0.13018019	0	0.312743666	0.579941499	0.091381255
NFIX	20.72478719	15.04094413	26.45240715	26.21761679	17.7332927	140.3715102	15.06164951	54.6145128	31.81330265	5.825663753
ST3GAL1	74.08042731	87.95271752	49.34039885	55.91415378	32.70682825	146.9459789	59.92431001	97.76777599	38.62391594	5.155623831
MMP25	0.633564842	3.123620813	1.408927595	1.148293428	1.42697527	2.248968482	0.652202819	0.436598041	4.409499109	0.510282141
IL32	215.8720669	55.42387683	303.1312038	45.58179692	566.5903402	426.7930558	33.84795722	200.8264595	401.9805523	50.39666241
