Rank	Score	Type	ID	Name	Description
98	94.45	cp	BRD-A65440446	cimaterol	Adrenergic receptor agonist
99	94.43	cp	BRD-K18895904	olanzapine	Dopamine receptor antagonist
102	94.32	cp	BRD-K28470988	L-690330	Inositol monophosphatase inhibitor
105	94.21	cp	BRD-K02407574	parbendazole	Tubulin inhibitor
109	93.81	cp	BRD-K99964838	bosutinib	ABL inhibitor
120	93.08	cp	BRD-K72034655	peucedanin	Apoptosis stimulant
124	92.66	cp	BRD-K86191271	cytosporone-b	NUR77 receptor agonist
125	92.61	cp	BRD-K63915849	AS-604850	PI3K inhibitor
126	92.53	cp	BRD-K29733039	deforolimus	MTOR inhibitor
127	92.45	cp	BRD-K41996876	tyrphostin-1	EGFR inhibitor
131	92.08	cp	BRD-A62057054	MDL-11939	Serotonin receptor antagonist
132	91.93	cp	BRD-K91696562	orantinib	FGFR inhibitor
136	91.6	cp	BRD-K99696746	fatostatin	SREBP inhibitor
140	91.23	cp	BRD-A51393488	noscapine	Bradykinin receptor antagonist
141	90.72	cp	BRD-A80383043	BRD-A80383043	Glutamate receptor agonist
143	90.7	cp	BRD-K38449220	seneciphylline	Cytochrome P450 inhibitor
149	90.17	cp	BRD-A48809242	IB-MECA	Adenosine receptor agonist
150	90.14	cp	BRD-K36864847	BD-1047	Adrenergic receptor antagonist
151	90.09	cp	BRD-K40213712	SAL-1	Adenosine receptor antagonist
152	90.06	cp	BRD-M47937986	cefatrizine	Bacterial cell wall synthesis inhibitor
155	89.7	cp	BRD-K79131256	albendazole	Anthelmintic
156	89.66	cp	BRD-A09925278	etilefrine	Adrenergic receptor agonist
160	89.38	cp	BRD-K29582115	ziprasidone	Dopamine receptor antagonist
161	89.25	cp	BRD-K19554809	MK-212	Serotonin receptor agonist
165	89.03	cp	BRD-K84085265	CG-930	JNK inhibitor
167	88.99	cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor
170	88.87	cp	BRD-K52512893	SC-19220	Prostanoid receptor antagonist
171	88.76	cp	BRD-A50157456	terbutaline	Adrenergic receptor agonist
175	88.43	cp	BRD-A54029483	IRL-2500	Endothelin receptor antagonist
177	88.4	cp	BRD-K34508425	KUC103898N	-666
178	88.32	cp	BRD-K68867920	quetiapine	Dopamine receptor antagonist
189	87.34	cp	BRD-A35108200	dexamethasone	Glucocorticoid receptor agonist
190	87.29	cp	BRD-K35687265	ON-01910	PLK inhibitor
191	87.26	cp	BRD-K33396764	alpha-linolenic-acid	Omega 3 fatty acid stimulant
196	86.96	cp	BRD-K83963101	MLN-8054	Aurora kinase inhibitor
197	86.96	cp	BRD-K08703257	3-amino-benzamide	PARP inhibitor
200	86.82	cp	BRD-K75181824	acetyl-geranygeranyl-cysteine	Inhibitor of methyl esterification of geranylgeranylated proteins
203	86.58	cp	BRD-K63923597	barasertib	Aurora kinase inhibitor
204	86.55	cp	BRD-K89014967	AS-703026	MEK inhibitor
208	85.99	cp	BRD-U94846492	quinine	Hemozoin biocrystallization inhibitor
214	85.75	cp	BRD-K43164539	cholic-acid	Bile acid
216	85.7	cp	BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	NFkB pathway inhibitor
221	85.11	cp	BRD-K59597909	phenothiazine	Dopamine receptor antagonist
226	84.69	cp	BRD-K01779529	fluoropyruvate	Pyruvate dehydrogenase kinase inhibitor
227	84.54	cp	BRD-K20152659	gamma-homolinolenic-acid	Cholesterol inhibitor
228	84.48	cp	BRD-K44084986	Y-27632	Rho associated kinase inhibitor
230	84.35	cp	BRD-K62965247	tipifarnib-P2	farnesyltransferase inhibitor
238	83.88	cp	BRD-A00267231	hemado	Adenosine receptor agonist
243	83.56	cp	BRD-K45252063	clofibrate	PPAR receptor agonist
244	83.53	cp	BRD-K70241288	L-692585	Growth hormone releasing peptide ligand agonist
246	83.4	cp	BRD-K61341215	vecuronium	Acetylcholine receptor antagonist
249	83.07	cp	BRD-K72264770	QW-BI-011	Histone lysine methyltransferase inhibitor
251	83.05	cp	BRD-K54416256	methimazole	Antithyroid
254	82.9	cp	BRD-K87049188	fusaric-acid	Dopamine beta hydroxylase inhibitor
257	82.81	cp	BRD-K41260949	valproic-acid	HDAC inhibitor
258	82.69	cp	BRD-K38323065	phenacetin	Cyclooxygenase inhibitor
261	82.46	cp	BRD-K01663662	diphenidol	Acetylcholine receptor agonist
264	82.06	cp	BRD-A01317026	7,8-dihydro-L-biopterin	Dihydroneopterin aldolase inhibitor
265	82.06	cp	BRD-K39733634	L-161982	Prostanoid receptor antagonist
266	81.98	cp	BRD-A15493168	tetracycline	Bacterial 30S ribosomal subunit inhibitor
270	81.65	cp	BRD-K55191674	benzylpenicillin	Penicillin binding protein inhibitor
271	81.61	cp	BRD-K32710582	EI-247	IGF-1 inhibitor
272	81.61	cp	BRD-K76698671	HNHA	HDAC inhibitor
279	81.38	cp	BRD-K81376179	TCS-359	FLT3 inhibitor
283	81.14	cp	BRD-A32836748	leu-enkephalin	Opioid receptor agonist
284	81.08	cp	BRD-K70881766	solanine	Acetylcholinesterase inhibitor
288	80.94	cp	BRD-K62353524	DY-131	Estrogen receptor agonist
289	80.9	cp	BRD-U88459701	atorvastatin	HMGCR inhibitor
291	80.71	cp	BRD-K50720187	flupirtine	Glutamate receptor antagonist
292	80.68	cp	BRD-A72703248	SKF-96365	Calcium channel blocker
295	80.17	cp	BRD-A03359064	ICI-89406	Adrenergic receptor antagonist
297	80.13	cp	BRD-K12762134	XAV-939	Tankyrase inhibitor
300	79.85	cp	BRD-K13571841	pepstatin	Aspartic protease inhibitor
309	79.4	cp	BRD-K04010869	prostaglandin-a1	HSP inducer
310	79.31	cp	BRD-A15435692	BMY-14802	Sigma receptor antagonist
311	79.26	cp	BRD-K20714604	RS-56812	Serotonin receptor partial agonist
314	79.07	cp	BRD-K92726801	hydrastinine	Haemostatic agent
315	79.02	cp	BRD-K37130656	rivaroxaban	Coagulation inhibitor
316	79	cp	BRD-K82941592	rosuvastatin	HMGCR inhibitor
318	78.84	cp	BRD-K07996107	harpagoside	Acetylcholinesterase inhibitor
321	78.63	cp	BRD-A80574334	oxalomalic-acid	Isocitrate dehydrogenase inhibitor
323	78.59	cp	BRD-K79437791	acetyl-farnesyl-cysteine	Inhibitor of methylation of endogenous isoprenylated proteins
331	77.8	cp	BRD-K56450366	NSC-94258	Antineoplastic
333	77.68	cp	BRD-K24656285	farnesol	FXR agonist
334	77.55	cp	BRD-K93176058	AC-55649	Retinoid receptor agonist
337	77.4	cp	BRD-K59331372	SB-366791	TRPV antagonist
338	77.37	cp	BRD-K81062487	taurocholic-acid	Bile acid
339	77.21	cp	BRD-K55420858	mirin	MRE11A exonuclease inhibitor
340	77.18	cp	BRD-K57546357	prunetin	Breast cancer resistance protein inhibitor
342	77.08	cp	BRD-K14791739	fluticasone	Glucocorticoid receptor agonist
343	77.07	cp	BRD-K56064827	EI-273	PKC inhibitor
353	76.38	cp	BRD-K15262564	mupirocin	Isoleucyl-tRNA synthetase inhibitor
355	76.23	cp	BRD-A99571536	dubinidine	Anti-epileptic
358	75.82	cp	BRD-K11107424	tiotidine	Histamine receptor antagonist
360	75.76	cp	BRD-A59215453	lobelanidine	Acetylcholine receptor antagonist
361	75.65	cp	BRD-K26373640	IKK-2-inhibitor	IKK inhibitor
362	75.65	cp	BRD-K82484965	carmoxirole	Dopamine receptor agonist
364	75.63	cp	BRD-A41250306	cyclopenthiazide	Thiazide diuretic
366	75.36	cp	BRD-K28428262	brivanib	FGFR inhibitor
369	75.2	cp	BRD-K45446451	JZL-184	Monoacylglucerol lipase inhibitor
373	74.95	cp	BRD-K43797669	genistein	Tyrosine kinase inhibitor
375	74.77	cp	BRD-A09062839	amylocaine	Local anesthetic
376	74.72	cp	BRD-K61314889	IWR-1-ENDO	PARP inhibitor
382	74.2	cp	BRD-K40227168	vinburnine	Adrenergic receptor antagonist
383	74.09	cp	BRD-K33453211	levocabastine	Histamine receptor antagonist
391	73.54	cp	BRD-K36395411	SB-206553	Serotonin receptor antagonist
410	72.8	cp	BRD-K12244279	MEK1-2-inhibitor	MEK inhibitor
412	72.73	cp	BRD-K90574421	ipsapirone	Serotonin receptor agonist
419	72.32	cp	BRD-A18043272	phensuximide	Succinimide antiepileptic
421	72	cp	BRD-K43149758	myricetin	Androgen receptor agonist
422	71.83	cp	BRD-K95655893	MAZ-51	VEGFR inhibitor
424	71.69	cp	BRD-K24994810	androstenol	GABA receptor modulator
433	71.22	cp	BRD-K03981224	ethisterone	Progestogen hormone
436	71.15	cp	BRD-K32536677	AGK-2	SIRT inhibitor
444	70.79	cp	BRD-K67847053	guanabenz	Adrenergic receptor agonist
453	69.81	cp	BRD-K32107296	temozolomide	DNA alkylating agent
455	69.61	cp	BRD-K62206109	VUF-5681	Histamine receptor antagonist
456	69.6	cp	BRD-K11158509	tyrphostin-B44	EGFR inhibitor
460	69.41	cp	BRD-K43887077	dopamine	Dopamine receptor agonist
462	69.36	cp	BRD-K53665955	MK-5108	Aurora kinase inhibitor
463	69.36	cp	BRD-K37846922	3,3'-diindolylmethane	CHK inhibitor
467	69.04	cp	BRD-K69763916	LY-341495	Glutamate receptor antagonist
468	69.03	cp	BRD-A28746609	paclitaxel	Tubulin inhibitor
474	68.61	cp	BRD-K49865102	PD-0325901	MEK inhibitor
477	68.22	cp	BRD-K61217870	n-(3-acetamidophenyl)-3-chlorobenzamide	Glutamate receptor antagonist
481	68.02	cp	BRD-K91623615	ABT-751	Tubulin inhibitor
482	68	cp	BRD-K93095519	SJ-172550	MDM inhibitor
487	67.66	cp	BRD-K17294426	clebopride	Dopamine receptor antagonist
489	67.62	cp	BRD-K52751261	TAK-715	p38 MAPK inhibitor
490	67.61	cp	BRD-K49456190	prima-1-met	thioredoxin inhibitor
492	67.48	cp	BRD-A65615053	zacopride	Serotonin receptor antagonist
494	67.32	cp	BRD-K67298865	SB-431542	TGF beta receptor inhibitor
501	66.67	cp	BRD-A57382968	piroxicam	Cyclooxygenase inhibitor
503	66.63	cp	BRD-K81783531	VX-222	HCV inhibitor
504	66.6	cp	BRD-K54665485	R-59022	Diacylglycerol kinase inhibitor
505	66.59	cp	BRD-A56359832	zileuton	Leukotriene inhibitor
508	66.38	cp	BRD-K19227686	phenolphthalein	Indicator dye
512	66.19	cp	BRD-A38913120	BH3I-1	BCL inhibitor
531	64.91	cp	BRD-K40887525	ritanserin	Serotonin receptor antagonist
533	64.8	cp	BRD-K67977190	eprosartan	Angiotensin receptor antagonist
538	64.4	cp	BRD-A84174393	meloxicam	Cyclooxygenase inhibitor
539	64.39	cp	BRD-K70976396	cefoxitin	Bacterial cell wall synthesis inhibitor
546	63.81	cp	BRD-A99177642	deltaline	Acetylcholine receptor antagonist
556	62.63	cp	BRD-A67748489	K3644	Kinesin-like spindle protein inhibitor
558	62.59	cp	BRD-K97564742	mepyramine	Histamine receptor antagonist
562	62.4	cp	BRD-A28422058	L-689560	Glutamate receptor antagonist
565	62.37	cp	BRD-K76872913	benzanthrone	Aromatic hydrocarbon derivative
569	62.32	cp	BRD-K62810658	PD-98059	MEK inhibitor
572	62.17	cp	BRD-K08973992	linoleic-acid	Oxidative stress inducer
575	61.98	cp	BRD-K28667196	fillalbin	Increases arterial blood pressure
578	61.83	cp	BRD-A01145011	zebularine	DNA methyltransferase inhibitor
580	61.73	cp	BRD-K48923948	BMS-641988	Androgen receptor antagonist
584	61.49	cp	BRD-K65331431	retinyl	vitamin analog
589	61.1	cp	BRD-A74500471	ethambutol	Bacterial cell wall synthesis inhibitor
593	60.89	cp	BRD-K89348303	ramipril	ACE inhibitor
595	60.84	cp	BRD-A62071884	siguazodan	Phosphodiesterase inhibitor
597	60.79	cp	BRD-K01638814	rilmenidine	Adrenergic receptor agonist
601	60.53	cp	BRD-A69636825	diltiazem	Calcium channel blocker
605	60.25	cp	BRD-A36267905	buphenine	Adrenergic receptor agonist
608	60.13	cp	BRD-K85090592	pilocarpine	Acetylcholine receptor agonist
611	59.33	cp	BRD-K08115555	tyrphostin-AG-1288	TNF production inhibitor
612	59.27	cp	BRD-A74771556	nikkomycin	Chitin inhibitor
617	59.01	cp	BRD-A20131130	2',5'-dideoxyadenosine	Adenylyl cyclase inhibitor
622	58.69	cp	BRD-K23913458	coumarin	Vitamin K antagonist
626	58.56	cp	BRD-K22009844	phenprobamate	Muscle relaxant
630	58.32	cp	BRD-A15034104	bergenin	Interleukin inhibitor
631	58.3	cp	BRD-A34817987	itraconazole	Cytochrome P450 inhibitor
634	58.11	cp	BRD-A14574269	UB-165	Acetylcholine receptor agonist
637	58.05	cp	BRD-K82143716	flucytosine	Antifungal
639	57.99	cp	BRD-K99411983	lumicolchicine	Colchicine isomer, non-binder of microtubules
640	57.93	cp	BRD-K67174588	toremifene	Estrogen receptor antagonist
644	57.7	cp	BRD-K62609077	scoulerine	Adrenergic receptor antagonist
645	57.69	cp	BRD-U44618005	WH-4023	SRC inhibitor
646	57.69	cp	BRD-K17008822	BD-1008	Sigma receptor antagonist
648	57.59	cp	BRD-A13946108	sulindac	Cyclooxygenase inhibitor
653	57.27	cp	BRD-K19525698	ozagrel	Thromboxane synthase inhibitor
654	57.25	cp	BRD-K00184207	GR-206	Aryl hydrocarbon receptor ligand
656	57.06	cp	BRD-K95992530	Cyclo-[Arg-Gly-Asp-D-Phe-Val]	integrin antagonist
659	57.05	cp	BRD-K44497846	enalapril	ACE inhibitor
665	56.9	cp	BRD-K28453807	nitrocaramiphen	Cholinergic receptor antagonist
668	56.75	cp	BRD-K93280214	gabazine	GABA receptor antagonist
669	56.61	cp	BRD-K43880410	pregnenolone	glutamate receptor modulator
671	56.57	cp	BRD-A22707317	SB-205384	GABA receptor modulator
677	56.05	cp	BRD-K43860855	iobenguane	Antineoplastic
679	55.88	cp	BRD-K63792901	arecaidine	Acetylcholine receptor agonist
683	55.77	cp	BRD-K94325918	kinetin-riboside	Apoptosis stimulant
689	55.5	cp	BRD-K09859624	methantheline	Acetylcholine receptor antagonist
690	55.32	cp	BRD-A68039575	liquiritigenin	Aromatase inhibitor
691	55.27	cp	BRD-K90885812	propantheline	Acetylcholine receptor antagonist
693	55.16	cp	BRD-M30523314	vinorelbine	Tubulin inhibitor
694	55.16	cp	BRD-K27450477	EHNA	Adenosine deaminase inhibitor
696	55.07	cp	BRD-A48261811	argatroban	Thrombin inhibitor
697	55.06	cp	BRD-K54790157	trioxsalen	DNA synthesis inhibitor
700	54.8	cp	BRD-K32830106	guanfacine	Adrenergic receptor agonist
702	54.74	cp	BRD-K56596464	QX-314	Sodium channel blocker
705	54.67	cp	BRD-K51318897	fenbendazole	Tubulin inhibitor
707	54.55	cp	BRD-K55424922	anpirtoline	Serotonin receptor agonist
710	54.42	cp	BRD-K85133207	HDAC1-selective	HDAC inhibitor
720	53.72	cp	BRD-K50938287	sumatriptan	Serotonin receptor agonist
723	53.56	cp	BRD-K68174511	torin-2	MTOR inhibitor
734	52.59	cp	BRD-K17306061	aprepitant	Tachykinin antagonist
745	52.26	cp	BRD-K82746043	navitoclax	BCL inhibitor
747	52.22	cp	BRD-K14643723	4-(2-Amino-ethyl)-benzenesulfonamide	carbonic anhydrase inhibitor
751	52.04	cp	BRD-K53545112	CNQX	Glutamate receptor antagonist
757	51.76	cp	BRD-K71926323	marbofloxacin	Bacterial DNA gyrase inhibitor
758	51.74	cp	BRD-K32610195	androstenedione	Cytochrome P450 inhibitor
760	51.56	cp	BRD-A09161221	nomilin	HSP inhibitor
761	51.41	cp	BRD-A62890442	3-methyl-GABA	GABA aminotransferase activator
764	51.37	cp	BRD-A19195498	trimipramine	Norepinephrine reuptake inhibitor
765	51.34	cp	BRD-K64245000	GW-4064	FXR agonist
766	51.31	cp	BRD-U44700465	HG-5-88-01	Protein kinase inhibitor
768	51.25	cp	BRD-A34706053	CGP-12177	Adrenergic receptor agonist
777	50.96	cp	BRD-A22844106	tenoxicam	Cyclooxygenase inhibitor
778	50.92	cp	BRD-K53972329	ruxolitinib	JAK inhibitor
784	50.64	cp	BRD-K46212057	voriconazole	Cytochrome P450 inhibitor
787	50.53	cp	BRD-K37720887	SB-525334	TGF beta receptor inhibitor
789	50.45	cp	BRD-K00317371	RITA	MDM inhibitor
792	50.24	cp	BRD-K94270326	ecopipam	Dopamine receptor antagonist
793	50.14	cp	BRD-K40782193	QX-222	Sodium channel blocker
798	49.89	cp	BRD-K16444452	ibudilast	Leukotriene receptor antagonist
806	49.51	cp	BRD-K92758126	gibberellic-acid	NFkB pathway inhibitor
808	49.25	cp	BRD-A55815733	phylloquinone	Vitamin K
820	48.46	cp	BRD-K89046952	ciclacillin	Bacterial cell wall synthesis inhibitor
823	48.36	cp	BRD-A53131506	epitestosterone	Inactive testosterone analog
833	47.79	cp	BRD-K08924299	palonosetron	Serotonin receptor antagonist
834	47.73	cp	BRD-K08109516	L-701324	Glutamate receptor antagonist
837	47.48	cp	BRD-K33572481	taurodeoxycholic-acid	Bile acid
838	47.34	cp	BRD-K11433652	aspirin	Cyclooxygenase inhibitor
839	47.2	cp	BRD-K26657438	imiquimod	TLR agonist
841	47.11	cp	BRD-A59808129	guggulsterone	Cholesterol inhibitor
842	47.06	cp	BRD-K18678457	ZD-7288	HCN channel blocker
843	47.06	cp	BRD-A65280694	molindone	Dopamine receptor antagonist
844	47.04	cp	BRD-A01295252	trans-7-hydroxy-pipat	Dopamine receptor ligand
852	46.62	cp	BRD-A26711594	nicardipine	Calcium channel blocker
854	46.57	cp	BRD-A39969961	eplerenone	Cytochrome P450 inhibitor
855	46.56	cp	BRD-K85013741	auraptene	Nitric oxide production inhibitor
857	46.49	cp	BRD-K91900765	VX-745	p38 MAPK inhibitor
861	46.43	cp	BRD-K49945136	GR-113808	Serotonin receptor antagonist
865	46.41	cp	BRD-A89672324	CGP-55845	GABA receptor antagonist
867	46.39	cp	BRD-K09186807	KIN001-244	Phosphoinositide dependent kinase inhibitor
869	46.12	cp	BRD-K63195589	tipifarnib	Farnesyltransferase inhibitor
870	46.12	cp	BRD-K06388322	pramipexole	Dopamine receptor agonist
873	45.97	cp	BRD-K35498378	alrestatin	Aldose reductase inhibitor
875	45.89	cp	BRD-A07395371	esmolol	Adrenergic receptor antagonist
880	45.7	cp	BRD-K28029915	dolasetron	Serotonin receptor antagonist
885	45.44	cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor
887	45.34	cp	BRD-K84639753	safinamide	Dopamine uptake inhibitor
891	45.2	cp	BRD-K78278890	NM-PP1	Mutant kinase inhibitor
893	45.11	cp	BRD-K92301463	16,16-dimethylprostaglandin-e2	Prostanoid receptor agonist
899	44.79	cp	BRD-A83855350	naltrexone	Opioid receptor antagonist
900	44.74	cp	BRD-K93645900	tadalafil	Phosphodiesterase inhibitor
901	44.64	cp	BRD-A53952395	prilocaine	Local anesthetic
902	44.54	cp	BRD-K16977723	PP-3	EGFR inhibitor
903	44.53	cp	BRD-K49671696	ketanserin	Serotonin receptor antagonist
906	44.35	cp	BRD-K19111024	clofibric-acid	PPAR receptor agonist
907	44.17	cp	BRD-K88358234	xaliproden	Serotonin receptor agonist
908	44.17	cp	BRD-A25576662	streptozotocin	DNA alkylating agent
919	43.61	cp	BRD-K29668683	BD-1063	Sigma receptor antagonist
920	43.57	cp	BRD-K68997413	PF-3845	FAAH inhibitor
932	42.83	cp	BRD-K92984783	melperone	Serotonin receptor antagonist
933	42.82	cp	BRD-K50384076	7,4'-dihydroxyflavone	Opioid receptor antagonist
935	42.66	cp	BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor
948	42.17	cp	BRD-K95609758	BMS-191011	Potassium channel activator
951	42.05	cp	BRD-K35377380	I-OMe-AG-538	IGF-1 inhibitor
955	41.87	cp	BRD-K63504947	semaxanib	VEGFR inhibitor
961	41.68	cp	BRD-K18787491	U-0126	MEK inhibitor
962	41.66	cp	BRD-K74112339	acetohydroxamic-acid	Urease inhibitor
965	41.54	cp	BRD-K06817181	BRD-K06817181	JAK inhibitor
966	41.46	cp	BRD-A17453586	MDL-72832	Serotonin receptor agonist
967	41.41	cp	BRD-K23623876	decafluorobutane	Contrast agent
969	41.23	cp	BRD-A37776212	ICI-204448	Opioid receptor agonist
970	41.13	cp	BRD-K54529596	captopril	ACE inhibitor
971	41.09	cp	BRD-A49765801	fludroxycortide	Glucocorticoid receptor agonist
974	40.99	cp	BRD-K96670504	lonidamine	Glucokinase inhibitor
976	40.98	cp	BRD-K64157027	ZD-2079	Adrenergic receptor agonist
977	40.95	cp	BRD-K84141129	VU-0400193-3	Glutamate receptor modulator
978	40.87	cp	BRD-A42423104	benproperine	Antitussive
979	40.81	cp	BRD-K36258877	AZ-10417808	Caspase inhibitor
980	40.63	cp	BRD-K91315211	betahistine	Histamine receptor agonist
982	40.53	cp	BRD-K94070024	depomedrol	Glucocorticoid receptor agonist
985	40.5	cp	BRD-K60690191	MPEP	Glutamate receptor antagonist
991	40.25	cp	BRD-K80738081	resveratrol	Cytochrome P450 inhibitor
993	40.05	cp	BRD-U97083655	teicoplanin	Bacterial cell wall synthesis inhibitor
994	39.92	cp	BRD-K06080977	eicosatetraynoic-acid	Cyclooxygenase inhibitor
995	39.82	cp	BRD-K77625572	etomoxir	Carnitine palmitoyltransferase inhibitor
997	39.67	cp	BRD-K02404261	caffeine	Adenosine receptor antagonist
998	39.64	cp	BRD-A36471396	biperiden	Acetylcholine receptor antagonist
999	39.64	cp	BRD-A66199457	asiaticoside	Antineoplastic
1000	39.63	cp	BRD-K69690935	curcumin	Cyclooxygenase inhibitor
1006	39.26	cp	BRD-K20482099	rutin	Antioxidant
1007	39.26	cp	BRD-K63630713	etacrynic-acid	Sodium/potassium/chloride transporter inhibitor
1008	39.19	cp	BRD-K38003476	clocortolone	Glucocorticoid receptor agonist
1010	38.96	cp	BRD-K50891186	GR-103691	Dopamine receptor antagonist
1013	38.92	cp	BRD-A34255068	rolipram	Phosphodiesterase inhibitor
1017	38.59	cp	BRD-K62374253	rufloxacin	Bacterial DNA gyrase inhibitor
1018	38.55	cp	BRD-K47693913	evoxine	Furoquinoline alkaloid
1019	38.53	cp	BRD-K04833372	GSK-1904529A	IGF-1 inhibitor
1020	38.48	cp	BRD-K31843556	T-0070907	PPAR receptor antagonist
1025	38.39	cp	BRD-K01624546	docosatrienoic-acid	LTB4 inhibitor
1030	38.13	cp	BRD-K45988865	tetramethylsilane	Internal standard for NMR spectroscopy
1035	37.98	cp	BRD-K93258693	GW-9662	PPAR receptor antagonist
1037	37.94	cp	BRD-K30020243	aliskiren	Antihypertensive
1039	37.84	cp	BRD-K07265709	razoxane	Chelating agent
1046	37.31	cp	BRD-A17411484	carprofen	Cyclooxygenase inhibitor
1047	37.3	cp	BRD-A09472452	flecainide	Sodium channel blocker
1049	37.27	cp	BRD-K47761761	PD-168077	Dopamine receptor agonist
1051	37.22	cp	BRD-A41145729	methoprene-acid	Retinoid receptor agonist
1052	37.09	cp	BRD-K26801045	pipamperone	Dopamine receptor antagonist
1054	36.88	cp	BRD-K84566043	fenpiverinium	Acetylcholine receptor antagonist
1058	36.68	cp	BRD-K63784565	BRD-K63784565	Topoisomerase inhibitor
1059	36.65	cp	BRD-K68103045	CGS-20625	Benzodiazepine receptor agonist
1064	36.38	cp	BRD-K03319035	maprotiline	Norepinephrine reuptake inhibitor
1069	36.2	cp	BRD-K61691971	avrainvillamide-analog-1	nucleophosmin inhibitor
1072	35.91	cp	BRD-K53318339	vinpocetine	Phosphodiesterase inhibitor
1074	35.79	cp	BRD-A84493640	atovaquone	Mitochondrial electron transport inhibitor
1075	35.78	cp	BRD-A06390036	hydroquinidine	Antiarrhythmic
1076	35.68	cp	BRD-A53576514	orphenadrine	Acetylcholine receptor antagonist
1077	35.66	cp	BRD-A38747044	KU-14R	Imidazoline receptor ligand
1078	35.56	cp	BRD-K02965346	SU-11274	Hepatocyte growth factor receptor inhibitor
1079	35.32	cp	BRD-K40619305	larixinic-acid	Compound that interacts with metal centers
1081	35.21	cp	BRD-A56987319	SQ-22536	Adenylyl cyclase inhibitor
1082	35.12	cp	BRD-A44551378	LFM-A12	EGFR inhibitor
1084	35	cp	BRD-K92731339	perindopril	ACE inhibitor
1085	34.97	cp	BRD-K70281171	U-99194	Dopamine receptor antagonist
1087	34.93	cp	BRD-A97479839	piperidolate	Acetylcholine receptor antagonist
1090	34.8	cp	BRD-A36707673	hydroxycholesterol	LXR agonist
1097	34.43	cp	BRD-K67100011	pivmecillinam	Bacterial cell wall synthesis inhibitor
1100	34.29	cp	BRD-K26979635	NS-3694	Glutamate receptor antagonist
1102	34.22	cp	BRD-K61951118	FG-7142	GABA benzodiazepine site receptor inverse agonist
1105	34.11	cp	BRD-K66876909	linezolid	Bacterial 50S ribosomal subunit inhibitor
1110	33.84	cp	BRD-K77998258	ganglioside	SRC activator
1112	33.77	cp	BRD-K78084463	W-12	Calmodulin antagonist
1113	33.73	cp	BRD-K02607075	tubocurarine	Acetylcholine receptor antagonist
