,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0038109,GO:0038109,Kit signaling pathway,8/194,52/28832,0.153846153846154,22.8643933386201,12.9883231196072,2.12342245147322e-09,5.39143955218688e-07,3.64371669434979e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0048013,GO:0048013,ephrin receptor signaling pathway,9/194,76/28832,0.118421052631579,17.5995659251221,11.9261060201965,2.26667128320169e-09,5.39143955218688e-07,3.64371669434979e-07,13837/13869/14254/14255/16001/16337/16542/17974/16590,9
GO:0038145,GO:0038145,macrophage colony-stimulating factor signaling pathway,8/194,54/28832,0.148148148148148,22.0175639557083,12.7235508279005,2.90234244212892e-09,6.44320022152621e-07,4.35453202896256e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0035790,GO:0035790,platelet-derived growth factor receptor-alpha signaling pathway,8/194,55/28832,0.145454545454545,21.617244611059,12.5964621371588,3.37691503073921e-09,7.02820440772599e-07,4.74989758928976e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0048639,GO:0048639,positive regulation of developmental growth,13/194,220/28832,0.0590909090909091,8.78200562324274,9.536481006758,3.63177067582314e-09,7.11399785323003e-07,4.80787969344264e-07,12561/13869/14255/16001/16337/19090/20403/20430/21814/50769/54338/18795/11603,13
GO:0031547,GO:0031547,brain-derived neurotrophic factor receptor signaling pathway,8/194,57/28832,0.140350877192982,20.8587448001447,12.3521037884301,4.53063766316774e-09,8.38167967686032e-07,5.6646218268144e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0048012,GO:0048012,hepatocyte growth factor receptor signaling pathway,8/194,60/28832,0.133333333333333,19.8158075601375,12.008059679513,6.89554110154917e-09,1.20853430885046e-06,8.16768247928649e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0035791,GO:0035791,platelet-derived growth factor receptor-beta signaling pathway,8/194,61/28832,0.131147540983607,19.4909582558729,11.8988840577646,7.89095629635331e-09,1.25128021270745e-06,8.45657371508941e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0036006,GO:0036006,cellular response to macrophage colony-stimulating factor stimulus,8/194,61/28832,0.131147540983607,19.4909582558729,11.8988840577646,7.89095629635331e-09,1.25128021270745e-06,8.45657371508941e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0038084,GO:0038084,vascular endothelial growth factor signaling pathway,9/194,88/28832,0.102272727272727,15.1996251171509,10.9800416724149,8.48105182999057e-09,1.28372284517584e-06,8.67583196771284e-07,13837/13869/14254/14255/16001/16337/16542/19876/16590,9
GO:0036005,GO:0036005,response to macrophage colony-stimulating factor,8/194,63/28832,0.126984126984127,18.8721976763214,11.6881352005981,1.02593632875843e-08,1.45334122797592e-06,9.82217020835314e-07,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0060560,GO:0060560,developmental growth involved in morphogenesis,14/194,287/28832,0.0487804878048781,7.24968569273322,8.75776881898426,1.04745313727994e-08,1.45334122797592e-06,9.82217020835314e-07,12561/14260/13617/16401/20403/20430/20564/20357/27103/24136/54338/19876/58198/21960,14
GO:0050900,GO:0050900,leukocyte migration,16/194,408/28832,0.0392156862745098,5.82817869415808,8.08407241584409,1.98799511779209e-08,2.64800949689906e-06,1.78961413130084e-06,13052/14254/13617/16401/17096/17101/17698/18750/20375/27226/53416/54371/14456/18795/18578/16590,16
GO:0048009,GO:0048009,insulin-like growth factor receptor signaling pathway,9/194,100/28832,0.09,13.3756701030928,10.2034060661834,2.63447586251565e-08,3.37415562391427e-06,2.28036817573217e-06,13837/13869/14254/14255/16001/16337/16542/18795/16590,9
GO:0038127,GO:0038127,ERBB signaling pathway,11/194,173/28832,0.0635838150289017,9.44973481914069,9.17476587388031,2.80986139457761e-08,3.46549571997905e-06,2.342098893414e-06,13837/13869/14254/14255/16001/16337/16542/17926/19279/29815/16590,11
GO:0035924,GO:0035924,cellular response to vascular endothelial growth factor stimulus,9/194,107/28832,0.0841121495327103,12.5006262645727,9.80940659580481,4.7688268727597e-08,5.67149767367493e-06,3.83298941878204e-06,13837/13869/14254/14255/16001/16337/16542/19876/16590,9
GO:0098742,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,12/194,232/28832,0.0517241379310345,7.68716672591539,8.4171003083307,6.41138107199336e-08,7.36203412749582e-06,4.97551097347434e-06,12552/12561/12565/13052/13602/13837/16401/23836/23964/23965/53883/19876,12
GO:0048008,GO:0048008,platelet-derived growth factor receptor signaling pathway,9/194,114/28832,0.0789473684210526,11.7330439500814,9.45056151759719,8.27949503450647e-08,9.19023948830219e-06,6.21107381886837e-06,13837/13869/14254/14255/16001/16337/16542/54635/16590,9
GO:0030595,GO:0030595,leukocyte chemotaxis,12/194,242/28832,0.0495867768595041,7.36951520831558,8.18966919844252,1.01578627883195e-07,1.09115106726141e-05,7.37436694106182e-06,13052/14254/13617/17096/17101/18750/20375/27226/53416/14456/18578/16590,12
GO:1990138,GO:1990138,neuron projection extension,11/194,203/28832,0.0541871921182266,8.05322228429232,8.300263435028,1.43862827399189e-07,1.49707254762281e-05,1.01177212164298e-05,12561/13617/16401/20403/20430/20564/20357/27103/54338/19876/21960,11
GO:0006935,GO:0006935,chemotaxis,16/194,475/28832,0.0336842105263158,5.00609875203473,7.24598931841072,1.59617139293873e-07,1.61068204196544e-05,1.08855324979362e-05,13052/14254/13617/16542/17096/17101/18750/20375/20564/27226/53416/19876/14456/18578/16590/11603,16
GO:0042330,GO:0042330,taxis,16/194,477/28832,0.0335429769392034,4.98510882016037,7.22343758215588,1.68912156494565e-07,1.65434553272618e-05,1.11806250955226e-05,13052/14254/13617/16542/17096/17101/18750/20375/20564/27226/53416/19876/14456/18578/16590/11603,16
GO:0051897,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,11/194,209/28832,0.0526315789473684,7.82202930005426,8.14682755706929,1.9294141363305e-07,1.83569973542302e-05,1.24062779653372e-05,13869/14254/16001/16337/16542/17926/17999/19128/14456/56274/54635,11
GO:0050678,GO:0050678,regulation of epithelial cell proliferation,15/194,434/28832,0.0345622119815668,5.13658606109554,7.14664857954152,2.84809529493862e-07,2.63448814781823e-05,1.78047594753765e-05,13052/13869/14254/13617/16401/16542/18750/19090/20913/21417/21814/18018/19876/56274/64010,15
GO:0007264,GO:0007264,small GTPase-mediated signal transduction,15/194,440/28832,0.0340909090909091,5.06654170571696,7.0747801954457,3.39006682408717e-07,2.98758598574975e-05,2.01911137585995e-05,14673/13617/17926/19417/20430/110596/11303/29815/19731/54366/19876/56508/84092/57810/11603,15
GO:0045927,GO:0045927,positive regulation of growth,13/194,324/28832,0.0401234567901235,5.96309023800433,7.39436147291909,3.40925728103575e-07,2.98758598574975e-05,2.01911137585995e-05,12561/13869/14255/16001/16337/19090/20403/20430/21814/50769/54338/18795/11603,13
GO:0060326,GO:0060326,cell chemotaxis,13/194,337/28832,0.0385756676557863,5.73306005078161,7.1933635517075,5.31984221331786e-07,4.54232681290987e-05,3.06985766587681e-05,13052/14254/13617/16542/17096/17101/18750/20375/27226/53416/14456/18578/16590,13
GO:0048588,GO:0048588,developmental cell growth,12/194,286/28832,0.041958041958042,6.23574363780549,7.32399661901756,6.0905372008479e-07,5.07037221970587e-05,3.42672856195074e-05,12561/13617/16401/20403/20430/20564/20357/27103/24136/54338/19876/21960,12
GO:0042060,GO:0042060,wound healing,14/194,403/28832,0.0347394540942928,5.16292752807552,6.92675708081885,6.76055323532543e-07,5.49088835942285e-05,3.7109275525355e-05,12628/13052/16542/17096/17101/18024/18750/19128/21788/26401/18018/14456/56193/56363,14
GO:0051896,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,12/194,297/28832,0.0404040404040404,6.00479016973862,7.13566636322061,9.06316883321824e-07,7.18579814633732e-05,4.85640475323825e-05,13869/14254/16001/16337/16542/17926/17999/19128/19249/14456/56274/54635,12
GO:0007173,GO:0007173,epidermal growth factor receptor signaling pathway,9/194,155/28832,0.0580645161290323,8.62946458264051,7.83885133118129,1.13243082497991e-06,8.76975499344908e-05,5.92689621494994e-05,13837/13869/14254/14255/16001/16337/16542/29815/16590,9
GO:0097529,GO:0097529,myeloid leukocyte migration,11/194,255/28832,0.0431372549019608,6.41099656357388,7.14329205272841,1.38277324893861e-06,0.000104650793612854,7.07265360342284e-05,13052/14254/13617/17096/17101/18750/20375/27226/18795/18578/16590,11
GO:0140467,GO:0140467,integrated stress response signaling,5/194,30/28832,0.166666666666667,24.7697594501718,10.7209548409164,1.62804388576274e-06,0.000120475247546442,8.14212357370931e-05,17974/18024/15467/27103/16145,5
GO:0007411,GO:0007411,axon guidance,11/194,261/28832,0.0421455938697318,6.26361733222736,7.03074290123601,1.73344180859083e-06,0.000125486113534945,8.48077479809428e-05,12561/13837/13617/16774/226519/20430/20564/20357/17181/19876/11603,11
GO:0097485,GO:0097485,neuron projection guidance,11/194,262/28832,0.0419847328244275,6.23971039584481,7.01232740158208,1.79891448726788e-06,0.000127455005161745,8.61383913500273e-05,12561/13837/13617/16774/226519/20430/20564/20357/17181/19876/11603,11
GO:0099003,GO:0099003,vesicle-mediated transport in synapse,12/194,318/28832,0.0377358490566038,5.60824742268041,6.80110769418028,1.8478367085463e-06,0.0001281936716554,8.66376070805261e-05,12290/12334/13052/17999/18750/20403/20430/27062/27204/21912/56508/59033,12
GO:0048593,GO:0048593,camera-type eye morphogenesis,9/194,168/28832,0.0535714285714286,7.96170839469808,7.44837351125661,2.2097914000823e-06,0.000150175619638246,0.000101493748944704,12628/14254/15257/16542/21417/23965/29815/50769/57810,9
GO:0030336,GO:0030336,negative regulation of cell migration,12/194,328/28832,0.0365853658536585,5.43726426954991,6.65209874787473,2.5439613171635e-06,0.000169427823723089,0.000114505037812538,12552/14673/18024/19273/19279/21814/20684/24136/54608/19876/18795/56363,12
GO:0008543,GO:0008543,fibroblast growth factor receptor signaling pathway,8/194,130/28832,0.0615384615384615,9.14575733544806,7.66137005571921,2.93084058963148e-06,0.000191366650264173,0.000129332036751952,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0010827,GO:0010827,regulation of D-glucose transmembrane transport,7/194,92/28832,0.0760869565217391,11.307933662035,8.15044877678021,3.02831655885638e-06,0.00019392873348061,0.000131063579004756,13869/13617/16337/18024/18750/20913/24014,7
GO:0015749,GO:0015749,monosaccharide transmembrane transport,8/194,131/28832,0.0610687022900763,9.07594239395609,7.62499777992534,3.10365973545507e-06,0.000195003526774818,0.00013178996056411,13869/13617/16337/18024/18750/20913/24014/54338,8
GO:0034109,GO:0034109,homotypic cell-cell adhesion,7/194,93/28832,0.0752688172043011,11.186342977497,8.09810341730368,3.25631948948887e-06,0.000200806368518481,0.000135711716735423,12628/13052/17096/18750/19273/21873/56193,7
GO:0030198,GO:0030198,extracellular matrix organization,12/194,337/28832,0.0356083086053412,5.29205543149072,6.52311924453504,3.35876216909604e-06,0.000203357782237997,0.000137436048182341,12826/226519/18073/21814/23876/23948/17880/17181/13406/14456/17389/21960,12
GO:0045229,GO:0045229,external encapsulating structure organization,12/194,338/28832,0.0355029585798817,5.27639846275849,6.5090735744056,3.46215074856058e-06,0.000205874321298335,0.000139136810158318,12826/226519/18073/21814/23876/23948/17880/17181/13406/14456/17389/21960,12
GO:0043062,GO:0043062,extracellular structure organization,12/194,339/28832,0.0353982300884956,5.26083386552322,6.49508346923047,3.56833464199773e-06,0.00020648444712292,0.00013954915376918,12826/226519/18073/21814/23876/23948/17880/17181/13406/14456/17389/21960,12
GO:0031346,GO:0031346,positive regulation of cell projection organization,14/194,465/28832,0.0301075268817204,4.47453719099878,6.21693193249143,3.59642580574455e-06,0.00020648444712292,0.00013954915376918,12561/13837/16001/17096/18024/20430/23964/23965/24136/50769/54712/19876/16590/11603,14
GO:0043491,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,12/194,342/28832,0.0350877192982456,5.21468620003617,6.45344256578479,3.90431170881035e-06,0.000220361999836245,0.000148928071961401,13869/14254/16001/16337/16542/17926/17999/19128/19249/14456/56274/54635,12
GO:0016311,GO:0016311,dephosphorylation,9/194,181/28832,0.0497237569060773,7.38987298513413,7.09775486892159,4.07428107956744e-06,0.000226122599915993,0.000152821279791495,13853/14050/16331/19249/545622/19273/19279/19777/56193,9
GO:2000146,GO:2000146,negative regulation of cell motility,12/194,344/28832,0.0348837209302326,5.18436825701271,6.42595256612717,4.14349297921305e-06,0.000226193960996384,0.000152869508016523,12552/14673/18024/19273/19279/21814/20684/24136/54608/19876/18795/56363,12
GO:0045860,GO:0045860,positive regulation of protein kinase activity,11/194,288/28832,0.0381944444444444,5.67640320733104,6.56462848471484,4.46471551973138e-06,0.00023979843033396,0.000162063867252728,14254/16337/26399/26401/24136/16145/19876/14456/54635/16590/11603,11
GO:0007044,GO:0007044,cell-substrate junction assembly,7/194,98/28832,0.0714285714285714,10.6156111929308,7.84786030990712,4.62253751989964e-06,0.000244334126051838,0.000165129243400926,12552/13837/14260/16542/16774/226519/17926,7
GO:0045859,GO:0045859,regulation of protein kinase activity,14/194,477/28832,0.0293501048218029,4.36197021764032,6.0939319642505,4.81372131860963e-06,0.000250463937358907,0.000169271976631372,13853/14254/16337/17096/18750/26399/26401/24136/16145/19876/14456/54635/16590/11603,14
GO:0050920,GO:0050920,regulation of chemotaxis,10/194,236/28832,0.0423728813559322,6.29739647038267,6.7255098141214,4.93136935082742e-06,0.000252637845203928,0.000170741176875612,13617/16542/17096/18750/20375/27226/53416/19876/14456/11603,10
GO:0032412,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,9/194,187/28832,0.0481283422459893,7.15276476101218,6.94746034574342,5.31334711121803e-06,0.000268082513338728,0.000181179204526063,13617/17999/18669/545622/19417/53416/54377/18795/11603,9
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,11/194,296/28832,0.0371621621621622,5.5229869044302,6.43774860361501,5.79140589930836e-06,0.000287841517085028,0.000194533005698685,13837/13869/14254/16001/16337/16542/17096/18750/54635/16590/11603,11
GO:0034219,GO:0034219,carbohydrate transmembrane transport,8/194,143/28832,0.0559440559440559,8.31432485040732,7.21678777008819,5.95219791859565e-06,0.000291125471845373,0.000196752413088481,13869/13617/16337/18024/18750/20913/24014/54338,8
GO:0043406,GO:0043406,positive regulation of MAP kinase activity,7/194,102/28832,0.0686274509803922,10.1993127147766,7.6603220923635,6.03232959679603e-06,0.000291125471845373,0.000196752413088481,14254/16337/26399/26401/24136/19876/16590,7
GO:0018212,GO:0018212,peptidyl-tyrosine modification,11/194,300/28832,0.0366666666666667,5.4493470790378,6.37602748201064,6.5752634131878e-06,0.000304337523329505,0.000205681563103677,13837/13869/14254/16001/16337/16542/17096/18750/54635/16590/11603,11
GO:0033674,GO:0033674,positive regulation of kinase activity,11/194,300/28832,0.0366666666666667,5.4493470790378,6.37602748201064,6.5752634131878e-06,0.000304337523329505,0.000205681563103677,14254/16337/26399/26401/24136/16145/19876/14456/54635/16590/11603,11
GO:0002244,GO:0002244,hematopoietic progenitor cell differentiation,9/194,192/28832,0.046875,6.96649484536082,6.82720200308466,6.580270774692e-06,0.000304337523329505,0.000205681563103677,14254/14255/16542/17096/18024/19090/20375/56193/16590,9
GO:0043010,GO:0043010,camera-type eye development,13/194,425/28832,0.0305882352941176,4.5459793814433,6.06146163959611,6.81928368189723e-06,0.000311071433708463,0.000210232566862239,12628/12826/14254/15257/16542/21417/23965/26401/29815/24136/50769/57810/21916,13
GO:0040013,GO:0040013,negative regulation of locomotion,12/194,362/28832,0.0331491712707182,4.92658199008942,6.18777619875932,6.94753989351359e-06,0.000312639295208112,0.000211292180545264,12552/14673/18024/19273/19279/21814/20684/24136/54608/19876/18795/56363,12
GO:2000649,GO:2000649,regulation of sodium ion transmembrane transporter activity,5/194,40/28832,0.125,18.5773195876289,9.15600673677693,7.11807239742406e-06,0.000316042414445628,0.000213592123307967,17999/545622/53416/18795/11603,5
GO:0008643,GO:0008643,carbohydrate transport,8/194,147/28832,0.054421768707483,8.08808471842345,7.09119642788764,7.29449207765469e-06,0.000316124965173258,0.000213647913874009,13869/13617/16337/18024/18750/20913/24014/54338,8
GO:0150115,GO:0150115,cell-substrate junction organization,7/194,105/28832,0.0666666666666667,9.90790378006873,7.52634990823178,7.30979649199426e-06,0.000316124965173258,0.000213647913874009,12552/13837/14260/16542/16774/226519/17926,7
GO:0007596,GO:0007596,blood coagulation,9/194,197/28832,0.0456852791878173,6.78968025537705,6.71117362734651,8.09756680415207e-06,0.000341327815921853,0.000230680850463386,12628/17096/17101/18024/18750/19128/21788/14456/56193,9
GO:0022898,GO:0022898,regulation of transmembrane transporter activity,9/194,197/28832,0.0456852791878173,6.78968025537705,6.71117362734651,8.09756680415207e-06,0.000341327815921853,0.000230680850463386,13617/17999/18669/545622/19417/53416/54377/18795/11603,9
GO:0050817,GO:0050817,coagulation,9/194,200/28832,0.045,6.68783505154639,6.64347835007374,9.14435943528791e-06,0.000380633961493859,0.000257245269376915,12628/17096/17101/18024/18750/19128/21788/14456/56193,9
GO:0007599,GO:0007599,hemostasis,9/194,201/28832,0.0447761194029851,6.65456224034467,6.62122177487045,9.51805192832975e-06,0.00039129769038689,0.000264452177034035,12628/17096/17101/18024/18750/19128/21788/14456/56193,9
GO:0071902,GO:0071902,positive regulation of protein serine/threonine kinase activity,8/194,153/28832,0.0522875816993464,7.7709049255441,6.91146009265249,9.78258741452334e-06,0.000397268488906863,0.000268487444059704,14254/16337/26399/26401/24136/16145/19876/16590,8
GO:0048592,GO:0048592,eye morphogenesis,9/194,202/28832,0.0445544554455446,6.62161886291722,6.59911632855839,9.90471955318414e-06,0.000397382121832568,0.00026856424102356,12628/14254/15257/16542/21417/23965/29815/50769/57810,9
GO:0002685,GO:0002685,regulation of leukocyte migration,10/194,257/28832,0.0389105058365759,5.78282321793895,6.3389473789556,1.04070153332771e-05,0.000412563822140629,0.000278824546147199,13617/16401/17096/17698/20375/27226/53416/54371/14456/18795,10
GO:0071675,GO:0071675,regulation of mononuclear cell migration,8/194,155/28832,0.0516129032258065,7.67063518456934,6.85370735128163,1.07565629300749e-05,0.000421404171260582,0.000284799152253872,16401/17096/17698/20375/27226/53416/14456/18795,8
GO:0007156,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,7/194,112/28832,0.0625,9.28865979381443,7.23369983637256,1.11833088025208e-05,0.000431499566611917,0.000291621960934496,12552/12561/12565/23836/23965/53883/19876,7
GO:0044344,GO:0044344,cellular response to fibroblast growth factor stimulus,8/194,156/28832,0.0512820512820513,7.62146444620671,6.82521663212124,1.12734121006717e-05,0.000431499566611917,0.000291621960934496,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:1901532,GO:1901532,regulation of hematopoietic progenitor cell differentiation,5/194,44/28832,0.113636363636364,16.8884723523899,8.68084715243846,1.14945635160772e-05,0.000434964733051559,0.000293963837289152,14254/16542/18024/19090/20375,5
GO:0099504,GO:0099504,synaptic vesicle cycle,10/194,261/28832,0.0383141762452107,5.69419757475214,6.2701549509721,1.1899854322078e-05,0.000445241740365391,0.000300909385459525,12290/12334/13052/18750/20403/20430/27062/27204/56508/59033,10
GO:0002064,GO:0002064,epithelial cell development,10/194,262/28832,0.0381679389312977,5.67246399622255,6.25317905730062,1.23006852679038e-05,0.000448965830559727,0.000303426251220704,13617/16542/17698/18669/19726/21873/26401/53626/18795/21916,10
GO:0032409,GO:0032409,regulation of transporter activity,9/194,208/28832,0.0432692307692308,6.43061062648691,6.46955704529272,1.25183957417723e-05,0.000448965830559727,0.000303426251220704,13617/17999/18669/545622/19417/53416/54377/18795/11603,9
GO:0050878,GO:0050878,regulation of body fluid levels,12/194,384/28832,0.03125,4.64432989690722,5.91720754094322,1.25386853579744e-05,0.000448965830559727,0.000303426251220704,12628/13869/17096/17101/18024/18750/19128/21788/53416/53883/14456/56193,12
GO:0051962,GO:0051962,positive regulation of nervous system development,12/194,384/28832,0.03125,4.64432989690722,5.91720754094322,1.25386853579744e-05,0.000448965830559727,0.000303426251220704,12561/14254/16542/17096/18750/20430/24136/54712/19876/16590/57810/11603,12
GO:0099170,GO:0099170,postsynaptic modulation of chemical synaptic transmission,5/194,45/28832,0.111111111111111,16.5131729667812,8.5717217222597,1.28610926832683e-05,0.000455611049311527,0.0003079173141862,16001/17999/20430/18795/84092,5
GO:0001959,GO:0001959,regulation of cytokine-mediated signaling pathway,8/194,160/28832,0.05,7.43092783505155,6.71373212559058,1.35552774660974e-05,0.00046598735299874,0.000314929970194818,15257/20564/21873/16145/56045/19876/14456/20847,8
GO:0043405,GO:0043405,regulation of MAP kinase activity,8/194,160/28832,0.05,7.43092783505155,6.71373212559058,1.35552774660974e-05,0.00046598735299874,0.000314929970194818,14254/16337/17096/26399/26401/24136/19876/16590,8
GO:0045055,GO:0045055,regulated exocytosis,10/194,265/28832,0.0377358490566038,5.60824742268041,6.20277151891958,1.35738057780414e-05,0.00046598735299874,0.000314929970194818,12290/12291/17096/18750/20375/27062/56193/56508/16590/59033,10
GO:0071322,GO:0071322,cellular response to carbohydrate stimulus,9/194,211/28832,0.042654028436019,6.33918014364587,6.40667621146415,1.40320742389172e-05,0.000476804155261166,0.000322240329997905,12290/16001/18750/20112/20913/26399/26950/14456/18795,9
GO:0071774,GO:0071774,response to fibroblast growth factor,8/194,163/28832,0.049079754601227,7.29416229207514,6.63261581813206,1.55114500338421e-05,0.000519009151183302,0.000350763889751825,13837/13869/14254/14255/16001/16337/16542/16590,8
GO:0060485,GO:0060485,mesenchyme development,11/194,329/28832,0.033434650455927,4.96900949456334,5.95928527687659,1.55858603958949e-05,0.000519009151183302,0.000350763889751825,13837/13869/13617/16401/17999/21814/20357/24136/50758/18018/19876,11
GO:0003012,GO:0003012,muscle system process,13/194,461/28832,0.0281995661605206,4.1909788223718,5.68455454954623,1.61374981010164e-05,0.000526841849768475,0.000356057491640588,12291/14254/13617/17926/18750/26399/17880/50769/18018/22065/16590/11603/21916,13
GO:0043254,GO:0043254,regulation of protein-containing complex assembly,13/194,461/28832,0.0281995661605206,4.1909788223718,5.68455454954623,1.61374981010164e-05,0.000526841849768475,0.000356057491640588,14260/17698/17974/20430/20660/26401/11303/27360/53626/16145/56193/59125/21916,13
GO:0044331,GO:0044331,cell-cell adhesion mediated by cadherin,5/194,48/28832,0.104166666666667,15.4810996563574,8.2642978995099,1.77326527796478e-05,0.000573298385982788,0.000387454385721891,12552/12561/12565/19273/23836,5
GO:0090287,GO:0090287,regulation of cellular response to growth factor stimulus,11/194,336/28832,0.0327380952380952,4.86548846342661,5.86599170791083,1.89319613781342e-05,0.000606186840280644,0.000409681512413471,16542/17999/20430/20660/21417/21814/23893/24136/50766/19876/58250,11
GO:1904659,GO:1904659,D-glucose transmembrane transport,7/194,123/28832,0.0569105691056911,8.45796664152208,6.82218253424379,2.0603674617509e-05,0.000653430823583857,0.000441610589796834,13869/13617/16337/18024/18750/20913/24014,7
GO:0060759,GO:0060759,regulation of response to cytokine stimulus,8/194,170/28832,0.0470588235294118,6.99381443298969,6.45110162832554,2.10161671850112e-05,0.000660224874774407,0.000446202238744328,15257/20564/21873/16145/56045/19876/14456/20847,8
GO:0045446,GO:0045446,endothelial cell differentiation,7/194,124/28832,0.0564516129032258,8.38975723312271,6.78732930626773,2.17133669879661e-05,0.000675752449251654,0.000456696297297309,13617/16542/17698/18669/21417/21873/18795,7
GO:0001654,GO:0001654,eye development,13/194,475/28832,0.0273684210526316,4.06745523602821,5.54822765256956,2.20520764652819e-05,0.000679939024346193,0.000459525725952951,12628/12826/14254/15257/16542/21417/23965/26401/29815/24136/50769/57810/21916,13
GO:0017157,GO:0017157,regulation of exocytosis,9/194,225/28832,0.04,5.94474226804124,6.1285556883026,2.3333550205444e-05,0.000712683424090853,0.000481655495718743,12290/12291/17096/18750/20375/26950/27062/56508/59033,9
GO:0150063,GO:0150063,visual system development,13/194,478/28832,0.0271966527196653,4.04192727429582,5.51969376134731,2.35420950900882e-05,0.000712683424090853,0.000481655495718743,12628/12826/14254/15257/16542/21417/23965/26401/29815/24136/50769/57810/21916,13
GO:0022604,GO:0022604,regulation of cell morphogenesis,10/194,283/28832,0.0353356890459364,5.2515391060435,5.91566158090727,2.38611421119471e-05,0.000715834263358413,0.000483784939168733,14673/16542/17698/19090/20403/20430/54712/54338/17909/16590,10
