Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	14306660	14404786	0.000000	0.119334	0.468916	0.168478
Amp	 1	14406741	14773656	0.000000	0.101610	0.427079	0.168478
Amp	 1	14775550	15142300	0.000000	0.094063	0.421873	0.163043
Amp	 1	15144776	15266213	0.000000	0.102281	0.427816	0.168478
Amp	 1	15268363	15360721	0.000000	0.112504	0.438793	0.173913
Amp	 1	15362356	15657154	0.000000	0.127286	0.472595	0.173913
Amp	 1	15657591	15689107	0.000000	0.134576	0.474439	0.179348
Amp	 1	15699327	15711294	0.000000	0.152188	0.513493	0.179348
Amp	 1	15711523	15728696	0.000000	0.137406	0.480635	0.179348
Amp	 1	15731237	15843244	0.000000	0.119794	0.440873	0.179348
Amp	 1	15843855	15871622	0.000000	0.102244	0.397555	0.179348
Amp	 1	15874279	15983301	0.000000	0.094954	0.393308	0.173913
Amp	 1	15985306	16012024	0.000000	0.102613	0.400389	0.179348
Amp	 1	16087996	16237662	0.000000	0.110190	0.404919	0.184783
Amp	 1	16242057	16267147	0.000000	0.099967	0.393582	0.179348
Amp	 1	16273995	16280623	0.000000	0.106549	0.396172	0.184783
Amp	 1	16282776	16337252	0.000000	0.117795	0.420376	0.184783
Amp	 1	16344664	16344827	0.000000	0.122735	0.424245	0.184783
Amp	 1	16398077	16408804	0.000000	0.132675	0.446806	0.184783
Amp	 1	16413265	16413265	0.000000	0.139476	0.448901	0.190217
Amp	 1	16416985	16441715	0.000000	0.131817	0.443664	0.184783
Amp	 1	16444674	16444674	0.000000	0.117580	0.423968	0.179348
Amp	 1	16448894	16514486	0.000000	0.108108	0.402963	0.179348
Amp	 1	16518866	16530850	0.000000	0.098757	0.394174	0.173913
Amp	 1	16534646	16682747	0.000000	0.092175	0.386939	0.173913
Amp	 1	16691076	16725161	0.000000	0.087235	0.387760	0.168478
Amp	 1	16726250	16771646	0.000000	0.079017	0.380481	0.163043
Amp	 1	16772585	17329637	0.000000	0.070710	0.371333	0.157609
Amp	 1	17330149	17336877	0.000000	0.063746	0.365103	0.152174
Amp	 1	17340878	17456646	0.000000	0.069918	0.369872	0.157609
Amp	 1	17458280	17578553	0.000000	0.078429	0.391349	0.157609
Amp	 1	17578734	17646526	0.000000	0.067500	0.363771	0.157609
Amp	 1	17650698	17795166	0.000000	0.073068	0.380179	0.157609
Amp	 1	17800902	17816531	0.000000	0.079174	0.382400	0.163043
Amp	 1	17819076	17861405	0.000000	0.087494	0.390873	0.168478
Amp	 1	17863402	17925542	0.000000	0.081388	0.389008	0.163043
Amp	 1	17927714	17937997	0.000000	0.073221	0.380809	0.157609
Amp	 1	17940434	17976560	0.000000	0.070997	0.388595	0.152174
Amp	 1	17977378	18031533	0.000000	0.062485	0.368385	0.146739
Amp	 1	18032158	18476231	0.000000	0.054165	0.357743	0.141304
Amp	 1	18477450	18643411	0.000000	0.051659	0.364718	0.135870
Amp	 1	18644586	18685202	0.000000	0.060527	0.375648	0.141304
Amp	 1	18687883	18737780	0.000000	0.067124	0.382842	0.146739
Amp	 1	18741576	18951931	0.000000	0.060527	0.375648	0.141304
Amp	 1	18951985	19113342	0.000000	0.054355	0.370537	0.135870
Amp	 1	19116233	19199960	0.000000	0.066080	0.406237	0.135870
Amp	 1	19203997	19267929	0.000000	0.057212	0.396126	0.130435
Amp	 1	19273805	19296891	0.000000	0.065251	0.393905	0.141304
Amp	 1	19307105	19321617	0.000000	0.082562	0.427053	0.146739
Amp	 1	19322989	19346177	0.000000	0.074523	0.420851	0.141304
Amp	 1	19358015	19526363	0.000000	0.057212	0.386130	0.135870
Amp	 1	19542799	19680264	0.000000	0.045488	0.359568	0.130435
Amp	 1	19680544	19718824	0.000000	0.042871	0.351591	0.130435
Amp	 1	19719463	19765669	0.000000	0.047664	0.351556	0.135870
Amp	 1	19769371	19816643	0.000000	0.045577	0.325681	0.130435
Amp	 1	19821738	19852716	0.000000	0.048927	0.330839	0.135870
Amp	 1	19853082	20035649	0.000000	0.055512	0.352400	0.135870
Amp	 1	20037638	20164107	0.000000	0.052162	0.348140	0.130435
Amp	 1	20167341	20462778	0.000000	0.045361	0.340662	0.125000
Amp	 1	20463634	20583817	0.000000	0.055492	0.357359	0.130435
Amp	 1	20592340	20748948	0.000000	0.045361	0.340662	0.125000
Amp	 1	20750399	21022115	0.000000	0.040568	0.340205	0.119565
Amp	 1	21028534	21410231	0.000000	0.033215	0.327526	0.114130
Amp	 1	21410275	21985273	0.000000	0.026629	0.303528	0.114130
Amp	 1	21988563	22209001	0.000000	0.034815	0.317965	0.119565
Amp	 1	22217610	22493475	0.000000	0.026629	0.302621	0.119565
Amp	 1	22493672	22669971	0.000000	0.030611	0.302974	0.119565
Amp	 1	22672478	22805904	0.000000	0.043851	0.348387	0.119565
Amp	 1	22811523	22839840	0.000000	0.049486	0.355884	0.125000
Amp	 1	22843428	23106474	0.000000	0.055604	0.359708	0.130435
Amp	 1	23109291	23127876	0.000000	0.051622	0.366563	0.119565
Amp	 1	23128716	23253262	0.000000	0.045505	0.362701	0.114130
Amp	 1	23259627	23263167	0.000000	0.039870	0.341716	0.119565
Amp	 1	23263279	23539010	0.000000	0.030870	0.311780	0.119565
Amp	 1	23539631	23582661	0.000000	0.039451	0.340324	0.119565
Amp	 1	23582880	23675883	0.000000	0.030870	0.321462	0.114130
Amp	 1	23679024	23681838	0.000000	0.037084	0.330635	0.119565
Amp	 1	23684977	23719537	0.000000	0.038779	0.330760	0.125000
Amp	 1	23720185	23776394	0.000000	0.059032	0.378727	0.130435
Amp	 1	23778434	23845193	0.000000	0.066696	0.387253	0.135870
Amp	 1	23845963	23852899	0.000000	0.060482	0.381585	0.130435
Amp	 1	23864455	23897221	0.000000	0.052817	0.372442	0.125000
Amp	 1	23900242	24052831	0.000000	0.058703	0.374871	0.130435
Amp	 1	24053465	24083494	0.000000	0.052817	0.372442	0.125000
Amp	 1	24083649	24290790	0.000000	0.051122	0.374212	0.119565
Amp	 1	24296084	24345750	0.000000	0.055371	0.388344	0.119565
Amp	 1	24360750	24415047	0.000000	0.035119	0.336267	0.114130
Amp	 1	24417868	24716889	0.000000	0.041501	0.342212	0.119565
Amp	 1	24728629	25003691	0.000000	0.063843	0.398415	0.125000
Amp	 1	25005803	25341022	0.000000	0.050869	0.355831	0.125000
Amp	 1	25341750	25443361	0.000000	0.028528	0.297693	0.119565
Amp	 1	25444814	25532074	0.000000	0.048531	0.365681	0.119565
Amp	 1	25698469	25698469	0.000000	0.028528	0.299148	0.119565
Amp	 1	25699995	25774082	0.000000	0.022145	0.291152	0.114130
Amp	 1	25889422	25894853	0.000000	0.047593	0.354871	0.119565
Amp	 1	25896756	26175518	0.000000	0.030760	0.311637	0.114130
Amp	 1	26175846	26361404	0.000000	0.025094	0.304887	0.108696
Amp	 1	26363601	26984229	0.000000	0.014798	0.281283	0.103261
Amp	 1	26997078	27106855	0.000000	0.020885	0.288773	0.103261
Amp	 1	27119975	27150006	0.000000	0.026772	0.280887	0.103261
Amp	 1	27150822	27254901	0.000000	0.030557	0.295466	0.103261
Amp	 1	27255790	27671925	0.000000	0.024470	0.285904	0.097826
Amp	 1	27679692	27689147	0.000000	0.033266	0.343257	0.108696
Amp	 1	27689910	27737335	0.000000	0.042721	0.369831	0.114130
Amp	 1	27737417	27744498	0.000000	0.045481	0.366734	0.119565
Amp	 1	27744513	27964775	0.000000	0.051033	0.385200	0.119565
Amp	 1	27968662	28144537	0.000000	0.045481	0.366576	0.119565
Amp	 1	28146039	28208017	0.000000	0.036026	0.341401	0.119565
Amp	 1	28212806	28236593	0.000000	0.027230	0.308846	0.119565
Amp	 1	28236682	28338984	0.000000	0.035799	0.343452	0.119565
Amp	 1	28339288	28555644	0.000000	0.027230	0.314951	0.119565
Amp	 1	28561082	28812543	0.000000	0.033492	0.319135	0.125000
Amp	 1	28812905	28829700	0.000000	0.027230	0.312814	0.119565
Amp	 1	28840302	29108979	0.000000	0.035781	0.326418	0.125000
Amp	 1	29110232	29208956	0.000000	0.059079	0.390881	0.130435
Amp	 1	29218917	30445631	0.000000	0.050529	0.380671	0.125000
Amp	 1	30448217	30904197	0.000000	0.058088	0.390230	0.130435
Amp	 1	30917176	31265857	0.000000	0.063519	0.398473	0.135870
Amp	 1	31267173	31487979	0.000000	0.076262	0.435774	0.135870
Amp	 1	31489214	31505602	0.000000	0.048745	0.360927	0.130435
Amp	 1	31506004	31686085	0.000000	0.050812	0.353779	0.135870
Amp	 1	31687659	31740845	0.000000	0.058243	0.376594	0.135870
Amp	 1	31744818	31881500	0.000000	0.065449	0.375635	0.146739
Amp	 1	31881637	32067225	0.000000	0.071146	0.382191	0.152174
Amp	 1	32068313	32141573	0.000000	0.063940	0.376817	0.146739
Amp	 1	32142332	32143317	0.000000	0.069669	0.392344	0.146739
Amp	 1	32144353	32155717	0.000000	0.076996	0.399573	0.152174
Amp	 1	32159570	32178829	0.000000	0.088016	0.429851	0.152174
Amp	 1	32184703	32187915	0.000000	0.095527	0.449482	0.152174
Amp	 1	32191173	32256086	0.000000	0.084508	0.420684	0.152174
Amp	 1	32265973	32322733	0.000000	0.076949	0.413669	0.146739
Amp	 1	32323205	32334477	0.000000	0.092479	0.441841	0.152174
Amp	 1	32336098	32455283	0.000000	0.084967	0.422178	0.152174
Amp	 1	32456015	32457058	0.000000	0.079238	0.404904	0.152174
Amp	 1	32459154	32482916	0.000000	0.065256	0.368363	0.152174
Amp	 1	32488555	32534105	0.000000	0.071118	0.390486	0.146739
Amp	 1	32535799	32569717	0.000000	0.060301	0.361169	0.146739
Amp	 1	32574753	32641004	0.000000	0.052973	0.348479	0.146739
Amp	 1	32647850	32647850	0.000000	0.045481	0.340469	0.141304
Amp	 1	32650658	32711043	0.000000	0.051716	0.347681	0.146739
Amp	 1	32711360	32815033	0.000000	0.053422	0.355147	0.152174
Amp	 1	32815760	33045735	0.000000	0.059539	0.358337	0.157609
Amp	 1	33050391	33272883	0.000000	0.066667	0.366494	0.163043
Amp	 1	33276300	33277000	0.000000	0.074056	0.372112	0.168478
Amp	 1	33280648	33286123	0.000000	0.066928	0.364414	0.163043
Amp	 1	33295685	33335039	0.000000	0.059000	0.351459	0.163043
Amp	 1	33342737	33534350	0.000000	0.063920	0.358494	0.168478
Amp	 1	33543621	33553649	0.000000	0.059000	0.351459	0.163043
Amp	 1	33556713	33610267	0.000000	0.068858	0.366021	0.168478
Amp	 1	33614162	33659047	0.000000	0.059000	0.351459	0.163043
Amp	 1	33662158	34019140	0.000000	0.051611	0.344935	0.157609
Amp	 1	34023178	34064792	0.000000	0.045914	0.330561	0.157609
Amp	 1	34067472	34189429	0.000000	0.047816	0.325300	0.163043
Amp	 1	34193735	35255680	0.000000	0.045914	0.330561	0.157609
Amp	 1	35259961	35705820	0.000000	0.052877	0.332526	0.168478
Amp	 1	35707006	35887691	0.000000	0.059019	0.334948	0.173913
Amp	 1	35888147	35998366	0.000000	0.061454	0.332837	0.179348
Amp	 1	36000875	36000875	0.000000	0.065640	0.342120	0.179348
Amp	 1	36001395	36001395	0.000000	0.059522	0.338822	0.173913
Amp	 1	36009394	36056977	0.000000	0.057087	0.341193	0.168478
Amp	 1	36057210	36497687	0.000000	0.064605	0.358940	0.168478
Amp	 1	36499342	36660813	0.000000	0.071158	0.363401	0.173913
Amp	 1	36669903	36681161	0.000000	0.076937	0.365882	0.179348
Amp	 1	36682434	36718669	0.000000	0.070384	0.361639	0.173913
Amp	 1	36722198	36777235	0.000000	0.079517	0.382795	0.173913
Amp	 1	36782992	36792805	0.000000	0.085998	0.397616	0.173913
Amp	 1	36793106	36815441	0.000000	0.078567	0.380623	0.173913
Amp	 1	36818001	36980623	0.000000	0.069434	0.359738	0.173913
Amp	 1	36981762	37182486	0.000000	0.077008	0.365810	0.179348
Amp	 1	37184882	37242743	0.000000	0.122105	0.448400	0.179348
Amp	 1	37245473	37301626	0.000000	0.137252	0.481989	0.179348
Amp	 1	37302038	37302347	0.000000	0.143457	0.498567	0.179348
Amp	 1	37303956	37311342	0.000000	0.153380	0.507203	0.184783
Amp	 1	37312233	37493867	0.000000	0.166189	0.536913	0.184783
Amp	 1	37503124	37687418	0.000000	0.154485	0.511496	0.184783
Amp	 1	37690798	37816084	0.000000	0.141675	0.483926	0.184783
Amp	 1	37818077	37845240	0.000000	0.135194	0.466305	0.184783
Amp	 1	37921043	38010427	0.000000	0.144131	0.485936	0.184783
Amp	 1	38011403	38026598	0.000000	0.148608	0.482770	0.190217
Amp	 1	38026688	38086578	0.000000	0.152976	0.479170	0.195652
Amp	 1	38087543	38109733	0.000000	0.161738	0.496982	0.195652
Amp	 1	38109752	38115960	0.000000	0.152801	0.478815	0.195652
Amp	 1	38117142	38174185	0.000000	0.148433	0.482405	0.190217
Amp	 1	38175335	38303025	0.000000	0.154529	0.487214	0.195652
Amp	 1	38307690	38428320	0.000000	0.159144	0.496594	0.195652
Amp	 1	38431425	38528881	0.000000	0.157296	0.506919	0.190217
Amp	 1	38530760	38711632	0.000000	0.151200	0.502548	0.184783
Amp	 1	38713479	38800024	0.090166	0.199055	0.592671	0.190217
Amp	 1	38801204	38906637	0.034743	0.192092	0.594789	0.184783
Amp	 1	38907008	39197064	0.103390	0.200853	0.598905	0.190217
Amp	 1	39199114	39412102	0.285178	0.224764	0.648897	0.190217
Amp	 1	39421462	39464627	0.356328	0.231960	0.645500	0.195652
Amp	 1	39466626	39497450	0.708745	0.260067	0.683640	0.201087
Amp	 1	39503843	39551242	0.510602	0.244919	0.652144	0.201087
Amp	 1	39551621	39568930	0.343738	0.230520	0.623666	0.201087
Amp	 1	39576917	39661593	0.993550	0.279303	0.703487	0.206522
Amp	 1	39663343	39711848	0.898873	0.272700	0.690771	0.206522
Amp	 1	39715792	39886995	1.022318	0.281286	0.707305	0.206522
Amp	 1	39887947	39931485	0.931616	0.275050	0.711957	0.201087
Amp	 1	39931963	39959701	1.127896	0.288176	0.739427	0.201087
Amp	 1	39963260	40198587	1.227805	0.294173	0.753500	0.201087
Amp	 1	40199854	40264332	1.343236	0.300742	0.753171	0.206522
Amp	 1	40266102	40266102	1.940523	0.334699	0.818561	0.206522
Amp	 1	40276520	40284187	2.046586	0.339713	0.806980	0.211957
Amp	 1	40286005	40381291	2.333549	0.355284	0.836196	0.211957
Amp	 1	40381453	40407954	2.608646	0.368584	0.840397	0.217391
Amp	 1	40408280	40417343	2.333549	0.355284	0.836196	0.211957
Amp	 1	40423031	40458920	2.241661	0.350270	0.848546	0.206522
Amp	 1	40462298	40504468	2.373960	0.357214	0.839817	0.211957
Amp	 1	40513710	40563358	2.255337	0.351010	0.828004	0.211957
Amp	 1	40567134	40595841	1.699748	0.321766	0.793480	0.206522
Amp	 1	40598915	40598915	1.575697	0.314822	0.801193	0.201087
Amp	 1	40599075	40743209	1.479907	0.309044	0.811080	0.195652
Amp	 1	40743691	40837481	1.410141	0.305031	0.802923	0.195652
Amp	 1	40872623	41281757	1.050533	0.283306	0.758763	0.195652
Amp	 1	41286353	41332550	1.184301	0.291106	0.754282	0.201087
Amp	 1	41332946	41467770	0.931616	0.275180	0.722785	0.201087
Amp	 1	41469404	41496014	1.050533	0.283207	0.740548	0.201087
Amp	 1	41498308	41546976	0.940774	0.275407	0.744647	0.195652
Amp	 1	41551292	41573492	0.727737	0.261372	0.716118	0.195652
Amp	 1	41573646	41659051	0.617135	0.253344	0.698541	0.195652
Amp	 1	41666571	41786854	0.130199	0.203633	0.614018	0.190217
Amp	 1	41787999	41983573	0.172969	0.210193	0.629165	0.190217
Amp	 1	41983912	42018456	0.039739	0.193166	0.593567	0.190217
Amp	 1	42019945	42103220	0.180104	0.211532	0.631965	0.190217
Amp	 1	42105182	42241771	0.134908	0.204973	0.618252	0.190217
Amp	 1	42243549	42264858	0.238716	0.219054	0.647692	0.190217
Amp	 1	42265249	42356194	0.134908	0.204973	0.617897	0.190217
Amp	 1	42360713	42416625	0.180104	0.211481	0.614823	0.195652
Amp	 1	42417706	42547244	0.261931	0.221465	0.635116	0.195652
Amp	 1	42550636	42551513	0.278087	0.223510	0.622092	0.201087
Amp	 1	42556266	42679645	0.000000	0.174726	0.537793	0.195652
Amp	 1	42683271	42867404	0.000000	0.167152	0.534498	0.190217
Amp	 1	42874440	43123266	0.000000	0.138339	0.474258	0.190217
Amp	 1	43126068	43194725	0.000000	0.136633	0.471576	0.184783
Amp	 1	43197894	43366503	0.000000	0.130636	0.458670	0.184783
Amp	 1	43366891	43399686	0.000000	0.137252	0.459395	0.190217
Amp	 1	43400875	43476957	0.000000	0.121872	0.427241	0.190217
Amp	 1	43486624	43529203	0.000000	0.120125	0.436047	0.184783
Amp	 1	43530154	43610139	0.000000	0.121764	0.427014	0.190217
Amp	 1	43611005	43653446	0.000000	0.115148	0.425336	0.184783
Amp	 1	43654372	43803944	0.000000	0.120444	0.436734	0.184783
Amp	 1	43804340	43837178	0.000000	0.136962	0.459032	0.190217
Amp	 1	43839810	44014949	0.000000	0.130028	0.457609	0.184783
Amp	 1	44021820	44066730	0.000000	0.140830	0.467512	0.190217
Amp	 1	44068533	44140075	0.000000	0.161433	0.497832	0.195652
Amp	 1	44140108	44159431	0.000000	0.139694	0.453643	0.195652
Amp	 1	44159503	44159503	0.000000	0.123176	0.431828	0.190217
Amp	 1	44160813	44233532	0.000000	0.108829	0.401833	0.190217
Amp	 1	44236533	44239589	0.000000	0.102321	0.398733	0.184783
Amp	 1	44242675	44263065	0.000000	0.115532	0.427164	0.184783
Amp	 1	44263415	44287414	0.000000	0.102321	0.398543	0.184783
Amp	 1	44295351	44940904	0.000000	0.083296	0.357596	0.184783
Amp	 1	44944000	44988500	0.000000	0.072494	0.344062	0.179348
Amp	 1	44991278	44991991	0.000000	0.080468	0.357265	0.184783
Amp	 1	44992714	45122280	0.000000	0.091425	0.380848	0.184783
Amp	 1	45126334	45155226	0.000000	0.097559	0.382790	0.190217
Amp	 1	45157209	45157738	0.000000	0.100194	0.379934	0.195652
Amp	 1	45158040	45165883	0.000000	0.091434	0.369679	0.190217
Amp	 1	45166383	45175925	0.000000	0.100959	0.389607	0.190217
Amp	 1	45178673	45281704	0.000000	0.094826	0.387865	0.184783
Amp	 1	45289218	45302697	0.000000	0.100230	0.399498	0.184783
Amp	 1	45303372	45343917	0.000000	0.090729	0.379048	0.184783
Amp	 1	45344377	45358527	0.000000	0.085324	0.365160	0.184783
Amp	 1	45360287	45369086	0.000000	0.075894	0.343171	0.184783
Amp	 1	45369174	45392955	0.000000	0.069534	0.337464	0.179348
Amp	 1	45393277	45666881	0.000000	0.079082	0.358637	0.179348
Amp	 1	45668734	45840008	0.000000	0.069651	0.342055	0.173913
Amp	 1	45843023	45845263	0.000000	0.061613	0.323676	0.173913
Amp	 1	45846972	46001330	0.000000	0.055472	0.318397	0.168478
Amp	 1	46009435	46017592	0.000000	0.045946	0.295912	0.168478
Amp	 1	46018624	46356414	0.000000	0.038103	0.285059	0.163043
Amp	 1	46356577	46605369	0.000000	0.035467	0.293342	0.157609
Amp	 1	46605456	46738151	0.000000	0.043018	0.301531	0.163043
Amp	 1	46746164	46881353	0.000000	0.035467	0.292878	0.157609
Amp	 1	46885104	47225886	0.000000	0.040420	0.295943	0.163043
Amp	 1	47226045	47421620	0.000000	0.053260	0.315735	0.157609
Amp	 1	47430887	47463665	0.000000	0.068874	0.346200	0.163043
Amp	 1	47470552	47666329	0.000000	0.053260	0.315735	0.157609
Amp	 1	47666546	48047264	0.000000	0.040420	0.293455	0.152174
Amp	 1	48048106	48049674	0.000000	0.051696	0.322924	0.152174
Amp	 1	48056629	48109225	0.000000	0.075502	0.385138	0.152174
Amp	 1	48110751	48335976	0.000000	0.070549	0.385149	0.146739
Amp	 1	48337061	48464380	0.000000	0.051407	0.333269	0.146739
Amp	 1	48465383	48518813	0.000000	0.071067	0.386553	0.146739
Amp	 1	48530258	48576073	0.000000	0.079333	0.408956	0.146739
Amp	 1	48576466	48598852	0.000000	0.062377	0.363001	0.146739
Amp	 1	48604073	48605803	0.000000	0.070891	0.372286	0.152174
Amp	 1	48606878	48615409	0.000000	0.083724	0.394834	0.157609
Amp	 1	48622237	48711815	0.000000	0.065080	0.345884	0.157609
Amp	 1	48725296	48810146	0.000000	0.069038	0.365469	0.152174
Amp	 1	48812953	48824772	0.000000	0.060525	0.355932	0.146739
Amp	 1	48826009	48916271	0.000000	0.056253	0.357600	0.141304
Amp	 1	48920666	48948077	0.000000	0.046409	0.341036	0.135870
Amp	 1	48963103	49151886	0.000000	0.029618	0.291615	0.135870
Amp	 1	49154950	49409328	0.000000	0.035671	0.309334	0.135870
Amp	 1	49414844	49441530	0.000000	0.029618	0.291054	0.135870
Amp	 1	49442023	49649795	0.000000	0.034684	0.295575	0.141304
Amp	 1	49653482	49731253	0.000000	0.043617	0.308839	0.146739
Amp	 1	49731368	51105936	0.000000	0.034684	0.295575	0.141304
Amp	 1	51109953	51149663	0.000000	0.046891	0.317712	0.146739
Amp	 1	51149883	51160745	0.000000	0.034684	0.299654	0.135870
Amp	 1	51163760	53424708	0.000000	0.032226	0.303470	0.130435
Amp	 1	53426440	53796921	0.000000	0.039389	0.307343	0.141304
Amp	 1	53798923	54152621	0.000000	0.044969	0.323681	0.141304
Amp	 1	54155569	54227368	0.000000	0.050711	0.339844	0.141304
Amp	 1	54229982	54293177	0.000000	0.059946	0.352502	0.146739
Amp	 1	54301917	54302780	0.000000	0.052783	0.345900	0.141304
Amp	 1	54304849	54416719	0.000000	0.084691	0.419566	0.146739
Amp	 1	54416921	54647789	0.000000	0.091174	0.429005	0.152174
Amp	 1	54654522	54720043	0.000000	0.059266	0.358416	0.146739
Amp	 1	54730651	54855058	0.000000	0.052783	0.345900	0.141304
Amp	 1	54861189	54908991	0.000000	0.047204	0.330196	0.141304
Amp	 1	54917832	55464868	0.000000	0.041461	0.313896	0.141304
Amp	 1	55466813	56386755	0.000000	0.035929	0.303514	0.135870
Amp	 1	56391806	56892693	0.000000	0.044333	0.315494	0.141304
Amp	 1	56895229	56949535	0.000000	0.051196	0.334906	0.141304
