Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-IG-A3YA	9	23771513	24573542	424	3.596844
TCGA-IG-A3YA	9	24574636	24856402	180	2.453344
TCGA-IG-A3YA	9	24857287	25953815	651	0.999499
TCGA-IG-A3YA	9	25954053	27054494	546	0.168804
TCGA-IG-A3YA	9	27065021	140938752	51262	0
TCGA-IG-A3YA	10	415240	135225087	80492	0
TCGA-IG-A3YA	11	456120	66832078	35221	0
TCGA-IG-A3YA	11	66832512	68008753	290	0.870894
TCGA-IG-A3YA	11	68013144	69348845	696	2.151406
TCGA-IG-A3YA	11	69348869	69523068	95	3.078527
TCGA-IG-A3YA	11	69523549	70421299	453	2.151406
TCGA-IG-A3YA	11	70421706	71459603	639	1.441411
TCGA-IG-A3YA	11	71463563	72351815	369	0
TCGA-IG-A3YA	11	72355523	72366769	10	1.582086
TCGA-IG-A3YA	11	72370314	134132624	39040	0
TCGA-IG-A3YA	12	889902	9744633	4686	0.155226
TCGA-IG-A3YA	12	9745778	133155338	68780	0
TCGA-IG-A3YA	13	19450806	114987458	56281	0
TCGA-IG-A3YA	14	20501368	105986740	49161	0
TCGA-IG-A3YA	15	23687685	101884307	44218	0
TCGA-IG-A3YA	16	653503	89379936	40492	0
TCGA-IG-A3YA	17	987221	80917016	36706	0
TCGA-IG-A3YA	18	329586	77109240	42403	0
TCGA-IG-A3YA	19	284018	58878226	23690	0
TCGA-IG-A3YA	20	456452	62219648	37016	0
TCGA-IG-A3YA	21	15372509	47678295	20398	0
TCGA-IG-A3YA	22	17423930	49331012	16742	0
TCGA-IG-A3YA	X	3157107	97367118	36585	0
TCGA-IG-A3YA	X	97381026	154905589	25912	0.4413
TCGA-IG-A3YB	1	3218610	11681568	4682	0
TCGA-IG-A3YB	1	11684500	11798812	50	-0.384569
TCGA-IG-A3YB	1	11799228	53625449	21505	0
TCGA-IG-A3YB	1	53626014	53731349	67	-0.360542
TCGA-IG-A3YB	1	53732138	67348668	9754	0
TCGA-IG-A3YB	1	67349271	67437043	47	-0.363381
TCGA-IG-A3YB	1	67440820	72151300	2781	0
TCGA-IG-A3YB	1	72151607	98103825	15610	-0.369608
TCGA-IG-A3YB	1	98108700	98359200	117	-0.878396
TCGA-IG-A3YB	1	98359342	120527361	12914	-0.369608
TCGA-IG-A3YB	1	149881398	161212294	6013	0.674903
TCGA-IG-A3YB	1	161212569	188215878	17760	0
TCGA-IG-A3YB	1	188216596	199236045	6168	0.723218
TCGA-IG-A3YB	1	199237286	200527754	863	0
TCGA-IG-A3YB	1	200542194	208153122	4660	0.694583
TCGA-IG-A3YB	1	208153368	209160036	820	1.416963
TCGA-IG-A3YB	1	209160307	212477974	2287	0
TCGA-IG-A3YB	1	212489243	213644032	700	1.416243
TCGA-IG-A3YB	1	213648705	219918662	4396	0
TCGA-IG-A3YB	1	219919058	219933523	21	1.252068
TCGA-IG-A3YB	1	219933998	247812431	17381	0.311919
TCGA-IG-A3YB	2	484222	39065077	22649	0
TCGA-IG-A3YB	2	39073321	39234183	95	-0.86755
TCGA-IG-A3YB	2	39238395	118057063	38387	0
TCGA-IG-A3YB	2	118067414	118575342	243	1.196755
TCGA-IG-A3YB	2	118575468	122189458	2242	0.463086
TCGA-IG-A3YB	2	122189631	122254957	24	-0.319533
TCGA-IG-A3YB	2	122258891	123539671	794	0.488746
TCGA-IG-A3YB	2	123544134	124920404	774	0
TCGA-IG-A3YB	2	124920813	126079971	87	0.449044
TCGA-IG-A3YB	2	126082102	134972108	4214	0
TCGA-IG-A3YB	2	134972732	135047143	64	-0.4743
TCGA-IG-A3YB	2	135047669	135888382	506	0
TCGA-IG-A3YB	2	135889881	136158608	112	-0.4329
TCGA-IG-A3YB	2	136158867	141013579	2482	0
TCGA-IG-A3YB	2	141013762	141285610	155	-0.438004
TCGA-IG-A3YB	2	141285622	141388483	77	-0.869858
TCGA-IG-A3YB	2	141389082	141420009	23	-0.438004
TCGA-IG-A3YB	2	141420440	142468592	683	0
TCGA-IG-A3YB	2	142470836	142693260	212	-0.453136
TCGA-IG-A3YB	2	142701852	149608766	3651	0
TCGA-IG-A3YB	2	149616080	149653891	23	2.216129
TCGA-IG-A3YB	2	149655302	149671105	8	0
TCGA-IG-A3YB	2	149674867	149893585	62	2.672393
TCGA-IG-A3YB	2	149897137	164618825	8686	0
TCGA-IG-A3YB	2	164619926	164773980	58	2.083124
TCGA-IG-A3YB	2	164784285	165536669	404	1.192091
TCGA-IG-A3YB	2	165537140	166415099	484	0.466255
TCGA-IG-A3YB	2	166418242	166460814	31	1.779922
TCGA-IG-A3YB	2	166467351	166474414	5	0
TCGA-IG-A3YB	2	166475379	166516698	22	1.16196
TCGA-IG-A3YB	2	166517372	169034735	1524	0
TCGA-IG-A3YB	2	169036890	169054131	15	2.095441
TCGA-IG-A3YB	2	169054863	169113114	43	0
TCGA-IG-A3YB	2	169117041	169138250	15	2.224612
TCGA-IG-A3YB	2	169139804	171690580	1717	0
TCGA-IG-A3YB	2	171693435	202114026	16207	1.183511
TCGA-IG-A3YB	2	202117510	213388957	6438	0
TCGA-IG-A3YB	2	213389672	213412426	20	-0.678473
TCGA-IG-A3YB	2	213413231	219859623	3966	0
TCGA-IG-A3YB	2	219870410	242476062	13601	-0.440352
TCGA-IG-A3YB	3	2212571	74611543	43050	0
TCGA-IG-A3YB	3	74612447	93740692	7627	-0.449742
TCGA-IG-A3YB	3	93743933	188115390	50650	0
TCGA-IG-A3YB	3	188116405	188375747	163	-0.51381
TCGA-IG-A3YB	3	188375952	188539317	110	-0.905464
TCGA-IG-A3YB	3	188539929	197446887	4330	0
TCGA-IG-A3YB	3	197481113	197538677	24	-0.505546
TCGA-IG-A3YB	4	1053934	188762240	102132	0
TCGA-IG-A3YB	5	914233	58626129	31189	0
TCGA-IG-A3YB	5	58626842	58848981	179	-0.881893
TCGA-IG-A3YB	5	58851811	102468599	22103	0
TCGA-IG-A3YB	5	102481681	102513915	20	-0.881893
TCGA-IG-A3YB	5	102518843	166574429	38468	0
TCGA-IG-A3YB	5	166574934	180360469	8077	0.219307
TCGA-IG-A3YB	6	1014281	53480472	31508	0
TCGA-IG-A3YB	6	53483744	53493608	7	-0.875864
TCGA-IG-A3YB	6	53496002	105587720	25895	0
TCGA-IG-A3YB	6	105588578	105642688	34	0.621366
TCGA-IG-A3YB	6	105644204	106934016	861	0
TCGA-IG-A3YB	6	106936385	107111381	136	-0.434974
TCGA-IG-A3YB	6	107114361	119146375	6761	0
TCGA-IG-A3YB	6	119216881	119283705	45	-0.430893
TCGA-IG-A3YB	6	119284428	149177820	18182	0
TCGA-IG-A3YB	6	149179711	149362619	155	-0.495153
TCGA-IG-A3YB	6	149363013	170903919	12409	0
TCGA-IG-A3YB	7	708774	6500782	2134	-0.389377
TCGA-IG-A3YB	7	6500963	22159047	8700	0.779298
TCGA-IG-A3YB	7	22159182	49391026	17498	0
TCGA-IG-A3YB	7	49393619	50786050	984	-0.437107
TCGA-IG-A3YB	7	50787431	53915698	2150	0.357955
TCGA-IG-A3YB	7	53915850	54068618	77	-0.499216
TCGA-IG-A3YB	7	54075091	56511824	1506	-0.374122
TCGA-IG-A3YB	7	56513761	56584411	31	1.69277
TCGA-IG-A3YB	7	56584546	77217422	5379	0.2747
TCGA-IG-A3YB	7	77219239	77739409	316	-0.82218
TCGA-IG-A3YB	7	77740000	101520542	12214	0.371041
TCGA-IG-A3YB	7	101526248	101753989	133	-0.838879
TCGA-IG-A3YB	7	101757331	110437435	4814	0.398391
TCGA-IG-A3YB	7	110439572	110775098	189	-1.292893
TCGA-IG-A3YB	7	111353361	133729171	12023	0
TCGA-IG-A3YB	7	133857289	133889429	24	1.65833
TCGA-IG-A3YB	7	133892625	133911417	13	3.631578
TCGA-IG-A3YB	7	133915226	133946110	16	2.507889
TCGA-IG-A3YB	7	133961288	141203577	4454	0
TCGA-IG-A3YB	7	141205660	141986461	321	0.878879
TCGA-IG-A3YB	7	142508376	143734056	469	0
TCGA-IG-A3YB	7	143734505	143816346	61	2.786998
TCGA-IG-A3YB	7	143820444	150190761	3295	0
TCGA-IG-A3YB	7	150195255	150272366	69	2.47564
TCGA-IG-A3YB	7	150314686	150329796	18	1.212984
TCGA-IG-A3YB	7	150331968	150462550	82	0
TCGA-IG-A3YB	7	150465177	150667210	124	2.595935
TCGA-IG-A3YB	7	150691173	150799379	34	0
TCGA-IG-A3YB	7	150800739	150909844	58	2.931654
TCGA-IG-A3YB	7	150912381	150928545	13	0.928849
TCGA-IG-A3YB	7	150941626	158385118	3780	0
TCGA-IG-A3YB	8	617667	77131580	41678	0
TCGA-IG-A3YB	8	77132074	78793375	888	1.267884
TCGA-IG-A3YB	8	78800051	89836786	5630	0
TCGA-IG-A3YB	8	89841190	89951923	73	-0.604948
TCGA-IG-A3YB	8	89961783	104749777	8689	0
TCGA-IG-A3YB	8	104750007	104924359	84	-0.510096
TCGA-IG-A3YB	8	104925755	115198242	5383	0
TCGA-IG-A3YB	8	115205085	115235767	27	-0.335119
TCGA-IG-A3YB	8	115238374	145232496	18659	0
TCGA-IG-A3YB	9	789932	3484373	1850	0
TCGA-IG-A3YB	9	3490407	3530635	12	-0.87534
TCGA-IG-A3YB	9	3553220	5607481	1415	0
TCGA-IG-A3YB	9	5611421	5711053	37	-0.783973
TCGA-IG-A3YB	9	5712626	21910811	10064	0
TCGA-IG-A3YB	9	21914588	21947957	18	-1.27237
TCGA-IG-A3YB	9	21948666	22005317	53	-0.985476
TCGA-IG-A3YB	9	22005330	22179084	136	-1.27237
TCGA-IG-A3YB	9	22183162	86434458	20287	0
TCGA-IG-A3YB	9	86443306	86512883	32	-0.610012
TCGA-IG-A3YB	9	86518278	140938752	33761	0
TCGA-IG-A3YB	10	415240	22109163	15349	0.268937
TCGA-IG-A3YB	10	22113290	22177176	25	-0.393502
TCGA-IG-A3YB	10	22177488	32826089	7049	0.276006
TCGA-IG-A3YB	10	32834043	33135468	143	-0.402497
TCGA-IG-A3YB	10	33135753	113821725	44089	0
TCGA-IG-A3YB	10	113830311	113859224	27	-0.900067
TCGA-IG-A3YB	10	113869866	135225087	13810	0
TCGA-IG-A3YB	11	456120	39566505	24491	0
TCGA-IG-A3YB	11	39573471	43875383	2903	0.313903
TCGA-IG-A3YB	11	43875469	43934717	40	-0.456914
TCGA-IG-A3YB	11	43939764	46409311	1641	0.331678
TCGA-IG-A3YB	11	46418798	46440070	9	-0.520696
TCGA-IG-A3YB	11	46442526	70171624	7536	0
TCGA-IG-A3YB	11	70176717	70284068	67	-0.875161
TCGA-IG-A3YB	11	70295897	85268653	8605	0
TCGA-IG-A3YB	11	85282291	85736034	245	0.676655
TCGA-IG-A3YB	11	85737385	87440359	1194	0
TCGA-IG-A3YB	11	87453027	87861688	246	-0.811848
TCGA-IG-A3YB	11	87863418	134132624	29836	0
TCGA-IG-A3YB	12	889902	10965815	5398	0
TCGA-IG-A3YB	12	10968628	11152443	107	-1.24512
TCGA-IG-A3YB	12	11356080	46145500	17722	0
TCGA-IG-A3YB	12	46148745	46365845	97	-0.840537
TCGA-IG-A3YB	12	46374106	133155338	50142	0
TCGA-IG-A3YB	13	19450806	24092276	2418	-0.819581
TCGA-IG-A3YB	13	24092328	28717392	2773	-0.399723
TCGA-IG-A3YB	13	28728026	29528992	544	1.126653
TCGA-IG-A3YB	13	29529377	34671244	3569	2.069354
TCGA-IG-A3YB	13	34673372	75972846	22802	-0.823399
TCGA-IG-A3YB	13	75972975	76011396	36	0.626337
TCGA-IG-A3YB	13	76015669	94987721	11325	0
TCGA-IG-A3YB	13	94988900	95277854	195	0.742142
