Enrichscore,TGFBcluster
0.168102966204502,Grey-TGFB
0.25255769661308,Grey-TGFB
0.107565933832782,Grey-TGFB
0.239554417966507,Grey-TGFB
0.0814407875803964,Grey-TGFB
0.0301703122783116,Grey-TGFB
0.168722713684714,Grey-TGFB
0.23485092112635,Grey-TGFB
0.054213562623697,Grey-TGFB
0.151576094817381,Grey-TGFB
0.177916995842293,Grey-TGFB
0.259630040418915,Grey-TGFB
0.229874910601594,Grey-TGFB
0.14565018923829,Grey-TGFB
0.291643792326298,Grey-TGFB
0.230957912845742,Grey-TGFB
0.210665013154303,Grey-TGFB
0.162410589840524,Grey-TGFB
0.0446454628237461,Grey-TGFB
0.170009179481871,Grey-TGFB
0.0974211650988669,Grey-TGFB
0.243802759967157,Grey-TGFB
0.12997608880053,Grey-TGFB
0.187987329008584,Grey-TGFB
0.252480857775247,Grey-TGFB
0.327789455496205,Grey-TGFB
0.123697028966042,Grey-TGFB
0.0511960303482879,Grey-TGFB
0.154833559452539,Grey-TGFB
0.0168442847745416,Grey-TGFB
0.166219236216608,Grey-TGFB
0.196679976913148,Grey-TGFB
0.143043013453617,Grey-TGFB
0.286212356638123,Grey-TGFB
0.236145272851397,Grey-TGFB
0.0614395280323003,Grey-TGFB
0.320459421454014,Grey-TGFB
0.278943972675636,Grey-TGFB
0.282804757103341,Grey-TGFB
0.123144738155098,Grey-TGFB
0.26342825443105,Grey-TGFB
0.367891201800944,Grey-TGFB
0.275676012101798,Grey-TGFB
0.200468144799817,Grey-TGFB
0.358154595735807,Grey-TGFB
0.153080806865322,Grey-TGFB
0.140745702962248,Grey-TGFB
0.169808648907065,Grey-TGFB
0.104512867342177,Grey-TGFB
0.134801533384444,Grey-TGFB
0.173152561105123,Grey-TGFB
0.249338750784471,Grey-TGFB
0.167759478858199,Grey-TGFB
0.326484847224895,Grey-TGFB
0.0671927871096157,Blue-TGFB
0.112865571996328,Blue-TGFB
0.281825436838634,Blue-TGFB
0.152941397257888,Blue-TGFB
0.168958287451733,Blue-TGFB
0.177357905591768,Blue-TGFB
0.236844764764925,Blue-TGFB
0.150132480157274,Blue-TGFB
0.266929124830741,Blue-TGFB
0.183152800072635,Blue-TGFB
0.0644616109494224,Blue-TGFB
0.225582482680497,Blue-TGFB
0.107433517887485,Blue-TGFB
0.259834183099277,Blue-TGFB
0.153030398859591,Blue-TGFB
0.239205711445896,Blue-TGFB
0.197675586083117,Blue-TGFB
0.221545326192965,Blue-TGFB
0.145706804682915,Blue-TGFB
