,TCGA-K4-A54R-11,TCGA-BL-A13J-11,TCGA-GD-A3OP-11,TCGA-CU-A0YN-11,TCGA-BT-A20R-11,TCGA-BT-A20Q-11,TCGA-K4-A3WV-11,TCGA-GD-A3OQ-11,TCGA-BT-A2LA-11,TCGA-BT-A2LB-11,TCGA-CU-A0YR-11,TCGA-BT-A20W-11,TCGA-GD-A2C5-11,TCGA-BT-A20U-11,TCGA-GC-A3WC-11,TCGA-BT-A20N-11,TCGA-GC-A3BM-11
ENSG00000196796,2,1,2,1,1,0,1,0,0,1,0,2,1,2,4,0,2
ENSG00000196800,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0
ENSG00000196805,0,0,0,0,1,0,0,0,3,18,0,1,0,114,0,0,0
ENSG00000196810,270,534,1051,712,492,557,1005,1398,871,368,675,602,1020,368,653,374,522
ENSG00000196811,0,0,6,0,0,0,2,3,0,1,1,3,1,4,1,0,2
ENSG00000196812,62,52,267,72,66,48,381,306,317,75,79,143,379,112,160,40,115
ENSG00000196814,747,778,1814,845,1064,645,3243,4198,2668,641,1229,962,1894,287,886,602,2341
ENSG00000196821,4579,8006,7106,11215,15946,7354,5808,8609,8602,6949,7241,5175,10830,4072,7108,6429,4509
ENSG00000196826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ENSG00000196832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196834,2,0,1,1,5,4,2,0,0,2,1,1,1,1,1,1,3
ENSG00000196839,126,208,435,246,475,184,83,256,163,865,467,538,446,526,603,134,161
ENSG00000196843,3711,1755,1980,951,34065,1973,1147,1394,2142,2220,2193,2118,1921,809,3265,11026,4963
ENSG00000196844,0,3,0,3,4,4,0,0,0,1,2,0,1,0,1,1,0
ENSG00000196850,3885,2264,3192,1584,8113,1402,1784,3056,2785,4239,2049,1969,1836,1653,1987,1855,2433
ENSG00000196859,4,0,7,0,0,0,2,2,0,1,0,1,0,1,0,1,1
ENSG00000196860,3,5,10,7,21,8,9,11,8,6,20,12,5,1,8,10,10
ENSG00000196862,0,0,0,0,3,0,2,1,0,1,0,1,4,0,3,2,2
ENSG00000196865,1471,1931,2710,1826,3674,1190,1728,4841,1848,1306,2042,2500,1680,944,1786,1593,2278
ENSG00000196866,1,1,3,0,1,0,0,3,4,3,3,6,13,9,1,2,1
ENSG00000196867,271,455,420,360,531,358,502,752,384,203,461,274,277,76,411,292,487
ENSG00000196872,348,75,1866,54,304,63,1795,890,868,1590,271,415,1127,1320,315,39,265
ENSG00000196873,77,14,109,7,18,5,156,164,50,44,15,37,57,35,37,15,88
ENSG00000196876,25,7,25,7,10,0,56,306,70,23,25,51,20,4,28,4,93
ENSG00000196878,102679,31,44722,131,164,72,11321,16533,58903,24045,2748,6193,10771,3951,6806,48,41179
ENSG00000196890,7,3,68,2,5,2,30,24,8,18,4,26,44,13,16,2,21
ENSG00000196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196900,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000196911,481,657,669,469,1507,409,580,1286,666,341,808,562,698,240,740,533,854
ENSG00000196912,12,35,32,26,53,21,14,63,6,28,38,18,42,13,54,42,26
ENSG00000196914,7701,7345,12614,6984,21958,7734,8887,19193,7198,9887,9290,9509,12803,5114,6693,7014,9640
ENSG00000196917,239,5,392,5,10,4,1269,1278,247,76,77,278,783,47,38,8,354
ENSG00000196922,355,878,1458,1192,1631,1029,987,1952,889,767,854,963,1929,445,1008,784,299
ENSG00000196923,3328,18396,5590,21837,26146,22821,2406,10462,2988,2396,14830,5151,1735,3366,16322,13347,2548
ENSG00000196924,52079,918641,78494,881601,1248989,915388,55375,359288,35512,44935,609260,152714,28170,90875,509685,585624,43299
ENSG00000196932,23,1,35,35,13,1,53,92,36,12,28,82,38,6,38,10,39
ENSG00000196933,0,1,7,0,7,0,1,11,3,1,0,0,2,0,1,1,4
ENSG00000196935,442,436,1242,359,1071,283,563,1045,568,1108,495,608,1123,681,500,394,488
ENSG00000196936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196937,1688,506,4996,701,1483,509,1193,2350,2433,3854,986,2076,3738,1603,1026,453,1450
ENSG00000196943,1740,1829,2891,1690,3175,1787,2329,3302,2103,2731,2184,1500,2235,1227,1964,1630,1783
ENSG00000196944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196946,1,0,0,0,0,0,1,0,0,2,1,0,1,0,2,0,0
ENSG00000196950,607,382,923,505,790,289,966,1838,657,516,726,1314,1728,263,587,346,888
ENSG00000196951,29,26,58,7,11,14,59,75,93,17,32,31,137,12,30,11,44
ENSG00000196954,1953,547,6020,575,2927,332,2766,2937,2621,3414,1368,1932,3934,2488,1948,657,2203
ENSG00000196961,3473,3414,7296,4395,5714,3144,4132,6284,3832,5420,4374,4820,7634,3623,4667,2604,3869
ENSG00000196967,146,406,326,243,432,253,309,628,259,158,351,292,432,119,401,226,221
ENSG00000196968,602,503,775,632,662,417,567,1289,678,675,776,997,1414,576,517,395,645
ENSG00000196970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196972,32,76,98,43,56,48,174,122,87,67,106,94,76,46,80,55,103
ENSG00000196975,3555,1854,9000,1502,2793,1723,5048,8078,6704,4408,3274,4941,7775,2784,3820,1233,4287
ENSG00000196976,280,271,819,380,671,244,526,654,1223,573,461,742,1115,532,534,255,504
ENSG00000196979,13,0,0,2,12,6,0,4,1,6,4,4,1,1,3,5,4
ENSG00000196981,89,278,388,191,65,164,516,595,185,119,213,267,592,100,283,95,132
ENSG00000196990,34,3,9,3,1,1,5,376,39,8,12,24,11,0,4,10,100
ENSG00000196993,0,1,1,0,8,4,2,0,3,0,1,0,1,0,2,0,1
ENSG00000196998,1775,865,2737,895,1752,829,2241,2257,3174,1320,1426,1416,2307,802,1606,862,1641
ENSG00000197006,3722,2049,7508,2424,4668,1748,4154,5764,5519,6166,2935,3926,5775,3921,3062,1597,3941
ENSG00000197008,138,96,656,78,140,82,546,755,483,250,240,340,604,270,181,69,300
ENSG00000197013,183,269,638,193,235,199,610,1077,317,96,307,329,735,138,276,113,211
ENSG00000197016,162,374,283,243,358,373,386,559,197,186,322,262,371,89,309,239,206
ENSG00000197019,5033,903,4751,415,9868,457,1581,1856,12197,6600,1070,1529,3941,994,2206,3518,6966
ENSG00000197020,346,153,440,156,186,115,350,780,313,155,216,411,612,108,134,72,438
ENSG00000197021,946,247,1697,285,579,246,1285,1349,1577,781,367,527,754,361,580,283,744
ENSG00000197023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197024,1262,826,1240,596,542,561,1433,1852,1574,1028,770,964,916,537,839,407,757
ENSG00000197037,442,535,938,469,629,384,971,1231,648,718,739,741,913,408,687,369,518
ENSG00000197038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197043,3554,27276,7664,35252,53840,25500,3876,18690,5692,5505,26275,14032,7035,4488,29523,21593,6309
ENSG00000197044,97,456,345,291,128,299,482,739,65,103,373,169,243,140,443,122,234
ENSG00000197045,2792,1298,2269,1177,3801,860,1875,3103,1610,1675,1253,2068,2039,1339,1197,1167,1760
ENSG00000197046,319,3,635,20,6,7,1066,726,851,8,64,207,255,5,39,3,317
ENSG00000197050,115,287,336,247,279,222,376,587,281,239,365,256,418,135,412,213,205
ENSG00000197054,29,102,145,47,30,44,141,172,129,39,95,41,125,25,103,21,82
ENSG00000197056,194,301,484,463,315,236,381,867,154,269,386,341,573,236,374,169,256
ENSG00000197057,19,0,7,1,1,0,6,14,8,15,14,60,25,6,21,2,8
ENSG00000197061,2,0,1,0,2,0,1,1,1,1,3,9,2,2,0,1,1
ENSG00000197062,158,684,591,732,671,623,532,1122,279,217,885,475,641,201,907,369,358
ENSG00000197063,1944,3335,1795,2028,5086,1607,1667,3247,2596,2877,1550,1268,2761,1646,2583,2246,3214
ENSG00000197067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000197070,2899,342,5786,300,588,330,3612,2968,3270,2967,654,1042,2219,1736,1175,261,1999
ENSG00000197077,2233,3919,6817,2096,7133,4308,2216,5854,2291,9485,3904,3157,4470,3950,3230,2505,1910
ENSG00000197079,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ENSG00000197081,4632,5763,9073,5532,9165,3728,6365,11745,5405,6904,5694,8535,5974,2767,5590,3632,7214
ENSG00000197083,28,114,107,79,75,113,117,141,14,68,94,61,52,14,61,54,148
ENSG00000197084,0,0,2,0,0,0,0,6,2,11,0,5,4,4,1,0,3
ENSG00000197085,0,0,0,0,0,0,3,11,1,2,3,2,5,0,0,0,3
ENSG00000197092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197093,310,246,702,485,331,325,401,1406,647,610,565,874,678,315,737,189,583
ENSG00000197099,7,1,8,0,0,1,4,2,3,2,4,1,0,5,3,2,1
ENSG00000197102,15111,24456,23516,25016,44119,24597,15915,31610,17526,15069,22465,16399,19812,8522,17753,20176,12942
ENSG00000197106,4,1,7,3,110,8,2,6,0,16,15,19,5,2,3,5,1
ENSG00000197110,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
ENSG00000197111,10904,7130,16095,6209,12743,4637,13464,15029,21457,14649,10776,11397,14938,8794,11413,4873,11307
ENSG00000197114,531,139,705,180,312,157,433,489,337,384,222,203,523,240,326,146,302
ENSG00000197119,1214,585,2224,451,507,415,1783,1765,993,1148,791,583,1035,1476,1023,327,1005
ENSG00000197121,1919,503,1447,1054,1470,431,2286,4488,1326,835,896,952,918,540,684,403,1662
ENSG00000197122,9116,3231,8424,3067,5416,3030,9707,10990,9464,7377,3442,4902,7649,2582,5071,2705,6658
ENSG00000197123,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0
ENSG00000197124,136,77,343,62,82,58,605,427,245,107,108,119,222,18,93,34,149
ENSG00000197125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197128,79,202,253,160,53,112,372,471,73,92,182,296,255,124,177,76,202
ENSG00000197134,19,32,109,38,34,27,123,192,43,32,51,68,285,6,32,14,72
ENSG00000197136,3920,1135,5761,1463,2167,1167,3377,5522,3057,3378,1756,2667,3582,2354,1965,1116,2830
ENSG00000197140,17,27,26,35,87,28,35,53,17,35,43,52,124,14,28,39,30
ENSG00000197142,13394,303,25333,221,792,171,10203,19867,10370,2627,2858,6029,7196,827,4607,255,8553
ENSG00000197147,1357,153,852,103,698,70,665,1362,976,1092,339,944,2009,639,408,160,934
ENSG00000197149,94,95,107,129,297,84,369,275,551,349,297,234,191,254,176,37,255
ENSG00000197150,722,527,2001,806,1216,502,808,1589,1003,1674,918,1201,853,1154,973,572,793
ENSG00000197153,0,0,0,1,0,0,0,2,0,1,2,2,5,4,0,0,1
ENSG00000197157,5193,4941,9880,6998,25195,6217,7927,10545,10504,8098,10196,8702,8829,6507,10071,6217,5308
ENSG00000197161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197162,343,435,467,313,261,341,483,758,541,237,333,263,395,202,600,245,251
ENSG00000197165,43,5,60,9,20,0,428,175,365,9,25,77,44,7,35,2,102
ENSG00000197168,20,25,45,29,40,31,26,72,18,30,29,24,62,14,21,18,15
ENSG00000197170,4004,1933,3930,1507,3952,1466,2332,2933,4884,4486,1869,2899,4525,2426,1985,1338,2480
ENSG00000197171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197172,0,0,0,0,1,0,2,1,7,0,0,12,2657,27,1,0,3
ENSG00000197176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197177,1,0,16,0,2,0,34,2,0,4,7,0,0,2,2,1,7
ENSG00000197180,48,73,163,93,102,74,293,168,239,73,118,150,186,49,123,62,79
ENSG00000197181,20,20,17,107,45,66,18,89,56,6,42,61,15,7,61,56,48
ENSG00000197182,222,27,336,16,20,9,168,183,108,118,33,15,116,42,116,13,277
ENSG00000197183,1817,762,3285,1043,1205,911,2201,4232,3190,479,1654,1526,3264,200,1537,480,1847
ENSG00000197185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197191,140,5,1214,13,20,7,123,254,172,16123,14,43,280,3899,37,2,40
ENSG00000197208,192,38,112,34,535,30,124,97,113,85,115,74,63,27,130,33,235
ENSG00000197210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000197213,2,1,5,0,2,2,2,5,2,0,0,5,4,0,2,1,7
ENSG00000197214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197217,3408,1157,4044,1061,2953,826,2259,4315,2532,2304,1009,1677,3397,1356,1779,1138,2494
ENSG00000197223,415,368,1117,372,732,264,632,781,880,967,459,596,1065,335,483,278,479
ENSG00000197226,4832,4134,9638,4427,7099,3542,6401,10987,4667,7009,5269,5241,6376,3845,4755,3336,5501
ENSG00000197233,1,0,0,0,0,0,0,3,0,1,1,0,0,0,2,0,0
ENSG00000197238,2,0,3,1,2,3,3,0,3,6,1,1,2,1,2,0,1
ENSG00000197241,0,0,6,0,2,0,2,1,1,2,1,0,3,0,0,1,0
ENSG00000197245,80,86,182,86,401,85,475,102,71,246,331,355,288,57,152,132,244
ENSG00000197249,138,148,2267,138,284,17,179,374,372,514,153,608,363,102,468,370,228
ENSG00000197251,1,0,0,0,0,0,5,1,1,0,0,0,4,0,0,0,1
ENSG00000197253,1523,1457,2641,1002,4981,1102,248,2362,584,1070,2264,3406,1441,605,2374,1721,806
ENSG00000197254,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197256,3719,34836,7025,36412,65328,38500,5403,23116,4241,3688,28934,12916,6374,5456,31708,27043,8326
ENSG00000197258,130,101,195,113,321,93,263,259,171,70,184,104,145,44,205,66,262
ENSG00000197261,1818,31,210,6,17,12,17,98,254,666,119,142,74,31,82,5,346
ENSG00000197263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197265,1364,743,2120,666,1238,599,1030,1431,2142,1849,787,1253,1247,1089,1090,580,1066
ENSG00000197272,5,0,10,1,8,0,4,4,11,2,0,6,1,0,2,1,1
ENSG00000197273,0,0,5,5,0,0,0,0,8,1,0,24,0,0,0,0,0
ENSG00000197275,34,23,87,74,45,28,89,280,114,54,50,146,147,38,66,17,94
ENSG00000197279,1132,30,379,25,20,34,264,243,2171,309,32,138,687,116,87,11,408
ENSG00000197283,710,1016,1031,993,2140,861,781,2309,722,554,1295,775,1171,448,1307,894,1015
ENSG00000197291,35,157,39,30,71,34,41,102,35,54,111,137,87,10,78,20,112
ENSG00000197296,412,1124,887,901,1211,811,540,1171,766,617,815,648,1216,404,732,840,560
ENSG00000197299,32,14,114,162,31,16,84,188,214,253,90,403,475,170,135,18,127
ENSG00000197301,2,14,4,2,5,0,0,1,1,10,5,7,3,2,5,1,3
ENSG00000197302,516,367,741,338,494,307,642,1278,548,626,476,648,905,359,448,286,534
ENSG00000197308,286,1,370,1,0,1,859,464,1030,4,37,119,288,2,82,1,268
ENSG00000197309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197312,1164,1116,3614,908,1744,878,3897,6672,3505,2416,1436,2238,4058,2363,1257,834,2382
ENSG00000197320,9,1,1,0,0,0,13,9,7,0,0,1,1,0,2,0,0
ENSG00000197321,3190,82400,6466,54543,113372,58221,6362,24473,2634,6362,34022,9767,5254,7611,43945,49633,3049
ENSG00000197322,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
ENSG00000197323,2491,1902,3550,1390,4315,1345,2670,5191,2479,3052,2252,2269,3132,1625,2312,1833,2711
ENSG00000197324,13375,10382,17453,8600,18975,9211,10083,17368,15547,23536,11079,8934,20307,11832,11414,6184,11256
ENSG00000197329,5914,592,3169,500,3227,301,2176,2829,2444,8759,1294,1828,4404,1443,1231,589,6951
ENSG00000197332,1,15,22,13,9,7,10,28,24,17,22,10,27,6,19,4,12
ENSG00000197334,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
ENSG00000197343,4028,1837,4549,1693,3893,1759,2622,5659,2199,3189,1834,2016,2352,2032,2467,1612,2941
ENSG00000197345,913,560,2135,654,1428,796,1660,1344,2216,1157,1200,1171,1319,1205,1034,684,1055
ENSG00000197353,1,0,12,1,0,0,1,1,0,407,2,1,45,1766,4,0,1
ENSG00000197355,129,417,583,293,316,384,387,783,241,275,690,479,524,281,801,197,385
ENSG00000197358,0,2,0,0,4,1,0,2,2,4,1,1,1,1,6,2,4
ENSG00000197360,5,4,16,18,11,10,63,5,15,0,3,6,28,2,5,4,10
ENSG00000197361,49,2314,271,3028,1816,2881,202,1272,79,67,1530,359,114,344,1993,1243,118
ENSG00000197362,356,150,572,158,80,139,553,729,687,414,231,316,376,280,388,104,282
ENSG00000197363,146,412,601,424,467,414,804,844,433,197,515,242,839,230,536,273,324
ENSG00000197364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197372,198,60,484,64,33,50,586,719,194,644,139,168,778,63,148,20,173
ENSG00000197375,1073,226,4564,150,457,116,1862,2230,1525,668,461,488,1320,419,469,155,1301
ENSG00000197376,3,4,1,0,9,3,0,7,13,0,2,1,2,3,9,2,3
ENSG00000197380,199,4677,1057,6437,5407,4472,1094,2435,616,393,4176,1150,516,819,3743,3123,588
ENSG00000197381,819,14458,1727,8946,21546,13083,780,4663,689,638,7378,1957,693,1512,9162,12394,662
ENSG00000197385,35,114,187,245,262,119,86,236,72,121,138,153,148,104,183,133,69
ENSG00000197386,2786,2897,6373,2914,5563,2527,4209,7695,3215,4792,3436,3054,5281,2294,3403,2843,3385
ENSG00000197403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197405,1352,1306,517,358,1400,208,114,670,1160,1095,479,719,714,55,553,925,830
ENSG00000197406,93,114,150,107,476,44,117,149,99,155,238,142,166,25,203,71,217
ENSG00000197408,1,0,0,1,1,1,0,1,0,1,1,18,1,0,2,1,1
ENSG00000197409,2,3,6,8,7,1,8,5,3,19,14,4,18,14,3,7,2
ENSG00000197410,40,304,77,483,1255,82,40,179,74,7,207,187,47,25,169,204,143
ENSG00000197415,23,6,44,7,25,4,54,85,11,11,20,22,69,1,20,3,6
ENSG00000197416,0,0,0,0,0,0,0,0,0,66,0,0,0,90,0,0,0
ENSG00000197417,127,91,364,40,85,60,227,259,286,233,126,132,179,144,117,69,180
ENSG00000197421,0,0,1,0,0,0,2,2,3,1,0,1,1,0,2,0,2
ENSG00000197428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197429,322,540,868,415,989,430,632,1256,419,429,540,453,839,352,618,398,545
ENSG00000197430,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ENSG00000197437,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000197442,3699,845,7881,646,1268,496,5298,6801,5364,1983,1498,2041,4326,1130,1798,591,4214
ENSG00000197444,122,72,26,30,48,18,316,203,965,34,101,32,171,1,64,11,109
ENSG00000197445,2,1,8,2,7,2,0,2,3,3,4,4,0,1,0,4,1
ENSG00000197446,0,1,20,0,5,3,0,1,0,509,0,1,96,79,0,0,0
ENSG00000197448,4937,1666,13967,1781,4145,1338,9292,8309,9285,5639,3380,4720,7477,4394,3980,1608,4179
ENSG00000197451,9641,3665,12118,4426,10761,3363,6747,7321,15651,12551,3957,6557,7000,6819,3964,3091,5562
ENSG00000197454,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000197457,899,585,985,1572,1747,904,696,1681,897,711,1867,2026,834,311,1566,678,1398
ENSG00000197461,822,938,1126,807,1341,874,868,1325,1309,1002,970,776,481,420,1157,834,1092
ENSG00000197462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197465,17,13,8,23,35,17,16,72,23,24,33,53,28,7,28,10,25
ENSG00000197467,747,90,120,58,603,82,162,1749,671,129,334,1248,409,22,198,108,1441
ENSG00000197468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197471,376,66,580,47,131,47,203,819,430,592,268,901,1009,218,557,102,369
ENSG00000197472,0,2,4,1,1,2,2,12,35,23,2,122,29,4,7,0,14
ENSG00000197475,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000197476,0,0,0,0,0,0,1,0,0,2,4,0,11,0,0,0,1
ENSG00000197479,104,93,167,162,383,114,52,207,58,57,198,212,390,35,133,87,170
ENSG00000197483,303,160,610,210,214,179,366,392,725,367,216,336,684,246,254,125,308
ENSG00000197487,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ENSG00000197496,1033,537,2074,934,864,337,1790,3766,1664,888,1056,1320,2716,635,1083,420,2219
ENSG00000197497,55,153,189,101,142,110,259,399,102,57,159,84,134,34,190,76,165
ENSG00000197498,1468,925,1807,763,2373,670,1161,1295,1686,2097,905,1152,1252,1046,1064,888,967
ENSG00000197503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197506,26,25,7,3,13,3,330,157,14,164,5,33,18,250,25,6,4
ENSG00000197520,19,9,25,9,55,1,17,15,15,181,11,12,52,15,128,15,29
ENSG00000197530,2251,987,2807,1007,2184,1209,1679,2350,1765,1579,1008,809,1684,1028,1651,795,1703
ENSG00000197532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197535,688,1308,1149,1406,2281,949,836,2103,800,1557,1222,1656,1542,485,1465,1187,980
ENSG00000197536,123,125,510,132,225,119,272,399,140,93,216,166,208,121,253,107,182
ENSG00000197540,94,2,177,5,19,4,68,100,260,93,82,167,266,68,103,11,110
ENSG00000197548,886,592,2305,600,1360,395,1358,1610,1841,1398,985,1241,1398,618,850,513,902
ENSG00000197549,0,0,0,0,0,0,1,0,0,10,7,4,20,2,23,1,1
ENSG00000197550,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,1
ENSG00000197555,1825,1296,2497,993,2576,1748,2365,3601,2778,2413,1609,1650,2232,1728,1579,1410,1687
ENSG00000197557,84,356,298,480,234,333,368,606,176,107,358,270,976,137,241,183,278
ENSG00000197558,64,14,48,7,48,5,72,181,30,28,49,15,31,18,19,18,94
ENSG00000197561,36,6,38,55,89,8,24,83,44,45,20,69,31,8,36,27,48
ENSG00000197562,911,558,3121,517,609,572,2762,3041,2519,1076,807,913,2867,1073,1127,425,1377
ENSG00000197563,1851,422,2920,460,985,245,1620,3253,1854,2858,653,1516,4304,1411,720,366,2073
ENSG00000197565,3587,8707,2668,14208,30340,9934,921,11920,2770,729,10364,5482,2026,1839,9945,10282,6426
ENSG00000197566,82,147,179,179,44,94,274,441,56,85,172,197,200,144,128,44,66
ENSG00000197568,120,209,325,231,243,168,370,384,554,200,213,187,279,190,254,138,182
ENSG00000197575,0,0,3,0,4,0,2,1,6,0,0,0,2,3,5,0,6
ENSG00000197576,31,56,165,104,87,82,335,112,105,44,102,57,105,37,67,51,67
ENSG00000197579,1219,804,1673,887,2277,697,1283,2037,1659,1726,1020,1181,1615,767,1276,652,1219
ENSG00000197580,192,227,344,264,266,134,82,188,178,719,104,97,91,799,188,139,171
ENSG00000197582,18,2,99,2,41,12,124,36,72,6,1,40,47,18,10,19,16
ENSG00000197584,6,9,19,4,24,9,0,8,9,8,23,17,19,4,10,3,10
ENSG00000197585,0,0,0,0,1,0,1,5,0,6,0,0,0,2,0,0,0
ENSG00000197586,2597,1015,3742,1140,1471,863,2925,3900,3016,2010,1053,1729,5071,1471,1763,921,1964
ENSG00000197587,243,0,43,2,1,1,1,278,81,0,4,26,3,0,0,1,41
ENSG00000197588,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1
ENSG00000197591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197594,196,648,149,821,2393,463,198,591,210,206,488,561,134,111,533,592,416
ENSG00000197595,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000197599,38,2,31,1,7,3,64,48,6,14,13,6,32,9,41,2,33
ENSG00000197601,5190,1820,7195,1859,3862,1610,3425,7113,3348,6706,2342,2800,4607,6337,2499,1652,3621
ENSG00000197603,660,771,1214,692,2264,643,831,2027,594,482,821,838,973,433,847,915,889
ENSG00000197608,692,273,447,174,340,179,530,658,181,390,294,314,406,204,376,153,364
ENSG00000197614,933,7573,1217,9032,5508,3815,268,4932,130,148,3384,3508,1698,103,3935,2810,534
ENSG00000197616,1,0,10,0,1,0,27,0,0,11,1,40,0,0,0,0,0
ENSG00000197617,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
ENSG00000197619,159,524,403,409,411,427,1167,673,203,238,518,459,401,146,474,238,194
ENSG00000197620,450,251,987,253,296,218,716,799,625,374,316,469,800,253,396,195,273
ENSG00000197622,10581,1989,14419,1450,5812,1254,8241,12973,7779,11747,3337,8375,8764,6163,4189,2345,9479
ENSG00000197627,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197629,569,1501,1558,1047,1021,540,616,3252,1167,1383,1113,3069,2833,276,1586,1415,890
ENSG00000197632,7444,3,296,2,44,2,3,302,1289,28362,4,193,24889,3924,116,7,4592
ENSG00000197635,126,255,184,162,355,89,88,225,96,343,423,553,278,27,176,121,89
ENSG00000197641,97,0,4758,0,0,1,16,8,13,35743,3,256,1387,13436,29,0,71
ENSG00000197644,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000197646,39,270,170,140,248,51,54,71,29,78,153,141,72,29,132,115,38
ENSG00000197647,140,125,454,126,122,133,429,440,264,144,137,128,238,136,234,67,301
ENSG00000197651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197653,21,31,40,22,48,32,37,54,23,14,25,36,13,5,24,20,23
ENSG00000197658,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000197665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197670,38,16,20,6,48,1,44,47,7,10,11,22,25,24,28,22,23
ENSG00000197674,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ENSG00000197683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197694,10314,17603,19430,22460,26677,19935,12497,21365,9026,13952,20244,14427,15437,6819,15671,15623,8536
ENSG00000197696,235,65,488,60,186,43,350,332,737,171,137,165,985,297,152,50,228
ENSG00000197702,3454,14475,4379,16248,23253,12457,3251,10192,4287,2226,8949,6362,3414,2282,8926,9860,3544
ENSG00000197705,4,20,45,12,9,4,60,45,12,58,43,77,75,17,60,10,70
ENSG00000197706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197712,3125,4143,4930,5477,7149,4779,1575,6937,3564,3578,3523,4450,5550,3508,3990,3475,2843
ENSG00000197713,880,1347,1700,1538,2045,940,1348,2393,843,1292,1110,1486,1946,1111,1263,1089,800
ENSG00000197714,112,53,90,49,1048,37,59,150,82,119,67,87,84,65,59,221,118
ENSG00000197721,2,0,4,0,3,0,0,1,2,2,5,1,6,2,1,0,2
ENSG00000197724,3309,2516,4650,2441,4511,2143,3419,5203,2229,2573,3328,2793,3338,1827,2870,2110,2833
ENSG00000197728,1626,2901,10571,2937,8511,2339,3256,14510,5842,9432,6312,2669,3919,6279,1968,2660,7019
