src,tar,source_type
source12,target 55,src_dn
source 9,target129,src_up
source14,target146,src_dn
source 2,target482,src_up
source 5,target318,src_up
source 8,target487,src_up
source11,target360,src_dn
source12,target461,src_dn
source20,target169,src_dn
source 3,target316,src_up
source15,target172,src_dn
source10,target425,src_up
source10,target426,src_up
source14,target223,src_dn
source18,target186,src_dn
source 1,target500,src_up
source 4,target269,src_up
source 5,target230,src_up
source10,target 57,src_up
source 4,target177,src_up
source 4,target324,src_up
source13,target132,src_dn
source 4,target 30,src_up
source16,target 93,src_dn
source16,target257,src_dn
source 4,target124,src_up
source 9,target 51,src_up
source16,target134,src_dn
source13,target471,src_dn
source17,target277,src_dn
source15,target385,src_dn
source20,target166,src_dn
source14,target404,src_dn
source12,target327,src_dn
source14,target 73,src_dn
source 3,target295,src_up
source19,target344,src_dn
source20,target 36,src_dn
source11,target234,src_dn
source14,target434,src_dn
source19,target201,src_dn
source11,target459,src_dn
source13,target 58,src_dn
source17,target218,src_dn
source16,target281,src_dn
source 9,target 20,src_up
source14,target220,src_dn
source19,target265,src_dn
source 8,target342,src_up
source 7,target 36,src_up
source17,target181,src_dn
source18,target488,src_dn
source 5,target192,src_up
source12,target489,src_dn
source16,target184,src_dn
source12,target118,src_dn
source 2,target191,src_up
source 9,target255,src_up
source19,target311,src_dn
source 8,target 60,src_up
source18,target379,src_dn
source 7,target429,src_up
source 4,target205,src_up
source20,target469,src_dn
source 3,target190,src_up
source 5,target304,src_up
source15,target 57,src_dn
source 6,target309,src_up
source 5,target 37,src_up
source10,target123,src_up
source17,target344,src_dn
source13,target134,src_dn
source15,target326,src_dn
source 7,target460,src_up
source20,target 38,src_dn
source20,target163,src_dn
source 8,target131,src_up
source 8,target457,src_up
source 8,target329,src_up
source17,target396,src_dn
source15,target 24,src_dn
source19,target448,src_dn
source19,target432,src_dn
source14,target354,src_dn
source 1,target224,src_up
source 5,target284,src_up
source 5,target 89,src_up
source16,target116,src_dn
source 6,target401,src_up
source 1,target 92,src_up
source 3,target481,src_up
source20,target144,src_dn
source 6,target  6,src_up
source20,target230,src_dn
source 3,target263,src_up
source20,target231,src_dn
source15,target  1,src_dn
source17,target156,src_dn
source12,target481,src_dn
source 9,target395,src_up
source14,target380,src_dn
source 9,target354,src_up
source 7,target280,src_up
source 6,target260,src_up
source16,target370,src_dn
source11,target146,src_dn
source16,target464,src_dn
source11,target 84,src_dn
source 5,target 54,src_up
source 1,target 84,src_up
source10,target259,src_up
source 1,target347,src_up
source18,target 91,src_dn
source 8,target264,src_up
source 1,target410,src_up
source19,target261,src_dn
source 9,target446,src_up
source 6,target350,src_up
source18,target333,src_dn
source16,target 79,src_dn
source 3,target 44,src_up
source 2,target336,src_up
source 4,target128,src_up
source15,target410,src_dn
source13,target406,src_dn
source11,target 33,src_dn
source11,target  5,src_dn
source16,target176,src_dn
source13,target230,src_dn
source15,target402,src_dn
source 6,target341,src_up
source 7,target315,src_up
source 6,target303,src_up
source19,target498,src_dn
source11,target203,src_dn
source 2,target233,src_up
source19,target326,src_dn
source 4,target261,src_up
source14,target205,src_dn
source 9,target302,src_up
source14,target133,src_dn
source 6,target  5,src_up
source11,target436,src_dn
source10,target216,src_up
source 7,target500,src_up
source 7,target190,src_up
source18,target377,src_dn
source 5,target360,src_up
source 9,target207,src_up
source 2,target199,src_up
source 1,target 85,src_up
source 1,target271,src_up
source19,target 79,src_dn
source20,target252,src_dn
source19,target233,src_dn
source 3,target466,src_up
source16,target440,src_dn
source 7,target393,src_up
source 1,target415,src_up
source12,target 71,src_dn
source 7,target134,src_up
source 6,target306,src_up
source11,target196,src_dn
source11,target  4,src_dn
source20,target 51,src_dn
source19,target 82,src_dn
source10,target 20,src_up
source20,target176,src_dn
source 8,target436,src_up
source 9,target421,src_up
source18,target 44,src_dn
source14,target398,src_dn
source 3,target 27,src_up
source 6,target228,src_up
source20,target 64,src_dn
source 4,target453,src_up
source19,target438,src_dn
source14,target260,src_dn
source 8,target447,src_up
source16,target468,src_dn
source16,target219,src_dn
source10,target327,src_up
source 3,target121,src_up
source17,target138,src_dn
source10,target434,src_up
source 1,target228,src_up
source 6,target292,src_up
source14,target337,src_dn
source20,target461,src_dn
source 9,target464,src_up
source16,target138,src_dn
source 3,target 29,src_up
source13,target  9,src_dn
source 7,target300,src_up
source 7,target355,src_up
source 8,target437,src_up
source 6,target  9,src_up
source 1,target111,src_up
source 5,target131,src_up
source16,target 21,src_dn
source17,target317,src_dn
source15,target428,src_dn
source 5,target233,src_up
source 4,target244,src_up
source15,target282,src_dn
source 9,target 93,src_up
source 1,target444,src_up
source10,target214,src_up
source 2,target357,src_up
source 2,target237,src_up
source 2,target314,src_up
source 8,target114,src_up
source 6,target434,src_up
source10,target403,src_up
source20,target464,src_dn
source13,target201,src_dn
source 7,target322,src_up
source 3,target331,src_up
source 3,target158,src_up
source12,target417,src_dn
source18,target368,src_dn
source13,target 84,src_dn
source 8,target320,src_up
source17,target479,src_dn
source17,target310,src_dn
source16,target 74,src_dn
source 6,target392,src_up
source 9,target340,src_up
source15,target153,src_dn
source 1,target416,src_up
source 4,target  7,src_up
source19,target488,src_dn
source17,target 37,src_dn
source 4,target312,src_up
source 6,target119,src_up
source 5,target408,src_up
source 2,target201,src_up
source 7,target396,src_up
source 9,target101,src_up
source 9,target203,src_up
source12,target444,src_dn
source 9,target 82,src_up
source 6,target240,src_up
source 6,target166,src_up
source18,target310,src_dn
source14,target440,src_dn
source 9,target122,src_up
source 2,target114,src_up
source 9,target235,src_up
source19,target121,src_dn
source16,target161,src_dn
source18,target332,src_dn
source10,target477,src_up
source18,target 76,src_dn
source 4,target400,src_up
source19,target427,src_dn
source10,target201,src_up
source 4,target 75,src_up
source 7,target 71,src_up
source10,target248,src_up
source 3,target381,src_up
source 7,target298,src_up
source12,target209,src_dn
source16,target344,src_dn
source13,target321,src_dn
source18,target203,src_dn
source 6,target447,src_up
source12,target354,src_dn
source20,target429,src_dn
source16,target284,src_dn
source 8,target500,src_up
source 1,target446,src_up
source16,target200,src_dn
source18,target218,src_dn
source13,target459,src_dn
source10,target 58,src_up
source 5,target 45,src_up
source19,target214,src_dn
source 4,target247,src_up
source17,target322,src_dn
source10,target388,src_up
source 9,target119,src_up
source15,target378,src_dn
source13,target372,src_dn
source12,target 47,src_dn
source 7,target247,src_up
source 7,target278,src_up
source14,target402,src_dn
source11,target492,src_dn
source18,target386,src_dn
source 4,target 96,src_up
source 3,target273,src_up
source10,target224,src_up
source 8,target  5,src_up
source20,target303,src_dn
source19,target354,src_dn
source18,target130,src_dn
source14,target170,src_dn
source 7,target358,src_up
source20,target279,src_dn
source14,target449,src_dn
source20,target399,src_dn
source 9,target257,src_up
source18,target135,src_dn
source17,target174,src_dn
source 9,target253,src_up
source 3,target359,src_up
source 9,target349,src_up
source10,target245,src_up
source 2,target500,src_up
source18,target244,src_dn
source 8,target495,src_up
source 8,target343,src_up
source14,target366,src_dn
source13,target447,src_dn
source 6,target150,src_up
source 9,target426,src_up
source14,target115,src_dn
source 1,target226,src_up
source20,target366,src_dn
source15,target127,src_dn
source20,target255,src_dn
source 8,target143,src_up
source 6,target498,src_up
source 7,target 30,src_up
source 1,target  4,src_up
source14,target 99,src_dn
source 2,target296,src_up
source 4,target 29,src_up
source 6,target 58,src_up
source18,target429,src_dn
source19,target458,src_dn
source 9,target176,src_up
source 2,target215,src_up
source12,target202,src_dn
source19,target492,src_dn
source 2,target478,src_up
source 8,target 10,src_up
source 6,target 17,src_up
source 2,target472,src_up
source15,target448,src_dn
source17,target 18,src_dn
source 1,target412,src_up
source 9,target471,src_up
source 8,target310,src_up
source 3,target257,src_up
source17,target193,src_dn
source16,target262,src_dn
source13,target280,src_dn
source14,target335,src_dn
source 2,target 57,src_up
source12,target123,src_dn
source19,target 16,src_dn
source13,target233,src_dn
source13,target 14,src_dn
source 1,target406,src_up
source19,target418,src_dn
source 4,target209,src_up
source16,target297,src_dn
source 6,target 92,src_up
source 4,target423,src_up
source14,target 16,src_dn
source 7,target 79,src_up
source13,target138,src_dn
source10,target303,src_up
source11,target192,src_dn
source18,target415,src_dn
source10,target461,src_up
source 6,target236,src_up
source14,target209,src_dn
source15,target174,src_dn
source20,target386,src_dn
source20,target160,src_dn
source20,target  9,src_dn
source20,target106,src_dn
source10,target 43,src_up
source18,target164,src_dn
source15,target441,src_dn
source 3,target107,src_up
source17,target142,src_dn
