key,type,path,signif
target 84,tar_up,path 2,NA
target 85,tar_up,path 2,NA
target 86,tar_dn,path 2,NA
target 87,tar_dn,path 2,NA
target 88,tar_dn,path 2,NA
target 89,tar_up,path 2,NA
target 90,tar_dn,path 2,NA
target 91,tar_up,path 3,NA
target 92,tar_up,path 3,NA
target 93,tar_up,path 3,NA
target 94,tar_up,path 3,NA
target 95,tar_up,path 3,NA
target 96,tar_dn,path 3,NA
target 97,tar_up,path 3,NA
target 98,tar_up,path 3,NA
target 99,tar_dn,path 3,NA
target100,tar_dn,path 3,NA
target101,tar_dn,path 3,NA
target102,tar_dn,path 3,NA
target103,tar_up,path 3,NA
target104,tar_dn,path 3,NA
target105,tar_dn,path 3,NA
target106,tar_dn,path 3,NA
target107,tar_up,path 3,NA
target108,tar_dn,path 3,NA
target109,tar_dn,path 3,NA
target110,tar_dn,path 3,NA
target111,tar_dn,path 3,NA
target112,tar_up,path 3,NA
target113,tar_dn,path 3,NA
target114,tar_up,path 3,NA
target115,tar_dn,path 3,NA
target116,tar_up,path 3,NA
target117,tar_dn,path 3,NA
target118,tar_dn,path 3,NA
target119,tar_up,path 3,NA
target120,tar_dn,path 3,NA
target121,tar_up,path 4,NA
target122,tar_dn,path 4,NA
target123,tar_up,path 4,NA
target124,tar_dn,path 4,NA
target125,tar_dn,path 4,NA
target126,tar_up,path 4,NA
target127,tar_dn,path 4,NA
target128,tar_up,path 4,NA
target129,tar_up,path 4,NA
target130,tar_dn,path 4,NA
target131,tar_up,path 4,NA
target132,tar_up,path 4,NA
target133,tar_dn,path 4,NA
target134,tar_up,path 4,NA
target135,tar_up,path 4,NA
target136,tar_dn,path 4,NA
target137,tar_dn,path 4,NA
target138,tar_dn,path 4,NA
target139,tar_up,path 4,NA
target140,tar_dn,path 4,NA
target141,tar_up,path 4,NA
target142,tar_up,path 4,NA
target143,tar_dn,path 4,NA
target144,tar_dn,path 4,NA
target145,tar_dn,path 4,NA
target146,tar_dn,path 4,NA
target147,tar_dn,path 4,NA
target148,tar_up,path 4,NA
target149,tar_up,path 4,NA
target150,tar_up,path 4,NA
target151,tar_up,path 5,NA
target152,tar_dn,path 5,NA
target153,tar_dn,path 5,NA
target154,tar_up,path 5,NA
target155,tar_dn,path 5,NA
target156,tar_dn,path 5,NA
target157,tar_up,path 5,NA
target158,tar_dn,path 5,NA
target159,tar_up,path 5,NA
target160,tar_dn,path 5,NA
target161,tar_up,path 5,NA
target162,tar_up,path 5,NA
target163,tar_up,path 5,NA
target164,tar_up,path 5,NA
target165,tar_dn,path 5,NA
target166,tar_up,path 5,NA
target167,tar_dn,path 5,NA
target168,tar_up,path 5,NA
target169,tar_dn,path 5,NA
target170,tar_dn,path 5,NA
target171,tar_up,path 5,NA
target172,tar_up,path 5,NA
target173,tar_dn,path 5,NA
target174,tar_dn,path 5,NA
target175,tar_up,path 5,NA
target176,tar_dn,path 5,NA
target177,tar_up,path 5,NA
target178,tar_up,path 5,NA
target179,tar_up,path 5,NA
target180,tar_up,path 5,NA
target181,tar_dn,path 5,NA
target182,tar_dn,path 5,NA
target183,tar_dn,path 5,NA
target184,tar_dn,path 5,NA
target185,tar_up,path 5,NA
target186,tar_dn,path 5,NA
target187,tar_up,path 5,NA
target188,tar_up,path 5,NA
target189,tar_up,path 5,NA
target190,tar_up,path 5,NA
target191,tar_up,path 5,NA
target192,tar_up,path 5,NA
target193,tar_up,path 5,NA
target194,tar_dn,path 5,NA
target195,tar_up,path 5,NA
target196,tar_dn,path 5,NA
target197,tar_dn,path 5,NA
target198,tar_up,path 5,NA
target199,tar_dn,path 5,NA
target200,tar_dn,path 5,NA
target201,tar_up,path 6,NA
target202,tar_dn,path 6,NA
target203,tar_up,path 6,NA
target204,tar_dn,path 6,NA
target205,tar_up,path 6,NA
target206,tar_dn,path 6,NA
target207,tar_dn,path 6,NA
target208,tar_up,path 6,NA
target209,tar_up,path 6,NA
target210,tar_dn,path 6,NA
target211,tar_up,path 6,NA
target212,tar_dn,path 6,NA
target213,tar_dn,path 6,NA
target214,tar_up,path 6,NA
target215,tar_up,path 6,NA
target216,tar_dn,path 6,NA
target217,tar_dn,path 6,NA
target218,tar_up,path 6,NA
target219,tar_up,path 6,NA
target220,tar_up,path 6,NA
target221,tar_dn,path 6,NA
target222,tar_dn,path 6,NA
target223,tar_up,path 6,NA
target224,tar_dn,path 6,NA
target225,tar_dn,path 6,NA
target226,tar_dn,path 6,NA
target227,tar_dn,path 6,NA
target228,tar_dn,path 6,NA
target229,tar_up,path 6,NA
target230,tar_up,path 6,NA
target231,tar_up,path 6,NA
target232,tar_dn,path 6,NA
target233,tar_up,path 6,NA
target234,tar_dn,path 6,NA
target235,tar_up,path 6,NA
target236,tar_up,path 6,NA
target237,tar_dn,path 6,NA
target238,tar_up,path 6,NA
target239,tar_dn,path 6,NA
target240,tar_dn,path 6,NA
target241,tar_up,path 6,NA
target242,tar_up,path 6,NA
target243,tar_up,path 6,NA
target244,tar_up,path 6,NA
target245,tar_up,path 6,NA
target246,tar_dn,path 6,NA
target247,tar_up,path 6,NA
target248,tar_dn,path 6,NA
target249,tar_up,path 6,NA
target250,tar_dn,path 6,NA
target251,tar_up,path 7,NA
target252,tar_up,path 7,NA
target253,tar_dn,path 7,NA
target254,tar_dn,path 7,NA
target255,tar_up,path 7,NA
target256,tar_up,path 7,NA
target257,tar_dn,path 7,NA
target258,tar_up,path 7,NA
target259,tar_dn,path 7,NA
target260,tar_up,path 7,NA
target261,tar_dn,path 7,NA
target262,tar_up,path 7,NA
target263,tar_dn,path 7,NA
target264,tar_up,path 7,NA
target265,tar_dn,path 7,NA
target266,tar_up,path 7,NA
target267,tar_up,path 7,NA
target268,tar_dn,path 7,NA
target269,tar_dn,path 7,NA
target270,tar_up,path 7,NA
target271,tar_dn,path 8,NA
target272,tar_up,path 8,NA
target273,tar_dn,path 8,NA
target274,tar_up,path 8,NA
target275,tar_dn,path 8,NA
target276,tar_up,path 8,NA
target277,tar_dn,path 8,NA
target278,tar_dn,path 8,NA
target279,tar_dn,path 8,NA
target280,tar_up,path 8,NA
target281,tar_up,path 8,NA
target282,tar_dn,path 8,NA
target283,tar_up,path 8,NA
target284,tar_up,path 8,NA
target285,tar_dn,path 8,NA
target286,tar_up,path 8,NA
target287,tar_up,path 8,NA
target288,tar_dn,path 8,NA
target289,tar_up,path 8,NA
target290,tar_up,path 8,NA
target291,tar_dn,path 8,NA
target292,tar_dn,path 8,NA
target293,tar_dn,path 8,NA
target294,tar_dn,path 8,NA
target295,tar_up,path 8,NA
target296,tar_up,path 8,NA
target297,tar_dn,path 8,NA
target298,tar_dn,path 8,NA
target299,tar_dn,path 8,NA
target300,tar_up,path 8,NA
target301,tar_dn,path 9,NA
target302,tar_dn,path 9,NA
target303,tar_up,path 9,NA
target304,tar_dn,path 9,NA
target305,tar_up,path 9,NA
target306,tar_dn,path 9,NA
target307,tar_up,path 9,NA
target308,tar_dn,path 9,NA
target309,tar_up,path 9,NA
target310,tar_up,path 9,NA
target311,tar_dn,path 9,NA
target312,tar_dn,path 9,NA
target313,tar_dn,path 9,NA
target314,tar_dn,path 9,NA
target315,tar_dn,path 9,NA
target316,tar_dn,path 9,NA
target317,tar_dn,path 9,NA
target318,tar_dn,path 9,NA
target319,tar_up,path 9,NA
target320,tar_dn,path 9,NA
target321,tar_up,path 9,NA
target322,tar_dn,path 9,NA
target323,tar_up,path 9,NA
target324,tar_up,path 9,NA
target325,tar_dn,path 9,NA
target326,tar_up,path 9,NA
target327,tar_up,path 9,NA
target328,tar_dn,path 9,NA
target329,tar_dn,path 9,NA
target330,tar_up,path 9,NA
target331,tar_dn,path10,NA
target332,tar_dn,path10,NA
target333,tar_up,path10,NA
target334,tar_up,path10,NA
target335,tar_dn,path10,NA
target336,tar_dn,path10,NA
target337,tar_dn,path10,NA
target338,tar_up,path10,NA
target339,tar_dn,path10,NA
target340,tar_up,path10,NA
target341,tar_dn,path10,NA
target342,tar_up,path10,NA
target343,tar_dn,path10,NA
target344,tar_dn,path10,NA
target345,tar_up,path10,NA
target346,tar_up,path10,NA
target347,tar_up,path10,NA
target348,tar_dn,path10,NA
target349,tar_up,path10,NA
target350,tar_up,path10,NA
target351,tar_dn,path10,NA
target352,tar_dn,path10,NA
target353,tar_dn,path10,NA
target354,tar_up,path10,NA
target355,tar_up,path10,NA
target356,tar_up,path10,NA
target357,tar_up,path10,NA
target358,tar_dn,path10,NA
target359,tar_up,path10,NA
target360,tar_up,path10,NA
target361,tar_dn,path10,NA
target362,tar_dn,path10,NA
target363,tar_up,path10,NA
target364,tar_up,path10,NA
target365,tar_up,path10,NA
target366,tar_dn,path10,NA
target367,tar_up,path10,NA
target368,tar_up,path10,NA
target369,tar_up,path10,NA
target370,tar_up,path10,NA
target371,tar_up,path11,NA
target372,tar_up,path11,NA
target373,tar_up,path11,NA
target374,tar_dn,path11,NA
target375,tar_dn,path11,NA
target376,tar_dn,path11,NA
target377,tar_up,path11,NA
target378,tar_dn,path11,NA
target379,tar_dn,path11,NA
target380,tar_up,path11,NA
target381,tar_up,path11,NA
target382,tar_up,path11,NA
target383,tar_up,path11,NA
target384,tar_dn,path11,NA
target385,tar_up,path11,NA
target386,tar_up,path11,NA
target387,tar_dn,path11,NA
target388,tar_up,path11,NA
target389,tar_up,path11,NA
target390,tar_up,path11,NA
target391,tar_dn,path12,NA
target392,tar_dn,path12,NA
target393,tar_up,path12,NA
target394,tar_up,path12,NA
target395,tar_dn,path12,NA
target396,tar_dn,path12,NA
target397,tar_dn,path12,NA
target398,tar_dn,path12,NA
target399,tar_dn,path12,NA
target400,tar_up,path12,NA
target401,tar_up,path12,NA
target402,tar_dn,path12,NA
target403,tar_dn,path12,NA
target404,tar_dn,path12,NA
target405,tar_up,path12,NA
target406,tar_dn,path12,NA
target407,tar_up,path12,NA
target408,tar_up,path12,NA
target409,tar_up,path12,NA
target410,tar_dn,path12,NA
target411,tar_up,path12,NA
target412,tar_dn,path12,NA
target413,tar_up,path12,NA
target414,tar_dn,path12,NA
target415,tar_dn,path12,NA
target416,tar_dn,path12,NA
target417,tar_up,path12,NA
target418,tar_up,path12,NA
target419,tar_up,path12,NA
target420,tar_dn,path12,NA
target421,tar_dn,path13,NA
target422,tar_dn,path13,NA
target423,tar_up,path13,NA
target424,tar_up,path13,NA
target425,tar_up,path13,NA
target426,tar_up,path13,NA
target427,tar_dn,path13,NA
target428,tar_up,path13,NA
target429,tar_up,path13,NA
target430,tar_dn,path13,NA
target431,tar_dn,path13,NA
target432,tar_dn,path13,NA
target433,tar_up,path13,NA
target434,tar_up,path13,NA
target435,tar_dn,path13,NA
target436,tar_dn,path13,NA
target437,tar_dn,path13,NA
target438,tar_dn,path13,NA
target439,tar_dn,path13,NA
target440,tar_up,path13,NA
target441,tar_up,path13,NA
target442,tar_up,path13,NA
target443,tar_dn,path13,NA
target444,tar_up,path13,NA
target445,tar_up,path13,NA
target446,tar_up,path13,NA
target447,tar_up,path13,NA
target448,tar_dn,path13,NA
target449,tar_dn,path13,NA
target450,tar_up,path13,NA
target451,tar_up,path14,NA
target452,tar_up,path14,NA
target453,tar_dn,path14,NA
target454,tar_up,path14,NA
target455,tar_dn,path14,NA
target456,tar_up,path14,NA
target457,tar_dn,path14,NA
target458,tar_dn,path14,NA
target459,tar_up,path14,NA
target460,tar_dn,path14,NA
target461,tar_dn,path14,NA
target462,tar_up,path14,NA
target463,tar_dn,path14,NA
target464,tar_up,path14,NA
target465,tar_up,path14,NA
target466,tar_dn,path14,NA
target467,tar_up,path14,NA
target468,tar_up,path14,NA
target469,tar_up,path14,NA
target470,tar_dn,path14,NA
target471,tar_up,path15,NA
target472,tar_dn,path15,NA
target473,tar_dn,path15,NA
target474,tar_dn,path15,NA
target475,tar_dn,path15,NA
target476,tar_dn,path15,NA
target477,tar_up,path15,NA
target478,tar_dn,path15,NA
target479,tar_up,path15,NA
target480,tar_dn,path15,NA
target481,tar_up,path15,NA
target482,tar_up,path15,NA
target483,tar_up,path15,NA
target484,tar_up,path15,NA
target485,tar_dn,path15,NA
target486,tar_up,path15,NA
target487,tar_up,path15,NA
target488,tar_dn,path15,NA
target489,tar_dn,path15,NA
target490,tar_dn,path15,NA
target491,tar_up,path15,NA
target492,tar_dn,path15,NA
target493,tar_dn,path15,NA
target494,tar_up,path15,NA
target495,tar_up,path15,NA
target496,tar_dn,path15,NA
target497,tar_up,path15,NA
target498,tar_up,path15,NA
target499,tar_dn,path15,NA
target500,tar_dn,path15,NA
