	KIRC	KIRP	KICH	LGG	GBM	BRCA	LUSC	LUAD	READ	COAD	UCS	UCEC	OV	HNSC	THCA	PRAD	STAD	SKCM	BLCA	LIHC	CESC	ACC	PCPG	SARC	LAML	PAAD	ESCA	TGCT	THYM	MESO	UVM	DLBC	CHOL
HNRNPC	0.386363636	0.173611111	0.03030303	0.128654971	0.29982669	0.225	0.347305389	0.203488372	0.412121212	0.314855876	0.464285714	0.107606679	0.279792746	0.137931034	0.002004008	0.073170732	0.256235828	0.302452316	0.284313725	0.213513514	0.094915254	0.211111111	0.12962963	0.221789883	0.005235602	0.108695652	0.288043478	0.126666667	0.016260163	0.425287356	0.0125	0.041666667	0.388888889
YTHDF2	0.179924242	0.173611111	0.803030303	0.364522417	0.067590988	0.392592593	0.423153693	0.240310078	0.448484848	0.356984479	0.178571429	0.131725417	0.383419689	0.170498084	0.008016032	0.089430894	0.256235828	0.163487738	0.200980392	0.378378378	0.094915254	0.388888889	0.62345679	0.140077821	0.005235602	0.342391304	0.369565217	0.173333333	0.06504065	0.24137931	0.3125	0.125	0.777777778
HNRNPA2B1	0.003787879	0.003472222	0.015151515	0.009746589	0.012131716	0.103703704	0.129740519	0.058139535	0.006060606	0.00443459	0.196428571	0.087198516	0.274611399	0.055555556	0	0.006097561	0.036281179	0.057220708	0.051470588	0.043243243	0.084745763	0.066666667	0	0.108949416	0.089005236	0.016304348	0.065217391	0.013333333	0.024390244	0.011494253	0	0.0625	0.083333333
YTHDC2	0.015151515	0.038194444	0.151515152	0.083820663	0.079722704	0.246296296	0.77245509	0.399224806	0.333333333	0.286031042	0.446428571	0.176252319	0.556131261	0.388888889	0	0.136178862	0.369614512	0.294277929	0.482843137	0.124324324	0.247457627	0.033333333	0.061728395	0.159533074	0.083769634	0.130434783	0.532608696	0.673333333	0.016260163	0.195402299	0.0375	0.041666667	0.111111111
YTHDF3	0.138257576	0.034722222	0.151515152	0.025341131	0.081455806	0.056481481	0.131736527	0.104651163	0.060606061	0.031042129	0.160714286	0.027829314	0.112262522	0.04789272	0.008016032	0.040650407	0.083900227	0.070844687	0.071078431	0.081081081	0.074576271	0.133333333	0.074074074	0.13229572	0	0.092391304	0.10326087	0.026666667	0.016260163	0.068965517	0	0.166666667	0.138888889
YTHDF1	0	0	0.045454545	0.015594542	0.034662045	0.046296296	0.125748503	0.085271318	0.012121212	0	0.053571429	0.024118738	0.04835924	0.0651341	0	0.012195122	0.013605442	0.016348774	0.058823529	0.021621622	0.047457627	0.055555556	0.024691358	0.112840467	0	0.038043478	0.032608696	0.1	0.008130081	0.034482759	0	0.041666667	0.027777778
IGF2BP3	0.003787879	0.003472222	0.015151515	0.009746589	0.01559792	0.10462963	0.119760479	0.058139535	0.006060606	0.00443459	0.178571429	0.096474954	0.291882556	0.049808429	0.002004008	0.012195122	0.034013605	0.059945504	0.056372549	0.043243243	0.088135593	0.088888889	0	0.120622568	0.089005236	0.016304348	0.043478261	0.013333333	0.016260163	0	0	0.0625	0.083333333
IGF2BP2	0.117424242	0.024305556	0.136363636	0.054580897	0.067590988	0.065740741	0.011976048	0.255813953	0.066666667	0.070953437	0.142857143	0.020408163	0.050086356	0.013409962	0.008016032	0.042682927	0.092970522	0.155313351	0.024509804	0.116216216	0.013559322	0.211111111	0.580246914	0.178988327	0.015706806	0.097826087	0.081521739	0.126666667	0.048780488	0.103448276	0.55	0.0625	0.111111111
IGF2BP1	0.054924242	0.003472222	0.757575758	0.031189084	0.077989601	0.213888889	0.145708583	0.054263566	0.151515152	0.12195122	0.267857143	0.150278293	0.552677029	0.0651341	0.002004008	0.038617886	0.131519274	0.152588556	0.078431373	0.072972973	0.088135593	0.255555556	0.111111111	0.155642023	0.031413613	0.108695652	0.119565217	0.066666667	0.032520325	0.045977011	0.0125	0.083333333	0.027777778
YTHDC1	0.123106061	0.083333333	0.015151515	0.187134503	0.105719237	0.244444444	0.469061876	0.273255814	0.351515152	0.281596452	0.571428571	0.161410019	0.414507772	0.235632184	0.004008016	0.048780488	0.35600907	0.228882834	0.299019608	0.394594595	0.291525424	0.088888889	0.074074074	0.186770428	0.015706806	0.152173913	0.423913043	0.62	0.032520325	0.390804598	0.05	0.125	0.361111111
