	KIRC	KIRP	KICH	LGG	GBM	BRCA	LUSC	LUAD	READ	COAD	UCS	UCEC	OV	HNSC	THCA	PRAD	STAD	SKCM	BLCA	LIHC	CESC	ACC	PCPG	SARC	LAML	PAAD	ESCA	TGCT	THYM	MESO	UVM	DLBC	CHOL
HNRNPC	0.035984848	0.013888889	0.318181818	0.027290448	0.045060659	0.181481481	0.285429142	0.321705426	0.054545455	0.082039911	0.25	0.113172542	0.248704663	0.291187739	0.022044088	0.016260163	0.12244898	0.119891008	0.198529412	0.110810811	0.159322034	0.3	0.024691358	0.287937743	0.015706806	0.168478261	0.277173913	0.346666667	0.105691057	0.022988506	0.0375	0.041666667	0.027777778
YTHDF2	0.017045455	0	0.015151515	0.027290448	0.149046794	0.071296296	0.109780439	0.220930233	0.018181818	0.017738359	0.357142857	0.077922078	0.269430052	0.101532567	0.004008016	0.010162602	0.081632653	0.226158038	0.169117647	0.056756757	0.274576271	0.044444444	0.012345679	0.303501946	0.02617801	0.027173913	0.125	0.18	0.008130081	0.057471264	0	0	0
HNRNPA2B1	0.327651515	0.59375	0.363636364	0.228070175	0.798960139	0.315740741	0.48502994	0.53875969	0.648484848	0.567627494	0.410714286	0.148423006	0.31433506	0.369731801	0.036072144	0.209349593	0.487528345	0.561307902	0.448529412	0.316216216	0.149152542	0.544444444	0.179012346	0.357976654	0.010471204	0.298913043	0.657608696	0.833333333	0.113821138	0.287356322	0.1	0.291666667	0.222222222
YTHDC2	0.535984848	0.125	0.136363636	0.015594542	0.077989601	0.187037037	0.023952096	0.178294574	0.096969697	0.066518847	0.107142857	0.029684601	0.103626943	0.068965517	0.038076152	0.032520325	0.054421769	0.138964578	0.068627451	0.310810811	0.081355932	0.666666667	0.043209877	0.276264591	0	0.086956522	0.048913043	0.026666667	0.073170732	0.114942529	0.0375	0.145833333	0.277777778
YTHDF3	0.121212121	0.079861111	0.272727273	0.095516569	0.095320624	0.521296296	0.516966068	0.478682171	0.557575758	0.525498891	0.625	0.313543599	0.495682211	0.609195402	0.014028056	0.258130081	0.560090703	0.465940054	0.534313725	0.513513514	0.308474576	0.411111111	0.080246914	0.307392996	0.12565445	0.255434783	0.559782609	0.813333333	0.081300813	0.16091954	0.625	0.104166667	0.277777778
YTHDF1	0.227272727	0.354166667	0.348484848	0.097465887	0.388214905	0.480555556	0.493013972	0.470930233	0.878787879	0.720620843	0.803571429	0.280148423	0.683937824	0.383141762	0.024048096	0.083333333	0.64399093	0.517711172	0.556372549	0.340540541	0.420338983	0.577777778	0.061728395	0.357976654	0.010471204	0.255434783	0.630434783	0.28	0.081300813	0.149425287	0.1125	0.083333333	0.361111111
IGF2BP3	0.329545455	0.597222222	0.363636364	0.231968811	0.793760832	0.327777778	0.512974052	0.544573643	0.642424242	0.5654102	0.517857143	0.150278293	0.297063903	0.375478927	0.036072144	0.215447154	0.494331066	0.561307902	0.446078431	0.327027027	0.149152542	0.533333333	0.172839506	0.354085603	0.010471204	0.288043478	0.673913043	0.833333333	0.113821138	0.287356322	0.1	0.3125	0.222222222
IGF2BP2	0.159090909	0.340277778	0.090909091	0.029239766	0.169844021	0.293518519	0.890219561	0.275193798	0.218181818	0.172949002	0.607142857	0.282003711	0.759930915	0.718390805	0.004008016	0.130081301	0.344671202	0.201634877	0.531862745	0.162162162	0.752542373	0.222222222	0	0.206225681	0.005235602	0.14673913	0.64673913	0.32	0.040650407	0.195402299	0	0.3125	0.277777778
IGF2BP1	0.064393939	0.673611111	0	0.04288499	0.112651646	0.306481481	0.373253493	0.449612403	0.23030303	0.21286031	0.464285714	0.100185529	0.174438687	0.17816092	0.042084168	0.042682927	0.222222222	0.267029973	0.397058824	0.294594595	0.196610169	0.077777778	0.055555556	0.272373541	0.020942408	0.135869565	0.320652174	0.38	0.073170732	0.275862069	0.1125	0.0625	0.222222222
YTHDC1	0.028409091	0.034722222	0.348484848	0.015594542	0.046793761	0.134259259	0.155688623	0.135658915	0.054545455	0.042128603	0.089285714	0.029684601	0.196891192	0.149425287	0.01002004	0.028455285	0.072562358	0.128065395	0.129901961	0.045945946	0.071186441	0.411111111	0.030864198	0.214007782	0.020942408	0.048913043	0.173913043	0.066666667	0.016260163	0.022988506	0.0375	0	0.055555556
