	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_CpG_Islands_Name	DHS	Enhancer	Phantom	Probe_SNPs	Probe_SNPs_10
cg07588964	10	51572303	R	I	NCOA4	TSS200	island	TSS200-island	chr10:51572198-51572620	TRUE	NA			
cg07602841	16	56702144	R	II	MT1G	TSS200	island	TSS200-island	chr16:56701863-56702208	NA	NA			
cg07626482	19	47289503	F	II	SLC1A5	TSS1500	shore	TSS1500-shore	chr19:47290585-47291983	NA	NA			
cg07740914	10	51564773	R	I	NCOA4	TSS1500	shore	TSS1500-shore	chr10:51565071-51565648	NA	NA			
cg07791866	16	56701994	R	I	MT1G	TSS200	island	TSS200-island	chr16:56701863-56702208	NA	NA			
cg08138375	12	56694186	F	I	CS	TSS200	island	TSS200-island	chr12:56693680-56694345	NA	NA			
cg08192285	10	60028801	F	II	CISD1	TSS200	island	TSS200-island	chr10:60027007-60029241	NA	NA		rs79094049	
cg08508325	11	3079039	F	II	CARS	TSS1500	shore	TSS1500-shore	chr11:3078142-3078984	NA	NA		rs79887191	
cg08533710	19	47292253	R	II	SLC1A5	TSS1500	shore	TSS1500-shore	chr19:47290585-47291983	NA	NA			
cg08874430	8	11659970	F	I	FDFT1	TSS1500	island	TSS1500-island	chr8:11659676-11660795	NA	NA	high-CpG:11697359-11697390		
cg08895021	11	3078880	R	II	CARS	TSS1500	island	TSS1500-island	chr11:3078142-3078984	NA	NA			
cg08974966	11	3078805	R	I	CARS	TSS200	island	TSS200-island	chr11:3078142-3078984	NA	NA			
cg09000800	17	4545081	R	II	ALOX15	TSS200	shore	TSS200-shore	chr17:4542715-4544934	NA	NA			
cg09039206	10	60028728	F	I	CISD1	TSS200	island	TSS200-island	chr10:60027007-60029241	NA	NA			rs3831305
cg09041527	8	11659497	F	II	FDFT1	TSS1500	shore	TSS1500-shore	chr8:11659676-11660795	NA	NA			
cg09091181	X	108976749	F	I	ACSL4	TSS200	island	TSS200-island	chrX:108976162-108976894	NA	NA	high-CpG:108863073-108863450		
cg09092356	10	60028877	R	II	CISD1	TSS200	island	TSS200-island	chr10:60027007-60029241	NA	NA			
cg09174870	16	56702802	R	II	MT1G	TSS1500	shore	TSS1500-shore	chr16:56703387-56703648	NA	TRUE			
cg09832218	12	56694334	F	II	CS	TSS200	island	TSS200-island	chr12:56693680-56694345	NA	NA			
cg10227358	17	4545146	R	II	ALOX15	TSS200	shore	TSS200-shore	chr17:4542715-4544934	NA	NA			
cg10306450	12	56882479	F	II	GLS2	TSS1500	island	TSS1500-island	chr12:56881401-56882702	TRUE	NA		rs2638334	
cg10308137	X	23801074	F	I	SAT1	TSS200	island	TSS200-island	chrX:23801055-23801724	TRUE	NA			
cg10732871	19	1102675	F	II	GPX4	TSS1500	shore	TSS1500-shore	chr19:1103722-1105758	TRUE	NA			
cg10878896	12	56694449	F	II	CS	TSS1500	shore	TSS1500-shore	chr12:56693680-56694345	NA	NA			
cg10997785	9	128004697	F	II	HSPA5	TSS1500	shore	TSS1500-shore	chr9:128002945-128003972	NA	NA		rs74457682	
cg11087101	3	195809593	F	II	TFRC	TSS1500	shore	TSS1500-shore	chr3:195808278-195809219	NA	NA			
cg11186933	8	109455379	F	II	TTC35	TSS1500	shore	TSS1500-shore	chr8:109455600-109456263	NA	NA		rs73699813	
cg11334406	17	4546450	F	II	ALOX15	TSS1500	shore	TSS1500-shore	chr17:4542715-4544934	NA	NA			
cg11395955	X	23801087	F	I	SAT1	TSS200	island	TSS200-island	chrX:23801055-23801724	TRUE	NA			
cg11460364	2	162931397	F	II	DPP4	TSS1500	shore	TSS1500-shore	chr2:162930233-162930879	TRUE	TRUE			
cg11609366	8	146018277	R	II	RPL8	TSS1500	island	TSS1500-island	chr8:146016927-146018664	NA	NA			
cg11631160	8	146018604	R	II	RPL8	TSS1500	island	TSS1500-island	chr8:146016927-146018664	NA	NA			rs2958514
cg11706349	6	36646226	R	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	NA			
cg11810310	19	47292038	R	II	SLC1A5	TSS200	shore	TSS200-shore	chr19:47290585-47291983	NA	NA			
cg11920449	6	36645608	F	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	TRUE			
cg12191293	12	56882314	R	II	GLS2	TSS200	island	TSS200-island	chr12:56881401-56882702	TRUE	NA			
cg12297570	19	47292050	R	II	SLC1A5	TSS1500	shore	TSS1500-shore	chr19:47290585-47291983	NA	NA			
cg12647821	2	178129899	R	II	NFE2L2	TSS1500	shore	TSS1500-shore	chr2:178128273-178129847	NA	NA			
cg12665003	12	7126177	R	I	LPCAT3	TSS1500	island	TSS1500-island	chr12:7125534-7126356	NA	NA			
cg13028471	4	139163535	R	II	SLC7A11	TSS200	opensea	TSS200-opensea		TRUE	NA			
cg13612480	19	1103771	F	I	GPX4	TSS1500	island	TSS1500-island	chr19:1103722-1105758	NA	NA		rs8103551	
cg13662121	6	36644997	R	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	TRUE			
cg13769004	9	128004122	R	II	HSPA5	TSS1500	shore	TSS1500-shore	chr9:128002945-128003972	NA	NA			
cg14327989	2	176046561	R	II	ATP5G3	TSS200	shore	TSS200-shore	chr2:176045969-176046504	NA	NA			
cg14457256	X	108977252	R	II	ACSL4	TSS1500	shore	TSS1500-shore	chrX:108976162-108976894	NA	NA			
cg14679587	12	56882324	R	II	GLS2	TSS200	island	TSS200-island	chr12:56881401-56882702	TRUE	NA			
cg14705308	2	178130047	R	II	NFE2L2	TSS1500	shore	TSS1500-shore	chr2:178128273-178129847	NA	NA			rs6721961
cg14760355	2	176046503	F	II	ATP5G3	TSS200	island	TSS200-island	chr2:176045969-176046504	NA	NA			
cg14784428	8	11660061	R	I	FDFT1	TSS200	island	TSS200-island	chr8:11659676-11660795	NA	NA			rs2645429
cg14870383	12	7126003	R	II	LPCAT3	TSS200	island	TSS200-island	chr12:7125534-7126356	NA	NA			
cg15032638	10	51565035	R	II	NCOA4	TSS200	shore	TSS200-shore	chr10:51565071-51565648	NA	NA			
cg15114651	19	47289410	F	II	SLC1A5	TSS1500	shore	TSS1500-shore	chr19:47290585-47291983	NA	NA			
cg15182326	10	60028707	R	I	CISD1	TSS200	island	TSS200-island	chr10:60027007-60029241	NA	NA			
cg15337700	7	75931742	F	I	HSPB1	TSS200	island	TSS200-island	chr7:75931704-75932978	NA	NA			
cg15474579	6	36645812	R	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	NA			
cg15484019	8	109455575	R	II	TTC35	TSS1500	shore	TSS1500-shore	chr8:109455600-109456263	NA	NA			
cg15836394	8	11659832	F	II	FDFT1	TSS1500	island	TSS1500-island	chr8:11659676-11660795	NA	NA			
cg15956152	2	178129912	R	II	NFE2L2	TSS1500	shore	TSS1500-shore	chr2:178128273-178129847	NA	NA			
cg16229180	19	1103746	R	II	GPX4	TSS1500	island	TSS1500-island	chr19:1103722-1105758	NA	NA			rs36207273
cg16343272	12	56694667	F	II	CS	TSS1500	shore	TSS1500-shore	chr12:56693680-56694345	NA	NA			
cg16452857	16	56702033	R	I	MT1G	TSS200	island	TSS200-island	chr16:56701863-56702208	NA	NA			
cg16567172	7	75931606	R	II	HSPB1	TSS1500	shore	TSS1500-shore	chr7:75931704-75932978	NA	NA			
cg16736242	8	11660109	F	I	FDFT1	TSS200	island	TSS200-island	chr8:11659676-11660795	NA	NA		rs17524895	
cg17055371	11	3078785	R	I	CARS	TSS200	island	TSS200-island	chr11:3078142-3078984	NA	NA			
cg17300868	2	178130115	F	I	NFE2L2	TSS1500	shore	TSS1500-shore	chr2:178128273-178129847	NA	NA			
cg17812013	19	1104136	R	II	GPX4	TSS1500	island	TSS1500-island	chr19:1103722-1105758	NA	NA	high-CpG:1054936-1055737		
cg17831869	X	23801244	F	I	SAT1	TSS200	island	TSS200-island	chrX:23801055-23801724	TRUE	NA			
cg18061485	19	1103660	F	II	GPX4	TSS1500	shore	TSS1500-shore	chr19:1103722-1105758	NA	NA			
cg18432498	2	176047949	F	II	ATP5G3	TSS1500	shore	TSS1500-shore	chr2:176045969-176046504	NA	NA			
cg18478394	8	109455254	R	II	TTC35	TSS1500	shore	TSS1500-shore	chr8:109455600-109456263	NA	NA			
cg18506744	19	1102627	R	II	GPX4	TSS1500	shore	TSS1500-shore	chr19:1103722-1105758	TRUE	NA			rs79525572
cg18900812	6	36646127	R	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	NA			
cg19512730	19	1104241	R	II	GPX4	TSS1500	island	TSS1500-island	chr19:1103722-1105758	NA	NA	high-CpG:1054936-1055737		
cg19526425	8	146019265	R	II	RPL8	TSS1500	shore	TSS1500-shore	chr8:146016927-146018664	NA	NA			
cg19635884	X	108976825	R	I	ACSL4	TSS1500	island	TSS1500-island	chrX:108976162-108976894	TRUE	NA			
cg19713083	2	176046495	F	II	ATP5G3	TSS200	island	TSS200-island	chr2:176045969-176046504	NA	NA			
cg19781472	12	56883202	R	II	GLS2	TSS1500	shore	TSS1500-shore	chr12:56881401-56882702	NA	NA			
cg20308511	X	23801056	R	II	SAT1	TSS1500	island	TSS1500-island	chrX:23801055-23801724	TRUE	NA			
cg20539283	2	162932048	F	II	DPP4	TSS1500	shore	TSS1500-shore	chr2:162930233-162930879	NA	NA			rs79700168
cg20767561	X	108976811	R	I	ACSL4	TSS200	island	TSS200-island	chrX:108976162-108976894	TRUE	NA			
cg20899383	2	176046573	F	II	ATP5G3	TSS200	shore	TSS200-shore	chr2:176045969-176046504	NA	NA			
cg21045802	8	109455806	F	I	TTC35	TSS200	island	TSS200-island	chr8:109455600-109456263	NA	NA		rs80081613	
cg21091547	6	36645500	F	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	TRUE			
cg21115527	7	75931838	R	II	HSPB1	TSS200	island	TSS200-island	chr7:75931704-75932978	NA	NA	high-CpG:75769765-75769958		
cg21565914	2	162931175	R	II	DPP4	TSS200	shore	TSS200-shore	chr2:162930233-162930879	TRUE	TRUE			
cg21701774	12	7126016	R	I	LPCAT3	TSS200	island	TSS200-island	chr12:7125534-7126356	NA	NA			
cg21875845	11	3078852	F	I	CARS	TSS200	island	TSS200-island	chr11:3078142-3078984	NA	NA		rs384490	
cg22030698	7	75931773	F	I	HSPB1	TSS200	island	TSS200-island	chr7:75931704-75932978	NA	NA		rs7457776	
cg22249932	17	4545721	F	II	ALOX15	TSS1500	shore	TSS1500-shore	chr17:4542715-4544934	NA	NA			
cg22280258	17	4545157	R	II	ALOX15	TSS200	shore	TSS200-shore	chr17:4542715-4544934	NA	NA			
cg22758697	10	51572216	R	II	NCOA4	TSS200	island	TSS200-island	chr10:51572198-51572620	TRUE	NA			
cg22775789	12	56694541	R	II	CS	TSS1500	shore	TSS1500-shore	chr12:56693680-56694345	NA	NA			
cg22849059	12	56882693	R	II	GLS2	TSS1500	island	TSS1500-island	chr12:56881401-56882702	NA	NA			
cg22956956	3	195809355	F	II	TFRC	TSS1500	shore	TSS1500-shore	chr3:195808278-195809219	NA	NA		rs17091657	
cg22979422	12	56694490	R	II	CS	TSS1500	shore	TSS1500-shore	chr12:56693680-56694345	NA	NA			
cg23246095	2	162931638	F	II	DPP4	TSS1500	shore	TSS1500-shore	chr2:162930233-162930879	NA	TRUE			
cg23305046	6	36646245	R	II	CDKN1A	TSS1500	island	TSS1500-island	chr6:36646244-36648465	NA	NA			
cg23391214	19	47292160	R	II	SLC1A5	TSS1500	shore	TSS1500-shore	chr19:47290585-47291983	NA	NA			
cg23530721	X	23801067	R	II	SAT1	TSS1500	island	TSS1500-island	chrX:23801055-23801724	TRUE	NA			
cg23849965	10	51564816	F	I	NCOA4	TSS1500	shore	TSS1500-shore	chr10:51565071-51565648	NA	NA			
cg24028828	12	56694932	F	II	CS	TSS1500	shore	TSS1500-shore	chr12:56693680-56694345	NA	NA			
cg24029430	10	60028721	F	I	CISD1	TSS200	island	TSS200-island	chr10:60027007-60029241	NA	NA		rs3831305	rs61873889
cg24035962	10	51572313	R	II	NCOA4	TSS200	island	TSS200-island	chr10:51572198-51572620	TRUE	NA			
cg24123057	8	11660089	R	I	FDFT1	TSS200	island	TSS200-island	chr8:11659676-11660795	NA	NA		rs17524888	
cg24425727	6	36645648	R	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	TRUE			
cg24596576	3	10067780	R	II	FANCD2	TSS1500	shore	TSS1500-shore	chr3:10067898-10068265	NA	NA			
cg24678505	12	56882429	R	I	GLS2	TSS1500	island	TSS1500-island	chr12:56881401-56882702	TRUE	NA			
cg24726768	8	109455281	F	II	TTC35	TSS1500	shore	TSS1500-shore	chr8:109455600-109456263	NA	NA		rs74989533	
cg24870846	3	195809251	F	II	TFRC	TSS1500	shore	TSS1500-shore	chr3:195808278-195809219	NA	NA		rs41300387	
cg25124584	3	10067635	F	II	FANCD2	TSS1500	shore	TSS1500-shore	chr3:10067898-10068265	NA	NA		rs56070953	
cg25174290	11	3078921	R	I	CARS	TSS1500	island	TSS1500-island	chr11:3078142-3078984	NA	NA			
cg25413720	X	23801037	R	II	SAT1	TSS1500	shore	TSS1500-shore	chrX:23801055-23801724	TRUE	NA			rs41311469
cg25794402	10	51572203	R	I	NCOA4	TSS200	island	TSS200-island	chr10:51572198-51572620	TRUE	NA			
cg25920645	2	176047472	F	II	ATP5G3	TSS1500	shore	TSS1500-shore	chr2:176045969-176046504	NA	NA		rs62184552	
cg26021103	12	7126013	R	II	LPCAT3	TSS200	island	TSS200-island	chr12:7125534-7126356	NA	NA			
cg26119746	X	108976838	F	II	ACSL4	TSS1500	island	TSS1500-island	chrX:108976162-108976894	TRUE	NA			
cg26126750	3	195809198	R	I	TFRC	TSS1500	island	TSS1500-island	chr3:195808278-195809219	NA	NA			
cg26500144	6	36646390	R	I	CDKN1A	TSS200	island	TSS200-island	chr6:36646244-36648465	NA	NA			
cg26535435	19	47290586	R	II	SLC1A5	TSS200	island	TSS200-island	chr19:47290585-47291983	NA	NA			
cg26714650	12	56694279	R	I	CS	TSS200	island	TSS200-island	chr12:56693680-56694345	NA	NA			
cg26734620	12	56694298	R	I	CS	TSS200	island	TSS200-island	chr12:56693680-56694345	NA	NA			
cg27328930	3	10067788	R	II	FANCD2	TSS1500	shore	TSS1500-shore	chr3:10067898-10068265	NA	NA			
cg27367960	16	56702038	R	I	MT1G	TSS200	island	TSS200-island	chr16:56701863-56702208	NA	NA			
