	CD274	CD8A
COAD-6299-01A	2.4	27.45
COAD-3855-01A	2.34	5.73
COAD-6924-01A	5.68	10.4
COAD-3870-01A	3.81	6.37
COAD-3842-01A	2.06	11.14
COAD-3867-01A	0.89	2.48
COAD-3856-01A	4.47	12.36
COAD-A6GC-01A	2.91	2.09
COAD-6298-01A	0.67	0.89
COAD-5537-01A	1.24	1.87
COAD-5821-01A	87.19	20.3
COAD-3851-01A	2.9	6.7
COAD-A280-01A	1.46	0.28
COAD-6169-01A	10.3	19.61
COAD-4748-01A	0	5.75
COAD-A56B-01A	1.51	0.2
COAD-A00Z-01A	4.25	3.65
COAD-3809-01A	11.2	11.45
COAD-3509-01A	3.91	5.19
COAD-A0X9-01A	2.13	12.25
COAD-4107-01A	1.34	1.89
COAD-6170-01A	3.55	3.78
COAD-A5EK-01A	1.46	1.88
COAD-3939-01A	1.5	5.58
COAD-5541-01A	4.58	10.14
COAD-A1D9-01A	1.66	1.7
COAD-6608-01A	0.47	0.4
COAD-3538-01A	1.28	0.98
COAD-3514-01A	0.25	2.04
COAD-2683-01A	0.28	0.45
COAD-A1D6-01A	0.45	0.97
COAD-3685-01A	4.71	9.54
COAD-3955-01A	1.46	1.99
COAD-6140-01A	1.74	8.36
COAD-3532-01A	7.12	7.65
COAD-3488-01A	0.98	1.45
COAD-6607-01A	21.39	14.47
COAD-6928-01A	39.1	108.02
COAD-6930-01A	3.54	14.2
COAD-3833-01A	3.66	14.14
COAD-6920-01A	5.67	4.79
COAD-3846-01A	5.64	5.5
COAD-3554-01A	11.18	9.48
COAD-5255-01A	1.48	2.71
COAD-3672-01A	5.33	25.6
COAD-4750-01A	0.96	3.98
COAD-6932-01A	2.02	3.38
COAD-6717-01A	4.68	13.42
COAD-3930-01A	4.91	6.71
COAD-6168-01A	5.8	6.82
COAD-A01S-01A	0.39	0.85
COAD-3976-01A	2.87	5.91
COAD-6748-01A	1.44	1.98
COAD-5341-01A	2.32	4
COAD-3818-01A	1.71	12.04
COAD-3966-01A	14.25	17.04
COAD-3495-01A	2.7	8.33
COAD-6530-01A	8.99	12.78
COAD-A28F-01A	0.89	2.38
COAD-3663-01A	3.22	3.46
COAD-A01P-01A	16.37	37.89
COAD-6746-01A	12.86	22.79
COAD-3496-01A	6.49	10.46
COAD-3696-01A	1.26	2.29
COAD-4615-01A	9.76	48.38
COAD-6586-01A	5.78	34.65
COAD-A00R-01A	14.77	55.29
COAD-3854-01A	4.37	2.13
COAD-A282-01A	0.62	1.06
COAD-6703-01A	20.85	20.08
COAD-6460-01A	1.89	4.01
COAD-5913-01A	6.9	6.24
COAD-6162-01A	13.54	20.47
COAD-3941-01A	1	2.59
COAD-2681-01A	2.16	5.63
COAD-3521-01A	2.16	3.38
COAD-4952-01A	3.82	0.96
COAD-A288-01A	0.3	0.07
COAD-6309-01A	1.74	5.14
COAD-A00F-01A	2.81	2.96
COAD-A00J-01A	6.09	2.93
COAD-6890-01A	2.44	4.91
COAD-A00D-01A	8.11	27.88
COAD-4105-01A	7.69	20.14
COAD-5864-01A	1.29	3.2
COAD-5868-01A	1.02	1.13
COAD-5862-01A	0.63	0.39
COAD-6197-01A	6.79	4.46
COAD-A00W-01A	1.68	3.47
COAD-6536-01A	3.87	0.84
COAD-A566-01A	5.89	6.55
COAD-5659-01A	1.63	1.6
COAD-3956-01A	2.57	6.41
COAD-6931-01A	4.8	8.13
COAD-5349-01A	2.36	1.91
COAD-3970-01A	4.31	6.97
COAD-A28A-01A	2.14	3.62
COAD-6386-01A	1.76	5.75
COAD-3660-01A	1.97	2.08
COAD-6320-01A	0.54	3.24
COAD-3844-01A	5.24	2.85
COAD-6302-01A	3.69	7.62
COAD-A7HO-01A	1.94	2.06
COAD-3494-01A	2	2.51
COAD-6323-01A	2.23	6.99
COAD-3524-01A	1.4	4.9
COAD-5543-01A	7.91	6.92
COAD-6923-01A	3.05	2.17
COAD-3516-01A	10.79	13.54
COAD-6649-01A	3.39	9.84
COAD-3562-01A	1.29	3.1
COAD-3862-01A	3.23	18.24
COAD-6627-01A	3.69	17.66
COAD-A71X-01A	0.94	1.47
COAD-A022-01A	19.97	68
COAD-3519-01A	1.91	1.3
COAD-3973-01A	2.18	3.33
COAD-6806-01A	1.69	4.38
COAD-3977-01A	3.7	7.65
COAD-2686-01A	9.54	31.29
COAD-AATE-01A	1.21	3.1
COAD-6163-01A	3.21	17.49
COAD-6963-01A	4.28	20.06
COAD-5657-01A	2.89	9.31
COAD-6534-01A	12.86	15.22
COAD-A024-01A	1.05	1.96
COAD-3971-01A	4.52	13.77
COAD-A1DA-01A	0.59	5.16
COAD-6680-01A	5.86	6.51
COAD-3980-01A	9	29.95
COAD-6315-01A	0.84	2.22
COAD-6889-01A	2.56	0.77
COAD-3664-01A	4.78	7.76
COAD-AB45-01A	9.8	6.99
COAD-3858-01A	1.38	4.94
COAD-6855-01A	2.17	2.37
COAD-A01V-01A	4.52	2.55
COAD-A02E-01A	1.17	2.42
COAD-6295-01A	4.91	27.23
COAD-3845-01A	28.45	17.56
COAD-3710-01A	24.64	48.48
COAD-6538-01A	0.24	2.71
COAD-6856-01A	2.22	9.43
COAD-3556-01A	5.37	5.67
COAD-A28H-01A	1.01	1.72
COAD-6141-01A	2.72	19.79
COAD-5900-01A	5.55	20.6
COAD-3518-01A	7.51	11.07
COAD-6927-01A	11.13	19.88
COAD-3561-01A	1.65	1.05
COAD-5820-01A	1.31	2.11
COAD-3673-01A	2.42	6.24
COAD-6674-01A	3	9.35
COAD-A6GA-01A	1.63	5.05
COAD-6142-01A	3.11	0.79
COAD-6137-01A	3.24	3.43
COAD-6548-01A	6.53	11.59
COAD-3968-01A	3.89	9.06
COAD-A8YK-01A	0.94	1.27
COAD-A00N-01A	3.62	5.17
COAD-A01K-01A	4.36	4.74
COAD-4071-01A	3.58	13.53
COAD-A28M-01A	1.18	0.38
COAD-6138-01A	11.99	27.42
COAD-6751-01A	1.45	5.51
COAD-3712-01A	2.84	4.77
COAD-A50U-01A	1.23	0.71
COAD-6599-01A	1.45	3.74
COAD-6676-01A	1.01	2.4
COAD-5796-01A	1.74	4.3
COAD-6529-01A	6.32	8.47
COAD-4308-01A	0.74	1.69
COAD-3877-01A	10.28	14.94
COAD-4744-01A	2.31	22.44
READ-6506-01A	7.26	6.13
READ-3878-01A	2.24	15.22
READ-A01W-01A	3.6	8.16
READ-A1DD-01A	0.39	2.65
READ-3599-01A	3.28	9.25
READ-3893-01A	2.07	6.1
READ-6233-01A	2.08	2.45
READ-3578-01A	3.59	3.71
READ-4005-01A	1.17	2.16
READ-6917-01A	12.31	8.1
READ-6903-01A	1.67	1.47
READ-3896-01A	1.1	2.44
READ-A032-01A	1.81	1.52
READ-A1DC-01A	1.55	3.17
READ-2692-01A	3.26	4.89
READ-6814-01A	34.35	20.34
READ-A01Y-01A	6.56	11.47
READ-A56N-01A	2.13	1.82
READ-5830-01A	1.1	4.31
READ-A0XA-01A	1.2	4.46
READ-3742-01A	2.4	2.44
READ-6861-01A	1.2	3.99
READ-6644-01A	3.04	8.02
READ-6885-01A	6.8	6.64
READ-6812-01A	4.81	8.52
READ-3883-01A	2.13	1.63
READ-6158-01A	8.45	10.95
READ-3605-01A	1.01	3.94
READ-6510-01A	1.65	4.82
READ-4022-01A	4.79	8.38
READ-4008-01A	1.86	4.04
READ-5869-01A	1.65	2.41
READ-6864-01A	2.11	5.77
READ-3731-01A	8.77	19.53
READ-6882-01A	7.24	6.83
READ-A016-01A	0.27	0.49
READ-6572-01A	0.67	2.37
READ-5831-01A	2.09	3.14
READ-3598-01A	3.19	10.63
READ-3885-01A	1.64	4.71
READ-A011-01A	1.95	3.05
READ-6621-01A	8.39	6.53
READ-6620-01A	1.4	3.63
READ-3400-01A	15.4	4.26
READ-A1DF-01A	0.39	0.07
READ-3909-01A	0.92	4.11
READ-3583-01A	1.56	2.43
READ-6571-01A	6.22	12.36
READ-3726-01A	1.03	2.59
READ-A01J-01A	1.54	8.07
READ-6883-01A	3.17	7.08
READ-6154-01A	1.01	1.27
READ-6514-01A	1.65	0.94
READ-6544-01A	0.84	0.55
READ-A020-01A	2.37	2.72
READ-3611-01A	2.18	1.57
READ-4021-01A	2.6	0.94
READ-6810-01A	2.66	3.01
READ-4001-01A	3.86	3.94
READ-6198-01A	4.83	9.34
READ-A00Y-01A	3.77	3.26
READ-A036-01A	2.79	8.09
READ-A00H-01A	1.28	1.43
READ-3890-01A	1.84	12.72
READ-6160-01A	4.34	4.49
READ-4749-01A	1.49	0.96
READ-3580-01A	6.57	7.76
READ-6643-01A	2.18	2.26
READ-3887-01A	2.36	10.98
READ-3913-01A	0.68	0.43
READ-A02N-01A	5.52	7.82
READ-4015-01A	1.78	4.58
READ-6672-01A	1.64	2.75
READ-3600-01A	1.89	6.02
READ-5337-01A	2.53	1.56
READ-3882-01A	2.42	20.82
READ-6464-01A	6.97	20.28
READ-3602-01A	1.05	3.35
READ-3881-01A	1.16	5.49
READ-3593-01A	4.82	4.82
READ-3901-01A	6.3	5.25
READ-A00C-01A	1.36	2.2
READ-6512-01A	5.19	2.36
READ-6622-01A	1.43	0.98
READ-A1DE-01A	3.8	7.03
READ-3999-01A	0.68	0.82
READ-3609-01A	1.73	8.17
READ-6884-01A	2.2	10.07
READ-A02X-01A	1.05	1.72
READ-6682-01A	3.57	8.11
READ-5917-01A	1.91	2.69
READ-2693-01A	4.74	5.49
READ-3587-01A	3.06	4.99
READ-3727-01A	0.74	1.07
READ-5654-01A	9.86	0.67
READ-2690-01A	7.85	18.45
READ-3732-01A	3.5	14.17
READ-3898-01A	5.16	6.11
READ-A025-01A	1.37	4.92
READ-6511-01A	9.12	22.24
READ-3725-01A	10.22	4.4
READ-A01L-01A	0.83	2.79
READ-A015-01A	1.11	0.38
READ-A01N-01A	0.73	0.84
READ-6136-01A	1.02	3.8
READ-2691-01A	2.8	13.81
READ-6683-01A	1.18	1.49
READ-5918-01A	1.24	2.45
READ-4745-01A	1.23	1.91
READ-3581-01A	2.19	3.71
READ-3902-01A	9.54	25.38
READ-3894-01A	0.72	2.3
READ-6549-01A	2.78	1.59
READ-6655-01A	5.59	1.64
READ-6157-01A	2.34	3.19
READ-6156-01A	5.64	51.5
READ-A023-01A	1.36	4.85
READ-6702-01A	4.54	4.16
READ-3574-01A	1.39	4.09
READ-6509-01A	0.54	0.35
READ-A002-01A	2.67	2.46
READ-6813-01A	2.43	10.96
READ-6897-01A	2.06	1.57
READ-3584-01A	2.28	5.69
READ-6641-01A	0.8	1.2
READ-6507-01A	11.88	28.56
READ-6881-01A	4.61	2.57
READ-3728-01A	1.16	11.11
READ-3575-01A	17.61	6.63
READ-6681-01A	0.85	3.65
READ-6547-01A	5.47	18.74
READ-A008-01A	2.25	1.58
READ-A56L-01A	2.02	3.1
READ-4957-01A	1.14	1.26
READ-6235-01A	2.58	4.96
READ-3582-01A	3.18	2.49
READ-3591-01A	1.47	2.8
READ-A026-01A	0.57	2.01
READ-6508-01A	1.61	2.85
READ-6863-01A	0.57	0.69
READ-3612-01A	2.95	5.32
READ-3608-01A	3.6	8.1
READ-6513-01A	3.57	6.1
READ-5265-01A	3.72	2.63
READ-6465-01A	4.33	8.97
READ-A1DG-01A	1.01	2.03
READ-3911-01A	2.15	4.67
READ-A02G-01A	0.93	6.6
READ-6155-01A	0.36	0.05
READ-3592-01A	4.49	4.64
READ-3892-01A	6.93	14.73
READ-3586-01A	3.51	3.77
READ-3594-01A	24.27	33.46
READ-2687-01A	7.67	15.19
READ-7004-01A	3.89	3.26
READ-A56K-01A	2.27	6.12
READ-6811-01A	3.61	3.65
READ-4007-01A	1.14	9.43
READ-A1H8-01A	2.29	1.56
READ-A014-01A	0.86	0.6
READ-3601-01A	0.48	2.14
READ-4110-01A	4.39	12.9
READ-7002-01A	2.39	2.35
