"","x","runningScore","position","ymin","ymax","geneList","gene","Description"
"85",85,-0.00702769739561802,0,0,0,2.25075941769641,"4902","Proteasome"
"86",86,-0.00711037618850765,0,0,0,2.23857474905902,"8208","Proteasome"
"87",87,-0.00719305498139727,0,0,0,2.23657190148115,"1111","Proteasome"
"88",88,-0.0072757337742869,0,0,0,2.23212818555161,"9319","Proteasome"
"89",89,-0.00735841256717652,0,0,0,2.22311743435345,"9055","Proteasome"
"90",90,-0.00744109136006614,0,0,0,2.1969998556433,"3833","Proteasome"
"91",91,-0.00752377015295577,0,0,0,2.17042139894045,"146909","Proteasome"
"92",92,-0.00760644894584539,0,0,0,2.16062911605466,"23475","Proteasome"
"93",93,-0.00768912773873501,0,0,0,2.15974129228883,"4321","Proteasome"
"94",94,-0.00777180653162464,0,0,0,2.14940275008204,"11182","Proteasome"
"95",95,-0.00785448532451426,0,0,0,2.11585870189465,"10112","Proteasome"
"96",96,-0.00793716411740389,0,0,0,2.09252706807375,"3902","Proteasome"
"97",97,-0.00801984291029351,0,0,0,2.08932405627602,"3620","Proteasome"
"98",98,-0.00810252170318313,0,0,0,2.07957649350856,"3887","Proteasome"
"99",99,-0.00818520049607276,0,0,0,2.07021480021647,"51514","Proteasome"
"100",100,-0.00826787928896238,0,0,0,2.06836296999971,"6790","Proteasome"
"101",101,-0.00835055808185201,0,0,0,2.05346907479721,"4521","Proteasome"
"102",102,-0.00843323687474163,0,0,0,2.04681066073153,"891","Proteasome"
"103",103,-0.00851591566763125,0,0,0,2.03535217092339,"8544","Proteasome"
"104",104,-0.00859859446052088,0,0,0,2.03446925194288,"1448","Proteasome"
"105",105,-0.0086812732534105,0,0,0,2.02292361041168,"24137","Proteasome"
"106",106,-0.00876395204630012,0,0,0,2.01940276943022,"6355","Proteasome"
"107",107,-0.00884663083918975,0,0,0,2.0110075436176,"10578","Proteasome"
"108",108,-0.00892930963207937,0,0,0,2.01082077632796,"4174","Proteasome"
"109",109,-0.009011988424969,0,0,0,2.00517449045459,"9232","Proteasome"
"110",110,-0.00909466721785862,0,0,0,1.98767921743432,"10855","Proteasome"
"111",111,-0.00917734601074824,0,0,0,1.98145681473569,"9355","Proteasome"
"112",112,-0.00926002480363787,0,0,0,1.97664177433774,"29968","Proteasome"
"113",113,-0.00934270359652749,0,0,0,1.96714274123572,"3695","Proteasome"
"114",114,-0.00942538238941711,0,0,0,1.96663777427496,"6999","Proteasome"
"115",115,-0.00950806118230674,0,0,0,1.96510495750906,"4001","Proteasome"
"116",116,-0.00959073997519636,0,0,0,1.95616237474706,"4171","Proteasome"
"117",117,-0.00967341876808599,0,0,0,1.93745837908873,"2921","Proteasome"
"118",118,-0.00975609756097561,0,0,0,1.93633630503896,"6664","Proteasome"
"119",119,-0.00983877635386523,0,0,0,1.9352970769953,"7941","Proteasome"
"120",120,-0.00992145514675486,0,0,0,1.92234959468047,"1033","Proteasome"
"121",121,-0.0100041339396445,0,0,0,1.92023037511235,"6364","Proteasome"
"122",122,-0.0100868127325341,0,0,0,1.91561704401602,"23532","Proteasome"
"123",123,-0.0101694915254237,0,0,0,1.90946383220216,"81569","Proteasome"
"124",124,-0.0102521703183134,0,0,0,1.90926135308883,"9928","Proteasome"
"125",125,-0.010334849111203,0,0,0,1.90556629465026,"1164","Proteasome"
"126",126,-0.0104175279040926,0,0,0,1.90219183113301,"3161","Proteasome"
"127",127,-0.0105002066969822,0,0,0,1.89799966453608,"3595","Proteasome"
"128",128,-0.0105828854898718,0,0,0,1.8973845440923,"11004","Proteasome"
"129",129,-0.0106655642827615,0,0,0,1.8900079550939,"993","Proteasome"
"130",130,-0.0107482430756511,0,0,0,1.88880999967824,"4603","Proteasome"
"131",131,-0.0108309218685407,0,0,0,1.88621911841208,"8061","Proteasome"
"132",132,-0.0109136006614303,0,0,0,1.87570713027188,"57348","Proteasome"
"133",133,-0.01099627945432,0,0,0,1.86743524705447,"79801","Proteasome"
"134",134,-0.0110789582472096,0,0,0,1.85941881550488,"419","Proteasome"
"135",135,-0.0111616370400992,0,0,0,1.85726845073093,"990","Proteasome"
"136",136,-0.0112443158329888,0,0,0,1.85434640933315,"5347","Proteasome"
"137",137,-0.0113269946258785,0,0,0,1.84414811842538,"29851","Proteasome"
"138",138,-0.0114096734187681,0,0,0,1.83777034208248,"29127","Proteasome"
"139",139,-0.0114923522116577,0,0,0,1.83187832543631,"4102","Proteasome"
"140",140,-0.0115750310045473,0,0,0,1.83034286628812,"26255","Proteasome"
"141",141,-0.011657709797437,0,0,0,1.8302204127078,"55215","Proteasome"
"142",142,-0.0117403885903266,0,0,0,1.82760317537103,"2173","Proteasome"
"143",143,-0.0118230673832162,0,0,0,1.81958472937547,"4318","Proteasome"
"144",144,-0.0119057461761058,0,0,0,1.81934689137861,"4105","Proteasome"
"145",145,-0.0119884249689955,0,0,0,1.81470187621389,"5004","Proteasome"
"146",146,-0.0120711037618851,0,0,0,1.80940373672263,"701","Proteasome"
"147",147,-0.0121537825547747,0,0,0,1.80754323945226,"2633","Proteasome"
"148",148,-0.0122364613476643,0,0,0,1.80698763118446,"23630","Proteasome"
"149",149,-0.0123191401405539,0,0,0,1.80587208015658,"11274","Proteasome"
"150",150,-0.0124018189334436,0,0,0,1.79924655244532,"55723","Proteasome"
"151",151,-0.0124844977263332,0,0,0,1.79891263060723,"4069","Proteasome"
"152",152,-0.0125671765192228,0,0,0,1.79858084558316,"51512","Proteasome"
"153",153,-0.0126498553121124,0,0,0,1.78607928369175,"9568","Proteasome"
"154",154,-0.0127325341050021,0,0,0,1.7848715021521,"55635","Proteasome"
"155",155,-0.0128152128978917,0,0,0,1.77459052615911,"9156","Proteasome"
"156",156,-0.0128978916907813,0,0,0,1.77422320823974,"11130","Proteasome"
"157",157,-0.0129805704836709,0,0,0,1.77325283766689,"81570","Proteasome"
"158",158,-0.0130632492765606,0,0,0,1.77046251167591,"10024","Proteasome"
"159",159,-0.0131459280694502,0,0,0,1.76033528138796,"4818","Proteasome"
"160",160,-0.0132286068623398,0,0,0,1.75787238551618,"79682","Proteasome"
"161",161,-0.0133112856552294,0,0,0,1.74952903026857,"6712","Proteasome"
"162",162,-0.0133939644481191,0,0,0,1.74670399810057,"4061","Proteasome"
"163",163,-0.0134766432410087,0,0,0,1.73867153961922,"3576","Proteasome"
"164",164,-0.0135593220338983,0,0,0,1.73584654855835,"51442","Proteasome"
"165",165,-0.0136420008267879,0,0,0,1.73334611104394,"1978","Proteasome"
"166",166,-0.0137246796196776,0,0,0,1.7317068213935,"1515","Proteasome"
"167",167,-0.0138073584125672,0,0,0,1.73099500343839,"26227","Proteasome"
"168",168,-0.0138900372054568,0,0,0,1.7086556728681,"4821","Proteasome"
"169",169,-0.0139727159983464,0,0,0,1.69865567921754,"2001","Proteasome"
"170",170,-0.014055394791236,0,0,0,1.69786991419451,"57405","Proteasome"
"171",171,-0.0141380735841257,0,0,0,1.69742540020716,"55110","Proteasome"
"172",172,-0.0142207523770153,0,0,0,1.69247474334041,"79852","Proteasome"
"173",173,-0.0143034311699049,0,0,0,1.69082435045383,"10615","Proteasome"
"174",174,-0.0143861099627945,0,0,0,1.68939691474529,"8836","Proteasome"
"175",175,-0.0144687887556842,0,0,0,1.68479875385302,"8581","Proteasome"
"176",176,-0.0145514675485738,0,0,0,1.68431657055544,"6890","Proteasome"
"177",177,-0.0146341463414634,0,0,0,1.68175340623312,"875","Proteasome"
"178",178,-0.014716825134353,0,0,0,1.67520550505634,"28823","Proteasome"
"179",179,-0.0147995039272427,0,0,0,1.66981954836122,"10321","Proteasome"
"180",180,-0.0148821827201323,0,0,0,1.66185821360782,"3159","Proteasome"
"181",181,-0.0149648615130219,0,0,0,1.66149992349036,"58473","Proteasome"
"182",182,-0.0150475403059115,0,0,0,1.64916056568267,"53335","Proteasome"
"183",183,-0.0151302190988012,0,0,0,1.64880219482811,"1894","Proteasome"
"184",184,-0.0152128978916908,0,0,0,1.64740976753617,"79075","Proteasome"
"185",185,-0.0152955766845804,0,0,0,1.64501822038253,"79623","Proteasome"
"186",186,-0.01537825547747,0,0,0,1.64389884231658,"2491","Proteasome"
"187",187,-0.0154609342703597,0,0,0,1.63732886778798,"1521","Proteasome"
"188",188,-0.0155436130632493,0,0,0,1.63696714016435,"80305","Proteasome"
"189",189,-0.0156262918561389,0,0,0,1.63489796691618,"7980","Proteasome"
"190",190,-0.0157089706490285,0,0,0,1.63411622868035,"8438","Proteasome"
"191",191,-0.0157916494419181,0,0,0,1.62819906599342,"9636","Proteasome"
"192",192,-0.0158743282348078,0,0,0,1.62650999376696,"9700","Proteasome"
"193",193,-0.0159570070276974,0,0,0,1.62505854435403,"1503","Proteasome"
"194",194,-0.016039685820587,0,0,0,1.62352176036506,"51155","Proteasome"
"195",195,-0.0161223646134766,0,0,0,1.62154963535437,"6689","Proteasome"
"196",196,-0.0162050434063663,0,0,0,1.61998025701382,"5888","Proteasome"
"197",197,-0.0162877221992559,0,0,0,1.61892418928511,"29909","Proteasome"
"198",198,-0.0163704009921455,0,0,0,1.61739093551617,"7083","Proteasome"
"199",199,-0.0164530797850351,0,0,0,1.61502872734756,"333","Proteasome"
"200",200,-0.0165357585779248,0,0,0,1.60916031940894,"898","Proteasome"
"201",201,-0.0166184373708144,0,0,0,1.608631269989,"79094","Proteasome"
"202",202,-0.016701116163704,0,0,0,1.60773418538135,"3149","Proteasome"
"203",203,-0.0167837949565936,0,0,0,1.5947372349711,"23594","Proteasome"
"204",204,-0.0168664737494833,0,0,0,1.5945538527322,"56992","Proteasome"
"205",205,-0.0169491525423729,0,0,0,1.59069780116146,"23413","Proteasome"
"206",206,-0.0170318313352625,0,0,0,1.58722501594921,"56649","Proteasome"
"207",207,-0.0171145101281521,0,0,0,1.5869795234971,"3898","Proteasome"
"208",208,-0.0171971889210418,0,0,0,1.58662359092119,"28424","Proteasome"
"209",209,-0.0172798677139314,0,0,0,1.5858560358182,"952","Proteasome"
"210",210,-0.017362546506821,0,0,0,1.58537130659627,"26279","Proteasome"
"211",211,-0.0174452252997106,0,0,0,1.58214841507708,"8792","Proteasome"
"212",212,-0.0175279040926002,0,0,0,1.57153006172923,"3294","Proteasome"
"213",213,-0.0176105828854899,0,0,0,1.56191437270487,"79725","Proteasome"
"214",214,-0.0176932616783795,0,0,0,1.55413086303962,"1493","Proteasome"
"215",215,-0.0177759404712691,0,0,0,1.55412964533532,"6352","Proteasome"
"216",216,-0.0178586192641587,0,0,0,1.54658373078603,"25907","Proteasome"
"217",217,-0.0179412980570484,0,0,0,1.54344005633119,"9768","Proteasome"
"218",218,-0.018023976849938,0,0,0,1.54245888304185,"80020","Proteasome"
"219",219,-0.0181066556428276,0,0,0,1.53375881399875,"6663","Proteasome"
"220",220,-0.0181893344357172,0,0,0,1.53341118241257,"51378","Proteasome"
"221",221,-0.0182720132286069,0,0,0,1.53065214696885,"8842","Proteasome"
"222",222,-0.0183546920214965,0,0,0,1.52996553916593,"4998","Proteasome"
"223",223,-0.0184373708143861,0,0,0,1.51351580018853,"11339","Proteasome"
"224",224,-0.0185200496072757,0,0,0,1.51286334171385,"3070","Proteasome"
"225",225,-0.0186027284001654,0,0,0,1.51094517486462,"57211","Proteasome"
"226",226,-0.018685407193055,0,0,0,1.50430969748143,"4288","Proteasome"
"227",227,-0.0187680859859446,0,0,0,1.50004566119953,"7804","Proteasome"
"228",228,-0.0188507647788342,0,0,0,1.49786699934298,"10733","Proteasome"
"229",229,-0.0189334435717239,0,0,0,1.49628603764966,"339479","Proteasome"
"230",230,-0.0190161223646135,0,0,0,1.48533840945111,"3613","Proteasome"
"231",231,-0.0190988011575031,0,0,0,1.47982621689592,"6536","Proteasome"
"232",232,-0.0191814799503927,0,0,0,1.47791455337093,"797","Proteasome"
"233",233,-0.0192641587432823,0,0,0,1.46970764359672,"7037","Proteasome"
"234",234,-0.019346837536172,0,0,0,1.46857784110309,"1163","Proteasome"
"235",235,-0.0194295163290616,0,0,0,1.46679403862871,"6884","Proteasome"
"236",236,-0.0195121951219512,0,0,0,1.46604706332696,"1001","Proteasome"
"237",237,-0.0195948739148408,0,0,0,1.46509178675694,"26472","Proteasome"
"238",238,-0.0196775527077305,0,0,0,1.46397858976223,"1824","Proteasome"
"239",239,-0.0197602315006201,0,0,0,1.46125510216524,"5026","Proteasome"
"240",240,-0.0198429102935097,0,0,0,1.4589716153314,"81831","Proteasome"
"241",241,-0.0199255890863993,0,0,0,1.45863993079608,"3934","Proteasome"
"242",242,-0.020008267879289,0,0,0,1.45791957184127,"59272","Proteasome"
"243",243,-0.0200909466721786,0,0,0,1.45694798937936,"154754","Proteasome"
"244",244,-0.0201736254650682,0,0,0,1.45234791103264,"4316","Proteasome"
"245",245,-0.0202563042579578,0,0,0,1.45184570194701,"54801","Proteasome"
"246",246,-0.0203389830508475,0,0,0,1.44972233623598,"9134","Proteasome"
"247",247,-0.0204216618437371,0,0,0,1.44745142951011,"445","Proteasome"
"248",248,-0.0205043406366267,0,0,0,1.44300051858222,"4599","Proteasome"
"249",249,-0.0205870194295163,0,0,0,1.44259589708393,"2175","Proteasome"
"250",250,-0.020669698222406,0,0,0,1.44027462772614,"1717","Proteasome"
"251",251,-0.0207523770152956,0,0,0,1.43952616479606,"4175","Proteasome"
"252",252,-0.0208350558081852,0,0,0,1.43274248513068,"9435","Proteasome"
"253",253,-0.0209177346010748,0,0,0,1.42821177850525,"83937","Proteasome"
"254",254,-0.0210004133939645,0,0,0,1.42233434283868,"4173","Proteasome"
"255",255,-0.0210830921868541,0,0,0,1.4178086725235,"54210","Proteasome"
"256",256,-0.0211657709797437,0,0,0,1.41700273927443,"26150","Proteasome"
"257",257,-0.0212484497726333,0,0,0,1.41634710128413,"54959","Proteasome"
"258",258,-0.0213311285655229,0,0,0,1.41618690840263,"23560","Proteasome"
"259",259,-0.0214138073584126,0,0,0,1.41248795762893,"1075","Proteasome"
"260",260,-0.0214964861513022,0,0,0,1.4098846705995,"55711","Proteasome"
"261",261,-0.0215791649441918,0,0,0,1.40810073028908,"9603","Proteasome"
"262",262,-0.0216618437370814,0,0,0,1.40707596410521,"65009","Proteasome"
"263",263,-0.0217445225299711,0,0,0,1.39894689035212,"5307","Proteasome"
"264",264,-0.0218272013228607,0,0,0,1.39470423005379,"10797","Proteasome"
"265",265,-0.0219098801157503,0,0,0,1.38974848432601,"10663","Proteasome"
"266",266,-0.0219925589086399,0,0,0,1.38561056537436,"2237","Proteasome"
"267",267,-0.0220752377015296,0,0,0,1.38454902464093,"3755","Proteasome"
"268",268,-0.0221579164944192,0,0,0,1.37668684036128,"56833","Proteasome"
"269",269,-0.0222405952873088,0,0,0,1.37244904713818,"5214","Proteasome"
"270",270,-0.0223232740801984,0,0,0,1.36904262256931,"29899","Proteasome"
"271",271,-0.0224059528730881,0,0,0,1.35791492054055,"2019","Proteasome"
"272",272,-0.0224886316659777,0,0,0,1.35684845681131,"4199","Proteasome"
"273",273,-0.0225713104588673,0,0,0,1.3560448131144,"10549","Proteasome"
"274",274,-0.0226539892517569,0,0,0,1.35411108594541,"3932","Proteasome"
"275",275,-0.0227366680446465,0,0,0,1.34573738860289,"10926","Proteasome"
"276",276,-0.0228193468375362,0,0,0,1.33682590865021,"8139","Proteasome"
"277",277,-0.0229020256304258,0,0,0,1.33633263104673,"80380","Proteasome"
"278",278,-0.0229847044233154,0,0,0,1.33474982326458,"54962","Proteasome"
"279",279,-0.023067383216205,0,0,0,1.331600216581,"713","Proteasome"
"280",280,-0.0231500620090947,0,0,0,1.33051412452832,"55010","Proteasome"
"281",281,-0.0232327408019843,0,0,0,1.32948087356335,"3110","Proteasome"
"282",282,-0.0233154195948739,0,0,0,1.32663728021362,"6502","Proteasome"
"283",283,-0.0233980983877635,0,0,0,1.3247294869427,"55633","Proteasome"
"284",284,-0.0234807771806532,0,0,0,1.31959293261531,"59336","Proteasome"
"285",285,-0.0235634559735428,0,0,0,1.31644237878836,"56942","Proteasome"
"286",286,-0.0236461347664324,0,0,0,1.31348056705997,"4111","Proteasome"
"287",287,-0.023728813559322,0,0,0,1.31337414410635,"7378","Proteasome"
"288",288,-0.0238114923522117,0,0,0,1.30764580813371,"440","Proteasome"
"289",289,-0.0238941711451013,0,0,0,1.30390101299128,"5551","Proteasome"
"290",290,-0.0239768499379909,0,0,0,1.29871299610749,"55353","Proteasome"
"291",291,-0.0240595287308805,0,0,0,1.29808292190644,"55612","Proteasome"
"292",292,-0.0241422075237702,0,0,0,1.29791695494921,"6627","Proteasome"
"293",293,-0.0242248863166598,0,0,0,1.29669748477269,"133","Proteasome"
"294",294,-0.0243075651095494,0,0,0,1.29619559363781,"5100","Proteasome"
"295",295,-0.024390243902439,0,0,0,1.29522791507846,"3559","Proteasome"
"296",296,-0.0244729226953286,0,0,0,1.2935381497944,"91646","Proteasome"
"297",297,-0.0245556014882183,0,0,0,1.29181478982045,"54954","Proteasome"
"298",298,-0.0246382802811079,0,0,0,1.29159821685483,"22948","Proteasome"
"299",299,-0.0247209590739975,0,0,0,1.29130136412908,"768","Proteasome"
"300",300,-0.0248036378668871,0,0,0,1.29037475149982,"79315","Proteasome"
"301",301,-0.0248863166597768,0,0,0,1.29036136107323,"1230","Proteasome"
"302",302,-0.0249689954526664,0,0,0,1.28747451745106,"79943","Proteasome"
"303",303,-0.025051674245556,0,0,0,1.28686424880146,"55526","Proteasome"
"304",304,-0.0251343530384456,0,0,0,1.28002852727775,"4597","Proteasome"
"305",305,-0.0252170318313353,0,0,0,1.27748574393732,"2537","Proteasome"
"306",306,-0.0252997106242249,0,0,0,1.2771340778568,"200315","Proteasome"
"307",307,-0.0253823894171145,0,0,0,1.27339881453093,"23007","Proteasome"
"308",308,-0.0254650682100041,0,0,0,1.27253375564343,"8538","Proteasome"
"309",309,-0.0255477470028938,0,0,0,1.26648546387317,"5984","Proteasome"
"310",310,-0.0256304257957834,0,0,0,1.25814026307637,"3823","Proteasome"
"311",311,-0.025713104588673,0,0,0,1.2574280667981,"128872","Proteasome"
"312",312,-0.0257957833815626,0,0,0,1.25708826590034,"6772","Proteasome"
"313",313,-0.0258784621744523,0,0,0,1.25292406038689,"51311","Proteasome"
"314",314,-0.0259611409673419,0,0,0,1.25194148665647,"26692","Proteasome"
"315",315,-0.0260438197602315,0,0,0,1.24958335271795,"994","Proteasome"
"316",316,-0.0261264985531211,0,0,0,1.24910618108652,"79931","Proteasome"
"317",317,-0.0262091773460107,0,0,0,1.24812948095829,"6347","Proteasome"
"318",318,-0.0262918561389004,0,0,0,1.24199613962835,"7345","Proteasome"
"319",319,-0.02637453493179,0,0,0,1.24154777612621,"3507","Proteasome"
"320",320,-0.0264572137246796,0,0,0,1.23856392921562,"30848","Proteasome"
"321",321,-0.0265398925175692,0,0,0,1.23726459987104,"29094","Proteasome"
"322",322,-0.0266225713104589,0,0,0,1.23489542174982,"9654","Proteasome"
"323",323,-0.0267052501033485,0,0,0,1.23460729632181,"78997","Proteasome"
"324",324,-0.0267879288962381,0,0,0,1.23342973595058,"9918","Proteasome"
"325",325,-0.0268706076891277,0,0,0,1.23219584123194,"712","Proteasome"
"326",326,-0.0269532864820174,0,0,0,1.2308665931381,"29980","Proteasome"
"327",327,-0.027035965274907,0,0,0,1.23051740165721,"11240","Proteasome"
"328",328,-0.0271186440677966,0,0,0,1.22815131524455,"51373","Proteasome"
"329",329,-0.0272013228606862,0,0,0,1.2257216665052,"79581","Proteasome"
"330",330,-0.0272840016535759,0,0,0,1.22566514508312,"6402","Proteasome"
"331",331,-0.0273666804464655,0,0,0,1.22368215081388,"639","Proteasome"
"332",332,-0.0274493592393551,0,0,0,1.22304131551558,"29028","Proteasome"
"333",333,-0.0275320380322447,0,0,0,1.2228873153734,"94025","Proteasome"
"334",334,-0.0276147168251344,0,0,0,1.22139187265907,"7298","Proteasome"
"335",335,-0.027697395618024,0,0,0,1.21867473770045,"2888","Proteasome"
"336",336,-0.0277800744109136,0,0,0,1.21719169888069,"53347","Proteasome"
"337",337,-0.0278627532038032,0,0,0,1.21513386457951,"8875","Proteasome"
"338",338,-0.0279454319966928,0,0,0,1.21295513161697,"3838","Proteasome"
"339",339,-0.0280281107895825,0,0,0,1.21164805164198,"1058","Proteasome"
"340",340,-0.0281107895824721,0,0,0,1.21137080150877,"84296","Proteasome"
"341",341,-0.0281934683753617,0,0,0,1.20955448461948,"914","Proteasome"
"342",342,-0.0282761471682513,0,0,0,1.20938086660177,"54478","Proteasome"
"343",343,-0.028358825961141,0,0,0,1.20851976751519,"51338","Proteasome"
"344",344,-0.0284415047540306,0,0,0,1.20357095411255,"5320","Proteasome"
"345",345,-0.0285241835469202,0,0,0,1.20269109466862,"29078","Proteasome"
"346",346,-0.0286068623398098,0,0,0,1.20250830465582,"64581","Proteasome"
"347",347,-0.0286895411326995,0,0,0,1.19983905575089,"3126","Proteasome"
"348",348,-0.0287722199255891,0,0,0,1.19977522605617,"8833","Proteasome"
"349",349,-0.0288548987184787,0,0,0,1.19889257799179,"5650","Proteasome"
