gene	tumor	Correlation	Pvalue
CISD1	BRCA	0.285963164273247	9.81411985899419e-22
CARS	BRCA	0.407604373218551	2.09620580716901e-44
LPCAT3	BRCA	0.423541224025002	3.66117772447212e-48
CS	BRCA	0.369853433732495	2.79017403895623e-36
GLS2	BRCA	0.273156781757056	6.70248098666438e-20
MT1G	BRCA	0.152017412099779	5.31565919924808e-07
ALOX15	BRCA	0.0650282494505884	0.0327733059387882
GPX4	BRCA	0.313396133335503	5.38369191943613e-26
SLC1A5	BRCA	0.223906594664179	1.02527934472476e-13
SAT1	BRCA	0.0844173252916086	0.0055473450074754
ACSL4	BRCA	0.0731082120306063	0.0163600019817044
DPP4	CESC	-0.092662307731891	0.114101450192844
ATP5G3	CESC	0.410541577661105	2.67068211967893e-13
NFE2L2	CESC	0.272990246961132	2.18954062445506e-06
FANCD2	CESC	0.612340087389342	1.93875512304346e-31
TFRC	CESC	0.353902628845411	4.842095817135e-10
SLC7A11	CESC	0.142652304608975	0.0147003728819523
CDKN1A	CESC	0.161407014349426	0.00570200960331513
HSPB1	CESC	0.284368120236355	7.77947468816909e-07
FDFT1	CESC	0.425963458334105	2.66977629569798e-14
TTC35	CESC	0.604031211616258	2.01118447618823e-30
RPL8	CESC	0.459566554865253	1.1553593356246e-16
HSPA5	CESC	0.182077433542417	0.00178319117134538
NCOA4	CESC	0.436001683811906	5.59121315835921e-15
CISD1	CESC	0.223838216215042	0.000114504649334155
CARS	CESC	0.557465014802702	3.04766577119154e-25
LPCAT3	CESC	0.449433821033205	6.35563105175523e-16
CS	CESC	0.420214822600239	6.38677780771406e-14
GLS2	CESC	0.186495142733224	0.00136812519844161
MT1G	CESC	-0.0397212242233209	0.498969483161729
ALOX15	CESC	0.0820595854480297	0.161938972798316
GPX4	CESC	0.377179997119475	2.63931940049537e-11
SLC1A5	CESC	0.374581625512164	3.69495357635852e-11
SAT1	CESC	0.159041989231619	0.00646119759111572
ACSL4	CESC	0.0157266082276384	0.789007026792695
DPP4	CHOL	0.290646894902782	0.0854902721912259
ATP5G3	CHOL	-0.104863172939017	0.542752420373023
NFE2L2	CHOL	0.375394700177268	0.0240642436198207
FANCD2	CHOL	0.276079542369743	0.103128802685845
TFRC	CHOL	0.395597335459974	0.0169332738983065
SLC7A11	CHOL	0.122561963219672	0.476396135260717
CDKN1A	CHOL	0.0350267266331065	0.839287056592348
HSPB1	CHOL	0.191273009693656	0.263783988268833
FDFT1	CHOL	0.340047622816253	0.0424380133577961
TTC35	CHOL	0.690866975612836	3.10147934873631e-06
RPL8	CHOL	0.347495841551456	0.0378382441908159
HSPA5	CHOL	0.45355650884759	0.00546581880814398
NCOA4	CHOL	0.0302542661309065	0.860954570435312
CISD1	CHOL	-0.0338546701297142	0.844598190254115
CARS	CHOL	0.370294099486131	0.0262126733304773
LPCAT3	CHOL	0.342452544290261	0.0409059239927936
CS	CHOL	0.252784795517603	0.136893308173417
GLS2	CHOL	0.170240193415319	0.320874091630314
MT1G	CHOL	0.17137708557979	0.317604776184312
ALOX15	CHOL	0.323653971802355	0.0541572895864225
GPX4	CHOL	0.0687258687258687	0.689490926496981
SLC1A5	CHOL	0.203385470741249	0.234152424937723
SAT1	CHOL	0.284261360072518	0.0929109094737359
ACSL4	CHOL	0.232606041537618	0.172192529164888
DPP4	COAD	-0.0625272004668359	0.188976572007064
ATP5G3	COAD	0.111833803036318	0.0185441828989358
NFE2L2	COAD	0.231542647927848	8.36090024386803e-07
FANCD2	COAD	0.31593397375351	1.00387139556149e-11
TFRC	COAD	0.162184491847394	0.000611059746026735
SLC7A11	COAD	0.23547265572398	5.36488251357193e-07
CDKN1A	COAD	-0.0168340599908419	0.723833598085615
HSPB1	COAD	0.189693623371089	5.87324536332266e-05
FDFT1	COAD	0.626423635148285	1.16891543007987e-49
TTC35	COAD	0.660953907629682	5.87419193299324e-57
RPL8	COAD	0.57955757081167	4.15739071475953e-41
HSPA5	COAD	0.214282842237745	5.3556373566774e-06
NCOA4	COAD	0.254302369793693	5.73758850209798e-08
CISD1	COAD	0.318040365590816	7.19026698999828e-12
CARS	COAD	0.321184029757746	4.34827282862716e-12
LPCAT3	COAD	0.421841236309027	1.53096689065958e-20
CS	COAD	0.385193320719775	4.05729503478222e-17
GLS2	COAD	0.0934979510590571	0.0492231018904521
MT1G	COAD	-0.122348554912557	0.00995023955453903
ALOX15	COAD	-0.0264567203096488	0.578639229736976
GPX4	COAD	0.223241366076712	2.08063420257521e-06
SLC1A5	COAD	0.323796189875248	2.85018215369892e-12
SAT1	COAD	0.0851691619347104	0.0733263918436184
ACSL4	COAD	0.0627718232392499	0.187248678843546
DPP4	ESCA	-0.00576287059885916	0.938285354410652
ATP5G3	ESCA	0.399708363573385	2.07608595737173e-08
NFE2L2	ESCA	0.374473978413517	1.76658698322138e-07
FANCD2	ESCA	0.345416112292768	1.6768778297845e-06
TFRC	ESCA	0.538792765853986	3.61291390467579e-15
SLC7A11	ESCA	-0.0364839256193324	0.623902638925598
CDKN1A	ESCA	0.108577936978322	0.143445611682254
HSPB1	ESCA	0.104189001990878	0.160435614619332
FDFT1	ESCA	0.553599308840821	4.36888673064055e-16
TTC35	ESCA	0.615838679930328	1.72876076509438e-20
RPL8	ESCA	0.594626665779887	7.00736953492607e-19
HSPA5	ESCA	0.257673516967136	0.000429092323609786
NCOA4	ESCA	0.501581757016254	4.73474101031747e-13
CISD1	ESCA	0.405559055068582	1.23113583341139e-08
CARS	ESCA	0.621452027795992	6.18962388403733e-21
LPCAT3	ESCA	0.421363829044995	2.8509927930057e-09
CS	ESCA	0.486888732468818	2.77387443310638e-12
GLS2	ESCA	0.157660308983795	0.0330459934773941
MT1G	ESCA	-0.0658902110844414	0.375508623664667
ALOX15	ESCA	0.0372765747355319	0.616380269150597
GPX4	ESCA	0.325898091262704	6.73222219344922e-06
SLC1A5	ESCA	0.279329291729334	0.000128503275062045
SAT1	ESCA	0.357475539937374	6.77008222116201e-07
ACSL4	ESCA	0.183486804928843	0.0129078701218003
DPP4	GBM	0.140878337604777	0.087663169638645
ATP5G3	GBM	0.0817440714527069	0.323308581231747
NFE2L2	GBM	0.139621024737624	0.0905580454149631
FANCD2	GBM	0.123115488018274	0.136029138722468
TFRC	GBM	0.0879317597463831	0.287906306430824
SLC7A11	GBM	0.210214058672936	0.0103354007869362
CDKN1A	GBM	0.0430284178062147	0.603575628953489
HSPB1	GBM	0.1502781042845	0.0682915651900881
FDFT1	GBM	0.275339954519609	0.000706705998843439
TTC35	GBM	0.0733390155226373	0.375705740035058
RPL8	GBM	0.326515239595322	5.11906169595215e-05
HSPA5	GBM	0.216040762541594	0.00835975539304958
NCOA4	GBM	0.646551117950485	6.95434160516993e-19
CISD1	GBM	0.425702714713848	6.8965036707137e-08
CARS	GBM	0.391711683462358	8.51575865355696e-07
LPCAT3	GBM	0.333763597974575	3.39084688136753e-05
CS	GBM	0.321384287930089	6.80951601043831e-05
GLS2	GBM	0.0781991279146826	0.344804512731163
MT1G	GBM	0.0695108622613038	0.401198855364278
ALOX15	GBM	0.133990710384758	0.104466338553739
GPX4	GBM	0.272159536865658	0.00081901784248858
SLC1A5	GBM	0.190305020443209	0.0205176719753676
SAT1	GBM	0.126540384969763	0.125388052329776
ACSL4	GBM	0.12531363132976	0.129123192140773
DPP4	HNSC	0.0385476749693088	0.383135989818115
ATP5G3	HNSC	0.495976492401185	2.86565020648678e-33
NFE2L2	HNSC	0.391941157380884	2.54891364704543e-20
FANCD2	HNSC	0.375549847826043	1.16090060090575e-18
TFRC	HNSC	0.50483252044457	1.36465111042671e-34
SLC7A11	HNSC	0.0135682940483204	0.758934940107734
CDKN1A	HNSC	0.250043115628129	9.10560446309087e-09
HSPB1	HNSC	0.231165037291266	1.1575982860926e-07
FDFT1	HNSC	0.52386047552728	1.44413462527092e-37
TTC35	HNSC	0.600939611451033	8.96714720302975e-52
RPL8	HNSC	0.551965850986797	2.5395248359539e-42
HSPA5	HNSC	0.233175693888937	8.91900712816654e-08
NCOA4	HNSC	0.325143375151591	4.03259787175573e-14
CISD1	HNSC	0.37502917528176	1.30603286650196e-18
CARS	HNSC	0.594639879454491	1.82070679529481e-50
LPCAT3	HNSC	0.490316552461141	1.91524585652729e-32
CS	HNSC	0.413387569871876	1.2346268792764e-22
GLS2	HNSC	0.21179644520899	1.26522448787121e-06
MT1G	HNSC	0.0248545807680981	0.573974802380755
ALOX15	HNSC	-5.05743056974763e-05	0.999087374038153
GPX4	HNSC	0.286278794186848	3.75331173214623e-11
SLC1A5	HNSC	0.189135745233677	1.58461811829273e-05
SAT1	HNSC	0.173720805428444	7.52401235098687e-05
ACSL4	HNSC	0.170648992103294	0.000101067118060363
DPP4	KICH	0.439553130560146	0.000222003655615253
ATP5G3	KICH	0.284455329976015	0.020623044185135
NFE2L2	KICH	-0.0101076558041547	0.935801365147575
FANCD2	KICH	0.525854254252245	5.78193507857337e-06
TFRC	KICH	0.405333762144199	0.000734961469237544
SLC7A11	KICH	0.138833797201872	0.266252072343859
CDKN1A	KICH	0.438798835373304	0.000228255976330057
HSPB1	KICH	0.451503803601314	0.000141729833867911
FDFT1	KICH	0.392732994117515	0.00110731343478873
TTC35	KICH	0.388961390806499	0.00124798952880514
RPL8	KICH	0.613632571192772	4.29248231963749e-08
HSPA5	KICH	0.116905220153199	0.349887905742826
NCOA4	KICH	0.371755128109223	0.00211628820376965
CISD1	KICH	0.225726990155613	0.0683980589863305
CARS	KICH	0.118191120090267	0.34457642534147
LPCAT3	KICH	0.164904116126053	0.185778988651957
CS	KICH	0.35591841260874	0.00335764562469581
GLS2	KICH	-0.0176643773945204	0.888047611775147
MT1G	KICH	-0.0385000841939824	0.758908930583285
ALOX15	KICH	0.071862503269229	0.566373093230193
GPX4	KICH	0.111907969985373	0.371007151865564
SLC1A5	KICH	0.199622097860447	0.108060637331826
SAT1	KICH	0.0873295900293879	0.485648103239203
ACSL4	KICH	-0.128369494351668	0.304321462591598
DPP4	KIRC	0.171993242055376	7.46296846330806e-05
ATP5G3	KIRC	0.109567520598173	0.0120018292032412
NFE2L2	KIRC	0.160485027124611	0.000222175045605051
FANCD2	KIRC	0.404192741476148	4.72071081735292e-22
TFRC	KIRC	0.25047036775589	5.94439890488695e-09
SLC7A11	KIRC	-0.0699969607935731	0.10916127247739
CDKN1A	KIRC	0.10892102831261	0.0125185706861264
HSPB1	KIRC	0.289178293456987	1.42870767354513e-11
FDFT1	KIRC	0.507124213671525	1.17987891513586e-35
TTC35	KIRC	0.265172572958882	6.73387008448963e-10
RPL8	KIRC	0.33734983885394	1.9368831672376e-15
HSPA5	KIRC	-0.0392600032165931	0.369312620817584
NCOA4	KIRC	0.165182848419198	0.00014356683070224
CISD1	KIRC	0.188364674767512	1.3950387330319e-05
CARS	KIRC	0.137713922387178	0.00156160903508396
LPCAT3	KIRC	0.382349635701826	1.01417910632856e-19
CS	KIRC	0.357849592155997	2.63659739995633e-17
GLS2	KIRC	-0.00129304241520205	0.976420584713673
MT1G	KIRC	0.140094446147561	0.00128997744510735
ALOX15	KIRC	0.0546772031948962	0.211021418793434
GPX4	KIRC	0.138891096321161	0.00142132531940404
SLC1A5	KIRC	0.0196712816011463	0.652930473779819
SAT1	KIRC	0.0394108318359717	0.367474887519382
ACSL4	KIRC	-0.0171313794847316	0.695337280324897
DPP4	KIRP	0.02371659536907	0.688574770024268
ATP5G3	KIRP	0.0754002042892016	0.202013530834466
NFE2L2	KIRP	0.00613258216039774	0.917469540467119
FANCD2	KIRP	0.165781823651467	0.00479160554815299
TFRC	KIRP	0.121044092432263	0.0400913367585149
SLC7A11	KIRP	-0.268875801314846	3.68064273881842e-06
CDKN1A	KIRP	-0.0181828156099241	0.75864848982284
HSPB1	KIRP	0.254962307756738	1.18326690434988e-05
FDFT1	KIRP	0.432722484271312	1.42821795727203e-14
TTC35	KIRP	0.401494151193105	1.39801188177837e-12
RPL8	KIRP	0.262271827037682	6.45979779353088e-06
HSPA5	KIRP	0.0621714587509947	0.293022742675364
NCOA4	KIRP	0.13936186593464	0.0179657912239014
CISD1	KIRP	0.249773150085414	1.79865607258982e-05
CARS	KIRP	0.362257182967997	2.3348602043465e-10
LPCAT3	KIRP	0.552099858557641	2.23053205727258e-24
CS	KIRP	0.432978991902834	1.37270015839528e-14
GLS2	KIRP	0.181966877515305	0.00193144125561714
MT1G	KIRP	0.221971190974745	0.000145820052673055
ALOX15	KIRP	-0.0159958528822612	0.786933038815679
GPX4	KIRP	0.0868782919600357	0.141360450804383
SLC1A5	KIRP	-0.0188524358010332	0.750050052086049
SAT1	KIRP	-0.0274548432083579	0.642658258672156
ACSL4	KIRP	-0.229535666208396	8.45858975457957e-05
DPP4	LIHC	0.0194077151585341	0.712100293087937
ATP5G3	LIHC	0.188753802356404	0.000292999631336275
NFE2L2	LIHC	0.279961247575902	5.57411031286911e-08
FANCD2	LIHC	0.274009506861651	1.08553422957006e-07
TFRC	LIHC	0.144988647143993	0.00558242099478254
SLC7A11	LIHC	0.0658548804427478	0.210034488824308
CDKN1A	LIHC	-0.0370263970792688	0.48128928890836
HSPB1	LIHC	0.149775682424834	0.00418485654235509
FDFT1	LIHC	0.374165967008964	1.53596393869789e-13
TTC35	LIHC	0.76394246700231	7.38398376314561e-71
RPL8	LIHC	0.717957603930557	6.44510831352757e-59
HSPA5	LIHC	0.232919562631651	7.10735706525834e-06
NCOA4	LIHC	0.309199000611883	1.6684827565233e-09
CISD1	LIHC	0.251991721925616	1.11614672654619e-06
CARS	LIHC	0.35614249524609	2.51775560977996e-12
LPCAT3	LIHC	0.273929784666855	1.09515189101697e-07
CS	LIHC	0.251953295529356	1.12049030468755e-06
GLS2	LIHC	-0.0228775288403425	0.663539842181033
MT1G	LIHC	0.190842775567119	0.000250020115127048
ALOX15	LIHC	-0.143711742499653	0.00602006938994137
GPX4	LIHC	0.270520019535226	1.59285810484724e-07
SLC1A5	LIHC	0.0930312991998443	0.0762841771934825
SAT1	LIHC	0.191098870529397	0.000245176650004242
ACSL4	LIHC	0.0358033754288775	0.495900755653254
DPP4	LUAD	-0.0462345777924696	0.296406500206663
ATP5G3	LUAD	0.36389871789272	1.77914372953659e-17
NFE2L2	LUAD	0.360135205010528	3.99839184176248e-17
FANCD2	LUAD	0.142375541205428	0.00123709349137431
TFRC	LUAD	0.381146033551522	3.78511445392233e-19
SLC7A11	LUAD	0.0514985950847824	0.24474673568342
CDKN1A	LUAD	-0.00675977815645607	0.878726174776669
HSPB1	LUAD	0.37860662997264	6.770230443129e-19
FDFT1	LUAD	0.552154257376603	3.38936160098274e-42
TTC35	LUAD	0.685565393384175	2.51946142030328e-72
RPL8	LUAD	0.54342252133088	1.12364602380336e-40
HSPA5	LUAD	0.265296658828378	1.07464395388592e-09
NCOA4	LUAD	0.348863608939256	4.24197274367232e-16
CISD1	LUAD	0.349450272558991	3.76003234255578e-16
CARS	LUAD	0.378900293253751	6.33160762735981e-19
LPCAT3	LUAD	0.366856576101044	9.34413684712037e-18
CS	LUAD	0.532889517618366	6.70596032432959e-39
GLS2	LUAD	-0.0555618229592811	0.20943614386539
MT1G	LUAD	0.0241363395508021	0.585830861768765
ALOX15	LUAD	0.0695601069244082	0.115945185865003
GPX4	LUAD	0.252105222874541	7.28434382087191e-09
SLC1A5	LUAD	0.287429782152672	3.3963573949535e-11
SAT1	LUAD	0.117634254558728	0.0077100498607574
ACSL4	LUAD	0.10722898219613	0.0152080297179103
DPP4	LUSC	-0.041943127461898	0.350273882667221
ATP5G3	LUSC	0.48271815117708	1.96947824864262e-30
NFE2L2	LUSC	0.380368182895948	1.36984043055422e-18
FANCD2	LUSC	0.179168273994053	5.7991572193106e-05
TFRC	LUSC	0.647295077182178	1.8156896323725e-60
SLC7A11	LUSC	-0.0595237895834489	0.18478477667811
CDKN1A	LUSC	0.148087111029255	0.00091745479795278
HSPB1	LUSC	0.230266783035027	2.0397158594209e-07
FDFT1	LUSC	0.363693446391705	5.09004299098027e-17
TTC35	LUSC	0.637396155311604	3.95982504944274e-58
RPL8	LUSC	0.549644178395528	1.1783488397871e-40
HSPA5	LUSC	0.310825727193623	1.28947858543899e-12
NCOA4	LUSC	0.478478511276199	7.39367449362432e-30
CISD1	LUSC	0.479117832913731	6.0637271484593e-30
CARS	LUSC	0.619725037383777	3.68190518875706e-54
LPCAT3	LUSC	0.390432362881613	1.3941590716967e-19
CS	LUSC	0.516044687269662	3.07046509029606e-35
GLS2	LUSC	0.355210977424106	2.95758854488043e-16
MT1G	LUSC	0.0454576006363391	0.311345836361816
ALOX15	LUSC	-0.036734447302135	0.413369270789075
GPX4	LUSC	0.310354502781719	1.39939646589459e-12
SLC1A5	LUSC	0.349404986700662	9.57072895349943e-16
SAT1	LUSC	0.143593207456193	0.00131343952500125
ACSL4	LUSC	0.191028589204749	1.77189777680282e-05
DPP4	PAAD	0.0944587662404616	0.211085411222973
ATP5G3	PAAD	0.189405255287271	0.0115725743206505
NFE2L2	PAAD	0.29091388220028	8.55703877010617e-05
FANCD2	PAAD	0.346097559190655	2.37524524100272e-06
TFRC	PAAD	0.056383279781881	0.456024404503075
SLC7A11	PAAD	0.103048281529916	0.172287295713362
CDKN1A	PAAD	0.142781543173922	0.0579797364072827
HSPB1	PAAD	0.118009969981651	0.117731177244272
FDFT1	PAAD	0.39682011356269	4.54810155869855e-08
TTC35	PAAD	0.632991423731723	3.31181824308523e-21
RPL8	PAAD	0.393515149774701	6.00980344686711e-08
HSPA5	PAAD	0.167561619636382	0.0257970899381648
NCOA4	PAAD	0.127635509405355	0.0904592552948775
CISD1	PAAD	0.215985074422299	0.00388570766738379
CARS	PAAD	0.452073990870184	2.67727053780864e-10
LPCAT3	PAAD	0.488358845933393	5.36966247872489e-12
CS	PAAD	0.566582426333973	2.03808466894986e-16
GLS2	PAAD	0.163134792467541	0.0300413450470313
MT1G	PAAD	-0.0495246883405082	0.512714592880866
ALOX15	PAAD	0.268180151835684	0.000307423507424707
GPX4	PAAD	0.14203417562864	0.0593184825491185
SLC1A5	PAAD	0.16985034885756	0.0238119825580809
SAT1	PAAD	-0.082427985019288	0.275395937235069
ACSL4	PAAD	0.273259892393118	0.000233217147524519
DPP4	PRAD	0.152123952274774	0.000719724356155057
ATP5G3	PRAD	0.209834178464456	2.73100525522107e-06
NFE2L2	PRAD	0.0771606789700388	0.0876445782886722
FANCD2	PRAD	0.26137994980945	4.11389057594069e-09
TFRC	PRAD	0.170171580496843	0.000151371304899141
SLC7A11	PRAD	0.14976863384855	0.000871623870427613
CDKN1A	PRAD	0.00128953103739599	0.977262346464657
HSPB1	PRAD	0.175621206136661	9.15224425988645e-05
FDFT1	PRAD	0.53449157526822	1.26924527386483e-37
TTC35	PRAD	0.529521908426038	7.77485060434723e-37
RPL8	PRAD	0.409026219962367	3.16342661101343e-21
HSPA5	PRAD	-0.0285513516071591	0.52792816480452
NCOA4	PRAD	0.0960702290671499	0.0333144495112857
CISD1	PRAD	0.292576651397122	3.79767063744807e-11
CARS	PRAD	0.166169115606553	0.000216945528557567
LPCAT3	PRAD	0.307585926161573	3.21692422977585e-12
CS	PRAD	0.145038906014033	0.00126982921526052
GLS2	PRAD	0.00391331515329491	0.93107484897848
MT1G	PRAD	0.187661200446147	2.85250566661866e-05
ALOX15	PRAD	-0.0349779563101583	0.439332482731461
GPX4	PRAD	0.0229292860337736	0.612259592311978
SLC1A5	PRAD	-0.0833468697338221	0.0649869552689096
SAT1	PRAD	-0.105037347995255	0.0199130160571724
ACSL4	PRAD	0.2603741422983	4.73840479649415e-09
DPP4	READ	0.00670226858425874	0.933391798164055
ATP5G3	READ	0.263605477490975	0.000818235096119252
NFE2L2	READ	0.381637506123053	7.51407543471868e-07
FANCD2	READ	0.461433486312852	1.04803470901407e-09
TFRC	READ	0.229635496754118	0.00370263928723435
SLC7A11	READ	0.21327602981959	0.00713278550133606
CDKN1A	READ	0.0079548698682038	0.920980453998661
HSPB1	READ	0.201791972451063	0.0110044758808272
FDFT1	READ	0.645751248327379	5.16785852304763e-20
TTC35	READ	0.648204110991899	3.36350365364525e-20
RPL8	READ	0.57155700925719	4.40084981365984e-15
HSPA5	READ	0.142921584019156	0.0732227334478739
NCOA4	READ	0.255154803964724	0.00121427509237798
CISD1	READ	0.311007622530667	6.96850689313763e-05
CARS	READ	0.501555357785727	1.90932348075364e-11
LPCAT3	READ	0.48293751882586	1.30651706949814e-10
CS	READ	0.370357246932429	1.66952472291353e-06
GLS2	READ	0.352750096633132	5.47304333828722e-06
MT1G	READ	-0.171396233232143	0.0312974214311793
ALOX15	READ	0.0278608145872982	0.728221926767235
GPX4	READ	0.277352019615723	0.000418629695513804
SLC1A5	READ	0.297755492760011	0.000144953661951872
SAT1	READ	0.250944531600836	0.00147109769692357
ACSL4	READ	0.156412878089452	0.0496967660710366
DPP4	STAD	0.129348361262252	0.00849421777734503
ATP5G3	STAD	0.296225180904264	8.24663140273202e-10
NFE2L2	STAD	0.180011824564478	0.000235745992663574
FANCD2	STAD	0.286982537083157	2.85197562342553e-09
TFRC	STAD	0.261630149907616	6.8487270298784e-08
SLC7A11	STAD	0.153169769410641	0.00179758891213194
CDKN1A	STAD	0.0430846458988102	0.382480349651114
HSPB1	STAD	0.131593079062799	0.00740994227600958
FDFT1	STAD	0.574996040687198	1.02017189635441e-37
TTC35	STAD	0.639248592472844	8.00456798905621e-49
RPL8	STAD	0.484851169133253	9.74550311150446e-26
HSPA5	STAD	0.166454266179027	0.000683233307592971
NCOA4	STAD	0.407081917919473	6.45615007164695e-18
CISD1	STAD	0.32893627813775	7.0701122324283e-12
CARS	STAD	0.317550202557843	3.9601122597979e-11
LPCAT3	STAD	0.343054497383978	7.53976948887022e-13
CS	STAD	0.455521118138431	1.50219515506272e-22
GLS2	STAD	0.154534262788722	0.00163308933392246
MT1G	STAD	0.0102265726407931	0.835850516714957
ALOX15	STAD	-0.117818314133104	0.0166003124870077
GPX4	STAD	0.193172304745402	7.77917902059703e-05
SLC1A5	STAD	0.228529483546805	2.69977509835909e-06
SAT1	STAD	0.0603707137718049	0.220848011443745
ACSL4	STAD	0.135933331633812	0.00565794169241184
DPP4	THCA	0.0356150113058079	0.42822352122038
ATP5G3	THCA	0.0598826148238308	0.18258836267827
NFE2L2	THCA	0.110606483556457	0.0136185507474679
FANCD2	THCA	0.0739984305321384	0.0993958574396977
TFRC	THCA	0.0143286002344533	0.749994493908748
SLC7A11	THCA	0.099663181060131	0.0262981568699024
CDKN1A	THCA	-0.113956204413329	0.0110102912134253
HSPB1	THCA	0.116745229656936	0.00918691165149073
FDFT1	THCA	0.00592767658110102	0.895129003477509
TTC35	THCA	-0.0961122541466151	0.032173815059435
RPL8	THCA	0.132747175559219	0.00302604760131758
HSPA5	THCA	0.267680389125543	1.33188807152633e-09
NCOA4	THCA	-0.06022820511868	0.180071945362001
CISD1	THCA	-0.0508058200425642	0.258258187137706
CARS	THCA	0.0150668389521312	0.737575475806779
LPCAT3	THCA	0.057073332811788	0.204014867104813
CS	THCA	0.0614698112512397	0.171243055277883
GLS2	THCA	-0.0637048511772984	0.156170765882134
MT1G	THCA	0.104558788683643	0.0197267239851201
ALOX15	THCA	-0.0691587897985602	0.12362056237381
GPX4	THCA	0.14462162529242	0.00122490912609605
SLC1A5	THCA	-0.0778855873750644	0.0828106713952165
SAT1	THCA	0.095728466302031	0.0328713892979887
ACSL4	THCA	-8.18488067544437e-05	0.998547769900887
DPP4	UCEC	0.116749793949682	0.00746630699081834
ATP5G3	UCEC	0.204835103884973	2.26838310449803e-06
NFE2L2	UCEC	0.148676733663258	0.000639620404658485
FANCD2	UCEC	0.254835840559706	3.26867720432531e-09
TFRC	UCEC	0.256346748587365	2.61982427840842e-09
SLC7A11	UCEC	0.302613287114372	1.47101340775209e-12
CDKN1A	UCEC	-0.245119849842123	1.31120458527294e-08
HSPB1	UCEC	0.123346548605118	0.0046899320194134
FDFT1	UCEC	0.532788813417155	9.29212604110971e-40
TTC35	UCEC	0.396944612212517	3.19771968806181e-21
RPL8	UCEC	0.341390658935129	9.06525498681872e-16
HSPA5	UCEC	0.124055157130035	0.00445560984732509
NCOA4	UCEC	0.250010223513501	6.5640923703833e-09
CISD1	UCEC	0.318386206198478	8.27043252824564e-14
CARS	UCEC	0.27187319313036	2.48067433674949e-10
LPCAT3	UCEC	0.152192229427048	0.000472457348062765
CS	UCEC	0.299889878874722	2.37656231688852e-12
GLS2	UCEC	0.244382714844048	1.45348952268909e-08
MT1G	UCEC	-0.096263546975345	0.027564440703506
ALOX15	UCEC	0.122349618624235	0.0050384383686146
GPX4	UCEC	0.321331773824226	4.73950052026816e-14
SLC1A5	UCEC	-0.0121751845705583	0.780975938684956
SAT1	UCEC	0.168460605495516	0.000106731476905591
ACSL4	UCEC	0.128372557513781	0.00324258529558566
