"","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4"
"A121_HCC_N",16,1,2,5,353,373,17,30,10,6,9
"A122_HCC",0,0,0,0,17,4,4,2,3,8,4
"A122_HCC_B",1,17,0,1,1,0,0,0,0,0,0
"A122_HCC_N",0,2,0,0,72,3,0,14,4,7,1
"A123_HCC",0,0,0,0,9,8,272,0,0,4,2
"A123_HCC_B",0,131,1,12,4,1,0,1,0,0,0
"A123_HCC_N",0,13,0,28,10,1640,2,11,28,0,17
"A124_HCC",0,0,0,0,0,0,37,0,0,0,0
"A124_HCC_B",0,14,0,4,2,0,0,0,0,0,0
"A124_HCC_N",0,4,0,4,88,761,31,3,31,1,7
