"","Unnormalized DAC","DAC"
"macrophage differentiation",0.00441797439194507,0.00163430280904836
"chromosome condensation",0.0128452698760899,0.00475173886923224
"neutrophil chemotaxis",0.0290184809589693,0.0107345540598936
"leukocyte chemotaxis",0.0716703525534408,0.0265123896410831
"cytoskeleton-dependent intracellular transport",0.0108014027581177,0.00399566889781872
"regulation of actin filament length",0.045940473136225,0.0169943593227773
"regulation of actin filament polymerization",0.0177752235927815,0.00657543373318556
"notochord development",0.0026680730953693,0.000986977055018345
"embryonic camera-type eye development",0.000154354611936973,5.70990579615162e-05
"RNA 3'-end processing",0.00606392912918155,0.00224317651722025
"regulation of defense response",0.672016306363813,0.248593142418183
"positive regulation of defense response",0.441277820537033,0.163238062898074
"regulation of response to external stimulus",0.909953330748305,0.336611114644813
"positive regulation of response to external stimulus",0.20790883668824,0.0769099061427501
"regulation of protein polymerization",0.0373805415796453,0.0138278583548935
"regulation of intracellular transport",0.20021209103947,0.0740627160238461
"multicellular organismal process",1.04019444891793,0.3847900777611
"regulation of cellular component size",0.0548449229068802,0.0202883049146179
"regulation of actin cytoskeleton organization",0.0627021207954791,0.0231948497338903
"tetrapyrrole biosynthetic process",0.00153853695375887,0.000569137582584725
"regulation of organelle organization",0.322564938811844,0.119323639938216
"histone lysine methylation",-0.00121178856469528,-0.00044826639531115
"exocrine system development",-0.000128995320144948,-4.7718115897491e-05
"intracellular signal transduction",1.04978350138885,0.388337272470489
"peptidyl-tyrosine autophosphorylation",0.00153316917171014,0.000567151925697126
"locomotion",0.432736077699999,0.160078290324883
"response to chemical",2.70327773255044,1
"pigment metabolic process",0.000231998518790779,8.58211925460936e-05
"defense response to bacterium",0.130748679820605,0.0483667209795897
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.00214110600785079,0.000792040707497241
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.0299277812528479,0.0110709236022938
"regulation of protein complex disassembly",0.0264118628613948,0.00977031051725351
"regulation of protein complex assembly",0.0889502559343807,0.0329045938799857
"positive regulation of MAPK cascade",0.106391063663747,0.0393563200638549
"macromolecule glycosylation",-0.00429176180966865,-0.00158761408714728
"macromolecule methylation",-0.00787015284357466,-0.00291133713299576
"cellular amide metabolic process",0.00272363910941114,0.00100753210689953
"response to estrogen",0.0546665886695496,0.0202223352825733
"mitotic cell cycle phase transition",0.132762657412781,0.0491117341789089
"cilium organization",0.0033097378098477,0.00122434249725613
"establishment of protein localization",-0.255058192177587,-0.0943514567912893
"establishment or maintenance of epithelial cell apical/basal polarity",0.000411107567306727,0.00015207744374784
"cell redox homeostasis",0.0073200635725798,0.00270784739741617
"positive regulation of cell differentiation",0.0821536908183498,0.0303903997096299
"positive regulation of transcription from RNA polymerase II promoter",0.234552922907806,0.0867661210254244
"cGMP metabolic process",-0.00164939835981429,-0.000610147577495912
"pigment biosynthetic process",-0.00224488821380121,-0.000830431955536896
"inositol lipid-mediated signaling",0.0535421410980971,0.019806378180603
"regulation of retinoic acid receptor signaling pathway",0.000234078426428863,8.65905946733854e-05
"embryonic organ morphogenesis",0.0119050232187984,0.0044039216079979
"digestive tract development",0.010257038325801,0.00379429690197754
"embryonic organ development",0.0131377535393738,0.00485993480476713
"eye morphogenesis",0.00157838458078137,0.000583878068381907
"camera-type eye morphogenesis",-0.000528787823801823,-0.000195609876645169
"embryonic camera-type eye morphogenesis",0.000457612497768987,0.000169280607855726
"gland development",0.0410870773919911,0.0151989848831504
"appendage development",0.000934054645476268,0.00034552670420402
"calcium ion-regulated exocytosis of neurotransmitter",0,0
"stem cell differentiation",0.0120663621002356,0.00446360429597868
"regulation of neurogenesis",0.0176335826757685,0.00652303774171657
"regulation of immune response",0.969496497615678,0.35863740005027
"positive regulation of immune response",0.488292803585242,0.180629906319155
"synapse organization",-0.00578419356319473,-0.00213969637434832
"leukocyte migration",0.229575112918766,0.0849247231072223
"sensory perception of light stimulus",-0.00273157491786581,-0.00101046773144122
"actin filament bundle assembly",0.00353330213978841,0.00130704370373919
"regulation of cellular component organization",0.979233446643023,0.362239304845364
"regulation of nitrogen compound metabolic process",0.880142720485619,0.325583535086954
"positive regulation of nitrogen compound metabolic process",0.283586426272744,0.104904658096374
"cofactor biosynthetic process",0.0312725246458897,0.0115683728199046
"positive regulation of RNA metabolic process",0.277126485529715,0.102514988450061
"protein homooligomerization",0.00639361034949869,0.00236513262122962
"meiotic cell cycle",3.80287276051861e-05,1.40676361689657e-05
"negative regulation of hydrolase activity",0.190630388177463,0.0705182400913024
"positive regulation of transferase activity",0.17857444167121,0.0660584887453394
"regulation of cytoskeleton organization",0.166805900739499,0.0617050548417473
"organelle localization",0.0085124234035899,0.0031489266903992
"cyclic purine nucleotide metabolic process",0.00254689279205874,0.000942149880269922
"convergent extension",0.00200429914385087,0.000741432935179726
"definitive hemopoiesis",-0.0017495038678596,-0.000647178736684599
"regulation of pathway-restricted SMAD protein phosphorylation",0.0018052378609841,0.000667795927605606
"mesenchyme development",0.00499576506162478,0.00184803988190716
"skeletal muscle organ development",0.00423776621586168,0.00156763996715332
"somite development",0.000115298269552691,4.26512852025426e-05
"connective tissue development",0.0047355937737604,0.00175179698213714
"myeloid cell development",0.00737675667757694,0.00272881938424331
"actin filament bundle organization",0.00353330213978841,0.00130704370373919
"regulation of molecular function",1.52619435617979,0.564571792902641
"glycosylation",0.00116487151387133,0.000430910779105303
"cellular response to cytokine stimulus",0.217661894251669,0.0805177698283756
"cellular response to estrogen stimulus",0.00387643229777264,0.00143397485618889
"cellular response to xenobiotic stimulus",0,0
"granulocyte chemotaxis",0.0308301548611674,0.0114047308162008
"nucleic acid metabolic process",0.685849447839967,0.253710316029162
"apoptotic signaling pathway",0.0747556585245675,0.0276537100218846
"extrinsic apoptotic signaling pathway",0.0187139995779506,0.00692270696148364
"myeloid leukocyte migration",0.0354877789167215,0.0131276851391959
"granulocyte migration",0.0308534186517835,0.0114133365877558
"defense response to other organism",0.372134876063331,0.137660615327244
"regulation of vasculature development",0.0989290543059223,0.0365959638977185
"regulation of signal transduction by p53 class mediator",0.0133557952952712,0.00494059309350745
"positive regulation of intracellular signal transduction",0.688293279272423,0.254614341317806
"neutrophil migration",0.0290902719322082,0.0107611110696949
"negative regulation of cysteine-type endopeptidase activity",0.0356756381935123,0.013197178286174
"regulation of response to DNA damage stimulus",0.0257544794572115,0.00952713039696188
"regulation of apoptotic signaling pathway",0.237124752669534,0.0877174956218117
"negative regulation of intrinsic apoptotic signaling pathway",0.0138367248540498,0.00511849917877116
"Pentose phosphate pathway",0.00659422025595875,0.00243934249764909
"Ascorbate and aldarate metabolism",0.00868037217190069,0.00321105451629311
"Selenocompound metabolism",0.0125691388624128,0.00464959212701918
"Other glycan degradation",-0.00179574042424128,-0.00066428262350501
"Glycosaminoglycan degradation",-9.97789807396585e-05,-3.69103697848762e-05
"Sphingolipid metabolism",0.0028694977004257,0.00106148830579773
"Metabolism of xenobiotics by cytochrome P450",0.0402547985901864,0.0148911072308532
"Drug metabolism - cytochrome P450",0.0226563603691913,0.00838107017136411
"Biosynthesis of unsaturated fatty acids",0.0323576914659308,0.0119697991354379
"MAPK signaling pathway",0.197541539039982,0.0730748219694056
"Calcium signaling pathway",0.0118622214814749,0.00438808833389213
"Neuroactive ligand-receptor interaction",0.22458260943716,0.08307788975322
"Oocyte meiosis",0.0800653907512124,0.0296178930441134
"Regulation of autophagy",-0.00311785643645031,-0.00115336149109205
"Lysosome",-0.00648987834383077,-0.00240074420237532
"Cell adhesion molecules (CAMs)",0.024527707425567,0.00907332129815091
"Intestinal immune network for IgA production",0.00733349347378148,0.00271281540386256
"Herpes simplex infection",0.0510564233086277,0.0188868582365223
"arachidonic acid metabolism",0.0242579597740417,0.00897353589753254
"chondroitin sulfate degradation",-0.000823256885142055,-0.000304540253200452
"fatty acid oxidation",0.180276833217051,0.0666882396308449
"glycine, serine, alanine and threonine metabolism",0.00415341476917257,0.00153643657074554
"heparan sulfate degradation",0.00120679693228875,0.000446419884186367
"keratan sulfate degradation",-0.00117794842747353,-0.000435748207921713
"n-glycan degradation",-0.00180822604156252,-0.000668901319235344
"selenoamino acid metabolism",0.00960851975983541,0.00355439607412078
"steroid metabolism",0.0406180288830414,0.0150254738512272
"tyrosine metabolism",0.0468801493834251,0.0173419655771719
