"","Unnormalized DAC","DAC"
"eye morphogenesis",-0.0238185622573231,-0.000481025863500183
"camera-type eye morphogenesis",-0.0141720091833265,-0.000286209674676994
"embryonic camera-type eye morphogenesis",-0.00784540903010604,-0.000158441328760665
"gland development",-0.265047852749327,-0.00535275264981268
"appendage development",-0.00966097983729241,-0.000195107543364111
"calcium ion-regulated exocytosis of neurotransmitter",0,0
"stem cell differentiation",-0.057359133464046,-0.00115839177890269
"regulation of neurogenesis",-0.544982992309395,-0.011006160306252
"regulation of immune response",-0.530866688362544,-0.0107210756222099
"positive regulation of immune response",-0.306262319817625,-0.00618509611353844
"synapse organization",-0.0623140275895395,-0.00125845794576525
"leukocyte migration",-0.264740929106774,-0.00534655419800889
"sensory perception of light stimulus",-0.0885205035831955,-0.00178770872958489
"actin filament bundle assembly",-0.0275315798014419,-0.000556011811478717
"regulation of cellular component organization",-9.09208386988902,-0.183618450487489
"regulation of nitrogen compound metabolic process",-6.92918273603161,-0.1399377541323
"positive regulation of nitrogen compound metabolic process",-1.25181559773432,-0.0252809414916727
"cofactor biosynthetic process",-0.0618546135191533,-0.00124917988575792
"positive regulation of RNA metabolic process",-0.919955347159484,-0.0185788844208238
"protein homooligomerization",-0.524141807366425,-0.0105852638274783
"meiotic cell cycle",-0.00194261235275266,-3.92318719464972e-05
"negative regulation of hydrolase activity",-0.433437690755684,-0.00875345611615058
"positive regulation of transferase activity",-1.97084403852162,-0.0398020226918851
"regulation of cytoskeleton organization",-0.801204176733349,-0.0161806546839165
"organelle localization",-0.0608113067854159,-0.0012281098683039
"cyclic purine nucleotide metabolic process",-0.0222943902484461,-0.00045024456995391
"convergent extension",-0.0094068535530822,-0.000189975356375674
"definitive hemopoiesis",-0.0408121974599006,-0.000824219460116777
"regulation of pathway-restricted SMAD protein phosphorylation",-0.0355523242617365,-0.000717994112855506
"mesenchyme development",-0.0362790409997552,-0.00073267046244575
"skeletal muscle organ development",-0.00684511082251023,-0.000138239886546472
"somite development",-0.00432195405112122,-8.72836763608396e-05
"connective tissue development",-0.0363831793954899,-0.000734773581063516
"myeloid cell development",-0.00621289554783996,-0.000125472033678998
"actin filament bundle organization",-0.0275315798014419,-0.000556011811478717
"regulation of molecular function",-8.02505144953956,-0.162069282832607
"glycosylation",-0.129452344493373,-0.00261434443940473
"cellular response to cytokine stimulus",-0.313554459224301,-0.00633236392999875
"cellular response to estrogen stimulus",-0.0174778890854238,-0.000352973307063971
"cellular response to xenobiotic stimulus",0,0
"granulocyte chemotaxis",-0.0325353012124608,-0.0006570640658695
"nucleic acid metabolic process",-49.516177953525,-1
"apoptotic signaling pathway",-0.279217312439644,-0.0056389108364081
"extrinsic apoptotic signaling pathway",-0.0788587429557175,-0.00159258541783522
"myeloid leukocyte migration",-0.0880357801740966,-0.00177791953685774
"granulocyte migration",-0.0301900064629028,-0.000609699853878839
"defense response to other organism",0.103431531851908,0.00208884320492157
"regulation of vasculature development",-0.282091663041597,-0.00569695955342845
"regulation of signal transduction by p53 class mediator",0.0121942355419367,0.000246267705746231
"positive regulation of intracellular signal transduction",-0.680715852587484,-0.0137473423984055
"neutrophil migration",-0.0353255169782548,-0.000713413644554931
"negative regulation of cysteine-type endopeptidase activity",-0.0786439371915809,-0.00158824732525589
"regulation of response to DNA damage stimulus",-0.106602577857226,-0.00215288381016162
"regulation of apoptotic signaling pathway",-0.163974093889996,-0.00331152566023773
"negative regulation of intrinsic apoptotic signaling pathway",-0.0427999869436601,-0.000864363703188711
"Pentose phosphate pathway",-0.00871746274803731,-0.000176052819670762
"Ascorbate and aldarate metabolism",-0.00291244184811049,-5.88179857266862e-05
"Selenocompound metabolism",-0.0222099846164137,-0.000448539962782661
"Other glycan degradation",0.00884364325351814,0.000178601087947835
"Glycosaminoglycan degradation",0.000224606881357999,4.53603025598645e-06
"Sphingolipid metabolism",-0.0120875380115276,-0.000244112904329425
"Metabolism of xenobiotics by cytochrome P450",-0.33720920364334,-0.00681008142348624
"Drug metabolism - cytochrome P450",-0.317877849059686,-0.00641967660262552
"Biosynthesis of unsaturated fatty acids",-0.0221184804261469,-0.000446691997247988
"MAPK signaling pathway",-0.118938575508809,-0.002402014461222
"Calcium signaling pathway",-0.40658531005755,-0.00821116101568187
"Neuroactive ligand-receptor interaction",-0.710138187976091,-0.0143415388126809
"Oocyte meiosis",-0.675862454989434,-0.0136493259965215
"Regulation of autophagy",-0.0102640539193113,-0.000207286877612907
"Lysosome",-0.0353187744515595,-0.000713277476397897
"Cell adhesion molecules (CAMs)",-0.356609947236769,-0.00720188758452797
"Intestinal immune network for IgA production",-0.0169625350593324,-0.000342565516168335
"Herpes simplex infection",-0.179379652958962,-0.00362264739268295
"arachidonic acid metabolism",-0.22116642430327,-0.0044665487815084
"chondroitin sulfate degradation",0.021227655532984,0.000428701414574201
"fatty acid oxidation",0.412473668597985,0.00833007888826003
"glycine, serine, alanine and threonine metabolism",0.0528209691443792,0.0010667416454064
"heparan sulfate degradation",0.00116698425442297,2.35677369024378e-05
"keratan sulfate degradation",-0.00284722408528264,-5.75008856288342e-05
"n-glycan degradation",0.0257667673089091,0.000520370682347361
"selenoamino acid metabolism",-0.0969682434264694,-0.00195831438196789
"steroid metabolism",-0.158468567806594,-0.00320033924983729
"tyrosine metabolism",-0.406240958317124,-0.00820420668772971
