,P.Value,deltaBeta,feature
cg24212471,2.98E-11,0.402702336,Body
cg03846249,2.98E-11,-0.341172826,IGR
cg18326021,2.98E-11,0.49976818,1stExon
cg16579431,2.98E-11,-0.344717176,TSS1500
cg14314029,2.97E-11,0.559350091,IGR
cg11017086,2.95E-11,-0.489662624,Body
cg12551557,2.93E-11,0.231918086,Body
cg13096208,2.92E-11,0.618176409,1stExon
cg26515213,2.92E-11,0.55622285,Body
cg15412759,2.91E-11,0.610189992,Body
cg23994061,2.91E-11,0.545775055,IGR
cg25243008,2.89E-11,0.515572633,Body
cg10182317,2.89E-11,0.630897374,TSS200
cg09523275,2.83E-11,0.455410064,TSS200
cg01725531,2.83E-11,-0.045476354,TSS200
cg09226262,2.82E-11,0.403565577,Body
cg21655444,2.81E-11,0.385820365,Body
cg13023584,2.81E-11,0.235992773,Body
cg16579158,2.81E-11,0.377487768,1stExon
cg00332509,2.81E-11,0.359816422,Body
cg01482969,2.79E-11,-0.388289066,IGR
cg16963144,2.78E-11,0.66946454,TSS1500
cg16971827,2.77E-11,0.389774105,3'UTR
cg25453914,2.77E-11,0.169421911,Body
cg14601357,2.76E-11,-0.272794985,TSS200
cg22289837,2.76E-11,0.554178422,TSS1500
cg10682957,2.75E-11,0.628853336,IGR
cg06277849,2.75E-11,-0.231325232,TSS1500
cg03111404,2.75E-11,0.578443913,IGR
cg03506028,2.75E-11,0.457222897,IGR
cg05051799,2.75E-11,0.441477213,IGR
cg00088797,2.74E-11,0.560424267,Body
cg11179695,2.74E-11,0.259768921,Body
cg18554976,2.71E-11,0.51317158,TSS1500
cg01718065,2.71E-11,0.315272781,IGR
cg17174814,2.71E-11,0.368789492,IGR
cg07679948,2.71E-11,0.425615605,5'UTR
cg07973435,2.70E-11,0.510895736,Body
cg04853995,2.70E-11,-0.505686901,IGR
cg21091985,2.69E-11,-0.192667123,IGR
cg00863306,2.68E-11,-0.136617968,3'UTR
cg24222580,2.66E-11,-0.592675299,Body
cg17334536,2.65E-11,-0.195186487,Body
cg20012537,2.65E-11,-0.42393237,Body
cg13023619,2.64E-11,0.365179029,IGR
cg21807034,2.62E-11,-0.593140057,1stExon
cg24923694,2.61E-11,0.513003255,IGR
cg17295225,2.61E-11,0.498455208,1stExon
cg10441424,2.58E-11,-0.05508269,IGR
cg12542933,2.58E-11,-0.250889383,5'UTR
cg18016181,2.57E-11,0.529400895,1stExon
cg16676676,2.57E-11,-0.47756709,Body
cg09029902,2.57E-11,-0.326353348,5'UTR
cg02347989,2.56E-11,0.279111563,3'UTR
cg08616061,2.56E-11,0.444828076,Body
cg03072621,2.53E-11,0.633563618,5'UTR
cg02925601,2.53E-11,0.564641687,IGR
cg16597737,2.53E-11,0.437302989,TSS200
cg04094178,2.52E-11,-0.534473071,IGR
cg09140444,2.52E-11,0.307931373,IGR
cg02358323,2.52E-11,0.440932148,IGR
cg20486551,2.52E-11,0.446192737,IGR
cg05983315,2.51E-11,0.678772275,5'UTR
cg06242243,2.50E-11,0.576344506,5'UTR
cg21958598,2.50E-11,0.294296413,IGR
cg16640855,2.50E-11,0.63560267,Body
cg14772884,2.49E-11,0.245795044,Body
cg00175403,2.49E-11,-0.251346916,IGR
cg07896009,2.49E-11,0.300296725,Body
cg10055566,2.47E-11,0.397811502,1stExon
cg13858975,2.46E-11,0.29998846,Body
cg00130808,2.44E-11,0.337044365,TSS200
ch.15.65986670F,2.43E-11,-0.176132763,IGR
cg08146323,2.42E-11,0.485717195,Body
cg01287975,2.41E-11,0.59452419,TSS200
cg21907107,2.41E-11,0.48893417,Body
cg11166453,2.41E-11,0.351001459,IGR
cg07072463,2.39E-11,-0.510740269,Body
cg04152610,2.38E-11,0.300461438,Body
cg22856279,2.37E-11,-0.530190372,IGR
cg03128499,2.35E-11,0.238052458,Body
cg19248557,2.34E-11,-0.414603039,Body
cg00718261,2.33E-11,-0.42506488,IGR
cg26645655,2.32E-11,-0.528740122,IGR
cg02613809,2.30E-11,0.16131443,IGR
cg12983285,2.30E-11,-0.438390617,TSS200
cg03062944,2.30E-11,-0.452134041,IGR
cg11909748,2.29E-11,0.501069155,TSS200
cg03778909,2.28E-11,-0.578557522,Body
cg10503007,2.26E-11,-0.397139516,IGR
cg10643916,2.26E-11,-0.322337083,IGR
cg12547166,2.26E-11,0.545729448,Body
cg09347824,2.25E-11,-0.300304051,5'UTR
cg17112949,2.23E-11,0.238298704,Body
cg14399884,2.23E-11,-0.309116548,Body
cg18240850,2.23E-11,0.125581466,Body
cg13808936,2.23E-11,0.401236728,IGR
cg18961681,2.23E-11,0.607448412,IGR
cg22012981,2.21E-11,0.41693728,5'UTR
cg13199639,2.19E-11,-0.090927483,Body
cg00707406,2.19E-11,0.359231417,Body
cg24709285,2.18E-11,0.386881639,Body
cg19794481,2.17E-11,-0.50924611,TSS200
cg02014853,2.17E-11,0.442221169,Body
cg21480725,2.16E-11,-0.517658735,IGR
cg06787622,2.16E-11,-0.458929809,IGR
cg16240162,2.13E-11,0.558661937,Body
cg23248920,2.13E-11,-0.052417299,IGR
cg03692651,2.13E-11,0.711899529,IGR
cg19440734,2.12E-11,-0.551094109,TSS200
cg17147526,2.12E-11,0.256904953,Body
cg09861917,2.11E-11,0.588677472,TSS1500
cg14750948,2.09E-11,0.57919777,Body
cg21868063,2.09E-11,-0.50070469,Body
cg20152088,2.08E-11,-0.474350118,Body
ch.7.2371643F,2.08E-11,-0.105584847,Body
cg04276058,2.08E-11,-0.535534309,Body
cg02270952,2.07E-11,0.346029783,Body
cg19872095,2.07E-11,-0.415121845,Body
cg22681055,2.06E-11,0.448422576,IGR
cg08333616,2.06E-11,-0.359937759,Body
cg15145341,2.06E-11,0.549349687,Body
cg17017591,2.05E-11,0.571263354,IGR
cg04602939,2.05E-11,-0.338608189,TSS200
cg21477176,2.04E-11,0.561228953,3'UTR
cg23058652,2.03E-11,0.109291234,Body
cg01731783,2.03E-11,-0.353415865,5'UTR
cg14002960,2.03E-11,0.581678759,Body
cg19098763,2.03E-11,0.616723689,TSS200
cg14189141,2.02E-11,0.545085942,IGR
cg15602512,2.02E-11,-0.277094258,5'UTR
cg08972916,2.01E-11,0.222569472,Body
cg01518889,2.01E-11,0.576731865,Body
cg17827208,2.00E-11,0.439369944,Body
cg17087669,2.00E-11,-0.317121297,Body
cg18900271,1.99E-11,-0.219884361,Body
cg10679156,1.98E-11,0.48848604,IGR
cg03597347,1.97E-11,0.466718127,TSS200
cg10158997,1.97E-11,0.268242892,Body
cg08364561,1.97E-11,0.686175227,IGR
cg01581084,1.96E-11,0.502355859,Body
cg09804503,1.96E-11,0.454563474,Body
cg07068674,1.95E-11,0.556462232,IGR
cg23344452,1.95E-11,-0.043183957,IGR
cg05016408,1.93E-11,0.68980946,TSS200
cg00836662,1.93E-11,-0.155219952,TSS200
cg11775828,1.92E-11,-0.540468633,Body
cg09432154,1.92E-11,-0.434776067,Body
cg21286117,1.92E-11,0.326061174,IGR
cg06993191,1.91E-11,0.279459943,IGR
cg25882256,1.91E-11,0.491868385,TSS1500
cg01444574,1.91E-11,-0.255075892,IGR
cg23440816,1.91E-11,0.224151606,Body
cg07419011,1.90E-11,0.400749899,Body
cg27247382,1.90E-11,0.112566115,3'UTR
cg11653912,1.90E-11,0.266291258,Body
cg23737737,1.90E-11,0.573167751,TSS200
cg08047907,1.89E-11,0.641618485,TSS200
cg06528737,1.88E-11,0.301452408,Body
cg02002684,1.88E-11,0.11943166,3'UTR
cg21838979,1.88E-11,0.444869834,TSS200
cg07249433,1.88E-11,0.67279451,Body
cg02013838,1.88E-11,0.633036254,IGR
cg27420135,1.87E-11,0.275840266,Body
cg00411097,1.87E-11,-0.248566542,1stExon
cg23661204,1.87E-11,-0.077815057,TSS1500
cg03802486,1.86E-11,0.106727107,Body
cg00151007,1.85E-11,0.210066055,3'UTR
cg15414773,1.85E-11,-0.404423023,IGR
cg03461430,1.85E-11,-0.398102017,IGR
cg05809668,1.84E-11,0.64466379,IGR
cg09753772,1.84E-11,0.5407939,IGR
cg05388262,1.83E-11,0.284842651,TSS200
cg09419102,1.82E-11,-0.292526808,IGR
cg18856925,1.82E-11,0.448666574,5'UTR
cg12071888,1.81E-11,0.587493558,IGR
cg26807233,1.81E-11,0.3248722,Body
cg04734784,1.80E-11,-0.448741865,IGR
cg21623566,1.80E-11,0.481824735,Body
cg23615741,1.80E-11,0.724047138,IGR
cg26644049,1.80E-11,0.285104421,IGR
cg17115419,1.79E-11,-0.618428323,IGR
cg11206167,1.79E-11,0.237149535,IGR
cg00230924,1.78E-11,-0.403225368,IGR
cg13880868,1.78E-11,0.362037098,Body
cg12238853,1.78E-11,0.244163059,IGR
cg02434880,1.77E-11,0.326335215,3'UTR
cg22858288,1.76E-11,0.419979776,Body
cg21836370,1.76E-11,0.513234439,IGR
cg11002923,1.74E-11,0.272626073,5'UTR
cg16617518,1.74E-11,-0.250994698,1stExon
cg07716408,1.73E-11,0.505151185,IGR
cg16286755,1.73E-11,0.343776616,IGR
cg16399049,1.72E-11,0.412899156,TSS200
cg09086037,1.72E-11,0.050889035,Body
cg06883126,1.71E-11,0.547078049,IGR
cg14314744,1.71E-11,0.513528704,Body
cg02646643,1.71E-11,0.451873136,3'UTR
cg09672383,1.70E-11,0.427956968,5'UTR
cg20682146,1.70E-11,0.447551506,Body
cg02507296,1.70E-11,-0.294064223,TSS200
cg05156901,1.69E-11,0.51200749,5'UTR
cg07837260,1.68E-11,0.623159679,IGR
cg26466773,1.67E-11,0.2668931,3'UTR
cg01970427,1.67E-11,0.13829835,Body
cg05797224,1.66E-11,0.452924451,IGR
cg05416223,1.65E-11,-0.439630267,5'UTR
cg13187827,1.65E-11,0.509660156,Body
cg10262747,1.64E-11,0.559199027,5'UTR
cg07762764,1.64E-11,-0.495410228,IGR
cg13453168,1.64E-11,-0.481664342,TSS200
cg02315483,1.64E-11,0.196525488,TSS1500
cg06603828,1.64E-11,-0.035077332,TSS1500
cg20370678,1.63E-11,0.586984653,IGR
cg07557260,1.63E-11,0.491048508,TSS200
cg13568258,1.62E-11,-0.245571941,TSS200
cg24342013,1.62E-11,0.114183638,Body
cg07196505,1.62E-11,-0.580959834,Body
cg12056312,1.62E-11,0.448070755,IGR
cg22340508,1.61E-11,0.535657275,IGR
cg03470939,1.61E-11,0.084790469,Body
cg04421974,1.61E-11,-0.56374195,Body
cg01220257,1.60E-11,0.436287304,Body
cg12294118,1.60E-11,0.577540863,IGR
cg01502872,1.60E-11,-0.552487335,Body
cg26751356,1.60E-11,0.565447233,IGR
cg00947782,1.60E-11,0.42167043,Body
cg08938584,1.59E-11,0.386024403,Body
cg27333706,1.59E-11,-0.464245232,TSS200
cg00298324,1.58E-11,-0.391285281,5'UTR
cg15430661,1.58E-11,0.318361035,Body
cg21829116,1.58E-11,0.146610261,Body
cg05909390,1.58E-11,0.166890426,TSS1500
cg18700428,1.57E-11,0.306478061,IGR
cg16444607,1.57E-11,-0.589272441,IGR
cg02169391,1.57E-11,-0.305788866,1stExon
cg24811864,1.56E-11,0.4979507,TSS200
cg09828575,1.55E-11,-0.446818314,IGR
cg04228468,1.55E-11,0.537384431,5'UTR
cg10026317,1.55E-11,0.446976662,5'UTR
cg01610632,1.55E-11,0.539157651,1stExon
cg20338426,1.54E-11,0.518481848,Body
cg19494811,1.53E-11,0.496367771,Body
cg23172086,1.53E-11,-0.545415776,Body
cg16700364,1.53E-11,0.50137427,IGR
cg27066319,1.53E-11,0.284379885,5'UTR
cg03530754,1.53E-11,0.636479842,TSS1500
cg24468890,1.52E-11,-0.261675135,TSS1500
cg14042132,1.52E-11,-0.17408929,Body
cg05796331,1.51E-11,0.053561742,Body
cg20367961,1.51E-11,-0.351403905,1stExon
cg18781988,1.51E-11,0.578802901,Body
cg01356131,1.50E-11,-0.056694791,Body
cg22472023,1.50E-11,-0.369884349,1stExon
cg03661929,1.49E-11,-0.60943119,IGR
cg12719753,1.49E-11,0.479123299,1stExon
cg10070788,1.49E-11,0.295737977,3'UTR
cg02473540,1.49E-11,0.518785152,TSS200
cg08873673,1.48E-11,-0.434154334,TSS200
cg24266651,1.47E-11,0.508494353,5'UTR
cg11844856,1.47E-11,0.196693712,Body
cg02683197,1.47E-11,0.57089899,IGR
cg17555825,1.47E-11,0.499193064,IGR
cg23708211,1.46E-11,0.375895937,3'UTR
cg05922723,1.45E-11,0.34658293,Body
cg16396948,1.45E-11,0.265917554,Body
cg24903144,1.44E-11,0.350095476,Body
cg14832406,1.44E-11,0.453720222,Body
cg03110167,1.42E-11,0.259486608,Body
ch.10.2774258R,1.42E-11,-0.035871636,Body
cg24575234,1.42E-11,0.558020027,1stExon
cg25212131,1.42E-11,0.306497737,TSS200
cg24415208,1.41E-11,0.63310205,1stExon
cg05442717,1.41E-11,0.308101594,Body
cg10546065,1.41E-11,0.378930636,Body
cg21376454,1.39E-11,0.400737126,Body
cg25143652,1.39E-11,-0.372837467,1stExon
cg23933241,1.39E-11,0.489875173,Body
cg00792513,1.38E-11,0.491371624,IGR
cg24539455,1.38E-11,-0.322021047,IGR
cg08276543,1.38E-11,0.246407487,Body
cg02623991,1.37E-11,0.611617943,TSS1500
cg16005145,1.36E-11,-0.044365038,TSS200
cg10996589,1.36E-11,0.385915002,5'UTR
cg11856932,1.36E-11,0.298952234,5'UTR
cg23587176,1.35E-11,0.374447306,Body
cg12084631,1.35E-11,0.394256939,IGR
cg05148404,1.33E-11,0.318723263,Body
cg07028396,1.32E-11,0.498307005,IGR
cg20841748,1.31E-11,0.370666297,Body
cg13205784,1.31E-11,-0.021497333,5'UTR
cg00421221,1.30E-11,-0.501701109,Body
cg14302214,1.30E-11,-0.569969006,IGR
cg18271789,1.29E-11,0.379701855,IGR
cg24604013,1.28E-11,0.605848938,TSS1500
cg09412069,1.28E-11,0.146297916,3'UTR
cg23128495,1.28E-11,-0.479654983,IGR
cg27259271,1.26E-11,0.467432628,Body
cg21777188,1.26E-11,0.569882639,Body
cg11807829,1.26E-11,-0.485612246,TSS1500
cg19780563,1.25E-11,0.345742706,5'UTR
cg10149889,1.25E-11,0.259937613,TSS200
cg01255417,1.24E-11,0.450848395,IGR
cg11687036,1.24E-11,0.475337036,IGR
ch.2.43155345R,1.24E-11,-0.050998627,IGR
cg19456540,1.23E-11,0.60976331,1stExon
cg21647227,1.23E-11,0.491030867,5'UTR
cg04180086,1.23E-11,0.460611247,Body
cg07888884,1.23E-11,0.350640742,5'UTR
cg04237436,1.23E-11,0.299357714,Body
cg06471536,1.23E-11,0.386774136,Body
cg14227911,1.23E-11,-0.48623213,IGR
cg14099845,1.23E-11,0.212161548,IGR
cg16657886,1.22E-11,-0.504359389,TSS200
cg25843003,1.22E-11,-0.397827519,3'UTR
cg06714705,1.21E-11,0.460950837,5'UTR
cg12654412,1.20E-11,0.55793255,IGR
cg08404354,1.20E-11,-0.440137228,TSS1500
cg27660490,1.20E-11,0.323765845,Body
cg07065111,1.20E-11,0.562263794,IGR
cg02750954,1.20E-11,0.26238212,Body
cg27393010,1.19E-11,0.654198184,IGR
cg01425409,1.18E-11,-0.445754489,IGR
cg10166889,1.18E-11,0.392296095,IGR
cg11243001,1.16E-11,0.389433573,IGR
cg07730329,1.16E-11,0.403644525,Body
cg22851691,1.16E-11,0.559231294,IGR
cg24422900,1.15E-11,-0.14974022,Body
cg24899545,1.15E-11,-0.447268577,5'UTR
cg06092815,1.14E-11,0.521599677,TSS200
cg05712010,1.14E-11,0.34886415,Body
cg10827460,1.14E-11,0.368220999,Body
cg17001566,1.12E-11,0.471028065,Body
cg04616529,1.12E-11,0.194996697,Body
cg12597389,1.12E-11,0.487937697,Body
cg17172761,1.11E-11,0.243473167,3'UTR
cg13703871,1.10E-11,0.657521596,TSS200
cg20113824,1.10E-11,0.522226142,IGR
cg07953015,1.10E-11,0.636603825,3'UTR
cg05206633,1.10E-11,0.307839114,Body
cg00929376,1.10E-11,0.492744432,TSS1500
cg24913168,1.09E-11,0.268464173,3'UTR
cg05638493,1.09E-11,0.443343254,1stExon
cg17474524,1.09E-11,-0.406647221,TSS200
cg25264948,1.09E-11,0.423056092,Body
cg11550865,1.08E-11,0.407030499,Body
cg10218194,1.08E-11,0.429081439,IGR
cg26132774,1.07E-11,0.644326842,IGR
cg03286987,1.07E-11,0.308055146,5'UTR
cg08390099,1.06E-11,0.143704599,3'UTR
cg13524919,1.06E-11,0.46971759,IGR
cg02397064,1.06E-11,0.133774088,Body
cg27144223,1.05E-11,0.212159055,Body
cg17833169,1.05E-11,0.533077413,IGR
cg00115178,1.05E-11,-0.377387318,Body
cg05325028,1.05E-11,0.242462466,Body
cg09915421,1.05E-11,0.303451651,IGR
cg17243289,1.04E-11,-0.275567759,TSS1500
cg09354317,1.04E-11,0.289916308,TSS200
cg19004743,1.04E-11,-0.363550848,Body
cg03124636,1.03E-11,-0.085441887,3'UTR
cg03998598,1.02E-11,0.467346486,3'UTR
cg14286456,1.02E-11,0.376981317,Body
cg26015384,1.02E-11,-0.1811468,5'UTR
cg21834739,1.01E-11,0.187392317,Body
cg14460195,1.01E-11,0.427736267,Body
cg24403845,1.01E-11,0.668521381,TSS200
cg22052948,9.97E-12,0.549905725,Body
cg15316843,9.94E-12,0.545057266,IGR
cg23146565,9.90E-12,-0.405691476,IGR
cg08342619,9.79E-12,0.439329865,TSS1500
cg16422098,9.78E-12,0.579377009,TSS200
cg02058924,9.75E-12,0.214042703,TSS1500
cg05033529,9.74E-12,0.240425637,TSS200
cg09001777,9.72E-12,-0.379278941,TSS200
cg15950761,9.67E-12,0.359465675,5'UTR
cg03724759,9.58E-12,-0.061209503,5'UTR
cg12265623,9.58E-12,0.490033021,Body
cg04944682,9.57E-12,0.191964192,IGR
cg15572436,9.53E-12,-0.405947902,Body
cg15108634,9.51E-12,0.270103475,Body
cg20178172,9.51E-12,-0.022852831,3'UTR
cg09757859,9.49E-12,0.393973329,Body
cg12713583,9.48E-12,-0.299485491,Body
cg15422147,9.42E-12,-0.48881264,5'UTR
ch.1.234902740R,9.41E-12,-0.028545526,IGR
cg11307823,9.39E-12,-0.461233479,IGR
cg21212076,9.33E-12,0.488182485,TSS200
cg26799474,9.33E-12,-0.646976014,5'UTR
cg24585377,9.30E-12,-0.409566438,Body
ch.20.22943799F,9.25E-12,-0.030697001,IGR
cg14102055,9.19E-12,0.386596284,Body
cg17206393,9.17E-12,-0.509307073,TSS1500
cg17960629,9.17E-12,-0.351774916,IGR
cg25510201,9.16E-12,-0.253478009,5'UTR
cg05224741,9.14E-12,0.679601204,IGR
cg12561125,9.13E-12,0.371093289,3'UTR
cg24541176,9.11E-12,0.178546222,3'UTR
cg11625005,9.04E-12,0.518882493,TSS1500
cg25440497,9.02E-12,-0.444962233,IGR
cg09941143,8.92E-12,0.212388598,Body
cg08655206,8.86E-12,0.342260068,3'UTR
cg24386135,8.85E-12,0.190282919,IGR
cg14339466,8.83E-12,-0.429254003,IGR
cg12426196,8.83E-12,-0.290935808,TSS200
cg20443254,8.78E-12,0.680681552,1stExon
cg02161292,8.70E-12,0.290180502,Body
cg09442403,8.70E-12,-0.410716881,Body
cg17742418,8.69E-12,0.110077074,5'UTR
cg15446391,8.64E-12,0.393522668,Body
cg12127162,8.63E-12,-0.429355015,Body
cg16706546,8.55E-12,0.490340598,Body
cg22466217,8.46E-12,-0.071374839,TSS1500
cg07906484,8.45E-12,-0.437837062,Body
cg06236559,8.39E-12,-0.608404484,TSS1500
cg20735041,8.37E-12,0.413754938,TSS200
cg23965720,8.30E-12,-0.31231131,5'UTR
cg19632842,8.30E-12,0.205157545,TSS200
cg24842260,8.25E-12,-0.231131912,Body
cg03211636,8.25E-12,0.468424181,IGR
cg25140773,8.21E-12,0.340662478,3'UTR
cg13451356,8.06E-12,0.456298751,IGR
cg10933186,8.01E-12,0.197659778,1stExon
cg17147466,7.88E-12,-0.334816141,IGR
cg06380320,7.86E-12,0.273770869,Body
cg14649566,7.84E-12,0.191156398,Body
cg13713922,7.72E-12,0.506692314,Body
cg04882759,7.69E-12,0.249657329,Body
cg15362894,7.68E-12,-0.482326982,IGR
cg20009461,7.63E-12,0.120490719,3'UTR
cg20916523,7.60E-12,-0.657101031,Body
cg23974819,7.56E-12,-0.154549661,1stExon
cg05184377,7.51E-12,0.390287222,IGR
cg18856581,7.49E-12,0.629741889,TSS1500
cg03955589,7.46E-12,-0.501356464,IGR
cg24315340,7.37E-12,0.408821065,TSS1500
cg05377949,7.36E-12,0.45396476,Body
cg25821223,7.36E-12,-0.538264346,Body
cg10977667,7.29E-12,0.30143038,IGR
cg08669010,7.29E-12,0.378546896,Body
cg09556286,7.25E-12,-0.538092799,TSS200
cg25403721,7.24E-12,0.520671459,IGR
cg04733537,7.17E-12,0.552549068,TSS1500
cg21119375,7.17E-12,0.327609896,IGR
cg22453826,7.13E-12,-0.526085792,IGR
cg20994118,7.12E-12,-0.46141897,Body
cg18724200,7.09E-12,-0.195161353,IGR
cg27437510,7.08E-12,0.125429654,Body
cg20017590,7.06E-12,0.464334846,Body
cg22622937,7.06E-12,-0.212018159,5'UTR
cg20820107,7.05E-12,-0.385699854,5'UTR
cg16671079,7.04E-12,-0.360584152,Body
cg00336320,6.96E-12,0.461122082,5'UTR
cg08736918,6.92E-12,-0.127639869,IGR
cg20251110,6.89E-12,0.225612123,Body
cg22617773,6.84E-12,0.668918797,IGR
cg06516865,6.83E-12,-0.488776548,Body
cg19010490,6.83E-12,0.514029646,Body
cg03677056,6.82E-12,0.434040498,Body
cg19196221,6.82E-12,0.314073997,IGR
cg07543967,6.82E-12,-0.317630129,1stExon
cg21783847,6.75E-12,-0.182238809,Body
cg04843051,6.71E-12,0.40900574,IGR
cg15170442,6.71E-12,0.126143696,Body
cg04672103,6.70E-12,-0.325609741,IGR
cg06883496,6.69E-12,0.485475111,IGR
cg03735308,6.64E-12,-0.092957158,TSS1500
cg17841421,6.60E-12,0.387538966,IGR
cg21834063,6.58E-12,0.249922943,Body
cg09359391,6.58E-12,-0.424830686,Body
cg23513183,6.54E-12,0.193213473,IGR
cg04930596,6.43E-12,0.517792535,Body
cg22810281,6.33E-12,0.24860192,Body
ch.6.573831F,6.32E-12,-0.054315261,IGR
cg27076223,6.30E-12,-0.501666855,TSS1500
cg10880163,6.29E-12,-0.468886782,IGR
cg15312264,6.25E-12,0.564514702,TSS200
cg17939805,6.24E-12,0.455248977,IGR
cg15877520,6.24E-12,0.458984217,Body
cg14645721,6.24E-12,0.330272267,Body
cg16705627,6.23E-12,0.573215768,1stExon
cg17330303,6.22E-12,-0.496594253,1stExon
cg18342026,6.21E-12,0.473538066,IGR
cg21008969,6.17E-12,-0.373941399,Body
cg05328670,6.09E-12,0.156075483,Body
cg13236389,6.08E-12,-0.420633054,IGR
cg13376199,6.08E-12,-0.434848778,IGR
cg13399544,6.07E-12,0.452950827,Body
cg20285002,6.06E-12,0.238261885,5'UTR
cg14856585,6.03E-12,-0.141190155,IGR
cg07202222,6.03E-12,0.189006243,Body
cg05603258,5.99E-12,0.242148,Body
cg03599078,5.99E-12,0.500372764,IGR
cg27252766,5.99E-12,0.36896633,IGR
cg04334773,5.95E-12,0.299897139,3'UTR
cg20837735,5.94E-12,-0.560929417,1stExon
cg14273401,5.93E-12,-0.262287216,3'UTR
cg18405262,5.93E-12,0.282451274,Body
cg03428109,5.92E-12,0.262303919,IGR
cg26187962,5.91E-12,0.39206365,TSS1500
cg19190762,5.87E-12,-0.468585813,IGR
cg09321307,5.86E-12,-0.318843813,IGR
cg18969232,5.86E-12,0.495439457,IGR
cg03457729,5.84E-12,0.62804583,IGR
cg26151467,5.84E-12,0.548415925,1stExon
cg13392957,5.84E-12,0.400128959,IGR
cg25321720,5.71E-12,-0.144987287,Body
cg23520688,5.68E-12,0.33694486,5'UTR
cg25583580,5.67E-12,-0.28063022,3'UTR
cg05768047,5.64E-12,0.394074657,Body
cg10195894,5.50E-12,0.424218554,IGR
cg17280828,5.48E-12,0.295643578,Body
cg03465652,5.42E-12,0.440562464,Body
cg00370962,5.41E-12,0.349424254,3'UTR
cg05050657,5.41E-12,0.576523049,IGR
cg01346158,5.41E-12,0.348867052,3'UTR
cg22153312,5.40E-12,0.541386105,IGR
cg14319235,5.40E-12,0.491181414,Body
