	CMOIC
SAMa9ca8536d2b1	CS2
SAM18bc1078bc15	CS2
SAMe9ae8beb82fa	CS2
SAM7114d99032ec	CS2
SAMd215b503f99a	CS2
SAMdb3f50c9129c	CS2
SAMbf1a3ae828e6	CS2
SAMa1e62d323e1d	CS2
SAM97a00e0929fb	CS2
SAM2f228939632f	CS2
SAM716f54e468f4	CS2
SAMd636e3461955	CS2
SAMe712352fb82a	CS2
SAM8e8ef2368dfa	CS2
SAMfd947610629d	CS2
SAM62fb1388c871	CS2
SAMc0da5d48686d	CS2
SAMe7bcab05402e	CS2
SAMae4da274eded	CS2
SAMa913c6139ec8	CS2
SAM166a419a4e5a	CS2
SAM025b45c27e05	CS2
SAM52500cabdd36	CS2
SAMf3a9bce50099	CS2
SAMffa5c7cad0e5	CS2
SAMdab9ca8fb5de	CS2
SAM34430ef08e5b	CS2
SAMdcae54fcd7fa	CS2
SAM73663ee4a96e	CS2
SAM0bdb3428bd13	CS2
SAMeb587a68006b	CS2
SAMc2a1820d4e6b	CS2
SAMabc151b01ea3	CS2
SAMe1eb5d988760	CS2
SAM961d04c42bd9	CS2
SAM30cf07d4874f	CS2
SAM675a12a09c15	CS2
SAMdee1011782cd	CS2
SAMe9475f77504b	CS2
SAMa535fcdf18a0	CS2
SAM548551ef782c	CS2
SAM753d4bb52dbe	CS2
SAM59f392864f5d	CS2
SAM2bba8cb35e48	CS2
SAM5d989c86255e	CS2
SAM49d48750e294	CS2
SAMd43f8933066b	CS2
SAM7aa01fc49a80	CS2
SAMc919aebc7fdd	CS2
SAM2624229effe8	CS2
SAM91c47b054ffb	CS2
SAM5fe7a81a39dd	CS2
SAM8e469834acc1	CS2
SAM1c8b086175ca	CS2
SAM1dda30f1c5be	CS2
SAM9daccafc18db	CS2
SAMbda79f955628	CS2
SAM568ce160abd9	CS2
SAM14938611a2d3	CS2
SAM0f956e757453	CS2
SAM771445e92421	CS2
SAM1ab1b28d9f2b	CS2
SAM6662f5181f87	CS2
SAM18b9351e265a	CS2
SAM7fb7a13c096b	CS2
SAM6ff654a20f98	CS2
SAM65afda25b920	CS2
SAM07a93a28f801	CS2
SAMaabf4afe4213	CS2
SAM3b1066e5801b	CS2
SAMf20b827dca51	CS2
SAM5cc2d9036053	CS2
SAM1abf01dd4544	CS2
SAM6157c8f38b72	CS2
SAM5cfa1699bdb7	CS2
SAMda4d892fddc8	CS2
SAM8b4b8b0f9e73	CS2
SAMc1b27bc16435	CS3
SAMf275eb859a39	CS3
SAM4305ab968b90	CS3
SAMcf018fee2acd	CS3
SAMcc4675f394a1	CS3
SAM49f9b2e57aa5	CS3
SAM18039827e1b9	CS3
SAM681e4bf7cf85	CS3
SAM81b71522417a	CS3
SAM0684af734db1	CS3
SAMbcbc7957c264	CS3
SAMb0a83e5fbde9	CS3
SAMba7176afe070	CS3
SAMae1690469964	CS3
SAMbe83eae4026e	CS3
SAM23095936e611	CS3
SAMd4c0837b0997	CS3
SAM61baf919bb01	CS3
SAM9539a4f19ebc	CS3
SAM36851bc8b9ae	CS3
SAM1fa6bcb7fc48	CS3
SAM075e037d95bc	CS3
SAMeff2ce356ccb	CS3
SAMc0ef41aa6c8b	CS3
SAM08cce2fa88f2	CS3
SAMb4c7a001537d	CS3
SAM31f41dd0d6ca	CS3
SAM5b57e47fdcb3	CS3
SAMd697ba701077	CS3
SAMe07c4560772d	CS3
SAM14df63a65411	CS3
SAMf28c01545593	CS3
SAM54e58f1b0230	CS3
SAM5e3bae090b8c	CS3
SAM61b9d4d84c64	CS3
SAMe97af0feefdf	CS3
SAMdad5c29dc105	CS3
SAMa424c75831b4	CS3
SAMe50d15fde368	CS3
SAM8533e5e261d6	CS3
SAMaaf505c36f93	CS3
SAM5d1dfd5207f5	CS3
SAM1ac4e3dee297	CS3
SAM822b226466a1	CS3
SAM7c67b05aa109	CS3
SAMad83c9c53537	CS3
SAMeb29625f76a5	CS3
SAM065890737112	CS3
SAMb470eb8f04be	CS3
SAM5a2347c0498a	CS3
SAM4b7ea015fd9e	CS3
SAMb15ac6e4c4ef	CS3
SAM28e6031ac18b	CS3
SAMd86389d0d768	CS3
SAM63b2189c36d7	CS3
SAM5234688806a7	CS3
SAM2c9586161ce6	CS3
SAM8f2275c36e8c	CS3
SAM26104d5adc89	CS3
SAMfed609955db9	CS3
SAMb8070b7937e7	CS3
SAMf2aae1443f67	CS3
SAM85f0a3ac1c45	CS3
SAM9d2494119c05	CS3
SAM27299aed7681	CS3
SAM3894ac3956a5	CS3
SAMf82bbdc267c8	CS3
SAM29da928587ad	CS3
SAM12502d970c10	CS3
SAM187e056d6a2a	CS3
SAMae02629a97f7	CS3
SAM09c84ec0cf34	CS3
SAM2b672f4336c7	CS3
SAM87a8e18eb45b	CS3
SAM9725303dce0c	CS3
SAM94859b440b1d	CS3
SAM58e7832f4e7d	CS3
SAMc57eadb2d82b	CS3
SAMcc7a42d87e9c	CS3
SAM6792d6e98068	CS3
SAM1f83ebd6be9b	CS3
SAM4caabd64e7fd	CS3
SAM3a1c9632ff7b	CS3
SAMe3d4266775a9	CS3
SAMd027124354ce	CS4
SAM36d87392593b	CS4
SAMe7bf6c015192	CS4
SAM468a9e1dc821	CS4
SAMd1bd63734394	CS4
SAMe5bc41772bc9	CS4
SAMb419a8fcbfcd	CS4
SAM2070b416069c	CS4
SAM6d2ae0c39b96	CS4
SAM110501d0eedb	CS4
SAM30b5c6c54cf7	CS4
SAMd98bac0a070f	CS4
SAM943df5cf15df	CS4
SAMb3c02294aba7	CS4
SAM39eb94fa504d	CS4
SAMd35318127278	CS4
SAM75142fcab9df	CS4
SAM4b0175e8db6e	CS4
SAM7893196e0e89	CS4
SAMb0d11db9aa79	CS4
SAMa90d73f8d891	CS4
SAM3ee5dcd894f0	CS4
SAM8a1b0e02ee42	CS4
SAM563d6233dfa2	CS4
SAMa1871f491b02	CS4
SAM1e9c4d1d39ae	CS4
SAM0d855cff64e6	CS4
SAMe41b1e773582	CS4
SAMba1a34b5a060	CS4
SAM5c139c5c1c4f	CS4
SAM6780ed436b55	CS4
SAM0257bbbbd388	CS4
SAMa321770ac31c	CS4
SAM1c0ecfb3eb63	CS4
SAMbcb07ba81cee	CS4
SAM9aa6a095a9d6	CS4
SAM7d7c54623618	CS4
SAMbc8dc3a7b54e	CS4
SAM7b40007f4aa4	CS4
SAM7829a341b9f3	CS4
SAM7538ad9ff524	CS4
SAMe0c49ea0df5d	CS4
SAM5767dd75d142	CS4
SAM6964a6d7b967	CS4
SAMc6eff056c89a	CS4
