sampleID	TCGA_subtype	Moffitt_subtype	Bailey subtype	Collisson subtype
P41	Cholesterogenic	Classical	Progenitor	Classical
P42	Cholesterogenic	Classical	Progenitor	Classical
P43	Cholesterogenic	Classical	Progenitor	Classical
P44	Cholesterogenic	Classical	Progenitor	Classical
P45	Cholesterogenic	Classical	Progenitor	Classical
P46	Cholesterogenic	Classical	Progenitor	Classical
P47	Cholesterogenic	Classical	Progenitor	Classical
P48	Cholesterogenic	Classical	Progenitor	Classical
P49	Cholesterogenic	Classical	Progenitor	Classical
P50	Cholesterogenic	Classical	Progenitor	Classical
P51	Cholesterogenic	Classical	Progenitor	Classical
P52	Cholesterogenic	Classical	Progenitor	Classical
P53	Cholesterogenic	Classical	Progenitor	Classical
P54	Cholesterogenic	Classical	Progenitor	Quasi-mesenchymal
P55	Cholesterogenic	Classical	Progenitor	Classical
P56	Cholesterogenic	Classical	Progenitor	Classical
P57	Cholesterogenic	Classical	Progenitor	Classical
P58	Cholesterogenic	Classical	Progenitor	Classical
P59	Cholesterogenic	Classical	Progenitor	Classical
P60	Cholesterogenic	Classical	Progenitor	Classical
P61	Cholesterogenic	Classical	Progenitor	Classical
P62	Cholesterogenic	Classical	Progenitor	Classical
P63	Cholesterogenic	Classical	Progenitor	Classical
P64	Cholesterogenic	Classical	Progenitor	Classical
P65	Cholesterogenic	Classical	Progenitor	Classical
P66	Cholesterogenic	Classical	Progenitor	Classical
P67	Cholesterogenic	Classical	Progenitor	Classical
P68	Cholesterogenic	Classical	Progenitor	Classical
P69	Cholesterogenic	Classical	Progenitor	Classical
P70	Cholesterogenic	Classical	Progenitor	Classical
P71	Cholesterogenic	Classical	Progenitor	Classical
P72	Cholesterogenic	Classical	Progenitor	Classical
P73	Cholesterogenic	Classical	Progenitor	Classical
P74	Cholesterogenic	Classical	Progenitor	Classical
P75	Cholesterogenic	Classical	Progenitor	Classical
P76	Cholesterogenic	Classical	Progenitor	Classical
P77	Cholesterogenic	Classical	Progenitor	Classical
P78	Cholesterogenic	Classical	Progenitor	Quasi-mesenchymal
P79	Cholesterogenic	Classical	Progenitor	Classical
P80	Cholesterogenic	Classical	Progenitor	Classical
P81	Cholesterogenic	Classical	Progenitor	Classical
P82	Cholesterogenic	Classical	Progenitor	Classical
P83	Cholesterogenic	Classical	Progenitor	Classical
P84	Cholesterogenic	Classical	Progenitor	Classical
P85	Cholesterogenic	Classical	Progenitor	Classical
P86	Cholesterogenic	Classical	Progenitor	Classical
P87	Cholesterogenic	Classical	Progenitor	Classical
P88	Cholesterogenic	Classical	Progenitor	Classical
P89	Cholesterogenic	Classical	Progenitor	Classical
P90	Cholesterogenic	Classical	ADEX	Exocrine-like
P91	Cholesterogenic	Classical	ADEX	Exocrine-like
P92	Cholesterogenic	Classical	ADEX	Exocrine-like
P93	Cholesterogenic	Classical	ADEX	Exocrine-like
P94	Cholesterogenic	Classical	ADEX	Exocrine-like
P95	Cholesterogenic	Classical	ADEX	Exocrine-like
P96	Cholesterogenic	Classical	ADEX	Exocrine-like
P97	Cholesterogenic	Classical	ADEX	Exocrine-like
P98	Cholesterogenic	Classical	ADEX	Exocrine-like
P99	Cholesterogenic	Classical	ADEX	Exocrine-like
P100	Cholesterogenic	Classical	ADEX	Exocrine-like
P101	Cholesterogenic	Classical	ADEX	Exocrine-like
P102	Cholesterogenic	Classical	ADEX	Exocrine-like
P103	Cholesterogenic	Classical	ADEX	Classical
P104	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P105	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P106	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P107	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P108	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P109	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P110	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P111	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P112	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P113	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P114	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P115	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P116	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P117	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P118	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P119	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P120	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P121	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P122	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P123	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P124	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P125	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P126	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P127	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P128	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P129	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P130	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P131	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P132	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P133	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P134	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P135	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P136	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P137	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P138	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P139	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P140	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P141	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P142	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P143	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P144	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P145	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P146	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P147	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P148	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P149	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P150	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P151	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P152	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P153	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P154	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P155	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P156	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P157	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P158	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P159	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P160	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P161	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P162	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P163	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P164	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P165	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P166	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P167	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P168	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P169	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P170	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P171	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P172	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P173	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P174	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P175	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P176	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P177	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P178	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P179	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P180	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P181	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P182	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P183	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P184	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P185	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P186	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P187	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P188	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P189	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P190	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P191	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P192	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P193	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P194	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P195	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P196	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P197	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P198	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P199	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P200	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P201	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P202	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P203	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P204	Glycolytic	Basal-like	Squamous	Classical
P205	Glycolytic	Basal-like	Squamous	Classical
P206	Glycolytic	Basal-like	Squamous	Classical
P207	Glycolytic	Basal-like	Squamous	Classical
P208	Glycolytic	Basal-like	Squamous	Classical
P209	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P210	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P211	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P212	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P213	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P214	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P215	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P216	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P217	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P218	Glycolytic	Basal-like	Squamous	Classical
P219	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P220	Glycolytic	Basal-like	Squamous	Classical
P221	Glycolytic	Basal-like	Squamous	Classical
P222	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P223	Glycolytic	Basal-like	Squamous	Quasi-mesenchymal
P224	Glycolytic	Basal-like	Squamous	Classical
P225	Glycolytic	Basal-like	Immunogenic	Quasi-mesenchymal
P226	Glycolytic	Basal-like	Immunogenic	Quasi-mesenchymal
P227	Glycolytic	Basal-like	Immunogenic	Quasi-mesenchymal
P228	Glycolytic	Basal-like	Immunogenic	Quasi-mesenchymal
P229	Glycolytic	Basal-like	Immunogenic	Classical
P230	Glycolytic	Basal-like	Immunogenic	Classical
P231	Glycolytic	Basal-like	Immunogenic	Classical
P232	Glycolytic	Classical	Immunogenic	Classical
P233	Glycolytic	Classical	Immunogenic	Classical
P234	Glycolytic	Classical	Immunogenic	Quasi-mesenchymal
P235	Glycolytic	Classical	Immunogenic	Quasi-mesenchymal
P236	Glycolytic	Classical	Immunogenic	Classical
P237	Glycolytic	Classical	Immunogenic	Classical
P238	Glycolytic	Classical	Immunogenic	Classical
P239	Glycolytic	Classical	Immunogenic	Classical
P240	Glycolytic	Classical	Immunogenic	Classical
P241	Glycolytic	Classical	Immunogenic	Classical
P242	Glycolytic	Classical	Immunogenic	Classical
P243	Glycolytic	Classical	Immunogenic	Classical
P244	Glycolytic	Classical	Immunogenic	Classical
P245	Glycolytic	Classical	Immunogenic	Classical
P246	Glycolytic	Classical	Immunogenic	Classical
P247	Glycolytic	Classical	Progenitor	Quasi-mesenchymal
P248	Glycolytic	Classical	Progenitor	Classical
P249	Glycolytic	Classical	Progenitor	Classical
P250	Glycolytic	Classical	Progenitor	Classical
P251	Glycolytic	Classical	Progenitor	Classical
P252	Glycolytic	Classical	Progenitor	Classical
P253	Glycolytic	Classical	Progenitor	Quasi-mesenchymal
P254	Glycolytic	Classical	Progenitor	Classical
P255	Glycolytic	Classical	Progenitor	Classical
P256	Glycolytic	Classical	Progenitor	Classical
P257	Glycolytic	Classical	Progenitor	Classical
P258	Glycolytic	Classical	Progenitor	Classical
P259	Glycolytic	Classical	Progenitor	Classical
P260	Glycolytic	Classical	Progenitor	Classical
P261	Glycolytic	Classical	Progenitor	Classical
P262	Glycolytic	Classical	Progenitor	Classical
P263	Glycolytic	Classical	ADEX	Exocrine-like
P264	Glycolytic	Classical	ADEX	Exocrine-like
P265	Glycolytic	Classical	ADEX	Exocrine-like
P266	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P267	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P268	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P269	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P270	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P271	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P272	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P273	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P274	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P275	Quiescent	Basal-like	Squamous	Classical
P276	Quiescent	Basal-like	Squamous	Classical
P277	Quiescent	Basal-like	Squamous	Classical
P278	Quiescent	Basal-like	Squamous	Classical
P279	Quiescent	Basal-like	Squamous	Quasi-mesenchymal
P280	Quiescent	Basal-like	Immunogenic	Quasi-mesenchymal
P281	Quiescent	Basal-like	Immunogenic	Quasi-mesenchymal
P282	Quiescent	Classical	Immunogenic	Classical
P283	Quiescent	Classical	Immunogenic	Classical
P284	Quiescent	Classical	Immunogenic	Classical
P285	Quiescent	Classical	Immunogenic	Classical
P286	Quiescent	Classical	Immunogenic	Classical
P287	Quiescent	Classical	Immunogenic	Classical
P288	Quiescent	Classical	Immunogenic	Classical
P289	Quiescent	Classical	Immunogenic	Quasi-mesenchymal
P290	Quiescent	Classical	Immunogenic	Classical
P291	Quiescent	Classical	Immunogenic	Classical
P292	Quiescent	Classical	Immunogenic	Classical
P293	Quiescent	Classical	Immunogenic	Classical
P294	Quiescent	Classical	Immunogenic	Classical
P295	Quiescent	Classical	Immunogenic	Classical
P296	Quiescent	Classical	Immunogenic	Classical
P297	Quiescent	Classical	Immunogenic	Classical
P298	Quiescent	Classical	Immunogenic	Classical
P299	Quiescent	Classical	Immunogenic	Classical
P300	Quiescent	Classical	Immunogenic	Classical
P301	Quiescent	Classical	Immunogenic	Classical
P302	Quiescent	Classical	Immunogenic	Classical
P303	Quiescent	Classical	Immunogenic	Classical
P304	Quiescent	Classical	Immunogenic	Classical
P305	Quiescent	Classical	Progenitor	Classical
P306	Quiescent	Classical	Progenitor	Classical
P307	Quiescent	Classical	Progenitor	Classical
P308	Quiescent	Classical	Progenitor	Classical
P309	Quiescent	Classical	Progenitor	Classical
P310	Quiescent	Classical	Progenitor	Classical
P311	Quiescent	Classical	Progenitor	Classical
P312	Quiescent	Classical	Progenitor	Classical
P313	Quiescent	Classical	Progenitor	Classical
P314	Quiescent	Classical	Progenitor	Classical
P315	Quiescent	Classical	Progenitor	Classical
P316	Quiescent	Classical	Progenitor	Classical
P317	Quiescent	Classical	Progenitor	Classical
P318	Quiescent	Classical	Progenitor	Classical
P319	Quiescent	Classical	Progenitor	Classical
P320	Quiescent	Classical	Progenitor	Classical
P321	Quiescent	Classical	Progenitor	Classical
P322	Quiescent	Classical	Progenitor	Classical
P323	Quiescent	Classical	Progenitor	Classical
P324	Quiescent	Classical	Progenitor	Classical
P325	Quiescent	Classical	Progenitor	Classical
P326	Quiescent	Classical	Progenitor	Classical
P327	Quiescent	Classical	Progenitor	Classical
P328	Quiescent	Classical	Progenitor	Classical
P329	Quiescent	Classical	Progenitor	Classical
P330	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P331	Quiescent	Classical	Progenitor	Classical
P332	Quiescent	Classical	Progenitor	Classical
P333	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P334	Quiescent	Classical	Progenitor	Classical
P335	Quiescent	Classical	Progenitor	Classical
P336	Quiescent	Classical	Progenitor	Classical
P337	Quiescent	Classical	Progenitor	Classical
P338	Quiescent	Classical	Progenitor	Classical
P339	Quiescent	Classical	Progenitor	Classical
P340	Quiescent	Classical	Progenitor	Classical
P341	Quiescent	Classical	Progenitor	Classical
P342	Quiescent	Classical	Progenitor	Classical
P343	Quiescent	Classical	Progenitor	Classical
P344	Quiescent	Classical	Progenitor	Classical
P345	Quiescent	Classical	Progenitor	Classical
P346	Quiescent	Classical	Progenitor	Classical
P347	Quiescent	Classical	Progenitor	Classical
P348	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P349	Quiescent	Classical	Progenitor	Classical
P350	Quiescent	Classical	Progenitor	Classical
P351	Quiescent	Classical	Progenitor	Classical
P352	Quiescent	Classical	Progenitor	Classical
P353	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P354	Quiescent	Classical	Progenitor	Classical
P355	Quiescent	Classical	Progenitor	Classical
P356	Quiescent	Classical	Progenitor	Classical
P357	Quiescent	Classical	Progenitor	Classical
P358	Quiescent	Classical	Progenitor	Classical
P359	Quiescent	Classical	Progenitor	Classical
P360	Quiescent	Classical	Progenitor	Classical
P361	Quiescent	Classical	Progenitor	Classical
P362	Quiescent	Classical	Progenitor	Classical
P363	Quiescent	Classical	Progenitor	Classical
P364	Quiescent	Classical	Progenitor	Classical
P365	Quiescent	Classical	Progenitor	Classical
P366	Quiescent	Classical	Progenitor	Classical
P367	Quiescent	Classical	Progenitor	Classical
P368	Quiescent	Classical	Progenitor	Classical
P369	Quiescent	Classical	Progenitor	Classical
P370	Quiescent	Classical	Progenitor	Classical
P371	Quiescent	Classical	Progenitor	Classical
P372	Quiescent	Classical	Progenitor	Classical
P373	Quiescent	Classical	Progenitor	Classical
P374	Quiescent	Classical	Progenitor	Classical
P375	Quiescent	Classical	Progenitor	Classical
P376	Quiescent	Classical	Progenitor	Classical
P377	Quiescent	Classical	Progenitor	Classical
P378	Quiescent	Classical	Progenitor	Classical
P379	Quiescent	Classical	Progenitor	Classical
P380	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P381	Quiescent	Classical	Progenitor	Classical
P382	Quiescent	Classical	Progenitor	Classical
P383	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P384	Quiescent	Classical	Progenitor	Classical
P385	Quiescent	Classical	Progenitor	Classical
P386	Quiescent	Classical	Progenitor	Classical
P387	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P388	Quiescent	Classical	Progenitor	Classical
P389	Quiescent	Classical	Progenitor	Classical
P390	Quiescent	Classical	Progenitor	Classical
P391	Quiescent	Classical	Progenitor	Classical
P392	Quiescent	Classical	Progenitor	Classical
P393	Quiescent	Classical	Progenitor	Classical
P394	Quiescent	Classical	Progenitor	Classical
P395	Quiescent	Classical	Progenitor	Classical
P396	Quiescent	Classical	Progenitor	Classical
P397	Quiescent	Classical	Progenitor	Classical
P398	Quiescent	Classical	Progenitor	Classical
P399	Quiescent	Classical	Progenitor	Classical
P400	Quiescent	Classical	Progenitor	Classical
P401	Quiescent	Classical	Progenitor	Classical
P402	Quiescent	Classical	Progenitor	Classical
P403	Quiescent	Classical	Progenitor	Classical
P404	Quiescent	Classical	Progenitor	Classical
P405	Quiescent	Classical	Progenitor	Classical
P406	Quiescent	Classical	Progenitor	Classical
P407	Quiescent	Classical	Progenitor	Classical
P408	Quiescent	Classical	Progenitor	Classical
P409	Quiescent	Classical	Progenitor	Classical
P410	Quiescent	Classical	Progenitor	Classical
P411	Quiescent	Classical	Progenitor	Classical
P412	Quiescent	Classical	Progenitor	Classical
P413	Quiescent	Classical	Progenitor	Classical
P414	Quiescent	Classical	Progenitor	Classical
P415	Quiescent	Classical	Progenitor	Classical
P416	Quiescent	Classical	Progenitor	Classical
P417	Quiescent	Classical	Progenitor	Classical
P418	Quiescent	Classical	Progenitor	Classical
P419	Quiescent	Classical	Progenitor	Classical
P420	Quiescent	Classical	Progenitor	Classical
P421	Quiescent	Classical	Progenitor	Classical
P422	Quiescent	Classical	Progenitor	Classical
P423	Quiescent	Classical	Progenitor	Quasi-mesenchymal
P424	Quiescent	Classical	Progenitor	Classical
P425	Quiescent	Classical	ADEX	Exocrine-like
P426	Quiescent	Classical	ADEX	Exocrine-like
P427	Quiescent	Classical	ADEX	Exocrine-like
P428	Quiescent	Classical	ADEX	Exocrine-like
P429	Quiescent	Classical	ADEX	Exocrine-like
P430	Quiescent	Classical	ADEX	Exocrine-like
P431	Quiescent	Classical	ADEX	Exocrine-like
P432	Quiescent	Classical	ADEX	Exocrine-like
P433	Quiescent	Classical	ADEX	Classical
P434	Mixed	Basal-like	Squamous	Classical
P435	Mixed	Basal-like	Squamous	Classical
P436	Mixed	Basal-like	Squamous	Quasi-mesenchymal
P437	Mixed	Basal-like	Squamous	Quasi-mesenchymal
P438	Mixed	Basal-like	Squamous	Quasi-mesenchymal
P439	Mixed	Basal-like	Squamous	Quasi-mesenchymal
P440	Mixed	Basal-like	Squamous	Quasi-mesenchymal
P441	Mixed	Basal-like	Squamous	Classical
P442	Mixed	Basal-like	Squamous	Quasi-mesenchymal
P443	Mixed	Basal-like	Immunogenic	Quasi-mesenchymal
P444	Mixed	Basal-like	Immunogenic	Classical
P445	Mixed	Basal-like	Immunogenic	Classical
P446	Mixed	Classical	Immunogenic	Exocrine-like
P447	Mixed	Classical	Immunogenic	Classical
P448	Mixed	Classical	Immunogenic	Classical
P449	Mixed	Classical	Immunogenic	Classical
P450	Mixed	Classical	Immunogenic	Classical
P451	Mixed	Classical	Immunogenic	Exocrine-like
P452	Mixed	Classical	Immunogenic	Classical
P453	Mixed	Classical	Immunogenic	Classical
P454	Mixed	Classical	Immunogenic	Classical
P455	Mixed	Classical	Immunogenic	Classical
P456	Mixed	Classical	Progenitor	Classical
P457	Mixed	Classical	Progenitor	Exocrine-like
P458	Mixed	Classical	Progenitor	Exocrine-like
P459	Mixed	Classical	Progenitor	Classical
P460	Mixed	Classical	Progenitor	Classical
P461	Mixed	Classical	Progenitor	Classical
P462	Mixed	Classical	Progenitor	Classical
P463	Mixed	Classical	Progenitor	Classical
P464	Mixed	Classical	Progenitor	Classical
P465	Mixed	Classical	Progenitor	Classical
P466	Mixed	Classical	Progenitor	Classical
P467	Mixed	Classical	Progenitor	Classical
P468	Mixed	Classical	Progenitor	Classical
P469	Mixed	Classical	Progenitor	Classical
P470	Mixed	Classical	Progenitor	Classical
P471	Mixed	Classical	Progenitor	Classical
P472	Mixed	Classical	Progenitor	Classical
P473	Mixed	Classical	Progenitor	Classical
P474	Mixed	Classical	Progenitor	Classical
P475	Mixed	Classical	Progenitor	Classical
P476	Mixed	Classical	Progenitor	Classical
P477	Mixed	Classical	Progenitor	Classical
P478	Mixed	Classical	Progenitor	Classical
P479	Mixed	Classical	ADEX	Classical
P480	Mixed	Classical	ADEX	Classical
P481	Mixed	Classical	Progenitor	Classical
P482	Mixed	Classical	Progenitor	Classical
P483	Mixed	Classical	Progenitor	Classical
P484	Mixed	Classical	Progenitor	Classical
P485	Mixed	Classical	Progenitor	Classical
P486	Mixed	Classical	Progenitor	Classical
P487	Mixed	Classical	Progenitor	Classical
P488	Mixed	Classical	ADEX	Exocrine-like
P489	Mixed	Classical	ADEX	Exocrine-like
P490	Mixed	Classical	ADEX	Exocrine-like
P491	Mixed	Classical	ADEX	Exocrine-like
P492	Mixed	Classical	ADEX	Exocrine-like
P493	Mixed	Classical	ADEX	Exocrine-like
P494	Mixed	Classical	ADEX	Exocrine-like
P495	Mixed	Classical	ADEX	Exocrine-like
P496	Mixed	Classical	ADEX	Exocrine-like
P497	Mixed	Classical	ADEX	Exocrine-like
P498	Mixed	Classical	ADEX	Classical
P499	Mixed	Classical	ADEX	Exocrine-like
P500	Mixed	Classical	ADEX	Classical
