"id","chr","position","color","group1_s1","group1_s2","group2_s1","group2_s2","group2_s3","group3_s1","group3_s2","group3_s3"
"DEPDC1B","5",59892739,"black",0.104,0.409,0.857,0.322,-0.313,0.998,0.021,1.948
"DLX6","7",96634860,"blue",-0.076,-0.54,0.279,-0.503,0.05,-0.174,0.238,0.201
"DNALI1","1",38022520,"blue",-3.381,-2.932,0.112,0.053,0.455,-3.877,-1.44,-4.609
"DSC2","18",28645940,"black",1.405,1.525,1.336,-0.611,-0.007,-0.76,-0.257,0.389
"DYNLRB2","16",80574631,"black",-0.201,-0.256,-0.82,1.606,0.254,-2.554,0.369,-1.577
"EDN2","1",41944446,"black",1.223,1.243,-2.111,-2.323,-2.229,0.156,-1.637,0.718
"EEF1A2","20",62119366,"blue",-0.095,-0.48,-0.975,-2.697,3.397,-1.9,2.882,-2.239
"EGFL6","X",13587724,"red",0.327,2.122,2.686,-0.777,0.437,-0.086,-0.8,0.473
"EPHB1","3",134316643,"black",0.302,0.216,0.715,-0.893,-0.555,-0.172,0.212,-0.977
"ESR1","6",151977826,"black",-4.647,-5.903,-3.072,1.627,-2.597,-5.29,-4.399,-4.93
"FAM81B","5",94727048,"black",-0.855,-0.765,-0.388,2.182,-1.118,-0.388,-1.331,-1.162
"FGD3","9",95709733,"black",-2.472,-1.635,-0.691,-0.943,-2.283,-1.491,-2.263,-2.408
"FOXC1","6",1610681,"black",0.572,-1.371,-0.832,-0.869,-0.623,-0.478,-0.836,-0.039
"FZD9","7",72848109,"black",1.025,-0.577,-0.512,-1.021,-0.473,-0.362,0.032,1.01
"GALNT3","2",166604101,"black",2.146,0.097,-0.502,1.602,-0.175,0.618,0.598,1.466
"GBP5","1",89724633,"black",-0.431,-0.372,1.916,1.58,0.275,0.637,-2.298,1.697
"GNA14","9",80037995,"black",3.62,0.236,-0.573,-0.034,2.627,-0.845,1.096,1.691
"GNMT","6",42928496,"black",0.022,-1.155,-0.127,0.763,-1.375,2.923,2.992,2.485
"GPM6B","X",13789150,"red",-0.866,-0.377,0.33,-2.174,-0.693,-0.503,0.041,-0.538
"GPR126","6",142622991,"black",2.831,0.679,2.039,1.361,0.938,2.22,-0.133,1.247
"GZMB","14",25100160,"black",-0.401,0.198,1.888,1.84,-0.323,1.069,-1.777,1.373
"ID4","6",19837617,"red",1.494,-1.982,-2.808,-2.656,-1.64,-1.258,-0.719,-1.522
"IGF1R","15",99192200,"black",-1.519,-3.249,-3.218,-0.558,-1.926,-2.736,-1.689,-3.269
"IGFL2","19",46646363,"black",3.677,2.339,0.868,-1.792,2.223,-0.534,0.796,0.81
"IL12RB2","1",67773047,"black",-0.141,2.78,2.338,1.308,0.415,1.321,0.025,2.385
"IL22RA2","6",137464968,"black",-0.199,-0.533,1.413,0.081,-0.86,0.92,-0.208,6.045
"IL8","4",74606223,"black",5.765,3.772,0.61,0.165,0.088,-0.603,0.979,3.958
"INPP4B","4",142944313,"black",-1.895,-1.94,-2.735,-0.75,-0.427,-0.558,-0.095,-0.751
"ITPR1","3",4535032,"black",-0.444,0.587,1.283,1.434,-0.137,-0.07,1.331,0.104
"IYD","6",150690028,"black",3.524,1.38,0.675,4.214,2.745,2.598,1.789,-0.866
"KCNJ15","21",39529128,"black",0.899,-0.552,0.17,-1.409,1.155,0.002,0.583,-0.154
"KCNK1","1",233749750,"black",1.736,0.197,1.312,0.838,0.976,0.562,1.455,1.928
"KIAA1257","3",128628709,"red",-0.897,-2.113,-1.342,2.778,2.655,-1.974,2.942,-0.826
"KIF12","9",116848406,"black",-1.573,-2.309,-0.017,0.736,0.89,-2.526,-1.038,0.614
"KIF14","1",200520628,"black",0.244,-0.664,1.66,0.441,0.064,0.171,-0.218,1.473
"KIT","4",55524085,"black",0.254,1.901,1.302,-1.677,-1.586,-0.609,-1.105,0.145
"KLRG2","7",139137436,"black",-0.148,3.707,1.031,1.516,0.286,2.782,2.11,0.332
"KRT17","17",39775689,"black",-1.751,-1.584,-2.236,-1.79,0.109,-2.173,0.364,-1.127
"KRT18","12",53342655,"black",-0.63,-1.114,-1.196,0.971,1.706,0.318,0.249,0.359
"KRT6B","12",52840435,"black",-3.395,-3.045,-4.811,-1.98,-0.41,-4.566,0.25,0.278
"KRT7","12",52626304,"black",0.755,1.032,0.434,-3.185,-2.818,1.106,0.665,0.818
"LAD1","1",201342372,"blue",0.978,1.182,0.766,1.26,-0.687,0.786,1.216,1.52
"LCT","2",136545410,"black",0.418,0.451,-0.346,0.464,0.468,6.752,-0.002,3.842
"LDHB","12",21788276,"black",0.373,-1.357,1.031,-0.297,-0.745,-0.675,-0.659,1.028
"LEMD1","1",205350506,"black",-0.878,-1.172,-0.402,1.287,-0.758,-0.97,0.007,0.799
"LRRC48","17",17876127,"black",-0.583,-2.182,-0.938,0.607,-0.391,-1.469,-0.442,-1.331
"LRRC6","8",133584320,"black",0.385,-2.726,0.048,-0.764,0.294,-2.11,-0.959,-2.502
"MMP1","11",102660651,"black",-0.535,-0.138,-0.204,0.022,4.206,2.716,-0.123,3.538
"MYB","6",135502453,"black",-2.518,-1.721,-0.657,0.751,-3.298,-3.089,-2.345,-1.326
"NEIL3","4",178230990,"black",-0.936,0.778,0.935,-0.065,0.903,0.596,0.354,1.122
"NEK10","3",27151576,"black",-0.059,-2.503,-2.353,-2.006,-1.864,-2.403,-1.619,-1.772
"NFIL3","9",94171327,"black",-0.073,1.164,0.257,0.503,-0.589,0.16,0.002,1.355
"NMU","4",56461396,"black",-0.004,2.882,2.354,-0.972,1.712,2.111,3.159,5.542
"NOVA1","14",26912299,"black",-0.557,-0.873,1.294,3.631,-0.958,-0.979,-0.518,-0.703
"NOX4","11",89057524,"black",0.987,-0.411,-1.823,-2.127,1.517,0.323,1.116,-0.696
"NRTN","19",5823813,"black",0.014,0.136,2.075,0.652,0.107,-0.476,-0.536,-0.722
"NXN","17",702553,"black",1.373,1.329,1.314,-1.8,-0.01,-0.187,-0.337,0.153
"NXNL2","9",91150016,"black",-0.981,-0.615,-2.401,-1.707,-0.665,-0.814,-0.98,-0.653
"OCA2","15",28000021,"black",-0.334,-0.324,0.312,-0.705,-0.806,-0.295,-0.908,2.666
"OXGR1","13",97637973,"black",-1.053,-1.294,-0.194,3.179,0.977,-1.524,-0.837,-0.756
"PCOLCE2","3",142534764,"black",-1.855,-0.693,-1.154,-2.135,-1.622,-0.854,0.258,-1.163
"PGLYRP2","19",15579456,"black",-1.264,-1.919,-2.154,2.003,-1.92,-3.809,-1.527,-1.997
"PIP","7",142829170,"black",0.208,-0.208,0.97,0.902,-0.133,0.216,0.14,0.145
"PLCB4","20",9049410,"black",1.117,1.961,1.823,1,2.224,1.461,2.251,0.143
"PLCD4","2",219472488,"black",-0.124,0.829,0.07,1.699,1.439,-2.215,-0.167,-2.134
"PMAIP1","18",57567180,"black",-2.003,-1.864,-1.089,-1.13,-1.923,-2.401,-2.351,-1.366
"PNMT","17",37824234,"black",2.991,2.833,2.849,3.43,1.947,2.827,4.63,3.288
"PPAPDC1A","10",122216466,"black",1.639,0.214,-0.377,-3.097,1.393,0.911,1.32,-0.154
"PREX1","20",47240790,"black",-0.69,-0.603,-0.457,0,-1.828,-0.607,-1.773,-1.944
"PRRT2","16",29823177,"black",-2.297,-0.652,-0.739,0.025,0.725,-1.635,0.248,-1.202
"PRSS12","4",119201193,"black",-0.565,-0.621,-0.01,-0.536,-0.183,0.245,-0.129,0.032
"PRSS23","11",86502101,"black",0.57,-1.082,-0.844,-1.869,-0.29,-0.141,-0.026,-1.357
"PSAT1","9",80912059,"black",4.101,2.111,3.181,0.864,-0.051,3.237,1.492,3.588
"PTX3","3",157154578,"black",-0.041,-1.489,-0.479,-1.235,-0.93,-1.214,-0.845,-0.789
"RAB27B","18",52385091,"black",1.695,1.78,1.465,0.6,2.241,-0.556,-0.215,0.075
"RARRES1","3",158414681,"black",-0.215,1.296,0.803,0.762,1.708,0.572,-0.85,2.595
"RCAN1","21",35885440,"black",1.489,-1.062,-0.705,0.675,-0.921,0.04,-0.675,0.02
"REEP1","2",86441116,"black",2.574,1.698,0.43,1.769,1.129,1.363,2.281,0.368
"RGS22","8",100973164,"black",-1.247,-2.88,-0.595,-2.632,0.043,-2.782,-2.292,-1.81
"RIPK4","21",43159529,"black",2.043,1.306,0.313,-2.329,-0.921,-0.845,-1.258,0.434
"RMND1","6",151725989,"black",-1.125,-0.527,-0.856,1.136,-0.767,-1.199,-0.543,-0.926
"ROPN1L","5",10441636,"black",1.64,0.052,-0.819,2.367,-0.416,-0.52,0.011,-0.138
"SH2D2A","1",156776035,"black",-0.091,-0.454,2.084,0.744,-0.502,0.994,-1.22,0.611
"SHC4","15",49115932,"black",1.631,-0.505,-0.651,-0.973,-0.048,-0.666,0.503,-0.349
"SLC22A4","5",131630136,"black",-0.384,-2.094,-1.779,1.976,-0.323,-1.24,1.661,2.123
"SPINK4","9",33218363,"black",-0.619,3.465,-0.873,0.124,-0.848,-1.328,-0.32,-0.344
"ST6GALNAC1","17",74620843,"black",2.482,-0.572,-0.338,3.425,-0.69,3.607,3.682,3.248
"STAC2","17",37366789,"black",1.928,-1.332,-1.038,-0.649,-1.364,3.015,-0.5,2.825
"STARD10","11",72465774,"red",0.116,-0.413,1.129,1.147,0.755,-0.061,1.422,0.352
"TEX14","17",56634039,"black",-1.05,-0.832,-0.574,0.241,0.283,-0.853,-1.088,-0.731
"TGM1","14",24718320,"black",-0.757,-0.001,0.838,-0.761,0.251,0.104,-0.643,-0.168
"TRPV6","7",142568956,"black",2.569,3.676,0.375,0.655,-0.393,2.784,2.037,3.39
"TSPAN13","7",16793160,"black",1.151,-0.805,-0.922,0.354,-0.347,-0.462,-0.453,-0.992
"TTC18","10",75013517,"black",-0.813,0.827,0.549,1.93,0.279,-0.16,1.367,-1.106
"UCHL1","4",41258430,"black",1.426,-0.272,0.654,-0.406,-0.007,-0.142,-0.358,-0.006
"VLDLR","9",2621834,"black",1.827,0.689,-0.487,-3.425,0.554,0.227,1.357,2.411
"WWP1","8",87354967,"black",-1.345,-0.62,0.389,0.301,-0.321,-0.9,-1.251,-0.264
"XBP1","22",29190543,"black",-0.512,-0.07,-0.348,0.735,-1.88,-0.603,-1.65,-0.177
"ZMYND10","3",50378541,"black",-0.658,-2.735,-1.053,1.108,0.219,-3.469,-0.851,-1.081
"ZNF552","19",58315209,"black",0.24,-1.252,-1.879,-0.195,-1.691,-0.012,-1.133,0.354
"ZNF695","1",247108849,"black",1.798,1.592,0.977,1.407,0.189,0.722,0.38,1.504
