gene	r	p	direct
GPSM3	0.569024738582774	1.5654097612157e-42	A
MPEG1	0.568798723862826	1.71500323547396e-42	A
IGSF6	0.568402652379776	2.0121087199232e-42	A
TM6SF1	0.567872978884725	2.49055787907402e-42	A
MYOZ1	0.567113862594816	3.37895060368388e-42	A
THBS4	0.567075767545012	3.43100507983474e-42	A
TNFAIP8L2	0.566026536593208	5.22337436604552e-42	A
STAB1	0.565849232227981	5.60701214247179e-42	A
XIRP1	0.565401561292205	6.70448152232994e-42	A
HNMT	0.565255382852296	7.10704988060343e-42	A
EVI2B	0.564601260596792	9.22265728650582e-42	A
SASH3	0.563838080176157	1.2490278980541e-41	A
PLXNC1	0.563445388835594	1.45952947006208e-41	A
DOK2	0.563110317157258	1.66669923170672e-41	A
CD163	0.562937845100518	1.78444438313988e-41	A
FGR	0.562889883009278	1.81862856151386e-41	A
RCSD1	0.562738180726497	1.93108370990133e-41	A
VSIG4	0.562535223114326	2.09238225895666e-41	A
RASGRP3	0.5618948020617	2.69413228567152e-41	A
CELF2	0.561807709938399	2.78823500696711e-41	A
HLA-DPA1	0.561509794461418	3.13545182857797e-41	A
WAS	0.561361481179002	3.32396175553275e-41	A
CCR1	0.561163376683762	3.59339010010954e-41	A
ZEB2	0.55985201886292	6.01161257586332e-41	A
COX6A2	0.559511639696737	6.86811024430057e-41	A
TLR4	0.559488338060115	6.93098323054207e-41	A
ANGPTL1	0.558835233690349	8.94524123578125e-41	A
GIMAP8	0.558258858136494	1.11987308088175e-40	A
ATP1A2	0.558059878748466	1.21007005073315e-40	A
SELPLG	0.557577030837152	1.45999706482964e-40	A
MYBPC1	0.557244153807029	1.6614578133343e-40	A
LCP2	0.556823627652868	1.95576927732272e-40	A
GIMAP7	0.55656964078017	2.15797913091662e-40	A
IL2RA	0.556317158572718	2.37950882196959e-40	A
PECAM1	0.555370541454322	3.42991202134742e-40	A
TRPV2	0.554892655427355	4.12340230976615e-40	A
APOD	0.553344812570009	7.4713160921462e-40	A
FLI1	0.553064489993549	8.31770771645857e-40	A
GYPC	0.551399495705648	1.57006982907058e-39	A
MYH7	0.550212484916221	2.46422686000131e-39	A
ACTN2	0.54949647957237	3.23136459178093e-39	A
CLEC4A	0.549425725118723	3.31895976634237e-39	A
GIMAP1	0.548795712450568	4.21028542873566e-39	A
IL10RA	0.548787596625622	4.22319313575644e-39	A
KLHL41	0.548690689365146	4.38038140276445e-39	A
PREX1	0.548592565155709	4.54545056149201e-39	A
FAM49A	0.54819408437016	5.28155932042346e-39	A
CYTH4	0.547610305209458	6.57811608837701e-39	A
PRUNE2	0.546872226906929	8.67705431132398e-39	A
TCAP	0.546590400938199	9.64311787674345e-39	A
LILRB1	0.546481614489256	1.00438992869756e-38	A
SMPX	0.546414994713361	1.02974383797695e-38	A
SLC2A5	0.546332072413227	1.06218974662763e-38	A
CD300LF	0.545827541153243	1.2826126702948e-38	A
SRGN	0.544751810872569	1.91531635450162e-38	A
SIGLEC9	0.544480666427568	2.11853475684519e-38	A
HLA-DRA	0.544205760003401	2.34637594042073e-38	A
MYBPC2	0.542477136480978	4.45052721300516e-38	A
FOLR2	0.542145894449143	5.02922526142057e-38	A
SYT11	0.541516235009468	6.34244769355936e-38	A
NRROS	0.540704896162857	8.54616153623541e-38	A
CD86	0.540225632643646	1.01885109045156e-37	A
CD84	0.540168561501322	1.04038274248525e-37	A
SLA	0.539385443822325	1.38562249826284e-37	A
CD37	0.539262493928518	1.44928663719552e-37	A
ABCB4	0.53772638111774	2.53644095054883e-37	A
ENTPD1	0.537587203381019	2.6680022403089e-37	A
CD74	0.537370795269474	2.88611622718351e-37	A
PODN	0.537042081807726	3.25165741091845e-37	A
F13A1	0.537030039339019	3.26588638035001e-37	A
NFAM1	0.535820932597248	5.05832755634869e-37	A
LST1	0.53563322099333	5.41297707657876e-37	A
MEOX2	0.53563178748061	5.4157780976206e-37	A
DOCK2	0.534794597080808	7.32300839312996e-37	A
HLA-DRB1	0.534597772837125	7.86033959480968e-37	A
AMPD1	0.534527207875763	8.06234614748764e-37	A
PDK4	0.534441866571369	8.31353485392703e-37	A
SIGLEC7	0.534114807022025	9.35005475586355e-37	A
CHRNA1	0.533958834152883	9.88848372218707e-37	A
CD14	0.533693759651935	1.08748860876909e-36	A
PTPRC	0.533362543764743	1.22453813192356e-36	A
HLA-DOA	0.533231715477872	1.28326870603249e-36	A
PLEKHO1	0.533162740906303	1.31534706063378e-36	A
AOAH	0.533050311039526	1.36934651810654e-36	A
RASSF2	0.531768230404993	2.16422121734287e-36	A
PIK3R6	0.531719403274504	2.2021939353934e-36	A
DDIT4L	0.531246367923278	2.60599693173873e-36	A
NLRC4	0.53086797772719	2.98112156362403e-36	A
PGM5	0.52983684660936	4.29699328257904e-36	A
CD300C	0.529355363997032	5.09473936995935e-36	A
MYL2	0.529141787764981	5.49401700185358e-36	A
CLIC5	0.528152676911256	7.78647833326482e-36	A
BTK	0.528116293686192	7.88683056632571e-36	A
SLN	0.52732386102877	1.04199200064791e-35	A
CASQ1	0.526459930347325	1.41051279734815e-35	A
PLCL2	0.526446026738977	1.41739347675432e-35	A
CCR5	0.525254973285302	2.14868317218456e-35	A
PIK3R5	0.525215337504539	2.17857642969352e-35	A
ITM2A	0.524338642109912	2.95592024069502e-35	A
PLA2G7	0.524164014882465	3.140819489446e-35	A
TNFSF13B	0.52386557929626	3.48369259846945e-35	A
MB	0.523406085951571	4.08538556485487e-35	A
CA3	0.522385598014924	5.81469193343273e-35	A
FBLN5	0.522266853775531	6.05801381824437e-35	A
LRRC2	0.522232026978176	6.13127189200763e-35	A
CSRP3	0.521305408938546	8.43768193457089e-35	A
CXCL12	0.520316415010164	1.1851149590619e-34	A
ALOX5AP	0.52025273509679	1.21127737918912e-34	A
JAM2	0.519366206580067	1.64080219360632e-34	A
TFEC	0.518978620459789	1.87310597615134e-34	A
OLFML2B	0.518652429300472	2.09364006730934e-34	A
CCRL2	0.518612796852419	2.12212890207212e-34	A
ADAMDEC1	0.518092550608901	2.53367547040011e-34	A
GPRIN3	0.517630605154835	2.96477921673267e-34	A
RGS18	0.517115127387436	3.53198223785875e-34	A
IL4I1	0.516627032341111	4.16760339288041e-34	A
MGP	0.516333227968168	4.60352546821091e-34	A
SLC40A1	0.516044915979708	5.07511826033051e-34	A
GAB3	0.516042011077035	5.08010532941819e-34	A
PLEK	0.515366801970173	6.38127951398973e-34	A
GPR65	0.515302995074371	6.52011221128318e-34	A
MGAT4A	0.5150224971733	7.16675869087982e-34	A
PYGM	0.514848838560577	7.59852018362135e-34	A
IL16	0.514048554589448	9.94538868809133e-34	A
LILRB2	0.513820657728985	1.07362508261213e-33	A
HLA-DMA	0.51369434981755	1.12010695652494e-33	A
UCP2	0.513643274153865	1.13946387678288e-33	A
CD52	0.5127458583839	1.53899546966436e-33	A
LCP1	0.512695912796254	1.56491575404965e-33	A
HCLS1	0.512135448622767	1.8871448267227e-33	A
PARVG	0.51213502785135	1.88740986781535e-33	A
MYH2	0.512007124753686	1.96970743547798e-33	A
FCGR1A	0.511538861304771	2.30247409183037e-33	A
PLCB2	0.511465996251335	2.35903494281225e-33	A
XIRP2	0.511383186518013	2.42498672577064e-33	A
ARHGDIB	0.511210303645703	2.56861563752859e-33	A
SAMSN1	0.510535691581945	3.21422178511514e-33	A
CD2	0.510329452536445	3.44192974039188e-33	A
TLR7	0.510105359457046	3.70747775788114e-33	A
TNNC1	0.50973824598558	4.18699956461373e-33	A
PILRA	0.509574670738931	4.41996959705939e-33	A
CD48	0.508147826494065	7.07963022735231e-33	A
ARHGAP30	0.508118561954561	7.14819910327892e-33	A
ACTA1	0.507692866497447	8.22324622541803e-33	A
JSRP1	0.504802727991678	2.11781405848812e-32	A
C2	0.504783694196457	2.1309858624123e-32	A
GMFG	0.504751858267849	2.15319850649352e-32	A
ANK2	0.503905188503201	2.83582921178601e-32	A
PKIA	0.503486040865428	3.2490988084809e-32	A
COLQ	0.503482144632096	3.25320736151478e-32	A
CYSLTR1	0.503191052529043	3.5751585902964e-32	A
FCGR2B	0.502753647087327	4.11912185720018e-32	A
LAT2	0.502454697589417	4.53725059097235e-32	A
SPN	0.502383886256366	4.64229040318e-32	A
IL2RB	0.50186662115335	5.48616080813083e-32	A
SERPING1	0.50124362580293	6.70605369702181e-32	A
CTSO	0.501091443275278	7.04271704104448e-32	A
GNGT2	0.500832036681143	7.65556778822319e-32	A
ITGAL	0.500424084270382	8.72775552374191e-32	A
CKM	0.500389698571244	8.8246442644394e-32	A
SCIMP	0.50011505511408	9.63769343150867e-32	A
LILRB3	0.500027330395759	9.91269219898435e-32	A
HCST	0.499569926907342	1.14773760300563e-31	A
SLC8A1	0.497599065911068	2.15281033386498e-31	A
PDE4B	0.497079397018796	2.53943370274758e-31	A
MAN1C1	0.497044063440768	2.56808616615884e-31	A
BIN2	0.49649127838348	3.06032855458428e-31	A
SYNE1	0.494821787682876	5.18723997383224e-31	A
TLR8	0.494801931379194	5.21980640476029e-31	A
MYL1	0.492348655637949	1.12747913956121e-30	A
ARHGAP9	0.490979312644474	1.72829312769742e-30	A
LGALS9	0.490778589028988	1.83966908886986e-30	A
IL2RG	0.489944784704062	2.38349178238978e-30	A
TMEM140	0.489814148896836	2.48203245623129e-30	A
GALM	0.488085927222165	4.23496346793625e-30	A
ANKRD44	0.487821919695518	4.5938921923549e-30	A
HLA-DQB1	0.487143869561823	5.65953775422102e-30	A
CD3E	0.486937003628779	6.03089594810797e-30	A
PLA1A	0.486897308006116	6.10486454034223e-30	A
CILP	0.486395145902461	7.12179587762807e-30	A
HK3	0.48611572144588	7.75845291808738e-30	A
IL21R	0.485206870386863	1.02444316262513e-29	A
CARD8	0.485122922151071	1.05104078150995e-29	A
NCF4	0.484604335779853	1.23116684479467e-29	A
CCL18	0.483611530019658	1.66535674736277e-29	A
APOC1	0.482746677927165	2.16491337068318e-29	A
OLFML1	0.482385036711886	2.41538282992949e-29	A
ATP8A1	0.482337528358319	2.45034791629322e-29	A
ACTC1	0.481741238061292	2.93418157414276e-29	A
ITGA9	0.481467849161915	3.18651624364273e-29	A
IL32	0.480988282319213	3.68203716723417e-29	A
DCLK1	0.480512783426643	4.2484439844586e-29	A
TCN2	0.480277309291596	4.56002670786323e-29	A
GIMAP2	0.479970662634913	4.99988040670392e-29	A
GPR183	0.479503457091535	5.75193532763493e-29	A
DOK3	0.479216424407789	6.26836254672401e-29	A
RNASE2	0.478482367339672	7.80705458858711e-29	A
FYN	0.478039137209047	8.91125073469026e-29	A
IKZF1	0.478009921591508	8.98923311464159e-29	A
IL18BP	0.477393161900885	1.08023897899053e-28	A
CST7	0.477111166855427	1.174764372413e-28	A
VAV1	0.475143313014349	2.10493031507095e-28	A
S1PR1	0.474973230891861	2.21336166623372e-28	A
HVCN1	0.474424153923784	2.60251591817999e-28	A
SPOCK2	0.474418061675269	2.60719278255616e-28	A
CXCR4	0.474225327263388	2.75951821239879e-28	A
IGDCC4	0.474114200237497	2.85131178360059e-28	A
CYTIP	0.473798556290221	3.12883288496463e-28	A
PRAM1	0.473634241399985	3.28370671669908e-28	A
DPT	0.472923099452054	4.04614958694468e-28	A
TMEM119	0.472102045176957	5.14600839253511e-28	A
CORO1A	0.471755130056055	5.6952032517244e-28	A
SPATA13	0.470565473505457	8.05651193305134e-28	A
COLEC12	0.469858655525004	9.89389227211698e-28	A
MYBPH	0.468723495811478	1.37474380258163e-27	A
CNRIP1	0.467165914715503	2.15460848170588e-27	A
CXCR3	0.466494657064332	2.61312758510567e-27	A
CD209	0.466395849488307	2.68830780292524e-27	A
LYZ	0.465901316182153	3.09793560246396e-27	A
HCK	0.465323702443951	3.65499087033236e-27	A
WDFY4	0.465147458029227	3.84389310695635e-27	A
APOE	0.464939431587429	4.07930761595244e-27	A
RASAL3	0.462922331607276	7.24408291884985e-27	A
DKK2	0.461486099554623	1.0878088109237e-26	A
TIGIT	0.460842962443815	1.30421307244129e-26	A
CLEC10A	0.460327617469699	1.50788118307447e-26	A
CCL19	0.460079361136121	1.6169133260543e-26	A
GLIPR2	0.459678980977851	1.80939334872152e-26	A
PDGFRL	0.459466850651337	1.92037781017569e-26	A
SMTNL1	0.459437631437709	1.93618296611659e-26	A
SFMBT2	0.459210737653873	2.06336811097295e-26	A
PTGIS	0.458806223456533	2.31092432590279e-26	A
PRKCB	0.457383645236382	3.43811979252214e-26	A
SLCO5A1	0.456955979467857	3.87285833899619e-26	A
SERPINA1	0.456543523421408	4.34344215299963e-26	A
GIMAP5	0.456208296115111	4.76717918346518e-26	A
SUCNR1	0.455747703192779	5.41669903763094e-26	A
RSPO3	0.454480076450041	7.69079278967305e-26	A
CFH	0.45416864693433	8.38059772692803e-26	A
CCR8	0.45377054430732	9.35201019675309e-26	A
CCR2	0.453620017916486	9.74760685254584e-26	A
ABI3BP	0.453548783216782	9.94053731164589e-26	A
CD180	0.453315625374074	1.0598781857652e-25	A
CPVL	0.452759857971066	1.23465304887217e-25	A
PLD4	0.452330690263657	1.38883463235377e-25	A
ICOS	0.451704137517314	1.648659077726e-25	A
RAMP3	0.44986907123956	2.71885214103977e-25	A
GNG2	0.449539309946596	2.97362855327337e-25	A
CYP27A1	0.449515440073552	2.99296020373006e-25	A
LILRA6	0.449467020442617	3.03255625011714e-25	A
CD5	0.44903671856201	3.40796119732995e-25	A
ZNF521	0.447678879516802	4.91998665995469e-25	A
IQGAP2	0.446873934872478	6.11169528291254e-25	A
ZNF423	0.446056274651768	7.61361483608005e-25	A
KCNN3	0.445852867837871	8.04063670451921e-25	A
LPXN	0.445217112661824	9.53369743086125e-25	A
CXCR6	0.44486842501827	1.04656339659596e-24	A
PPP1R16B	0.444817616820681	1.06087351870572e-24	A
SIT1	0.444553918347057	1.13830619131194e-24	A
TNFRSF9	0.444366436772089	1.19672761162955e-24	A
PTGER2	0.444358548699541	1.19924948843751e-24	A
ACACB	0.443737088113326	1.41534404248689e-24	A
CTLA4	0.443701088372048	1.42897792871373e-24	A
GBP4	0.443197108202554	1.63403191752802e-24	A
TNFSF4	0.443051215451471	1.6986360303165e-24	A
BATF	0.4423925451138	2.02314334224123e-24	A
PLA2G2A	0.441204085531835	2.77079397885378e-24	A
LYL1	0.440705802037987	3.16014472866652e-24	A
TMEM150B	0.44070316446715	3.16234308196708e-24	A
FGF7	0.439938061048694	3.86816284560384e-24	A
IL12RB1	0.439913783138775	3.89293803968161e-24	A
MFAP4	0.439826122297493	3.98370564855395e-24	A
CX3CR1	0.438851926330706	5.14437089618381e-24	A
PPM1M	0.438340894119748	5.88084293842198e-24	A
SELL	0.438090077673467	6.27946754772408e-24	A
AKNA	0.43755212934264	7.2265903741936e-24	A
BICC1	0.437413879910343	7.49195573292297e-24	A
CD72	0.437297159939554	7.72346848129074e-24	A
PIK3AP1	0.437265271103986	7.78793873859997e-24	A
CXCL9	0.436648641855943	9.14442200036888e-24	A
C3	0.436599280680812	9.26258646093485e-24	A
CD28	0.436571857329655	9.32888457904097e-24	A
RAB33A	0.436564834526758	9.34593797053094e-24	A
LILRA2	0.436531953002098	9.42619406856496e-24	A
FPR1	0.436274738294831	1.00779219094818e-23	A
FAM26F	0.436263631354016	1.01070448061059e-23	A
SIRPG	0.436133284461978	1.04550917162886e-23	A
P2RY8	0.435559819901306	1.21322512045238e-23	A
LTB	0.434456497844539	1.61402178044309e-23	A
PI16	0.434187158802596	1.73022683672717e-23	A
DOCK10	0.434129270507383	1.75626057867858e-23	A
ATP8B4	0.433903521780103	1.86153123041295e-23	A
ABCA6	0.433763353580569	1.93000341105394e-23	A
RAI2	0.43350267852781	2.06401868764257e-23	A
SLA2	0.433413926231181	2.11171098010093e-23	A
LILRB5	0.433310890108306	2.16844456610232e-23	A
ADRA2A	0.433214611004255	2.22281611897225e-23	A
CD7	0.432676528017784	2.55239987647223e-23	A
PRELP	0.432427617623013	2.72074925579088e-23	A
SFRP4	0.432336202493734	2.78529055639171e-23	A
PIK3CG	0.431596401689591	3.36633280060689e-23	A
CD3D	0.43156584485971	3.39274694661738e-23	A
NKG7	0.431327089759159	3.60629961664181e-23	A
CD247	0.431293752670057	3.63715439114335e-23	A
CD80	0.431112147274441	3.80986931390064e-23	A
CD96	0.429185509688198	6.22176645398247e-23	A
TNFRSF14	0.427347791058218	9.90413581944617e-23	A
CD33	0.42730812943359	1.00036947683836e-22	A
MS4A14	0.42705348127169	1.06668572193526e-22	A
GZMK	0.426121336091704	1.34857668716617e-22	A
SLAMF1	0.425809817090126	1.4582746394604e-22	A
CD3G	0.4248682002402	1.84622930797237e-22	A
ACKR1	0.424578496231892	1.98490726274362e-22	A
TNFSF8	0.424259469672627	2.14952899617818e-22	A
TBC1D10C	0.42353134998465	2.57739243839976e-22	A
GBP2	0.423105175906047	2.86573286925682e-22	A
TAGAP	0.422735015960746	3.14184255663542e-22	A
HSD11B1	0.42126832916024	4.51843808446258e-22	A
SLAMF6	0.420889998764488	4.96098912237172e-22	A
MAP4K1	0.420757905094645	5.12536296524357e-22	A
ITK	0.420440983270581	5.54195929253066e-22	A
SNAI3	0.420372774726141	5.63589614311697e-22	A
RARRES2	0.420286804915053	5.75653383454107e-22	A
COL14A1	0.4192343653772	7.45674642151392e-22	A
VCAM1	0.418970103654458	7.9562295953955e-22	A
NLRC3	0.41885365022108	8.18668132121088e-22	A
TNFRSF4	0.418697821807727	8.50538065255372e-22	A
UBD	0.418481814238889	8.96748347975695e-22	A
LTA	0.416881129748515	1.32561960300585e-21	A
MAP1LC3C	0.416409056413077	1.48698763442507e-21	A
CD1C	0.416194933604589	1.56642536742279e-21	A
FGD2	0.416123893522154	1.59369409259469e-21	A
SUSD3	0.415435929561578	1.88320638554056e-21	A
PPM1K	0.415334719948744	1.92996122714345e-21	A
P2RY10	0.415165901248043	2.01050871208189e-21	A
BTN3A1	0.415164288522927	2.01129394915311e-21	A
DOCK8	0.414933441976854	2.12687014599735e-21	A
CD226	0.414712284636587	2.24372844133819e-21	A
COMP	0.414418029937367	2.40907700094838e-21	A
CCL2	0.414130502138923	2.58223438368986e-21	A
EPHA3	0.414126386835631	2.58479976115114e-21	A
ST8SIA4	0.413436780828593	3.05215806691862e-21	A
CHRDL1	0.413390651966396	3.08623720109961e-21	A
ABCA9	0.412874187696051	3.49437193667473e-21	A
SH2D1A	0.412243711264728	4.06527244666618e-21	A
PLA2G4C	0.41061554131705	6.0002042297157e-21	A
CIITA	0.41033739321597	6.41147034624738e-21	A
PTGDS	0.410217863356522	6.59662972157131e-21	A
NR1H3	0.409821671388264	7.24885876064633e-21	A
ZNF671	0.409473185448318	7.87483543621872e-21	A
ARHGAP25	0.40913903195903	8.52499753118669e-21	A
CD27	0.409060929369042	8.68443183860067e-21	A
RGS1	0.408952565509264	8.91051825967158e-21	A
INPP5D	0.40876253339656	9.32108714270419e-21	A
CSF2RB	0.408116051436754	1.08624417329731e-20	A
APOBEC3G	0.4078224583175	1.16429276143857e-20	A
FCGR1B	0.407558696625837	1.23910918039565e-20	A
CLECL1	0.407504476692498	1.25506599742181e-20	A
RHOH	0.406116201135077	1.74022321756038e-20	A
CD6	0.405603905212075	1.96252290514335e-20	A
LCK	0.405218923395867	2.1477815571537e-20	A
P2RY14	0.403574925613461	3.15289461617691e-20	A
ATOH8	0.402423707114462	4.12007472225686e-20	A
BNC2	0.402133643003825	4.40667208226214e-20	A
F5	0.400696176153729	6.14358918541393e-20	A
STAT5A	0.400522919277529	6.39393938043166e-20	A
FCN1	0.400445851306757	6.50850479129905e-20	A
GPBAR1	0.399940479951812	7.31151323263105e-20	A
CCR4	0.399794341871594	7.56139178281253e-20	A
CEACAM4	0.399737154318138	7.66144980456018e-20	A
CD8A	0.399567560656453	7.96591262389503e-20	A
CHRDL2	0.399419968270526	8.24055725739349e-20	A
DPEP2	0.398439466715089	1.03173001399297e-19	A
EIF4E3	0.398395242145801	1.04222382045087e-19	A
UBASH3A	0.398215100484234	1.08606600257242e-19	A
PDCD1	0.397693038910429	1.22364627457761e-19	A
INMT	0.396589007425886	1.57361086919054e-19	A
ELMO1	0.39604550772616	1.78043058330112e-19	A
CXCL13	0.395814240328025	1.8763523925857e-19	A
DENND5B	0.395311234491434	2.10290342850975e-19	A
P2RY12	0.395260691987958	2.12710509643602e-19	A
PRF1	0.394812328248928	2.35416636048594e-19	A
SELP	0.394305163960169	2.63986108725568e-19	A
CD163L1	0.393664031353589	3.0502968701911e-19	A
NAIP	0.393643361440873	3.06452539805441e-19	A
LGALS2	0.393539841368283	3.13677476652423e-19	A
CYP1B1	0.392776331819292	3.72403508779328e-19	A
ARHGAP20	0.392772582891258	3.7271703247337e-19	A
LAG3	0.392475035645434	3.98447973886272e-19	A
GPR141	0.392368194929626	4.08107694382779e-19	A
OMD	0.392073470376931	4.35966065533198e-19	A
CCR7	0.390838132748449	5.74569760377384e-19	A
CEP85L	0.390242600534847	6.56083367022652e-19	A
HHEX	0.390224802441909	6.58687081080218e-19	A
GRAP2	0.389697627065209	7.40595766408315e-19	A
GNLY	0.389569373544326	7.61993101201873e-19	A
GZMA	0.389420188293718	7.87649239621666e-19	A
GZMM	0.389166483494777	8.33247028447787e-19	A
CFP	0.389032117452797	8.58439077109152e-19	A
EBI3	0.388654745250882	9.33271760334073e-19	A
ADH1B	0.388504723300298	9.64773598304199e-19	A
ITGAM	0.388225430273613	1.02623326896597e-18	A
IL10	0.387004606443861	1.34332766681456e-18	A
FNDC1	0.386586314996103	1.47277160648845e-18	A
CD69	0.386429108049941	1.52453130983709e-18	A
FRZB	0.386368394199045	1.54499685585025e-18	A
CCL23	0.386124277859258	1.63004922447907e-18	A
N4BP2L1	0.385807032597937	1.74749755198511e-18	A
TLR1	0.385437350010415	1.89489584134842e-18	A
BATF3	0.385395844878521	1.91218998101998e-18	A
CYP4V2	0.384985290177869	2.09184868128813e-18	A
ZNF366	0.384097325571349	2.53916914725021e-18	A
ABCA8	0.383769791672133	2.72690860843358e-18	A
TRANK1	0.383573769598314	2.84573304036484e-18	A
CD200	0.382648949448679	3.47871682677719e-18	A
ITGA4	0.382642999979566	3.48320718749727e-18	A
GFRA2	0.382430255975078	3.64757935271557e-18	A
SLC46A3	0.381878249680562	4.1105165026505e-18	A
GAPT	0.381178749144572	4.78092394082968e-18	A
EBF1	0.381154970791521	4.80551066393974e-18	A
ITGBL1	0.380764798700767	5.22717876588762e-18	A
CYSLTR2	0.38012331319572	6.00090023710723e-18	A
EVL	0.379900327224393	6.29541247692833e-18	A
CD1E	0.379808101595311	6.42133734132111e-18	A
RUNX3	0.379650184208816	6.64273734325718e-18	A
RENBP	0.379421639245823	6.97651643422921e-18	A
ICAM2	0.379412880088969	6.98963185347718e-18	A
CLEC2D	0.377470960081326	1.0584844270994e-17	A
GFRA1	0.377351570426273	1.08573955485665e-17	A
ATP2A3	0.376313024123973	1.3538752648519e-17	A
TSPAN33	0.376155255877163	1.39994128405624e-17	A
APOL6	0.375417635274428	1.63660101620983e-17	A
PAQR8	0.375405508493055	1.64080349124356e-17	A
SKAP1	0.375297888835676	1.67856664642889e-17	A
PTGDR	0.374482104621814	1.99400881656426e-17	A
NAP1L3	0.373331279720927	2.54022375335031e-17	A
SLC15A3	0.372586377262173	2.96965718558643e-17	A
IL18R1	0.371408438992633	3.7985454636539e-17	A
ENPP4	0.371198594984197	3.96841522633651e-17	A
TBX21	0.371006668459428	4.13030816332331e-17	A
SATB1	0.370377332484455	4.70807038007052e-17	A
FLT3	0.370339241676833	4.74548335247063e-17	A
BHLHE22	0.370136184883148	4.94991383348065e-17	A
TXNIP	0.369545037705287	5.59563890178736e-17	A
CD1D	0.369447124528709	5.71030580845102e-17	A
IRF1	0.369185302650982	6.02839763225763e-17	A
KLHL6	0.368816477576432	6.5062314053409e-17	A
KLRG1	0.368768872341621	6.57055828032097e-17	A
PTCRA	0.367375730706416	8.75646324220076e-17	A
CD8B	0.367291914738495	8.90867990300074e-17	A
PTGER4	0.366872476778713	9.71036506889294e-17	A
CCL13	0.366769901998545	9.91696828463749e-17	A
CD1B	0.365276168883774	1.34634759822342e-16	A
PYHIN1	0.36459996884957	1.54538588223791e-16	A
WISP2	0.364542664726225	1.56352523261612e-16	A
ZMYND15	0.363744814360092	1.83891155468753e-16	A
BTLA	0.363235431566554	2.03910715485e-16	A
TMEM100	0.362703778975126	2.27088883407244e-16	A
CCL5	0.362381194294322	2.42394555830969e-16	A
PTPRO	0.361399812510095	2.95463208345242e-16	A
CSF3R	0.361264655934265	3.0361379018392e-16	A
FBP1	0.361195245767745	3.07885001104327e-16	A
