gene	top_index	TSI
LINC00621	0.04	0.351053945721341
LINC00623	0.04	0.729967456923067
LINC00847	0.04	0.540162167528823
LINC00926	0.04	0.628636921753737
LINC01001	0.04	0.634670320888464
LINC01002	0.04	0.602138873885022
LINC01003	0.04	0.624165118013085
LINC01215	0.04	0.450848706630112
MALAT1	0.04	0.522419673929254
MAPKAPK5-AS1	0.04	0.5459200944179
MIAT	0.04	0.574999380551673
MIR155HG	0.04	0.501448965820879
MIR22HG	0.04	0.448370049505019
MORC2-AS1	0.04	0.552164615985249
NEAT1	0.04	0.658483024996456
NPTN-IT1	0.04	0.519923694268821
OIP5-AS1	0.04	0.527362724655805
PCED1B-AS1	0.04	0.611691115668016
PRR34-AS1	0.04	0.562497459758596
PSMB8-AS1	0.04	0.432049812342876
PSMD6-AS2	0.04	0.682688150631406
RARA-AS1	0.04	0.645893957706804
SCAMP1-AS1	0.04	0.577807850251453
SH3BP5-AS1	0.04	0.610256377920007
SLX1A-SULT1A3	0.04	0.631100869353794
SLX1B-SULT1A4	0.04	0.684678176156642
SND1-IT1	0.04	0.640843735363418
SNHG1	0.04	0.516934936056341
SNHG12	0.04	0.478521326447044
SNHG15	0.04	0.499769102669798
SNHG16	0.04	0.596442326336235
SNHG17	0.04	0.64630625730831
SNHG19	0.04	0.391653931463539
SNHG5	0.04	0.46472018450077
SNHG6	0.04	0.464122898293833
SNHG7	0.04	0.685275520971007
SNHG8	0.04	0.504566713418834
STAG3L5P-PVRIG2P-PILRB	0.04	0.365347545649602
THAP9-AS1	0.04	0.617787078645535
THRIL	0.04	0.375978994190609
THUMPD3-AS1	0.04	0.645615920853585
TRG-AS1	0.04	0.630503649814938
USP3-AS1	0.04	0.585844328575542
WAC-AS1	0.04	0.461168340814191
XIST	0.04	0.855420846547151
ZBED5-AS1	0.04	0.519846331468885
ZFAS1	0.04	0.592021219163225
ZSWIM8-AS1	0.04	0.548783466129162
ARMC2-AS1	0.05	0.451464427253322
ASH1L-AS1	0.05	0.631664856786214
COLCA1	0.05	0.518729582902673
DANCR	0.05	0.397966162183787
EPB41L4A-AS1	0.05	0.491326051872967
FGD5-AS1	0.05	0.721688476626252
FLJ20021	0.05	0.428485031906283
FTX	0.05	0.673717390499668
GAS5	0.05	0.479993590982786
HCP5	0.05	0.417968099449112
HEIH	0.05	0.644605884407092
HOTAIRM1	0.05	0.548233089265632
ITGB2-AS1	0.05	0.39752705485464
LAMA5-AS1	0.05	0.400537702324209
LINC-PINT	0.05	0.596165442440136
LINC00294	0.05	0.557698472407567
LINC00324	0.05	0.576422604518711
LINC00339	0.05	0.619149583695336
LINC00342	0.05	0.66238690887751
LINC00520	0.05	0.751620763284764
LINC00523	0.05	0.54486050063311
LINC00621	0.05	0.351053945721341
LINC00623	0.05	0.729967456923067
LINC00847	0.05	0.540162167528823
LINC00926	0.05	0.628636921753737
LINC01001	0.05	0.634670320888464
LINC01002	0.05	0.602138873885022
LINC01003	0.05	0.624165118013085
LINC01089	0.05	0.641911804851419
LINC01134	0.05	0.366451287476753
LINC01215	0.05	0.450848706630112
MALAT1	0.05	0.522419673929254
MAPKAPK5-AS1	0.05	0.5459200944179
MIAT	0.05	0.574999380551673
MIATNB	0.05	0.546354736912264
MIR155HG	0.05	0.501448965820879
MIR22HG	0.05	0.448370049505019
MORC2-AS1	0.05	0.552164615985249
NEAT1	0.05	0.658483024996456
NPTN-IT1	0.05	0.519923694268821
OIP5-AS1	0.05	0.527362724655805
OTUD6B-AS1	0.05	0.54068065391878
PCED1B-AS1	0.05	0.611691115668016
PITPNA-AS1	0.05	0.618617136732806
PRR34-AS1	0.05	0.562497459758596
PSMB8-AS1	0.05	0.432049812342876
PSMD6-AS2	0.05	0.682688150631406
RARA-AS1	0.05	0.645893957706804
SCAMP1-AS1	0.05	0.577807850251453
SENCR	0.05	0.593415737150849
SH3BP5-AS1	0.05	0.610256377920007
SLX1A-SULT1A3	0.05	0.631100869353794
SLX1B-SULT1A4	0.05	0.684678176156642
SND1-IT1	0.05	0.640843735363418
SNHG1	0.05	0.516934936056341
SNHG11	0.05	0.608883367407845
SNHG12	0.05	0.478521326447044
SNHG15	0.05	0.499769102669798
SNHG16	0.05	0.596442326336235
SNHG17	0.05	0.64630625730831
SNHG19	0.05	0.391653931463539
SNHG4	0.05	0.334388850152237
SNHG5	0.05	0.46472018450077
SNHG6	0.05	0.464122898293833
SNHG7	0.05	0.685275520971007
SNHG8	0.05	0.504566713418834
SNHG9	0.05	0.714624933073225
STAG3L5P-PVRIG2P-PILRB	0.05	0.365347545649602
THAP9-AS1	0.05	0.617787078645535
THRIL	0.05	0.375978994190609
THUMPD3-AS1	0.05	0.645615920853585
TP53TG1	0.05	0.621355373997651
TRG-AS1	0.05	0.630503649814938
USP3-AS1	0.05	0.585844328575542
WAC-AS1	0.05	0.461168340814191
XIST	0.05	0.855420846547151
ZBED5-AS1	0.05	0.519846331468885
ZFAS1	0.05	0.592021219163225
ZSWIM8-AS1	0.05	0.548783466129162
AGAP11	0.06	0.46666463003671
AGPAT4-IT1	0.06	0.573384342794843
ARMC2-AS1	0.06	0.451464427253322
ASH1L-AS1	0.06	0.631664856786214
C9orf163	0.06	0.404811335870258
COLCA1	0.06	0.518729582902673
DANCR	0.06	0.397966162183787
DGCR11	0.06	0.617604955778106
DLGAP1-AS1	0.06	0.496825326486566
EPB41L4A-AS1	0.06	0.491326051872967
FAM13A-AS1	0.06	0.599592487734208
FGD5-AS1	0.06	0.721688476626252
FLJ20021	0.06	0.428485031906283
FTX	0.06	0.673717390499668
GABPB1-AS1	0.06	0.667517210651809
GAS5	0.06	0.479993590982786
HCP5	0.06	0.417968099449112
HEIH	0.06	0.644605884407092
HOTAIRM1	0.06	0.548233089265632
ITGB2-AS1	0.06	0.39752705485464
LAMA5-AS1	0.06	0.400537702324209
LINC-PINT	0.06	0.596165442440136
LINC00106	0.06	0.477089298837177
LINC00294	0.06	0.557698472407567
LINC00324	0.06	0.576422604518711
LINC00339	0.06	0.619149583695336
LINC00342	0.06	0.66238690887751
LINC00520	0.06	0.751620763284764
LINC00523	0.06	0.54486050063311
LINC00526	0.06	0.646981707532948
LINC00528	0.06	0.632152794216686
LINC00621	0.06	0.351053945721341
LINC00623	0.06	0.729967456923067
LINC00667	0.06	0.670115776414097
LINC00847	0.06	0.540162167528823
LINC00926	0.06	0.628636921753737
LINC01001	0.06	0.634670320888464
LINC01002	0.06	0.602138873885022
LINC01003	0.06	0.624165118013085
LINC01089	0.06	0.641911804851419
LINC01134	0.06	0.366451287476753
LINC01215	0.06	0.450848706630112
MALAT1	0.06	0.522419673929254
MAPKAPK5-AS1	0.06	0.5459200944179
MIAT	0.06	0.574999380551673
MIATNB	0.06	0.546354736912264
MIR155HG	0.06	0.501448965820879
MIR22HG	0.06	0.448370049505019
MORC2-AS1	0.06	0.552164615985249
NDUFV2-AS1	0.06	0.766478435060378
NEAT1	0.06	0.658483024996456
NPTN-IT1	0.06	0.519923694268821
OIP5-AS1	0.06	0.527362724655805
OTUD6B-AS1	0.06	0.54068065391878
PCED1B-AS1	0.06	0.611691115668016
PDCD4-AS1	0.06	0.640068077201246
PITPNA-AS1	0.06	0.618617136732806
PRR34-AS1	0.06	0.562497459758596
PSMB8-AS1	0.06	0.432049812342876
PSMD6-AS2	0.06	0.682688150631406
RAD21-AS1	0.06	0.657303504254946
RARA-AS1	0.06	0.645893957706804
SCAMP1-AS1	0.06	0.577807850251453
SENCR	0.06	0.593415737150849
SEPSECS-AS1	0.06	0.517918499332187
SH3BP5-AS1	0.06	0.610256377920007
SLX1A-SULT1A3	0.06	0.631100869353794
SLX1B-SULT1A4	0.06	0.684678176156642
SND1-IT1	0.06	0.640843735363418
SNHG1	0.06	0.516934936056341
SNHG11	0.06	0.608883367407845
SNHG12	0.06	0.478521326447044
SNHG15	0.06	0.499769102669798
SNHG16	0.06	0.596442326336235
SNHG17	0.06	0.64630625730831
SNHG19	0.06	0.391653931463539
SNHG4	0.06	0.334388850152237
SNHG5	0.06	0.46472018450077
SNHG6	0.06	0.464122898293833
SNHG7	0.06	0.685275520971007
SNHG8	0.06	0.504566713418834
SNHG9	0.06	0.714624933073225
STAG3L5P-PVRIG2P-PILRB	0.06	0.365347545649602
THAP9-AS1	0.06	0.617787078645535
THRIL	0.06	0.375978994190609
THUMPD3-AS1	0.06	0.645615920853585
TP53TG1	0.06	0.621355373997651
TRG-AS1	0.06	0.630503649814938
USP3-AS1	0.06	0.585844328575542
VPS9D1-AS1	0.06	0.443792163924379
WAC-AS1	0.06	0.461168340814191
XIST	0.06	0.855420846547151
ZBED5-AS1	0.06	0.519846331468885
ZFAS1	0.06	0.592021219163225
ZSWIM8-AS1	0.06	0.548783466129162
A2M-AS1	0.07	0.549703396074908
AGAP11	0.07	0.46666463003671
AGPAT4-IT1	0.07	0.573384342794843
ARMC2-AS1	0.07	0.451464427253322
ASH1L-AS1	0.07	0.631664856786214
C9orf163	0.07	0.404811335870258
COLCA1	0.07	0.518729582902673
DANCR	0.07	0.397966162183787
DGCR11	0.07	0.617604955778106
DLGAP1-AS1	0.07	0.496825326486566
EPB41L4A-AS1	0.07	0.491326051872967
FAM13A-AS1	0.07	0.599592487734208
FGD5-AS1	0.07	0.721688476626252
FLJ20021	0.07	0.428485031906283
FTX	0.07	0.673717390499668
GABPB1-AS1	0.07	0.667517210651809
GAS5	0.07	0.479993590982786
GLIDR	0.07	0.396213241657413
HCG18	0.07	0.570887761946349
HCP5	0.07	0.417968099449112
HEIH	0.07	0.644605884407092
HOTAIRM1	0.07	0.548233089265632
HYMAI	0.07	0.587433804410286
ITGB2-AS1	0.07	0.39752705485464
ITPKB-IT1	0.07	0.39968638146593
JPX	0.07	0.53374028275406
KANSL1-AS1	0.07	0.538106040183638
LAMA5-AS1	0.07	0.400537702324209
LINC-PINT	0.07	0.596165442440136
LINC00106	0.07	0.477089298837177
LINC00294	0.07	0.557698472407567
LINC00324	0.07	0.576422604518711
LINC00339	0.07	0.619149583695336
LINC00342	0.07	0.66238690887751
LINC00520	0.07	0.751620763284764
LINC00523	0.07	0.54486050063311
LINC00526	0.07	0.646981707532948
LINC00528	0.07	0.632152794216686
LINC00621	0.07	0.351053945721341
LINC00623	0.07	0.729967456923067
LINC00667	0.07	0.670115776414097
LINC00685	0.07	0.495184710706237
LINC00847	0.07	0.540162167528823
LINC00926	0.07	0.628636921753737
LINC01001	0.07	0.634670320888464
LINC01002	0.07	0.602138873885022
LINC01003	0.07	0.624165118013085
LINC01089	0.07	0.641911804851419
LINC01134	0.07	0.366451287476753
LINC01215	0.07	0.450848706630112
MALAT1	0.07	0.522419673929254
MAPKAPK5-AS1	0.07	0.5459200944179
MIAT	0.07	0.574999380551673
MIATNB	0.07	0.546354736912264
MIR155HG	0.07	0.501448965820879
MIR22HG	0.07	0.448370049505019
MORC2-AS1	0.07	0.552164615985249
NDUFV2-AS1	0.07	0.766478435060378
NEAT1	0.07	0.658483024996456
NFYC-AS1	0.07	0.567345542017346
NPTN-IT1	0.07	0.519923694268821
OIP5-AS1	0.07	0.527362724655805
OTUD6B-AS1	0.07	0.54068065391878
PCED1B-AS1	0.07	0.611691115668016
PCOLCE-AS1	0.07	0.408352684313849
PDCD4-AS1	0.07	0.640068077201246
PITPNA-AS1	0.07	0.618617136732806
PP7080	0.07	0.454445493021303
PPP3CB-AS1	0.07	0.73012986325789
PRR34-AS1	0.07	0.562497459758596
PSMB8-AS1	0.07	0.432049812342876
PSMD6-AS2	0.07	0.682688150631406
RAD21-AS1	0.07	0.657303504254946
RARA-AS1	0.07	0.645893957706804
RUSC1-AS1	0.07	0.635080490160381
SCAMP1-AS1	0.07	0.577807850251453
SENCR	0.07	0.593415737150849
SEPSECS-AS1	0.07	0.517918499332187
SH3BP5-AS1	0.07	0.610256377920007
SLX1A-SULT1A3	0.07	0.631100869353794
SLX1B-SULT1A4	0.07	0.684678176156642
SND1-IT1	0.07	0.640843735363418
SNHG1	0.07	0.516934936056341
SNHG11	0.07	0.608883367407845
SNHG12	0.07	0.478521326447044
SNHG15	0.07	0.499769102669798
SNHG16	0.07	0.596442326336235
SNHG17	0.07	0.64630625730831
SNHG19	0.07	0.391653931463539
SNHG4	0.07	0.334388850152237
SNHG5	0.07	0.46472018450077
SNHG6	0.07	0.464122898293833
SNHG7	0.07	0.685275520971007
SNHG8	0.07	0.504566713418834
SNHG9	0.07	0.714624933073225
SSBP3-AS1	0.07	0.399955925935422
STAG3L5P-PVRIG2P-PILRB	0.07	0.365347545649602
TDRG1	0.07	0.6035091148385
THAP9-AS1	0.07	0.617787078645535
THRIL	0.07	0.375978994190609
THUMPD3-AS1	0.07	0.645615920853585
TP53TG1	0.07	0.621355373997651
TRG-AS1	0.07	0.630503649814938
USP3-AS1	0.07	0.585844328575542
VPS9D1-AS1	0.07	0.443792163924379
WAC-AS1	0.07	0.461168340814191
XIST	0.07	0.855420846547151
ZBED5-AS1	0.07	0.519846331468885
ZFAS1	0.07	0.592021219163225
ZSWIM8-AS1	0.07	0.548783466129162
A2M-AS1	0.08	0.549703396074908
AGAP11	0.08	0.46666463003671
AGPAT4-IT1	0.08	0.573384342794843
ALMS1-IT1	0.08	0.554063288387486
ARMC2-AS1	0.08	0.451464427253322
ASAP1-IT2	0.08	0.530970893253175
ASH1L-AS1	0.08	0.631664856786214
C9orf163	0.08	0.404811335870258
COLCA1	0.08	0.518729582902673
DANCR	0.08	0.397966162183787
DGCR11	0.08	0.617604955778106
DLGAP1-AS1	0.08	0.496825326486566
EPB41L4A-AS1	0.08	0.491326051872967
FAM13A-AS1	0.08	0.599592487734208
FGD5-AS1	0.08	0.721688476626252
FLJ20021	0.08	0.428485031906283
FTX	0.08	0.673717390499668
GABPB1-AS1	0.08	0.667517210651809
GAS5	0.08	0.479993590982786
GLIDR	0.08	0.396213241657413
HCG18	0.08	0.570887761946349
HCP5	0.08	0.417968099449112
HEIH	0.08	0.644605884407092
HOTAIRM1	0.08	0.548233089265632
HYMAI	0.08	0.587433804410286
INE1	0.08	0.427017448603682
ITGB2-AS1	0.08	0.39752705485464
ITPKB-IT1	0.08	0.39968638146593
JPX	0.08	0.53374028275406
KANSL1-AS1	0.08	0.538106040183638
KCNIP2-AS1	0.08	0.618785295107524
LAMA5-AS1	0.08	0.400537702324209
LINC-PINT	0.08	0.596165442440136
LINC00106	0.08	0.477089298837177
LINC00294	0.08	0.557698472407567
LINC00324	0.08	0.576422604518711
LINC00339	0.08	0.619149583695336
LINC00342	0.08	0.66238690887751
LINC00520	0.08	0.751620763284764
LINC00523	0.08	0.54486050063311
LINC00526	0.08	0.646981707532948
LINC00528	0.08	0.632152794216686
LINC00621	0.08	0.351053945721341
LINC00623	0.08	0.729967456923067
LINC00638	0.08	0.600907159400943
LINC00667	0.08	0.670115776414097
LINC00685	0.08	0.495184710706237
LINC00847	0.08	0.540162167528823
LINC00851	0.08	0.400589980279929
LINC00926	0.08	0.628636921753737
LINC01001	0.08	0.634670320888464
LINC01002	0.08	0.602138873885022
LINC01003	0.08	0.624165118013085
LINC01089	0.08	0.641911804851419
LINC01121	0.08	0.410103988183696
LINC01134	0.08	0.366451287476753
LINC01215	0.08	0.450848706630112
LINC01348	0.08	0.404111916059326
MALAT1	0.08	0.522419673929254
MAPKAPK5-AS1	0.08	0.5459200944179
MIAT	0.08	0.574999380551673
MIATNB	0.08	0.546354736912264
MIR155HG	0.08	0.501448965820879
MIR22HG	0.08	0.448370049505019
MORC2-AS1	0.08	0.552164615985249
NDUFV2-AS1	0.08	0.766478435060378
NEAT1	0.08	0.658483024996456
NFYC-AS1	0.08	0.567345542017346
NIFK-AS1	0.08	0.480075369219527
NPTN-IT1	0.08	0.519923694268821
OIP5-AS1	0.08	0.527362724655805
OTUD6B-AS1	0.08	0.54068065391878
PCED1B-AS1	0.08	0.611691115668016
PCOLCE-AS1	0.08	0.408352684313849
PDCD4-AS1	0.08	0.640068077201246
PITPNA-AS1	0.08	0.618617136732806
PP7080	0.08	0.454445493021303
PPP3CB-AS1	0.08	0.73012986325789
PRR34-AS1	0.08	0.562497459758596
PSMB8-AS1	0.08	0.432049812342876
PSMD6-AS2	0.08	0.682688150631406
RAD21-AS1	0.08	0.657303504254946
RARA-AS1	0.08	0.645893957706804
RBAKDN	0.08	0.413323795074401
RUSC1-AS1	0.08	0.635080490160381
SCAMP1-AS1	0.08	0.577807850251453
SENCR	0.08	0.593415737150849
SEPSECS-AS1	0.08	0.517918499332187
SH3BP5-AS1	0.08	0.610256377920007
SLX1A-SULT1A3	0.08	0.631100869353794
SLX1B-SULT1A4	0.08	0.684678176156642
SND1-IT1	0.08	0.640843735363418
SNHG1	0.08	0.516934936056341
SNHG11	0.08	0.608883367407845
SNHG12	0.08	0.478521326447044
SNHG15	0.08	0.499769102669798
SNHG16	0.08	0.596442326336235
SNHG17	0.08	0.64630625730831
SNHG19	0.08	0.391653931463539
SNHG4	0.08	0.334388850152237
SNHG5	0.08	0.46472018450077
SNHG6	0.08	0.464122898293833
SNHG7	0.08	0.685275520971007
SNHG8	0.08	0.504566713418834
SNHG9	0.08	0.714624933073225
SSBP3-AS1	0.08	0.399955925935422
STAG3L5P-PVRIG2P-PILRB	0.08	0.365347545649602
TDRG1	0.08	0.6035091148385
THAP9-AS1	0.08	0.617787078645535
THRIL	0.08	0.375978994190609
THUMPD3-AS1	0.08	0.645615920853585
TP53TG1	0.08	0.621355373997651
TRG-AS1	0.08	0.630503649814938
USP3-AS1	0.08	0.585844328575542
VPS9D1-AS1	0.08	0.443792163924379
WAC-AS1	0.08	0.461168340814191
XIST	0.08	0.855420846547151
ZBED5-AS1	0.08	0.519846331468885
ZFAS1	0.08	0.592021219163225
ZSWIM8-AS1	0.08	0.548783466129162
A2M-AS1	0.09	0.549703396074908
AGAP11	0.09	0.46666463003671
AGPAT4-IT1	0.09	0.573384342794843
ALMS1-IT1	0.09	0.554063288387486
ARMC2-AS1	0.09	0.451464427253322
ASAP1-IT2	0.09	0.530970893253175
ASH1L-AS1	0.09	0.631664856786214
C9orf163	0.09	0.404811335870258
CADM3-AS1	0.09	0.393278913752478
COLCA1	0.09	0.518729582902673
CTC-338M12.4	0.09	0.540033478455566
DANCR	0.09	0.397966162183787
DGCR11	0.09	0.617604955778106
DHRS4-AS1	0.09	0.568100787673748
DKFZP434A062	0.09	0.356822747458235
DLGAP1-AS1	0.09	0.496825326486566
EPB41L4A-AS1	0.09	0.491326051872967
FAM13A-AS1	0.09	0.599592487734208
FGD5-AS1	0.09	0.721688476626252
FLJ20021	0.09	0.428485031906283
FTX	0.09	0.673717390499668
GABPB1-AS1	0.09	0.667517210651809
GAS5	0.09	0.479993590982786
GLIDR	0.09	0.396213241657413
HCG18	0.09	0.570887761946349
HCP5	0.09	0.417968099449112
HEIH	0.09	0.644605884407092
HOTAIRM1	0.09	0.548233089265632
HYMAI	0.09	0.587433804410286
IL21R-AS1	0.09	0.362390060785126
INE1	0.09	0.427017448603682
ITGB2-AS1	0.09	0.39752705485464
ITPKB-IT1	0.09	0.39968638146593
JPX	0.09	0.53374028275406
KANSL1-AS1	0.09	0.538106040183638
KCNIP2-AS1	0.09	0.618785295107524
KMT2E-AS1	0.09	0.583598606018457
LAMA5-AS1	0.09	0.400537702324209
LIMD1-AS1	0.09	0.684752232543136
LINC-PINT	0.09	0.596165442440136
LINC00106	0.09	0.477089298837177
LINC00294	0.09	0.557698472407567
LINC00324	0.09	0.576422604518711
LINC00339	0.09	0.619149583695336
LINC00342	0.09	0.66238690887751
LINC00482	0.09	0.288259825326755
LINC00520	0.09	0.751620763284764
LINC00523	0.09	0.54486050063311
LINC00526	0.09	0.646981707532948
LINC00528	0.09	0.632152794216686
LINC00621	0.09	0.351053945721341
LINC00623	0.09	0.729967456923067
LINC00638	0.09	0.600907159400943
LINC00667	0.09	0.670115776414097
LINC00668	0.09	0.577167585033718
LINC00685	0.09	0.495184710706237
LINC00847	0.09	0.540162167528823
LINC00851	0.09	0.400589980279929
LINC00886	0.09	0.737285654014642
LINC00926	0.09	0.628636921753737
LINC01001	0.09	0.634670320888464
LINC01002	0.09	0.602138873885022
LINC01003	0.09	0.624165118013085
LINC01019	0.09	0.376962241453454
LINC01089	0.09	0.641911804851419
LINC01121	0.09	0.410103988183696
LINC01134	0.09	0.366451287476753
LINC01215	0.09	0.450848706630112
LINC01348	0.09	0.404111916059326
MALAT1	0.09	0.522419673929254
MAPKAPK5-AS1	0.09	0.5459200944179
MIAT	0.09	0.574999380551673
MIATNB	0.09	0.546354736912264
MIR155HG	0.09	0.501448965820879
MIR22HG	0.09	0.448370049505019
MORC2-AS1	0.09	0.552164615985249
MRGPRG-AS1	0.09	0.38456585308076
MYLK-AS1	0.09	0.460557908464307
NDUFB2-AS1	0.09	0.634517228612407
NDUFV2-AS1	0.09	0.766478435060378
NEAT1	0.09	0.658483024996456
NFYC-AS1	0.09	0.567345542017346
NIFK-AS1	0.09	0.480075369219527
NNT-AS1	0.09	0.603113872825035
NPTN-IT1	0.09	0.519923694268821
NUTM2A-AS1	0.09	0.492054682883344
OIP5-AS1	0.09	0.527362724655805
OTUD6B-AS1	0.09	0.54068065391878
PAX8-AS1	0.09	0.413578254807762
PCED1B-AS1	0.09	0.611691115668016
PCOLCE-AS1	0.09	0.408352684313849
PDCD4-AS1	0.09	0.640068077201246
PGM5-AS1	0.09	0.509467167214724
PITPNA-AS1	0.09	0.618617136732806
PP7080	0.09	0.454445493021303
PPP3CB-AS1	0.09	0.73012986325789
PRR34-AS1	0.09	0.562497459758596
PSMB8-AS1	0.09	0.432049812342876
PSMD6-AS2	0.09	0.682688150631406
RAD21-AS1	0.09	0.657303504254946
RAD51-AS1	0.09	0.685632433488267
RARA-AS1	0.09	0.645893957706804
RBAKDN	0.09	0.413323795074401
RUSC1-AS1	0.09	0.635080490160381
SCAMP1-AS1	0.09	0.577807850251453
SENCR	0.09	0.593415737150849
SEPSECS-AS1	0.09	0.517918499332187
SH3BP5-AS1	0.09	0.610256377920007
SLX1A-SULT1A3	0.09	0.631100869353794
SLX1B-SULT1A4	0.09	0.684678176156642
SND1-IT1	0.09	0.640843735363418
SNHG1	0.09	0.516934936056341
SNHG11	0.09	0.608883367407845
SNHG12	0.09	0.478521326447044
SNHG15	0.09	0.499769102669798
SNHG16	0.09	0.596442326336235
SNHG17	0.09	0.64630625730831
SNHG19	0.09	0.391653931463539
SNHG4	0.09	0.334388850152237
SNHG5	0.09	0.46472018450077
SNHG6	0.09	0.464122898293833
SNHG7	0.09	0.685275520971007
SNHG8	0.09	0.504566713418834
SNHG9	0.09	0.714624933073225
SSBP3-AS1	0.09	0.399955925935422
STAG3L5P-PVRIG2P-PILRB	0.09	0.365347545649602
TAPT1-AS1	0.09	0.56576316323854
TDRG1	0.09	0.6035091148385
THAP9-AS1	0.09	0.617787078645535
THRIL	0.09	0.375978994190609
THUMPD3-AS1	0.09	0.645615920853585
TP53TG1	0.09	0.621355373997651
