"","FeatureName","FeatureID","AvgRank"
"88","cg01839954",473,304.6
"89","cg07909292",1904,305.2
"90","cg15605448",3564,307.2
"91","cg14573833",3370,311.4
"92","cg24396271",5256,318.2
"93","cg26277709",5622,320.4
"94","cg25203031",5422,323
"95","cg13024018",3003,323.4
"96","cg03001484",786,325.6
"97","cg16977270",3845,326.4
"98","cg03421358",885,327
"99","cg24307799",5239,330.2
"100","ch.5.1829349R",5919,331
"101","cg22153994",4814,331.8
"102","cg23256393",5026,332.6
"103","cg13942604",3215,336
"104","cg25864523",5541,336.6
"105","cg08638512",2075,338
"106","cg24267428",5232,338.6
"107","cg03330254",859,341
"108","cg18210722",4095,341.2
"109","cg00735667",181,343
"110","cg08377331",2011,343
"111","cg26689792",5704,344
"112","cg12484325",2897,346.2
"113","cg04458670",1146,347
"114","cg16739118",3811,349.6
"115","cg06996609",1697,350.4
"116","cg19636627",4350,350.4
"117","cg08916340",2126,352.2
"118","ch.13.80601193R",5909,354
"119","cg12475879",2895,354.2
"120","cg09202269",2184,354.6
"121","cg04604276",1172,359
"122","cg16257629",3693,360.4
"123","cg02782630",712,363.2
"124","cg01781805",454,363.6
"125","cg15586393",3558,366.4
"126","cg24983105",5381,369.8
"127","cg12590721",2924,370
"128","cg02039712",526,372.8
"129","cg16555184",3756,373.8
"130","cg22145091",4810,378
"131","cg01493678",380,382.8
"132","cg10257671",2418,384.2
"133","cg10586997",2495,386.6
"134","cg15963109",3619,391.6
"135","cg20502080",4517,392.2
"136","cg12992778",2999,392.8
"137","cg08477740",2036,396.6
"138","cg11255394",2626,398.6
"139","cg12683342",2947,399.8
"140","cg17723597",3997,401.8
"141","cg00171565",45,402.4
"142","cg26688191",5703,403.2
"143","cg12823748",2970,405
"144","cg06200494",1537,410.4
"145","cg21599089",4719,412
"146","cg20657849",4544,412.8
"147","cg24254196",5229,413.4
"148","cg12526807",2908,414.8
"149","cg00979195",240,415.2
"150","cg17542545",3970,416.6
"151","cg05308484",1345,417.4
"152","cg19345671",4299,417.6
"153","cg03735916",970,419.2
"154","cg20208133",4466,423
"155","cg23104227",4985,423.6
"156","cg19837815",4394,424
"157","cg15855036",3602,424.2
"158","cg26361757",5639,425.8
"159","cg21984020",4784,426.4
"160","cg23255912",5025,426.4
"161","cg06866163",1665,430.6
"162","cg15877883",3605,431.2
"163","cg23709117",5103,436.8
"164","cg22145916",4811,443.6
"165","cg22148663",4813,444.2
"166","cg25319826",5447,444.6
"167","cg19320294",4289,445.2
"168","cg22283297",4844,445.8
"169","cg12990392",2998,448.8
"170","cg27374881",5846,448.8
"171","cg18091028",4079,455
"172","cg08205843",1971,460.4
"173","cg13860981",3195,460.8
"174","ch.20.1002962F",5914,461.8
"175","cg12169977",2820,462.2
"176","cg12582734",2921,462.4
"177","cg02939781",765,467.8
"178","cg09325384",2215,468
"179","cg13717023",3159,468.4
"180","cg11316510",2636,470
"181","cg03089717",813,471
"182","cg04738552",1199,474
"183","cg11354576",2645,475.8
"184","cg14093570",3257,477.8
"185","cg26284390",5625,479.6
"186","cg21558268",4711,480.8
"187","cg12320263",2853,482.2
"188","cg07105696",1719,483.4
"189","cg05027972",1276,484.2
"190","cg11995303",2778,486.4
"191","cg21383151",4685,486.8
"192","ch.19.1528169R",5912,487.4
"193","cg13753488",3170,487.6
"194","cg22128918",4805,490.2
"195","cg03887502",1010,491.2
"196","cg16172657",3670,494
"197","cg09092161",2156,499
"198","cg13922451",3214,499.2
"199","cg22586236",4902,499.6
"200","cg20133191",4452,502.6
"201","cg12836085",2974,503.2
"202","cg07674753",1863,504.2
"203","cg13855261",3192,506.8
"204","cg07970724",1917,508
"205","cg26429629",5656,508.2
"206","cg03571129",920,511.8
"207","cg23547286",5080,516.6
"208","cg23025654",4971,518
"209","cg21581287",4715,518.6
"210","cg10291119",2429,519.6
"211","cg05153380",1304,527.2
"212","cg01338296",343,527.6
"213","cg19586165",4340,529.6
"214","cg06428288",1574,533
"215","cg16015395",3631,533.4
"216","cg23316599",5040,533.8
"217","cg14440550",3338,534.6
"218","cg22927696",4956,537.6
"219","cg24639069",5302,538
"220","cg08841910",2110,540.4
"221","cg16775746",3817,543
"222","cg20406635",4494,544
"223","cg11142944",2602,544.6
"224","cg00168009",43,548
"225","cg00693004",169,549.2
"226","cg09821112",2312,549.4
"227","cg13204568",3048,549.8
"228","cg07342790",1784,550.8
"229","cg26588076",5687,551.6
"230","cg06330797",1557,556.4
"231","cg04929173",1256,560.4
"232","cg20815026",4576,560.8
"233","cg11437226",2663,562.4
"234","cg22654949",4912,563.8
"235","cg00673020",167,564.8
"236","cg19128723",4262,566.4
"237","cg22645161",4908,567
"238","cg01019028",253,567.6
"239","cg10438552",2458,569
"240","cg15909006",3612,570.8
"241","cg09047734",2145,572
"242","cg19931348",4413,572
"243","cg14156650",3271,572.2
"244","cg23207710",5006,572.4
"245","cg22062231",4795,572.8
"246","cg10224037",2415,574.4
"247","cg26879945",5749,575.8
"248","cg05087659",1287,576.8
"249","cg21821659",4741,581.2
"250","cg25341275",5449,582
"251","cg03392753",876,587
"252","cg26049744",5574,592.8
"253","cg03314548",858,593.6
"254","cg05886241",1477,593.8
"255","cg19802542",4386,594.6
"256","cg09217609",2188,596
"257","cg03641469",937,597
"258","cg00859877",213,597.8
"259","cg03259887",843,599.6
"260","cg20928777",4599,600
"261","cg14488661",3348,600.2
"262","cg23141902",4992,602.2
"263","cg22381196",4865,606.2
"264","cg13735757",3164,607.6
"265","cg08612140",2066,608
"266","cg11502565",2672,609
"267","ch.2.3528555R",5913,609.2
"268","cg04422625",1132,610.8
"269","cg21243939",4662,611.6
"270","cg23906224",5148,611.6
"271","cg09085417",2155,612
"272","cg10396177",2448,613.6
"273","cg23490638",5069,615.4
"274","cg09093035",2157,619.6
"275","cg16143007",3660,620.4
"276","cg17115250",3880,620.6
"277","cg08724866",2090,623
"278","cg00869989",218,623.2
"279","cg19866325",4400,625.2
"280","cg16073846",3645,626.4
"281","cg27215033",5811,628.2
"282","cg07201475",1747,630
"283","cg26147351",5592,631
"284","cg01353608",347,631.8
"285","cg04157308",1076,633.4
"286","cg13502931",3107,633.4
"287","cg24372565",5248,633.8
"288","cg02566224",653,636
"289","cg08895440",2119,641
"290","cg00375457",90,641.8
"291","ch.1.4544771F",5902,641.8
"292","cg04873026",1239,646.6
"293","cg12569206",2918,646.6
"294","cg16244664",3690,646.6
"295","cg12458866",2888,647.2
"296","cg21080246",4627,650
"297","cg17534899",3967,651
"298","cg00995807",246,653.8
"299","ch.20.848555F",5915,655.2
"300","cg13555817",3116,656
"301","cg02962602",773,656.6
"302","cg02725065",700,659
"303","cg25359978",5455,660.4
"304","cg04438814",1135,660.8
"305","cg26296781",5626,661
"306","cg15039826",3451,661.2
"307","cg18942213",4236,661.8
"308","cg23580410",5085,662.6
"309","cg01504705",383,664
"310","cg15880846",3607,664.6
"311","cg03122583",820,665.4
"312","cg14657520",3393,666.4
"313","cg07532758",1836,667.4
"314","cg25780109",5531,669.8
"315","cg02627286",669,671
"316","cg21848700",4746,671.2
"317","cg05740567",1447,674.8
"318","cg08863777",2115,677.2
"319","cg10068432",2372,677.8
"320","cg18650367",4180,679.2
"321","cg00705805",172,679.8
"322","cg06602498",1610,681.4
"323","cg19760323",4380,687.6
"324","cg16989822",3847,689.2
"325","cg06584503",1605,690
"326","cg21209815",4653,696
"327","cg06158184",1531,701.2
"328","cg08121984",1945,703.6
"329","cg07776629",1877,707
"330","cg21192260",4649,708.4
"331","cg24041977",5179,709.4
"332","cg25719439",5522,709.8
"333","cg05977191",1502,710.4
"334","cg11186593",2610,712
"335","cg27130630",5796,712.4
"336","cg14640149",3391,713
"337","cg11400286",2655,713.4
"338","cg10945028",2561,713.6
"339","cg00455450",114,714.8
"340","cg19599251",4342,719.6
"341","cg11314779",2634,720.2
"342","cg03659012",943,724
"343","cg01858866",476,724.6
"344","cg24477401",5269,725
"345","cg22116041",4801,727.6
"346","cg19048535",4251,732.4
"347","cg09495207",2248,733
"348","cg12732805",2955,733.8
"349","cg16700025",3799,735.2
"350","cg23322676",5043,735.2
"351","cg04757806",1209,738.2
"352","cg26547236",5676,739.4
"353","cg16478792",3736,741.6
"354","cg08439468",2025,742.4
"355","cg04980291",1265,743.6
"356","cg02564259",651,745
"357","cg18618429",4172,753.2
"358","cg25414370",5470,753.4
"359","cg17456616",3946,753.6
"360","cg25693317",5515,754.6
"361","cg02893019",747,754.8
"362","cg15321195",3510,755.4
"363","cg16581271",3761,756.2
"364","cg13835894",3187,759.4
"365","cg22507989",4886,760.2
"366","cg25371692",5459,760.4
"367","cg01266338",320,760.6
"368","cg24417845",5261,762
"369","cg27282281",5828,765.6
"370","cg17155577",3887,766.8
"371","cg24524366",5281,769.4
"372","cg13559478",3118,770
"373","cg17658634",3984,770.4
"374","cg25010880",5386,772.2
"375","cg10633147",2502,772.4
"376","cg18289746",4107,773.6
"377","cg16008273",3629,777.4
"378","cg21499430",4704,777.8
"379","cg10527285",2480,779
"380","cg01782668",455,781.2
"381","cg03560597",917,782.6
"382","cg13802506",3180,783.8
"383","cg15731108",3581,785.6
"384","cg11368502",2647,787.6
"385","cg16679543",3790,790.8
"386","cg13234275",3054,791.6
"387","cg15262352",3499,793.2
"388","cg15830431",3595,797.2
"389","cg00454592",113,797.8
"390","cg02233750",573,800
"391","cg14460715",3343,803.8
"392","cg02956522",769,806.4
"393","cg07624915",1849,806.6
"394","cg17174023",3893,810
"395","cg10128894",2391,810.6
"396","cg02119792",540,812.8
"397","cg14834257",3418,812.8
"398","cg09119244",2160,813
"399","cg02617132",666,814.2
"400","cg10183671",2407,815
"401","cg03208016",833,820
"402","cg10874556",2543,820.2
"403","cg00142925",31,820.8
"404","cg00533620",135,821.4
"405","cg22291371",4848,824.2
"406","cg26343563",5634,828
"407","cg27067158",5785,831.2
"408","cg09840850",2316,831.8
"409","cg03092271",815,837.6
"410","cg01723291",438,837.8
"411","cg08354106",2007,839.4
"412","cg15391491",3526,840
"413","cg24860970",5361,844.2
"414","cg06349450",1560,845
"415","cg09840174",2315,845.4
"416","cg22422251",4873,846.4
"417","cg05417285",1373,847.4
"418","cg17958423",4052,857
"419","cg23887129",5143,860.4
"420","cg27642181",5895,862.2
"421","cg24082174",5188,863.2
"422","cg25172307",5416,864
"423","cg05571310",1412,864.8
"424","cg26668626",5701,865.6
"425","cg13626505",3136,866.2
"426","cg02695074",691,869
"427","cg05070742",1283,869.2
"428","cg06218622",1539,871.4
"429","cg21239840",4661,872.8
"430","cg14412317",3332,873.6
"431","cg10008710",2362,874.4
"432","cg20831741",4581,874.4
"433","cg24973591",5380,876
"434","cg10812733",2530,880.2
"435","cg08579916",2059,880.4
"436","cg02994349",783,881.4
"437","cg24666790",5312,882.8
"438","cg21995068",4785,884
"439","cg27177779",5804,884.4
"440","cg02197392",562,885
"441","cg19378537",4309,885.6
"442","cg02639931",672,886.8
"443","cg10684686",2507,889
"444","cg13057857",3011,889.4
"445","cg04012896",1048,892.6
"446","cg13601079",3132,893.8
"447","cg22755008",4927,894.4
"448","cg07766779",1874,898
"449","cg15247031",3496,900.6
"450","cg15433798",3534,902
"451","cg19759228",4378,903.4
"452","cg20197861",4463,909
"453","cg07530241",1835,914.8
"454","cg27443693",5862,918
"455","cg20200605",4464,922.4
"456","cg14375163",3323,923.2
"457","cg03272225",848,925.2
"458","cg04554131",1160,926.6
"459","cg10192736",2409,928.2
"460","cg22237988",4832,930.6
"461","cg13891659",3205,932.8
"462","cg18289303",4106,932.8
"463","cg17056317",3864,933.2
"464","cg26569395",5682,934
"465","cg02685016",689,935.2
"466","cg08440920",2026,935.2
"467","cg19078574",4255,936.4
"468","cg17799033",4012,937.6
"469","cg17439158",3943,938.6
"470","cg15458801",3541,939
"471","cg16319142",3704,940.6
"472","cg05608383",1422,941.8
"473","cg10207553",2413,945
"474","cg15188908",3488,945.4
"475","cg21881537",4755,945.8
"476","cg25692002",5514,953.6
"477","cg20553058",4525,954.2
"478","cg00811081",201,956.4
"479","cg11888757",2759,958.2
"480","cg11012584",2571,958.6
"481","cg17785202",4010,959.6
"482","cg01815679",466,961
"483","cg06963711",1691,961.6
"484","cg11608241",2693,963
"485","cg16329897",3707,963.6
"486","cg14728503",3406,966.6
"487","cg05545808",1408,968
"488","cg13256308",3057,970.2
"489","cg12161959",2817,970.6
"490","cg20180562",4461,971.2
"491","cg10149326",2398,974.6
"492","cg03659153",944,977.4
"493","cg00590251",150,978.4
"494","cg17868772",4029,978.8
"495","cg03047121",805,979.4
"496","cg09275408",2203,983.4
"497","cg00372692",88,985.2
"498","cg21579539",4714,986.4
"499","cg26362576",5640,988.4
"500","cg06909932",1679,988.6
"501","cg01101058",272,988.8
"502","cg17846100",4027,990.6
"503","cg11846226",2754,996.4
"504","cg24994111",5385,996.4
"505","cg26634885",5695,998.4
"506","cg00409861",102,999.8
"507","cg23220823",5014,1001.4
"508","cg02907176",752,1003
"509","cg26735215",5717,1003.2
"510","cg12292402",2843,1007.6
"511","cg13215869",3050,1007.6
"512","cg24393602",5255,1008.2
"513","cg06749789",1637,1010.6
"514","cg23252587",5024,1012
"515","cg19693626",4367,1012.6
"516","cg01288748",329,1013.8
"517","cg25669900",5508,1014
"518","cg21370986",4682,1015.2
"519","cg00611548",155,1017.6
"520","cg09428681",2233,1018.8
"521","cg02459107",625,1019
"522","cg06937357",1684,1019.2
"523","cg27213872",5810,1022.2
"524","cg16222698",3682,1023.2
"525","cg22271663",4839,1025.2
"526","cg12832449",2972,1030.4
"527","cg14620352",3382,1031
"528","cg21341785",4679,1033.4
"529","cg06172859",1535,1036
"530","cg24073051",5187,1039.4
"531","cg10197546",2410,1040
"532","cg10782811",2522,1040
"533","cg07049833",1706,1047.4
"534","cg04050020",1058,1049
"535","cg00520612",130,1051.2
"536","cg04574459",1165,1051.2
"537","cg00563090",142,1053
"538","cg02538014",643,1053.2
"539","cg00777537",194,1055.2
"540","cg24149364",5204,1055.4
"541","cg02565647",652,1056.4
"542","cg23827657",5133,1057.8
"543","cg25413757",5469,1060
"544","cg14595786",3374,1062.2
"545","cg05357320",1359,1062.4
"546","cg03157610",826,1063.4
"547","cg03664802",945,1064.2
"548","cg11240578",2623,1065.6
"549","cg04202002",1088,1069
"550","cg16601893",3771,1071.2
"551","cg16735901",3810,1071.4
"552","cg27540823",5882,1073.4
"553","cg02207779",565,1078.6
"554","cg22611980",4905,1079
"555","cg00906147",229,1079.6
"556","cg07950469",1913,1079.6
"557","cg03202416",832,1081.6
"558","cg02908189",753,1083.8
"559","cg01835436",471,1084.2
"560","cg10894441",2549,1085.2
"561","cg11518257",2675,1085.6
"562","cg13160874",3040,1087.8
"563","cg19424343",4319,1090.8
"564","cg07985933",1919,1092.4
"565","cg14858951",3423,1094.2
"566","cg03804206",990,1095.6
"567","cg19338212",4293,1097.6
"568","cg14635199",3389,1099.4
"569","cg14426517",3334,1100
"570","cg01264765",319,1100.8
"571","cg13664964",3148,1104.4
"572","cg08380262",2013,1106.2
"573","cg21412748",4692,1109.2
"574","cg02277850",582,1109.8
"575","cg00527440",133,1110
"576","cg03010388",789,1110.2
"577","cg03926906",1020,1111.2
"578","cg27560452",5884,1111.6
"579","cg02386599",608,1113
"580","cg20997463",4616,1113
"581","cg07517909",1831,1114.4
"582","cg02951357",767,1116.8
"583","cg07382923",1795,1118.2
"584","cg00313795",78,1118.4
"585","cg23829831",5134,1119.6
"586","cg05011113",1272,1122.8
"587","cg08683012",2082,1126.8
"588","cg06910580",1680,1127.4
"589","cg07257649",1761,1128.6
"590","cg08170869",1959,1130.6
"591","cg09728506",2291,1131
"592","cg20020143",4434,1132
"593","cg17344770",3926,1132.4
"594","cg19082359",4256,1132.4
"595","cg06476131",1584,1133.6
"596","cg07351592",1787,1136.4
"597","cg01817009",467,1137.4
"598","cg10111716",2387,1138.6
"599","cg23496314",5071,1139.8
"600","cg05312278",1348,1141.6
"601","cg18023065",4064,1144.8
"602","cg18197377",4092,1160.6
"603","cg07627464",1851,1163
"604","cg27561306",5885,1163.2
"605","cg09261262",2199,1163.8
"606","cg08625289",2071,1165.2
"607","cg20594765",4531,1166.6
"608","cg06969622",1692,1169.2
"609","cg21532913",4710,1172
"610","cg23780491",5122,1173.6
"611","cg05656180",1427,1175
"612","cg01663968",423,1175.2
"613","cg19909865",4407,1177.4
"614","cg20539234",4520,1178.4
"615","cg03041738",801,1178.8
"616","cg03521258",907,1179
"617","cg27059228",5784,1180.2
"618","cg05979819",1504,1181.8
"619","cg11344927",2642,1184.8
"620","ch.10.5920188R",5905,1187
"621","cg05784157",1459,1187.6
"622","cg16149077",3663,1188
"623","cg22512573",4888,1189.8
"624","cg22671580",4917,1189.8
"625","cg16045340",3640,1190.6
"626","cg23273333",5028,1190.8
"627","cg20992330",4614,1194.4
"628","cg22721765",4924,1204
"629","cg23973801",5162,1204.4
"630","cg22396033",4868,1205.4
"631","cg01703736",431,1207.2
"632","cg18322765",4112,1207.8
"633","cg03573961",921,1213
"634","cg00845742",209,1213.6
"635","cg17918906",4044,1213.8
"636","cg12098015",2799,1214.2
"637","cg02530668",640,1216.6
"638","cg06869965",1669,1222.4
"639","cg19954348",4417,1222.4
"640","cg16724070",3808,1224.6
"641","cg15602841",3561,1227
"642","cg00302083",73,1227.8
"643","cg01031032",256,1229.2
"644","cg00162862",40,1230.4
"645","cg24153754",5205,1230.4
"646","cg02500917",632,1230.6
"647","cg13041597",3007,1234.8
"648","cg01765529",450,1235.8
"649","cg12487914",2899,1237
"650","cg18382341",4127,1237.8
"651","cg25870680",5542,1238.2
"652","cg18363268",4123,1239
"653","cg22331666",4856,1239.2
"654","cg07356515",1789,1241
"655","cg25153601",5414,1244.4
"656","cg24321030",5243,1244.8
"657","cg23762359",5121,1245.4
"658","cg06032540",1511,1247
"659","cg19551225",4332,1248
"660","cg07434855",1805,1249
"661","cg01877937",481,1250
"662","cg19973121",4424,1253.4
"663","cg26947766",5761,1255
"664","cg07470314",1813,1256
"665","cg03701930",958,1259
"666","cg01076217",265,1261.2
"667","cg24525646",5282,1264.4
"668","cg09269013",2202,1265.2
"669","cg17052816",3862,1266.2
"670","cg12914062",2988,1268.2
"671","cg17876050",4030,1269.6
"672","cg00990974",244,1270
"673","cg24312537",5240,1271.8
"674","cg12216318",2828,1273.6
"675","cg05480730",1387,1273.8
"676","cg21913981",4764,1274
"677","cg08727239",2092,1274.6
"678","cg19676100",4362,1275
"679","cg26848478",5743,1275.6
"680","cg04254693",1104,1276.6
"681","cg24955114",5377,1277.6
"682","cg16973568",3843,1280
"683","cg08500017",2042,1280.2
"684","cg01613337",411,1282.4
"685","cg20025658",4435,1283.8
"686","cg21521117",4709,1285.4
"687","cg09998474",2359,1287.6
"688","cg04495299",1156,1290.8
"689","cg18019451",4063,1291.4
"690","cg13973325",3225,1291.6
"691","cg19118212",4261,1295.2
"692","cg19848629",4397,1295.6
"693","cg07264682",1763,1296.2
"694","cg04407317",1128,1296.6
"695","cg25283577",5438,1297.6
"696","cg12544411",2913,1298
"697","cg16406226",3724,1298
"698","cg19750232",4376,1299.6
"699","cg08037937",1930,1300.8
"700","cg10126409",2390,1302
"701","cg26610167",5690,1303.2
"702","cg22042833",4792,1305.8
"703","cg13771850",3173,1306.8
"704","cg01277072",325,1308.4
"705","cg12274443",2839,1308.6
"706","cg04667246",1187,1308.8
"707","cg24006253",5168,1309.4
"708","cg23729050",5110,1310.6
"709","cg19831698",4391,1311.8
"710","cg01086895",268,1318
"711","cg08610901",2065,1319
"712","cg02794984",718,1319.6
"713","cg05455729",1381,1322
"714","cg17905708",4040,1322.2
"715","cg08282819",1993,1324
"716","cg10456168",2463,1324
"717","cg23550295",5081,1324.8
"718","cg01235463",309,1325
"719","cg27561452",5886,1325
"720","cg17993296",4058,1329
"721","cg15467759",3542,1332
"722","cg01618660",413,1332.2
"723","cg01810875",465,1332.2
"724","cg00853480",211,1335.2
"725","cg00461753",118,1336.8
"726","cg23205183",5005,1338.2
"727","cg02720091",697,1338.6
"728","cg01061714",261,1340.8
"729","cg17393321",3934,1342.4
"730","cg17311921",3923,1346.6
"731","cg21246991",4664,1351.4
"732","cg18079845",4077,1352.8
"733","cg20464068",4512,1354.2
"734","cg05129817",1295,1358.6
"735","cg14286443",3302,1361.8
"736","cg21928095",4768,1365.8
"737","cg25538984",5485,1366.4
"738","cg04002935",1041,1369.6
"739","cg20741319",4562,1370.6
"740","cg26074618",5578,1372.2
"741","cg19403339",4313,1375.4
"742","cg09407507",2226,1376
"743","cg10060065",2371,1378
"744","cg17400609",3937,1378.8
"745","cg13438631",3090,1380
"746","cg01210307",303,1381.6
"747","cg03705284",960,1382.4
"748","cg23949969",5157,1382.6
"749","cg09149246",2167,1383.2
"750","cg06189303",1536,1383.8
"751","cg15049370",3454,1385.2
"752","cg13081704",3015,1388.8
"753","cg02635033",671,1389.8
"754","cg11714200",2723,1391.6
"755","cg17439480",3944,1391.8
"756","cg12257397",2836,1395.8
"757","cg05001758",1270,1396.2
"758","cg15607367",3565,1399.8
"759","cg00871979",219,1400.2
"760","cg15241888",3495,1400.4
"761","cg19832565",4392,1405.4
"762","cg20357538",4487,1406.6
"763","cg25556464",5489,1408.4
"764","cg04230699",1099,1411.4
"765","cg26728422",5715,1412.6
"766","cg01400750",358,1413
"767","cg16419034",3727,1416
"768","cg09701880",2286,1417.2
"769","cg01030481",255,1425.2
"770","cg22175178",4820,1426.6
"771","cg04740558",1201,1427.2
"772","cg23128651",4989,1428.6
"773","cg11074047",2585,1429.8
"774","cg08704154",2087,1432.4
"775","cg10882226",2546,1432.4
"776","cg15805104",3592,1434.6
"777","cg09400887",2225,1435.4
"778","cg14904697",3432,1436.4
"779","cg24411870",5259,1436.4
"780","cg02779164",710,1437.8
"781","cg00946753",235,1438.8
"782","cg15247500",3497,1442.2
"783","cg20459430",4511,1444
"784","cg13118410",3024,1446.2
"785","cg25626427",5503,1446.4
"786","cg27454300",5864,1447
"787","cg17807479",4013,1447.8
"788","cg25968394",5558,1448
"789","cg06866375",1666,1448.4
"790","cg10701252",2511,1448.8
"791","cg02766207",707,1449.2
"792","cg17495792",3959,1449.2
"793","cg13378649",3079,1452.4
"794","cg07505478",1825,1453.6
"795","cg20621463",4536,1455
"796","cg13189687",3046,1455.6
"797","cg26496920",5664,1455.8
"798","cg16489610",3738,1456.6
"799","cg06485603",1586,1461.2
"800","cg00863099",215,1461.8
"801","cg01496199",382,1462.6
"802","cg24509331",5277,1464.6
"803","cg00197191",50,1466.4
"804","cg11779299",2736,1466.4
"805","cg26546664",5675,1466.4
"806","cg10402995",2452,1468.4
"807","cg24265969",5231,1470.8
"808","cg19405200",4316,1471
"809","cg15235798",3493,1471.8
"810","cg13711592",3156,1473
"811","cg27279968",5827,1473.8
"812","cg15415509",3532,1474.2
"813","cg02823132",724,1474.6
"814","cg07064592",1712,1474.8
"815","cg14866419",3426,1476.6
"816","cg19345244",4298,1482
"817","cg10908625",2552,1483.4
"818","cg17514420",3963,1483.6
"819","cg03294207",853,1485
"820","cg12076012",2793,1486.4
"821","cg05936194",1489,1489.6
"822","cg18941031",4235,1491.8
"823","cg12548348",2914,1492
"824","cg00626068",158,1492.2
"825","cg01269044",321,1492.6
"826","cg12623918",2933,1492.8
"827","cg02811156",721,1493.2
"828","cg17414580",3938,1493.2
"829","cg15454598",3539,1495
"830","cg24916165",5373,1495.8
"831","cg10510557",2474,1496.6
"832","cg20935784",4601,1497
"833","cg12482231",2896,1498.4
"834","cg18943588",4238,1499
"835","cg10951591",2565,1500.2
"836","cg08635931",2074,1500.4
"837","cg17880210",4032,1500.6
"838","cg18645101",4178,1501.2
"839","cg11708870",2721,1503.2
"840","cg26071746",5577,1504
"841","cg06708562",1628,1506
"842","cg27407390",5853,1507.4
"843","cg18363143",4122,1507.6
"844","cg21957905",4775,1507.6
"845","cg23881693",5142,1508.6
"846","cg08027748",1926,1508.8
"847","cg08193322",1966,1508.8
"848","cg26262033",5618,1509
"849","cg16373010",3719,1509.4
"850","cg19185339",4268,1509.6
"851","cg26905826",5753,1511.8
"852","cg26194775",5601,1513.8
"853","cg04175833",1080,1514.6
"854","cg23334433",5047,1516.6
"855","cg00223877",55,1517
"856","cg16101581",3653,1517.2
"857","cg16900589",3835,1518.6
"858","cg14256511",3295,1520.6
"859","cg11923207",2766,1522.6
"860","cg16210324",3679,1524.8
"861","cg15309751",3509,1525.8
"862","cg24686610",5323,1527.6
"863","cg19101460",4258,1528.2
"864","cg09969018",2352,1530.8
"865","cg24298539",5237,1530.8
"866","cg26429169",5655,1531
"867","cg13424529",3087,1533.2
"868","cg08564027",2055,1535.4
"869","cg16791528",3823,1535.4
"870","cg20006652",4428,1537.2
"871","cg07253264",1759,1537.6
"872","cg23110353",4987,1539
"873","cg18576635",4160,1541
"874","cg18818048",4210,1541
"875","cg22887748",4948,1541.4
"876","cg11346764",2643,1542.8
"877","cg08069147",1934,1543.2
"878","cg03784956",986,1546
"879","cg04578631",1167,1547
"880","cg16251576",3692,1550.2
