id	CMS1-score	CMS2-score	CMS3-score	CMS4-score
MXRA8	0	0	0	0.4041
ASRGL1	0	0	0.4009	0
OLR1	0	-0.2017	0	0.3959
TCN1	0	-0.142	0.3937	0
WARS	0.3928	-0.0859	0	0
CDX2	-0.3916	0.2213	0	0
C11orf92	0	0	0.3903	0
ARMCX1	0	-0.0457	0	0.3894
HSPA4L	0.3886	0	0	0
VGLL3	0	-0.0695	0	0.388
RSPH1	0.3868	0	0	0
PLAGL2	-0.3607	0.3859	0	0
GLT8D2	0	-0.0443	0	0.3842
NAP1L3	0	-0.0051	0	0.3841
DCN	0	0	0	0.3837
CMTM3	0	-0.049	0	0.3831
GLI3	0	-0.0953	0	0.3818
NARR	0	-0.0662	0	0.3807
CEL	-0.3197	0.3794	0	0
ASPN	0	0	0	0.3785
MLH1	-0.3781	0	0	0
TUBB6	0	-0.1136	0	0.3759
SPARC	0	-0.025	0	0.3741
MFAP5	0	0	0	0.3727
LOC101929549	0	0	0.3707	0
PDGFC	0	0	0	0.3683
CTSE	0.3673	-0.246	0	0
SSPN	0	-0.0401	0	0.3664
INHBA	0	-0.1003	0	0.3664
TYMS	0.366	0	0	0
VNN1	0.3659	-0.1097	0	0
TMEM45A	0	-0.3646	0	0.2529
COL6A2	0	-0.0342	0	0.364
PPAPDC1A	0	-0.0831	0	0.3632
GLIS2	0	0	0	0.3631
TDGF1	-0.3629	0.2212	0	0
MIA3	0	0	0.3615	0
A1CF	-0.3608	0.1412	0	0
CLDN11	0	0	0	0.3569
TRIM7	0.3566	-0.0089	0	0
HSD17B6	0	-0.0395	0	0.3564
CAPN9	0	0	0.3559	0
MPDZ	0	0	0	0.3557
LOXL1	0	-0.0607	0	0.3487
DPYSL3	0	-0.0293	0	0.3486
SLC5A6	-0.0976	0.3474	0	0
COL6A3	0	-0.072	0	0.3468
LOC101929880	-0.3466	0.2435	0	0
GPC6	0	-0.0376	0	0.3454
NDN	0	0	0	0.3451
PLXDC2	0	-0.1326	0	0.345
SERPING1	0	-0.1256	0	0.3447
CTHRC1	0	-0.0632	0	0.3445
DFNA5	0	0	0	0.3445
SFRP4	0	0	0	0.3444
SOCS6	0.344	0	0	0
CHAC2	0.3426	-0.0043	0	0
LY6G6D	-0.3422	0.3207	0	0
COL8A1	0	0	0	0.3406
QPRT	-0.3364	0.2383	0	0
ABAT	-0.3356	0.3184	0	0
COMP	0	0	0	0.3352
GPNMB	0	-0.1908	0	0.3349
ARL4C	0	-0.1422	-0.0188	0.3344
TIMP3	0	0	0	0.3336
CRYAB	0	0	0	0.3336
LGALS1	0	-0.148	0	0.3324
PLK2	0.3317	-0.2854	0	0
LOC101928916	0	-0.1658	0	0.3305
TGFB1I1	0	0	0	0.3301
ZNF165	0.3295	0	0	0
PLLP	0.3294	-5e-04	0	0
NR3C1	0	-0.1409	0	0.3286
IFI6	0.3275	-0.083	0	0
SYNC	0	-0.0395	0	0.3273
MXRA5	0	-0.0985	0	0.3272
PRRX1	0	-0.1079	0	0.3272
ZNF532	0	-0.0489	0	0.3252
KIAA1462	0	-0.0542	0	0.3251
CLMP	0	-0.1025	0	0.3246
AGR2	0.3245	-0.1127	0.0956	0
SDC2	0	0	0	0.3238
COL11A1	0	-0.0449	0	0.3228
CREB3L4	0	0	0.3226	0
AOC3	0	0	0	0.3208
RAI14	0	-0.0198	0	0.3191
SRSF6	0.3186	0	0	0
LOC100132891	0	-0.0206	0	0.3172
OLFML2B	0	-0.0116	0	0.317
SERPINB2	0.3164	-0.0222	0	0
TUBA1A	0	0	0	0.3158
CYS1	0	0	0	0.3152
FAM19A5	0	0	0	0.315
C1R	0	-0.036	0	0.3124
PRICKLE1	0	0	0	0.3122
CTSK	0	-0.0133	0	0.311
FLNA	0	-0.0033	0	0.311
LOC100505501	0	0	0.3105	0
LUM	0	-0.0547	0	0.3105
FIBIN	0	0	0	0.3098
NUAK1	0	-0.0234	0	0.3091
CHP1	0.309	0	0	0
CCDC68	0.3083	0	0	0
JAK2	0.3075	-0.1073	0	0
COX7A1	0	0	0	0.3071
GNLY	0.307	0	0	0
CRISPLD1	0	0	0	0.307
KYNU	0.3068	-0.2003	0	0
SLIT2	0	0	0	0.3065
OLFML1	0	0	0	0.3057
GIF	0	0	0.3055	0
PXDN	0	-0.0684	0	0.3044
GFPT2	0	-0.059	0	0.3031
FUT8	0.3	-0.2553	0	0
PTRF	0	-0.0154	0	0.2991
PDGFRB	0	0	0	0.2978
SEMA5A	-0.2976	0	0	0
SRPX	0	-0.0746	0	0.2961
TCEAL7	0	0	0	0.2955
TFF2	0.2947	0	0	0
FXYD6	0	0	0	0.2939
SGCE	0	-0.0225	0	0.2931
THY1	0	0	0	0.2924
EML1	0	0	0	0.2918
ASCL2	-0.2733	0.29	0	0
PCOLCE	0	0	0	0.2894
LTBP1	0	0	0	0.2892
EPM2AIP1	-0.2889	0	0	0
AP1S3	0.2866	0	0	0
PLN	0	-0.0242	0	0.2863
HEG1	0	-0.0022	0	0.2855
TIMM21	0.2841	0	0	0
CACNA2D1	0	0	0	0.2823
CELP	-0.1561	0.282	0	0
LOC100996668	0	0	0	0.2812
TFCP2L1	-0.2802	0.0099	0	0
GALNT8	0	0	0.2799	0
SLC18B1	0.2786	-0.0912	0	0
CCDC80	0	0	0	0.2782
GAS1	0	-0.165	0	0.2778
GBP4	0.2769	0	0	0
ZCCHC24	0	0	0	0.2767
TWIST1	0	-0.0038	0	0.2764
COL15A1	0	0	0	0.2761
FARP1	-0.2756	0.262	0	0
TNFSF9	0.2749	0	0	0
NXN	0	-0.0516	0	0.2749
CYP1B1	0	-0.009	0	0.2731
SNAI2	0	-0.0439	0	0.2724
RBM6	-0.2717	0	0	0
FOXD1	0.2712	0	0	0
TNFAIP6	0	-0.1777	0	0.2709
TRPC1	0	0	0	0.2703
GCNT3	0.2701	-0.1467	0	0
TMEM47	0	0	0	0.2699
COL12A1	0	-0.0217	0	0.2695
POSTN	0	-0.0641	0	0.269
COL8A2	0	0	0	0.2688
IQCJ-SCHIP1	0	0	0	0.2688
SPARCL1	0	0	0	0.2686
ASPHD2	0.2682	-0.0154	0	0
NOX4	0	-0.0204	0	0.267
CRIP1	0.1992	-0.266	0	0
SLC7A11	0.2659	0	0	0
DZIP1	0	0	0	0.2656
ASS1	0.2646	0	0	0
NEXN	0	-0.0916	0	0.2645
TRIB2	0.1252	-0.264	0	0
MEP1A	-0.2627	0.1505	0	0
ATL3	0.2623	-0.0428	0	0
ISG20	0.2621	-0.0194	0	0
SET	0.2612	0	0	0
STON1	0	0	0	0.2611
LBH	0	0	0	0.2606
PLA2G12B	-0.1079	0.2589	0	0
FAM101B	0	0	0	0.2586
PLA2G4A	0.258	-0.2037	0	0
SATB2	-0.2575	0.1557	0	0
LRCH2	0	0	0	0.2567
TP53RK	-0.0276	0.2567	0	0
FOXA3	0	0	0.2557	0
MSRB3	0	0	0	0.2556
CNRIP1	0	0	0	0.2553
DUSP4	0.2546	-0.1935	0	0
PRKD1	0	0	0	0.2543
COL1A1	0	-0.0239	0	0.2525
BNC2	0	0	0	0.2494
MN1	0	0	0	0.2486
TCF4	0	0	0	0.2484
CSGALNACT2	0	-0.0617	0	0.2484
PTPRM	0	-0.0351	0	0.2481
GSE1	-0.2479	0	0	0
PIK3AP1	0.2479	-0.1676	0	0
SERPINH1	0	-0.0309	0	0.2475
NAA38	0.2464	0	0	0
ANKRD6	0	0	0	0.2462
ZNF514	-0.2454	0	0	0
TNFSF4	0	0	0	0.2449
RGS2	0	-0.2439	0	0.1063
GPX8	0	-0.2048	0	0.2434
KRT23	-0.2431	0.1265	0	0
COL1A2	0	0	0	0.2428
SNRPD1	0.2408	0	0	0
PRR15	-0.2406	0.2119	0	0
MRGPRF	0	0	0	0.2398
MCC	0	0	0	0.2395
COLCA2	0	0	0.2393	0
NDUFV2	0.2387	-0.034	0	0
ANG	0	0	0.2385	0
CHST5	0	0	0.2383	0
EFEMP1	0	0	0	0.2375
MRAP2	0	0	0.237	0
GNE	0	0	0.2369	0
EMP3	0	-0.1173	0	0.2367
MTA2	0.2364	0	0	0
ANO1	0.0292	-0.2364	0	0
FBXL7	0	0	0	0.2362
FN1	0	0	0	0.2359
ACSL6	-0.1118	0.2347	0	0
EMILIN1	0	0	0	0.2345
AQP3	0	0	0.2344	0
ZNF232	0.2339	0	0	0
C1S	0	0	0	0.2333
CLCA1	0	0	0.2331	0
FBLN2	0	-0.0153	0	0.2329
NID2	0	-0.0761	0	0.2318
COL3A1	0	0	0	0.2305
MYH10	0	0	0	0.2303
KLK1	0	0	0.2299	0
LHFP	0	0	0	0.2297
NDC80	0.2286	0	0	0
CD55	0.1585	-0.2284	0	0
FSCN1	0.0637	-0.2282	0	0
WISP1	0	0	0	0.228
GJA1	0	-0.0253	0	0.2268
PALLD	0	-0.1772	0	0.2261
PBX1	-0.226	0	0	0
UBE2QL1	0	0	0	0.2254
ITLN1	0	0	0.2238	0
GALNT6	-0.2236	0	0	0
ANGPTL2	0	-0.0597	0	0.2227
ZNRF3	-0.2225	0.0297	0	0
S100A16	0.2218	-0.1955	0	0
KCNE4	0	0	0	0.221
GUCY2C	-0.2198	0	0	0
SYNDIG1	0	0	0	0.2198
TOX	0	0	0.2198	0
PRUNE2	0	0	0.2195	0
GSKIP	0.2188	-0.0789	0	0
SOWAHA	-0.0946	0.2182	0	0
ENPP3	-0.2181	0.1266	0	0
FAM129A	0	-0.0691	0	0.2175
FAM84A	-0.2174	0.0576	0	0
SLAIN1	0	0	0.217	0
MLPH	0	-0.194	0.2162	0
GSPT2	-0.2162	0	0	0
MOCOS	0.216	0	0	0
THBS4	0	0	0	0.2156
MYL9	0	0	0	0.2154
COL18A1	0	0	0	0.2153
INPP1	0.2134	0	0	0
IYD	-0.2133	0.0667	0	0
NEURL1B	-0.213	0	0	0
ARMCX2	0	0	0	0.2129
GPR124	0	0	0	0.2129
EP300-AS1	0.2127	0	0	0
CLIP4	0	-0.0289	0	0.2125
LRRC32	0	0	0	0.2122
IL1R1	0	-0.053	0	0.212
CRYZ	0.2113	0	0	0
SPATA2	-0.1993	0.2108	0	0
SLC24A3	0	0	0	0.2105
DAPK1	0.0298	-0.2104	0	0
LOX	0	-0.1401	0	0.2101
S100A14	0.2095	0	0	0
LRIF1	-0.2095	0	0	0
FBLN1	0	0	0	0.2091
RHOF	0.2091	0	0	0
PRKCDBP	0	-0.1706	0	0.2084
CDHR1	-0.192	0.2082	0	0
COL4A2	0	0	0	0.2082
MEIS1	0	0	0	0.2078
DACT1	0	-0.0037	0	0.2073
HIF1A	0	-0.2064	0	0
PNMA1	0	-0.206	0	0
GZMA	0.2055	0	0	0
EFS	0	0	0	0.2054
SYNPO2	0	0	0	0.2054
PRICKLE2	0	0	0	0.2051
MFAP2	0	0	0	0.2047
STK17B	0.2035	0	0	0
ECM2	0	0	0	0.2033
TTC28	0	0	0	0.2033
ISM1	0	0	0	0.2029
GEM	0	0	0	0.2027
CXCL13	0.2027	0	0	0
VIM	0	0	0	0.2007
SEC22B	-0.2006	0	0	0
RNF125	0.1775	-0.1996	0	0
NCF2	0	-0.1995	0	0.118
TSHZ3	0	0	0	0.1995
CHSY3	0	0	0	0.1989
IFI16	0	-0.1983	0	0
TTC7B	0	0	0	0.1958
SMCHD1	0.1953	-0.0672	0	0
LYSMD2	0.195	0	0	0
MAFB	0	-0.1264	0	0.1942
L1TD1	0	0	0.1936	0
CYBRD1	0	0	0	0.1933
QKI	0	0	0	0.1922
MOXD1	0	0	0	0.191
NMI	0.1902	0	0	0
VCAM1	0	-0.0201	0	0.1901
LPPR4	0	0	0	0.1897
TPST1	0	-0.0747	0	0.1896
C20orf194	0	0	0	0.1895
IGFBP6	0	0	0	0.1891
RGS4	0	0	0	0.189
SMAD9	0	0	0.1887	0
JAZF1	0	0	0	0.1881
GPSM2	-0.1661	0.188	0	0
MATN3	0	0	0	0.1879
PIGU	0	0.187	0	0
VEGFC	0	0	0	0.1868
ITGAM	0	-0.1344	0	0.1866
TIPIN	0.1854	0	0	0
CNN1	0	0	0	0.1853
ISX	-0.1851	0.0412	0	0
EREG	0	0.1845	-0.051	0
GUCY1B3	0	0	0	0.1837
BCAT1	0	-0.1108	0	0.1836
GBP5	0.1826	0	0	0
PDGFRL	0	-0.0814	0	0.1825
GREM1	0	-0.0444	0	0.1821
NR1I2	-0.1738	0.1814	0	0
H2AFJ	-0.1812	0.0631	0	0
PTPRO	-0.1803	0.0181	0	0
C12orf57	0.021	-0.1792	0	0
CFH	0	-0.0716	0	0.1789
HSBP1L1	0.1788	0	0	0
MORC4	0.1788	0	0	0
SPCS3	0.1785	0	0	0
AK021804	0	0	0	0.1769
RBBP8	0.1768	0	0	0
CD248	0	0	0	0.1767
SESN1	-0.1759	0	0	0
LY6E	0.1757	0	0	0
PIGZ	-0.1753	0	0	0
OGN	0	0	0	0.1748
IGFBP7	0	0	0	0.1744
FREM2	-0.1738	0.0988	0	0
FAM217B	0	0.1736	0	0
BICC1	0	0	0	0.1734
RARRES1	0.0668	-0.1729	0	0
KLHL5	0	0	0	0.1729
TMEM200B	0	0	0	0.1728
MBTD1	-0.1728	0	0	0
C1QTNF3	0	0	0	0.1711
GPRASP1	0	0	0	0.1705
USF1	0.1692	0	0	0
IL1R2	0	-0.169	0	0
CCDC109B	0.1686	-0.1412	0	0
MUC12	-0.1686	0	0	0
MXRA7	0	0	0	0.1685
GGH	0	0.1681	0	0
EGR2	0	0	0	0.168
PTPRD	-0.1679	0.1087	0	0
LTBP2	0	0	0	0.1676
PANK1	0	0.1669	0	0
GBP1	0.1665	-0.031	0	0
MAGEH1	0	0	0	0.1663
RCN3	0	0	0	0.166
MIR7703	0.1655	0	0	0
EPYC	0	0	0	0.1651
RP11-999E24.3	0	0	0	0.1651
SERPINA1	0	0	0.1647	0
PBK	0.1647	0	0	0
C11orf96	0	0	0	0.1643
SMARCA1	0	0	0	0.1641
IDO1	0.1635	0	0	0
STAT1	0.1633	0	0	0
LAMB2	0	-0.0402	0	0.1633
ITGA5	0	-0.0238	0	0.1633
AX747630	0	0	0.1632	0
TMEM119	0	0	0	0.1626
RERG	0	0	0	0.1623
FABP4	0	0	0	0.1622
CTGF	0	0	0	0.1622
TAF13	0.1621	0	0	0
CFL2	0	-0.1222	0	0.1619
HNRNPH1	0.1614	0	0	0
TLE2	-0.1613	0.1531	0	0
EIF5A	0.1605	0	0	0
TNFAIP8	0	-0.1605	0	0
SERPINB5	0.1603	-0.1515	0	0
GSPT1	-0.16	0	0	0
TMEM263	0	-0.1599	0	0
RPL22L1	0.1595	0	0	0
ITGAV	0	-0.0164	0	0.1591
C1orf56	-0.159	0	0	0
LOC100129518	0.1589	-0.0269	0	0
LGMN	0	-0.1584	0	0
PLAGL1	-0.1582	0	0	0
DPEP1	-0.1581	0.1005	0	0
SSR3	0.1576	0	0	0
DENND5A	0	0	0	0.1574
USP18	0.1574	-0.0066	0	0
SUGCT	0	0	0	0.1571
DNM3OS	0	0	0	0.1554
LRRC19	-0.1551	0.038	0	0
GUCY1A3	0	0	0	0.1537
ZNF827	-0.1536	0	0	0
HSD17B2	0.1534	0	0	0
PMAIP1	0.1523	0	0	0
AIFM3	-0.1523	0.0835	0	0
PPP1R14C	-0.1104	0.1521	0	0
ENO2	0.1518	-0.1021	0	0
SLC16A7	0	0	0.1511	0
CHN2	-0.1506	0.1433	0	0
PCSK5	0	0	0	0.1499
LOC157860	-0.0226	0.1498	0	0
STRN3	0.1494	0	0	0
LOC645166	-0.1492	0	0	0
C1QTNF5	0	0	0	0.1483
TFAP2A	0.1482	-0.0753	0	0
PPP1R18	0	-0.0127	0	0.1482
ARSJ	0	-0.1481	0	0
UBE2E2	0	0	0	0.1478
ENTPD1	0	0	0	0.1477
PLAT	0	0	0	0.1477
SAA1	0.1476	0	0	0
HLX	0	-0.0099	0	0.1476
TAF4	0	0.1473	0	0
BNIP3L	0	-0.1469	0	0
SORBS1	-0.1468	0	0	0
MDFIC	0	0	0	0.1465
ADAMTS12	0	0	0	0.1464
BCAS1	0	0	0.146	0
LINC01003	-0.1446	0.1005	0	0
TRPM4	0	0	0.1445	0
ZNF25	0	0	0	0.1444
COPS3	0.1443	0	0	0
RBMS1	0	0	0	0.1443
RARRES2	0	0	0	0.1439
TMEM98	-0.1438	0	0	0
CPE	-0.1435	0	0	0
DPP4	0.1431	0	0	0
WFDC21P	0.1428	0	0	0
SRGAP2B	0	-0.1427	0	0.0621
HYAL1	0	0	0.1427	0
CAP2	0	0	0	0.1417
HTR2B	0	0	0	0.1415
ZBTB20	0	0	0	0.1415
SPP1	0	-0.1414	0	0.0162
SHISA2	0	0	0	0.1412
GPX7	0	0	0	0.141
SAMD12	-0.1406	0	0	0
KIAA0895	0.1406	0	0	0
TWSG1	0	-0.1404	0	0
MRC1	0	-0.135	0	0.1403
ARID3A	-0.0932	0.1402	0	0
LRRC2	-0.1402	0.1193	0	0
PPP1R14D	-0.1399	0.0964	0	0
COL4A1	0	0	0	0.1399
CD14	0	-0.1396	0	0.0515
BCL11A	-0.1393	0.0393	0	0
LAMP5	0	0	0	0.139
RNF19B	0.1388	0	0	0
GAS7	0	0	0	0.1381
FRZB	0	0	0.1379	0
IHH	-0.0448	0.1376	0	0
FAM127A	0	0	0	0.1375
FILIP1L	0	0	0	0.1367
FAM114A1	0	-0.1366	0	0
KRT20	-0.1362	0	0	0
MFGE8	0	0	0	0.136
ACKR4	0.1354	0	0	0
UBXN8	0.1353	0	0	0
NKX3-2	0	0	0	0.1351
PMEPA1	-0.1351	0	0	0
SAMD9	0.1349	-0.0579	0	0
EHD2	0	0	0	0.1346
DYRK4	0	0	0.1345	0
C5AR1	0	-0.0821	0	0.1342
ATP8B2	0	0	0	0.1342
JUN	-0.1341	0	0	0
PTGS2	0	-0.1332	0	0
CXCL16	0.1331	-0.0392	0	0
CYSTM1	0.1321	0	0	0
PRR16	0	0	0	0.1307
SPHK1	0	-0.1303	0	0.0944
HUNK	-0.1022	0.1302	0	0
CHMP4B	0	0.1301	0	0
KLK10	0.036	-0.1301	0	0
SHROOM2	-0.13	0	0	0
SPIN3	-0.1298	0	0	0
KLHL32	0	0	0.1296	0
DPT	0	0	0	0.1296
KCTD12	0	-0.1295	0	0
ACE2	-0.1285	0.0667	0	0
YAE1D1	-0.1273	0.048	0	0
DAB2	-0.1272	0	0	0
CXCR4	0	-0.1269	0	0
BLOC1S2	0.1268	0	0	0
BEX4	0	0	0	0.1267
ANXA1	0	-0.1265	0	0
RHOJ	0	0	0	0.126
ZNF423	0	0	0	0.1257
KAL1	0	0	0	0.1248
PNMAL1	0	0	0	0.1229
SLC35D3	-0.1228	0	0	0
CREB3L1	0	-0.0091	0.1223	0
OMD	0	0	0	0.1214
GGT5	0	0	0	0.1214
TMEM176A	-0.1212	0	0	0
MLLT11	0	0	0	0.1206
MGC24103	0	0	0	0.1206
SLC2A3	0	-0.0817	0	0.1205
MT1X	0.12	-0.0656	0	0
RNF138	0.1199	0	0	0
C1orf54	0	-0.0261	0	0.1199
THBS3	0	0	0	0.1197
FCGR2B	0	-0.1197	0	0.0211
LAMA2	0	0	0	0.1196
CTSL	0	-0.1194	0	0.0732
IKBIP	0	-0.1193	0	0
GAS2	-0.1187	0.083	0	0
CYR61	0	-0.0088	0	0.1183
RALY	0	0.1182	0	0
TM9SF4	0	0.1181	0	0
GPR143	-0.0291	0.1177	0	0
SLC26A3	-0.0467	0.1175	0	0
FCER1G	0	-0.1162	0	0.0372
LY96	0	-0.0908	0	0.1158
RGS16	0	0	0	0.1158
RP11-747H7.3	0	0	0.1155	0
TNFSF13B	0.0429	-0.1155	0	0
FYN	0	-0.1155	0	0
DSEL	0	0	0	0.1152
PID1	-0.1152	0	0	0
HS3ST3A1	0	0	0	0.1152
TAP1	0.115	0	0	0
TNNC2	-0.1094	0.1145	0	0
TYMP	0.1142	0	0	0
OSMR	0	0	0	0.1141
UGT2A3	-0.0553	0.114	0	0
IFI30	0.1138	-0.1028	0	0
CEP76	0.1137	0	0	0
NUP50	0.1134	0	0	0
SDR16C5	0.0514	-0.1132	0	0
PPP4R1	0.0445	-0.1131	0	0
AF070581	0	0	0	0.1127
ZNF652	-0.1126	0	0	0
EHD3	0	0	0	0.1125
KCNK1	0.1123	-0.0056	0	0
NOTCH3	0	0	0	0.1122
ALOX5	0	-0.1121	0	0
GJB5	0.112	0	0	0
CXCL12	0	0	0	0.1119
IFIT3	0.1119	0	0	0
AGR3	0.1117	-0.0846	0.0367	0
CD93	0	0	0	0.1115
SGMS1	0.1097	-0.1115	0	0
ANO9	-0.0304	0.1113	0	0
C3	0	0	0	0.1113
ANGPTL1	0	0	0	0.1112
ZKSCAN1	-0.1109	0	0	0
NUDT6	0.1103	0	0	0
PLAU	0	-0.0577	0	0.1099
FBLN5	0	0	0	0.1096
TC2N	0.1092	0	0.0244	0
CLEC5A	0	-0.1092	0	0.0968
AHCY	0	0.1091	0	0
FAM83E	0	0	0.109	0
SECTM1	0.1089	0	0	0
ATP2B4	0	0	0	0.1088
SH3BP5	0	0	0	0.1084
SERPINB1	0.0662	-0.1082	0	0
ITGBL1	0	0	0	0.1079
UBE2L6	0.1078	0	0	0
TIMP1	0	0	0	0.1078
SLC39A5	0	0.1075	0	0
MUC1	0	-0.1071	0	0
SHROOM4	-0.1069	0.0046	0	0
CXCL10	0.1068	0	0	0
ENPP5	-0.1061	0	0	0
SPON1	0	-0.1061	0	0.0527
CYP2B6	0	0.1057	0	0
GNG4	-0.1057	0.101	0	0
BLVRA	0.1048	-0.1009	0	0
TGFBI	-0.1047	0	0	0
GALNT7	0	0	0.1046	0
CILP	0	0	0	0.104
MICU3	0	0	0	0.1039
NKG7	0.1037	0	0	0
ACOT8	0	0.1037	0	0
RNF180	0	0	0	0.1034
MTHFD2	0.1034	0	0	0
PROSER1	0	0.103	0	0
TVP23B	0.103	-0.0455	0	0
CAMK1D	-0.1028	0	0	0
TNS1	0	0	0	0.1028
MPP1	0	0.102	-0.041	0
LYZ	0.0568	-0.1017	0	0
ISG15	0.1011	0	0	0
FZD8	0	0	0	0.101
LCK	0.1009	0	0	0
MAP1B	0	0	0	0.1006
NUCB2	0.1005	-0.0558	0	0
YTHDF1	0	0.0998	0	0
LPCAT1	0.0991	0	0	0
ROR2	0	0	0	0.0982
MYOF	0	-0.0981	0	0
JAM2	0	0	0	0.0979
ST3GAL6	0	-0.0974	0	0.0881
ENGASE	-0.0973	0	0	0
ST3GAL4	0	0	0.0973	0
APOL3	0.0972	0	0	0
IRF1	0.0971	0	0	0
DOCK8	0	-0.0969	0	0
CBR3	0	-0.0969	0	0
MUC5AC	0.0968	0	0	0
IGFBP4	0	0	0	0.0968
EVC	0	0	0	0.0968
RPA1	0.0963	0	0	0
CCL18	0	-0.0963	0	0.0598
PRDX5	0	0.0962	0	0
MICB	0.0961	-0.0428	0	0
ERI1	0.096	0	0	0
UNC5B	0	0	0	0.0958
MSANTD3-TMEFF1	0	0	0	0.0957
KLF7	0	0	0	0.0956
GPR160	-0.0953	0.0937	0	0
YWHAE	0.0952	0	0	0
CD163	0	-0.0951	0	0
SBNO1	0.0948	0	0	0
SHMT2	0.0947	0	0	0
COPG1	0.0942	0	0	0
AFAP1-AS1	0.0942	0	0	0
PLEKHG6	-0.0105	0.0941	0	0
BCL2A1	0	-0.0941	0	0
FFAR4	0	-0.045	0.0934	0
LXN	0	-0.0932	0	0
TMEM150C	-0.093	0	0	0
ULBP2	0.093	0	0	0
C1orf162	0	-0.0928	0	0.0514
CALHM2	0	0	0	0.0928
AOC1	-0.0921	0	0	0
MYRIP	-0.092	0.0047	0	0
PPP1R3D	-0.029	0.092	0	0
DDC	0	0.0919	0	0
APCDD1	-0.0916	0.0619	0	0
STAU1	0	0.0914	0	0
KIF3B	-0.0151	0.0912	0	0
STT3A	0.0911	0	0	0
MAGI2-AS3	0	0	0	0.0903
CLU	0	0	0	0.0903
MAP3K5	0	-0.0899	0	0
MT2A	0.0897	-0.0718	0	0
OXCT1	0.0896	-0.0427	0	0
LAPTM5	0	-0.0892	0	0.0309
KDELC1	0	0	0	0.0891
DUSP18	-0.089	0	0	0
KIAA1244	0	0	0.0888	0
ZNF667-AS1	0	0	0	0.0886
AXL	0	0	0	0.0881
FCGR3A	0	-0.0878	0	0
CCL8	0.0868	-0.0253	0	0
RP11-75C9.1	0	0.0866	0	0
FGF7	0	0	0	0.0865
JADE3	-0.0861	0.0304	0	0
AX748273	-0.0858	0	0	0
ZBTB8A	0	-0.0853	0	0
MMP11	0	0	0	0.0852
SLFN5	0	-0.0851	0	0
