cpd_name	master_cpd_id	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
cucurbitacin I	595102	BRD-A28105619	33	probe		natural product; modulator of NFKB1 and STAT3 signaling	Tocris Bioscience	1571	CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
paclitaxel	26956	BRD-A28746609	66	FDA		inhibitor of microtubule assembly	Selleck	S1150	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1
hyperforin	660327	BRD-A30032852	66	clinical	TRPC6	agonist of calcium-permeable ion channels	Sigma-Aldrich	H1792	CC(C)C(=O)[C@@]12C(=O)C(CC=C(C)C)C(=O)C(CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O
brefeldin A	411714	BRD-A31107743	37	probe	ARF1	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	ChemBridge Corporation	6908419	CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1
tigecycline	659993	BRD-A34462049	66	FDA		analog of tetracycline	Selleck;Harvard University	S1403	CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(NC(=O)CNC(C)(C)C)c(O)c4C(=O)C3C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C
itraconazole	63349	BRD-A34817987	17	FDA		anti-fungal agent; inhibitor of hedgehog signaling pathway	Sigma-Aldrich	I6657	CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O
dexamethasone	277354	BRD-A35108200	33	FDA	NR3C1	agonist of glucocorticoid receptor	ChemDiv Inc.	R092-0055	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
teniposide	27871	BRD-A35588707	33	FDA	TOP2A;TOP2B	inhibitor of topoisomerase II	MicroSource Discovery Systems Inc.	1504094	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12
ML162	154846	BRD-A36275421	33	probe		selectively kills engineered cells expressing mutant HRAS	ChemDiv Inc.	K784-3185	COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl
necrostatin-1	375435	BRD-A36318220	530	probe	RIPK1	inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway	Sigma-Aldrich	N9037	CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O
SN-38	375637	BRD-A36630025	1.3	probe	TOP1	metabolite of irinotecan; inhibitor of topoisomerase I	Tocris Bioscience	2684	CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12
ciclosporin	55512	BRD-A38030642	33	FDA	PPID	inhibitor of calcineurin by binding to cyclophilin D	Tocris Bioscience	1101	CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
TGX-221	606356	BRD-A41692738	66	probe	PIK3CB	inhibitor of PI3K catalytic subunit beta	Selleck	S1169	CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
bleomycin A2	639531	BRD-A42083487	66	FDA		inducer of DNA damage	Selleck;Calbiochem	S1214;203401-10MG	C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C
DNMDP	62111	BRD-A42556028	66	probe		screening hit	Enamine Ltd.	T0503-7331	CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C
968	660080	BRD-A43210826	66	probe	GLS	inhibitor of glutaminase	Specs	AG-690/36107028	CN(C)c1ccc(cc1Br)C1Nc2ccc3ccccc3c2C2=C1C(=O)CC(C)(C)C2
fluvastatin	660322	BRD-A52530402	66	FDA	HMGCR	inhibitor of HMG-CoA reductase	Tocris Bioscience	3309	CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)C(c2ccccc12)c1ccc(F)cc1
PX-12	609124	BRD-A56592690	100	clinical	TXN	inhibitor of thioredoxin-1	Sigma-Aldrich	M5324	CCC(C)SSc1ncc[nH]1
PD318088	660410	BRD-A57798112	66	probe	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S1568	OCC(O)CONC(=O)c1cc(Br)c(F)c(F)c1Nc1ccc(I)cc1F
COL-3	665914	BRD-A59431241	66	clinical		analog of tetracycline	Harvard University		NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O
YK 4-279	632103	BRD-A62182663	33	probe	DHX9;ERG;ETV1	inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity	Tocris Bioscience	4067	COc1ccc(cc1)C(=O)CC1(O)C(=O)Nc2c1c(Cl)ccc2Cl
fumonisin B1	616353	BRD-A63646118	500	probe	CERS1;CERS2;CERS3;CERS4;CERS5;CERS6	inhibitor of ceramide synthase	Cayman	62580	CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(O)=O)C(O)=O)[C@H](CC(C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(O)=O)C(O)=O
ifosfamide	35319	BRD-A67097164	66	FDA		DNA alkylator	Selleck	S1302	ClCCNP1(=O)OCCCN1CCCl
salermide	616352	BRD-A67788537	400	probe	SIRT1;SIRT2	inhibitor of sirtuin 1 and sirtuin 2	Cayman	13178	CC(C(=O)Nc1cccc(c1)\N=C\c1c(O)ccc2ccccc12)c1ccccc1
BCL-LZH-4	688516	BRD-A68258842	66	probe	BCL2;BCL2L1;MCL1	"inhibitor of BCL2, BCL-xL, and MCL1"	Broad Institute of MIT and Harvard		COc1ccc(cc1)C1C(C(=O)Nc2ccccc2)=C(C)N=c2s\c(=C/c3cn(Cc4ccccc4)c4ccccc34)c(=O)n12
isoevodiamine	594664	BRD-A68631409	33	probe		natural product	Sigma-Aldrich	E3531	CN1C2N(CCc3c2[nH]c2ccccc32)C(=O)c2ccccc12
lovastatin	30620	BRD-A70155556	130	FDA	HMGCR	inhibitor of HMG-CoA reductase	AnalytiCon Discovery GmbH	NP-001236	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
BRD-A71883111	660145	BRD-A71883111	33	probe	IDH1	putative inhibitor of IDH1 R132H	Broad Institute of MIT and Harvard		Fc1cccc(c1)N(C(C(=O)NC1CCCCC1)c1ccccc1Cl)C(=O)Cc1cccs1
blebbistatin	50140	BRD-A75817871	130	probe	MYH1;MYH2	inhibitor of myosin II ATPases	Cayman	13165	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
myriocin	417977	BRD-A76279427	33	probe	SPTLC1;SPTLC2;SPTLC3	inhibitor of serine palmitoyltransferase	Sigma-Aldrich	M1177	CCCCCCC(=O)CCCCCC\C=C\C[C@H](O)[C@@H](O)C(N)(CO)C(O)=O
IPR-456	660084	BRD-A76527075	66	probe	PLAUR	inhibitor of the interaction of urokinase receptor with binding partners	ChemDiv Inc.	C090-0424	CC1CC(C)CN(C1)c1cc(Nc2ccccc2C(O)=O)c2C(=O)c3ccccc3-c3onc1c23
NSC23766	44503	BRD-A80213327	530	probe	RAC1;TIAM1;TRIO	inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1	Cayman	13196	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
oligomycin A	411869	BRD-A81541225	33	probe	ATP5L2	inhibitor of mitochondrial ATP synthase	Sigma-Aldrich	75351	CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
ML258	660314	BRD-A82720512	66	probe	BCL2L10	inhibitor of BIM-BCL-B interaction	Sanford-Burnham Medical Research Institute		COc1ccc(CN2c3nnnn3C3C(C2=O)C2(CCCC2)Cc2ccccc32)cc1
ML050	153820	BRD-A83255679	66	probe	GPER1	antagonist of GPR30	Asinex Ltd.	BAS 02002358	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12
fulvestrant	464880	BRD-A85667082	66	FDA	ESR1;GPER1	antagonist of the estrogen receptor	Selleck	S1191	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
BRD-A86708339	687769	BRD-A86708339	66	probe		screening hit	Dana Farber Cancer Institute		Cc1ccc(cc1)C(NC(=O)c1ccccc1)c1ccc2cccnc2c1O
CID-5951923	267119	BRD-A86956638	66	probe	KLF5	modulator of KLF5 expression	Tocris Bioscience	4446	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O
FQI-1	102193	BRD-A91658086	33	probe		inhibitor of LSF1-mediated transcription	Boston University		CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12
thalidomide	24197	BRD-A93255169	66	FDA	CRBN	immunomodulatory drug; binder of cereblon	Selleck	S1193	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12
temozolomide	351043	BRD-A94153989	66	FDA		DNA alkylator	Selleck	S1237	CN1N=Nc2c(ncn2C1=O)C(=O)N
BRD-A94377914	61724	BRD-A94377914	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Stanley Center for Psychiatric Research at the Broad Institute		CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1
cyanoquinoline 11	417415	BRD-K00088062	130	clinical	MAP3K8	inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells	WuXi AppTec	TH02434-056	Fc1ccc(Nc2c(cnc3c(Cl)cc(NCc4cnc[nH]4)cc23)C#N)cc1Cl
RITA	375492	BRD-K00317371	33	probe	MDM2;TP53	inhibitor of p53-MDM2 interaction	Tocris Bioscience	2443	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
tubastatin A	411749	BRD-K00627859	33	probe	HDAC6	inhibitor of tubulin deacetylase activity of HDAC6	Stanley Center for Psychiatric Research at the Broad Institute		CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO
ML239	609781	BRD-K01121114	66	probe		ML239; inhibitor of breast cancer stem cell proliferation	Broad Institute of MIT and Harvard		Clc1cc(Cl)c(OCC(=O)N\N=C\c2ccc[nH]2)c(Cl)c1
LRRK2-IN-1	607696	BRD-K01436366	66	probe	DCLK1;LRRK2	inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase	EMD Biosciences	438193	COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)C(=O)N1CCC(CC1)N1CCN(C)CC1
pyrazolanthrone	44511	BRD-K01567962	66	probe	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	Selleck	S1460	O=C1c2ccccc2-c2n[nH]c3cccc1c23
BRD-K01737880	438345	BRD-K01737880	66	probe		screening hit	Broad Institute of MIT and Harvard		COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1
ML210	609110	BRD-K01877528	33	probe		selectively kills engineered cells expressing mutant HRAS	Broad Institute of MIT and Harvard		Cc1onc(C(=O)N2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c1[N+]([O-])=O
NVP-BSK805	660434	BRD-K02017404	66	probe	JAK2	inhibitor of Janus kinase 2	Selleck	S2686	Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1
olaparib	411867	BRD-K02113016	150	clinical	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 and 2	Selleck	S1060	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1
panobinostat	54210	BRD-K02130563	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Stanley Center for Psychiatric Research at the Broad Institute		Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1
BRD-K02251932	442141	BRD-K02251932	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc2c(NS(=O)(=O)c3ccc(F)cc3)cccc2C1=O
parbendazole	28172	BRD-K02407574	66	probe		inhibitor of microtubule assembly	Sigma-Aldrich	PH009945	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1
BRD-K02492147	415688	BRD-K02492147	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CN1CCN(CC1)C(=O)C[C@@H]1O[C@H](CO)[C@@H](NS(=O)(=O)c2cccc(F)c2)C=C1
QS-11	609681	BRD-K02526760	33	probe	ARFGAP1	inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)	Tocris Bioscience	3324	OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3CCCc3c2)nc2n(Cc3ccc(cc3)-c3ccccc3)cnc12
AT-406	710154	BRD-K02834582	66	probe	XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	Selleck	S2754	CNC(C)C(=O)NC1CN(CCC2CCC(N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)C(=O)CC(C)C
SU11274	606586	BRD-K02965346	66	probe	MET	inhibitor of MET	Selleck	S1080	CN(c1cccc(Cl)c1)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c(C)c(C(=O)N4CCN(C)CC4)c3C)c2c1
HC-067047	660083	BRD-K03391209	66	probe	TRPV4	inhibitor of cation channel TRPV4	Tocris Bioscience	4100	Cc1c(cc(-c2ccccc2)n1CCCN1CCOCC1)C(=O)Nc1cccc(c1)C(F)(F)F
azacitidine	26874	BRD-K03406345	66	FDA	DNMT1	inhibitor of DNA methyltransferase	Selleck	S1782	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
foretinib	628607	BRD-K03449891	66	clinical	KDR;MET	inhibitor of MET and VEGFR2	Selleck	S1111	COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1
Merck60	61674	BRD-K04466929	33	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1
BIBR-1532	417982	BRD-K04623885	270	probe	TERT	inhibitor of telomerase reverse transcriptase	Selleck	S1186	C\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1
BRD-K04800985	435086	BRD-K04800985	67	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)Nc3c(C)noc3C)cc2C1=O
BMS-270394	660321	BRD-K04905989	66	probe	RARG	antagonist of retinoic acid receptor gamma	Axon Medchem	1173	CC1(C)CCC(C)(C)c2cc(ccc12)[C@@H](O)C(=O)Nc1ccc(cc1F)C(O)=O
GSK-3 inhibitor IX	52582	BRD-K04923131	66	probe		inhibitor of JAK/STAT signaling	Tocris Bioscience	3194	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12
CIL41	176181	BRD-K05392795	160	probe		screening hit	Columbia University		N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1
triazolothiadiazine	385240	BRD-K05402890	66	probe	PDE4A;PDE4B;PDE4D	inhibitor of phosphdiesterase 4A/B/D	WuXi AppTec	TH02420-017	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1
BRD9647	37479	BRD-K05649647	33	probe		screening hit	ChemBridge Corporation	7910659	COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC
PDMP	58472	BRD-K05653692	210	probe	UGCG	inhibitor of ceramide glucosyltransferase	Enzo Life Sciences	BML-SL210	CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1
LE-135	375354	BRD-K06593056	66	probe	RARB	antagonist of retinoic acid receptor beta	Tocris Bioscience	2021	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C
GSK1059615	606471	BRD-K06750613	33	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	Selleck	S1360	O=C1NC(=O)\C(S1)=C\c1ccc2nccc(-c3ccncc3)c2c1
narciclasine	632243	BRD-K06792661	33	probe	RHOA	activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling	Sigma-Aldrich	N9789	O[C@H]1C=C2[C@@H](NC(=O)c3c(O)c4OCOc4cc23)[C@H](O)[C@@H]1O
AM-580	58455	BRD-K06854232	530	probe	RARA	agonist of retinoic acid receptor alpha	Sigma-Aldrich	A8843	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
AA-COCF3	411724	BRD-K07303502	270	probe	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	Cayman	62120	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F
GSK525762A	660245	BRD-K08109215	66	probe	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	EMD Biosciences	401010	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12
temsirolimus	660358	BRD-K08177763	66	FDA	MTOR	inhibitor of mTOR	Selleck	S1044	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO
SID 26681509	411731	BRD-K08417745	300	probe	CTSL1	inhibitor of cathepsin L	Tocris Bioscience	3625	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
linsitinib	705300	BRD-K08589866	33	clinical	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	Selleck	S1091	CC1(O)CC(C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26
C6-ceramide	44554	BRD-K08608874	66	probe	MAPK1;PPP2CA;UGCG	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	Sigma-Aldrich	H6524	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC
BRD-K09344309	439882	BRD-K09344309	33	probe		screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
GANT-61	609332	BRD-K09485525	66	probe		inhibitor of hedgehog signaling pathway	Tocris Bioscience	3191	CN(C)c1ccccc1CN1CCCN(Cc2ccccc2N(C)C)C1c1ccncc1
KU 0060648	632119	BRD-K09499853	33	probe	PRKDC	inhibitor of DNA-dependent protein kinase	Axon Medchem	1584	CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c3oc(cc4=O)N3CCOCC3)c3sc4ccccc4c23)CC1
BRD-K09587429	416842	BRD-K09587429	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)c1ccccc1
FGIN-1-27	61775	BRD-K09778810	33	probe	TSPO	activator of peripheral benzodiazepine receptor/translocator protein	Tocris Bioscience	658	CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1
PRL-3 inhibitor I	411727	BRD-K09907482	130	probe	PTP4A3	inhibitor of phosphatase of regenerating liver-3 (PRL3)	Sigma-Aldrich;EMD Biosciences	P0108;539808	Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1
dabrafenib	687954	BRD-K09951645	66	clinical	BRAF	inhibitor of BRAF	Active Biochem	A-1219	CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F
avrainvillamide	411856	BRD-K10466330	33	probe	NPM1	natural product; inhibitor of nucleophosmin	Harvard University		CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1
