ccl_name	master_ccl_id	ccle_primary_site	ccle_primary_hist	ccle_hist_subtype_1	growth_mode	culture_media	media_composition	snp_fp_status
SNU869	1126	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
A673	37	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
CADOES1	108	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
CAL78	120	bone	chondrosarcoma	dedifferentiated	adherent	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
G292CLONEA141B1	262	bone	osteosarcoma		adherent	MCCOYS5A002	"McCoy's 5A, 20% FBS"	SNP-matched-reference
HOS	383	bone	osteosarcoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
HS819T		bone	chondrosarcoma		adherent	DMEM001	"DMEM, 10% FBS"	
HS822T	424	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
HS888T	432	bone	osteosarcoma		adherent	DMEM002	"DMEM, 10% FBS, 4.5 g/L glucose, 1.5 g/L sodium bicarbonate"	SNP-not-tested
MG63	673	bone	osteosarcoma		adherent	MEM001	"MEM, 10% FBS"	SNP-matched-reference
MHHES1	677	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RDES	963	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		suspension	RPMI004	"RPMI, 5% FBS, 0.005 mg/mL insulin, 0.01 mg/mL transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	SNP-matched-reference
SAOS2	1004	bone	osteosarcoma		adherent	MCCOYS5A003	"McCoy's 5A, 15% FBS"	SNP-unconfirmed
SJSA1	1032	bone	osteosarcoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SKES1	1035	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		adherent	MCCOYS5A003	"McCoy's 5A, 15% FBS"	SNP-matched-reference
SKNMC	1056	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
SW1353	1154	bone	chondrosarcoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
TC71	1180	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
U2OS	1226	bone	osteosarcoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
AU565	53	breast	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
BT20	90	breast	carcinoma	ductal_carcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
BT474	97	breast	carcinoma	ductal_carcinoma	adherent	DMEM006	"DMEM, 20% FBS"	SNP-matched-reference
BT549	99	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
CAL120	111	breast	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
CAL148	113	breast	carcinoma	ductal_carcinoma	adherent	DMEM006	"DMEM, 20% FBS"	SNP-matched-reference
CAL51	117	breast	carcinoma		adherent	DMEM006	"DMEM, 20% FBS"	SNP-matched-reference
CAL851	121	breast	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
CAMA1	125	breast	carcinoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
DU4475	226	breast	carcinoma	ductal_carcinoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
EFM192A	236	breast	carcinoma		adherent	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
HCC1143	295	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC1395	300	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC1419	301	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC1428	302	breast	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC1500	305	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC1569	306	breast	carcinoma	metaplastic_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
HCC1806	309	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC1937	313	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-unconfirmed
HCC1954	314	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC202	315	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC2218	318	breast	carcinoma	ductal_carcinoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCC38	330	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HDQP1	349	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HMC18	376	breast	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HS578T	400	breast	carcinoma	ductal_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
JIMT1	501	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KPL1	569	breast	carcinoma	ductal_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
MCF7	646	breast	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
MDAMB157	648	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-unconfirmed
MDAMB175VII		breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	
MDAMB231	650	breast	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
MDAMB361	651	breast	carcinoma		adherent	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MDAMB415	652	breast	carcinoma		adherent	RPMI017	"RPMI, 15% FBS, 0.01 mg/ml insulin, 0.01 mg/ml glutathione"	SNP-not-tested
MDAMB453	657	breast	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MDAMB468	658	breast	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
SKBR3	1033	breast	carcinoma		adherent	MCCOYS5A001	"McCoy's 5A, 10% FBS"	SNP-matched-reference
T47D	1175	breast	carcinoma	ductal_carcinoma	adherent	RPMI018	"RPMI, 10% FBS, 0.2 units/ml  bovine insulin (0.08 mg/ml)"	SNP-matched-reference
UACC812	1234	breast	carcinoma	ductal_carcinoma	mixed	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
ZR751	1285	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
ZR7530	1286	breast	carcinoma	ductal_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
42MGBA	10	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMIMEM001	"RPMI:MEM (1:1), 10% FBS"	SNP-matched-reference
8MGBA	22	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	EMEM005	"EMEM, 20% FBS"	SNP-matched-reference
A172	25	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
AM38	47	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	EMEM005	"EMEM, 20% FBS"	SNP-matched-reference
BECKER	59	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
CAS1	130	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
CCFSTTG1	131	central_nervous_system	glioma	astrocytoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
D283MED	193	central_nervous_system	primitive_neuroectodermal_tumor_medulloblastoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
DAOY	202	central_nervous_system	primitive_neuroectodermal_tumor_medulloblastoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
DBTRG05MG	205	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DKMG	211	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
GAMG	268	central_nervous_system	glioma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
GB1	269	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
GI1	274	central_nervous_system	glioma	gliosarcoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
GMS10	280	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	MEM001	"MEM, 10% FBS"	SNP-matched-reference
GOS3	281	central_nervous_system	glioma	astrocytoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
HS683	409	central_nervous_system	glioma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
KALS1	514	central_nervous_system	glioma		adherent	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
KG1C	530	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEMF12003	"DMEM:F12 (1:1), 10% FBS"	SNP-matched-reference
KNS42	556	central_nervous_system	glioma		adherent	MEM001	"MEM, 10% FBS"	SNP-matched-reference
KNS60	557	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM009	"DMEM, 5% FBS"	SNP-matched-reference
KNS81	559	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM009	"DMEM, 5% FBS"	SNP-matched-reference
LN18	604	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM009	"DMEM, 5% FBS"	SNP-matched-reference
LN229	606	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM009	"DMEM, 5% FBS"	SNP-matched-reference
M059K	638	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEMF12003	"DMEM:F12 (1:1), 10% FBS"	SNP-matched-reference
NMCG1	855	central_nervous_system	glioma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
ONS76	899	central_nervous_system	primitive_neuroectodermal_tumor_medulloblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SF126	1015	central_nervous_system	glioma	astrocytoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
SF295	1018	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU1105	1083	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU201	1092	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU466	1107	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU489	1110	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU626	1117	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	RPMI001	"RPMI, 10% FBS"	SNP-unconfirmed
SNU738	1121	central_nervous_system	glioma	oligodendroglioma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SW1088	1151	central_nervous_system	glioma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-unconfirmed
SW1783	1159	central_nervous_system	glioma	astrocytoma_Grade_III	adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
T98G	1177	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
TM31	1204	central_nervous_system	glioma	astrocytoma	adherent	MEM001	"MEM, 10% FBS"	SNP-matched-reference
U118MG	1218	central_nervous_system	glioma	astrocytoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
U251MG	1223	central_nervous_system	glioma	astrocytoma	adherent	MEM001	"MEM, 10% FBS"	SNP-matched-reference
U87MG	1230	central_nervous_system	glioma	astrocytoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
YH13	1282	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	EMEM005	"EMEM, 20% FBS"	SNP-matched-reference
YKG1	1283	central_nervous_system	glioma	astrocytoma_Grade_IV	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
AN3CA	50	endometrium	carcinoma	adenocarcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
COLO684	163	endometrium	carcinoma	adenocarcinoma	suspension	RPMI007	"RPMI, 10% FBS, 2 mM glutamine"	SNP-matched-reference
EFE184	234	endometrium	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
EN	243	endometrium	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
ESS1	248	endometrium	carcinoma	carcinosarcoma; malignant_mesodermal_mixed_tumor	adherent	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
HEC108	350	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-not-tested
HEC151	351	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-matched-reference
HEC1A	352	endometrium	carcinoma	adenocarcinoma	adherent	MCCOYS5A001	"McCoy's 5A, 10% FBS"	SNP-matched-reference
HEC1B	353	endometrium	carcinoma	adenocarcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
HEC251	354	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-matched-reference
HEC265	355	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-not-tested
HEC50B	356	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-matched-reference
HEC59	357	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-unconfirmed
HEC6	358	endometrium	carcinoma	adenocarcinoma	adherent	EMEM002	"EMEM, 15% FBS"	SNP-matched-reference
ISHIKAWAHERAKLIO02ER	479	endometrium	carcinoma	adenocarcinoma	adherent	MEM002	"MEM, 15% heat-inactivated FBS, 10 mM L-glutamine, 0.1 mM NEAA"	SNP-not-tested
JHUEM1	497	endometrium	carcinoma	adenocarcinoma	adherent	DMEMF12003	"DMEM:F12 (1:1), 10% FBS"	SNP-matched-reference
JHUEM2	498	endometrium	carcinoma	adenocarcinoma	adherent	DMEMF12004	"DMEM:F12 (1:1), 10% FBS, 0.1 mM NEAA"	SNP-matched-reference
JHUEM3	499	endometrium	carcinoma	adenocarcinoma	adherent	DMEMF12004	"DMEM:F12 (1:1), 10% FBS, 0.1 mM NEAA"	SNP-matched-reference
KLE	534	endometrium	carcinoma	adenocarcinoma	adherent	DMEMF12003	"DMEM:F12 (1:1), 10% FBS"	SNP-not-tested
MFE296	671	endometrium	carcinoma	adenocarcinoma	adherent	RPMIMEM002	"RPMI:MEM (1:1), 10% FBS, 0.005 mg/mL insulin, 0.01 mg/mL transferrin, 30 nM sodium selenite,"	SNP-matched-reference
MFE319	672	endometrium	carcinoma	adenocarcinoma	adherent	RPMIMEM001	"RPMI:MEM (1:1), 10% FBS"	SNP-matched-reference
RL952	981	endometrium	carcinoma	mixed_adenosquamous_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNGM	1074	endometrium	carcinoma	adenocarcinoma	adherent	HAMSF12002	"HamsF12, 20% FBS"	SNP-matched-reference
SNU1077	1081	endometrium	carcinoma	carcinosarcoma; malignant_mesodermal_mixed_tumor	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU685	1119	endometrium	carcinoma	carcinosarcoma; malignant_mesodermal_mixed_tumor	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
697	1	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
A3KAW	31	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
A4FUK	34	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
ALLSIL	46	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
AML193	48	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	IMDM004	"IMDM, 5% FBS, 0.005mg/ml insulin, 0.005mg/ml transferrin, 5ng/ml GM-CSF"	SNP-matched-reference
AMO1	49	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
BCP1	56	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
BDCM	58	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
BL41	74	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
BL70	75	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI012	"RPMI, 10% FBS, 50 uM beta-mercaptoethanol"	SNP-matched-reference
BV173	100	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
CA46	106	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
CI1	145	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
CMK	151	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
CMLT1	154	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DAUDI	203	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DB	204	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DEL	206	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm		suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DND41	221	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DOHH2	222	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
EB1	228	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
EHEB	239	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
EJM	240	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	mixed	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
EM2	242	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
EOL1	244	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
F36P	253	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI015	"RPMI, 10% FBS, 10ng/ml GM-CSF"	SNP-matched-reference
GA10	266	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
GDM1	272	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
GRANTA519	283	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	suspension	DMEM005	"DMEM, 10% FBS, 2 mM L-glutamine"	SNP-matched-reference
HDLM2	347	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HDMYZ	348	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HEL	362	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HEL9217	363	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HH	369	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	adult_T_cell_lymphoma_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HL60	371	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	IMDM003	"IMDM, 20% FBS"	SNP-matched-reference
HPBALL	386	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
HS611T	405	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-not-tested
HT	445	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HUNS1	461	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI014	"RPMI, 15% FBS"	SNP-matched-reference
HUT78	465	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Sezary_syndrome; mycosis_fungoides	suspension	IMDM003	"IMDM, 20% FBS"	SNP-matched-reference
JEKO1	484	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
JJN3	502	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	IMDMDMEM001	"IMDM:DMEM (1:1), 20% FBS"	SNP-matched-reference
JK1	503	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
JM1	505	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
JURKAT	508	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
JURLMK1	509	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
