,TCGA-3C-AAAU-01,TCGA-3C-AALI-01,TCGA-3C-AALJ-01,TCGA-3C-AALK-01,TCGA-4H-AAAK-01
RNU4-76P,0,0,0,0,0
ITGAV,0,0,0,0,0
ITGAW,0,0,0,0,0
ITGAL,0,0,0,0,0
ITGAM,0,0,0,0,0
RN7SL9P,0,0,0,0,0
ITGAD,0,0,0,0,0
ITGAE,0,0,0,0,0
PRSM2,0,0,0,0,0
OR52Y2P,0,0,0,0,0
ATP1B3-AS1,0,0,0,0,0
IGF2R,0,0,0,0,0
SLC36A4,0,0,0,0,0
SLC36A3,0,0,0,0,0
CKS1B,0,0,0,0,0
SLC36A1,0,0,0,0,0
C14orf116,0,0,0,0,0
C14orf117,0,0,0,0,0
C14orf113,0,0,0,0,0
RPL31P13,0,0,0,0,0
ARTN,0,0,0,0,0
ART1,0,0,0,0,0
ART3,0,0,0,0,0
ART5,0,0,0,0,0
ART4,0,0,0,0,0
AC129492.6,0,0,0,0,0
CRTAM,0,0,0,0,0
DPYD-IT1,0,0,0,0,0
CADPS2,0,0,0,0,0
RLF,0,0,0,0,0
USP17L30,0,0,0,0,0
CRTAP,0,0,0,0,0
RNU6-16,0,0,0,0,0
RNU6-17,0,0,0,0,0
RNU6-14,0,0,0,0,0
RNU6-15,0,0,0,0,0
RNU6-12,0,0,0,0,0
MRPS24P1,0,0,0,0,0
RNU6-10,0,0,0,0,0
HPYR1,0,0,0,0,0
CPEB4,0,0,0,0,0
CPEB1,0,0,0,0,0
CPEB3,0,0,0,0,0
CPEB2,0,0,0,0,0
SRBD1,1,0,0,0,0
ABAT,0,0,0,0,0
LD,0,0,0,0,0
LE,0,0,0,0,0
TRNAE25,0,0,0,0,0
LW,0,0,0,0,0
POU5F1B,0,0,0,0,0
ZNF1,0,0,0,0,0
RNU7-122P,0,0,0,0,0
RNU7-189P,0,0,0,0,0
STAT5B,0,0,0,0,0
PHOX2A,0,0,0,0,0
OR4A44P,0,0,0,0,0
PHOX2B,0,0,0,0,0
NLRP14,0,0,0,0,0
UPK2,0,0,0,0,0
CFH,0,0,0,0,0
CFI,0,0,0,0,0
ANKFY1,0,0,0,0,0
CFB,0,0,0,0,0
TPT1-AS1,0,0,0,0,0
CFP,0,0,0,0,0
RNU5B-1,0,0,0,0,0
REREP3,0,0,0,0,0
AAAS,0,0,0,0,0
SIDT1,0,0,0,0,0
SIDT2,0,0,0,0,0
PISRT1,0,0,0,0,0
LIMAB1,0,0,0,0,0
SAGE1,0,0,0,0,0
KCNMB3P1,0,0,0,0,0
AAGAB,0,0,0,0,0
C4orf19,0,0,0,0,0
SLC7A6OS,0,0,0,0,0
C4orf17,0,0,0,0,0
EIF3EP3,0,0,0,0,0
EIF3EP2,0,0,0,0,0
EIF3EP1,0,0,0,0,0
IGLVI-38,0,0,0,0,0
FKHR,0,0,0,0,0
NBEAP1,0,0,0,0,0
NBEAP2,0,0,0,0,0
NBEAP3,0,0,0,0,0
NBEAP4,0,0,0,0,0
NBEAP5,0,0,0,0,0
NBEAP6,0,0,0,0,0
STXBP3,0,0,0,0,0
STAU2-AS1,0,0,0,0,0
RNU6ATAC39P,0,0,0,0,0
ABCE1,0,0,0,0,0
TEN1-CDK3,0,0,0,0,0
ZNF197-AS1,0,0,0,0,0
ZNF479,0,0,0,0,0
TXREB1,0,0,0,0,0
ZNF11B,0,0,0,0,0
RPL12P31,0,0,0,0,0
RPL12P32,0,0,0,0,0
MSL3P1,0,0,0,0,0
NCBP2-AS1,0,0,0,0,0
ZNF197,0,0,0,0,0
MDC1-AS1,0,0,0,0,0
SPPL2A,0,0,0,0,0
SIL1,0,0,0,0,0
C15orf26,0,0,0,0,0
C15orf27,0,0,0,0,0
ZNF118,0,0,0,0,0
TP73L,0,0,0,0,0
ZNF116,0,0,0,0,0
ZNF117,0,0,0,0,0
ZNF114,0,0,0,0,0
ZNF115,0,0,0,0,0
ZNF112,0,0,0,0,0
SEZ6L,0,0,0,0,0
ZNF110,0,0,0,0,0
ZNF111,0,0,0,0,0
HMBOX1-OT1,0,0,0,0,0
PRKAR2A,0,0,0,0,0
PRKAR2B,0,0,0,0,0
C20orf57,0,0,0,0,0
CRYBG3,0,0,0,0,0
RNU7-119P,0,0,0,0,0
TRNAV36P,0,0,0,0,0
TMEM200B,0,0,0,0,0
MALRD1,0,0,0,0,0
RNU7-104P,0,0,0,0,0
RPL12P36,0,0,0,0,0
ITGA2B,0,0,0,0,0
RTEL1,0,0,0,0,0
FAM58DP,0,0,0,0,0
ZMYM2-IT1,0,0,0,0,0
PHACTR4,0,0,0,0,0
NLGN2,0,0,0,0,0
NLGN3,0,0,0,0,0
OR2K1,0,0,0,0,0
NUP107,0,0,0,0,0
KRTAP2-3,0,0,0,0,0
KRTAP2-2,0,0,0,0,0
KRTAP2-1,0,0,0,0,0
KRTAP2-4,0,0,0,0,0
MIR4708,0,0,0,0,0
MIR4709,0,0,0,0,0
MIR4704,0,0,0,0,0
MIR4705,0,0,0,0,0
MIR4706,0,0,0,0,0
MIR4707,0,0,0,0,0
MIR4700,0,0,0,0,0
MIR4701,0,0,0,0,0
MIR4703,0,0,0,0,0
RPL12P38,0,0,0,0,0
ZNF736P3Y,0,0,0,0,0
RNU7-36P,0,0,0,0,0
OR11I2P,0,0,0,0,0
SBF1P1,0,0,0,0,0
ZNF471,0,0,0,0,0
SPAR,0,0,0,0,0
TRNAC30,0,0,0,0,0
SPAT,0,0,0,0,0
VMP1,0,0,0,0,0
PPIAP8,0,0,0,0,0
IGHVII-74-1,0,0,0,0,0
PPIAP4,0,0,0,0,0
PPIAP5,0,0,0,0,0
PPIAP6,0,0,0,0,0
PPIAP7,0,0,0,0,0
EPN2-AS1,0,0,0,0,0
PPIAP2,0,0,0,0,0
PPIAP3,0,0,0,0,0
NR1D1,0,0,0,0,0
NR1D2,0,0,0,0,0
CASP9,0,0,0,0,0
UFSP1,0,0,0,0,0
RNF182,0,0,0,0,0
OGFR,0,0,0,0,0
RPS26P43,0,0,0,0,0
RPS26P42,0,0,0,0,0
RPS26P41,0,0,0,0,0
RPS26P40,0,0,0,0,0
RPS26P47,0,0,0,0,0
RPS26P46,0,0,0,0,0
RPS26P45,0,0,0,0,0
RPS26P44,0,0,0,0,0
RPS26P49,0,0,0,0,0
RPS26P48,0,0,0,0,0
CTD-2620I22.1,0,0,0,0,0
CACNLB1,0,0,0,0,0
CACNLB2,0,0,0,0,0
CACNLB3,0,0,0,0,0
PTCH2,0,0,0,0,0
PTCH1,0,0,0,0,0
AOAH-IT1,0,0,0,0,0
TIMM44,0,0,0,0,0
PLPB1,0,0,0,0,0
RAD9B,0,0,0,0,0
AGTIL,0,0,0,0,0
ERGIC2,0,0,0,0,0
ERGIC3,0,0,0,0,0
VN2R10P,0,0,0,0,0
ERGIC1,0,0,0,0,0
MIR3165,0,0,0,0,0
MIR3164,0,0,0,0,0
MIR3167,0,0,0,0,0
MIR3166,0,0,0,0,0
MIR3161,0,0,0,0,0
MIR3163,0,0,0,0,0
MIR3162,0,0,0,0,0
B3GAT3,0,0,0,0,0
B3GAT2,0,0,0,0,0
B3GAT1,0,0,0,0,0
MIR3169,0,0,0,0,0
MIR3168,0,0,0,0,0
SPG27,0,0,0,0,0
SPG26,0,0,0,0,0
SPG25,0,0,0,0,0
SPG24,0,0,0,0,0
CALM2,0,0,0,0,0
CALM3,0,0,0,0,0
SPG21,0,0,0,0,0
CALM1,0,0,0,0,0
GSDMA,0,0,0,0,0
GSDMB,0,0,0,0,0
GSDMC,0,0,0,0,0
GSDMD,0,0,0,0,0
UPK1A,0,0,0,0,0
SPG29,0,0,0,0,0
SPG28,0,0,0,0,0
DLGAP2,0,1,0,0,0
DLGAP3,0,0,0,0,0
DLGAP1,0,0,0,0,0
DLGAP4,0,0,0,0,0
DLGAP5,0,0,0,0,0
CFNS,0,0,0,0,0
FBXL14,0,0,0,0,0
OIP5,0,0,0,0,0
GCSAML-AS1,0,0,0,0,0
FBXL19,0,0,0,0,0
MIR506,0,0,0,0,0
PTPN18,0,0,0,0,0
LRRFIP2,0,0,0,0,0
PTPN13,0,0,0,0,0
PTPN12,0,0,0,0,0
PTPN11,0,0,0,0,0
PTPN10,0,0,0,0,0
PTPN17,0,0,0,0,0
RPL32P33,0,0,0,0,0
RPL32P30,0,0,0,0,0
PTPN14,0,0,0,0,0
LYAR,0,0,0,0,0
MIR508,0,0,0,0,0
RN7SL618P,0,0,0,0,0
DDC8,0,0,0,0,0
C2orf81,0,0,0,0,0
C2orf80,0,0,0,0,0
C2orf83,0,0,0,0,0
C2orf82,0,0,0,0,0
SNORA84,0,0,0,0,0
FAM210CP,0,0,0,0,0
C2orf88,0,0,0,0,0
LRRC37A10P,0,0,0,0,0
MSMP,0,0,0,0,0
MZB1,0,0,0,0,0
TRAPPC6B,0,0,0,0,0
RN7SL552P,0,0,0,0,0
RN7SL858P,0,0,0,0,0
RN7SL480P,0,0,0,0,0
HLA-DQB1,0,0,0,0,0
MSMB,0,0,0,0,0
HLA-DQB3,0,0,0,0,0
HLA-DQB2,0,0,0,0,0
RPL23AP29,0,0,0,0,0
GK-IT1,0,0,0,0,0
CDK7,0,0,0,0,0
FOXS1,0,0,0,0,0
AC008060.7,0,0,0,0,0
RPL23AP27,0,0,0,0,0
SOX21,0,0,0,0,0
CDK9,0,0,0,0,0
CHORDC2P,0,0,0,0,0
TTTY11,0,0,0,0,0
RN7SL569P,0,0,0,0,0
NDUFA3P3,0,0,0,0,0
CAMKK2,0,0,0,0,0
NDUFA3P1,0,0,0,0,0
NDUFA3P6,0,0,0,0,0
NDUFA3P5,0,0,0,0,0
NDUFA3P4,0,0,0,0,0
PPP1R1AP2,0,0,0,0,0
RPL23AP20,0,0,0,0,0
PPP1R1AP1,0,0,0,0,0
OR5D11P,0,0,0,0,0
CHMP3,0,0,0,0,0
RPL36AL,0,0,0,0,0
CHMP7,0,0,0,0,0
CHMP6,0,0,0,0,0
CHMP5,0,0,0,0,0
OR52N4,0,0,0,0,0
OR52N5,0,0,0,0,0
OR52N2,0,0,0,0,0
OR52N1,0,0,0,0,0
NCLP2,0,0,0,0,0
LY6G6C,0,0,0,0,0
HOXA13,0,0,0,0,0
LY6G6E,0,0,0,0,0
HOXA11,0,0,0,0,0
HOXA10,0,0,0,0,0
RN7SL320P,0,0,0,0,0
LIPT1P1,0,0,0,0,0
COX4I1P1,0,0,0,0,0
COX4I1P2,0,0,0,0,0
GALNTL5,0,1,0,0,0
RPS4XP2,0,0,0,0,0
GALNTL6,0,0,0,0,0
RPS4XP1,0,0,0,0,0
AC004837.4,0,0,0,0,0
TDH,0,0,0,0,0
KRTAP11-1,0,0,0,0,0
TDG,0,0,0,0,0
TDD,0,0,0,0,0
HN1,0,0,0,0,0
TBX2,0,0,0,0,0
LRRC27,0,0,0,0,0
LRRC26,0,0,0,0,0
KIAA1524,0,0,0,0,0
LRRC24,0,0,0,0,0
KIAA1522,0,1,0,0,0
MPDU1,0,0,0,0,0
LRRC20,0,0,0,0,0
TMEM38A,0,0,0,0,0
RN7SL758P,0,0,0,0,0
LRRC29,0,0,0,0,0
LRRC28,0,0,0,0,0
GCNT5,0,0,0,0,0
GCNT4,0,0,0,0,0
GCNT7,0,0,0,0,0
GCNT6,0,0,0,0,0
GCNT1,0,0,0,0,0
GCNT3,0,0,0,0,0
GCNT2,0,0,0,0,0
CCL3P1,0,0,0,0,0
LPCAT4,0,0,0,0,0
LPCAT2,0,0,0,0,0
LPCAT3,0,0,0,0,0
RPL35AP,0,0,0,0,0
LPCAT1,0,0,0,0,0
NDUFB11P1,0,0,0,0,0
GLC2A,0,0,0,0,0
MTND4P27,0,0,0,0,0
ZNF816B,0,0,0,0,0
TTTY19,0,0,0,0,0
RN7SL437P,0,0,0,0,0
CCDC178,0,0,0,0,0
CCDC179,0,0,0,0,0
ALPP,0,0,0,0,0
MIR513B,0,0,0,0,0
MIR513C,0,0,0,0,0
CCDC170,0,0,0,0,0
CCDC171,0,0,0,0,0
CCDC172,0,0,0,0,0
CCDC173,0,0,0,0,0
CCDC174,0,0,0,0,0
CCDC175,0,0,0,0,0
CCDC176,0,0,0,0,0
CCDC177,0,0,0,0,0
PDK1,0,0,0,0,0
CTD-2303H24.2,0,0,0,0,0
PDK3,0,0,0,0,0
PDK2,0,0,0,0,0
EBP,0,0,0,0,0
PDK4,0,0,0,0,0
LNPEP,0,0,0,0,0
ALPI,0,0,0,0,0
SEC61A1,0,0,0,0,0
SEC61A2,0,0,0,0,0
ALPL,0,0,0,0,0
PECR,0,0,0,0,0
PKP4P1,0,0,0,0,0
MIR193A,0,0,0,0,0
MIR193B,0,0,0,0,0
PRSM1,0,0,0,0,0
RN7SKP158,0,0,0,0,0
RN7SKP159,0,0,0,0,0
HAS2-AS1,0,0,0,0,0
PLA2G12AP1,0,0,0,0,0
PLA2G12AP2,0,0,0,0,0
RN7SKP155,0,0,0,0,0
RN7SKP152,0,0,0,0,0
RN7SKP153,0,0,0,0,0
RN7SKP150,0,0,0,0,0
RN7SKP151,0,0,0,0,0
INMT-FAM188B,0,0,0,0,0
LINC01098,0,0,0,0,0
CTAGE11P,0,0,0,0,0
OR56A2P,0,0,0,0,0
HMGN2P19,0,0,0,0,0
HMGN2P18,0,0,0,0,0
HMGN2P13,0,0,0,0,0
HMGN2P12,0,0,0,0,0
HMGN2P11,0,0,0,0,0
HMGN2P10,0,0,0,0,0
HMGN2P17,0,0,0,0,0
HMGN2P16,0,0,0,0,0
HMGN2P15,0,0,0,0,0
HMGN2P14,0,0,0,0,0
DDIT1,0,0,0,0,0
DDIT3,0,0,0,0,0
DDIT4,0,0,0,0,0
SLCO4C1,0,0,0,0,0
SURF6P1,0,0,0,0,0
DOCK9-AS1,0,0,0,0,0
DOCK9-AS2,0,0,0,0,0
RNA18SP2,0,0,0,0,0
MSK40,0,0,0,0,0
MSK41,0,0,0,0,0
GOLGA8T,0,0,0,0,0
OR5R1,0,0,0,0,0
GOLGA8Q,0,0,0,0,0
GOLGA8S,0,0,0,0,0
GOLGA8R,0,0,0,0,0
GOLGA8M,0,0,0,0,0
GOLGA8O,0,0,0,0,0
GOLGA8N,0,0,0,0,0
GOLGA8I,0,0,0,0,0
GOLGA8H,0,0,0,0,0
GOLGA8K,0,0,0,0,0
GOLGA8J,0,0,0,0,0
GOLGA8G,0,0,0,0,0
GOLGA8F,0,0,0,0,0
GOLGA8A,0,0,0,0,0
GOLGA8B,0,0,0,0,0
EPHB1,0,0,0,0,0
CT45A1,0,0,0,0,0
CT45A3,0,0,0,0,0
CT45A2,0,0,0,0,0
CT45A5,0,0,0,0,0
CT45A4,0,0,0,0,0
CT45A6,0,0,0,0,0
VMO1,0,0,0,0,0
OGFR-AS1,0,0,0,0,0
ATP5C1,0,0,0,0,0
MIR639,0,0,0,0,0
MIR638,0,0,0,0,0
IGHV1-8,0,0,0,0,0
MIR635,0,0,0,0,0
MIR634,0,0,0,0,0
MIR637,0,0,0,0,0
MIR636,0,0,0,0,0
MIR631,0,0,0,0,0
IGHV1-2,0,0,0,0,0
MIR633,0,0,0,0,0
MIR632,0,0,0,0,0
LINC00320,0,0,0,0,0
NPC2,0,0,0,0,0
LINC00322,0,0,0,0,0
GATA3-AS1,0,0,0,0,0
LINC00324,0,0,0,0,0
LINC00326,0,0,0,0,0
LINC00327,0,0,0,0,0
LINC00328,0,0,0,0,0
LINC00329,0,0,0,0,0
C3orf58,0,0,0,0,0
PRKCB,0,0,0,0,0
RAB3GAP2,0,0,0,0,0
BHLHA15,0,0,0,0,0
RAB3GAP1,0,0,0,0,0
C3orf53,0,0,0,0,0
C3orf52,0,0,0,0,0
C3orf55,0,0,0,0,0
C3orf56,0,0,0,0,0
DAG1,0,0,0,0,0
IGHV1-F,0,0,0,0,0
IGHV1-E,0,0,0,0,0
IGHV1-C,0,0,0,0,0
ETHE1,0,0,0,0,0
SGSM3,0,0,0,0,0
KDM1A,0,0,0,0,0
KDM1B,0,0,0,0,0
SGSM1,0,0,0,1,0
SLC36A2,0,0,0,0,0
OR1S1,0,0,0,0,0
OR1S2,0,0,0,0,0
MIR2355,0,0,0,0,0
AC037199.1,0,0,0,0,0
RBM14-RBM4,0,0,0,0,0
TRBV1,0,0,0,0,0
FCER1G,0,0,0,0,0
BTG4,0,0,0,0,0
BTG3,0,0,0,0,0
BTG2,0,0,0,0,0
BTG1,0,0,0,0,0
FCER1B,0,0,0,0,0
SRD5A3,0,0,0,0,0
SRD5A2,0,0,0,0,0
SRD5A1,0,0,0,0,0
RN7SL367P,0,0,0,0,0
EIF1AX-AS1,0,0,0,0,0
GGA1,0,0,0,0,0
GGA3,0,0,0,0,0
GGA2,0,0,0,0,0
FHOD1,0,0,0,0,0
FHOD3,0,0,0,0,0
C4orf6,0,0,0,0,0
GJC2,0,0,0,0,0
C4orf3,0,0,0,0,0
GJC1,0,0,0,0,0
PSMB9,0,0,0,0,0
PSMB8,0,0,0,0,0
PSMB7,0,0,0,0,0
PSMB6,0,0,0,0,0
PSMB5,0,0,0,0,0
C14orf119,0,0,0,0,0
PSMB3,0,0,0,0,0
PSMB2,0,0,0,0,0
PSMB1,0,0,0,0,0
RP11-17M16.1,0,0,0,0,0
LMBR1L,0,0,0,0,0
SNORD115-14,0,0,0,0,0
ITM2BP1,0,0,0,0,0
TRAV23DV6,0,0,0,0,0
MEIS1-AS3,0,0,0,0,0
ACKR3,0,0,0,0,0
FLJ27365,0,0,0,0,0
SNORD115-16,0,0,0,0,0
SETP5,0,0,0,0,0
SETP4,0,0,0,0,0
SETP7,0,0,0,0,0
SETP6,0,0,0,0,0
SETP1,0,0,0,0,0
SETP3,0,0,0,0,0
SETP2,0,0,0,0,0
SNORD115-10,0,0,0,0,0
RP11-486G15.2,0,0,0,0,0
SETP9,0,0,0,0,0
RN7SL45P,0,0,0,0,0
LTN1,0,0,0,0,0
C9orf147,0,0,0,0,0
TRIML2,0,0,0,0,0
C9orf141,0,0,0,0,0
C9orf142,0,0,0,0,0
TRIML1,0,0,0,0,0
NACC2,0,0,0,0,0
VPS13D,0,0,0,0,0
NACC1,0,0,0,0,0
VPS13A,0,0,0,0,0
C9orf149,0,0,0,0,0
VPS13C,0,0,0,0,0
VPS13B,0,0,0,0,0
BEX5,0,0,0,0,0
BEX4,0,0,0,0,0
ALG13-AS1,0,0,0,0,0
BEX1,0,0,0,0,0
IGHD6-25,0,0,0,0,0
TMEM160,0,0,0,0,0
TMEM163,0,0,0,0,0
TMEM165,0,0,0,0,0
TMEM164,0,0,0,0,0
EVI2A,0,0,0,0,0
TMEM168,0,0,0,0,0
EVI2B,0,0,0,0,0
FOXN1,0,0,0,0,0
ALG1L14P,0,0,0,0,0
FOXN3,0,0,0,0,0
NICN1,0,0,0,0,0
COL14A1,0,0,0,0,0
MEMO1P4,0,0,0,0,0
OR4D12P,0,0,0,0,0
MEMO1P2,0,0,0,0,0
MEMO1P3,0,0,0,0,0
FAHD2A,0,0,0,0,0
IFFO1,0,0,0,0,0
IGHV4-4,0,0,0,0,0
IFFO2,0,0,0,0,0
SNAP91,0,0,0,0,0
RNU2-5P,0,0,0,0,0
RP11-149I2.4,0,0,0,0,0
C11orf39,0,0,0,0,0
C11orf35,0,0,0,0,0
C11orf34,0,0,0,0,0
C11orf31,0,0,0,0,0
C11orf30,0,0,0,0,0
C11orf32,0,0,0,0,0
RPL15P3,0,0,0,0,0
RPL15P2,0,0,0,0,0
RPL15P1,0,0,0,0,0
RPL15P7,0,0,0,0,0
RPL15P6,0,0,0,0,0
RPL15P5,0,0,0,0,0
RPL15P4,0,0,0,0,0
GABRA3,0,0,0,0,0
RPL15P9,0,0,0,0,0
RPL15P8,0,0,0,0,0
USP10P1,0,0,0,0,0
USP10P2,0,0,0,0,0
PHTF2,0,0,0,0,0
ARL4P2,0,0,0,0,0
MACROD1,0,0,0,0,0
VN1R20P,0,0,0,0,0
PPIL1,0,0,0,0,0
IGHV4-B,0,0,0,0,0
ZNF346-IT1,0,0,0,0,0
KRR1,0,0,0,0,0
MRPL50P4,0,0,0,0,0
FAM64A,0,0,0,0,0
RPLP2P4,0,0,0,0,0
STP2,0,0,0,0,0
FAM92A1,0,0,0,0,0
HMGN1P9,0,0,0,0,0
HMGN1P4,0,0,0,0,0
HMGN1P5,0,0,0,0,0
HMGN1P6,0,0,0,0,0
HMGN1P7,0,0,0,0,0
HMGN1P1,0,0,0,0,0
HMGN1P2,0,0,0,0,0
HMGN1P3,0,0,0,0,0
HIST2H3PS2,0,0,0,0,0
C8orf49,0,0,0,0,0
C8orf48,0,0,0,0,0
C8orf47,0,0,0,0,0
C8orf46,0,0,0,0,0
C8orf44,0,0,0,0,0
C8orf42,0,0,0,0,0
TP53I3,0,0,0,0,0
UBE2L6,0,0,0,0,0
CEAL1,0,0,0,0,0
MB,0,0,0,0,0
OR7E31P,0,0,0,0,0
DUX4L7,0,0,0,0,0
DUX4L6,0,0,0,0,0
DUX4L5,0,0,0,0,0
DUX4L4,0,0,0,0,0
DUX4L3,0,0,0,0,0
DUX4L2,0,0,0,0,0
MS,0,0,0,0,0
SLC18A3,0,0,0,0,0
SLC18A2,0,0,0,1,0
SLC18A1,0,0,0,0,0
STRC,0,0,0,0,0
DUX4L9,0,0,0,0,0
DUX4L8,0,0,0,0,0
RALBP1,0,0,0,0,0
TMEM179,0,0,0,0,0
ZNF831,0,0,0,0,0
ZNF830,0,0,0,0,0
RN7SL116P,0,0,0,0,0
ZNF835,0,0,0,0,0
ZNF834,0,0,0,0,0
UBE2L4,0,0,0,0,0
ZNF836,0,0,0,0,0
ZNF839,0,0,0,0,0
ZNF838,0,0,0,0,0
RNU6-13,0,0,0,0,0
ELNR1,0,0,0,0,0
OXCT2P1,0,0,0,0,0
TRNASUP4P,0,0,0,0,0
FAM91A1,0,0,0,0,0
KIF3B,0,0,0,0,0
RNU6-11,0,0,0,0,0
CLYBL-AS2,0,0,0,0,0
CLYBL-AS1,0,0,0,0,0
MLK7-AS1,0,0,0,0,0
RN7SL463P,0,0,0,0,0
CMR1A,0,0,0,0,0
RP11-227B21.2,0,0,0,0,0
SUGCT,0,0,0,0,0
UBE2L2,0,0,0,0,0
RNU6-18,0,0,0,0,0
RSF1-IT2,0,0,0,0,0
TSPY8,0,0,0,0,0
MIR4773-2,0,0,0,0,0
MIR4773-1,0,0,0,0,0
RNU6-19,0,0,0,0,0
TSPY3,0,0,0,0,0
TSPY2,0,0,0,0,0
TSPY1,0,0,0,0,0
MED4-AS1,0,0,0,0,0
RAB33A,0,0,0,0,0
SLC17A9,0,0,0,0,0
RAB33B,0,0,0,0,0
SLC17A4,0,0,0,0,0
SLC17A5,0,1,0,0,0
RN7SL172P,0,0,0,0,0
SLC17A7,0,0,0,0,0
SLC17A1,0,0,0,0,0
SLC17A2,0,0,0,0,0
SLC17A3,0,0,0,0,0
UBE2L3,0,0,0,0,0
RN7SL239P,0,0,0,0,0
C16orf58,0,0,0,0,0
C16orf59,0,0,0,0,0
YEATS2-AS1,0,0,0,0,0
TMEFF1,0,0,0,0,0
C16orf52,0,0,0,0,0
WASIR1,0,0,0,0,0
C16orf54,0,0,0,0,0
C16orf55,0,0,0,0,0
AP5B1,0,0,0,0,0
CHMP4A,0,0,0,0,0
CHMP4B,0,0,0,0,0
CHMP4C,0,0,0,0,0
COBLL1,0,0,0,0,0
TMEM255B,0,0,0,0,0
TMEM255A,0,0,0,0,0
ST4,0,0,0,0,0
ST5,0,0,0,0,0
LINC01106,0,0,0,0,0
ST7,0,0,0,0,0
ST2,0,0,0,0,0
ST3,0,0,0,0,0
ST8,0,0,0,0,0
CYP4A22-AS1,0,0,0,0,0
WBP2P1,0,0,0,0,0
ZNF309,0,0,0,0,0
STC,0,0,0,0,0
STM,0,0,0,0,0
STN,0,0,0,0,0
STO,0,0,0,0,0
STH,0,0,0,0,0
ZNF302,0,0,0,0,0
ZNF301,0,0,0,0,0
ZNF300,0,0,0,0,0
ACBP,0,0,0,0,0
TP53TG5,0,0,0,0,0
STS,0,0,0,0,0
TRIM49D2P,0,0,0,0,0
HOXB13,0,0,0,0,0
MIR4531,0,0,0,0,0
CASP3P1,0,0,0,0,0
MIR4530,0,0,0,0,0
RNU7-200P,0,0,0,0,0
RN7SL529P,0,0,0,0,0
RPL36A,0,0,0,0,0
PPP3CA,0,0,0,0,0
PPP3CB,0,0,0,0,0
PPP3CC,0,0,0,0,0
LIF,0,0,0,0,0
RPL12,0,0,0,0,0
RPL13,0,0,0,0,0
RNU7-176P,0,0,0,0,0
MIR4539,0,0,0,0,0
HK2P2,0,0,0,0,0
HK2P1,0,0,0,0,0
RPL18,1,0,0,0,0
ADRA2A,0,0,0,0,0
ADRA2B,0,0,0,0,0
ADRA2C,0,1,0,0,0
TEX26,0,0,0,0,0
TEX22,0,0,0,0,0
RNU7-53P,0,0,0,0,0
TEX28,0,0,0,0,0
TEX29,0,0,0,0,0
IGHVOR16@,0,0,0,0,0
SYT8,0,0,0,0,0
SYT9,0,0,0,0,0
MTCH2,0,0,0,0,0
MTCH1,0,0,0,0,0
SYT1,0,0,0,0,0
SYT2,0,0,0,0,1
SYT3,0,0,0,0,0
SYT4,0,0,0,0,0
SYT5,0,0,0,0,0
SYT6,0,0,0,0,0
SYT7,0,0,0,0,0
NBN,0,0,0,0,0
TIAL1,0,0,0,0,0
RP1-202O8.3,0,0,0,0,0
VN1R94P,0,0,0,0,0
IGKV1-12,0,0,0,0,0
FUBP3,0,0,0,0,0
FUBP1,0,0,0,0,0
