Gene stable ID	Gene name	Mouse gene name	Mouse gene stable ID	Mouse homology type
ENSG00000212167	RNU6-763P	Gm24750	ENSMUSG00000088468	ortholog_one2one
ENSG00000200003	RNU6-986P	Gm25713	ENSMUSG00000089250	ortholog_one2one
ENSG00000212407	RNU6-663P	Gm22974	ENSMUSG00000065235	ortholog_one2one
ENSG00000198888	MT-ND1	mt-Nd1	ENSMUSG00000064341	ortholog_one2one
ENSG00000198763	MT-ND2	mt-Nd2	ENSMUSG00000064345	ortholog_one2one
ENSG00000198804	MT-CO1	mt-Co1	ENSMUSG00000064351	ortholog_one2one
ENSG00000198712	MT-CO2	mt-Co2	ENSMUSG00000064354	ortholog_one2one
ENSG00000228253	MT-ATP8	mt-Atp8	ENSMUSG00000064356	ortholog_one2one
ENSG00000198899	MT-ATP6	mt-Atp6	ENSMUSG00000064357	ortholog_one2one
ENSG00000277568	RF02271	Gm27457	ENSMUSG00000099024	ortholog_one2one
ENSG00000198938	MT-CO3	mt-Co3	ENSMUSG00000064358	ortholog_one2one
ENSG00000252358	RN7SKP135	Gm26274	ENSMUSG00000087728	ortholog_one2one
ENSG00000198840	MT-ND3	mt-Nd3	ENSMUSG00000064360	ortholog_one2one
ENSG00000212907	MT-ND4L	mt-Nd4l	ENSMUSG00000065947	ortholog_one2one
ENSG00000276365	MIR145	Mir145a	ENSMUSG00000065592	ortholog_one2one
ENSG00000198886	MT-ND4	mt-Nd4	ENSMUSG00000064363	ortholog_one2one
ENSG00000276496	RF02139	Gm27695	ENSMUSG00000098969	ortholog_one2one
ENSG00000198786	MT-ND5	mt-Nd5	ENSMUSG00000064367	ortholog_one2one
ENSG00000278334	RF02138	Gm27492	ENSMUSG00000098435	ortholog_one2one
ENSG00000201583	RN7SKP191	Gm23780	ENSMUSG00000088562	ortholog_one2one
ENSG00000198695	MT-ND6	mt-Nd6	ENSMUSG00000064368	ortholog_one2one
ENSG00000198727	MT-CYB	mt-Cytb	ENSMUSG00000064370	ortholog_one2one
ENSG00000252103	RNU6-917P	Gm23535	ENSMUSG00000088167	ortholog_one2one
ENSG00000223245	RNU4-63P	Gm22717	ENSMUSG00000084652	ortholog_one2one
ENSG00000201179	RNU6-1322P	Gm23641	ENSMUSG00000088482	ortholog_one2one
ENSG00000223313	RNU6-516P	Gm22971	ENSMUSG00000065239	ortholog_one2one
ENSG00000264994	SNORD92	Snord92	ENSMUSG00000093289	ortholog_one2one
ENSG00000199603	RNU6-951P	Gm26076	ENSMUSG00000077253	ortholog_one2one
ENSG00000222524	RN7SKP109	Gm22024	ENSMUSG00000084682	ortholog_one2one
ENSG00000222486	RNU6-77P	Gm22080	ENSMUSG00000088216	ortholog_one2one
ENSG00000252015	RNU6-904P	Gm22335	ENSMUSG00000088349	ortholog_one2one
ENSG00000206630	SNORD60	Snord60	ENSMUSG00000064768	ortholog_one2one
ENSG00000251943	RNU6-693P	Gm23940	ENSMUSG00000075908	ortholog_one2one
ENSG00000206941	SNORD15A	Snord15a	ENSMUSG00000065822	ortholog_one2one
ENSG00000271739	RNU1-29P	Gm24736	ENSMUSG00000089487	ortholog_one2one
ENSG00000201164	RNU4-36P	Gm26393	ENSMUSG00000088250	ortholog_one2one
ENSG00000207692	MIR592	Mir592	ENSMUSG00000076067	ortholog_one2one
ENSG00000273961	RF02137	Gm28032	ENSMUSG00000098717	ortholog_one2one
ENSG00000207569	MIR433	Mir433	ENSMUSG00000070072	ortholog_one2one
ENSG00000207008	SNORA54	Gm23297	ENSMUSG00000065118	ortholog_one2one
ENSG00000199130	MIR365A	Mir365-1	ENSMUSG00000065449	ortholog_one2one
ENSG00000207118	SNORD14D	Snord14d	ENSMUSG00000095118	ortholog_one2one
ENSG00000207076	RNU6-1113P	Gm26327	ENSMUSG00000070236	ortholog_one2one
ENSG00000207516	SNORA41B	Gm25409	ENSMUSG00000065698	ortholog_one2one
ENSG00000207360	RNU6-14P	Gm23712	ENSMUSG00000095112	ortholog_one2one
ENSG00000202231	RF00411	Gm24438	ENSMUSG00000088518	ortholog_one2one
ENSG00000200623	SNORD18A	Gm23344	ENSMUSG00000065752	ortholog_one2one
ENSG00000199363	RF00092	Gm25852	ENSMUSG00000064724	ortholog_one2one
ENSG00000272533	SNORA28	Snora28	ENSMUSG00000064493	ortholog_one2one
ENSG00000211574	MIR770	Mir770	ENSMUSG00000076451	ortholog_one2one
ENSG00000278643	RF02271	Gm27373	ENSMUSG00000099192	ortholog_one2one
ENSG00000274759	RNA5SP527	n-R5s217	ENSMUSG00000065275	ortholog_one2one
ENSG00000272036	MIR139	Mir139	ENSMUSG00000065446	ortholog_one2one
ENSG00000283904	MIR155	Mir155	ENSMUSG00000065397	ortholog_one2one
ENSG00000142530	FAM71E1	Fam71e1	ENSMUSG00000051113	ortholog_one2one
ENSG00000086967	MYBPC2	Mybpc2	ENSMUSG00000038670	ortholog_one2one
ENSG00000142552	RCN3	Rcn3	ENSMUSG00000019539	ortholog_one2one
ENSG00000112379	ARFGEF3	Arfgef3	ENSMUSG00000019852	ortholog_one2one
ENSG00000103642	LACTB	Lactb	ENSMUSG00000032370	ortholog_one2one
ENSG00000170855	TRIAP1	Triap1	ENSMUSG00000029535	ortholog_one2one
ENSG00000127412	TRPV5	Trpv5	ENSMUSG00000036899	ortholog_one2one
ENSG00000105732	ZNF574	Zfp574	ENSMUSG00000045252	ortholog_one2one
ENSG00000137955	RABGGTB	Rabggtb	ENSMUSG00000038975	ortholog_one2one
ENSG00000143224	PPOX	Ppox	ENSMUSG00000062729	ortholog_one2one
ENSG00000134285	FKBP11	Fkbp11	ENSMUSG00000003355	ortholog_one2one
ENSG00000165259	HDX	Hdx	ENSMUSG00000034551	ortholog_one2one
ENSG00000172602	RND1	Rnd1	ENSMUSG00000054855	ortholog_one2one
ENSG00000163352	LENEP	Lenep	ENSMUSG00000078173	ortholog_one2one
ENSG00000196074	SYCP2	Sycp2	ENSMUSG00000060445	ortholog_one2one
ENSG00000167962	ZNF598	Zfp598	ENSMUSG00000041130	ortholog_one2one
ENSG00000167535	CACNB3	Cacnb3	ENSMUSG00000003352	ortholog_one2one
ENSG00000203667	COX20	Cox20	ENSMUSG00000026500	ortholog_one2one
ENSG00000173627	APOBEC4	Apobec4	ENSMUSG00000055547	ortholog_one2one
ENSG00000198756	COLGALT2	Colgalt2	ENSMUSG00000032649	ortholog_one2one
ENSG00000113296	THBS4	Thbs4	ENSMUSG00000021702	ortholog_one2one
ENSG00000168813	ZNF507	Zfp507	ENSMUSG00000044452	ortholog_one2one
ENSG00000159214	CCDC24	Ccdc24	ENSMUSG00000078588	ortholog_one2one
ENSG00000231500	RPS18	Rps18	ENSMUSG00000008668	ortholog_one2one
ENSG00000198860	TSEN15	Tsen15	ENSMUSG00000014980	ortholog_one2one
ENSG00000150433	TMEM218	Tmem218	ENSMUSG00000032121	ortholog_one2one
ENSG00000182093	WRB	Wrb	ENSMUSG00000023147	ortholog_one2one
ENSG00000157379	DHRS1	Dhrs1	ENSMUSG00000002332	ortholog_one2one
ENSG00000108576	SLC6A4	Slc6a4	ENSMUSG00000020838	ortholog_one2one
ENSG00000223501	VPS52	Vps52	ENSMUSG00000024319	ortholog_one2one
ENSG00000116791	CRYZ	Cryz	ENSMUSG00000028199	ortholog_one2one
ENSG00000139990	DCAF5	Dcaf5	ENSMUSG00000049106	ortholog_one2one
ENSG00000160691	SHC1	Shc1	ENSMUSG00000042626	ortholog_one2one
ENSG00000116667	C1orf21	1700025G04Rik	ENSMUSG00000032666	ortholog_one2one
ENSG00000178904	DPY19L3	Dpy19l3	ENSMUSG00000043671	ortholog_one2one
ENSG00000170264	FAM161A	Fam161a	ENSMUSG00000049811	ortholog_one2one
ENSG00000116406	EDEM3	Edem3	ENSMUSG00000043019	ortholog_one2one
ENSG00000165105	RASEF	Rasef	ENSMUSG00000043003	ortholog_one2one
ENSG00000179914	ITLN1	Itln1	ENSMUSG00000038209	ortholog_one2one
ENSG00000162623	TYW3	Tyw3	ENSMUSG00000047583	ortholog_one2one
ENSG00000000938	FGR	Fgr	ENSMUSG00000028874	ortholog_one2one
ENSG00000135842	FAM129A	Fam129a	ENSMUSG00000026483	ortholog_one2one
ENSG00000119403	PHF19	Phf19	ENSMUSG00000026873	ortholog_one2one
ENSG00000129351	ILF3	Ilf3	ENSMUSG00000032178	ortholog_one2one
ENSG00000121481	RNF2	Rnf2	ENSMUSG00000026484	ortholog_one2one
ENSG00000162624	LHX8	Lhx8	ENSMUSG00000096225	ortholog_one2one
ENSG00000074219	TEAD2	Tead2	ENSMUSG00000030796	ortholog_one2one
ENSG00000100626	GALNT16	Galnt16	ENSMUSG00000021130	ortholog_one2one
ENSG00000121486	TRMT1L	Trmt1l	ENSMUSG00000053286	ortholog_one2one
ENSG00000215845	TSTD1	Tstd1	ENSMUSG00000103711	ortholog_one2one
ENSG00000103194	USP10	Usp10	ENSMUSG00000031826	ortholog_one2one
ENSG00000158769	F11R	F11r	ENSMUSG00000038235	ortholog_one2one
ENSG00000135914	HTR2B	Htr2b	ENSMUSG00000026228	ortholog_one2one
ENSG00000116668	SWT1	Swt1	ENSMUSG00000052748	ortholog_one2one
ENSG00000260682	RN7SKP176	Gm23624	ENSMUSG00000064397	ortholog_one2one
ENSG00000278374	RF00015	Gm25882	ENSMUSG00000088409	ortholog_one2one
ENSG00000222068	RN7SKP154	Gm25288	ENSMUSG00000084749	ortholog_one2one
ENSG00000201813	RNU6-915P	Gm25335	ENSMUSG00000088668	ortholog_one2one
ENSG00000199153	MIR30D	Mir30d	ENSMUSG00000065437	ortholog_one2one
ENSG00000198973	MIR375	Mir375	ENSMUSG00000065616	ortholog_one2one
ENSG00000207500	SNORD102	Gm25091	ENSMUSG00000077185	ortholog_one2one
ENSG00000164440	TXLNB	Txlnb	ENSMUSG00000039891	ortholog_one2one
ENSG00000161671	EMC10	Emc10	ENSMUSG00000008140	ortholog_one2one
ENSG00000173171	MTX1	Mtx1	ENSMUSG00000064068	ortholog_one2one
ENSG00000164032	H2AFZ	H2afz	ENSMUSG00000037894	ortholog_one2one
ENSG00000070214	SLC44A1	Slc44a1	ENSMUSG00000028412	ortholog_one2one
ENSG00000167987	VPS37C	Vps37c	ENSMUSG00000048832	ortholog_one2one
ENSG00000185088	RPS27L	Rps27l	ENSMUSG00000036781	ortholog_one2one
ENSG00000027697	IFNGR1	Ifngr1	ENSMUSG00000020009	ortholog_one2one
ENSG00000186889	TMEM17	Tmem17	ENSMUSG00000049904	ortholog_one2one
ENSG00000128165	ADM2	Adm2	ENSMUSG00000054136	ortholog_one2one
ENSG00000100599	RIN3	Rin3	ENSMUSG00000044456	ortholog_one2one
ENSG00000142538	PTH2	Pth2	ENSMUSG00000038300	ortholog_one2one
ENSG00000105737	GRIK5	Grik5	ENSMUSG00000003378	ortholog_one2one
ENSG00000163348	PYGO2	Pygo2	ENSMUSG00000047824	ortholog_one2one
ENSG00000211753	TRBV28	Trbv29	ENSMUSG00000076480	ortholog_one2one
ENSG00000275158	TRBV12-5	Trbv16	ENSMUSG00000076473	ortholog_one2one
ENSG00000196517	SLC6A9	Slc6a9	ENSMUSG00000028542	ortholog_one2one
ENSG00000163344	PMVK	Pmvk	ENSMUSG00000027952	ortholog_one2one
ENSG00000105404	RABAC1	Rabac1	ENSMUSG00000003380	ortholog_one2one
ENSG00000171453	POLR1C	Polr1c	ENSMUSG00000067148	ortholog_one2one
ENSG00000164309	CMYA5	Cmya5	ENSMUSG00000047419	ortholog_one2one
ENSG00000118137	APOA1	Apoa1	ENSMUSG00000032083	ortholog_one2one
ENSG00000164330	EBF1	Ebf1	ENSMUSG00000057098	ortholog_one2one
ENSG00000123552	USP45	Usp45	ENSMUSG00000040455	ortholog_one2one
ENSG00000183495	EP400	Ep400	ENSMUSG00000029505	ortholog_one2one
ENSG00000116786	PLEKHM2	Plekhm2	ENSMUSG00000028917	ortholog_one2one
ENSG00000177192	PUS1	Pus1	ENSMUSG00000029507	ortholog_one2one
ENSG00000119711	ALDH6A1	Aldh6a1	ENSMUSG00000021238	ortholog_one2one
ENSG00000152413	HOMER1	Homer1	ENSMUSG00000007617	ortholog_one2one
ENSG00000177169	ULK1	Ulk1	ENSMUSG00000029512	ortholog_one2one
ENSG00000119723	COQ6	Coq6	ENSMUSG00000021235	ortholog_one2one
ENSG00000108984	MAP2K6	Map2k6	ENSMUSG00000020623	ortholog_one2one
ENSG00000116260	QSOX1	Qsox1	ENSMUSG00000033684	ortholog_one2one
ENSG00000146410	MTFR2	Mtfr2	ENSMUSG00000019992	ortholog_one2one
ENSG00000143337	TOR1AIP1	Tor1aip1	ENSMUSG00000026466	ortholog_one2one
ENSG00000167528	ZNF641	Zfp641	ENSMUSG00000022987	ortholog_one2one
ENSG00000162620	LRRIQ3	Lrriq3	ENSMUSG00000028182	ortholog_one2one
ENSG00000127554	GFER	Gfer	ENSMUSG00000040888	ortholog_one2one
ENSG00000130368	MAS1	Mas1	ENSMUSG00000068037	ortholog_one2one
ENSG00000122970	IFT81	Ift81	ENSMUSG00000029469	ortholog_one2one
ENSG00000119333	WDR34	Wdr34	ENSMUSG00000039715	ortholog_one2one
ENSG00000160469	BRSK1	Brsk1	ENSMUSG00000035390	ortholog_one2one
ENSG00000127191	TRAF2	Traf2	ENSMUSG00000026942	ortholog_one2one
ENSG00000146263	MMS22L	Mms22l	ENSMUSG00000045751	ortholog_one2one
ENSG00000176903	PNMA1	Pnma1	ENSMUSG00000054383	ortholog_one2one
ENSG00000187658	C5orf52	4921536K21Rik	ENSMUSG00000020434	ortholog_one2one
ENSG00000124279	FASTKD3	Fastkd3	ENSMUSG00000021532	ortholog_one2one
ENSG00000127329	PTPRB	Ptprb	ENSMUSG00000020154	ortholog_one2one
ENSG00000143669	LYST	Lyst	ENSMUSG00000019726	ortholog_one2one
ENSG00000123545	NDUFAF4	Ndufaf4	ENSMUSG00000028261	ortholog_one2one
ENSG00000165671	NSD1	Nsd1	ENSMUSG00000021488	ortholog_one2one
ENSG00000172461	FUT9	Fut9	ENSMUSG00000055373	ortholog_one2one
ENSG00000132693	CRP	Crp	ENSMUSG00000037942	ortholog_one2one
ENSG00000143612	C1orf43	4933434E20Rik	ENSMUSG00000027942	ortholog_one2one
ENSG00000114859	CLCN2	Clcn2	ENSMUSG00000022843	ortholog_one2one
ENSG00000168264	IRF2BP2	Irf2bp2	ENSMUSG00000051495	ortholog_one2one
ENSG00000134202	GSTM3	Gstm5	ENSMUSG00000004032	ortholog_one2one
ENSG00000161011	SQSTM1	Sqstm1	ENSMUSG00000015837	ortholog_one2one
ENSG00000198758	EPS8L3	Eps8l3	ENSMUSG00000040600	ortholog_one2one
ENSG00000150991	UBC	Ubc	ENSMUSG00000008348	ortholog_one2one
ENSG00000188340	OR6N2	Olfr430	ENSMUSG00000050134	ortholog_one2one
ENSG00000116991	SIPA1L2	Sipa1l2	ENSMUSG00000001995	ortholog_one2one
ENSG00000118733	OLFM3	Olfm3	ENSMUSG00000027965	ortholog_one2one
ENSG00000121413	ZSCAN18	Zscan18	ENSMUSG00000070822	ortholog_one2one
ENSG00000168765	GSTM4	Gstm4	ENSMUSG00000027890	ortholog_one2one
ENSG00000106477	CEP41	Cep41	ENSMUSG00000029790	ortholog_one2one
ENSG00000100721	TCL1A	Tcl1	ENSMUSG00000041359	ortholog_one2one
ENSG00000105607	GCDH	Gcdh	ENSMUSG00000003809	ortholog_one2one
ENSG00000076321	KLHL20	Klhl20	ENSMUSG00000026705	ortholog_one2one
ENSG00000158246	TENT5B	Tent5b	ENSMUSG00000046694	ortholog_one2one
ENSG00000120337	TNFSF18	Tnfsf18	ENSMUSG00000066755	ortholog_one2one
ENSG00000196498	NCOR2	Ncor2	ENSMUSG00000029478	ortholog_one2one
ENSG00000161021	MAML1	Maml1	ENSMUSG00000050567	ortholog_one2one
ENSG00000198944	SOWAHA	Sowaha	ENSMUSG00000044352	ortholog_one2one
ENSG00000182118	FAM89A	Fam89a	ENSMUSG00000043068	ortholog_one2one
ENSG00000123179	EBPL	Ebpl	ENSMUSG00000021928	ortholog_one2one
ENSG00000105329	TGFB1	Tgfb1	ENSMUSG00000002603	ortholog_one2one
ENSG00000105612	DNASE2	Dnase2a	ENSMUSG00000003812	ortholog_one2one
ENSG00000104783	KCNN4	Kcnn4	ENSMUSG00000054342	ortholog_one2one
ENSG00000171806	METTL18	Mettl18	ENSMUSG00000041396	ortholog_one2one
ENSG00000165821	SALL2	Sall2	ENSMUSG00000049532	ortholog_one2one
ENSG00000158786	PLA2G2F	Pla2g2f	ENSMUSG00000028749	ortholog_one2one
ENSG00000074276	CDHR2	Cdhr2	ENSMUSG00000034918	ortholog_one2one
ENSG00000116717	GADD45A	Gadd45a	ENSMUSG00000036390	ortholog_one2one
ENSG00000124356	STAMBP	Stambp	ENSMUSG00000006906	ortholog_one2one
ENSG00000119392	GLE1	Gle1	ENSMUSG00000019715	ortholog_one2one
ENSG00000145332	KLHL8	Klhl8	ENSMUSG00000029312	ortholog_one2one
ENSG00000135472	FAIM2	Faim2	ENSMUSG00000023011	ortholog_one2one
ENSG00000172717	FAM71D	Fam71d	ENSMUSG00000056987	ortholog_one2one
ENSG00000169418	NPR1	Npr1	ENSMUSG00000027931	ortholog_one2one
ENSG00000115464	USP34	Usp34	ENSMUSG00000056342	ortholog_one2one
ENSG00000143314	MRPL24	Mrpl24	ENSMUSG00000019710	ortholog_one2one
ENSG00000253710	ALG11	Alg11	ENSMUSG00000063362	ortholog_one2one
ENSG00000005436	GCFC2	Gcfc2	ENSMUSG00000035125	ortholog_one2one
ENSG00000143196	DPT	Dpt	ENSMUSG00000026574	ortholog_one2one
ENSG00000165621	OXGR1	Oxgr1	ENSMUSG00000044819	ortholog_one2one
ENSG00000148153	INIP	Inip	ENSMUSG00000038544	ortholog_one2one
ENSG00000143384	MCL1	Mcl1	ENSMUSG00000038612	ortholog_one2one
ENSG00000183955	KMT5A	Kmt5a	ENSMUSG00000049327	ortholog_one2one
ENSG00000146083	RNF44	Rnf44	ENSMUSG00000034928	ortholog_one2one
ENSG00000172889	EGFL7	Egfl7	ENSMUSG00000026921	ortholog_one2one
ENSG00000046889	PREX2	Prex2	ENSMUSG00000048960	ortholog_one2one
ENSG00000164187	LMBRD2	Lmbrd2	ENSMUSG00000039704	ortholog_one2one
ENSG00000188730	VWC2	Vwc2	ENSMUSG00000050830	ortholog_one2one
ENSG00000143382	ADAMTSL4	Adamtsl4	ENSMUSG00000015850	ortholog_one2one
ENSG00000150977	RILPL2	Rilpl2	ENSMUSG00000029401	ortholog_one2one
ENSG00000089169	RPH3A	Rph3a	ENSMUSG00000029608	ortholog_one2one
ENSG00000042813	ZPBP	Zpbp	ENSMUSG00000020193	ortholog_one2one
ENSG00000145781	COMMD10	Commd10	ENSMUSG00000042705	ortholog_one2one
ENSG00000158560	DYNC1I1	Dync1i1	ENSMUSG00000029757	ortholog_one2one
ENSG00000117477	CCDC181	Ccdc181	ENSMUSG00000026578	ortholog_one2one
ENSG00000166226	CCT2	Cct2	ENSMUSG00000034024	ortholog_one2one
ENSG00000142583	SLC2A5	Slc2a5	ENSMUSG00000028976	ortholog_one2one
ENSG00000184209	SNRNP35	Snrnp35	ENSMUSG00000029402	ortholog_one2one
ENSG00000156860	FBRS	Fbrs	ENSMUSG00000042423	ortholog_one2one
ENSG00000188026	RILPL1	Rilpl1	ENSMUSG00000029392	ortholog_one2one
ENSG00000139793	MBNL2	Mbnl2	ENSMUSG00000022139	ortholog_one2one
ENSG00000143156	NME7	Nme7	ENSMUSG00000026575	ortholog_one2one
ENSG00000115364	MRPL19	Mrpl19	ENSMUSG00000030045	ortholog_one2one
ENSG00000134001	EIF2S1	Eif2s1	ENSMUSG00000021116	ortholog_one2one
ENSG00000146858	ZC3HAV1L	Zc3hav1l	ENSMUSG00000047749	ortholog_one2one
ENSG00000249693	THEGL	Thegl	ENSMUSG00000029248	ortholog_one2one
ENSG00000182545	RNASE10	Rnase10	ENSMUSG00000021872	ortholog_one2one
ENSG00000138134	STAMBPL1	Stambpl1	ENSMUSG00000024776	ortholog_one2one
ENSG00000128050	PAICS	Paics	ENSMUSG00000029247	ortholog_one2one
ENSG00000173230	GOLGB1	Golgb1	ENSMUSG00000034243	ortholog_one2one
ENSG00000072415	MPP5	Mpp5	ENSMUSG00000021112	ortholog_one2one
ENSG00000204084	INPP5B	Inpp5b	ENSMUSG00000028894	ortholog_one2one
ENSG00000143321	HDGF	Hdgf	ENSMUSG00000004897	ortholog_one2one
ENSG00000173281	PPP1R3B	Ppp1r3b	ENSMUSG00000046794	ortholog_one2one
ENSG00000157470	FAM81A	Fam81a	ENSMUSG00000032224	ortholog_one2one
ENSG00000184371	CSF1	Csf1	ENSMUSG00000014599	ortholog_one2one
ENSG00000161013	MGAT4B	Mgat4b	ENSMUSG00000036620	ortholog_one2one
ENSG00000179300	RTL3	Rtl3	ENSMUSG00000047686	ortholog_one2one
ENSG00000169330	KIAA1024	AF529169	ENSMUSG00000039313	ortholog_one2one
ENSG00000086015	MAST2	Mast2	ENSMUSG00000003810	ortholog_one2one
ENSG00000112941	TENT4A	Tent4a	ENSMUSG00000034575	ortholog_one2one
ENSG00000029559	IBSP	Ibsp	ENSMUSG00000029306	ortholog_one2one
ENSG00000152591	DSPP	Dspp	ENSMUSG00000053268	ortholog_one2one
ENSG00000143379	SETDB1	Setdb1	ENSMUSG00000015697	ortholog_one2one
ENSG00000175182	FAM131A	Fam131a	ENSMUSG00000050821	ortholog_one2one
ENSG00000142751	GPN2	Gpn2	ENSMUSG00000028848	ortholog_one2one
ENSG00000112659	CUL9	Cul9	ENSMUSG00000040327	ortholog_one2one
ENSG00000159592	GPBP1L1	Gpbp1l1	ENSMUSG00000034042	ortholog_one2one
ENSG00000116906	GNPAT	Gnpat	ENSMUSG00000031985	ortholog_one2one
ENSG00000158828	PINK1	Pink1	ENSMUSG00000028756	ortholog_one2one
ENSG00000177614	PGBD5	Pgbd5	ENSMUSG00000050751	ortholog_one2one
ENSG00000130338	TULP4	Tulp4	ENSMUSG00000034377	ortholog_one2one
ENSG00000197980	LEKR1	Lekr1	ENSMUSG00000074579	ortholog_one2one
ENSG00000105610	KLF1	Klf1	ENSMUSG00000054191	ortholog_one2one
ENSG00000115159	GPD2	Gpd2	ENSMUSG00000026827	ortholog_one2one
ENSG00000143178	TBX19	Tbx19	ENSMUSG00000026572	ortholog_one2one
ENSG00000100767	PAPLN	Papln	ENSMUSG00000021223	ortholog_one2one
ENSG00000087448	KLHL42	Klhl42	ENSMUSG00000040102	ortholog_one2one
ENSG00000038382	TRIO	Trio	ENSMUSG00000022263	ortholog_one2one
ENSG00000026103	FAS	Fas	ENSMUSG00000024778	ortholog_one2one
ENSG00000083099	LYRM2	Lyrm2	ENSMUSG00000045854	ortholog_one2one
ENSG00000137634	NXPE4	Nxpe4	ENSMUSG00000044229	ortholog_one2one
ENSG00000128059	PPAT	Ppat	ENSMUSG00000029246	ortholog_one2one
ENSG00000065618	COL17A1	Col17a1	ENSMUSG00000025064	ortholog_one2one
